ORF	growth;control barcode hybridization (microarray)
	growth;0.4 mM H202 barcode hybridization (microarray)
	growth;2.5 mM DDT barcode hybridization (microarray)
	growth;0.7 M NaClbarcode hybridization (microarray)
	growth;Heat Shock barcode hybridization (microarray)
	growth;20 uM tunicamycin barcode hybridization (microarray)
	growth;2.5 mM DDT, H2O2 barcode hybridization (microarray)
	growth;0.7 M NaCl, H2O2 barcode hybridization (microarray)
	growth;Heat Shock, H2O2 barcode hybridization (microarray)
	growth;20 uM tunicamycin, H2O2 barcode hybridization (microarray)
	growth;control barcode sequencing
	growth;0.4 mM H202 barcode sequencing
	growth;2.5 mM DDT barcode sequencing
	growth;0.7 M NaCl barcode sequencing
	growth;Heat Shock barcode sequencing
	growth;20 uM tunicamycin barcode sequencing
	growth;2.5 mM DDT, H2O2 barcode sequencing
	growth;0.7 M NaCl, H2O2 barcode sequencing
	growth;Heat Shock, H2O2 barcode sequencing
	growth;20 uM tunicamycin, H2O2 barcode sequencing
YGR219W	-0.370
YGR220C	1.094
YGR221C	-0.016
YGR222W	-0.068
YGR223C	0.000
YGR224W	-0.006
YGR225W	0.469
YGR226C	-0.053
YGR227W	-0.025
YGR228W	-0.064
YGR229C	-0.428
YGR230W	0.017
YGR231C	-0.422
YGR232W	0.104
YGR233C	-0.015
YGR234W	0.076
YGR235C	0.062
YGR236C	0.035
YGR237C	-0.040
YGR238C	0.057
YGR239C	0.140
YGR240C	0.117
YGR241C	0.008
YGR242W	0.112
YGR243W	-0.071
YGR244C	0.026
YGR245C	-0.023
YGR246C	-0.096
YGR247W	0.028
YGR248W	-0.029
YGR249W	-0.010
YGR250C	-0.081
YGR251W	0.006
YGR252W	-0.941
YGR253C	0.072
YGR254W	-0.021
YGR255C	0.018
YGR256W	0.045
YGR257C	-0.039
YGR258C	-0.024
YGR259C	0.067
YGR260W	0.133
YGR261C	0.183
YGR262C	NaN
YGR263C	0.062
YGR264C	-0.079
YGR265W	0.054
YGR266W	0.008
YGR267C	-0.013
YGR268C	0.012
YGR269W	0.005
YGR270W	-1.258
YGR271C-A	NaN
YGR271W	0.161
YGR272C	NaN
YGR273C	0.131
YGR274C	-0.461
YGR275W	0.112
YGR276C	0.149
YGR277C	-0.584
YGR278W	-0.024
YGR279C	0.033
YGR280C	-0.103
YGR281W	0.102
YGR282C	-0.105
YGR283C	0.067
YGR284C	-0.039
YGR285C	-0.661
YGR286C	-0.032
YGR287C	0.025
YGR288W	-0.026
YGR289C	0.130
YGR290W	-0.113
YGR291C	0.059
YGR292W	0.012
YGR295C	0.122
YHL001W	NaN
YHL002W	-0.015
YHL003C	-0.045
YHL004W	NaN
YHL005C	-0.249
YHL006C	0.070
YHL007C	-0.215
YHL008C	-0.212
YHL009C	-0.084
YHL010C	0.035
YHL011C	-0.802
YHL012W	-0.051
YHL013C	-0.018
YHL014C	0.107
YHL015W	-0.243
YHL015W-A	NaN
YHL016C	-0.013
YHL017W	-0.013
YHL019C	0.114
YHL020C	-0.525
YHL021C	-0.043
YHL022C	0.150
YHL023C	-0.012
YHL024W	0.283
YHL025W	NaN
YHL026C	0.013
YHL027W	-0.282
YHL028W	0.044
YHL029C	-0.175
YHL030W	-0.003
YHL031C	-0.374
YHL032C	0.065
YHL033C	-0.753
YHL034C	0.095
YHL035C	-0.020
YHL036W	0.085
YHL037C	0.176
YHL038C	-0.142
YHL039W	-0.052
YHL040C	-0.044
YHL041W	0.060
YHL042W	0.038
YHL043W	-0.033
YHL044W	0.289
YHL045W	-0.084
YHL046C	0.068
YHL047C	0.114
YHR001W	NaN
YHR001W-A	0.038
YHR003C	-0.126
YHR004C	-0.311
YHR005C	NaN
YHR005C-A	0.543
YHR006W	-0.053
YHR007C	0.128
YHR007C-A	NaN
YHR008C	-1.014
YHR009C	-0.057
YHR010W	-2.180
YHR011W	NaN
YHR012W	-0.042
YHR013C	0.285
YHR014W	-0.016
YHR015W	0.189
YHR016C	-0.087
YHR017W	0.013
YHR018C	-0.026
YHR019C	0.041
YHR020W	-0.141
YHR021C	-0.677
YHR021W-A	0.101
YHR022C	-0.232
YHR022C-A	NaN
YHR023W	-0.072
YHR024C	0.047
YHR025W	0.004
YHR026W	NaN
YHR028C	0.014
YHR029C	0.252
YHR030C	2.990
YHR031C	-0.137
YHR032W	-0.018
YHR033W	-0.128
YHR034C	-0.492
YHR035W	-0.045
YHR036W	-0.095
YHR037W	-0.156
YHR038W	NaN
YHR039C	-0.101
YHR039C-B	NaN
YHR040W	-0.032
YHR041C	-0.688
YHR042W	-0.109
YHR043C	-0.104
YHR044C	-0.057
YHR045W	0.318
YHR046C	0.044
YHR047C	-0.138
YHR048W	-0.073
YHR049C-A	0.066
YHR049W	-0.112
YHR050W	0.181
YHR050W-A	NaN
YHR051W	-0.121
YHR057C	-0.091
YHR058C	-0.180
YHR059W	-1.183
YHR060W	NaN
YHR061C	-0.102
YHR062C	0.206
YHR063C	NaN
YHR064C	-1.885
YHR065C	0.027
YHR066W	0.292
YHR067W	-0.851
YHR068W	-0.062
YHR069C	-0.174
YHR070W	0.208
YHR071W	NaN
YHR072W	0.185
YHR072W-A	0.096
YHR073W	-0.062
YHR074W	-0.094
YHR075C	-0.109
YHR076W	-0.004
YHR077C	-0.199
YHR078W	0.073
YHR079C	0.028
YHR079C-B	0.006
YHR080C	0.013
YHR081W	-0.121
YHR082C	-0.008
YHR083W	0.091
YHR084W	-0.079
YHR085W	-0.160
YHR086W	0.053
YHR086W-A	NaN
YHR087W	-0.029
YHR088W	-0.079
YHR089C	NaN
YHR090C	NaN
YHR091C	-0.423
YHR092C	0.016
YHR093W	-0.004
YHR094C	0.128
YHR095W	0.001
YHR096C	0.131
YHR097C	0.034
YHR098C	NaN
YHR100C	-1.174
YHR101C	-0.047
YHR102W	NaN
YHR103W	0.152
YHR104W	-0.371
YHR105W	-0.137
YHR106W	0.023
YHR107C	-0.234
YHR108W	0.037
YHR109W	-0.002
YHR110W	0.137
YHR111W	-0.395
YHR112C	0.033
YHR113W	0.029
YHR114W	-0.006
YHR115C	0.031
YHR116W	-0.292
YHR117W	-0.023
YHR118C	-0.031
YHR119W	NaN
YHR120W	NaN
YHR121W	0.069
YHR122W	-0.071
YHR123W	-0.096
YHR124W	-0.034
YHR125W	-0.237
YHR126C	-0.090
YHR127W	0.014
YHR128W	NaN
YHR129C	-0.369
YHR130C	0.059
YHR131C	0.079
YHR132C	-0.100
YHR132W-A	-0.063
YHR133C	-0.048
YHR134W	-0.200
YHR135C	-0.026
YHR136C	0.112
YHR137W	0.032
YHR138C	0.227
YHR139C	0.107
YHR139C-A	-0.035
YHR140W	0.010
YHR141C	NaN
YHR142W	0.110
YHR143W	0.022
YHR143W-A	-0.725
YHR146W	0.204
YHR147C	-2.230
YHR148W	0.073
YHR149C	NaN
YHR150W	-0.160
YHR151C	0.082
YHR152W	-0.089
YHR153C	0.231
YHR154W	-0.692
YHR155W	-0.089
YHR156C	-0.009
YHR157W	0.335
YHR158C	0.161
YHR159W	0.119
YHR160C	-0.022
YHR161C	0.043
YHR162W	0.016
YHR163W	0.013
YHR164C	0.751
YHR165C	NaN
YHR166C	0.069
YHR167W	0.190
YHR168W	-0.068
YHR169W	NaN
YHR170W	NaN
YHR171W	0.045
YHR172W	-0.208
YHR175W-A	NaN
YHR176W	0.169
YHR177W	0.016
YHR178W	0.462
YHR179W	0.108
YHR180W	0.020
YHR181W	-0.027
YHR182W	-0.002
YHR183W	NaN
YHR184W	0.105
YHR185C	0.140
YHR186C	0.730
YHR187W	NaN
YHR188C	-0.232
YHR189W	-0.694
YHR190W	0.093
YHR191C	-0.704
YHR192W	NaN
YHR193C	-0.011
YHR194W	-1.487
YHR195W	0.448
YHR196W	0.320
YHR197W	0.228
YHR198C	0.012
YHR199C	-0.013
YHR199C-A	NaN
YHR200W	-0.109
YHR202W	-0.076
YHR203C	-1.019
YHR204W	-0.032
YHR205W	NaN
YHR206W	0.209
YHR207C	-0.161
YHR209W	-0.163
YHR210C	-0.103
YIL001W	-0.003
YIL002C	0.022
YIL002W-A	NaN
YIL003W	-0.142
YIL004C	0.046
YIL005W	0.091
YIL006W	-0.201
YIL007C	-0.070
YIL008W	-0.706
YIL009C-A	-0.021
YIL009W	-0.053
YIL010W	0.013
YIL011W	-0.048
YIL012W	-0.086
YIL013C	-0.002
YIL014W	-0.057
YIL015C-A	-0.013
YIL015W	-0.233
YIL016W	-0.019
YIL017C	-0.169
YIL018W	-0.082
YIL019W	0.014
YIL020C	-0.040
YIL021W	-0.445
YIL022W	-0.037
YIL023C	0.041
YIL024C	0.155
YIL025C	-0.138
YIL026C	0.339
YIL027C	0.177
YIL028W	0.083
YIL029C	0.051
YIL030C	0.071
YIL031W	-0.353
YIL032C	0.062
YIL033C	NaN
YIL034C	-0.210
YIL035C	-0.144
YIL036W	-0.349
YIL037C	0.153
YIL038C	-0.075
YIL039W	-0.156
YIL040W	-0.230
YIL041W	0.026
YIL042C	0.045
YIL043C	0.004
YIL044C	-0.021
YIL045W	-0.068
YIL046W	0.012
YIL046W-A	NaN
YIL047C	0.151
YIL048W	0.152
YIL049W	NaN
YIL050W	0.019
YIL051C	0.036
YIL052C	-0.015
YIL053W	-0.096
YIL054W	0.026
YIL055C	-0.059
YIL056W	-0.109
YIL057C	-0.034
YIL058W	0.024
YIL059C	0.005
YIL060W	0.042
YIL061C	0.206
YIL062C	0.263
YIL063C	0.024
YIL064W	0.163
YIL065C	0.017
YIL066C	-0.012
YIL067C	0.011
YIL068C	-0.181
YIL069C	-0.041
YIL070C	-0.281
YIL071C	0.009
YIL072W	0.023
YIL073C	-0.109
YIL074C	-0.058
YIL075C	-0.354
YIL076W	-0.052
YIL077C	-0.006
YIL078W	-0.027
YIL079C	-0.014
YIL083C	0.019
YIL084C	0.171
YIL085C	0.031
YIL086C	-0.108
YIL087C	0.007
YIL088C	0.028
YIL089W	-0.068
YIL090W	0.083
YIL091C	0.187
YIL092W	-0.036
YIL093C	-1.735
YIL094C	0.037
YIL095W	-0.011
YIL096C	-0.124
YIL097W	-0.171
YIL098C	-0.803
YIL099W	0.013
YIL100W	-0.144
YIL101C	0.004
YIL102C	-0.057
YIL103W	-0.241
YIL104C	0.001
YIL105C	0.178
YIL106W	-0.007
YIL107C	0.055
YIL108W	-0.031
YIL109C	-0.149
YIL110W	-0.001
YIL111W	0.048
YIL112W	0.050
YIL113W	0.006
YIL114C	-0.075
YIL115C	0.656
YIL116W	0.090
YIL117C	-0.068
YIL118W	0.097
YIL119C	0.061
YIL120W	-0.007
YIL121W	0.152
YIL122W	NaN
YIL123W	-0.141
YIL124W	-0.041
YIL125W	0.079
YIL126W	-0.149
YIL127C	NaN
YIL128W	NaN
YIL129C	-0.057
YIL130W	0.043
YIL131C	0.000
YIL132C	-0.043
YIL133C	-0.182
YIL134C-A	NaN
YIL134W	-0.259
YIL135C	-0.106
YIL136W	-0.343
YIL137C	0.046
YIL138C	0.058
YIL139C	-0.185
YIL140W	-0.029
YIL141W	0.047
YIL142W	-0.167
YIL143C	0.353
YIL144W	0.048
YIL145C	0.081
YIL146C	0.071
YIL147C	NaN
YIL148W	-0.154
YIL149C	-0.016
YIL150C	-0.074
YIL152W	0.072
YIL153W	0.204
YIL154C	-0.372
YIL155C	-0.006
YIL156W	-0.047
YIL157C	-0.066
YIL158W	-0.027
YIL159W	-0.009
YIL160C	-0.018
YIL161W	0.036
YIL162W	-0.009
YIL163C	0.124
YIL164C	0.027
YIL165C	-0.045
YIL166C	0.077
YIL167W	-0.027
YIL168W	-0.040
YIL170W	-0.100
YIL171W	0.088
YIL173W	-0.038
YIR001C	-0.082
YIR002C	0.094
YIR003W	0.018
YIR004W	0.032
YIR005W	-0.393
YIR006C	0.020
YIR007W	0.019
YIR008C	-0.082
YIR009W	0.408
YIR010W	0.087
YIR011C	-0.100
YIR012W	0.486
YIR013C	-0.069
YIR014W	-0.039
YIR015W	0.132
YIR016W	0.008
YIR017C	0.019
YIR018C-A	NaN
YIR018W	0.030
YIR019C	0.050
YIR020C	0.004
YIR020W-B	0.078
YIR021W	-0.428
YIR021W-A	NaN
YIR022W	0.300
YIR023W	-0.193
YIR024C	-0.780
YIR025W	-0.071
YIR026C	-0.622
YIR027C	0.037
YIR028W	0.054
YIR029W	0.011
YIR030C	0.028
YIR031C	0.151
YIR032C	-0.155
YIR033W	0.038
YIR034C	NaN
YIR035C	-0.123
YIR036C	-0.059
YIR037W	0.044
YIR038C	0.255
YIR039C	0.073
YIR042C	-0.031
YIR043C	-0.025
YIR044C	-0.069
YJL001W	-0.013
YJL002C	0.001
YJL003W	-0.184
YJL004C	-0.063
YJL005W	0.074
YJL006C	NaN
YJL007C	0.072
YJL008C	0.569
YJL009W	-0.105
YJL010C	0.010
YJL011C	-0.091
YJL012C	0.020
YJL012C-A	NaN
YJL013C	0.018
YJL014W	-0.080
YJL015C	0.024
YJL016W	-0.018
YJL017W	-0.121
YJL018W	-0.015
YJL019W	0.010
YJL020C	-0.053
YJL021C	-0.077
YJL022W	0.039
YJL023C	-0.396
YJL024C	0.071
YJL025W	0.209
YJL026W	0.152
YJL027C	-0.065
YJL028W	-0.019
YJL029C	NaN
YJL030W	-0.052
YJL031C	-0.028
YJL032W	-0.062
YJL033W	-0.001
YJL034W	0.017
YJL035C	-0.019
YJL036W	0.006
YJL037W	0.027
YJL038C	-0.054
YJL039C	0.013
YJL041W	0.117
YJL042W	0.011
YJL043W	-0.071
YJL044C	0.047
YJL045W	0.085
YJL046W	-0.367
YJL047C	-0.159
YJL047C-A	NaN
YJL048C	-0.089
YJL049W	0.033
YJL050W	0.085
YJL051W	0.005
YJL052W	0.063
YJL053W	0.162
YJL054W	-0.055
YJL055W	0.087
YJL056C	0.048
YJL057C	0.161
YJL058C	0.020
YJL059W	NaN
YJL060W	0.184
YJL061W	-0.259
YJL062W	-0.222
YJL062W-A	NaN
YJL063C	-1.128
YJL064W	0.159
YJL065C	0.054
YJL066C	-0.050
YJL067W	-0.035
YJL068C	0.016
YJL069C	0.103
YJL070C	0.020
YJL071W	0.002
YJL072C	0.203
YJL073W	-0.017
YJL074C	-0.084
YJL075C	-1.225
YJL076W	0.067
YJL077C	-0.050
YJL077W-B	NaN
YJL078C	0.048
YJL079C	0.065
YJL080C	0.077
YJL081C	-0.035
YJL082W	0.058
YJL083W	-0.047
YJL084C	0.270
YJL085W	-0.091
YJL086C	-0.083
YJL087C	-0.008
YJL088W	0.162
YJL089W	0.085
YJL090C	0.181
YJL091C	-0.023
YJL092W	-0.324
YJL093C	-0.074
YJL094C	0.134
YJL095W	-0.317
YJL096W	-1.079
YJL097W	NaN
YJL098W	0.183
YJL099W	0.062
YJL100W	0.046
YJL101C	0.027
YJL102W	-0.096
YJL103C	-0.059
YJL104W	0.338
YJL105W	-0.020
YJL106W	-0.045
YJL107C	0.113
YJL108C	0.079
YJL109C	0.050
YJL110C	-0.029
YJL111W	-0.479
YJL112W	-0.050
YJL115W	-0.044
YJL116C	-0.006
YJL117W	NaN
YJL118W	-0.032
YJL119C	-0.047
YJL120W	-0.061
YJL121C	0.012
YJL122W	0.112
YJL123C	0.025
YJL124C	-0.071
YJL125C	0.366
YJL126W	-0.051
YJL127C	NaN
YJL127C-B	NaN
YJL128C	0.007
YJL129C	0.203
YJL130C	-0.090
YJL131C	-0.080
YJL132W	-0.052
YJL133W	0.018
YJL134W	0.032
YJL135W	0.059
YJL136C	-0.999
YJL136W-A	NaN
YJL137C	-0.136
YJL138C	-0.054
YJL139C	0.107
YJL140W	-0.506
YJL141C	0.024
YJL142C	0.025
YJL143W	-0.075
YJL144W	-0.083
YJL145W	0.076
YJL146W	0.187
YJL147C	-0.136
YJL148W	0.044
YJL149W	0.002
YJL150W	0.142
YJL151C	0.026
YJL152W	0.001
YJL153C	-0.003
YJL154C	-0.007
YJL155C	-0.005
YJL156C	0.110
YJL157C	0.032
YJL158C	-0.108
YJL159W	-0.030
YJL160C	0.187
YJL161W	0.060
YJL162C	0.025
YJL163C	0.086
YJL164C	-0.027
YJL165C	0.095
YJL166W	-1.431
YJL167W	0.087
YJL168C	-0.168
YJL169W	-0.187
YJL170C	-0.015
YJL171C	0.011
YJL172W	0.111
YJL173C	0.099
YJL174W	-0.116
YJL175W	-0.682
YJL176C	NaN
YJL177W	0.080
YJL178C	-0.014
YJL179W	-0.104
YJL180C	-0.174
YJL181W	-0.065
YJL182C	-0.036
YJL183W	-0.311
YJL184W	NaN
YJL185C	-0.086
YJL186W	-0.047
YJL187C	-0.043
YJL188C	-1.700
YJL189W	0.149
YJL190C	-0.038
YJL191W	0.289
YJL192C	0.020
YJL193W	0.063
YJL194W	0.190
YJL195C	0.020
YJL196C	0.151
YJL197W	0.042
YJL198W	0.120
YJL199C	-0.269
YJL200C	0.021
YJL201W	-0.058
YJL202C	-0.002
YJL203W	0.068
YJL204C	0.028
YJL206C	0.106
YJL206C-A	-0.055
YJL207C	0.041
YJL208C	0.061
YJL209W	-0.384
YJL210W	-0.033
YJL211C	0.026
YJL212C	-0.024
YJL213W	-0.082
YJL214W	0.093
YJL215C	-0.048
YJL216C	-0.021
YJL217W	0.060
YJL218W	-0.073
YJR001W	-0.021
YJR002W	0.008
YJR003C	-0.088
YJR004C	-0.113
YJR005C-A	NaN
YJR005W	0.079
YJR006W	0.128
YJR007W	-0.347
YJR008W	0.095
YJR009C	-0.033
YJR010C-A	0.648
YJR010W	-0.006
YJR011C	-0.009
YJR012C	0.094
YJR013W	0.680
YJR014W	0.241
YJR015W	0.024
YJR016C	0.265
YJR017C	0.011
YJR018W	-1.160
YJR019C	-0.002
YJR020W	-0.005
YJR021C	0.036
YJR022W	-0.151
YJR023C	-0.137
YJR024C	0.145
YJR025C	0.024
YJR026W	0.025
YJR030C	-0.272
YJR031C	-0.040
YJR032W	-0.888
YJR033C	-0.048
YJR034W	-0.370
YJR035W	0.018
YJR036C	0.012
YJR037W	0.026
YJR038C	-0.038
YJR039W	-0.048
YJR040W	0.049
YJR041C	0.032
YJR042W	-0.014
YJR043C	0.229
YJR044C	-0.125
YJR045C	0.192
YJR046W	0.425
YJR047C	-0.010
YJR048W	-0.028
YJR049C	-0.668
YJR050W	0.029
YJR051W	-0.005
YJR052W	0.033
YJR053W	-0.074
YJR054W	-0.180
YJR055W	0.219
YJR056C	0.067
YJR057W	0.143
YJR058C	-0.042
YJR059W	0.024
YJR060W	0.086
YJR061W	-0.026
YJR062C	-0.100
YJR063W	NaN
YJR064W	0.027
YJR065C	-0.061
YJR066W	0.046
YJR067C	-0.024
YJR068W	0.093
YJR069C	-0.002
YJR070C	-0.036
YJR072C	0.046
YJR073C	0.007
YJR074W	-0.570
YJR075W	-0.010
YJR076C	-0.018
YJR077C	-0.002
YJR078W	0.046
YJR079W	-0.096
YJR080C	0.001
YJR082C	0.006
YJR083C	-0.189
YJR084W	0.090
YJR085C	NaN
YJR086W	NaN
YJR087W	-0.044
YJR088C	0.029
YJR089W	NaN
YJR090C	NaN
YJR091C	0.041
YJR092W	-0.029
YJR093C	-0.025
YJR094C	0.021
YJR094W-A	0.028
YJR095W	-0.044
YJR096W	0.026
YJR097W	0.116
YJR098C	0.008
YJR099W	0.108
YJR100C	-0.028
YJR101W	NaN
YJR102C	-0.299
YJR103W	-0.057
YJR104C	-1.429
YJR105W	-0.249
YJR106W	0.042
YJR107W	0.017
YJR108W	-0.004
YJR109C	0.072
YJR110W	0.039
YJR111C	0.017
YJR112W	-0.106
YJR112W-A	NaN
YJR113C	-1.365
YJR114W	NaN
YJR115W	-0.020
YJR116W	0.022
YJR117W	-0.116
YJR118C	-1.334
YJR119C	-0.011
YJR120W	-0.366
YJR121W	-1.090
YJR122W	-0.901
YJR123W	-0.779
YJR124C	0.129
YJR125C	0.084
YJR126C	0.099
YJR127C	-0.029
YJR128W	0.055
YJR129C	-0.082
YJR130C	0.222
YJR131W	-0.081
YJR133W	0.031
YJR134C	0.037
YJR135C	0.033
YJR135W-A	NaN
YJR137C	0.075
YJR139C	0.032
YJR140C	0.129
YJR141W	-0.018
YJR142W	0.047
YJR143C	NaN
YJR144W	-0.299
YJR145C	-0.252
YJR146W	-0.009
YJR147W	-0.026
YJR148W	0.049
YJR149W	0.008
YJR150C	-0.025
YJR151C	NaN
YJR151W-A	NaN
YJR152W	0.022
YJR153W	-0.078
YJR154W	0.360
YKL001C	0.166
YKL002W	-0.252
YKL003C	-0.415
YKL004W	0.188
YKL005C	-0.034
YKL006C-A	-0.129
YKL006W	-0.611
YKL007W	-0.117
YKL008C	-0.026
YKL009W	-1.979
YKL010C	-0.114
YKL011C	-0.414
YKL012W	0.798
YKL013C	-0.159
YKL014C	-0.103
YKL015W	0.231
YKL016C	-0.073
YKL017C	0.018
YKL018C-A	NaN
YKL018W	0.016
YKL019W	0.051
YKL020C	0.170
YKL021C	-0.084
YKL022C	-0.074
YKL023W	-0.188
YKL024C	0.012
YKL025C	0.072
YKL026C	0.026
YKL027W	-0.296
YKL028W	NaN
YKL029C	0.116
YKL030W	0.045
YKL031W	-0.081
YKL032C	-0.064
YKL033W	0.099
YKL033W-A	-0.037
YKL034W	-0.109
YKL035W	-0.066
YKL036C	0.044
YKL037W	-0.055
YKL038W	0.030
YKL039W	0.013
YKL040C	0.207
YKL041W	0.046
YKL042W	-0.403
YKL043W	-0.061
YKL044W	0.082
YKL045W	0.027
YKL046C	-0.042
YKL047W	0.064
YKL048C	-0.763
YKL049C	0.150
YKL050C	-0.035
YKL051W	0.031
YKL052C	-0.043
YKL053C-A	-0.699
YKL053W	-0.305
YKL054C	NaN
YKL055C	-0.258
YKL056C	-0.047
YKL057C	-0.288
YKL058W	-0.152
YKL059C	-0.124
YKL060C	-0.020
YKL061W	0.030
YKL062W	-0.034
YKL063C	0.032
YKL064W	0.040
YKL065C	-0.049
YKL066W	0.075
YKL067W	-0.076
YKL068W	-0.082
YKL068W-A	NaN
YKL069W	0.020
YKL070W	-0.018
YKL071W	-0.041
YKL072W	-0.012
YKL073W	-0.165
YKL074C	0.032
YKL075C	0.050
YKL076C	0.039
YKL077W	-0.144
YKL078W	-0.086
YKL079W	0.155
YKL080W	NaN
YKL081W	0.294
YKL082C	-0.224
YKL083W	NaN
YKL084W	0.011
YKL085W	0.082
YKL086W	0.033
YKL087C	-0.384
YKL088W	0.021
YKL089W	0.056
YKL090W	0.063
YKL091C	0.017
YKL092C	0.018
YKL093W	0.048
YKL094W	0.072
YKL095W	-0.042
YKL096C-B	NaN
YKL096W	-0.058
YKL096W-A	0.024
YKL097C	-0.019
YKL098W	-0.114
YKL099C	0.009
YKL100C	0.181
YKL101W	-0.036
YKL102C	-0.040
YKL103C	-0.021
YKL104C	0.437
YKL105C	0.036
YKL106C-A	NaN
YKL106W	0.276
YKL107W	-0.175
YKL108W	0.152
YKL109W	-0.355
YKL110C	-0.103
YKL111C	-0.030
YKL112W	0.097
YKL113C	-0.209
YKL114C	-0.354
YKL115C	0.126
YKL116C	0.138
YKL117W	0.028
YKL118W	NaN
YKL119C	NaN
YKL120W	0.149
YKL121W	-0.374
YKL122C	0.073
YKL123W	0.088
YKL124W	0.008
YKL125W	0.053
YKL126W	-0.115
YKL127W	-0.016
YKL128C	-0.034
YKL129C	0.008
YKL130C	-0.011
YKL131W	0.006
YKL132C	0.117
YKL133C	-0.046
YKL134C	-0.985
YKL135C	0.068
YKL136W	0.117
YKL137W	-0.144
YKL138C	-1.206
YKL138C-A	0.618
YKL139W	0.026
YKL140W	-0.051
YKL141W	-0.107
YKL142W	0.055
YKL143W	NaN
YKL144C	-0.174
YKL145W	-0.114
YKL146W	0.009
YKL147C	-0.032
YKL148C	0.004
YKL149C	0.072
YKL150W	0.174
YKL151C	0.044
YKL152C	0.398
YKL153W	0.056
YKL154W	NaN
YKL155C	0.048
YKL156W	0.043
YKL157W	0.203
YKL158W	0.176
YKL159C	0.058
YKL160W	-0.166
YKL161C	0.026
YKL162C	0.052
YKL162C-A	-0.008
YKL163W	0.212
YKL164C	0.007
YKL165C	-0.024
YKL166C	0.214
YKL167C	-0.468
YKL168C	0.128
YKL169C	-1.379
YKL170W	-0.864
YKL171W	0.046
YKL172W	0.198
YKL173W	0.060
YKL174C	0.065
YKL175W	-0.039
YKL176C	0.208
YKL177W	-0.339
YKL178C	-0.063
YKL179C	-0.047
YKL180W	-0.280
YKL181W	NaN
YKL182W	0.612
YKL183W	0.161
YKL184W	0.117
YKL185W	-0.116
YKL186C	0.127
YKL187C	0.144
YKL188C	0.026
YKL189W	-0.263
YKL190W	0.006
YKL191W	0.057
YKL192C	-0.205
YKL193C	0.067
YKL194C	NaN
YKL195W	-0.836
YKL196C	-0.093
YKL197C	-0.140
YKL198C	0.113
YKL199C	0.039
YKL200C	0.005
YKL201C	-0.079
YKL202W	-0.010
YKL203C	0.195
YKL204W	NaN
YKL205W	0.071
YKL206C	0.117
YKL207W	0.100
YKL208W	-0.334
YKL209C	-0.035
YKL210W	NaN
YKL211C	0.013
YKL212W	-0.739
YKL213C	0.006
YKL214C	0.006
YKL215C	0.063
YKL216W	-0.002
YKL217W	0.018
YKL218C	0.102
YKL220C	0.174
YKL221W	0.032
YKL222C	-0.073
YKR001C	-0.445
YKR002W	-0.078
YKR003W	-0.024
YKR004C	0.024
YKR004C-A	NaN
YKR005C	0.035
YKR006C	-0.034
YKR007W	0.034
YKR008W	-0.122
YKR009C	-0.018
YKR010C	0.065
YKR011C	0.104
YKR012C	0.014
YKR013W	0.097
YKR014C	0.041
YKR015C	-0.101
YKR016W	-0.218
YKR017C	-0.056
YKR018C	0.076
YKR019C	-0.771
YKR020W	-0.934
YKR021W	0.119
YKR022C	0.043
YKR023W	0.016
YKR024C	-1.415
YKR025W	0.044
YKR026C	0.053
YKR027W	0.083
YKR028W	-0.124
YKR029C	-0.006
YKR030W	-0.004
YKR031C	-0.104
YKR032W	-0.049
YKR033C	-0.004
YKR034W	-0.033
YKR035C	0.076
YKR035W-A	0.263
YKR036C	0.078
YKR037C	0.091
YKR038C	-0.098
YKR039W	-0.057
YKR040C	0.081
YKR041W	0.250
YKR042W	-0.033
YKR043C	-0.007
YKR044W	-0.055
YKR045C	0.164
YKR046C	0.019
YKR047W	0.097
YKR048C	-0.234
YKR049C	0.094
YKR050W	0.271
YKR051W	-0.111
YKR052C	-0.037
YKR053C	0.031
YKR054C	-0.033
YKR055W	0.003
YKR056W	-0.038
YKR057W	-0.137
YKR058W	-0.006
YKR059W	-0.022
YKR060W	0.295
YKR061W	-0.020
YKR062W	0.004
YKR063C	-0.065
YKR064W	-0.006
YKR065C	-0.595
YKR066C	-0.091
YKR067W	0.163
YKR068C	NaN
YKR069W	-0.064
YKR070W	-0.001
YKR071C	0.425
YKR072C	0.077
YKR073C	0.238
YKR074W	-0.101
YKR075C	0.021
YKR076W	0.016
YKR077W	0.085
YKR078W	0.216
YKR079C	-0.170
YKR080W	0.082
YKR081C	0.108
YKR082W	1.817
YKR083C	-0.172
YKR084C	0.204
YKR085C	-1.213
YKR086W	-0.030
YKR087C	0.076
YKR088C	0.182
YKR089C	0.039
YKR090W	0.050
YKR091W	0.004
YKR092C	-0.104
YKR093W	-0.030
YKR094C	0.033
YKR095W	0.278
YKR096W	0.111
YKR097W	0.013
YKR098C	0.211
YKR099C-A	NaN
YKR099W	-0.025
YKR100C	0.023
YKR101W	0.101
YKR102W	0.161
YKR103W	0.095
YKR104W	0.006
YKR105C	0.862
YKR106W	-0.112
YLL001W	-0.175
YLL002W	NaN
YLL003W	0.029
YLL004W	-0.080
YLL005C	-0.069
YLL006W	-3.077
YLL006W-A	NaN
YLL007C	0.175
YLL008W	-0.046
YLL009C	-0.118
YLL010C	0.187
YLL011W	-0.018
YLL012W	-0.027
YLL013C	0.165
YLL014W	0.581
YLL015W	-0.068
