ORF	hom | viral RNA replication (luciferase expression) | standard [standard] | Kushner DB~Ahlquist P, 2003
YDL180W	106.730
YDL182W	86.388
YDL183C	52.510
YDL184C	85.936
YDL185W	NaN
YDL186W	83.886
YDL187C	108.709
YDL188C	88.207
YDL189W	59.814
YDL190C	73.555
YDL191W	NaN
YDL192W	135.017
YDL194W	123.817
YDL197C	86.571
YDL198C	NaN
YDL199C	94.969
YDL200C	86.684
YDL201W	102.001
YDL202W	NaN
YDL203C	109.692
YDL204W	91.098
YDL206W	69.723
YDL210W	63.591
YDL211C	43.532
YDL213C	123.328
YDL214C	45.226
YDL215C	77.245
YDL216C	61.872
YDL218W	59.827
YDL219W	63.549
YDL222C	79.359
YDL223C	81.373
YDL224C	112.527
YDL225W	201.100
YDL226C	NaN
YDL227C	85.137
YDL229W	79.758
YDL230W	93.807
YDL231C	53.469
YDL232W	111.243
YDL233W	108.542
YDL234C	147.463
YDL236W	99.578
YDL237W	97.671
YDL238C	91.951
YDL239C	78.495
YDL240W	68.224
YDL241W	85.583
YDL242W	110.098
YDL243C	84.455
YDR001C	119.317
YDR003W	97.859
YDR004W	191.391
YDR005C	60.454
YDR006C	241.211
YDR007W	62.260
YDR008C	75.485
YDR009W	NaN
YDR010C	122.128
YDR011W	101.223
YDR014W	217.718
YDR015C	53.894
YDR017C	83.542
YDR018C	93.558
YDR019C	88.655
YDR020C	91.931
YDR022C	140.738
YDR024W	152.287
YDR025W	132.741
YDR026C	81.412
YDR027C	NaN
YDR028C	86.341
YDR029W	82.744
YDR030C	104.064
YDR031W	90.096
YDR032C	111.005
YDR033W	100.885
YDR034C	98.352
YDR035W	99.078
YDR036C	78.826
YDR042C	88.369
YDR043C	112.782
YDR046C	94.073
YDR048C	102.300
YDR049W	295.415
YDR051C	86.859
YDR055W	102.323
YDR056C	85.445
YDR057W	90.965
YDR058C	106.785
YDR059C	81.793
YDR061W	92.974
YDR063W	62.448
YDR065W	NaN
YDR066C	75.993
YDR067C	25.942
YDR068W	97.151
YDR069C	7.521
YDR070C	84.875
YDR071C	87.566
YDR072C	86.928
YDR073W	89.128
YDR074W	NaN
YDR075W	64.130
YDR076W	139.182
YDR077W	156.586
YDR078C	93.470
YDR079W	NaN
YDR080W	NaN
YDR083W	131.900
YDR084C	90.390
YDR085C	93.102
YDR089W	85.433
YDR090C	112.852
YDR092W	72.016
YDR093W	139.941
YDR094W	137.915
YDR095C	100.721
YDR096W	94.977
YDR097C	122.622
YDR098C	102.578
YDR099W	125.209
YDR100W	114.823
YDR101C	109.077
YDR102C	96.549
YDR104C	107.160
YDR105C	95.112
YDR107C	109.115
YDR108W	130.341
YDR109C	98.944
YDR110W	107.249
YDR111C	92.803
YDR112W	117.987
YDR114C	NaN
YDR115W	NaN
YDR116C	128.152
YDR117C	143.586
YDR119W	127.798
YDR120C	93.876
YDR121W	82.985
YDR122W	89.977
YDR123C	NaN
YDR124W	130.326
YDR125C	120.592
YDR126W	NaN
YDR127W	NaN
YDR128W	109.462
YDR129C	NaN
YDR130C	111.281
YDR131C	123.956
YDR132C	111.621
YDR133C	63.156
YDR134C	105.929
YDR135C	89.547
YDR136C	NaN
YDR137W	NaN
YDR138W	NaN
YDR139C	78.493
YDR140W	NaN
YDR142C	91.590
YDR143C	88.496
YDR144C	117.056
YDR146C	82.864
YDR147W	112.105
YDR148C	100.457
YDR149C	90.103
YDR150W	182.387
YDR151C	76.584
YDR152W	73.554
YDR153C	52.832
YDR154C	89.457
YDR155C	68.794
YDR156W	5.194
YDR157W	37.861
YDR158W	NaN
YDR159W	NaN
YDR161W	NaN
YDR162C	NaN
YDR163W	81.378
YDR165W	85.726
YDR169C	98.798
YDR171W	90.464
YDR173C	110.503
YDR174W	NaN
YDR175C	NaN
YDR176W	NaN
YDR178W	40.937
YDR179C	81.376
YDR179W-A	52.248
YDR181C	93.840
YDR183W	66.234
YDR184C	63.195
YDR185C	78.214
YDR186C	80.476
YDR191W	91.443
YDR192C	61.230
YDR193W	75.702
YDR194C	NaN
YDR195W	139.673
YDR197W	NaN
YDR198C	60.195
YDR199W	53.391
YDR200C	NaN
YDR202C	129.318
YDR203W	79.879
YDR204W	NaN
YDR205W	160.110
YDR206W	110.337
YDR207C	170.089
YDR209C	84.072
YDR210W	98.190
YDR213W	70.699
YDR214W	70.726
YDR215C	108.482
YDR216W	106.207
YDR217C	109.194
YDR218C	84.819
YDR219C	84.071
YDR220C	79.387
YDR221W	74.604
YDR222W	120.560
YDR223W	78.039
YDR225W	134.890
YDR226W	NaN
YDR229W	76.781
YDR230W	NaN
YDR231C	NaN
YDR233C	51.220
YDR234W	NaN
YDR237W	NaN
YDR239C	85.734
YDR241W	24.202
YDR242W	95.631
YDR244W	109.207
YDR245W	87.892
YDR247W	92.799
YDR248C	84.161
YDR249C	109.777
YDR250C	108.568
YDR251W	141.655
YDR252W	73.709
YDR253C	90.176
YDR254W	81.371
YDR255C	99.193
YDR256C	77.516
YDR257C	58.428
YDR258C	113.248
YDR259C	123.293
YDR260C	156.139
YDR261C	87.307
YDR262W	75.905
YDR263C	133.168
YDR264C	NaN
YDR265W	122.365
YDR266C	107.293
YDR268W	NaN
YDR269C	72.879
YDR270W	142.991
YDR271C	205.180
YDR272W	116.968
YDR273W	119.263
YDR274C	106.171
YDR275W	110.244
YDR276C	126.473
YDR277C	89.640
YDR278C	96.492
YDR279W	81.326
YDR281C	NaN
YDR282C	108.715
YDR283C	95.835
YDR284C	109.851
YDR285W	100.937
YDR286C	107.516
YDR287W	120.257
YDR289C	138.572
YDR290W	NaN
YDR291W	99.167
YDR293C	212.779
YDR294C	129.475
YDR295C	72.532
YDR296W	NaN
YDR297W	139.049
YDR298C	NaN
YDR300C	57.127
YDR304C	116.874
YDR305C	138.576
YDR306C	123.609
YDR307W	98.036
YDR309C	116.270
YDR310C	99.828
YDR312W	124.579
YDR313C	98.039
YDR314C	81.143
YDR315C	NaN
YDR316W	90.613
YDR317W	74.419
YDR318W	NaN
YDR319C	95.743
YDR320C	NaN
YDR321W	93.624
YDR322W	NaN
YDR323C	NaN
YDR326C	76.697
YDR329C	125.389
YDR330W	111.445
YDR332W	NaN
YDR333C	104.406
YDR334W	177.710
YDR335W	72.653
YDR336W	118.203
YDR337W	NaN
YDR338C	69.117
YDR340W	108.834
YDR344C	95.078
YDR345C	89.224
YDR346C	130.880
YDR347W	NaN
YDR348C	60.475
YDR349C	140.874
YDR350C	NaN
YDR351W	119.253
YDR352W	84.510
YDR354W	72.451
YDR357C	82.631
YDR358W	75.205
YDR359C	NaN
YDR360W	85.365
YDR363W	148.978
YDR363W-A	11.404
YDR364C	NaN
YDR368W	93.891
YDR369C	229.272
YDR370C	103.858
YDR371W	101.981
YDR372C	NaN
YDR374C	89.529
YDR375C	NaN
YDR377W	NaN
YDR378C	29.056
YDR379W	71.794
YDR380W	86.537
YDR382W	83.699
YDR383C	79.046
YDR384C	83.004
YDR385W	88.475
YDR386W	115.862
YDR387C	95.040
YDR388W	NaN
YDR389W	NaN
YDR391C	50.841
YDR392W	40.024
YDR393W	146.049
YDR395W	127.764
YDR399W	111.600
YDR400W	105.134
YDR401W	96.719
YDR402C	60.220
YDR403W	44.098
YDR405W	NaN
YDR406W	78.926
YDR408C	NaN
YDR409W	100.789
YDR411C	69.598
YDR414C	140.066
YDR415C	73.666
YDR417C	NaN
YDR418W	132.200
YDR419W	82.415
YDR420W	109.892
YDR421W	95.071
YDR422C	97.352
YDR423C	66.545
YDR424C	193.192
YDR425W	109.325
YDR426C	99.588
YDR428C	115.680
YDR430C	82.067
YDR431W	172.678
YDR432W	NaN
YDR433W	NaN
YDR435C	66.936
YDR436W	120.264
YDR438W	87.685
YDR439W	127.991
YDR440W	87.424
YDR441C	92.033
YDR442W	NaN
YDR443C	44.505
YDR444W	108.701
YDR445C	88.396
YDR446W	74.661
YDR447C	152.533
YDR448W	NaN
YDR450W	112.929
YDR451C	65.413
YDR452W	109.939
YDR453C	112.567
YDR455C	104.743
YDR456W	86.052
YDR457W	86.762
YDR458C	102.165
YDR459C	82.598
YDR461W	103.117
YDR462W	NaN
YDR463W	99.439
YDR465C	53.735
YDR466W	62.949
YDR467C	79.494
YDR469W	92.138
YDR470C	179.720
YDR471W	114.577
YDR474C	150.729
YDR476C	107.626
YDR477W	30.449
YDR479C	94.768
YDR480W	115.055
YDR481C	92.681
YDR482C	126.768
YDR483W	74.275
YDR484W	NaN
YDR485C	168.553
YDR486C	64.992
YDR488C	87.905
YDR490C	142.051
YDR491C	88.540
YDR492W	81.702
YDR493W	113.359
YDR494W	117.345
YDR495C	NaN
YDR496C	83.285
YDR497C	154.308
YDR500C	120.774
YDR501W	65.108
YDR502C	74.790
YDR503C	92.349
YDR504C	96.181
YDR505C	78.274
YDR506C	96.608
YDR507C	NaN
YDR508C	76.610
YDR509W	96.746
YDR511W	94.113
YDR512C	121.714
YDR513W	86.172
YDR514C	93.634
YDR515W	90.058
YDR516C	131.091
YDR517W	107.311
YDR518W	NaN
YDR519W	93.959
YDR520C	85.187
YDR521W	81.473
YDR522C	89.827
YDR523C	97.700
YDR524C	126.435
YDR525W	101.860
YDR525W-A	101.988
YDR528W	82.486
YDR529C	NaN
YDR530C	47.180
YDR532C	NaN
YDR533C	NaN
YDR534C	121.810
YDR535C	83.351
YDR536W	86.149
YDR537C	54.039
YDR538W	112.127
YDR539W	67.820
YDR540C	129.045
YDR541C	79.916
YEL001C	104.318
YEL003W	529.105
YEL004W	90.266
YEL005C	92.569
YEL006W	95.464
YEL007W	63.002
YEL008W	85.500
YEL009C	92.408
YEL010W	88.799
YEL011W	61.530
YEL012W	81.114
YEL013W	57.290
YEL014C	118.719
YEL015W	140.278
YEL016C	93.902
YEL017C-A	102.118
YEL017W	95.330
YEL018W	85.170
YEL020C	87.789
YEL023C	83.443
YEL024W	NaN
YEL025C	70.119
YEL027W	NaN
YEL028W	103.289
YEL029C	NaN
YEL030W	82.332
YEL031W	74.688
YEL033W	NaN
YEL036C	NaN
YEL037C	77.020
YEL038W	91.803
YEL039C	85.285
YEL040W	92.536
YEL041W	98.324
YEL042W	74.615
YEL043W	86.495
YEL044W	NaN
YEL045C	NaN
YEL046C	NaN
YEL047C	99.184
YEL048C	106.879
YEL049W	98.195
YEL050C	NaN
YEL051W	NaN
YEL052W	104.072
YEL053C	105.387
YEL054C	97.839
YEL056W	100.170
YEL057C	86.256
YEL059W	122.294
YEL060C	123.739
YEL061C	129.277
YEL062W	72.236
YEL063C	80.467
YEL064C	109.120
YEL065W	100.502
YEL066W	100.283
YEL067C	78.729
YEL068C	79.157
YEL071W	110.835
YEL072W	NaN
YER001W	104.402
YER002W	119.748
YER004W	82.883
YER005W	132.251
YER007C-A	84.702
YER007W	126.151
YER010C	NaN
YER011W	83.887
YER014C-A	NaN
YER014W	NaN
YER016W	NaN
YER017C	NaN
YER019C-A	113.590
YER019W	122.594
YER020W	118.677
YER024W	99.501
YER027C	100.078
YER028C	102.302
YER030W	75.639
YER031C	85.762
YER032W	NaN
YER033C	99.727
YER034W	98.564
YER037W	100.317
YER038W-A	96.481
YER039C	114.658
YER039C-A	89.416
YER040W	113.425
YER041W	56.282
YER042W	108.856
YER044C	NaN
YER044C-A	84.115
YER045C	93.620
YER046W	59.165
YER046W-A	119.836
YER047C	120.553
YER048C	97.872
YER049W	124.399
YER050C	NaN
YER051W	112.400
YER052C	NaN
YER053C	96.680
YER054C	NaN
YER055C	105.135
YER056C	120.175
YER056C-A	171.453
YER057C	96.604
YER058W	NaN
YER059W	39.859
YER060W	88.079
YER060W-A	92.846
YER061C	NaN
YER062C	104.919
YER063W	101.250
YER064C	83.893
YER065C	81.800
YER066C-A	103.164
YER066W	89.070
YER067C-A	116.414
YER067W	116.019
YER068C-A	NaN
YER068W	NaN
YER069W	NaN
YER070W	NaN
YER071C	131.248
YER072W	119.890
YER073W	106.326
YER074W	NaN
YER075C	80.591
YER077C	NaN
YER078C	108.432
YER079W	88.796
YER080W	93.524
YER081W	108.288
YER083C	NaN
YER084W	79.379
YER085C	72.918
YER086W	NaN
YER087C-A	118.817
YER087W	NaN
YER088C	137.279
YER089C	62.860
YER090W	NaN
YER091C	NaN
YER091C-A	64.923
YER092W	94.218
YER093C-A	57.099
YER095W	149.712
YER096W	85.698
YER097W	68.631
YER098W	90.485
YER101C	80.007
YER103W	90.904
YER106W	96.332
YER108C	96.322
YER109C	77.509
YER110C	121.283
YER111C	NaN
YER113C	75.927
YER114C	115.592
YER115C	149.393
YER116C	NaN
YER117W	119.364
YER118C	112.896
YER119C	96.206
YER119C-A	23.784
YER120W	28.355
YER121W	96.782
YER122C	NaN
YER123W	137.996
YER124C	107.999
YER128W	90.503
YER129W	83.338
YER130C	129.889
YER131W	206.625
YER132C	80.155
YER134C	102.041
YER135C	80.272
YER137C	108.441
YER139C	70.428
YER140W	71.826
YER141W	NaN
YER142C	94.497
YER143W	73.588
YER144C	119.080
YER145C	109.474
YER149C	118.412
YER150W	112.729
YER151C	64.153
YER152C	97.856
YER153C	NaN
YER154W	NaN
YER155C	116.654
YER156C	NaN
YER158C	108.966
YER161C	74.501
YER162C	119.878
YER163C	NaN
YER164W	72.752
YER166W	94.764
YER167W	235.225
YER169W	95.266
YER170W	101.206
YER173W	106.011
YER174C	75.324
YER175C	95.368
YER176W	91.327
YER177W	31.607
YER178W	114.375
YER179W	102.484
YER180C	68.071
YER181C	102.382
YER182W	117.843
YER183C	104.012
YER184C	105.034
YER185W	110.756
YER186C	90.352
YER187W	82.076
YER188W	128.285
YFL001W	106.521
YFL003C	88.270
YFL004W	90.288
YFL006W	88.498
YFL007W	78.584
YFL010C	95.848
YFL010W-A	98.802
YFL011W	89.387
YFL012W	112.070
YFL013C	69.691
YFL013W-A	94.179
YFL014W	96.722
YFL015C	82.115
YFL016C	NaN
YFL018C	NaN
YFL019C	124.566
YFL020C	93.249
YFL021W	86.900
YFL023W	211.522
YFL025C	135.085
YFL027C	87.541
YFL028C	80.167
YFL030W	82.832
YFL031W	NaN
YFL032W	NaN
YFL033C	96.394
YFL034C-A	122.608
YFL034W	88.944
YFL035C-B	83.424
YFL036W	NaN
YFL040W	84.871
YFL041W	90.980
YFL042C	108.241
YFL043C	65.261
