orf	hom | viral RNA replication (luciferase expression) | standard [standard] | Kushner DB~Ahlquist P, 2003
YCL001W	-0.5793385680518177
YCL001W-A	
YCL002C	-0.58712879062977
YCL005W	-0.8866581162809047
YCL007C	
YCL008C	-0.9158011214427098
YCL009C	-0.21347656238979468
YCL010C	-0.32646367253867326
YCL011C	1.4359618276676476
YCL014W	-0.45745158879366815
YCL016C	
YCL022C	-0.21247257339770495
YCL023C	-0.3354398698454009
YCL024W	-0.2961382486171168
YCL025C	0.002132793205541807
YCL026C-A	-0.3715919159106098
YCL027W	0.0078074672380296925
YCL028W	0.07589526087798905
YCL029C	1.4159672821775406
YCL030C	-0.4027026703909794
YCL032W	0.7587068913849722
YCL033C	0.5885367515322648
YCL034W	-0.2746172273073731
YCL035C	-0.020610664346397804
YCL036W	-0.6624335791806453
YCL037C	-0.31378740766221075
YCL038C	-0.23429050687068897
YCL039W	-0.1813321118357246
YCL040W	-0.12224818057147022
YCL042W	0.2525728756039086
YCL044C	-0.04397334305364266
YCL045C	-0.08176116026586684
YCL046W	-0.00508578412817596
YCL047C	-0.07650516356185175
YCL048W	0.25072558207134815
YCL049C	-0.030598312533632283
YCL050C	-0.02271386081211507
YCL051W	0.21592517494300292
YCL055W	-0.18185575386764552
YCL056C	-0.04918561472233682
YCL057W	0.18983930047666256
YCL058C	0.235041412343737
YCL061C	-0.2702929973020431
YCL063W	0.1648634132661661
YCL064C	0.42759907933546626
YCL069W	-0.07744016687280735
YCL076W	0.09299616528911166
YCR001W	-0.23357111511953865
YCR002C	
YCR003W	
YCR004C	-0.5320530364975131
YCR005C	-0.39791899231411476
YCR006C	-0.5420247765748266
YCR007C	-0.09291745446621373
YCR008W	-0.12136761407777409
YCR009C	
YCR010C	-0.33330082880333595
YCR011C	-0.36980255030412196
YCR014C	0.08522233485096363
YCR015C	0.23503008313862475
YCR016W	-0.09039529807657684
YCR017C	-0.20159205443177247
YCR019W	-0.2454570087253971
YCR020C	-0.20795711421623397
YCR020C-A	-0.14962879826410938
YCR020W-B	
YCR021C	-0.3047144902098297
YCR022C	-0.13520001343271287
YCR023C	-0.3647215042954173
YCR024C	
YCR024C-A	-0.38991278257339257
YCR025C	0.7548640931773299
YCR026C	-0.5645976481502771
YCR027C	-0.14300581096430268
YCR028C	
YCR028C-A	
YCR030C	-0.6102098885079903
YCR031C	1.042168073841426
YCR032W	0.499452242192361
YCR033W	-1.3942897651107036
YCR034W	0.22338880049064147
YCR036W	1.1389389184668033
YCR037C	-1.1198975005042624
YCR043C	0.9423239998107263
YCR044C	
YCR045C	-0.6354136208201819
YCR046C	
YCR047C	
YCR048W	-0.05874958413578028
YCR049C	-0.28237843904807775
YCR050C	-1.1736948440514734
YCR051W	-0.8112760786519548
YCR053W	
YCR059C	-1.3125478463382934
YCR060W	-0.1994968757353331
YCR061W	-0.866267773372533
YCR063W	25.501283908906203
