orf	hom | growth (pooled culture, barseq) | 4-nitroquinoline N-oxide [25%IC10 (0.47 uM)] | YPD + DMSO | Guan M~Zhang X, 2022	hom | growth (pooled culture, barseq) | 4-nitroquinoline N-oxide [50%IC10 (0.95 uM)] | YPD + DMSO | Guan M~Zhang X, 2022	hom | growth (pooled culture, barseq) | 4-nitroquinoline N-oxide [IC10 (1.89 uM)] | YPD + DMSO | Guan M~Zhang X, 2022	hom | growth (pooled culture, barseq) | 4-nitroquinoline N-oxide [IC20 (2.66 uM)] | YPD + DMSO | Guan M~Zhang X, 2022	hom | growth (pooled culture, barseq) | 4-nitroquinoline N-oxide [IC50 (4.77 uM)] | YPD + DMSO | Guan M~Zhang X, 2022	hom | growth (pooled culture, barseq) | formaldehyde [IC10 (2.3 mM)] | YPD + DMSO | Guan M~Zhang X, 2022	hom | growth (pooled culture, barseq) | formaldehyde [IC20 (2.6 mM)] | YPD + DMSO | Guan M~Zhang X, 2022	hom | growth (pooled culture, barseq) | formaldehyde [IC50 (3.2 mM)] | YPD + DMSO | Guan M~Zhang X, 2022	hom | growth (pooled culture, barseq) | dichloroacetic acid [IC10 (57.7 mM)] | YPD | Guan M~Zhang X, 2022	hom | growth (pooled culture, barseq) | dichloroacetic acid [IC20 (60.8 mM)] | YPD | Guan M~Zhang X, 2022	hom | growth (pooled culture, barseq) | dichloroacetic acid [IC50 (66.5 mM)] | YPD | Guan M~Zhang X, 2022
YAR019C	1.0218446601941749	0.4635922330097087	0.10436893203883495	0.10194174757281553	0.06553398058252427	1.5480769230769231	1.1658653846153846	1.0504807692307692	0.97911227154047	0.8746736292428199	0.7075718015665796
YAR035C-A	1.3826879271070616	0.9840546697038723	1.3826879271070616	1.9476082004555808	1.4943052391799543	1.266025641025641	1.0496794871794872	1.203525641025641	0.9297912713472487	0.825426944971537	0.7912713472485768
YBL001C	1.0526315789473684	0.9166666666666667	0.6271929824561403	0.7675438596491229	0.5394736842105263	1.4092827004219408	1.008438818565401	0.7763713080168777	1.3333333333333333	1.3055555555555556	1.375
YBL002W	1.5211267605633803	2.0246478873239435	1.6514084507042253	2.8978873239436616	3.5739436619718306	1.2979351032448376	0.9557522123893806	0.967551622418879	1.3775933609958508	1.3651452282157677	1.3734439834024896
YBL003C	1.3439490445859872	1.7452229299363056	2.050955414012739	2.4649681528662417	3.184713375796178	1.380710659898477	1.3350253807106598	1.5685279187817258	1.0	1.128048780487805	0.8109756097560976
YBL004W	1.1543624161073827	0.5604026845637584	0.0436241610738255	0.04026845637583893	0.04026845637583893	1.5384615384615385	1.2517482517482517	0.9895104895104895	2.1256830601092895	1.6448087431693987	1.3114754098360655
YBL005W	1.462809917355372	1.4545454545454544	0.5785123966942148	0.7603305785123967	0.23966942148760328	1.4352331606217616	1.362694300518135	1.5129533678756477	1.1266666666666667	0.9733333333333333	0.9733333333333333
YBL008W	0.9148936170212767	0.8510638297872342	1.021276595744681	1.2127659574468086	1.021276595744681	1.660377358490566	1.641509433962264	1.8867924528301887	0.8472222222222222	0.6944444444444445	0.6805555555555555
YBL008W-A	0.5957446808510639	0.3404255319148936	0.9574468085106383	1.021276595744681	0.6170212765957447	2.4250000000000003	0.8749999999999999	1.3499999999999999	1.8644067796610166	1.271186440677966	0.983050847457627
YBL009W	1.3015075376884422	1.3366834170854274	1.6884422110552766	2.557788944723618	2.5376884422110555	1.3414634146341464	1.2439024390243902	1.7520325203252032	1.5	1.4146341463414633	1.1097560975609757
YBL010C	1.1702702702702703	1.135135135135135	1.545945945945946	2.4702702702702704	2.1756756756756754	1.364963503649635	0.902676399026764	1.0413625304136251	1.3660130718954249	0.9640522875816993	1.1797385620915033
