ORF	hap a | growth (colony size) | paromomycin [13 mg/ml] | Alamgir M~Golshani A, 2008
YER019C-A	16.811
YGL057C	-36.647
YER020W	-52.963
YGL058W	-36.015
YER024W	-38.472
YGL059W	-0.896
YER028C	-2.177
YGL060W	4.314
YER030W	-18.771
YGL062W	2.291
YER032W	-29.710
YGL066W	15.744
YER033C	-25.259
YGL067W	-9.630
YER034W	6.392
YGL070C	-19.628
YER035W	-8.099
YDR395W	-17.195
YDR263C	-8.422
YDR399W	-40.565
YDR264C	-4.294
YDR400W	22.344
YDR265W	-25.933
YDR401W	2.839
YDR266C	-24.753
YDR402C	-34.723
YDR268W	-5.742
YDR403W	-74.574
YDR270W	-29.907
YDR405W	-4.614
YDR272W	-25.427
YDR406W	-28.236
YDR273W	-32.434
YDR408C	11.391
YDR274C	-24.725
YDR409W	22.007
YDR275W	-26.003
YDR410C	-5.333
YDR276C	2.334
YDR411C	-22.436
YDR277C	56.757
YGL031C	-15.985
YEL068C	18.511
YGL032C	-28.502
YEL071W	-13.084
YGL033W	66.436
YEL072W	-13.393
YGL034C	-6.583
YER001W	1.282
YGL035C	3.878
YER002W	26.346
YGL036W	-0.994
YER004W	-45.184
YGL039W	3.738
YER005W	10.746
YGL041C	-16.889
YER007C-A	25.602
YGL043W	4.384
YER007W	-6.751
YGL045W	-20.021
YER010C	14.452
YGL046W	-8.184
YER011W	0.508
YGL050W	-0.642
YER014C-A	8.279
YDR380W	-6.919
YDR251W	12.992
YDR382W	19.183
YDR252W	43.618
YDR383C	-4.167
YDR253C	8.779
YDR384C	-1.555
YDR254W	4.946
YDR385W	17.036
YDR255C	-22.773
YDR386W	-4.112
YDR256C	-8.310
YDR387C	-2.131
YDR257C	22.260
YDR388W	25.911
YDR258C	-15.331
YDR389W	7.600
YDR259C	-4.405
YDR391C	32.974
YDR260C	5.213
YDR392W	40.106
YDR261C	4.160
YDR393W	20.799
YDR262W	31.526
YGL015C	-15.053
YEL054C	12.093
YGL016W	-12.733
YEL056W	10.409
YGL017W	3.654
YEL057C	20.827
YGL019W	65.201
YEL059W	53.559
YGL020C	5.788
YEL060C	-14.473
YGL021W	13.933
YEL061C	-12.592
