orf	hap a | growth (colony size) | paromomycin [13 mg/ml] | Alamgir M~Golshani A, 2008
YBL095W	-0.4552147253633472
YBL096C	-1.5862384564461833
YBL098W	-0.1611927145476502
YBL099W	-0.05928974336513993
YBL100C	-0.6541281708496091
YBL101C	1.0178465667787322
YBL102W	0.39813029546929707
YBL103C	0.0073470260085520414
YBL104C	-0.29670482201882725
YBL106C	-0.1999217023510859
YBL107C	-0.07897559430044918
YBR001C	1.59043047316143
YBR003W	-0.05928974336513993
YBR005W	-1.2620832119500531
YBR006W	-1.7670291141197063
YBR007C	0.7354021535814024
YBR008C	-1.0143978248350574
YBR009C	0.3045869793647016
YBR010W	0.21362763614245317
YBR012C	0.7416981281170705
YBR013C	0.6585387977917886
YBR014C	0.32234250199619313
YBR015C	0.9675662145841611
YBR016W	-0.326918285652545
YBR018C	0.2564096575532252
YBR019C	0.3661607358826272
YBR020W	-0.014072404026335235
YBR021W	0.4230955833850362
YBR022W	-1.584839350993813
YBR023C	0.07966328907796122
YBR024W	0.2300671252078086
YBR025C	1.5453530443678625
YBR026C	-0.42099348043926826
YBR027C	0.42287697315810335
YBR028C	0.9619697927746784
YBR030W	1.545527932549409
YBR031W	-0.08528206212700998
YBR032W	-0.7013042578217326
YBR033W	0.32469474803799137
YBR034C	-0.13867586117355968
YBR035C	-0.19548828694888631
YBR036C	0.5930868958480731
YBR037C	-0.05928974336513993
YBR040W	-0.433052020556888
YBR041W	-0.8233762085410739
YBR042C	-0.0846738884756826
YBR043C	-0.5964587929847053
YBR044C	1.4031033697026132
YBR045C	1.051337653544855
YBR046C	-0.84646144850519
YBR047W	-1.133365510331951
YBR048W	1.0017568540764694
YBR050C	-1.1717534661813716
YBR051W	-1.1190246794451517
YBR052C	0.06965531288897224
YBR053C	-0.13285208472806675
YBR054W	-0.48882823385655255
YBR056W	-1.108924886960851
YBR057C	0.6629547243758335
YBR058C	0.42225393401134453
YBR059C	1.4914000403608183
YBR061C	0.2592472182988144
YBR062C	-0.22841973153406103
YBR063C	0.6926419931933238
YBR064W	-1.3979276069661681
YBR065C	-0.42601277124964804
YBR066C	-1.6690480104083727
YBR067C	0.06213512108247988
YBR068C	-1.2682480203495614
YBR069C	-0.5157916192464587
YBR071W	1.0494138835478455
YBR072W	0.6793286303731091
YBR073W	-0.09566779678813904
YBR074W	-0.5942672983297783
YBR076W	-0.3730959797182659
YBR077C	1.677787119843824
YBR081C	-0.05928974336513993
YBR082C	1.3991683856178205
YBR083W	0.9597913418632918
YBR084C-A	-0.12426070280960307
YBR084W	0.06589740308799538
YBR085W	0.9322825239571881
YBR089C-A	-0.6263646720291285
YBR090C	-1.0380951734345856
YBR092C	-1.240265911302148
YBR093C	-0.002669694589514251
YBR094W	-0.5571089521367801
YBR095C	-1.0362151254829626
YBR097W	-0.05928974336513993
YBR098W	-0.34105500745746464
