orf	hap a | growth (colony size) | paromomycin [13 mg/ml] | Alamgir M~Golshani A, 2008
YCR016W	-43.5375
YCR017C	29.423
YCR019W	33.535
YCR020C	-1.9133
YCR020C-A	33.866
YCR020W-B	31.531
YCR021C	40.106
YCR022C	-2.5094
YCR023C	23.5
YCR024C	0.0
YCR024C-A	14.904
YCR025C	-11.569
YCR026C	19.335
YCR027C	16.232
YCR028C	45.475
YCR028C-A	-4.6932
YCR030C	-27.897
YCR031C	49.757
YCR032W	-24.421
YCR033W	19.946
YCR034W	-32.11645
YCR036W	-21.681
YCR037C	17.483
YCR043C	9.5427
YCR044C	0.0
YCR045C	-8.3334
YCR046C	-5.8933333333333335
YCR047C	43.547
YCR048W	-31.807
YCR049C	-29.041
YCR050C	5.681
YCR051W	7.6259
YCR053W	49.144
YCR059C	11.148
YCR060W	-20.702
YCR061W	-5.886000000000001
YCR063W	35.43
YCR065W	23.485
YCR066W	29.164
YCR067C	14.686
YCR068W	-42.6685
YCR069W	15.258
YCR071C	0.0
YCR073C	27.141
YCR073W-A	-20.966
YCR075C	23.028
YCR076C	-19.736
YCR077C	-13.223
YCR079W	-14.91
YCR081W	34.214
YCR082W	30.256
YCR083W	28.926
YCR084C	0.0
YCR085W	-2.8425
YCR086W	22.477
YCR087C-A	5.8841
YCR087W	19.301
YCR088W	16.452
YCR089W	1.9850000000000003
YCR090C	-6.9126
YCR091W	-21.565
YCR092C	-10.211
YCR094W	9.8114
YCR095C	1.0164
YCR098C	39.574
YCR099C	-16.336
YCR100C	-0.014014
YCR101C	16.281
YCR102C	-31.915
YCR102W-A	8.7212
YCR105W	13.422
YCR106W	43.603
YCR107W	24.674
YDL001W	-17.018
YDL002C	-4.490349999999999
YDL006W	-2.6824
YDL009C	0.0
YDL010W	-17.21
YDL011C	10.641
YDL012C	-9.5932
YDL013W	-10.522
YDL018C	2.4307
YDL019C	-11.702
YDL020C	-29.472
YDL021W	0.0
YDL022W	0.0
YDL023C	1.7517999999999998
YDL024C	-17.187
YDL025C	-0.71211
YDL026W	20.746
YDL027C	5.0864
YDL032W	0.0
YDL033C	-3.3932
YDL034W	2.082
YDL035C	-27.979
YDL036C	-9.3232
YDL037C	-16.737
YDL039C	36.23266666666667
YDL040C	25.412
YDL041W	33.361
YDL042C	12.819
YDL044C	0.0
YDL045W-A	0.0
YDL046W	40.895
YDL047W	8.79025
YDL048C	-5.9104
YDL049C	0.0
YDL050C	-0.31181
YDL051W	0.57747
YDL052C	21.273
YDL053C	-3.2605
YDL054C	-21.908
YDL056W	39.374
YDL057W	0.0
YDL059C	25.394
YDL061C	21.917
YDL062W	0.0
YDL063C	0.0
YDL065C	-31.04
YDL066W	-13.885
YDL067C	6.033
YDL068W	0.0
YDL069C	0.0
YDL070W	-0.12300000000000111
YDL071C	-13.988
YDL072C	39.212
YDL073W	0.0
YDL074C	43.593
YDL075W	42.228
YDL076C	12.525
YDL077C	0.0
YDL078C	8.2274
YDL079C	28.624
YDL080C	-25.97
YDL081C	8.8567
YDL082W	5.9572
YDL083C	-6.9875
YDL085W	5.3702
YDL086W	32.141
YDL088C	-9.4749
YDL089W	22.123
YDL090C	12.192
YDL091C	10.797
YDL093W	-10.643
YDL094C	16.2
YDL095W	20.661
YDL096C	24.335
YDL099W	12.05
YDL100C	-5.1048
YDL101C	2.891
YDL104C	0.0
YDL106C	-20.707
YDL107W	0.0
YDL109C	-28.939
YDL110C	22.334
YDL112W	-22.886
YDL113C	13.763
YDL114W	-16.827
YDL116W	69.149
YDL117W	-20.049
YDL118W	-10.083
YDL119C	-8.0617
YDL121C	-5.2075
YDL122W	-41.384
YDL123W	-18.621
YDL124W	-4.2752
YDL125C	6.0365
YDL127W	-61.245
YDL128W	-42.129
YDL129W	-42.065
YDL130W	-21.621
YDL130W-A	-29.186
YDL131W	-22.377
YDL133C-A	3.886285
YDL133W	-29.147
YDL134C	37.679
YDL135C	-14.341
YDL136W	-4.4373
YDL137W	-9.5061
YDL138W	-5.6136
YDL142C	-8.6157
YDL144C	-14.842
YDL146W	10.735
YDL149W	4.6942
YDL151C	40.3615
YDL154W	-10.42
YDL155W	-9.5393
YDL156W	7.6167
YDL157C	-20.576
YDL159W	-3.9411
YDL160C	-9.7872
YDL161W	15.234
YDL162C	-16.375
YDL167C	19.973
YDL168W	27.265
YDL169C	32.338
YDL170W	12.999566666666665
YDL171C	-19.083
YDL172C	-8.9065
YDL173W	3.0197
YDL174C	-26.521
