ORF	hap a | growth (colony size) | Chimaphylin [0.05 mg/mL] | Galvan IJ~Smith ML, 2008
YEL004W	1.016
YDR305C	1.158
YEL005C	0.849
YDR306C	0.863
YEL006W	0.982
YDR307W	0.566
YEL007W	0.699
YDR309C	0.884
YEL008W	0.987
YDR310C	0.873
YGL072C	1.560
YER038W-A	1.776
YGL077C	1.136
YER039C	1.636
YGL078C	1.042
YER040W	1.708
YGL079W	1.222
YER041W	1.147
YGL080W	1.018
YER042W	0.805
YGL081W	0.758
YER044C	0.380
YGL082W	1.032
YER044C-A	1.086
YGL083W	1.362
YER045C	1.022
YGL084C	0.427
YER046W-A	1.096
YGL085W	1.305
YER047C	1.101
YGL086W	1.000
YER048C	0.821
YGL087C	1.225
YER049W	0.317
YDR414C	0.951
YDR278C	1.421
YDR415C	1.621
YDR279W	1.088
YDR418W	1.038
YDR281C	1.236
YDR419W	1.127
YDR282C	1.065
YDR420W	0.745
YDR283C	NaN
YDR421W	0.801
YDR284C	0.813
YDR422C	1.214
YDR285W	1.511
YDR423C	1.549
YDR286C	1.423
YDR425W	0.895
YDR287W	1.055
YDR426C	1.199
YDR289C	1.428
YDR428C	1.203
YDR291W	1.114
YDR430C	0.809
YDR293C	1.018
YGL051W	1.604
YER016W	0.974
YGL053W	1.083
YER017C	NaN
YGL054C	1.223
YER019W	1.019
YGL056C	0.697
YER019C-A	1.133
YGL057C	0.712
YER020W	0.767
YGL058W	0.901
YER024W	0.961
YGL059W	0.916
YER028C	1.025
YGL060W	0.796
YER030W	1.170
YGL062W	1.413
YER032W	1.605
YGL066W	0.000
YER033C	1.014
YGL067W	1.467
YER034W	0.727
YGL070C	0.980
YER035W	0.952
YDR395W	0.930
YDR263C	0.983
YDR399W	1.203
YDR264C	1.406
YDR400W	1.062
YDR265W	1.096
YDR401W	0.924
YDR266C	0.982
YDR402C	0.862
YDR268W	0.358
YDR403W	0.912
YDR270W	0.844
YDR405W	0.902
YDR272W	0.725
YDR406W	1.239
YDR273W	1.087
YDR408C	0.965
YDR274C	0.927
YDR409W	1.057
YDR275W	0.816
YDR410C	0.000
YDR276C	0.983
YDR411C	0.605
YDR277C	0.696
YGL031C	0.935
YEL068C	1.035
YGL032C	1.141
YEL071W	0.948
YGL033W	0.677
YEL072W	0.467
YGL034C	0.449
YER001W	0.790
YGL035C	0.620
YER002W	0.503
YGL036W	0.434
YER004W	0.787
YGL039W	0.920
YER005W	0.821
YGL041C	0.870
YER007C-A	0.901
YGL043W	0.121
YER007W	0.630
YGL045W	0.722
YER010C	0.464
YGL046W	0.751
YER011W	1.264
YGL050W	0.000
YER014C-A	1.187
YDR380W	1.072
YDR251W	1.050
YDR382W	1.035
YDR252W	0.961
YDR383C	0.534
YDR253C	0.543
YDR384C	1.448
YDR254W	0.508
YDR385W	0.539
YDR255C	0.000
YDR386W	0.684
YDR256C	1.068
YDR387C	0.645
YDR257C	0.656
YDR388W	1.411
YDR258C	0.654
YDR389W	0.172
YDR259C	0.569
YDR391C	0.761
YDR260C	0.741
YDR392W	0.000
YDR261C	0.582
YDR393W	0.330
YDR262W	0.726
YGL015C	1.394
YEL054C	1.236
YGL016W	1.055
YEL056W	0.940
YGL017W	0.700
YEL057C	0.710
YGL019W	0.475
YEL059W	0.718
YGL020C	0.466
YEL060C	0.467
YGL021W	0.559
YEL061C	0.848
YGL023C	0.000
YEL062W	1.326
YGL024W	0.367
YEL063C	0.993
YGL025C	0.000
YEL064C	0.827
YGL026C	0.746
YEL065W	0.691
YGL027C	0.746
YEL066W	0.780
YGL028C	0.627
YEL067C	0.979
YDR363W	0.995
YDR231C	0.677
YDR364C	NaN
YDR233C	0.748
YDR368W	0.701
YDR234W	0.697
YDR369C	0.000
YDR237W	NaN
YDR370C	0.611
YDR239C	1.136
YDR371W	0.663
YDR241W	0.884
YDR372C	0.680
YDR244W	1.066
YDR374C	0.964
YDR245W	0.000
YDR375C	0.680
YDR247W	0.832
YDR377W	1.053
YDR248C	0.644
YDR378C	0.820
YDR249C	0.819
YDR379W	0.590
YDR250C	0.687
YER087C-A	0.724
YEL042W	1.218
YGL002W	1.069
YEL043W	0.818
YGL003C	0.336
YEL044W	0.500
YGL004C	0.452
YEL045C	0.674
YGL005C	0.617
YEL046C	NaN
YGL006W	0.605
YEL047C	0.914
YGL007W	0.648
YEL048C	0.774
YGL009C	1.630
YEL049W	0.450
YGL010W	0.988
YEL050C	0.631
YGL012W	0.738
YEL051W	NaN
YGL013C	0.000
YEL052W	0.564
YGL014W	0.701
YEL053C	0.897
YDR346C	1.032
YDR217C	1.114
YDR347W	NaN
YDR218C	0.364
YDR348C	0.774
YDR219C	0.887
YDR349C	1.344
YDR220C	0.842
YDR350C	1.008
YDR221W	0.757
YDR351W	0.967
YDR222W	0.452
YDR352W	0.183
YDR223W	1.595
YDR354W	0.727
YDR225W	0.801
YDR357C	0.679
YDR226W	NaN
YDR358W	0.895
YDR227W	0.838
YDR359C	0.489
YDR229W	0.741
YDR360W	2.471
YDR230W	0.633
YER072W	0.531
YEL027W	NaN
YER073W	0.914
YEL028W	1.404
YER074W	0.874
YEL029C	1.122
YER075C	0.826
YEL030W	0.592
YER079W	0.369
YEL031W	0.246
YER080W	1.175
YEL033W	1.614
YER081W	1.058
YEL036C	NaN
YER083C	NaN
YEL037C	0.777
YER084W	0.733
YEL038W	0.567
YER085C	0.829
YEL039C	0.826
YER086W	0.250
YEL040W	0.361
YER087W	0.603
YEL041W	0.497
YDR329C	0.905
YDR199W	0.948
YDR330W	0.902
YDR200C	1.676
YDR332W	NaN
YDR203W	1.289
YDR333C	0.744
YDR204W	NaN
YDR334W	1.006
YDR206W	0.861
YDR335W	0.759
YDR207C	0.000
YDR336W	0.861
YDR209C	0.837
YDR337W	NaN
YDR210W	0.939
YDR338C	1.027
YDR213W	0.000
YDR340W	0.985
YDR214W	1.553
YDR344C	0.000
YDR215C	0.689
YDR345C	0.823
YDR216W	1.019
YER060W-A	0.758
YEL009C	0.845
YER061C	0.613
YEL010W	0.969
YER062C	0.555
YEL013W	0.627
YER065C	0.793
YEL014C	0.771
YER066C-A	1.542
YEL015W	0.481
YER067W	1.340
YEL016C	1.136
YER067C-A	1.983
YEL017C-A	1.573
YER068W	0.499
YEL017W	1.589
YER068C-A	0.686
YEL020C	0.663
YER069W	1.486
YEL023C	0.796
YER070W	NaN
YEL024W	0.589
YER071C	0.729
YEL025C	0.550
YDR312W	1.074
YDR181C	0.931
YDR313C	1.008
YDR183W	1.071
YDR314C	0.697
YDR184C	1.233
YDR315C	1.090
YDR185C	1.077
YDR316W	0.876
YDR186C	0.466
YDR317W	0.982
YDR191W	0.429
YDR318W	1.658
YDR192C	1.277
YDR319C	1.643
YDR193W	1.382
YDR320C	0.678
YDR194C	NaN
YDR321W	1.029
YDR195W	0.641
YDR322W	1.598
YDR197W	NaN
YDR323C	NaN
YDR198C	0.978
YIL065C	1.098
YHR108W	1.626
YIL072W	1.382
YHR109W	1.811
YIL073C	2.012
YHR110W	1.592
YIL076W	1.057
YHR111W	1.482
YIL077C	1.152
YHR112C	1.372
YIL079C	1.366
YHR113W	1.171
YIL084C	1.410
YHR114W	1.068
YIL086C	1.079
YHR115C	1.218
YIL087C	1.111
YHR116W	NaN
YIL088C	1.266
YHR117W	1.402
YIL090W	1.166
YHR120W	NaN
YIL093C	1.434
YHR121W	1.039
YGR212W	1.196
YGR064W	1.071
YGR213C	1.213
YGR066C	1.231
YGR214W	1.074
YGR069W	0.907
YGR215W	0.727
YGR070W	0.926
YGR217W	1.085
YGR071C	1.345
YHL047C	1.160
YGR072W	1.046
YHL046C	0.940
YGR076C	NaN
YHL045W	1.384
YGR077C	1.293
YHL044W	0.767
YGR078C	1.332
YHL043W	0.701
YGR079W	1.036
YHL042W	0.643
YGR080W	1.219
YHL041W	0.901
YGR081C	1.033
YIL037C	0.966
YHR086W	1.278
YIL039W	1.022
YHR087W	1.266
YIL040W	0.941
YHR092C	1.057
YIL041W	1.085
YHR093W	0.973
YIL043C	1.076
YHR094C	0.780
YIL044C	1.139
YHR095W	1.013
YIL045W	0.808
YHR096C	1.021
YIL049W	1.001
YHR097C	1.046
YIL050W	0.850
YHR103W	0.733
YIL053W	0.850
YHR104W	0.500
YIL057C	1.013
YHR105W	0.865
YIL064W	1.361
YHR106W	0.659
YGR194C	1.126
YGR042W	0.863
YGR196C	0.978
YGR043C	1.216
YGR197C	1.257
YGR044C	1.032
YGR199W	0.914
YGR045C	1.026
YGR200C	1.059
YGR049W	0.749
YGR202C	0.811
YGR051C	0.956
YGR203W	0.346
YGR052W	0.985
YGR205W	0.442
YGR054W	1.021
YGR206W	0.898
YGR057C	0.802
YGR207C	0.638
YGR058W	0.912
YGR208W	0.856
YGR059W	1.046
YGR209C	0.968
YGR062C	0.827
YIL017C	1.263
YHR060W	NaN
YIL020C	1.148
YHR061C	0.993
YIL023C	0.982
YHR066W	1.045
YIL024C	0.980
YHR073W	0.580
YIL025C	0.849
YHR075C	0.952
YIL027C	0.770
YHR076W	0.666
YIL028W	1.010
YHR077C	0.732
YIL029C	1.101
YHR078W	0.761
YIL032C	1.030
YHR079C	0.746
YIL034C	0.922
YHR080C	0.908
YIL035C	0.865
YHR081W	0.889
YIL036W	0.637
YHR082C	1.004
YGR176W	1.165
YGR021W	1.097
YGR177C	1.103
YGR023W	1.210
YGR178C	0.981
YGR026W	0.816
YGR180C	NaN
YGR027C	0.980
YGR181W	0.905
YGR031W	0.824
YGR182C	0.699
YGR033C	0.357
YGR183C	0.585
YGR034W	0.621
YGR184C	0.895
YGR035C	0.967
YGR187C	0.959
YGR036C	0.000
YGR189C	0.535
YGR037C	0.845
YGR192C	0.600
YGR039W	0.749
YGR193C	0.988
YGR041W	0.975
YHR207C	0.876
YHR037W	1.220
YHR209W	1.533
YHR038W	NaN
YHR210C	1.334
YHR039C	0.968
YIL001W	0.789
YHR043C	0.851
YIL002C	1.070
YHR044C	1.033
YIL005W	0.903
YHR046C	0.863
YIL011W	0.903
YHR047C	0.853
YIL012W	0.677
YHR048W	0.392
YIL013C	0.000
YHR049W	0.669
YIL014W	1.023
YHR049C-A	0.848
YIL015W	0.760
YHR050W	0.758
YIL016W	0.853
YHR057C	0.628
YGR161C	0.824
YGR004W	0.988
YGR163W	0.969
YGR006W	NaN
YGR164W	0.814
YGR007W	1.026
YGR165W	NaN
YGR008C	0.863
YGR166W	0.823
YGR010W	0.904
YGR167W	NaN
YGR012W	0.881
YGR168C	1.073
YGR014W	0.807
YGR169C	0.614
YGR015C	0.784
YGR170W	0.780
YGR016W	0.775
YGR171C	1.225
YGR017W	0.884
YGR173W	0.880
YGR019W	0.655
YGR174C	1.300
YGR020C	0.700
YHR182W	1.095
YHR014W	1.327
YHR183W	0.326
YHR015W	1.029
YHR184W	1.379
YHR018C	0.853
YHR189W	0.851
YHR021C	0.659
YHR195W	0.877
YHR022C	0.705
YHR198C	0.847
YHR028C	0.960
YHR199C	0.884
YHR029C	0.944
YHR200W	0.000
YHR030C	0.831
YHR202W	0.874
YHR031C	0.758
YHR203C	0.837
YHR033W	0.900
YHR204W	1.088
YHR034C	0.741
YHR206W	0.337
YHR035W	1.295
YGR144W	0.816
YGL254W	1.350
YGR146C	1.277
YGL255W	1.042
YGR148C	0.870
YGL256W	0.984
YGR149W	0.868
YGL257C	0.824
YGR150C	NaN
YGL258W	0.682
YGR151C	0.660
YGL259W	0.743
YGR152C	0.923
YGL260W	0.751
YGR153W	0.866
YGL261C	0.259
YGR154C	0.434
YGL262W	0.811
YGR157W	0.877
YGL263W	0.724
YGR159C	0.578
YGR001C	0.793
YGR160W	1.179
YGR003W	0.475
YHR156C	2.054
YHL010C	1.728
YHR157W	1.552
YHL009C	1.559
YHR158C	1.250
YHL008C	1.202
YHR159W	0.918
YHL007C	1.254
YHR160C	1.075
YHL006C	0.866
YHR161C	0.894
YHL005C	0.979
YHR163W	1.172
YHL003C	1.050
YHR167W	0.162
YHR001W-A	0.738
YHR176W	0.739
YHR010W	0.000
YHR177W	0.646
YHR011W	NaN
YHR178W	0.000
YHR012W	0.932
YHR179W	1.080
YHR013C	1.647
YGR130C	0.987
YGL240W	NaN
YGR131W	1.208
YGL241W	1.143
YGR132C	1.284
YGL242C	0.944
YGR133W	0.999
YGL243W	1.042
YGR135W	0.483
YGL244W	0.635
YGR136W	1.023
YGL246C	NaN
YGR137W	0.000
YGL248W	0.694
YGR138C	0.000
YGL249W	0.000
YGR139W	0.728
YGL250W	0.467
YGR141W	0.607
YGL251C	0.136
YGR142W	1.052
YGL252C	0.705
YGR143W	0.269
YGL253W	0.288
YHR138C	1.338
YHL027W	1.393
YHR139C	0.987
YHL026C	1.345
YHR139C-A	1.268
YHL023C	1.231
YHR142W	1.042
YHL022C	1.037
YHR143W	1.016
YHL021C	0.563
YHR147C	NaN
YHL020C	0.000
YHR150W	0.987
YHL019C	0.331
YHR151C	0.561
YHL017W	0.515
YHR152W	0.696
YHL016C	1.168
YHR153C	0.729
YHL014C	0.888
YHR154W	0.000
YHL013C	1.615
YHR155W	1.485
YHL012W	1.797
YGR108W	1.299
YGL224C	1.408
YGR109C	0.964
YGL226C-A	1.146
YGR111W	0.919
YGL226W	1.017
YGR112W	1.084
YGL227W	0.483
YGR118W	1.137
YGL228W	0.696
YGR121C	0.900
YGL229C	0.973
YGR123C	0.711
YGL230C	0.000
YGR124W	1.248
YGL231C	1.484
YGR125W	0.985
YGL232W	0.926
YGR126W	1.158
YGL234W	0.733
YGR127W	1.058
YGL236C	1.848
YGR129W	1.083
YGL237C	1.173
YHR123W	1.167
YHL040C	1.120
YHR124W	1.168
YHL038C	NaN
YHR125W	1.470
YHL037C	0.763
YHR126C	0.886
YHL036W	0.971
YHR129C	0.526
YHL035C	0.000
YHR130C	0.813
YHL034C	0.771
YHR132C	0.749
YHL033C	1.108
YHR133C	1.144
YHL032C	1.781
YHR134W	1.569
YHL031C	2.501
YHR135C	0.693
YHL030W	0.679
YHR136C	1.477
YHL029C	0.000
YHR137W	0.000
YHL028W	1.057
YGR084C	0.927
YGL208W	0.945
YGR085C	0.680
YGL209W	0.929
YGR087C	0.943
YGL210W	0.894
YGR088W	0.687
YGL211W	0.633
YGR096W	0.840
YGL212W	0.177
YGR097W	0.918
YGL213C	0.658
YGR100W	0.000
YGL215W	0.577
YGR101W	1.125
YGL216W	0.679
YGR102C	NaN
YGL220W	NaN
YGR104C	0.256
YGL221C	0.963
YGR105W	NaN
YGL222C	1.047
YGR107W	1.214
YGL223C	0.924
YLR087C	0.543
YLL006W	1.767
YLR089C	1.807
YLL009C	1.792
YLR090W	1.815
YLL010C	2.329
YLR091W	1.438
YLL012W	1.753
YLR092W	1.432
YLL013C	1.526
YLR093C	1.621
YLL014W	1.862
YLR094C	0.824
YLL015W	0.995
YLR095C	0.953
YLL016W	1.034
YLR096W	0.912
YLL017W	0.772
YLR097C	0.951
YLL019C	0.801
YLR098C	0.891
YLL020C	0.533
YLR099C	0.405
YLL021W	0.996
YKL148C	1.072
YKL015W	1.496
YKL149C	1.109
YKL016C	1.075
YKL150W	1.392
YKL017C	1.297
YKL151C	1.375
YKL020C	1.269
YKL155C	NaN
YKL023W	1.559
YKL156W	1.167
YKL025C	0.939
YKL157W	0.617
YKL026C	1.039
YKL158W	1.039
YKL027W	0.963
YKL159C	0.464
YKL029C	0.866
YKL160W	0.886
YKL031W	0.771
YKL161C	0.809
YKL032C	0.710
YKL162C	0.867
YKL034W	0.914
YLR070C	0.805
YKR055W	1.198
YLR072W	1.041
YKR056W	1.350
YLR073C	1.093
YKR057W	2.151
YLR074C	1.322
YKR058W	1.203
YLR077W	1.249
YKR059W	0.916
YLR079W	0.659
YKR060W	0.671
YLR080W	1.029
YKR061W	1.072
YLR081W	0.939
YKR064W	1.216
YLR082C	1.094
YKR065C	0.709
YLR083C	1.004
YLL001W	0.998
YLR084C	0.894
YLL002W	0.000
YLR085C	0.896
YLL005C	0.920
YKL132C	0.988
YJL131C	1.273
YKL133C	1.273
YJL130C	1.169
YKL134C	0.931
YJL129C	1.363
YKL135C	0.681
YKL001C	1.123
YKL136W	1.115
YKL002W	0.768
YKL137W	0.777
YKL003C	1.188
YKL138C	0.910
YKL006W	0.582
YKL140W	1.154
YKL007W	0.788
YKL142W	0.787
YKL008C	0.855
YKL143W	0.548
YKL009W	0.527
YKL146W	0.840
YKL010C	1.047
YKL147C	0.967
YKL011C	0.551
YLR056W	1.351
YKR035C	1.134
YLR057W	0.802
YKR042W	0.442
YLR058C	0.954
YKR043C	1.060
YLR059C	1.152
YKR044W	1.122
YLR061W	0.810
YKR045C	0.841
YLR062C	0.891
YKR047W	0.955
YLR063W	0.998
YKR048C	0.552
YLR064W	1.078
YKR049C	1.015
YLR065C	1.083
YKR050W	0.259
YLR067C	NaN
YKR051W	0.509
YLR068W	0.638
YKR052C	0.703
YLR069C	0.969
YKR054C	0.809
YKL118W	0.590
YJL148W	0.000
YKL119C	1.686
YJL147C	1.023
YKL120W	1.012
YJL146W	1.374
YKL121W	1.220
YJL145W	1.098
YKL123W	0.922
YJL144W	0.800
YKL124W	1.388
YJL142C	0.178
YKL126W	0.724
YJL140W	0.873
YKL127W	0.806
YJL139C	0.987
YKL128C	0.864
YJL138C	0.537
YKL129C	0.000
YJL135W	0.926
YKL130C	0.659
YJL134W	0.490
YKL131W	0.824
YJL133W	0.849
YLR027C	1.149
YKR015C	1.136
YLR028C	1.758
YKR016W	1.264
YLR042C	1.497
YKR017C	1.208
YLR043C	1.104
YKR018C	1.132
YLR044C	0.770
YKR020W	1.008
YLR046C	1.136
YKR021W	0.789
YLR047C	0.964
YKR024C	0.000
YLR048W	0.670
YKR026C	0.883
YLR049C	0.775
YKR030W	0.872
YLR053C	0.688
YKR031C	0.685
YLR054C	0.923
YKR032W	0.638
YLR055C	0.328
YKR033C	0.965
YKL101W	1.123
YJL162C	1.162
YKL102C	1.217
YJL161W	0.866
YKL103C	0.951
YJL159W	1.074
YKL105C	1.421
YJL158C	1.343
YKL106W	0.946
YJL157C	1.052
YKL107W	0.967
YJL155C	0.949
YKL109W	0.907
YJL154C	0.999
YKL110C	0.949
YJL153C	0.211
YKL113C	0.753
YJL152W	0.793
YKL114C	0.372
YJL151C	0.804
YKL116C	0.634
YJL150W	0.910
YKL117W	0.739
YJL149W	1.112
YLR013W	1.007
YKL221W	1.122
YLR014C	1.311
YKL222C	1.276
YLR015W	1.337
YKR001C	1.473
YLR016C	1.309
YKR003W	1.276
YLR017W	0.943
YKR005C	0.966
YLR018C	1.092
YKR006C	0.968
YLR019W	0.715
YKR007W	1.042
YLR020C	0.707
YKR009C	0.934
YLR021W	0.559
YKR011C	0.801
YLR023C	0.698
YKR012C	0.696
YLR024C	0.499
YKR013W	1.107
YLR025W	0.688
YKR014C	0.906
YKL084W	0.670
YJL179W	1.293
YKL085W	1.128
YJL178C	1.380
YKL086W	0.907
YJL176C	1.173
YKL090W	1.178
YJL172W	1.300
YKL091C	1.006
YJL171C	0.955
YKL092C	0.942
YJL170C	0.628
YKL093W	0.689
YJL169W	0.647
YKL094W	0.656
YJL168C	0.000
YKL096W	0.282
YJL166W	0.210
YKL097C	0.776
YJL165C	0.348
YKL098W	0.545
YJL164C	0.455
YKL100C	1.162
YJL163C	1.069
