orf	hap a (post-SGA) | growth (colony size) | expression of yEVenus [prHSC82, 2u plasmid] | SC(MSG) - Leu | Farkas Z~Pal C, 2018
YCR026C	-0.012389696
YCR027C	0.025714706
YCR028C	0.080519629
YCR028C-A	-0.003645483
YCR030C	0.020280438
YCR031C	-0.006392946
YCR032W	0.010427055
YCR033W	0.006910558
YCR034W	0.030673934
YCR036W	0.003787133
YCR037C	0.016990683
YCR043C	-0.014612522
YCR044C	0.017666866
YCR045C	0.03727853
YCR046C	0.002050329
YCR047C	-0.018464681
YCR048W	0.036248435
YCR049C	0.013791225
YCR050C	0.026815217
YCR051W	0.041664514
YCR053W	0.028437244
YCR059C	0.006443542
YCR060W	0.039086129
YCR061W	0.028276831
YCR063W	0.013891918
YCR065W	-0.009237171
YCR066W	0.004935239
YCR067C	-0.019530424
YCR068W	0.004437454
YCR069W	-0.002082108
YCR071C	-0.034896142
YCR073C	-0.013714701
YCR073W-A	-0.012332311
YCR075C	0.021358848
YCR075W-A	-0.014096196
YCR076C	-0.037751525
YCR077C	-0.000892261
YCR079W	-0.003040855
YCR081W	-0.111930764
YCR082W	-0.027690344
YCR083W	0.021685138
YCR084C	
YCR085W	-0.016413071
YCR086W	0.011027382
YCR087C-A	-0.015149134
YCR087W	0.001350252
YCR088W	0.039483622
YCR089W	-0.006864185
YCR090C	-0.010564866
YCR091W	0.010050255
YCR092C	0.030005054
YCR094W	0.022305383
YCR095C	-0.006929835
YCR095W-A	-0.00488947
YCR098C	-0.011210823
YCR099C	-0.028021059
YCR100C	-0.020248914
YCR101C	0.022152305
YCR102C	-0.001710761
YCR102W-A	0.009259894
YCR105W	-0.063792754
YCR106W	-0.028889221
YCR107W	-0.007145173
YDL001W	-0.001284976
YDL002C	-0.013965679
YDL006W	0.05577747
YDL009C	-0.005960362
YDL010W	0.016537885
YDL011C	0.019742056
YDL012C	-0.058311817
YDL013W	0.032178326
YDL018C	0.021863652
YDL019C	-0.006627835
YDL020C	-0.044799688
YDL021W	-0.00570415
YDL022W	-0.037599178
YDL023C	-0.013263259
YDL024C	0.016581021
YDL025C	-0.019640494
YDL026W	-0.014207883
YDL027C	0.020043167
YDL032W	0.015865447
YDL033C	0.004178971
YDL034W	0.01041937
YDL035C	-0.005890747
YDL036C	-0.007586147
YDL037C	-0.023399251
YDL039C	-0.023190078
YDL040C	0.005790891
YDL041W	
YDL044C	0.0238863
YDL045W-A	0.02126943
YDL046W	-0.036531016
YDL047W	-0.032922863
YDL048C	0.040218375
YDL049C	-0.001849021
YDL050C	-0.01782297
YDL051W	0.017981475
YDL052C	-0.008580478
YDL053C	-0.002531911
YDL054C	0.041836245
YDL056W	0.030285745
YDL057W	0.014143804
YDL059C	0.026377057
YDL061C	-0.013377048
YDL062W	-0.025259376
YDL063C	-0.043113899
YDL065C	-0.029959436
YDL066W	0.008343093
YDL067C	-0.003754379
YDL068W	0.040397241
YDL069C	-0.024588177
YDL070W	0.016369597
YDL071C	-0.012683782
YDL072C	-0.481442417
YDL073W	
YDL074C	0.00801565
YDL075W	-0.03286162
YDL076C	-0.008599257
YDL077C	0.030796331
YDL078C	-0.007056594
YDL079C	-0.052484528
YDL080C	-0.005299617
YDL081C	0.019560774
YDL082W	-0.010495422
YDL083C	0.013064249
YDL085C-A	0.01864098
YDL085W	0.010039296
YDL086W	-0.043120009
YDL088C	-0.011737122
YDL089W	-0.0039397
YDL091C	-0.012817476
YDL093W	-0.010967592
YDL094C	-0.008223865
YDL095W	0.014332447
YDL096C	0.012596415
YDL099W	0.010157811
YDL100C	-0.077089173
YDL101C	-0.004567484
YDL104C	0.015270574
YDL106C	-0.019758845
YDL107W	-0.001186989
YDL109C	0.019175554
YDL110C	-0.003505335
YDL112W	-0.004831222
YDL113C	-0.005968836
YDL114W	-0.031834658
YDL115C	-0.038665042
YDL116W	-0.00201941
YDL117W	0.013186384
YDL118W	-0.018346912
YDL119C	-0.021514526
YDL121C	-0.00821774
YDL122W	-0.009638609
YDL123W	-0.012318916
YDL124W	0.02053801
YDL125C	0.027131154
YDL127W	-0.00796492
YDL128W	0.019012864
YDL129W	-0.010867161
YDL130W	-0.036853135
YDL130W-A	0.015016569
YDL131W	-0.036273456
YDL133C-A	-0.0162949395
YDL133W	-0.003959733
YDL134C	-0.016697033
YDL135C	0.017266131
YDL136W	-0.019426389
YDL137W	-0.010471866
YDL138W	-0.007909511
YDL142C	0.048282066
YDL144C	0.032808815
YDL146W	0.043033427
YDL149W	0.039543053
YDL151C	-0.061828054
YDL154W	0.012188436
YDL155W	-0.001612195
YDL156W	-0.003723384
YDL157C	0.032690352
YDL159W	
YDL159W-A	-0.006489918
YDL160C	-0.013481751
YDL160C-A	
YDL161W	-0.011170227
YDL162C	0.003985231
YDL167C	0.020152626
YDL168W	0.011500857
YDL169C	-0.008511068
YDL170W	0.012400892
YDL171C	-0.012055474
YDL172C	-0.000362147
YDL173W	-0.025198473
YDL174C	0.00893417
YDL175C	0.021045059
YDL176W	-0.023017103
YDL177C	0.008277855
YDL178W	0.010316955
YDL179W	0.003422487
YDL180W	0.013876503
YDL181W	-0.025330306
YDL182W	-0.016097938
YDL183C	0.013319686
YDL184C	-0.043025879
YDL185W	-0.018640527
YDL186W	-0.007454997
YDL187C	0.028341165
YDL188C	-0.028428881
YDL189W	-0.004095761
YDL190C	0.02277472
YDL191W	0.015152696
YDL192W	0.002505497
YDL194W	-0.019162611
YDL197C	-0.003388595
YDL198C	-0.016617749
YDL199C	-0.013495914
YDL200C	-0.005989261
YDL201W	0.023598365
YDL202W	0.199764653
YDL203C	-0.006420565
YDL204W	0.003790133
YDL206W	-0.006426533
YDL210W	-0.00010733
YDL211C	-0.003798083
YDL213C	-0.002387961
YDL214C	-0.034704302
YDL215C	-0.002136792
YDL216C	-0.020988325
YDL218W	0.008694254
YDL219W	-0.037324401
YDL222C	0.019534148
YDL223C	-0.038077543
YDL224C	-0.006509682
YDL225W	-0.052175551
YDL226C	-0.023532565
YDL227C	0.006922328
YDL229W	-0.019960225
YDL230W	0.043644632
YDL231C	0.022497224
YDL232W	-0.01848436
YDL233W	0.000169892
YDL234C	-0.026236223
YDL236W	-0.006120097
YDL237W	0.02598833
YDL238C	-0.015669039
YDL239C	-0.007665848
YDL240W	-0.009563178
YDL241W	0.009752938
YDL242W	-0.01244911
YDL243C	0.009938757
YDR001C	-0.007993914
YDR003W	-0.000962469
YDR003W-A	0.003273458
YDR004W	-0.031052094
YDR005C	0.017689299
YDR006C	0.002076045
YDR007W	-0.011880227
YDR008C	0.017854375
YDR009W	-0.009739745
YDR010C	-0.017580692
YDR011W	-0.006152145
YDR014W	0.023110433
YDR015C	-0.011533893
YDR017C	-0.039402936
YDR018C	0.000210296
YDR019C	-0.002608131
YDR020C	0.022167641
YDR022C	0.014041073
YDR024W	-0.018976469
YDR025W	-0.041174456
YDR026C	-0.005556539
YDR027C	-0.045595778
YDR028C	-0.009603254
YDR029W	-0.019633759
YDR030C	0.001149614
YDR031W	-0.003059199
YDR032C	0.017380022
YDR033W	0.028850078
YDR034C	
YDR034W-B	0.007690199
YDR035W	-0.045996685
YDR036C	0.056652251
YDR042C	0.007717409
YDR043C	-0.005226101
YDR046C	-0.020207853
YDR048C	-0.036115404
YDR049W	-0.012243546
YDR050C	-0.019156632
YDR051C	0.029618191
YDR055W	-0.030778811
YDR056C	-0.001348557
YDR057W	-0.013990085
YDR058C	0.012991252
YDR059C	0.013634837
YDR061W	0.028672856
YDR063W	0.036610953
YDR065W	-0.077998975
YDR066C	0.029696828
YDR067C	0.009674917
YDR068W	0.026916929
YDR069C	-0.012369425
YDR070C	0.022192896
YDR071C	0.016493248
YDR072C	-0.025192208
YDR073W	-0.012261476
YDR074W	0.026992526
YDR075W	0.017962373
YDR076W	-0.031476082
YDR077W	0.017162641
YDR078C	0.015794106
YDR079C-A	-0.056472954
YDR079W	-0.009223456
YDR080W	-0.057976472
YDR083W	-0.016492756
YDR084C	-0.009262983
YDR085C	-0.008557555
YDR089W	-0.035456418
YDR090C	-0.026127139
YDR092W	0.0175494
YDR093W	-0.001080737
YDR094W	0.001792803
YDR095C	0.030034756
YDR096W	0.020112812
YDR097C	0.0346051
YDR098C	-0.012334461
YDR099W	-0.033786436
YDR100W	0.024030779
YDR101C	0.029484662
YDR102C	-0.018188898
YDR103W	
YDR104C	0.00292446
YDR105C	0.014489617
