orf	hom | growth (culture turbidity) | chitosan [25 ug/ml], time [5 h] | Zakrzewska A~Klis FM, 2007	het | growth (culture turbidity) | chitosan [25 ug/ml], time [5 h] | Zakrzewska A~Klis FM, 2007	hom | growth (culture turbidity) | chitosan [25 ug/ml], time [9 h] | Zakrzewska A~Klis FM, 2007	het | growth (culture turbidity) | chitosan [25 ug/ml], time [9 h] | Zakrzewska A~Klis FM, 2007
YBR023C	-0.03139552110740621		0.5442487307474166	
YBR024W	-0.14827714350949117		0.013922365065158902	
YBR025C	-0.46703090426952		-0.8048096754247902	
YBR026C	0.37432486255854086		-0.08759309016572865	
YBR027C	1.193596923931162		1.6961506723179576	
YBR028C	0.04788287935465319		0.1639948894052625	
YBR030W	0.27913067571864164		-0.01928871898984456	
YBR031W	-0.8642510811804964		-1.4887857797511082	
YBR032W	-0.14142195632719753		0.028858820530405005	
YBR033W	-0.11653747561819025		0.1678294840465843	
YBR034C	-0.37117129784512354		-0.6192091991081654	
YBR035C	0.8094839460993112		0.702389964790363	
YBR036C	3.1657545512807856		2.8398146051326147	
YBR037C	-0.15620990948938965		0.03787869635836645	
YBR040W	-0.000459449877491924		-0.4147966443801934	
YBR041W	0.7524140557089631		1.3772811576586133	
YBR042C	-0.3086849006522264		0.22666908817023815	
YBR043C	-0.3128591944613348		-0.2501265472876395	
YBR044C	-0.35632230050063146		-0.5912406306500725	
YBR045C	-0.27932947721628537		-0.2942540738879796	
YBR046C	-0.11866178946086768		-0.1958840261559932	
YBR047W	-0.14472118257307995		-0.06673083829944075	
YBR048W	0.6936613401877024		1.0410806923821811	
YBR050C	-0.30541223498362974		-0.09946311349946635	
YBR051W	-0.4035745832647574		-0.08307121674490299	
YBR052C	-0.34017408461775206		-0.44175292966814	
YBR053C	-0.3113367955934402		-0.1666734310002897	
YBR054W	-0.4788707857189122		-0.16360812531219837	
YBR056W	-0.13729078959708563		-0.359751201271322	
YBR057C	0.09932115800659115		1.0056450518445188	
YBR058C	-0.4070495325593864		-0.4513901024803883	
YBR059C	0.3114725670786826		0.13863036453319239	
YBR062C	-0.3160409108443956		0.06417083839683174	
YBR063C	-0.20530514643985348		-0.25263384855763904	
YBR064W	-0.5009141424220305		0.1697054871798772	
YBR065C	-0.16487677258046393		-0.1537480649984432	
YBR066C	-0.14309551911515306		-0.16353559403999224	
YBR067C	0.008624916520179278		-0.11014871603252314	
YBR068C	-0.1960389548324785		0.12309783176111483	
YBR069C	-2.005285663687771		-2.95353256121564	
YBR071W	0.2780570471485368		0.7157797879791299	
YBR072W	0.13303928229278367		0.03760648950910998	
YBR073W	-0.4929022816012177		0.2653361892938032	
YBR074W	-0.16462053887910524		-0.13098714731543373	
YBR076W	-0.4128865297929467		0.003444522437772172	
YBR077C	0.43376981406584164		1.492464143326763	
YBR082C	-2.22084196759137		-1.3205652198878235	
YBR083W	-0.1277991321714354		-0.246230577957317	
YBR084C-A	-0.647280727506146		-1.2455447863448839	
YBR084W	0.053505755447106104		-0.08283294999530673	
YBR085W	7.412454375130832		-3.777617597135249	
YBR089C-A	-0.09465303844845784		0.23940054562582663	
YBR090C	0.1274673810646272		0.04447292757855705	
YBR092C	-0.31191075612494795		-0.10036487639275113	
YBR093C	-0.30029618812791314		-0.2510374535461077	
YBR094W	-0.1633092188501228		-0.19928227825998948	
YBR095C	-6.96216671754978		-1.2752508024001072	
YBR097W	-4.733512120600118		-0.02511522659373402	
YBR098W	-0.2394771669142822		-0.13052328380813336	
YBR099C	-0.5046709235192384		-0.6618241518681626	
YBR101C	-0.4186418287975641		-0.016889228241199285	
YBR103W	-0.7054970886616989		-0.45494275522489025	
YBR104W	-0.31483586761066923		-0.07947268090424556	
YBR105C	-0.03717934639775575		0.0859689295677015	
YBR106W	1.4774201057920573		1.525767727559815	
YBR107C	0.0911689493648246		0.7939502995669473	
YBR108W	0.03690560156019409		0.44168320406435746	
YBR112C	1.3744922801784136		0.9293401492531974	
YBR113W	-0.5123719202464081		-0.3276321771464482	
YBR114W	-0.2810248001145837		-0.27443172552450795	
YBR115C	-1.9425024633300703		-0.1371715588475331	
YBR116C	-0.45171607540655945		-0.25177110374697187	
YBR119W	0.7464680773418598		1.0632794438980377	
YBR120C	-0.6656296621557957		-0.6716201112601788	
YBR125C	0.2777688648849865		-0.2749851163179659	
YBR126C	-0.1901184535516895		0.3612282832018375	
YBR127C	0.9994280000709698		0.3713712276104303	
YBR128C	-0.33134362003317397		-0.4680580482748529	
