orf	hom | growth (culture turbidity) | chitosan [25 ug/ml], time [5 h] | Zakrzewska A~Klis FM, 2007	het | growth (culture turbidity) | chitosan [25 ug/ml], time [5 h] | Zakrzewska A~Klis FM, 2007	hom | growth (culture turbidity) | chitosan [25 ug/ml], time [9 h] | Zakrzewska A~Klis FM, 2007	het | growth (culture turbidity) | chitosan [25 ug/ml], time [9 h] | Zakrzewska A~Klis FM, 2007
YBR194W	0.685463175		1.498115765	
YBR195C	-0.159905027		-0.406700989	
YBR197C	0.17707468		-0.127841175	
YBR199W	-0.078721678		0.193011594	
YBR201W	0.135804795		-0.168985783	
YBR203W	0.054245819		-0.012916705	
YBR204C	0.016400954		-0.063264942	
YBR205W	-0.004845655		0.001852014	
YBR206W	0.007247986		0.029814622	
YBR207W	-0.044373762		-0.010537569	
YBR208C	-0.164420471		0.129687259	
YBR210W	-0.110163474		-0.1162116	
YBR212W	0.070727975		0.015829762	
YBR213W	0.199831495		-0.100649969	
YBR214W	-0.093920771		-0.018474646	
YBR215W	-0.233342945		-0.365417444	
YBR216C	0.055998245		-0.238232601	
YBR217W	0.086712074		0.052676387	
YBR218C	-0.064100877		0.027046448	
YBR219C	0.067350586		-0.092776406	
YBR220C	-0.109949804		0.03235823	
YBR221C	-0.041885239		0.06338622	
YBR222C	0.040997714		0.118763616	
YBR223C	0.003887729		0.136762352	
YBR224W	-0.343400478		-0.343503845	
YBR225W	-0.241868843		-0.612648761	
YBR226C	-0.264967424		-0.366792828	
YBR227C	-0.160421597		-0.138983224	
YBR228W	-0.086534909		-0.049407804	
YBR229C	-0.039491995		-0.086189753	
YBR230C	0.030511991		-0.053423495	
YBR231C	0.330543602		0.5166001	
YBR232C	-0.215107826		-0.016756461	
YBR233W	-0.048694167		-0.231024999	
YBR235W	-0.007470645		-0.135263809	
YBR238C	-0.162853543		0.0544608	
YBR239C	-0.179167467		-0.085710213	
YBR240C	-0.006491285		0.000979375	
YBR241C	-0.058468959		-0.11104106	
YBR242W	-0.112477688		0.007868201	
YBR244W	-0.082716695		-0.092241388	
YBR245C	-0.067741091		-0.139275154	
YBR246W	-0.003333113		-0.178849891	
YBR248C	-0.001396124		0.185966895	
YBR249C	0.23167041		0.300607034	
YBR250W	-0.000519716		-0.099548429	
YBR251W	-0.015725754		-0.272290456	
YBR255W	0.049928868		0.2812018	
YBR258C	-0.037239491		-0.036355406	
YBR259W	-0.011549004		-0.10991713	
YBR260C	-0.151752398		-0.208454159	
YBR261C	-0.140256412		-0.209210734	
YBR262C	0.053352335		-0.016096868	
YBR263W	0.038173074		-0.049446439	
YBR264C	-0.078645466		-0.095345687	
YBR266C	-1.384483429		-0.911122764	
YBR267W	-0.176091083		-0.249825561	
YBR268W	0.119081314		-0.261137444	
YBR269C	0.534290747		0.495887986	
YBR270C	0.163700347		-0.00264874	
YBR271W	0.071484483		0.875405934	
YBR272C	0.214662804		-0.028350435	
YBR273C	-0.203726024		0.240989198	
YBR274W	9.57484578			
YBR275C	-0.089076034		-0.040297167	
YBR276C	-0.16219879		0.125996777	
YBR277C	0.040509698		1.241860234	
YBR278W	0.299670917		1.029959463	
YBR279W	2.093043563		4.538449885	
YBR280C	-0.213658223		-0.009491696	
YBR281C	0.300670084		0.604647188	
YBR282W	0.543936499		1.484460413	
YBR283C	1.177271242		2.19266562	
YBR284W	0.118432648		0.478057027	
YBR285W	-0.150546252		-0.080835724	
YBR286W	0.170650171		0.509744324	
YBR287W	-0.05986368		-0.016366419	
YBR288C	-0.10525627		-0.317658724	
YBR289W	0.484265881		3.535701955	
YBR290W	0.864880087		1.873850708	
YBR291C	0.788878167		1.550702547	
YBR292C	0.149911369		0.394454914	
YBR293W	0.064541292		-0.187927371	
YBR294W	-0.188289394		0.080412432	
YBR295W	0.318782409		0.647039945	
YBR296C	-0.048538638		0.459596751	
YBR297W	0.210844101		0.752656392	
YBR298C	1.234158801		1.815292733	
YBR299W	0.041492183		0.005646018	
YBR300C	0.16331819		0.555770982	
YBR301W	-0.189692146		-0.156529721	
YCL001W	0.119661753		0.188437637	
YCL001W-A	0.887562997		2.204716917	
YCL002C	-0.017071486		-0.061006979	
YCL005W	1.013863934		2.702893081	
YCL007C	-0.473259459		-0.293497382	
YCL008C	0.596056149		1.291906663	
YCL009C	-0.129633351		-0.233560828	
YCL010C	0.163665954		0.560073202	
YCL011C	-0.085721268		0.352960145	
YCL014W	-0.010419309000000002		0.052378271000000004	
YCL016C	0.015216957		0.2337567	
YCL022C	-0.134537462		0.085407787	
YCL023C	-0.222670824		0.007262411	
YCL024W	-0.204656804		-0.097950799	
YCL025C	0.039212704		0.083202403	
YCL026C-A	-0.238352585		0.112945529	
YCL027W	-0.148448072		-0.140270391	
YCL028W	0.295486101		-0.135886926	
YCL029C	0.037724506		0.339620519	
YCL030C	-0.069295961		0.1351088	
YCL032W	0.362768478		0.826791407	
YCL033C	0.312085262		0.481046216	
YCL034W	-0.065355559		0.077075453	
YCL035C	0.099798281		0.117532226	
YCL036W	0.523147523		0.826822514	
YCL037C	0.067355176		0.133762558	
YCL038C	0.216456937		0.267523659	
YCL039W	0.142313892		0.137792194	
YCL040W	0.033158978		0.276476348	
YCL042W	-0.002818319		-0.117812908	
YCL044C	0.112862043		0.223265762	
YCL045C	0.323395727		0.932578006	
YCL046W	0.483621483		0.810294666	
YCL047C	-0.015980844		0.094962796	
YCL048W	0.083760632		-0.098974137	
YCL049C	0.078292033		0.152254262	
YCL050C	0.078537306		-0.017581234	
YCL051W	0.267959867		0.536149787	
YCL055W	0.307024508		0.43884566	
YCL056C	0.17246674		0.038588942	
YCL057W	0.165653003		0.263106554	
YCL058C	0.058633798		0.233254837	
YCL061C	0.128466635		0.423536651	
YCL063W	-0.03836529599999999		-0.19743718400000002	
YCL064C	0.112450507		-0.050391252	
YCL069W	-0.038491486		-0.258159453	
YCL076W	-0.098968021		-0.030610907	
YCR001W	0.06805018		-0.009512227	
YCR004C	-0.130066298		-0.315112434	
YCR005C	-0.253549519		0.120209698	
YCR006C	-0.038208681		-0.250297204	
YCR007C	-0.029560938		-0.049132559	
YCR008W	0.736450458		0.509471027	
YCR009C	0.526121664		4.08049811	
YCR010C	0.045759422		-0.151027852	
YCR011C	-0.038769291		-0.068644897	
YCR014C	-0.088362894		0.129232183	
YCR015C	-0.019358442		-0.066451429	
YCR016W	-0.043286367		-0.136911497	
YCR017C	1.938967039		3.194518773	
YCR019W	0.232740517		0.369203571	
YCR020C	-0.080472429		-0.060755905	
YCR020C-A	0.528374464		0.835058436	
YCR021C	-0.012785284		-0.038154279	
YCR022C	0.048049702		-0.02996114	
YCR023C	0.022986109		0.114482787	
YCR024C	0.515901537		1.069125205	
YCR024C-A	0.273556215		1.002911009	
YCR025C	0.143177698		0.604364767	
YCR026C	1.277758068		2.130598881	
YCR027C	0.510008592		0.819296349	
YCR028C	0.408862891		0.11605736	
YCR028C-A	0.895771203		-0.684684928	
YCR030C	0.119541552		-0.015940091	
YCR031C	0.03448748		0.388620033	
YCR032W	-0.113805033		0.032663893	
YCR033W	-0.158855912		0.235625075	
YCR034W	-0.430740184		-1.196577123	
YCR036W	0.620886307		2.016229219	
YCR037C	-0.047509846		-0.06640554	
YCR043C	-0.058619569		-0.104186685	
YCR045C	0.619253914		1.760808832	
YCR047C	-0.276710345		0.30256277	
YCR048W	0.372961213		0.105256484	
YCR049C	0.249596058		0.652352855	
YCR050C	0.904229685		2.206080031	
YCR051W	-0.210393475		-0.145561731	
YCR053W	-0.142804362		0.032598803	
YCR059C	0.257348987		1.02425522	
YCR060W	0.08645281		-0.099983798	
YCR061W	0.3059287415		1.0692714054999999	
YCR063W	-0.418331966		-0.790810244	
YCR065W	1.814083392		1.978997033	
YCR066W	0.045485703		0.151578255	
YCR067C	0.067629156		0.062499274	
YCR068W	0.876345127		1.676040228	
YCR069W	0.033789883		-0.046816817	
YCR071C	0.915332972		1.957554146	
YCR073C	0.093903915		-0.132875095	
YCR073W-A	-0.196067953		-0.255667659	
YCR075C	-0.258690566		-0.131546702	
YCR076C	-0.119733097		-0.067699808	
YCR077C	1.076569732		2.096549703	
YCR079W	0.344277534		0.79942665	
YCR081W	1.34146871		1.890096465	
YCR082W	-0.081120204		-0.051865432	
YCR083W	-0.045099696		-0.252492763	
YCR084C	0.664599303		1.093934374	
YCR085W	0.371337232		0.605370148	
YCR086W	0.223199256		0.85117329	
YCR087C-A	0.748692803		1.369788931	
YCR087W	0.720628133		1.459406058	
YCR088W	-0.069784651		0.103353671	
YCR089W	0.055515174		-0.008641884	
YCR090C	-0.011491334		0.06569234	
YCR091W	0.079503426		-0.317978739	
YCR092C	0.157917586		-0.082065549	
YCR094W	0.647252395		0.398912699	
YCR095C	0.33071753		0.628062076	
YCR098C	0.540016399		0.651905332	
YCR099C	-0.017939101		-0.233563107	
YCR100C	0.045987129		-0.128917721	
YCR101C	0.590650545		-0.086818739	
YCR102C	-0.057993014		0.259091313	
YCR102W-A	0.025269541		-0.068781209	
YCR105W	0.007996401		-0.131208918	
YCR106W	0.052239019		0.018389598	
YCR107W	0.032166444		-0.17987722	
YDL001W	0.146239662		0.206158542	
YDL002C	-0.018614419		0.034349246	
YDL006W	0.331553373		1.992119596	
YDL009C	-0.027963513		-0.088365791	
YDL010W	-0.037805517		-0.137107087	
YDL011C	0.039805311		-0.050746616	
YDL012C	0.091670873		0.144737049	
YDL018C	0.063518087		0.230346749	
YDL019C	0.399940963		-0.307515517	
YDL020C	0.038523492		0.164133126	
YDL021W	0.947481281		1.167791494	
YDL022W	0.311232656		0.152908825	
YDL023C	0.865299403		1.554792444	
YDL024C	0.32634817		0.04561726	
YDL025C	0.928211887		1.910126182	
YDL026W	0.153550831		0.152349751	
YDL027C	0.188652408		-0.035546175	
YDL032W	0.359571786		0.256140061	
YDL033C	0.920010621		1.461756832	
YDL034W	0.048690544		-0.248512174	
YDL035C	-0.262711357		-0.770118662	
YDL036C	0.278439572		-0.141450303	
YDL037C	0.670189098		1.024344923	
YDL039C	0.0460663555		-0.08882841699999999	
YDL040C	-0.295946814		-0.916718828	
YDL041W	0.593885438		-0.367303396	
YDL044C	-0.062975711		-0.178299551	
YDL045W-A	1.953085789		0.65776702	
YDL046W	0.13141947		-0.099515183	
YDL048C	2.028046414		2.814420646	
YDL049C	0.102746639		0.059773599	
YDL050C	0.172261424		0.109318787	
YDL051W	0.51068677		-0.150900633	
YDL052C	0.182719221		0.175797553	
YDL053C	0.085975067		0.285731802	
YDL054C	0.135368818		-0.093334717	
YDL056W	0.23007279		-0.16286032	
YDL059C	0.140455824		0.144796246	
YDL061C	0.783554526		0.982337923	
YDL062W	-0.665336902		-0.819039206	
YDL063C	-0.530499131		-0.678220976	
YDL065C	-0.056479758		0.307630695	
YDL066W	1.620398602		2.487023157	
YDL067C	0.07497177		0.419227488	
YDL068W	-0.083417857		0.053668685	
YDL069C	0.160728624		0.170285462	
YDL070W	-0.182747618		-0.25202948	
YDL071C	0.018192153		-0.340316014	
YDL072C	-0.195179437		-0.167866687	
YDL073W	0.584247825		-0.112064631	
YDL074C	1.506791766		2.29998964	
YDL076C	0.433901318		1.322936936	
YDL077C	-0.684013352		-0.923511401	
YDL078C	0.093695956		-0.071848665	
YDL079C	-0.133222681		0.03558081	
YDL080C	-0.161813373		-0.170967033	
YDL081C	0.756420564		0.941815425	
YDL082W	-0.511030095		-0.864322443	
YDL085W	0.001028208		-0.03800401	
YDL086W	-0.163749569		-0.045908652	
YDL088C	-0.070857817		-0.069344066	
YDL089W	0.365839418		0.158831941	
YDL090C	0.332158358		2.614148921	
YDL091C	-0.121585485		0.121949015	
YDL093W	-0.021248184		-0.003029507	
YDL094C	0.018724161		0.245246002	
YDL095W	0.059778201		0.484594221	
YDL096C	-0.026339414		-0.105198618	
YDL099W	-0.127875052		-0.189909264	
YDL100C	0.489086129		1.028931313	
YDL101C	0.299483988		0.74311193	
YDL104C	-0.12709796		0.181161371	
YDL106C	0.292623311		1.825196536	
YDL107W	-0.167309842		0.246245849	
YDL109C	-0.001407723		-0.231038373	
YDL110C	-0.156692146		0.041009078	
YDL112W	0.174429638		-0.056900486	
YDL113C	-0.043623957		-0.066421154	
YDL114W	-0.16283755		0.017442665	
YDL115C	1.537036832		2.965027899	
YDL117W	-0.31422852		-0.904388553	
YDL118W	-0.115433533		-0.474926221	
YDL119C	-0.177368744		0.330809672	
YDL121C	-0.307848249		0.059418309	
YDL122W	-0.210217204		-0.191472218	
YDL123W	0.779147681		0.017979535	
YDL124W	-0.226095439		-0.072495723	
YDL125C	0.063050202		-0.025872109	
YDL127W	-0.25476787		-0.160402777	
YDL128W	-0.106123865		-0.01061556	
YDL129W	-0.170333816		-0.063379236	
YDL130W	0.530038807		0.968652503	
YDL130W-A	0.171710133		-0.077199644	
YDL131W	-0.083952388		-0.058273728	
YDL133C-A	-0.100472784		0.11064202449999999	
YDL133W	1.308366523		2.356700875	
YDL134C	-0.064028987		0.250411706	
YDL135C	-0.090837647		0.121976137	
YDL136W	-0.405522389		-0.388570058	
YDL137W	-0.132019326		0.035790818	
YDL138W	-0.09214073		0.100321675	
YDL142C	-0.091350908		0.031229707	
YDL144C	-0.320383045		0.068974839	
YDL146W	0.752348222		1.358123849	
YDL149W	-0.149274057		-0.040860989	
YDL151C	-0.459320364		-0.045608891	
YDL154W	-0.079929966		-0.02095808	
YDL155W	-0.107414295		0.081884439	
YDL156W	-0.038140421		0.065800023	
YDL157C	0.015088614		-0.143451234	
YDL160C	0.959427119		1.153672808	
YDL161W	-0.235594717		-0.020083839	
YDL162C	-0.122952866		-0.270815382	
YDL167C	-0.192356971		-0.005786544	
YDL168W	0.033097109		0.605446921	
YDL169C	-0.208588632		0.050905064	
YDL170W	-0.091926273		-0.082996166	
YDL171C	-0.004386537		-0.118907807	
YDL172C	0.107904262		-0.132298466	
YDL173W	-0.076149488		0.018798025	
YDL174C	-0.179813894		-0.063308155	
YDL175C	-0.010395411		-0.134335698	
YDL176W	-0.03525893		0.222379172	
YDL177C	-0.017457801		-0.002757352	
YDL178W	0.097756152		-0.043472945	
YDL179W	-0.032832286		-0.060588862	
YDL180W	-0.016232505		-0.053667205	
YDL182W	-0.037231241		-0.040269649	
YDL183C	-0.014969767		-0.135924214	
YDL184C	-0.024961639		-0.018255425	
YDL185W	-0.363174714		-0.77635592	
YDL186W	0.006529888		-0.005090318	
YDL187C	0.009683695		-0.023041203	
YDL188C	-0.023215157		0.086603494	
YDL189W	0.044437236		-0.04641432	
YDL190C	0.010831158		0.057375838	
YDL191W	1.0173437		2.358426056	
YDL192W	-0.14463222		0.257987592	
YDL194W	1.245186327		2.830064254	
YDL197C	-0.082787764		0.027790618	
YDL198C	-0.343857763		-0.486991821	
YDL199C	-0.194953021		0.198231168	
YDL200C	0.228534838		-0.112102579	
YDL201W	-0.051510408		0.017521291	
YDL202W	0.111092936		0.31615032	
YDL203C	-0.065919824		0.16263536	
YDL204W	0.062530307		0.041570478	
YDL206W	-0.103011708		0.110569363	
YDL210W	-0.011634179		0.145908755	
YDL211C	0.063438474		-0.117369284	
YDL213C	1.502976194		1.339559436	
