ORF	hom | growth (culture turbidity) | chitosan [25 g/ml, time 5 hour exposure] | Zakrzewska A~Klis FM, 2007	het | growth (culture turbidity) | chitosan [25 g/ml, time 5 hour exposure] | Zakrzewska A~Klis FM, 2007	hom | growth (culture turbidity) | chitosan [25 g/ml, time 9 hour exposure] | Zakrzewska A~Klis FM, 2007	het | growth (culture turbidity) | chitosan [25 g/ml, time 9 hour exposure] | Zakrzewska A~Klis FM, 2007
YDR329C	0.221	NaN	0.456	NaN
YDR330W	-0.144	NaN	-0.097	NaN
YDR331W	NaN	1.103	NaN	-0.296
YDR332W	0.037	NaN	0.075	NaN
YDR333C	-0.333	NaN	-0.644	NaN
YDR334W	0.132	NaN	0.567	NaN
YDR335W	-0.088	NaN	0.330	NaN
YDR336W	0.752	NaN	-0.136	NaN
YDR337W	0.089	NaN	-0.073	NaN
YDR338C	0.019	NaN	-0.007	NaN
YDR339C	NaN	0.227	NaN	0.025
YDR340W	0.197	NaN	0.158	NaN
YDR341C	NaN	0.049	NaN	0.058
YDR344C	0.042	NaN	-0.066	NaN
YDR345C	0.203	NaN	0.175	NaN
YDR346C	0.149	NaN	0.087	NaN
YDR347W	0.182	NaN	-0.773	NaN
YDR348C	-0.066	NaN	-0.028	NaN
YDR349C	-0.462	NaN	-0.855	NaN
YDR350C	0.113	NaN	0.308	NaN
YDR351W	0.100	NaN	0.136	NaN
YDR352W	0.024	NaN	-0.090	NaN
YDR353W	NaN	0.246	NaN	-0.475
YDR354W	-1.352	NaN	-1.066	NaN
YDR355C	NaN	0.168	NaN	-0.332
YDR356W	NaN	0.201	NaN	-0.169
YDR357C	0.122	NaN	0.084	NaN
YDR358W	-0.114	NaN	0.040	NaN
YDR359C	1.360	NaN	1.213	NaN
YDR360W	0.350	NaN	-0.145	NaN
YDR361C	NaN	0.253	NaN	-0.299
YDR362C	NaN	0.639	NaN	-1.602
YDR363W	0.261	NaN	0.251	NaN
YDR363W-A	0.076	NaN	0.407	NaN
YDR365C	NaN	0.029	NaN	-0.021
YDR367W	NaN	-0.001	NaN	-0.088
YDR368W	0.094	NaN	-0.366	NaN
YDR369C	0.995	NaN	-0.784	NaN
YDR370C	0.093	NaN	0.024	NaN
YDR371W	0.081	NaN	0.093	NaN
YDR372C	1.292	NaN	2.461	NaN
YDR373W	NaN	0.447	NaN	-0.228
YDR374C	0.001	NaN	-0.053	NaN
YDR375C	0.103	NaN	0.148	NaN
YDR376W	NaN	-0.148	NaN	-0.443
YDR377W	1.282	NaN	-0.233	NaN
YDR378C	0.393	NaN	0.928	NaN
YDR379W	0.023	NaN	0.001	NaN
YDR380W	0.231	NaN	-0.202	NaN
YDR381W	NaN	0.086	NaN	0.115
YDR382W	-0.538	NaN	-0.220	NaN
YDR383C	0.033	NaN	-0.063	NaN
YDR384C	-0.191	NaN	0.006	NaN
YDR385W	-0.203	NaN	-0.618	NaN
YDR386W	-0.098	NaN	-0.132	NaN
YDR387C	0.098	NaN	-0.001	NaN
YDR388W	1.238	NaN	2.714	NaN
YDR389W	-0.100	NaN	-0.084	NaN
YDR390C	NaN	0.194	NaN	-0.177
YDR391C	0.005	NaN	0.091	NaN
YDR392W	0.635	NaN	1.263	NaN
YDR393W	0.093	NaN	-0.078	NaN
YDR394W	NaN	0.262	NaN	-0.163
YDR395W	0.198	NaN	0.368	NaN
YDR396W	NaN	0.562	NaN	0.018
YDR397C	NaN	-0.445	NaN	0.910
YDR398W	NaN	0.334	NaN	0.015
YDR399W	-0.089	NaN	-0.249	NaN
YDR400W	-0.168	NaN	0.004	NaN
YDR401W	1.004	NaN	NaN	NaN
YDR402C	-0.191	NaN	-0.097	NaN
YDR403W	-0.161	NaN	-0.221	NaN
YDR404C	NaN	0.294	NaN	-0.218
YDR405W	0.034	NaN	-0.670	NaN
YDR406W	0.002	NaN	-0.130	NaN
YDR407C	NaN	0.089	NaN	-0.218
YDR408C	-0.135	NaN	0.311	NaN
YDR409W	-0.035	NaN	-0.204	NaN
YDR411C	-0.035	NaN	0.063	NaN
YDR412W	NaN	-0.081	NaN	-0.268
YDR413C	NaN	-0.219	NaN	-0.103
YDR414C	0.153	NaN	0.134	NaN
YDR415C	-0.017	NaN	-0.036	NaN
YDR416W	NaN	0.097	NaN	-0.160
YDR417C	-0.473	NaN	-0.629	NaN
YDR418W	-0.654	NaN	-0.915	NaN
YDR419W	0.008	NaN	-0.134	NaN
YDR420W	-0.023	NaN	-0.072	NaN
YDR421W	-0.067	NaN	0.008	NaN
YDR422C	-0.073	NaN	-0.153	NaN
YDR423C	0.075	NaN	-0.089	NaN
YDR424C	0.051	NaN	-0.179	NaN
YDR425W	0.146	NaN	-0.024	NaN
YDR426C	0.115	NaN	0.104	NaN
YDR427W	NaN	0.041	NaN	-0.075
YDR428C	0.108	NaN	-0.172	NaN
YDR429C	NaN	0.069	NaN	-0.192
YDR430C	-0.054	NaN	0.121	NaN
YDR431W	0.083	NaN	-0.314	NaN
YDR432W	2.019	NaN	1.111	NaN
YDR433W	0.216	NaN	NaN	NaN
YDR434W	NaN	0.118	NaN	-0.492
YDR435C	0.259	NaN	0.409	NaN
YDR436W	-0.188	NaN	0.055	NaN
YDR437W	NaN	0.040	NaN	0.113
YDR438W	-0.009	NaN	-0.074	NaN
YDR439W	0.240	NaN	0.222	NaN
YDR440W	-0.067	NaN	0.055	NaN
YDR441C	-0.357	NaN	-0.314	NaN
YDR442W	0.653	NaN	1.315	NaN
YDR443C	0.653	NaN	0.439	NaN
YDR444W	-0.161	NaN	-0.199	NaN
YDR445C	0.021	NaN	-0.047	NaN
YDR446W	0.263	NaN	0.062	NaN
YDR447C	0.191	NaN	0.219	NaN
YDR448W	0.563	NaN	0.605	NaN
YDR449C	NaN	0.177	NaN	0.118
YDR450W	0.093	NaN	0.592	NaN
YDR451C	-0.010	NaN	0.142	NaN
YDR452W	-0.159	NaN	-0.257	NaN
YDR453C	-0.119	NaN	-0.159	NaN
YDR454C	NaN	0.488	NaN	0.243
YDR455C	0.401	NaN	1.055	NaN
YDR456W	0.023	NaN	0.811	NaN
YDR457W	-0.134	NaN	-0.065	NaN
YDR458C	-0.006	NaN	-0.375	NaN
YDR459C	-0.147	NaN	-0.077	NaN
YDR460W	NaN	0.173	NaN	-0.075
YDR461W	-0.159	NaN	-0.114	NaN
YDR462W	-0.114	NaN	0.249	NaN
YDR463W	-0.913	NaN	-2.046	NaN
YDR464W	NaN	0.482	NaN	0.424
YDR465C	-0.140	NaN	-0.076	NaN
YDR466W	-0.041	NaN	-0.287	NaN
YDR467C	-0.084	NaN	-0.077	NaN
YDR468C	NaN	0.270	NaN	-0.004
YDR469W	0.285	NaN	0.397	NaN
YDR470C	0.178	NaN	-0.125	NaN
YDR471W	-0.612	NaN	-0.851	NaN
YDR472W	NaN	0.644	NaN	0.240
YDR473C	NaN	0.487	NaN	-0.174
YDR474C	-0.096	NaN	0.521	NaN
YDR475C	-1.180	NaN	-0.838	NaN
YDR476C	-0.204	NaN	-0.115	NaN
YDR477W	1.164	NaN	NaN	NaN
YDR478W	NaN	0.381	NaN	0.288
YDR479C	-0.053	NaN	-0.205	NaN
YDR480W	-0.099	NaN	-0.015	NaN
YDR481C	-0.085	NaN	0.054	NaN
YDR482C	0.092	NaN	-0.004	NaN
YDR483W	0.375	NaN	0.796	NaN
YDR484W	0.115	NaN	-0.550	NaN
YDR485C	0.266	NaN	0.102	NaN
YDR486C	0.273	NaN	1.211	NaN
YDR487C	NaN	0.000	NaN	-0.142
YDR488C	0.013	NaN	0.183	NaN
YDR489W	NaN	0.101	NaN	-0.022
YDR490C	0.116	NaN	-0.192	NaN
YDR491C	0.255	NaN	0.391	NaN
YDR492W	0.160	NaN	0.393	NaN
YDR493W	-0.067	NaN	-0.068	NaN
YDR494W	0.063	NaN	0.246	NaN
YDR495C	0.101	NaN	0.368	NaN
YDR496C	-0.474	NaN	-0.837	NaN
YDR497C	-0.165	NaN	-0.297	NaN
YDR498C	NaN	0.199	NaN	-0.289
YDR499W	NaN	0.042	NaN	0.002
YDR500C	0.559	NaN	0.404	NaN
YDR501W	0.027	NaN	-0.247	NaN
YDR502C	0.069	NaN	0.030	NaN
YDR503C	0.137	NaN	-0.023	NaN
YDR504C	-0.134	NaN	0.080	NaN
YDR505C	0.034	NaN	-0.041	NaN
YDR506C	0.331	NaN	-0.042	NaN
YDR507C	0.043	NaN	0.070	NaN
YDR508C	0.314	NaN	0.286	NaN
YDR509W	0.134	NaN	0.061	NaN
YDR510W	NaN	0.044	NaN	-0.180
YDR511W	-0.079	NaN	-0.243	NaN
YDR512C	0.425	NaN	0.511	NaN
YDR513W	0.123	NaN	-0.155	NaN
YDR514C	0.106	NaN	-0.044	NaN
YDR515W	0.021	NaN	-0.169	NaN
YDR516C	-0.234	NaN	-0.778	NaN
YDR517W	-0.076	NaN	-0.292	NaN
YDR518W	0.270	NaN	-0.009	NaN
YDR519W	-0.040	NaN	-0.282	NaN
YDR520C	0.134	NaN	0.025	NaN
YDR521W	0.036	NaN	0.069	NaN
YDR522C	0.009	NaN	-0.132	NaN
YDR523C	-0.040	NaN	-0.156	NaN
YDR524C	0.490	NaN	0.530	NaN
YDR525W	1.377	NaN	2.365	NaN
YDR525W-A	0.270	NaN	0.054	NaN
YDR526C	NaN	0.138	NaN	-0.008
YDR527W	NaN	0.123	NaN	-0.234
YDR528W	0.106	NaN	0.244	NaN
YDR529C	0.085	NaN	0.112	NaN
YDR530C	0.034	NaN	0.129	NaN
YDR531W	NaN	1.058	NaN	0.089
YDR533C	0.177	NaN	-0.090	NaN
YDR534C	0.047	NaN	-0.240	NaN
YDR535C	0.128	NaN	0.004	NaN
YDR536W	0.136	NaN	-0.076	NaN
YDR537C	0.055	NaN	-0.057	NaN
YDR538W	0.132	NaN	0.092	NaN
YDR539W	0.163	NaN	0.029	NaN
YDR540C	0.097	NaN	-0.287	NaN
YDR541C	0.012	NaN	0.004	NaN
YEL001C	0.092	NaN	0.038	NaN
YEL002C	NaN	0.196	NaN	0.038
YEL003W	0.298	NaN	0.339	NaN
YEL004W	-0.021	NaN	0.004	NaN
YEL005C	0.032	NaN	0.327	NaN
YEL006W	-0.010	NaN	-0.362	NaN
YEL007W	0.155	NaN	0.405	NaN
YEL008W	0.072	NaN	0.174	NaN
YEL009C	-0.030	NaN	0.097	NaN
YEL010W	0.027	NaN	-0.035	NaN
YEL011W	-0.093	NaN	-0.049	NaN
YEL012W	0.103	NaN	-0.257	NaN
YEL013W	-0.080	NaN	-0.355	NaN
YEL014C	-0.016	NaN	-0.132	NaN
YEL015W	0.068	NaN	-0.421	NaN
YEL016C	0.173	NaN	0.090	NaN
YEL017C-A	0.040	NaN	-0.081	NaN
YEL017W	-0.037	NaN	0.090	NaN
YEL018W	0.129	NaN	0.133	NaN
YEL019C	NaN	0.065	NaN	0.078
YEL020C	0.099	NaN	0.050	NaN
YEL023C	0.272	NaN	0.033	NaN
YEL024W	0.273	NaN	0.147	NaN
YEL025C	0.158	NaN	0.190	NaN
YEL026W	NaN	0.211	NaN	-0.129
YEL027W	1.555	NaN	-0.117	NaN
YEL028W	-0.091	NaN	0.057	NaN
YEL029C	-0.006	NaN	0.347	NaN
YEL030W	-0.025	NaN	0.116	NaN
YEL031W	2.400	NaN	3.044	NaN
YEL032W	NaN	0.090	NaN	-0.184
YEL033W	-0.627	NaN	-0.481	NaN
YEL034W	NaN	-0.013	NaN	-0.186
YEL035C	NaN	0.265	NaN	-0.314
YEL037C	-0.179	NaN	-0.190	NaN
YEL038W	0.069	NaN	-0.038	NaN
YEL039C	0.060	NaN	0.121	NaN
YEL040W	0.341	NaN	-0.091	NaN
YEL041W	0.051	NaN	0.124	NaN
YEL042W	0.660	NaN	0.910	NaN
YEL043W	-0.099	NaN	0.152	NaN
YEL045C	-0.468	NaN	-0.421	NaN
YEL046C	-0.411	NaN	0.537	NaN
YEL047C	-0.138	NaN	-0.000	NaN
YEL048C	-0.099	NaN	-0.170	NaN
YEL049W	-0.159	NaN	0.054	NaN
YEL050C	-0.129	NaN	-0.311	NaN
YEL051W	-0.096	NaN	-0.910	NaN
YEL052W	-0.219	NaN	0.150	NaN
YEL053C	0.997	NaN	1.795	NaN
YEL054C	0.035	NaN	-0.805	NaN
YEL055C	NaN	-0.227	NaN	0.096
YEL056W	0.043	NaN	-0.167	NaN
YEL057C	-0.200	NaN	-0.028	NaN
YEL058W	NaN	-0.398	NaN	0.154
YEL059W	-0.165	NaN	0.313	NaN
YEL060C	-0.158	NaN	-0.069	NaN
YEL061C	0.219	NaN	0.380	NaN
YEL062W	-0.041	NaN	0.171	NaN
YEL063C	-0.073	NaN	0.052	NaN
YEL064C	-0.172	NaN	-0.073	NaN
YEL065W	0.007	NaN	-0.107	NaN
YEL066W	-0.060	NaN	0.010	NaN
YEL067C	-0.066	NaN	0.083	NaN
YEL068C	-0.118	NaN	0.022	NaN
YEL071W	-0.262	NaN	-0.105	NaN
YER001W	0.051	NaN	0.455	NaN
YER002W	-0.580	NaN	-0.488	NaN
YER003C	NaN	0.949	NaN	-1.148
YER004W	-0.257	NaN	-0.007	NaN
YER005W	0.530	NaN	0.778	NaN
YER006W	NaN	-0.329	NaN	0.089
YER007C-A	0.133	NaN	0.265	NaN
YER007W	-0.008	NaN	0.052	NaN
YER008C	NaN	-0.943	NaN	0.023
YER009W	NaN	-0.359	NaN	0.080
YER011W	-0.070	NaN	-0.266	NaN
YER012W	NaN	0.029	NaN	-0.035
YER013W	NaN	-0.432	NaN	0.200
YER014W	-1.779	NaN	-1.523	NaN
YER017C	0.050	NaN	-0.383	NaN
YER018C	NaN	0.023	NaN	0.094
YER019C-A	0.105	NaN	0.028	NaN
YER019W	-0.434	NaN	0.106	NaN
YER020W	-0.270	NaN	-0.721	NaN
YER021W	NaN	-0.687	NaN	0.137
YER022W	NaN	-0.554	NaN	0.029
YER023W	NaN	-0.643	NaN	0.056
YER024W	-0.069	NaN	-0.213	NaN
YER025W	NaN	-0.522	NaN	0.025
YER027C	-0.015	NaN	0.020	NaN
YER028C	-0.142	NaN	-0.243	NaN
YER030W	-0.011	NaN	0.124	NaN
YER031C	-0.385	NaN	-0.612	NaN
YER032W	0.016	NaN	-0.311	NaN
YER033C	0.207	NaN	-0.266	NaN
YER034W	0.003	NaN	-0.075	NaN
YER036C	NaN	-0.629	NaN	0.098
YER037W	-0.008	NaN	0.024	NaN
YER038C	NaN	-1.279	NaN	0.208
YER038W-A	0.132	NaN	-0.113	NaN
YER039C	0.089	NaN	-0.099	NaN
YER039C-A	0.170	NaN	-0.043	NaN
YER040W	-0.537	NaN	-0.421	NaN
YER041W	-0.157	NaN	-0.084	NaN
YER042W	-0.083	NaN	-0.049	NaN
YER043C	NaN	-0.522	NaN	-0.133
YER044C	1.708	NaN	NaN	NaN
YER044C-A	-0.104	NaN	-0.023	NaN
YER045C	-0.062	NaN	-0.167	NaN
YER046W	-0.067	NaN	0.022	NaN
YER046W-A	-0.192	NaN	-0.052	NaN
YER047C	-0.027	NaN	-0.309	NaN
YER048C	-0.057	NaN	-0.174	NaN
YER048W-A	NaN	0.020	NaN	-0.325
YER049W	-0.199	NaN	-0.381	NaN
YER050C	0.205	NaN	-0.432	NaN
YER051W	0.050	NaN	-0.019	NaN
YER053C	-0.271	NaN	-0.128	NaN
YER054C	0.296	NaN	NaN	NaN
YER055C	-0.125	NaN	-0.255	NaN
YER056C	-0.001	NaN	-0.245	NaN
YER056C-A	-0.120	NaN	-0.433	NaN
YER057C	-0.087	NaN	-0.142	NaN
YER058W	-0.083	NaN	0.012	NaN
YER059W	-0.019	NaN	-0.293	NaN
YER060W	0.111	NaN	0.270	NaN
YER060W-A	-0.055	NaN	-0.117	NaN
YER061C	2.100	NaN	4.553	NaN
YER062C	0.078	NaN	-0.205	NaN
YER063W	-0.229	NaN	-0.042	NaN
YER064C	0.101	NaN	-0.063	NaN
YER065C	0.138	NaN	-0.168	NaN
YER066C-A	0.601	NaN	-0.261	NaN
YER066W	-0.393	NaN	-0.241	NaN
YER067C-A	-0.032	NaN	-0.092	NaN
YER067W	-0.097	NaN	-0.219	NaN
YER071C	-0.013	NaN	-0.031	NaN
YER072W	0.360	NaN	0.871	NaN
YER073W	-0.208	NaN	-0.003	NaN
YER074W	-0.864	NaN	-0.435	NaN
YER075C	-0.278	NaN	-0.454	NaN
YER077C	-0.141	NaN	-0.466	NaN
YER078C	0.190	NaN	-0.124	NaN
YER079W	0.043	NaN	-0.214	NaN
YER080W	0.286	NaN	-0.228	NaN
YER081W	0.252	NaN	0.020	NaN
YER082C	NaN	0.690	NaN	0.035
YER083C	1.672	NaN	2.661	NaN
YER084W	0.488	NaN	0.750	NaN
YER085C	0.044	NaN	-0.041	NaN
YER087C-A	0.419	NaN	0.093	NaN
YER087W	0.696	NaN	-0.772	NaN
YER088C	0.104	NaN	0.044	NaN
YER089C	0.173	NaN	0.348	NaN
YER091C	2.326	NaN	0.975	NaN
YER091C-A	0.066	NaN	-0.025	NaN
YER092W	0.052	NaN	-0.077	NaN
YER093C	NaN	-1.065	NaN	-0.054
YER093C-A	0.002	NaN	-0.156	NaN
YER094C	NaN	-1.199	NaN	-0.035
YER095W	0.066	NaN	0.090	NaN
YER096W	-0.038	NaN	-0.163	NaN
YER097W	0.055	NaN	-0.230	NaN
YER098W	-0.074	NaN	-0.235	NaN
YER101C	0.335	NaN	-0.872	NaN
YER103W	0.288	NaN	-0.530	NaN
YER104W	NaN	-1.241	NaN	0.113
YER106W	0.565	NaN	-0.445	NaN
YER108C	0.493	NaN	-0.782	NaN
YER109C	0.263	NaN	-0.495	NaN
YER110C	0.866	NaN	-0.105	NaN
YER111C	-0.549	NaN	-1.747	NaN
YER112W	NaN	-1.896	NaN	0.052
YER113C	0.057	NaN	-0.250	NaN
YER114C	-0.099	NaN	-0.473	NaN
YER115C	-0.055	NaN	-0.824	NaN
YER116C	-0.231	NaN	-0.259	NaN
YER117W	-0.364	NaN	-0.665	NaN
YER118C	-0.072	NaN	-0.807	NaN
YER119C	-0.077	NaN	-0.810	NaN
YER119C-A	-0.166	NaN	-0.781	NaN
YER120W	-0.193	NaN	-0.978	NaN
YER121W	-0.344	NaN	-0.339	NaN
YER122C	-0.054	NaN	1.753	NaN
YER123W	-0.502	NaN	-0.654	NaN
YER124C	-0.217	NaN	-0.307	NaN
YER125W	NaN	-1.942	NaN	0.048
YER126C	NaN	-1.555	NaN	0.135
YER127W	NaN	-2.046	NaN	0.050
YER128W	-0.266	NaN	-0.811	NaN
YER129W	-0.177	NaN	-0.238	NaN
YER130C	-0.022	NaN	-0.671	NaN
YER131W	0.350	NaN	-0.624	NaN
YER132C	-0.226	NaN	-1.100	NaN
YER133W	NaN	-1.296	NaN	-0.173
YER134C	0.071	NaN	-0.760	NaN
YER135C	-0.043	NaN	-0.667	NaN
YER136W	NaN	-1.970	NaN	0.068
YER137C	0.050	NaN	-0.865	NaN
YER139C	0.287	NaN	0.404	NaN
YER140W	-0.274	NaN	-0.829	NaN
YER141W	0.027	NaN	-0.620	NaN
YER142C	-0.054	NaN	-0.569	NaN
YER143W	-0.054	NaN	-0.711	NaN
YER144C	0.125	NaN	0.014	NaN
YER145C	-0.217	NaN	-0.044	NaN
YER146W	NaN	0.166	NaN	0.442
YER147C	NaN	NaN	NaN	0.439
YER148W	NaN	-0.885	NaN	-0.039
YER149C	0.045	NaN	-0.627	NaN
YER150W	-0.139	NaN	-0.487	NaN
YER151C	0.684	NaN	0.993	NaN
YER152C	-0.086	NaN	-0.408	NaN
YER153C	0.151	NaN	-0.149	NaN
YER154W	0.242	NaN	0.068	NaN
YER155C	2.772	NaN	2.996	NaN
YER156C	0.207	NaN	-0.177	NaN
YER157W	NaN	-1.136	NaN	0.129
YER158C	-0.029	NaN	-0.207	NaN
YER159C	NaN	-0.835	NaN	-0.175
YER161C	-0.046	NaN	0.222	NaN
YER162C	0.071	NaN	0.143	NaN
YER163C	0.080	NaN	-0.119	NaN
YER164W	0.300	NaN	0.563	NaN
YER166W	-0.046	NaN	-0.223	NaN
YER167W	1.285	NaN	1.181	NaN
YER168C	NaN	-0.798	NaN	0.139
YER169W	0.123	NaN	-0.262	NaN
YER170W	0.093	NaN	-0.188	NaN
YER171W	NaN	-1.367	NaN	0.238
YER172C	NaN	-1.861	NaN	0.446
YER173W	0.232	NaN	-0.088	NaN
YER174C	0.132	NaN	-0.020	NaN
YER175C	-0.028	NaN	-0.169	NaN
YER176W	0.073	NaN	-0.236	NaN
YER177W	0.589	NaN	1.132	NaN
YER178W	0.321	NaN	0.094	NaN
YER179W	0.056	NaN	-0.330	NaN
YER180C	-0.156	NaN	-0.057	NaN
YER181C	-0.126	NaN	-0.003	NaN
YER182W	-0.139	NaN	-0.342	NaN
YER183C	-0.309	NaN	-0.272	NaN
YER184C	-0.216	NaN	-0.138	NaN
YER185W	-0.109	NaN	-0.148	NaN
YER186C	-0.071	NaN	-0.307	NaN
YER187W	-0.218	NaN	-0.165	NaN
YER188W	0.014	NaN	-0.179	NaN
YFL002C	NaN	1.289	NaN	0.657
YFL003C	-0.042	NaN	0.085	NaN
YFL004W	-0.024	NaN	-0.042	NaN
YFL005W	NaN	0.262	NaN	-0.318
YFL006W	-0.049	NaN	-0.009	NaN
YFL007W	0.030	NaN	0.279	NaN
YFL008W	NaN	0.787	NaN	-0.152
YFL009W	NaN	0.369	NaN	-0.135
YFL010C	-0.013	NaN	0.015	NaN
YFL010W-A	0.001	NaN	0.134	NaN
YFL011W	-0.014	NaN	-0.031	NaN
YFL012W	0.022	NaN	0.135	NaN
YFL013C	0.091	NaN	0.397	NaN
YFL013W-A	0.015	NaN	0.277	NaN
YFL014W	-0.247	NaN	0.074	NaN
YFL015C	-0.225	NaN	-0.058	NaN
YFL016C	0.530	NaN	2.331	NaN
YFL017C	NaN	0.436	NaN	-0.048
YFL018C	0.381	NaN	0.143	NaN
YFL018W-A	NaN	0.559	NaN	-0.245
YFL019C	0.070	NaN	0.244	NaN
YFL020C	0.038	NaN	0.330	NaN
YFL021W	0.313	NaN	0.013	NaN
YFL022C	NaN	0.534	NaN	-0.871
YFL024C	NaN	0.228	NaN	-0.610
YFL025C	0.472	NaN	0.250	NaN
YFL027C	0.028	NaN	0.014	NaN
YFL028C	0.205	NaN	0.218	NaN
YFL029C	NaN	0.205	NaN	-0.188
YFL030W	0.168	NaN	-0.123	NaN
YFL031W	0.095	NaN	0.234	NaN
YFL032W	0.149	NaN	0.164	NaN
YFL033C	0.701	NaN	1.129	NaN
YFL034C-A	0.039	NaN	-0.002	NaN
YFL034W	0.033	NaN	-0.051	NaN
YFL035C-A	NaN	0.202	NaN	-1.171
YFL035C-B	-0.006	NaN	0.074	NaN
YFL037W	NaN	0.480	NaN	-0.771
YFL038C	NaN	0.276	NaN	-0.415
YFL039C	NaN	0.885	NaN	0.587
YFL040W	0.008	NaN	0.088	NaN
YFL041W	0.164	NaN	0.081	NaN
YFL042C	0.171	NaN	-0.303	NaN
YFL043C	0.048	NaN	-0.037	NaN
YFL044C	0.006	NaN	-0.102	NaN
YFL045C	NaN	0.335	NaN	-0.464
YFL046W	0.120	NaN	-0.038	NaN
YFL047W	0.111	NaN	-0.066	NaN
YFL048C	0.328	NaN	0.537	NaN
YFL049W	0.138	NaN	0.264	NaN
YFL050C	0.095	NaN	0.062	NaN
YFL051C	0.247	NaN	-0.042	NaN
YFL052W	0.052	NaN	-0.059	NaN
YFL053W	-0.025	NaN	-0.066	NaN
YFL054C	0.099	NaN	-0.111	NaN
YFL055W	-0.119	NaN	-0.143	NaN
YFL056C	0.390	NaN	-0.113	NaN
YFL063W	-0.033	NaN	-0.156	NaN
YFR002W	NaN	0.244	NaN	-0.487
YFR003C	NaN	0.366	NaN	-0.276
YFR004W	NaN	-0.123	NaN	-0.448
YFR005C	NaN	0.108	NaN	-0.392
YFR006W	-0.036	NaN	0.235	NaN
YFR007W	0.107	NaN	0.011	NaN
YFR008W	0.056	NaN	-0.304	NaN
YFR009W	0.108	NaN	-0.187	NaN
YFR010W	0.273	NaN	-0.106	NaN
YFR011C	1.220	NaN	-0.019	NaN
YFR012W	0.373	NaN	-0.070	NaN
YFR013W	0.011	NaN	-0.131	NaN
YFR014C	0.009	NaN	-0.077	NaN
YFR015C	0.142	NaN	0.164	NaN
YFR016C	0.257	NaN	0.250	NaN
YFR017C	0.088	NaN	0.048	NaN
YFR018C	0.176	NaN	-0.054	NaN
YFR020W	0.137	NaN	0.118	NaN
YFR021W	0.288	NaN	0.252	NaN
YFR022W	0.114	NaN	-0.217	NaN
YFR023W	0.103	NaN	0.026	NaN
YFR024C	0.308	NaN	-0.066	NaN
YFR024C-A	0.113	NaN	0.015	NaN
YFR025C	0.036	NaN	-0.035	NaN
YFR026C	0.026	NaN	-0.034	NaN
YFR027W	NaN	0.043	NaN	0.081
YFR028C	NaN	-0.014	NaN	0.049
YFR029W	NaN	0.616	NaN	-0.116
YFR030W	-0.017	NaN	-0.061	NaN
YFR031C	NaN	0.070	NaN	-0.181
YFR031C-A	-0.363	NaN	-0.798	NaN
YFR032C	0.164	NaN	-0.085	NaN
YFR032C-A	-0.090	NaN	-0.568	NaN
YFR033C	0.356	NaN	0.092	NaN
YFR034C	0.052	NaN	0.109	NaN
YFR035C	0.491	NaN	0.072	NaN
YFR036W	0.139	NaN	0.050	NaN
YFR037C	NaN	0.438	NaN	-0.200
YFR038W	0.145	NaN	0.049	NaN
YFR039C	0.104	NaN	-0.018	NaN
YFR040W	0.337	NaN	0.918	NaN
YFR041C	-0.013	NaN	-0.008	NaN
YFR042W	NaN	0.290	NaN	-0.073
YFR043C	0.132	NaN	0.104	NaN
YFR044C	0.034	NaN	0.220	NaN
YFR045W	0.102	NaN	0.039	NaN
YFR046C	0.055	NaN	0.173	NaN
YFR047C	-0.109	NaN	0.040	NaN
YFR048W	0.100	NaN	0.299	NaN
YFR049W	0.296	NaN	0.167	NaN
YFR050C	NaN	0.578	NaN	0.014
YFR051C	NaN	0.599	NaN	0.241
YFR052W	NaN	0.744	NaN	0.034
YFR053C	-0.230	NaN	0.098	NaN
YFR054C	-0.079	NaN	-0.029	NaN
YFR055W	-0.148	NaN	0.026	NaN
YFR056C	-0.175	NaN	0.058	NaN
YFR057W	-0.543	NaN	-0.222	NaN
YGL001C	NaN	-0.018	NaN	-0.242
YGL002W	0.056	NaN	-0.192	NaN
YGL003C	-0.141	NaN	-0.071	NaN
YGL004C	-0.123	NaN	-0.117	NaN
YGL005C	0.154	NaN	0.694	NaN
YGL006W	-0.009	NaN	-0.349	NaN
YGL007W	-0.078	NaN	0.016	NaN
YGL008C	NaN	0.082	NaN	-0.167
YGL010W	-0.034	NaN	0.207	NaN
YGL011C	NaN	0.055	NaN	-0.318
YGL012W	1.328	NaN	2.306	NaN
YGL013C	0.161	NaN	-0.158	NaN
YGL014W	0.322	NaN	0.320	NaN
YGL015C	0.140	NaN	0.011	NaN
YGL016W	-0.113	NaN	-0.241	NaN
YGL017W	0.008	NaN	-0.023	NaN
YGL018C	NaN	0.153	NaN	0.319
YGL019W	0.685	NaN	1.397	NaN
YGL020C	0.673	NaN	4.032	NaN
YGL021W	0.105	NaN	0.075	NaN
YGL022W	NaN	0.141	NaN	-0.150
YGL025C	1.056	NaN	0.950	NaN
YGL027C	-0.209	NaN	-0.051	NaN
YGL028C	0.162	NaN	-0.208	NaN
YGL030W	NaN	0.071	NaN	-0.285
YGL031C	-0.460	NaN	-0.728	NaN
YGL032C	0.001	NaN	-0.294	NaN
YGL033W	-0.048	NaN	0.075	NaN
YGL034C	0.986	NaN	0.334	NaN
YGL035C	0.456	NaN	1.157	NaN
YGL037C	-0.110	NaN	-0.136	NaN
YGL039W	0.014	NaN	0.000	NaN
