orf	hom | growth (relative abundance in pooled culture) | cisplatin [500 uM], time [5 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | cisplatin [500 uM], time [overnight + 20 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | carboplatin [15 mM], time [5 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | oxaliplatin [4 mM], time [5 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | psoralen [0.5 uM], time [5 generations], radiation [unknown] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | angelicin irradiated (angelicin [62.5 uM], time [5 generations], radiation [unknown]) | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | mechlorethamine [62.5 uM], time [overnight + 5 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | mechlorethamine [62.5 uM], time [overnight + 20 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | mitomycin C [1 mM], time [5 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | streptozocin [2 mM], time [5 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | streptozocin [2 mM], time [overnight + 20 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | methyl methanesulfonate [0.002%], time [5 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | camptothecin [30 ug/ml], time [5 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | camptothecin [30 ug/ml], time [overnight + 20 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | 2-dimethylaminoethyl chloride [240 mM], time [5 generations] | Lee W~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | 4-nitroquinoline N-oxide [0.0313 uM], time [5 generations] | Lee W~Giaever G, 2005
YPL259C	-0.6021595199367097	0.2133662830056162	0.6067191090409935	-0.19206075390956126	0.1922956124481455	1.1259807180311532	-0.8825450458953245	0.7273237293831667	0.4114220824104966	-0.5285416573048	0.36477166524128407	0.3739258842450659	-0.07612385859506755	-0.903924952879289	-0.19273716875066324	-0.33564870686113696
YPL260W	0.8838657590804447	-0.27261694523311275	0.9293311807468123	0.3947669140738039	0.026822499569159268	-1.1516302586145928	0.5722260716488268	-0.10876598900421623	1.9598332337210562	-0.41652320881620636	0.14499554016361255	1.056344409437867	2.825188361000062	0.045853321344410135	-0.506945492837654	-0.6771022751809249
YPL261C	-0.177786576186646	0.8589315971375858	-0.5755742473756112	0.3348376856120218	-0.5378205516983035	-0.19245112361366	-0.660473517579133	0.6258687899121086	0.8967497869725063	1.149890057094573	0.4978538614997951	-0.22282303526847927	0.37265412616225985	-0.08427838220877909	-0.5715496332378174	0.6082977728336687
YPL262W	2.482208269624667	-0.1973746366357375	2.3775292191735113	2.3836167371710135	-0.6737290949733987	0.5084689785110132	0.055620100149913504	-0.4064059817872337	2.358697875472003	1.0561604178876087	-1.18450790249857	1.7977177475978297	1.9926722434673358	0.04404132366304081	-0.7899952951314201	0.5334814517370888
YPL263C	-0.062059507079046436	0.605611617318733	0.11335738952295986	-0.34138119752495444	-0.42967069676733044	0.13536292539797048	0.4717784067316825	0.3920229583874818	0.4134012136439079	-0.5369397874285636	0.527144905976287	-0.2837010931485884	-0.3484971084690297	-0.16632698255588732	0.2500297504017334	-0.2978095298180161
YPL264C	-0.17532942896621623	0.04604997170523354	-0.19645023016711385	-0.6038966409427966	-0.16359834282975647	0.3281133982395754	0.17407816592813247	-0.20222264108358196	-0.16757480987157286	-0.8821578385451139	-0.20219936493758328	-0.47960745609185734	-0.40201843834584533	0.06980168049129358	-0.36086873101048106	-0.5213389322491744
YPL265W	0.9745658509053229	-0.867910559226117	0.05687858952670445	-0.14949311835954526	-1.7394358956680376	-0.8250925205621908	0.09767174965193696	-0.2635979707356659	0.4382898138778571	-2.1706316328247772	-2.0669323364642485	0.03582641446882995	-0.2527912989071322	-2.4741757974159606	-0.8697320374854377	-0.46130196320019407
YPL267W	-0.003587143841993973	0.5209620120021068	0.18604091331455902	-0.4483234014746159	1.0188666392173351	0.19209193365969768	-0.9936294993451406	0.40475757600284007	-0.1682255750567963	-0.06038691072357966	0.4051295698633236	0.4675721402622248	0.7066625133825192	0.6889359230504316	-0.266781039852436	0.7207718369252376
YPL268W	-1.336514089604964	-0.14324347386778796	-0.16697587431760585	-1.298631703439964	-1.6397928568309652	-1.6544181536989429	-3.2627618116572354	-0.09361078509875999	0.26747699787784834	-2.419476565518651	-0.15200107247566227	3.215587456141601	0.8467302516056836	-0.061313799065237685	-0.3182209230487635	-0.2527811392481779
YPL269W	-1.0453907708878345	-3.1736598698181373	-0.6527804183712006	-2.293815109082842	0.2702354926060528	0.5192678271917138	-1.128557132072309	-0.9712119352788176	0.14044808098354347	-0.9573858345028244	-2.3693162224867272	0.58736373067383	0.8960443736467611	-3.5098312703359564	-0.17802889279242928	-1.4795399328182024
YPL270W	-0.0435554816056485	-0.6430450318324524	-0.2811781452237245	-1.056080225228524	0.9015833612320974	0.45332159994927457	-0.18585295164792995	-0.7910638144774425	-0.19118200649338127	0.03610957006249672	0.26207637765935815	-0.09520827306183142	-0.016010060149298136	0.3675620883404399	-0.13123324746682574	-0.19577102114852327
YPL271W	2.3397264795708694	-0.14324347386778796	2.1476468449542088	1.9134277960783805	1.0060174368881125	0.9625657415388803	2.111269410229524	-0.09361078509875999	2.852586161233446	0.5694728485586934	-0.15200107247566227	2.115712586732063	0.41320355862692904	-0.061313799065237685	0.6515020351621776	0.7517598873020629
YPL272C	-0.03314634703574227	0.5999513271320421	-0.16873601500351565	0.004595002419848952	-0.6575325582619118	-0.7669797501105815	-0.5783979454044134	0.45039558540170394	0.39901281776168407	-1.2598595045164867	-0.5249145793942501	1.0007841184496933	-0.8089491474011977	0.32828251911298395	0.5560337618174256	-0.4857451121822054
YPL273W	-0.7568784191888593	0.5121185257798948	-2.1239700087704727	-0.8580030892098461	-1.914477296831781	-2.8686275431330763	-0.5724055191064406	0.730701057010471	-0.6683919185386872	-2.2012797241626383	0.0022197346981496454	-0.7477905695225708	-0.5063634662346232	0.625204895551876	-2.2913946653186907	-0.11719503255699126
YPL274W	0.2511255401749871	0.2879591002705816	0.9051486764400073	-0.52029656917403	-0.298966750905018	0.0011773044052376448	0.08606316260289067	0.2114664349336816	0.434930881547254	-0.011563883054919925	0.5303441826194644	0.04832591869392269	-0.02767235139449537	0.34240012517803775	-0.13674440974008492	-1.2688383601120523
YPR001W	0.3850946449069566	0.0727877473931687	0.9024901782351851	0.3298733281066487	0.21223549914084655	-0.52114050704086	0.07054817074739458	-0.04440813557787054	0.25629844722766554	-0.038131526988014315	-0.7302628624096306	0.383788732951088	0.43582628631527587	1.0890188449793776	0.22588072860792932	0.02596616690474481
YPR002W	1.111915021644071	-0.33781164586833123	2.340123943700933	1.3145051976577686	0.31667333443862367	-0.07013231170385713	-0.029201945541431754	0.2830000677245479	0.8959208627045013	0.12379987598433284	-0.47807851273579266	1.2791402130902776	0.6181804496137636	0.01534925828921603	0.651630957175201	-0.7496767794779021
YPR003C	-0.14649665217204572	0.6430541423758214	-0.10329306994259102	-0.19407763796576105	-0.3934377758912464	-1.2687337546951047	0.5865923936833319	0.24353459723252877	-0.46562675557485894	-0.3304501699222395	0.13913434594018664	0.2783532078968317	-0.40353716326200795	-0.048677462566469584	-0.3119524708407371	-0.051130027889339055
YPR004C	0.5752238539811476	-0.3539632483432068	0.6143517191062569	-0.261140171030825	-0.13994643650385957	-0.2108161113894179	0.5460352073394145	-0.3226413256291124	-0.06997568623341728	0.03496677366308869	-0.5268699693176851	0.18344842782821755	0.13978994297563005	0.1660996175933618	0.2836042910216955	-0.05316651444910473
YPR005C	0.41785826182233965	0.13344748381339824	0.49767839354888055	0.15462477004417202	-0.25807939352735076	0.2667928154386934	0.7573904544017586	0.40121925613768405	0.34603173554568717	-0.27700444270200036	-1.2323962973219296	0.3029658738080927	0.7245944461275721	0.03014373587793678	-0.4289994467905123	0.1507396893713955
YPR006C	-0.5784256213406684	0.3331282006602254	-0.8704915340422867	-0.5434219887565613	-0.6498491037139292	-0.32584789532769104	-0.8064360648841953	1.1548313789278637	-1.3545809438158873	-1.8038400800472782	0.11038687996022188	-0.29883196052920497	0.02788004433405586	-0.16041731958424432	-1.4305143703862262	-1.2548643982293317
YPR007C	0.8498775380980138	-0.16147054157803212	1.3294397323665461	0.6446155971730024	0.943275281946872	0.9830679604999583	-0.13266702166654273	0.1391616186165392	0.6450370932442776	0.29764998114362584	0.21939986819171897	0.8075620422974172	0.9503472848487622	0.07925125540658617	0.4485128029559289	0.27839580059300356
YPR008W	-0.35568165321986034	-0.05640747723428622	-0.3482612213783377	-0.5195644812367006	0.6505470679154164	0.0025086513606547146	-0.28176953145805106	0.38362328707852966	-0.5768830028767914	0.337394352244272	0.531779627894047	-0.16266050493991246	-0.20952201571050563	-0.23899607750361054	-0.03391540004547054	-0.6888406155730031
YPR009W	-0.8324406581460332	0.412918478599387	-0.36850512516329526	-0.6523683289625188	0.22845459370290652	-0.6155495169787853	-0.7669467307614066	1.0744602812221162	-0.34025046916811447	-1.4199702959059097	0.14733777885688729	-0.03479065081030348	-0.023086115825808065	0.9412043983917583	-0.36914816359487995	-0.29667047801340135
YPR011C	0.2848349007499298	0.5820470925693562	0.28448649623629263	0.2822357104234857	0.5324178705336874	0.47482757065036185	-0.021234125122239277	0.875275157297982	0.220292422053944	-0.08835492082581824	0.3859164955901837	-0.45344201071593293	-0.10196832201348399	0.14781287533180867	0.3041841018092776	-0.12350451221130218
YPR012W	-0.16808302791469035	0.8028183000442253	-0.6002059304418724	-0.3917304543590714	-0.9039695564895216	-0.5629927613804911	0.3418906125270628	0.9320286498437823	-0.23749442279069755	-0.9317589980444501	-0.5664081525914145	-0.11517636072432398	-0.7134720614712523	0.2592276097957723	-0.7237557739203853	-0.24804792320227317
YPR013C	0.48584859718828627	-0.11619204512179857	0.6947935772978272	0.3733560735783264	-0.07649496248348713	-0.17814045422378844	-0.6965274412684387	0.22736562476664904	0.15846898402223164	0.061854346362802626	0.3541948964633151	0.7192621319353472	0.3150876554803466	0.20055700273606009	-0.8035919994025627	0.19867899010858237
YPR014C	-0.4370691967747414	0.29346103391332806	-0.3466130896451677	-0.1619513610940491	-0.37755203623210004	-0.5250297174381807	-0.221045704191164	0.7042035770780528	-0.2433118013765889	-1.091601374621201	-0.046092825496641995	-0.3963120046997456	-1.2871880429461517	-0.09061546922745818	-0.4307566436766813	0.08279839113281624
YPR015C	-0.36420525478539795	0.5208770961741945	-0.2538571043432126	-1.1201087819164965	-0.5403796145244297	-0.32436585457318645	-0.8881400085874179	0.940727494739151	-0.6456263185882616	-0.4102439289561139	0.1898600463712784	0.4070592554668525	0.6169740958292386	0.11431404116672568	-1.6613416211998773	0.11008518692774678
