ORF	hap a | growth (culture turbidity) | NaD1 [4 uM] | Bleackley MR~Anderson MA, 2014
YBR052C	-89.688
YDL002C	-89.859
YGR188C	-90.138
YNL127W	-90.280
YPL084W	-90.427
YPR189W	-90.500
YOR191W	-90.511
YKL201C	-93.763
YDL057W	-90.807
YCL037C	-90.862
YPL065W	-90.972
YDR463W	-91.016
YNL270C	-91.413
YMR143W	-96.068
YKR042W	-91.675
YGL254W	-92.006
YLR264C-A	-92.270
YNL040W	-92.301
YLR406C-A	-92.353
YLR134W	-92.587
YDR442W	-92.608
YNL238W	-92.776
YGL004C	-92.854
YDR507C	-92.920
YLR187W	-93.046
YGR027C	-93.186
YBR283C	-93.242
YLL030C	-93.264
YGR174C	-93.540
YMR280C	-93.563
YAL048C	-93.565
YBR084C-A	-93.580
YER068W	-93.732
YHR059W	-93.898
YJR112W-A	-93.963
YBL086C	-94.025
YMR158W	-94.419
YBR111W-A	-94.452
YNL198C	-94.502
YLR234W	-94.701
YHR200W	-94.718
YBR179C	-94.757
YOR359W	-94.801
YJL138C	-94.828
YKL068W-A	-95.019
YJL169W	-95.142
YLR412W	-95.226
YKR047W	-95.260
YJL023C	-95.309
YFL055W	-95.325
YLR236C	-95.359
YML047C	-95.520
YOR021C	-95.578
YJL182C	-95.668
YLR192C	-95.795
YLR254C	-95.804
YGR080W	-95.816
YKL137W	-99.340
YJL165C	-98.702
YLR235C	-95.905
YJL181W	-95.915
YJL154C	-95.964
YJL183W	-96.057
YJL151C	-98.922
YGL076C	-96.129
YLR233C	-96.213
YNR006W	-96.219
YKL124W	-96.254
YJL188C	-96.255
YJL155C	-96.261
YJL187C	-96.271
YFR026C	-96.323
YDL104C	-96.334
YDL068W	-96.405
YGL029W	-96.448
YJL186W	-96.474
YKL148C	-96.484
YLR414C	-96.484
YKL194C	-96.559
YBL068W	-96.566
YLR253W	-96.586
YLR376C	-96.590
YJL171C	-96.636
YGR157W	-96.652
YFR007W	-96.662
YLR413W	-96.671
YLR393W	-96.704
YPL029W	-96.724
YNR005C	-96.742
YLR390W	-96.834
YDR202C	-96.839
YJL199C	-96.862
YJL200C	-99.262
YER092W	-96.867
YAR002W	-96.877
YJL134W	-96.906
YJL189W	-97.963
YGL246C	-96.935
YJL190C	-96.992
YLR258W	-97.019
YJL185C	-97.045
YDR206W	-97.046
YGL167C	-97.077
YJL152W	-97.084
YJL198W	-97.104
YJL170C	-97.120
YLR410W	-97.125
YJL153C	-97.152
YAL013W	-97.188
YJL140W	-99.012
YNL220W	-97.258
YLR408C	-97.279
YJL135W	-97.297
YJL142C	-97.302
YKL162C	-97.344
YLR416C	-97.349
YHR079C	-97.366
YGL235W	-99.424
YOR099W	-97.379
YJL139C	-101.107
YLR255C	-97.389
YJL149W	-97.400
YLR395C	-97.409
YOR267C	-97.424
YNR022C	-97.440
YNR034W	-97.452
YKL077W	-97.474
YKL159C	-97.477
YBR076W	-97.491
YKL107W	-97.494
YNR040W	-97.504
YBL099W	-97.521
YBR048W	-97.566
YJL168C	-97.576
YJL157C	-97.582
YNR007C	-97.605
YKL079W	-97.607
YAL002W	-97.608
YJL166W	-97.632
YJL158C	-97.639
YER129W	-97.686
YDL243C	-97.687
YJL164C	-97.690
YGR097W	-97.699
YKL106W	-97.708
YLR231C	-97.710
YLR392C	-97.713
YKL156W	-97.720
YFR032C	-97.720
YKL128C	-97.739
YER185W	-97.748
YOR309C	-100.421
YKL109W	-97.754
YPR074C	-97.785
YJL144W	-97.828
YBL095W	-97.834
YNR019W	-97.837
YBR182C-A	-97.850
YER007C-A	-97.852
YBR047W	-97.852
YFR014C	-97.854
YKL157W	-98.549
YNR020C	-97.876
YNR036C	-97.897
YGL263W	-97.905
YHR049C-A	-97.907
YLL033W	-97.908
YHR181W	-97.919
YKL131W	-97.920
YLR110C	-97.921
YDR517W	-97.922
YNR047W	-97.929
YKL136W	-97.950
YGR055W	-97.952
YBL054W	-97.975
YJL145W	-98.014
YHR115C	-98.019
YNR041C	-98.022
YKL123W	-98.024
YNR021W	-98.028
YBR074W	-100.124
YLR374C	-98.042
YOR035C	-98.047
YKL158W	-98.071
YLR415C	-98.089
YLR239C	-98.091
YLR251W	-101.765
YDR129C	-98.097
YHL023C	-98.103
YGL232W	-98.120
YLR270W	-98.163
YGR035C	-98.164
YKL140W	-98.167
YKL094W	-98.171
YBR064W	-98.180
YBL098W	-98.185
YLR260W	-98.193
YNR039C	-98.195
YAL030W	-98.202
YHR033W	-98.208
YGL213C	-98.221
YOR369C	-98.224
YBR063C	-98.243
YDR101C	-98.246
YNR032W	-98.255
YGL177W	-98.257
YGL260W	-98.262
YLR269C	-98.267
YKL065C	-100.493
YLR252W	-98.277
YHR184W	-98.287
YKL171W	-98.311
YBR059C	-98.311
YLR417W	-98.312
YKL142W	-98.318
YBL066C	-98.320
YDR175C	-98.336
YNL043C	-98.348
YKL169C	-98.352
YNR009W	-98.356
YDL049C	-98.356
YIL153W	-98.356
YGL085W	-98.370
YNL254C	-98.385
YNR031C	-98.387
YCR100C	-98.412
YKL160W	-98.413
YDL083C	-98.417
YNL041C	-98.417
YLR238W	-98.424
YJL172W	-99.794
YKL075C	-98.434
YBL089W	-98.438
YNR018W	-98.452
YBL058W	-98.454
YAL018C	-98.459
YNR015W	-98.470
YAL031C	-98.480
YBL096C	-98.482
YLR058C	-98.484
YBR073W	-98.486
YGL179C	-98.489
YAL065C	-98.493
YJL150W	-98.498
YDL061C	-98.501
YBR072W	-98.502
YBR050C	-98.508
YDR171W	-98.511
YDR186C	-98.514
YDR535C	-98.519
YOR318C	-98.521
YGL234W	-98.527
YBR075W	-100.734
YGL249W	-98.537
YNL044W	-98.544
YDR069C	-98.557
YPL014W	-98.561
YDR536W	-98.580
YHR198C	-98.580
YLR329W	-101.491
YKL134C	-98.590
YKR028W	-98.601
YDR071C	-98.610
YCR027C	-98.618
YDR461W	-98.625
YFR034C	-98.627
YHR138C	-98.643
YKL126W	-98.645
YGL168W	-98.646
YDR523C	-98.650
YDR326C	-98.653
YKL092C	-98.655
YHR163W	-98.657
YNR024W	-98.658
YGL066W	-98.664
YKR019C	-98.674
YGL262W	-98.675
YBR122C	-100.198
YLR363C	-98.681
YLR387C	-98.689
YHR044C	-98.698
YNL129W	-98.702
YKL163W	-98.705
YLR265C	-98.710
YJL180C	-98.711
YKL063C	-98.714
YDR169C	-98.717
YKL114C	-98.740
YNL146W	-98.747
YNL136W	-98.751
YKL174C	-98.754
YGL180W	-98.774
YKL147C	-98.776
YJL201W	-98.780
YCR092C	-98.789
YOR167C	-98.791
YGR193C	-98.794
YLR400W	-98.799
YDR231C	-98.800
YNR027W	-98.804
YGL251C	-98.806
YBR061C	-98.808
YIL058W	-98.812
YGL056C	-98.818
YNR037C	-98.837
YCL026C	-98.838
YBL011W	-98.845
YCL042W	-98.858
YKR027W	-98.859
YJL161W	-100.518
YDR203W	-98.871
YNL134C	-98.875
YGL237C	-101.284
YAL040C	-98.879
YDR501W	-102.554
YLR289W	-98.880
YBL039C	-98.880
YBL045C	-98.886
YMR191W	-99.503
YKL170W	-98.893
YLR406C	-98.895
YMR137C	-98.896
YDR225W	-98.898
YDR173C	-98.904
YLR205C	-98.906
YLR439W	-98.920
YJL133W	-98.920
YKL084W	-98.921
YDR192C	-98.922
YKL091C	-98.932
YOR155C	-98.934
YLR180W	-98.939
YNR065C	-98.940
YKL097C	-98.942
YDL019C	-98.943
YNL133C	-98.945
YLR388W	-98.948
YIL030C	-98.948
YGL248W	-98.948
YKL093W	-98.968
YFR036W	-98.975
YBR062C	-101.912
YLR241W	-98.983
YNR004W	-98.987
YLR232W	-98.998
YCL008C	-99.000
YLL016W	-99.001
YBR037C	-99.006
YBL053W	-99.006
YGL084C	-99.008
YPR151C	-99.011
YDR165W	-99.014
YMR178W	-99.018
YBR297W	-99.024
YPL005W	-99.027
YJL028W	-99.043
YLR257W	-99.045
YBR077C	-99.050
YKL143W	-99.060
YGL064C	-99.064
YGR154C	-99.064
YBL042C	-99.064
YNL045W	-99.065
YDR503C	-99.065
YNR008W	-99.069
YJR085C	-99.076
YAR040C	-99.077
YBR201W	-100.346
YNL035C	-99.091
YJL102W	-99.099
YDR493W	-99.102
YNL027W	-99.102
YAR047C	-99.103
YGL121C	-99.106
YNR002C	-99.113
YPL088W	-99.114
YBR051W	-99.117
YBR213W	-99.121
YGR003W	-99.122
YML022W	-99.128
YNR055C	-99.131
YGR001C	-99.137
YGL261C	-99.141
YDR500C	-99.280
YKL168C	-99.164
YBL044W	-99.168
YJL176C	-99.175
YBL055C	-99.185
YDR185C	-99.193
YHL025W	-99.196
YGL230C	-99.199
YNL037C	-99.202
YAL053W	-99.204
YBL002W	-99.220
YCL009C	-99.227
YGL253W	-99.228
YHR010W	-99.234
YER116C	-99.234
YPR126C	-99.235
YGR205W	-99.238
YGL250W	-99.247
YLR287C	-99.248
YML027W	-99.253
YFR032C-B	-99.258
YJR004C	-99.259
YDR152W	-99.263
YNL233W	-99.266
YLR390W-A	-99.274
YJR014W	-99.274
YFL030W	-99.278
YJL163C	-100.387
YLR287C-A	-99.285
YDL035C	-99.285
YGL236C	-99.296
YDR191W	-99.302
YBL101C	-99.305
YNL128W	-99.309
YLR407W	-99.309
YPR111W	-99.311
YOL059W	-99.311
YGR004W	-99.326
YGL224C	-100.836
YGR016W	-99.338
YGR295C	-99.340
YNL236W	-99.341
YER130C	-99.343
YML038C	-99.350
YER044C	-99.354
YER101C	-99.354
YDR433W	-100.066
YLR328W	-99.358
YPL116W	-99.360
YER016W	-100.504
YGL229C	-99.365
YKL146W	-99.374
YMR198W	-100.311
YNR069C	-99.384
YKR106W	-99.385
YLR380W	-99.386
YJL204C	-99.390
YBL065W	-99.390
YGR066C	-99.396
YNL081C	-99.397
YKL067W	-99.401
YJL159W	-99.402
YBL059W	-99.422
YBL102W	-99.424
YOR158W	-99.434
YDR514C	-99.437
YBL100C	-99.438
YKL206C	-99.439
YOR308C	-99.450
YGL067W	-99.453
YJL160C	-99.517
YMR135W-A	-99.455
YNL139C	-99.457
YKL198C	-100.980
YAR044W	-99.464
YPL030W	-99.465
YLR028C	-99.467
YBR279W	-99.468
YPR073C	-99.469
YMR294W-A	-99.473
YJL146W	-99.473
YKL222C	-99.480
YPL267W	-99.481
YPL009C	-99.481
YBL067C	-99.484
YPR092W	-99.487
YER132C	-99.488
YLR057W	-99.496
YGR014W	-99.498
YLR109W	-99.500
YFL012W	-99.506
YKL066W	-99.509
YLR401C	-99.515
YMR048W	-99.517
YKL100C	-99.518
YPL047W	-99.524
YGR012W	-99.525
YJL193W	-99.526
YDR379C-A	-99.528
YDR444W	-99.542
YBL087C	-99.542
YLR250W	-99.544
YDL202W	-99.547
YKL176C	-99.551
YAR003W	-99.553
YMR243C	-99.555
YKL132C	-99.556
YGR051C	-99.562
YPL032C	-99.562
YDR155C	-99.569
YGL181W	-99.569
YNL098C	-99.570
YPL006W	-99.572
YAR014C	-99.572
YBL047C	-99.579
YPL008W	-99.583
YDR513W	-99.586
YLR090W	-99.588
YAR015W	-99.590
YOL079W	-99.595
YOR047C	-99.596
YBR212W	-99.597
YDL136W	-99.598
YGR100W	-99.600
YGL252C	-99.601
YPR116W	-99.609
YLR381W	-99.614
YIL173W	-99.619
YNL135C	-99.620
YKL166C	-99.621
YKL130C	-99.628
YMR206W	-99.633
YDR322W	-99.639
YCR030C	-99.640
YNR025C	-99.641
YKL096W-A	-99.647
YGL090W	-99.651
YCL028W	-99.653
YBL046W	-99.655
YMR064W	-99.656
YDR083W	-99.664
YGL081W	-102.318
YLL038C	-99.665
YJR058C	-99.665
YER067W	-99.668
YPR004C	-99.668
YPL194W	-101.323
YDR471W	-99.670
YGR208W	-99.672
YLR072W	-99.678
YER103W	-99.679
YNL292W	-99.682
YPL219W	-99.683
YOR013W	-99.689
YBL080C	-99.696
YDR539W	-99.698
YGL115W	-99.698
YKL138C	-99.699
YLR190W	-99.700
YKL151C	-99.700
YNL145W	-99.705
YCL023C	-99.939
YKL178C	-99.711
YDR309C	-99.713
YLR246W	-99.714
YPL001W	-99.714
YCL027W	-99.720
YGL083W	-99.721
YGL071W	-99.729
YPL224C	-99.730
YPR031W	-99.731
YKL070W	-99.733
YKL076C	-99.733
YDR183W	-99.736
YMR192W	-99.739
YDR541C	-99.741
YMR173W	-99.743
YHR133C	-99.748
YDR313C	-99.748
YJL123C	-99.754
YLR042C	-99.761
YNL228W	-99.764
YPL269W	-99.771
YBR071W	-99.772
YAL044C	-99.783
YNL023C	-99.784
YJL016W	-101.323
YDR323C	-99.785
YKL161C	-99.785
YAR030C	-99.789
YNR060W	-99.790
YML036W	-99.791
YGL196W	-101.286
YMR251W-A	-99.804
YBR295W	-99.808
YLL013C	-99.809
YMR042W	-99.809
YPR071W	-99.809
YML003W	-99.810
YDL048C	-99.811
YBL043W	-99.812
YAR018C	-99.814
YIL072W	-99.815
YPR093C	-99.816
YMR139W	-99.817
YMR104C	-99.820
YBR046C	-99.823
YNR028W	-99.831
YKL179C	-99.834
YGR149W	-99.835
YNL237W	-99.841
YHL044W	-99.842
YKR017C	-99.843
YKL110C	-99.848
YPL270W	-99.848
YBR100W	-100.161
YER028C	-99.849
YKL103C	-99.850
YGL220W	-99.854
YDR122W	-99.857
YLL001W	-99.863
YLR454W	-99.867
YKL117W	-99.870
YBR066C	-99.872
YML034W	-100.245
YPR123C	-99.879
YDR032C	-99.879
YGR189C	-99.881
YPL192C	-99.882
YNL227C	-99.883
YNL153C	-99.884
YIL018W	-99.886
YCR075W-A	-99.887
YGR164W	-99.889
YHR185C	-99.891
YPR007C	-99.892
YAL008W	-99.895
YKL071W	-99.897
YER118C	-99.899
YOR213C	-99.903
YNR042W	-99.904
YJL122W	-99.906
YFL007W	-99.908
YCR068W	-99.911
YGL215W	-99.911
YBL070C	-99.913
YHR100C	-99.913
YPR127W	-99.915
YER014W	-99.917
YDR504C	-99.918
YOL062C	-99.918
YMR199W	-99.918
YCR091W	-99.919
YDR486C	-99.919
YOR023C	-99.920
YHR132W-A	-99.923
YJL196C	-100.955
YDL033C	-99.924
YOR045W	-99.925
YKL177W	-99.930
YAL061W	-99.930
YJL107C	-99.931
YKL175W	-99.932
YER117W	-99.933
YAL010C	-99.953
YOR009W	-99.957
YGR187C	-99.958
YPL176C	-99.959
YNL226W	-99.960
YDR210W	-99.962
YDR538W	-99.962
YDR150W	-99.962
YDR242W	-99.963
YKR043C	-99.963
YDR154C	-99.963
YGL209W	-99.964
YLR331C	-99.964
YER027C	-99.965
YBR003W	-99.966
YGL138C	-99.971
YDR259C	-99.973
YBL064C	-100.000
YDR395W	-100.000
YGL063W	-100.000
YIL066C	-100.000
YJR151W-A	-100.000
YKR050W	-100.000
YLL060C	-100.000
YLR041W	-100.000
YLR081W	-100.000
YLR091W	-100.000
YLR169W	-100.000
YLR312W-A	-100.000
YOL100W	-100.000
YOL147C	-100.000
YPL025C	-100.000
YPL185W	-100.000
YCR031C	-100.026
YNL024C	-100.027
YNL022C	-100.028
YPL070W	-100.031
YBR225W	-100.035
YDR194C	-100.035
YDL010W	-100.035
YGL241W	-100.037
YOL090W	-100.038
YKL150W	-100.038
YKR100C	-100.456
YGL221C	-100.039
YMR205C	-100.039
YCR094W	-100.040
YGL259W	-100.040
YGR244C	-101.573
YDR477W	-100.041
YKL098W	-100.042
YHR082C	-100.044
YOR298C-A	-101.288
YGR058W	-100.049
YDR432W	-100.055
YLR056W	-100.063
YBR285W	-100.066
YMR088C	-100.067
YOL101C	-100.067
YDR452W	-100.068
YLR273C	-100.068
YLR237W	-100.069
YMR175W	-100.725
YML110C	-100.071
YAR031W	-100.074
YKR016W	-100.075
YER065C	-100.076
YOL064C	-100.076
YLR059C	-100.076
YAR035W	-100.079
YNR064C	-100.079
YOL154W	-100.080
YAL046C	-100.081
YHR175W-A	-100.082
YMR177W	-100.090
YHR003C	-100.091
YER135C	-100.098
YDR512C	-100.355
YPR089W	-101.019
YOR225W	-100.106
YNL089C	-101.843
YKR006C	-100.108
YGR239C	-100.108
YBR241C	-100.109
YNL111C	-100.110
YKR003W	-100.110
YDR540C	-100.112
YLR371W	-100.859
YPR005C	-100.116
YPL013C	-100.118
YBR045C	-100.118
YGL166W	-100.118
YNR010W	-100.121
YAR020C	-100.123
YLR324W	-100.124
YNL123W	-100.127
YKL118W	-100.130
YKL072W	-100.138
YPR090W	-100.142
YHR131C	-100.143
YDR178W	-100.144
YPR044C	-100.144
YAL037W	-100.147
YLR073C	-100.149
YDR100W	-100.149
YBR221W-A	-100.150
YFR053C	-100.156
YER077C	-100.158
YBR099C	-100.159
YPL189C-A	-100.162
YJL096W	-100.848
YBR034C	-100.167
YJL106W	-100.169
YNR066C	-100.170
YMR152W	-100.177
YMR066W	-100.177
YBR290W	-100.178
YKL200C	-100.179
YGL176C	-100.179
YBR044C	-100.180
YPL183W-A	-100.186
YER150W	-100.186
YKL202W	-100.187
YDR184C	-100.188
YDR213W	-100.188
YHR001W-A	-100.189
YNL224C	-100.190
YDR322C-A	-100.191
YLL006W	-100.191
YCL024W	-100.192
YER080W	-100.193
YBL060W	-100.194
YDR003W-A	-100.197
YDR524C-B	-100.199
YCR003W	-100.205
YJL063C	-100.207
YLR377C	-100.207
YPL177C	-100.214
YKR005C	-100.215
YPL253C	-100.215
YLR313C	-100.219
YDR465C	-100.224
YER153C	-100.230
YDR525W-A	-100.233
YKR009C	-100.233
YGR057C	-100.235
YGL148W	-100.236
YNL092W	-100.239
YDL130W-A	-100.241
YBL027W	-100.241
YMR297W	-100.242
YGR231C	-100.244
YLR074C	-100.252
YNL034W	-100.252
YHR067W	-100.254
YPR194C	-100.255
YPR047W	-100.256
YDR128W	-100.261
YEL059C-A	-100.262
YNR062C	-100.264
YLR220W	-100.267
YML016C	-100.267
YPR096C	-100.268
YFR033C	-100.269
YDR497C	-100.271
YLR344W	-100.272
YKR096W	-100.275
YPR128C	-100.279
YER113C	-100.281
YKR001C	-100.283
YPR008W	-100.283
YHL039W	-100.284
YDR315C	-101.447
YLR342W-A	-100.286
YOR033C	-100.286
YNR049C	-100.290
YBR031W	-100.291
YGL192W	-100.294
YNL235C	-100.295
YBR197C	-100.295
YJL213W	-100.300
YHR117W	-100.300
YPR106W	-100.302
YNL021W	-100.304
YDR488C	-100.304
YIR014W	-100.306
YKL207W	-100.307
YNL170W	-100.307
YJR003C	-100.307
YNL156C	-100.308
YPR192W	-100.308
YHR206W	-100.308
YBR196C-B	-100.310
YLR330W	-100.311
YHR004C	-100.311
YBR092C	-100.313
YGR155W	-100.314
YDR193W	-100.315
YDR293C	-100.316
YKL208W	-100.317
YKR099C-A	-100.317
YIL060W	-100.319
YPL191C	-100.321
YNL101W	-100.323
YMR204C	-100.324
YGR209C	-100.325
YLL039C	-100.327
YGR025W	-101.667
YHR130C	-100.330
YDL065C	-100.330
YKL096W	-100.331
YNL268W	-101.560
YDR417C	-101.315
YDR214W	-100.335
YPR037C	-100.335
YML001W	-100.336
YDL037C	-100.336
YCL058C	-100.337
YGR085C	-100.340
YHR136C	-100.340
YJR110W	-100.342
YBL021C	-100.343
YDL093W	-100.345
YDL032W	-100.345
YHL042W	-100.347
YGR011W	-101.310
YNL077W	-100.347
YPR195C	-100.347
YNR051C	-100.350
YGR174W-A	-100.351
YJL100W	-100.351
YPL071C	-100.354
YDR485C	-102.778
YDR312W	-100.357
YPR197C	-100.357
YML086C	-101.951
YCR025C	-100.357
YGL006W-A	-100.358
YHR028C	-100.361
YGL088W	-100.362
YDR291W	-100.362
YDR294C	-100.364
YPR075C	-100.364
YHR135C	-100.368
YHR103W	-100.369
YKL164C	-100.370
YJR075W	-100.370
YKL102C	-100.372
YDL236W	-100.372
YMR176W	-100.373
YDL075W	-100.373
YDR310C	-100.374
YNL046W	-100.376
YGR247W	-100.378
YLR445W	-100.843
YER134C	-100.380
YIL168W	-100.381
YOL162W	-100.381
YJR078W	-100.383
YGR015C	-100.385
YNL281W	-100.385
YMR190C	-100.386
YLR442C	-100.387
YLR204W	-100.387
YMR154C	-100.388
YLR461W	-100.388
YFR012W-A	-100.389
YGL005C	-100.389
YPL163C	-100.390
YFR023W	-100.391
YCL044C	-100.392
YKL068W	-100.392
YGL107C	-100.394
YKL081W	-100.395
YGR006W	-100.396
YGL026C	-100.398
YBR216C	-100.398
YBL088C	-100.400
YDL026W	-102.608
YLR083C	-100.403
YIR020W-B	-100.406
YKL086W	-100.407
YML035C-A	-100.408
YIL170W	-100.410
YLR061W	-100.411
YER124C	-100.412
YOR065W	-100.413
YIL088C	-100.414
YOL077W-A	-100.419
YBR199W	-100.419
YGL164C	-100.421
YDL051W	-100.423
YGL089C	-100.423
YCR028C-A	-100.424
YNL056W	-100.426
YNL168C	-100.426
YOL063C	-100.427
YKL167C	-100.433
YLR311C	-100.437
YDL159W-A	-100.438
YER045C	-100.438
YJR149W	-100.440
YJL119C	-100.444
YKR021W	-100.444
YMR266W	-100.444
YKL121W	-100.445
YJL197W	-100.446
YDR017C	-100.450
YBL082C	-100.452
YER119C	-100.452
YPR059C	-100.452
YPL003W	-100.454
YDL160C-A	-100.455
YPL145C	-100.455
YLR018C	-100.456
YKL085W	-100.457
YDR209C	-100.457
YLR006C	-100.460
YGL190C	-100.460
YDL067C	-100.460
YMR105W-A	-100.460
YLR148W	-100.466
YMR037C	-100.470
YGL057C	-100.473
YDR070C	-100.474
YGR203W	-100.475
YPR058W	-100.475
YHR080C	-100.477
YMR179W	-100.478
YLR386W	-100.478
YGR213C	-100.478
YNL278W	-100.478
YBL052C	-100.479
YPR040W	-100.482
YML104C	-101.904
YIL092W	-101.556
YHR096C	-100.487
YPL107W	-100.488
YKL133C	-100.489
YER111C	-100.489
YGR250C	-100.491
YMR207C	-100.492
YHR171W	-100.495
YDR223W	-100.496
YNR050C	-100.497
YBL022C	-100.497
YOR147W	-100.498
YGL231C	-100.501
YCR006C	-100.502
YHR113W	-100.503
YLL012W	-100.504
YLR271W	-100.504
YML010C-B	-100.505
YBR286W	-100.505
YLR065C	-100.505
YAL045C	-100.507
YCR024C-A	-100.508
YKR057W	-100.509
YDR197W	-100.509
YDL200C	-100.512
YML009C	-101.426
YCL030C	-100.514
YPL229W	-100.515
YCR024C	-100.516
YOR162C	-100.516
YKL135C	-100.517
YAL064C-A	-100.519
YDL069C	-101.557
YGL256W	-100.524
YJL206C-A	-100.524
YHR187W	-100.526
YGL078C	-100.527
YOL103W	-100.527
YIL128W	-100.528
YER099C	-100.532
YBR065C	-100.535
YBR292C	-100.538
YER114C	-100.539
YKR091W	-102.228
YNL094W	-100.544
YKL090W	-100.544
YJR079W	-100.547
YNL159C	-100.547
YER145C	-100.550
YEL065W	-100.551
YBL071C	-100.553
YBL091C-A	-101.495
YGR044C	-100.557
YGR018C	-100.797
YBL083C	-100.560
YPR060C	-100.560
YNL029C	-100.562
YNL067W	-100.563
YPR023C	-100.564
YGL218W	-100.824
YJR073C	-100.566
YLL017W	-100.567
YPL022W	-100.567
YJR036C	-100.567
YPR076W	-100.568
YLR319C	-100.568
YBL009W	-100.570
YMR194C-A	-100.571
YDL229W	-100.572
YCR037C	-100.572
YML042W	-100.572
YCR061W	-102.191
YMR014W	-100.575
YAL027W	-100.575
YPL033C	-100.576
YKL119C	-100.576
YMR095C	-100.578
YKL149C	-100.580
YER052C	-100.581
YBR094W	-100.581
YNL336W	-100.582
YDR279W	-100.583
YER115C	-100.587
YOL050C	-100.587
YLR375W	-100.587
YJL099W	-100.588
YPR097W	-100.589
YOR034C-A	-100.590
YDR502C	-100.592
YOL039W	-100.592
YLR307C-A	-100.594
YJL094C	-100.595
YML021C	-100.596
YCL040W	-100.599
YCR101C	-100.599
YNL225C	-100.600
YHR097C	-100.601
YJL206C	-101.325
YGR214W	-100.604
YNL069C	-101.336
YAL062W	-100.613
YBR170C	-100.614
YBR240C	-100.617
YPL027W	-100.620
YER044C-A	-100.623
YDR108W	-100.625
YGL184C	-100.629
YLR325C	-100.630
YBR053C	-100.630
YKL073W	-100.632
YDL045W-A	-100.633
YJL124C	-100.635
YGR146C-A	-100.636
YGR059W	-100.637
YNL144C	-100.637
YDR204W	-100.637
YPR072W	-100.641
YPL174C	-100.641
YEL037C	-100.642
YLR118C	-101.905
YFL034C-A	-100.644
YGR017W	-100.645
YDL074C	-100.645
YPR050C	-100.647
YAR042W	-101.717
YCL039W	-100.650
YOR050C	-100.650
YOR049C	-100.650
YML117W-A	-100.651
YIL167W	-100.652
YOR220W	-100.652
YLR063W	-100.654
YAL019W	-100.654
YGL226W	-100.656
YPR026W	-100.656
YIL152W	-100.657
YKR023W	-100.657
YNR067C	-100.658
YLL009C	-100.662
