orf	hap a | growth (culture turbidity) | NaD1 [4 uM] | Bleackley MR~Anderson MA, 2014
YBL007C	-102.60869565217392
YBL008W	-101.95627157652474
YBL008W-A	-103.80038387715929
YBL009W	-100.57027843005703
YBL010C	-101.78832116788321
YBL011W	-98.84453781512605
YBL012C	-101.59538357094364
YBL013W	-102.7457627118644
YBL015W	-103.91621129326047
YBL016W	-101.76426426426426
YBL017C	-101.63170163170163
YBL019W	-100.69984447900467
YBL021C	-100.34298780487805
YBL022C	-100.49680624556423
YBL024W	-49.67012252591894
YBL025W	13.829787234042668
YBL027W	-100.2409638554217
YBL028C	8.468025298664775
YBL029C-A	-101.61054172767203
YBL029W	-102.47148288973385
YBL031W	-101.90400634668784
YBL032W	-103.53356890459364
YBL033C	-104.42525634106855
YBL036C	-103.1609195402299
YBL037W	-101.52403282532241
YBL038W	-100.84776999631404
YBL039C	-98.8798764001545
YBL039W-B	-103.35849056603774
YBL042C	-99.06403940886699
YBL043W	-99.81195938322678
YBL044W	-99.16787264833575
YBL045C	-98.88569374550683
YBL046W	-99.65490797546012
YBL047C	-99.57894736842105
YBL048W	-102.67670430782101
YBL049W	-103.21931589537223
YBL051C	-102.60263929618769
YBL052C	-100.47930283224402
YBL053W	-99.00635930047694
YBL054W	-97.97538705835649
YBL055C	-99.1854150504267
YBL056W	-71.43426294820716
YBL057C	-101.58670192670947
YBL058W	-98.45415778251598
YBL059W	-99.42220387948824
YBL060W	-100.19394879751746
YBL061C	-103.24726134585292
YBL062W	-103.54667753770892
YBL063W	-101.96235482579095
YBL064C	-100.0
YBL065W	-99.39047619047619
YBL066C	-98.31965611567017
YBL067C	-99.4843316144387
YBL068W	-96.56619610835558
YBL069W	-100.99923136049193
YBL070C	-99.9129299085764
YBL071C	-100.55335968379447
YBL071C-B	-102.43143907266044
YBL071W-A	-105.27622594661699
YBL072C	-100.82571512828076
YBL075C	-102.01660735468565
YBL078C	-104.9547608789315
YBL079W	-102.1223470661673
YBL080C	-99.69570178775199
YBL081W	-101.33805588351044
YBL082C	-100.45211672831896
YBL083C	-100.56022408963585
YBL085W	-101.49797570850203
YBL086C	-94.02503027856277
YBL087C	-99.54233409610985
YBL088C	-100.40032025620495
YBL089W	-98.43812575090108
YBL090W	-102.99377916018662
YBL091C	-103.82066276803118
YBL091C-A	-101.49482742371627
YBL093C	-104.2838018741633
YBL094C	-101.93263390392049
YBL095W	-97.8343949044586
YBL096C	-98.4819734345351
YBL098W	-98.18529130850048
YBL099W	-97.52122241086589
YBL100C	-99.43760984182776
YBL100W-C	-103.58955765047135
YBL101C	-99.30463576158941
YBL102W	-99.42353340115294
YBL103C	-102.0569077819678
YBL104C	-101.8442276447132
YBL106C	-103.92541707556428
YBL107C	-101.96078431372551
YBR001C	-102.28360957642725
YBR003W	-99.96609020006782
YBR005W	-101.77024482109228
YBR006W	-103.44592289321051
YBR007C	-102.33009708737863
YBR008C	-102.72174191482549
YBR009C	-104.32784373803139
YBR010W	-103.4128745837958
YBR012C	-103.25846251186333
YBR013C	-103.01994301994301
YBR014C	-103.50675481460189
YBR015C	-103.35008375209381
YBR016W	-103.4386357282639
YBR018C	-103.53493510080088
YBR019C	-101.6643550624133
YBR020W	-103.36780868853207
YBR021W	-106.62305805396566
YBR022W	-102.25702441271302
YBR023C	-102.52124645892351
YBR024W	-102.68688480978985
YBR025C	-102.24411603721948
YBR026C	-103.4896705750977
YBR027C	-102.65729993891264
YBR028C	-101.90611664295875
YBR030W	-101.1915400655347
YBR031W	-100.29137529137529
YBR032W	-101.65951359084406
YBR033W	-101.61870503597123
YBR034C	-100.16745743790119
YBR035C	-104.77424130273872
YBR036C	-100.84918478260869
YBR037C	-99.00555718046212
YBR040W	-101.61290322580645
YBR041W	-102.81016442451418
YBR042C	-103.41786108048512
YBR043C	-102.77264325323476
YBR044C	-100.18039687312086
YBR045C	-100.11785503830288
YBR046C	-99.82326951399116
YBR047W	-97.85238959467635
YBR048W	-97.56630265210607
YBR050C	-98.50835322195704
YBR051W	-99.11699779249447
YBR052C	-89.68847352024922
YBR053C	-100.63006300630062
YBR054W	-103.2258064516129
YBR056W	-104.3784895680282
YBR056W-A	-104.67185761957731
YBR057C	-103.39536402220047
YBR058C	-84.24467099165894
YBR058C-A	114.47368421052637
YBR059C	-98.3112582781457
YBR061C	-98.80837359098228
YBR062C	-101.91194717331723
YBR063C	-98.24300178677784
YBR064W	-98.1800766283525
YBR065C	-100.53509600251812
YBR066C	-99.87208186760473
YBR067C	-100.72507552870091
YBR068C	-102.38772029562251
YBR069C	-102.53329002923026
YBR071W	-99.77235772357722
YBR072C-A	-102.66507557677006
YBR072W	-98.50249584026622
YBR073W	-98.48628192999053
YBR074W	-100.42923133060094
YBR076W	-97.49058971141781
YBR077C	-99.04973075704783
YBR078W	-102.16954600241061
YBR081C	-102.22016651248845
YBR082C	-39.225589225589246
YBR083W	-101.61991307783484
YBR084C-A	-93.57959542656113
YBR084W	-102.41112828438949
YBR085C-A	-26.343421865348976
YBR085W	-100.99480968858133
YBR089C-A	-101.3888888888889
YBR090C	-102.04791344667696
YBR092C	-100.31323414252154
YBR093C	-101.5085351329893
YBR094W	-100.58091286307054
YBR095C	-82.63558515699334
YBR097W	-106.50519031141867
YBR098W	-100.64772776095032
YBR099C	-100.15885623510724
YBR101C	-88.58961802154751
YBR103W	-102.8966709900562
YBR104W	-104.15676959619952
YBR105C	-103.40638044126416
YBR106W	-101.6370602577499
YBR107C	-101.92616372391655
YBR108W	-102.13193885760256
YBR111C	-85.18843120070115
YBR111W-A	-94.4517256443862
YBR112C	-100.80064051240993
YBR113W	-101.0551948051948
YBR114W	-101.42691862707287
YBR115C	-102.4634334103156
YBR116C	-101.78091397849462
YBR119W	-103.34681868333946
YBR120C	-103.22033898305085
YBR121C	-103.35994677312041
YBR122C	-100.1984408141775
YBR125C	-103.49046419575387
YBR126C	-103.04789550072569
YBR127C	274.9999999999993
YBR128C	-102.20249835634449
YBR129C	-103.55501072632546
YBR130C	-103.76555337262607
YBR131W	-104.82087571870852
YBR132C	-16.788526434195735
YBR133C	-102.80029687143184
YBR134W	-102.77867528271405
YBR137W	-104.32969852469532
YBR138C	-103.66687383467992
YBR139W	-104.20918367346938
YBR141C	-103.59712230215827
YBR144C	-103.13646980313646
YBR145W	-103.09243697478992
YBR146W	-102.7739251040222
YBR147W	-103.2032984459245
YBR148W	-102.8002947678703
YBR149W	-102.43501151694636
YBR150C	-103.23038693645724
YBR151W	-101.45812139708374
YBR156C	-101.16156282998942
YBR157C	-103.47339614048028
YBR158W	-103.26729231838723
YBR159W	-104.39266615737203
YBR161W	-104.73372781065089
YBR162C	-102.55524861878453
YBR162W-A	-101.8840579710145
YBR163W	-102.19853431045969
YBR164C	-101.14305507447179
YBR165W	-102.1832498210451
YBR166C	-100.82701585113716
YBR168W	-103.06960657155209
YBR169C	-102.03841630733046
YBR170C	-100.61394005055976
YBR171W	-102.03389830508473
YBR172C	-101.35553834237025
YBR173C	-104.38356164383562
YBR174C	-105.32654006484483
YBR175W	-104.08163265306123
YBR176W	-102.9126213592233
YBR177C	-101.65118679050566
YBR178W	-102.28464419475655
YBR179C	-94.75681269403243
YBR180W	-102.5925925925926
YBR181C	-102.57847533632285
YBR182C	-104.27668278170323
YBR182C-A	-97.85028790786949
YBR183W	-101.03868194842407
YBR184W	-103.56243252968696
YBR185C	-103.57142857142856
YBR186W	-103.20197044334975
YBR187W	-103.37465564738291
YBR188C	-102.94676806083649
YBR189W	-102.09706411024567
YBR191W	-101.54532967032968
YBR194W	-101.38093634220276
YBR195C	-101.00765820233777
YBR196C-A	-69.34156378600824
YBR196C-B	-100.3097173828881
YBR197C	-100.29520295202954
YBR199W	-100.4190476190476
YBR200W	-100.69686411149827
YBR200W-A	-101.58610271903324
YBR201W	-100.3462235847852
YBR203W	-104.64860907759883
YBR204C	-102.05655526992288
YBR205W	-102.30179028132993
YBR206W	-102.40788033564392
YBR207W	-102.87745429925525
YBR208C	-103.67670364500792
YBR209W	-101.29525074726004
YBR210W	-100.8366678792288
YBR212W	-99.59677419354838
YBR213W	-99.12070343725021
YBR214W	-102.02101859337107
YBR215W	-102.25205716760503
YBR216C	-100.39797395079594
YBR217W	-104.29718875502007
YBR218C	-101.61775771256585
YBR219C	-103.69540873460248
YBR220C	-103.921568627451
YBR221C	-102.55190311418684
YBR221W-A	-100.15043249341858
YBR222C	-101.30130130130131
YBR223C	-100.99587912087912
YBR224W	-101.4837819185645
YBR225W	-100.03459010722932
YBR226C	-102.88288288288288
YBR227C	-101.69741697416974
YBR228W	-102.36880466472304
YBR229C	-102.10489993098687
YBR230C	-100.7573025604039
YBR230W-A	-102.71423032183019
YBR231C	-102.62237762237763
YBR232C	-104.58425545368321
YBR233W	-101.98494182067077
YBR235W	-103.68866328257191
YBR238C	-101.3357619914997
YBR239C	-101.79856115107914
YBR240C	-100.61705989110709
YBR241C	-100.10944910616564
YBR242W	-102.56500351370346
YBR244W	-102.29571984435799
YBR245C	-102.89128758673863
YBR246W	-101.5137614678899
YBR248C	-44.76401179941003
YBR249C	-102.74591588460203
YBR250W	-102.80121498481267
YBR251W	-102.79250618593143
YBR255W	-101.93811628697722
YBR258C	-102.97937356760886
YBR259W	-101.63043478260869
YBR260C	-101.87406296851573
YBR261C	-102.50737463126845
YBR262C	-102.27436823104692
YBR263W	-103.78266850068776
YBR264C	-103.77487989018532
YBR266C	-102.2708158116064
YBR267W	-102.06264323911383
YBR268W	-101.82283338663254
YBR269C	-101.250411319513
YBR270C	-101.63934426229508
YBR271W	-100.90865614538498
YBR272C	-100.82807570977918
YBR273C	-100.84825636192272
YBR274W	-102.22880278067302
YBR275C	-103.53302611367128
YBR276C	-103.88136213841084
YBR277C	-102.24333597255213
YBR278W	-102.6369168356998
YBR279W	-99.46808510638297
YBR280C	-101.18255728011825
YBR281C	-102.82292557741658
YBR282W	-102.22841225626742
YBR283C	-93.24234354194408
YBR284W	-102.63157894736842
YBR285W	-100.06598482349061
YBR286W	-100.50520059435364
YBR287W	-102.18499635833939
YBR288C	-103.70497427101202
YBR289W	-103.7593984962406
YBR290W	-100.17820773930754
YBR291C	-100.96940321114813
YBR292C	-100.53811659192826
YBR293W	-100.77415910304326
YBR294W	-100.7386888273315
YBR295W	-99.80836793356755
YBR296C	-101.86894323950162
YBR296C-A	-102.46865203761755
YBR297W	-99.02425425146362
YBR298C	-102.52655756531726
YBR299W	-103.23401162790698
YBR300C	-102.01612903225808
YBR301W	-103.19440219044722
YCL001W	-104.35087719298247
YCL001W-A	-101.41896938013444
YCL001W-B	-103.57692307692308
YCL002C	-102.23691853762284
YCL005W	-102.76639344262296
YCL005W-A	-109.41807044410415
YCL007C	-43.859649122807085
YCL008C	-99.0
YCL009C	-99.22669922669922
YCL010C	-101.93258426966293
YCL011C	-103.78024193548387
YCL012C	-103.67332382310985
YCL014W	-102.42249567482084
YCL016C	-104.16527824058647
YCL021W-A	-104.11810411810411
YCL022C	-101.05944673337257
YCL023C	-99.93904768637472
YCL024W	-100.1923076923077
YCL025C	-101.33603238866398
YCL026C-A	-102.61538461538461
YCL026C-B	-102.99582859309821
YCL027W	-99.71988795518207
YCL028W	-99.653312788906
YCL029C	-102.87832533798517
YCL030C	-100.51391862955032
YCL032W	-103.49794238683128
YCL033C	-103.82540461010299
YCL034W	-104.07558354946276
YCL035C	-103.388090349076
YCL036W	-104.8225659690628
YCL037C	-90.86181277860327
YCL038C	-101.56162388161584
YCL039W	-100.65014221861033
YCL040W	-100.59856344772547
YCL042W	-98.85826771653544
YCL044C	-100.39169604386996
YCL045C	-101.38888888888889
YCL046W	-103.5930735930736
YCL047C	-102.16886134779242
YCL048W	-102.78108859753677
YCL049C	-103.84615384615385
YCL050C	-105.98713508164275
YCL051W	-103.25323475046211
YCL055W	-101.46137787056368
YCL056C	-101.31900341963849
YCL057C-A	-104.3046357615894
YCL057W	-101.54211150652432
YCL058C	-100.33660589060307
YCL061C	-101.20496873914708
YCL063W	-102.36673329694483
YCL064C	-101.94049159120311
YCL069W	-102.27173438182614
YCL076W	-101.54569892473117
YCR001W	-104.23062523399476
YCR002C	-103.04271503803395
YCR003W	-100.20463847203274
YCR004C	-101.76146788990827
YCR005C	-102.57575757575759
YCR006C	-100.50173678116559
YCR007C	-102.12077641984185
YCR008W	-101.93715023676282
YCR009C	-104.91293532338311
YCR010C	-103.32710280373834
YCR011C	-103.20488363220144
YCR014C	-102.31118448204705
YCR015C	-103.36662967073622
YCR016W	-103.74125874125875
YCR017C	-103.7697052775874
YCR019W	-103.27715355805242
YCR020C	-103.94979697305277
YCR020C-A	-103.0608435983576
YCR020W-B	-101.53295861011753
YCR021C	-103.91734825656478
YCR022C	-103.2446226759023
YCR023C	-103.50939383197448
YCR024C	-100.51577669902913
YCR024C-A	-100.50761421319795
YCR025C	-100.3574620196604
YCR026C	-101.44694533762058
YCR027C	-98.61780777884923
YCR028C	-102.27043390514632
YCR028C-A	-100.42385709960642
YCR030C	-99.63963963963964
YCR031C	-100.02561475409837
YCR032W	-102.51210653753027
YCR033W	-103.58514724711907
YCR034W	-101.39260846277449
YCR036W	-102.73330730183523
YCR037C	-100.57204147300678
YCR043C	-101.274479328567
YCR044C	-101.79518563851491
YCR045C	-101.0072941993748
YCR046C	-101.19638167493434
YCR047C	-102.42446848190974
YCR048W	-103.3872901678657
YCR049C	-100.93797276853252
YCR050C	-101.39349701393496
YCR051W	-101.21951219512195
YCR053W	-102.88389513108615
YCR059C	-101.80706144008897
YCR060W	-102.05735660847881
YCR061W	-102.40274886098565
YCR063W	-102.05533596837944
YCR065W	-102.34838709677419
YCR066W	-103.18752908329456
YCR067C	-101.6366065464262
YCR068W	-99.9111374407583
YCR069W	-103.47095359883085
YCR071C	-102.02998126171143
YCR073C	-101.96592398427259
YCR073W-A	-101.52990264255912
YCR075C	-102.45148110316649
YCR075W-A	-99.88717562993605
YCR076C	-101.7639512508018
YCR077C	-102.44766505636072
YCR079W	-101.7497523935292
YCR081W	-102.07914151576125
YCR082W	-102.33736975499859
YCR083W	-101.40421263791373
YCR084C	100.0
YCR085W	-101.86625194401245
YCR086W	-101.460564751704
YCR087C-A	-102.07221350078493
YCR087W	-102.89457647775745
YCR088W	-102.24089635854344
YCR089W	-102.65903736115787
YCR090C	-102.25593154414625
YCR091W	-99.9187982135607
YCR092C	-98.7890625
YCR094W	-100.03988831272437
YCR095C	-88.31236897274633
YCR095W-A	-105.18645520788684
YCR098C	-100.77369439071566
YCR099C	-100.76045627376426
YCR100C	-98.41209829867675
YCR101C	-100.59902658180458
YCR102C	-102.38008055657268
YCR102W-A	-102.8366583541147
YCR105W	-103.45879959308239
YCR106W	-103.33027803238618
YCR107W	-101.15308151093441
YDL001W	-102.11267605633803
YDL002C	-89.85868661679136
YDL006W	-104.55645161290322
YDL009C	-103.00546448087431
YDL010W	-100.03541076487252
YDL011C	-100.72150072150072
YDL012C	-100.94232943837164
YDL013W	-100.79968012794882
YDL018C	-101.92232247940369
YDL019C	-98.94339622641508
YDL020C	-101.5130674002751
YDL021W	-100.8816547982367
YDL022W	-101.65003837298543
YDL023C	-104.80236424085705
YDL024C	-103.00699300699301
YDL025C	-78.1354051054384
YDL026W	-102.60770306879085
YDL027C	-100.72150072150072
YDL032W	-100.34530386740332
YDL033C	-99.9237514296607
YDL034W	-68.45983787767132
YDL035C	-99.28511354079058
YDL036C	-103.94638930659409
YDL037C	-100.33632286995515
YDL039C	-103.58865532667105
YDL040C	-103.67002273465411
YDL041W	-102.47283626826527
YDL042C	-101.68037182695744
YDL044C	-100.77355836849506
YDL045W-A	-100.63291139240506
YDL046W	-101.44766146993318
YDL047W	-102.27160493827161
YDL048C	-99.81146304675717
YDL049C	-98.35606855543895
YDL050C	-101.25835627211954
YDL051W	-100.42258932001535
YDL052C	-102.19224283305228
YDL053C	-102.96349837368992
YDL054C	-102.98507462686568
YDL056W	-102.32815964523283
YDL057W	-90.80709373868984
YDL059C	-101.92232247940369
YDL061C	-98.5014619883041
YDL062W	-84.50363196125907
YDL063C	-75.80529706513958
YDL065C	-100.3304419661297
YDL066W	-100.8728652751423
YDL067C	-100.46001415428168
YDL068W	-96.40522875816993
YDL069C	-101.55684919500482
YDL070W	-104.38729198184569
YDL071C	-104.44530344027831
YDL072C	-104.17316692667707
YDL073W	-104.24328147100425
YDL074C	-100.64516129032258
YDL075W	-100.37341299477222
YDL076C	-103.03322099181511
YDL077C	-105.78736991987985
YDL078C	-103.4047919293821
YDL079C	-103.27933623073883
YDL080C	-103.27552986512525
YDL081C	-104.93307839388146
YDL082W	-102.94455066921606
YDL083C	-98.41660802251934
YDL085C-A	-101.50793650793652
YDL085W	-104.29629629629629
YDL086W	-103.58126721763085
YDL088C	-101.4170692431562
YDL089W	-102.903560318009
YDL090C	-104.63264567499095
YDL091C	-102.27459577966565
YDL093W	-100.34461152882206
YDL094C	-101.5938795027096
YDL095W	-102.26619853175869
YDL096C	-103.3072625698324
YDL099W	-102.74939172749393
YDL100C	-102.46322271638726
YDL101C	-102.16550657385923
YDL104C	-96.33383010432192
YDL106C	-102.49716231555053
YDL107W	-102.12897253933973
YDL109C	-101.17804551539491
YDL110C	-101.68432491170879
YDL112W	-102.64389975213439
YDL113C	-102.43975903614458
YDL114W	-103.75628512274476
YDL115C	-104.64848252016903
YDL116W	-102.97883459628953
YDL117W	-102.32711306256861
YDL118W	-102.30568100784407
YDL119C	-102.33572095920273
YDL121C	-100.94577553593946
YDL122W	-101.88905547226386
YDL123W	-100.82695252679939
YDL124W	-101.9613852283175
YDL125C	-103.30132052821128
YDL127W	-101.98083067092651
YDL128W	-103.5897435897436
YDL129W	-103.44928383513592
YDL130W	-102.80766203096302
YDL130W-A	-100.24057738572574
YDL131W	-101.57738095238093
YDL133C-A	-102.14258867365261
YDL133W	-103.07486631016043
YDL134C	-102.54777070063695
YDL135C	-102.1311475409836
YDL136W	-99.59839357429718
YDL137W	-100.83386786401537
YDL138W	-103.29811079090618
YDL142C	-102.28622327790973
YDL144C	-101.57819225251077
YDL146W	-101.50355385456533
YDL149W	-102.41032998565281
YDL151C	-103.52312047813778
YDL154W	-102.3454157782516
YDL155W	-102.14242607121304
YDL156W	-103.69863013698631
YDL157C	-102.4556616643929
YDL159W	-103.4815580834195
YDL159W-A	-100.43807248108322
YDL160C	-106.04395604395604
YDL160C-A	-100.45540796963945
YDL161W	-101.64193242816546
YDL162C	-103.44256868586561
YDL167C	-102.3502653525398
YDL168W	-102.65760197775032
YDL169C	-102.69953051643192
YDL170W	-103.72872196703594
YDL171C	-103.03341902313625
YDL172C	-87.4076354679803
YDL173W	-85.65928777670838
YDL174C	-104.57213469261661
YDL175C	-103.86112913692409
YDL176W	-105.40137272455982
YDL177C	-103.62965241464164
YDL178W	-102.25125069483045
YDL179W	-103.10288513881329
YDL180W	-103.5487959442332
YDL181W	-119.69439728353142
YDL182W	-103.92218387197991
YDL183C	-101.12184481146775
YDL184C	-102.74330502939254
YDL185W	-103.74220374220373
YDL186W	-103.12109862671662
YDL187C	-103.01936330817196
YDL188C	-102.75352585627937
YDL189W	-102.18014916810097
YDL190C	-102.475106685633
YDL191W	-101.28579777907656
YDL192W	-101.16407982261639
YDL194W	-101.61417322834644
YDL197C	-101.47797812592374
YDL198C	-84.45121951219512
YDL199C	-101.15288220551378
YDL200C	-100.5115712545676
YDL201W	-101.59277940005309
YDL202W	-99.5465643529822
YDL203C	-101.54467680608366
YDL204W	-102.16572504708097
YDL206W	-100.76359193646915
YDL210W	-102.72441494935383
YDL211C	-102.09205020920503
YDL213C	-102.13610009154715
YDL214C	-101.08140582757585
YDL215C	-101.94736842105263
YDL216C	-101.02619497704563
YDL218W	-101.41982864137087
YDL219W	-101.92012288786484
YDL222C	-101.55427425419904
YDL223C	-101.58049221043125
YDL224C	-102.8762080073631
YDL225W	-101.45156200694225
YDL226C	-102.83495145631069
YDL227C	-102.49638205499276
YDL229W	-100.57200538358006
YDL230W	-102.61829652996846
YDL231C	-102.27210511908022
YDL232W	-102.61007118375956
YDL233W	-101.93514644351464
YDL234C	-102.2356654392425
YDL236W	-100.37226617031176
YDL237W	-102.37933378653976
YDL238C	-102.8952725627686
YDL239C	-102.99829642248723
YDL240W	-103.75805297065139
YDL241W	-103.68183397012851
YDL242W	-102.40210595590655
YDL243C	-97.68673355629878
YDR001C	-103.1095611740773
YDR003W	-102.83527076835838
YDR003W-A	-100.19654088050314
YDR004W	-101.61812297734627
YDR005C	-102.61089275687816
YDR006C	-103.06801736613605
YDR007W	-100.82924990576704
YDR008C	-102.63949988423245
YDR009W	-101.29659643435983
YDR010C	-102.16875635377838
YDR011W	-102.778730703259
YDR014W	-103.88782664117271
YDR015C	-103.10435931307795
YDR017C	-100.45045045045046
YDR018C	-102.29289940828401
YDR019C	-101.53134932100546
YDR020C	-100.96618357487924
YDR022C	-102.59081948746831
YDR024W	-88.98993179603768
YDR025W	-83.38751625487647
YDR026C	-102.34482758620689
YDR027C	-102.63049732840115
YDR028C	-101.78840767076063
YDR029W	-101.15821172110262
YDR030C	-101.34228187919463
YDR031W	-100.81680280046675
YDR032C	-99.87916868052199
YDR033W	-100.83872513779055
YDR034C	-103.00242130750605
YDR034W-B	-102.13675213675214
YDR035W	-101.8357044515833
YDR036C	-102.94047334448959
YDR042C	-101.23515439429929
YDR043C	-102.23338916806253
YDR046C	-101.78102189781022
YDR048C	-102.09476309226932
YDR049W	-103.02886890676763
YDR050C	-101.89095493224079
YDR051C	-102.13295414148595
YDR055W	-102.30050323508269
YDR056C	-103.8532110091743
YDR057W	-103.81426202321724
YDR058C	-102.52625603179109
YDR059C	-103.63288718929253
YDR061W	-103.18208603417796
YDR063W	-103.30308529945553
YDR065W	-103.52225424271535
YDR066C	-101.43995098039215
YDR067C	-100.78346028291621
YDR068W	-103.27349524815206
YDR069C	-98.55670103092783
YDR070C	-100.47355958958171
YDR071C	-98.6096982027806
YDR072C	-102.69513475673784
YDR073W	-104.11555203798972
YDR074W	-103.80824372759857
YDR075W	-102.91734197730955
YDR076W	-103.42534087130029
YDR077W	-103.20427236315086
YDR078C	-102.13567839195979
YDR079C-A	-102.91146761734997
YDR079W	-102.75665399239544
YDR080W	-103.35408022130012
YDR083W	-99.66380276428838
YDR084C	-103.04314329738058
YDR085C	-103.33655705996132
YDR089W	-102.43354548858106
YDR090C	-102.45631414269029
YDR092W	-104.02834819332989
YDR093W	-102.44157656086502
YDR094W	-101.50435471100553
YDR095C	-101.02483247930627
YDR096W	-100.77369439071566
YDR097C	-102.89139633286317
YDR098C	-103.2494424976107
YDR099W	-102.4310595065312
YDR100W	-100.14936519790889
YDR101C	-98.24626865671642
YDR102C	-100.67540723083034
YDR103W	-101.89015691868757
YDR104C	-102.34779148428174
YDR105C	-100.95200317334391
YDR107C	-102.020202020202
YDR108W	-100.6252442360297
YDR109C	-103.29094988780854
YDR110W	-102.81782437745741
YDR111C	-102.64150943396227
YDR112W	-102.7056277056277
YDR114C	-100.94670406732118
YDR115W	-101.47007350367521
YDR116C	-100.75485262401149
YDR117C	-101.33333333333334
YDR119W	-101.51739452257587
YDR120C	-102.63942103022563
YDR121W	-101.73439048562933
YDR122W	-99.85698963174829
YDR123C	-103.77281947261665
YDR124W	-103.8098693759071
YDR125C	-104.27350427350429
YDR126W	-102.47651579846284
YDR127W	-102.17194570135746
YDR128W	-100.26129152668905
YDR129C	-98.09701492537314
YDR130C	-102.13343677269202
YDR131C	-102.53699788583508
YDR132C	-101.35287485907554
YDR133C	-102.27601156069366
YDR135C	-102.95548073325851
YDR136C	-103.84197172888727
YDR137W	-103.33547145606158
YDR138W	-101.96399345335516
YDR139C	-100.84194412552621
YDR140W	-101.11898545318911
YDR142C	-101.04244229337304
YDR143C	-102.67927501970053
YDR144C	-102.56038647342996
YDR146C	-102.7663331371395
YDR147W	-103.14537334088193
YDR148C	-100.80033698399326
YDR149C	-101.17202268431002
YDR150W	-99.96230682246514
YDR151C	-101.51343170639424
YDR152W	-99.26253687315634
YDR153C	-101.28342245989303
YDR154C	-99.96323529411765
YDR155C	-99.568655643422
YDR156W	-101.08661906240297
YDR157W	-101.71762281003092
YDR158W	-101.74300770166194
YDR159W	-100.97955706984666
YDR161W	-101.42143680368805
YDR162C	-100.7887090078871
YDR163W	-101.63281561131024
YDR165W	-99.01440485216074
YDR169C	-98.7169206094627
YDR169C-A	-102.089081592432
YDR171W	-98.51125635439362
YDR173C	-98.90448476549128
YDR174W	-101.56187424909892
YDR175C	-98.3356940509915
YDR176W	-100.68399452804377
YDR178W	-100.14388489208635
YDR179C	-100.70571630204658
YDR179W-A	-102.98054557651676
YDR181C	-103.21234876929495
YDR182W-A	-102.3938223938224
YDR183W	-99.73554967888177
YDR184C	-100.18832391713748
YDR185C	-99.19261822376009
YDR186C	-98.5141828005403
YDR191W	-99.30198383541513
YDR192C	-98.92215568862277
YDR193W	-100.3147128245476
YDR194C	-100.03486750348675
YDR194W-A	-104.2232277526395
YDR195W	-100.83296799649277
YDR197W	-100.50933786078097
YDR198C	-101.0027662517289
YDR199W	-102.66193433895296
