orf	hap a | cell size | standard | YPD | Shimasawa M~Mizushima N, 2023
YBL036C	0.734
YBL037W	1.585
YBL039C	2.008
YBL042C	1.887
YBL043W	1.48
YBL044W	0.881
YBL045C	0.848
YBL046W	1.103
YBL047C	1.474
YBL048W	1.168
YBL049W	0.87
YBL051C	1.577
YBL052C	1.448
YBL053W	1.581
YBL054W	1.649
YBL055C	1.5
YBL056W	1.685
YBL057C	1.038
YBL059W	0.832
YBL060W	1.049
YBL061C	1.287
YBL062W	1.027
YBL063W	1.677
YBL064C	1.815
YBL065W	1.593
YBL066C	1.516
YBL067C	1.669
YBL068W	2.371
YBL069W	1.081
YBL070C	1.184
YBL071C	0.889
YBL072C	0.802
YBL075C	0.973
YBL078C	0.943
YBL079W	1.411
YBL080C	0.996
YBL081W	1.625
YBL082C	1.633
YBL083C	1.96
YBL085W	1.544
YBL086C	0.954
YBL087C	0.883
YBL088C	1.043
YBL089W	0.962
YBL090W	0.751
YBL091C	1.019
YBL091C-A	0.95
YBL093C	1.114
YBL094C	6.165
YBL095W	1.08
YBL096C	0.67
YBL098W	0.749
YBL099W	0.625
YBL100C	0.939
YBL101C	0.972
YBL102W	0.885
YBL103C	0.8
YBL104C	0.927
YBL106C	0.915
YBL107C	0.676
YBR001C	0.608
YBR003W	0.563
YBR005W	0.767
YBR006W	0.605
YBR007C	0.932
YBR008C	0.901
YBR009C	1.059
YBR010W	0.934
YBR012C	0.974
YBR013C	0.852
YBR014C	1.341
YBR015C	1.782
YBR016W	1.253
YBR018C	1.25
YBR019C	1.172
YBR020W	1.0845
YBR021W	1.122
YBR022W	1.07
YBR023C	1.168
YBR024W	1.044
YBR025C	1.035
YBR026C	0.999
YBR027C	1.367
YBR028C	1.445
YBR030W	1.269
YBR031W	1.198
YBR032W	1.448
YBR033W	1.377
YBR034C	1.015
YBR035C	0.849
YBR036C	1.008
YBR037C	1.001
YBR040W	1.071
YBR041W	1.003
YBR042C	0.985
YBR043C	1.162
YBR044C	1.123
YBR045C	1.351
YBR046C	1.828
YBR047W	1.133
YBR048W	1.247
YBR050C	1.048
YBR051W	1.007
YBR052C	0.981
YBR053C	0.981
YBR054W	1.052
YBR056W	1.07
YBR057C	1.182
YBR058C	0.864
YBR059C	0.893
YBR061C	0.818
YBR062C	0.945
YBR063C	0.983
YBR064W	1.052
YBR065C	0.921
YBR066C	1.022
YBR067C	1.015
YBR068C	1.034
YBR069C	0.899
YBR071W	1.049
YBR072W	0.974
YBR073W	1.065
YBR074W	0.893
YBR076W	0.945
YBR077C	1.015
YBR078W	1.698
YBR081C	1.941
YBR082C	1.072
YBR083W	1.052
YBR084C-A	0.976
YBR084W	1.067
YBR085W	1.059
YBR090C	0.983
YBR092C	0.84
YBR093C	0.766
YBR094W	0.991
YBR095C	0.862
YBR097W	1.176
YBR098W	1.097
YBR099C	0.994
YBR101C	0.982
YBR103W	0.982
YBR104W	1.098
YBR105C	1.269
YBR106W	1.096
YBR107C	1.048
YBR108W	0.991
YBR111C	0.984
YBR112C	1.626
YBR113W	1.001
YBR114W	0.95
YBR115C	0.849
YBR116C	0.989
YBR119W	0.943
YBR120C	0.853
YBR121C	0.928
YBR122C	0.804
YBR125C	0.997
YBR126C	0.861
YBR127C	1.027
YBR128C	1.0
YBR129C	0.907
YBR130C	1.072
YBR131W	1.057
YBR132C	0.892
YBR133C	0.964
YBR134W	1.06
YBR137W	0.93
YBR138C	0.913
YBR139W	0.935
YBR141C	0.982
YBR144C	0.772
YBR145W	0.979
YBR146W	1.23
YBR147W	0.923
YBR148W	0.89
YBR149W	1.025
YBR150C	1.115
YBR151W	0.958
YBR156C	1.011
YBR157C	0.932
YBR158W	0.993
YBR159W	1.012
YBR161W	1.037
YBR162C	1.161
YBR162W-A	0.979
YBR163W	0.841
YBR164C	0.896
YBR165W	0.878
YBR166C	0.853
YBR168W	1.192
YBR169C	1.084
YBR170C	0.997
YBR171W	1.538
YBR172C	0.987
YBR173C	1.098
YBR174C	1.268
YBR175W	1.118
YBR176W	1.219
YBR177C	1.187
YBR178W	1.048
YBR179C	0.865
YBR180W	1.09
YBR181C	0.981
YBR182C	1.097
YBR183W	1.193
YBR184W	1.251
YBR185C	1.058
YBR186W	1.213
YBR187W	1.176
YBR188C	1.164
YBR189W	1.113
YBR191W	1.085
YBR194W	2.424
YBR195C	1.065
YBR197C	1.132
YBR199W	1.09
YBR200W	2.281
YBR201W	1.177
YBR203W	1.133
YBR204C	1.334
YBR205W	0.965
YBR206W	1.429
YBR207W	1.11
YBR208C	1.202
YBR209W	1.252
YBR210W	1.019
YBR212W	1.077
YBR213W	1.284
YBR214W	1.11
YBR215W	1.397
YBR216C	1.127
YBR217W	1.098
YBR218C	1.334
YBR219C	1.138
YBR220C	1.058
YBR221C	1.084
YBR222C	1.026
YBR223C	1.097
YBR224W	1.061
YBR225W	1.068
YBR226C	1.116
YBR227C	1.09
YBR228W	1.576
YBR229C	1.657
YBR230C	1.118
YBR231C	1.934
YBR232C	0.699
YBR233W	1.127
YBR235W	1.406
YBR238C	0.955
YBR239C	1.239
YBR240C	1.181
YBR241C	1.165
YBR242W	1.081
YBR244W	1.1
YBR245C	1.305
YBR246W	1.133
YBR248C	1.012
YBR249C	0.986
YBR250W	1.352
YBR251W	0.988
YBR255W	1.1
YBR258C	0.945
YBR259W	0.942
YBR260C	1.084
YBR261C	0.923
YBR262C	1.035
YBR263W	1.17
YBR264C	0.677
YBR266C	0.826
YBR267W	1.38
YBR268W	0.648
YBR269C	0.912
YBR270C	1.184
YBR271W	0.99
YBR272C	1.082
YBR273C	1.087
YBR274W	1.288
YBR275C	1.017
YBR276C	1.187
YBR277C	1.114
YBR278W	1.212
YBR279W	1.169
YBR280C	1.024
YBR281C	1.098
YBR282W	1.009
YBR283C	0.979
YBR284W	0.901
YBR285W	0.896
YBR286W	0.93
YBR287W	1.012
YBR288C	1.084
YBR289W	1.231
YBR290W	0.943
YBR291C	0.961
YBR292C	1.243
YBR293W	1.246
YBR294W	1.03
YBR295W	1.047
YBR296C	1.118
YBR297W	1.06
YBR298C	1.29
YBR299W	1.144
YBR300C	0.924
YBR301W	0.979
YCL001W	1.089
YCL001W-A	0.862
YCL002C	1.149
YCL005W	1.557
YCL008C	1.17
YCL009C	0.968
YCL010C	0.997
YCL011C	1.208
YCL014W	1.382
YCL016C	1.208
YCL022C	0.937
YCL023C	1.377
YCL024W	1.019
YCL025C	0.93
YCL026C-A	0.957
YCL027W	1.019
YCL028W	0.981
YCL029C	1.133
YCL030C	1.191
YCL032W	0.95
YCL033C	1.454
YCL034W	0.978
YCL035C	1.072
YCL036W	1.199
YCL037C	1.462
YCL038C	1.459
YCL039W	0.995
YCL040W	0.97
YCL042W	1.014
YCL044C	0.851
YCL045C	0.976
YCL046W	1.014
YCL047C	1.036
YCL048W	1.017
YCL049C	1.058
YCL050C	1.102
YCL051W	0.95
YCL055W	1.216
YCL056C	1.081
YCL057W	0.984
YCL058C	1.576
YCL061C	1.557
YCL063W	0.623
YCL064C	0.687
YCL069W	0.654
YCL076W	1.359
YCR001W	0.665
YCR002C	2.252
YCR003W	0.49
YCR004C	0.927
YCR005C	0.992
YCR006C	1.057
YCR007C	0.935
YCR008W	1.084
YCR009C	1.289
YCR010C	0.745
YCR011C	0.548
YCR014C	0.74
YCR015C	0.609
YCR016W	0.687
YCR017C	0.717
YCR019W	1.235
YCR020C	1.168
YCR020C-A	0.989
YCR020W-B	1.51
YCR021C	0.876
YCR022C	1.022
YCR023C	1.057
YCR024C	0.759
YCR024C-A	0.847
YCR025C	1.158
YCR026C	1.123
YCR027C	1.051
YCR028C	1.192
YCR028C-A	0.948
YCR030C	0.987
YCR031C	1.092
YCR032W	0.878
YCR033W	1.159
YCR034W	1.261
YCR036W	0.766
YCR037C	0.855
YCR043C	0.863
YCR044C	1.514
YCR045C	0.825
YCR046C	1.098
YCR047C	0.988
YCR048W	1.056
YCR049C	1.27
YCR050C	1.257
YCR051W	1.221
YCR053W	1.045
YCR059C	1.145
YCR060W	1.082
YCR061W	1.136
YCR063W	1.031
YCR065W	1.071
YCR066W	0.694
YCR067C	0.965
YCR068W	0.779
YCR069W	0.903
YCR071C	0.922
YCR073C	0.969
YCR073W-A	1.026
YCR075C	0.782
YCR076C	1.41
YCR077C	0.876
YCR079W	1.41
YCR081W	1.531
YCR082W	0.908
YCR083W	0.968
YCR084C	1.546
YCR085W	0.835
YCR086W	1.2930000000000001
YCR087C-A	0.71
YCR087W	0.728
YCR088W	1.167
YCR089W	0.979
YCR090C	0.776
YCR091W	0.901
YCR092C	0.893
YCR094W	0.63
YCR095C	1.152
YCR098C	0.869
YCR099C	1.212
YCR100C	1.311
YCR101C	1.34
YCR102C	1.343
YCR102W-A	1.164
YCR105W	1.404
YCR106W	1.071
YCR107W	1.084
YDL001W	0.933
YDL002C	0.951
YDL006W	0.944
YDL009C	0.938
YDL010W	0.812
YDL011C	0.859
YDL012C	0.986
YDL013W	1.025
YDL018C	1.041
YDL019C	0.973
YDL020C	0.997
YDL021W	1.176
YDL022W	1.01
YDL023C	1.128
YDL024C	0.758
YDL025C	0.845
YDL026W	0.801
YDL027C	0.824
YDL032W	0.925
YDL033C	0.957
YDL034W	0.947
YDL035C	1.043
YDL036C	0.988
YDL037C	0.979
YDL039C	0.908
YDL040C	0.781
YDL041W	0.952
YDL042C	0.859
YDL044C	0.787
YDL045W-A	0.787
YDL046W	0.967
YDL047W	1.633
YDL048C	0.824
YDL049C	1.175
YDL050C	1.418
YDL051W	0.959
YDL052C	0.931
YDL053C	1.01
YDL054C	1.017
YDL056W	1.203
YDL057W	0.776
YDL059C	0.952
YDL061C	0.971
YDL062W	0.812
YDL063C	0.857
YDL065C	0.933
YDL066W	0.982
YDL067C	0.947
YDL068W	0.943
YDL069C	0.918
YDL070W	1.067
YDL071C	1.067
YDL072C	1.041
YDL073W	0.795
YDL074C	1.219
YDL075W	0.977
YDL076C	1.037
YDL077C	0.988
YDL078C	0.81
YDL079C	0.917
YDL080C	1.052
YDL081C	1.128
YDL082W	0.967
YDL083C	0.997
YDL085W	0.974
YDL086W	1.001
YDL088C	0.977
YDL089W	0.95
YDL090C	0.967
YDL091C	1.042
YDL093W	0.995
YDL095W	1.512
YDL096C	1.491
YDL099W	0.96
YDL100C	0.918
YDL101C	1.121
YDL104C	1.016
YDL106C	0.969
YDL107W	0.84
YDL109C	0.984
YDL110C	1.121
YDL112W	1.059
YDL113C	1.022
YDL114W	0.994
YDL115C	1.276
YDL116W	1.792
YDL117W	2.025
YDL118W	0.914
YDL119C	0.883
YDL121C	0.903
YDL122W	0.607
YDL123W	0.887
YDL124W	1.09
YDL125C	1.363
YDL127W	0.91
YDL128W	0.929
YDL129W	1.037
YDL130W	1.034
YDL130W-A	0.663
YDL131W	0.887
YDL133C-A	1.169
YDL133W	1.027
YDL134C	0.996
YDL135C	1.082
YDL136W	0.805
YDL137W	1.056
YDL138W	1.13
YDL142C	1.022
YDL144C	1.161
YDL146W	1.429
YDL149W	0.978
YDL151C	0.918
YDL154W	1.012
YDL155W	0.903
YDL156W	1.023
YDL157C	0.914
YDL159W	0.848
YDL160C	1.184
YDL161W	1.062
YDL162C	1.224
YDL167C	0.787
YDL168W	1.075
YDL169C	1.186
YDL170W	0.562
YDL171C	1.298
YDL172C	0.965
YDL173W	0.946
YDL174C	0.926
YDL175C	0.911
YDL176W	1.183
YDL177C	1.051
YDL178W	1.143
YDL179W	1.078
YDL180W	1.059
YDL181W	0.525
YDL182W	0.652
YDL183C	0.683
YDL184C	0.856
YDL185W	0.834
YDL186W	0.794
YDL187C	1.07
YDL188C	1.051
YDL189W	1.012
YDL190C	0.683
YDL191W	0.943
YDL192W	1.726
YDL194W	0.889
YDL197C	1.557
YDL198C	0.762
YDL199C	1.307
YDL200C	1.262
YDL201W	1.252
YDL202W	0.851
YDL203C	1.248
YDL204W	1.49
YDL206W	1.241
YDL210W	1.465
YDL211C	1.297
YDL213C	0.904
YDL214C	1.541
YDL215C	1.581
YDL216C	1.594
YDL218W	1.619
YDL219W	1.401
YDL222C	1.223
YDL223C	1.287
YDL224C	1.248
YDL225W	3.064
YDL226C	0.779
YDL227C	1.154
YDL229W	1.142
YDL230W	1.174
YDL231C	0.983
YDL232W	1.344
YDL233W	1.413
YDL234C	1.447
YDL236W	1.463
YDL237W	1.476
YDL238C	1.283
YDL239C	0.791
YDL240W	1.012
YDL241W	0.884
YDL243C	0.881
YDR001C	0.898
YDR003W	1.344
YDR004W	1.648
YDR005C	1.085
YDR006C	1.206
YDR007W	0.833
YDR008C	1.013
YDR009W	1.153
YDR010C	0.977
YDR011W	0.869
YDR014W	0.91
YDR015C	0.791
YDR017C	1.221
YDR018C	1.275
YDR019C	1.508
YDR020C	1.241
YDR022C	1.376
YDR024W	1.241
YDR025W	0.976
YDR026C	0.979
YDR027C	0.989
YDR028C	1.022
YDR029W	0.931
YDR030C	0.987
YDR031W	0.948
YDR032C	1.292
YDR033W	1.029
YDR034C	0.931
YDR035W	1.083
YDR036C	1.013
YDR042C	0.848
YDR043C	0.85
YDR046C	0.871
YDR048C	0.855
YDR049W	0.66
YDR051C	1.21
YDR055W	1.048
YDR056C	1.135
YDR057W	1.0
YDR058C	1.067
YDR059C	0.669
YDR061W	0.692
YDR063W	0.648
YDR065W	0.637
YDR066C	0.7
YDR067C	0.602
YDR068W	0.591
YDR069C	0.83
YDR070C	0.769
YDR071C	1.023
YDR072C	0.573
YDR073W	0.703
YDR074W	0.929
YDR075W	0.916
YDR076W	0.98
YDR077W	0.798
YDR078C	0.735
YDR079W	0.741
YDR080W	0.754
YDR083W	0.559
YDR084C	0.669
YDR085C	0.643
YDR089W	0.651
YDR090C	0.663
YDR092W	0.709
YDR093W	0.828
YDR094W	0.811
YDR095C	0.804
YDR096W	0.859
YDR097C	0.843
YDR098C	0.754
YDR099W	0.64
YDR100W	0.718
YDR101C	0.908
YDR102C	0.781
YDR103W	0.634
YDR104C	0.697
YDR105C	0.811
YDR107C	0.943
YDR108W	0.978
YDR109C	0.874
YDR110W	0.93
YDR111C	0.772
YDR112W	0.643
YDR114C	0.507
YDR115W	0.536
YDR116C	0.622
YDR117C	0.597
YDR119W	0.631
YDR120C	0.857
YDR121W	0.972
YDR122W	0.767
YDR123C	0.826
YDR124W	0.859
YDR125C	0.837
YDR126W	0.865
YDR127W	0.746
YDR128W	0.597
YDR129C	0.611
YDR130C	0.879
YDR131C	0.671
YDR132C	0.761
YDR133C	0.876
YDR135C	1.05
YDR136C	0.933
YDR137W	1.15
YDR138W	1.519
YDR139C	0.749
YDR140W	0.654
YDR142C	0.72
YDR143C	0.669
YDR144C	0.818
YDR146C	0.867
YDR147W	0.885
YDR148C	1.036
YDR149C	1.214
YDR150W	1.445
YDR151C	0.953
YDR152W	1.309
YDR153C	1.208
YDR154C	0.686
YDR155C	0.903
YDR156W	0.541
YDR157W	0.698
YDR158W	0.9
YDR159W	0.903
YDR161W	1.042
YDR162C	1.053
YDR163W	1.125
YDR165W	1.193
YDR169C	1.142
YDR171W	1.181
YDR173C	0.523
YDR174W	1.17
YDR175C	0.489
YDR176W	0.595
YDR178W	0.604
YDR179C	0.698
YDR179W-A	0.855
YDR181C	1.009
YDR183W	1.211
YDR184C	1.074
YDR185C	1.065
YDR186C	1.24
YDR191W	1.077
YDR192C	0.831
YDR193W	0.74
YDR194C	0.435
YDR195W	1.628
YDR197W	0.511
YDR198C	0.713
YDR199W	1.095
YDR200C	1.766
YDR202C	1.104
YDR203W	1.116
YDR204W	0.89
YDR205W	1.238
YDR206W	1.282
YDR207C	1.119
YDR209C	0.725
YDR210W	0.653
YDR213W	0.798
YDR214W	0.795
YDR215C	0.601
YDR216W	0.897
YDR217C	0.899
YDR218C	1.142
YDR219C	1.136
YDR220C	1.119
YDR221W	1.315
YDR222W	0.955
YDR223W	0.674
YDR225W	0.71
YDR226W	0.822
YDR227W	0.647
YDR229W	0.795
YDR230W	0.465
YDR231C	1.193
YDR233C	1.16
YDR234W	1.315
YDR237W	0.855
YDR239C	1.122
YDR241W	0.559
YDR242W	1.042
YDR244W	1.096
YDR245W	2.948
YDR247W	1.052
YDR248C	1.121
YDR249C	0.96
YDR250C	1.035
YDR251W	0.997
YDR252W	1.005
YDR253C	1.129
YDR254W	1.047
YDR255C	1.091
YDR256C	1.069
YDR257C	1.008
YDR258C	1.22
YDR259C	1.245
YDR260C	2.14
YDR261C	2.026
YDR262W	2.295
YDR263C	2.218
YDR264C	1.881
YDR265W	1.969
YDR266C	1.342
YDR268W	0.907
YDR269C	1.372
YDR270W	1.354
YDR271C	1.071
YDR272W	1.092
YDR273W	1.354
YDR274C	2.005
YDR275W	2.249
YDR276C	1.943
YDR277C	1.829
YDR278C	1.083
YDR279W	1.415
YDR281C	1.116
YDR282C	1.065
YDR283C	0.926
YDR284C	1.268
YDR285W	1.277
YDR286C	1.214
YDR287W	1.417
YDR289C	1.088
YDR290W	1.663
YDR291W	1.326
YDR293C	1.596
YDR294C	1.259
YDR295C	0.771
YDR297W	1.155
YDR298C	0.863
YDR300C	0.986
YDR304C	1.232
YDR305C	1.256
YDR306C	1.259
YDR307W	1.135
YDR309C	1.098
YDR310C	1.699
YDR312W	1.0
YDR313C	1.295
YDR314C	1.155
YDR315C	1.616
YDR316W	1.396
YDR317W	1.348
YDR318W	1.176
YDR319C	1.25
YDR320C	3.134
YDR321W	1.373
YDR322W	1.14
YDR323C	1.378
YDR326C	1.067
YDR329C	1.171
YDR330W	1.363
YDR332W	1.166
YDR333C	1.214
YDR334W	1.366
YDR335W	1.259
YDR336W	1.372
YDR337W	1.366
YDR338C	0.859
YDR340W	0.87
YDR344C	0.876
YDR345C	0.889
YDR346C	0.893
YDR347W	0.977
YDR348C	0.622
YDR349C	0.862
YDR350C	0.553
YDR351W	0.651
YDR352W	0.778
YDR354W	0.793
YDR357C	0.815
YDR358W	0.92
YDR359C	0.798
YDR360W	0.707
YDR363W	1.42
YDR363W-A	0.734
YDR368W	0.66
YDR369C	1.787
YDR370C	0.631
YDR371W	0.683
YDR372C	0.598
YDR374C	0.576
YDR375C	0.524
YDR377W	0.517
YDR378C	0.752
YDR379W	0.428
YDR380W	1.13
YDR382W	1.033
YDR383C	1.7
YDR384C	1.16
YDR385W	1.14
YDR386W	0.77
YDR387C	1.239
YDR388W	1.162
YDR389W	1.353
YDR391C	1.045
YDR392W	2.754
YDR393W	0.7
YDR395W	0.897
YDR399W	0.703
YDR400W	0.707
YDR401W	0.693
YDR402C	0.677
YDR403W	1.11
YDR405W	0.706
YDR406W	1.33
YDR408C	1.162
YDR409W	1.071
YDR410C	0.825
YDR411C	0.643
YDR414C	1.687
YDR415C	0.53
YDR417C	0.9019999999999999
YDR418W	0.603
YDR419W	0.743
YDR420W	0.743
YDR421W	1.249
YDR422C	1.039
YDR423C	1.003
YDR424C	0.67
YDR425W	1.246
YDR426C	1.074
YDR428C	1.091
YDR430C	0.583
YDR431W	0.66
YDR432W	1.083
YDR433W	0.587
YDR435C	1.057
YDR436W	0.97
YDR438W	1.382
YDR439W	1.224
YDR440W	1.214
YDR441C	1.524
YDR442W	1.425
YDR443C	1.064
YDR444W	1.107
YDR445C	1.278
YDR446W	0.848
YDR447C	0.825
YDR448W	0.816
YDR450W	0.997
YDR451C	0.913
YDR452W	1.224
YDR453C	1.445
YDR455C	1.111
YDR456W	1.197
YDR457W	1.026
YDR458C	1.269
YDR459C	1.078
YDR461W	0.933
YDR462W	1.02
YDR463W	0.895
YDR465C	0.909
YDR466W	0.889
YDR467C	0.857
YDR469W	1.272
YDR470C	0.841
YDR471W	1.185
YDR475C	1.228
YDR476C	1.118
YDR477W	0.998
YDR479C	0.822
YDR480W	0.797
YDR481C	0.907
YDR482C	0.931
YDR483W	0.853
YDR484W	0.908
YDR485C	0.932
YDR486C	1.296
YDR488C	1.392
YDR490C	1.279
YDR491C	1.45
YDR492W	1.231
YDR493W	0.763
YDR494W	0.83
YDR495C	0.88
YDR496C	0.895
YDR497C	0.93
YDR500C	1.433
YDR501W	0.839
YDR502C	0.884
YDR503C	1.308
YDR504C	1.476
YDR505C	1.353
YDR506C	1.168
YDR507C	2.123
YDR508C	1.486
YDR509W	1.015
YDR511W	0.908
YDR512C	0.812
YDR513W	0.923
YDR514C	0.989
YDR515W	0.886
YDR516C	0.921
YDR517W	1.255
YDR518W	0.987
YDR519W	1.094
YDR520C	1.067
YDR521W	0.828
YDR522C	1.124
YDR523C	0.758
YDR524C	1.082
YDR525W	0.962
YDR525W-A	0.678
YDR528W	0.922
YDR529C	0.838
YDR530C	0.969
YDR532C	1.278
YDR533C	1.054
YDR534C	1.052
YDR535C	0.645
YDR536W	0.639
YDR537C	0.994
YDR538W	0.851
YDR539W	1.292
YDR540C	1.269
YDR541C	1.301
YEL001C	0.874
YEL003W	2.175
YEL004W	0.994
YEL005C	0.984
YEL006W	0.893
YEL007W	1.304
YEL008W	0.7
YEL009C	0.857
YEL010W	0.723
YEL011W	0.723
YEL012W	1.118
YEL013W	0.563
YEL014C	0.753
YEL015W	0.593
YEL016C	0.984
YEL017C-A	0.961
YEL017W	1.0
YEL020C	1.026
YEL023C	1.091
YEL024W	0.61
YEL025C	0.64
YEL027W	0.867
YEL028W	0.713
YEL029C	0.656
YEL030W	0.567
YEL031W	0.74
YEL033W	1.01
YEL037C	0.935
YEL038W	0.987
YEL039C	0.968
YEL040W	1.207
YEL041W	0.647
YEL042W	1.01
YEL043W	0.533
YEL044W	0.921
YEL045C	0.793
YEL046C	0.74
YEL047C	0.663
YEL048C	0.858
YEL049W	0.608
YEL050C	0.427
YEL051W	0.709
YEL052W	0.754
YEL053C	0.644
YEL054C	0.497
YEL056W	0.623
YEL057C	0.797
YEL059W	0.703
YEL060C	0.61
YEL061C	0.615
YEL062W	0.579
YEL063C	0.67
YEL064C	0.676
YEL065W	0.68
YEL066W	1.622
YEL067C	1.366
YEL068C	1.151
YEL071W	1.186
YEL072W	1.081
YER001W	1.517
YER002W	1.128
YER004W	1.043
YER005W	1.268
YER007C-A	1.163
YER007W	1.074
YER010C	0.858
YER011W	0.883
YER014C-A	0.687
YER014W	1.109
YER016W	1.707
YER017C	0.93
YER019C-A	1.209
YER019W	1.238
YER020W	1.343
YER024W	1.077
YER027C	0.881
YER028C	1.281
YER030W	1.12
YER031C	0.948
YER032W	0.88
YER033C	0.945
YER034W	0.871
YER035W	1.043
YER037W	0.934
YER038W-A	1.581
YER039C	1.215
YER039C-A	1.151
YER040W	1.419
YER041W	1.145
YER042W	1.25
YER044C-A	1.058
YER045C	0.883
YER046W	1.088
YER046W-A	1.203
YER047C	0.895
YER048C	0.868
YER049W	0.843
YER050C	0.905
YER051W	1.169
YER052C	1.023
YER053C	1.605
YER054C	0.988
YER055C	0.899
YER056C	1.227
YER056C-A	1.36
YER057C	1.329
YER058W	0.788
YER059W	0.883
YER060W	0.914
YER060W-A	0.975
YER061C	0.812
YER062C	1.401
YER063W	1.212
YER064C	0.73
YER065C	1.105
YER066C-A	1.448
YER067C-A	1.297
YER067W	1.459
YER068C-A	0.782
YER068W	1.951
YER069W	0.988
YER070W	2.167
YER071C	0.911
YER072W	1.062
YER073W	1.065
YER074W	1.134
YER075C	1.465
YER077C	0.66
YER078C	0.689
YER079W	1.18
YER080W	1.302
YER081W	1.302
YER083C	0.924
YER084W	0.926
YER085C	0.988
YER086W	0.874
YER087C-B	1.068
YER087W	0.692
YER088C	0.745
YER089C	0.926
YER090W	0.793
YER091C	0.874
YER091C-A	1.163
YER092W	1.053
YER093C-A	0.914
YER095W	1.197
YER096W	0.795
YER097W	0.853
YER098W	0.708
YER101C	1.181
YER103W	0.95
YER106W	1.215
YER110C	1.228
YER111C	2.238
YER113C	1.123
YER114C	1.131
YER115C	1.195
YER116C	1.214
YER117W	1.118
YER118C	1.083
YER119C	1.005
YER119C-A	1.275
YER120W	1.273
YER121W	1.023
YER122C	0.764
YER123W	1.05
YER124C	1.317
YER128W	1.198
YER129W	0.999
YER130C	1.16
YER131W	1.01
YER132C	1.065
YER134C	1.145
YER135C	1.056
YER137C	1.063
YER139C	1.136
YER140W	1.366
YER141W	1.11
YER142C	1.106
YER143W	1.04
YER144C	1.308
YER145C	1.087
YER151C	1.544
YER152C	0.984
YER153C	0.842
YER154W	0.806
YER155C	1.415
YER156C	1.28
YER166W	1.056
YER167W	1.237
YER169W	0.826
YER170W	1.115
YER173W	1.355
YER174C	1.158
YER175C	1.502
YER176W	1.323
YER177W	1.267
YER178W	1.293
YER179W	1.191
YER180C	1.202
YER181C	0.933
YER182W	1.085
YER183C	0.884
YER184C	0.881
YER185W	1.002
YER186C	0.924
YER187W	1.398
YER188W	0.797
YFL001W	1.386
YFL003C	1.065
YFL004W	1.14
YFL007W	0.96
YFL010C	1.065
YFL010W-A	1.04
YFL011W	0.861
YFL012W	0.83
YFL012W-A	0.966
YFL013C	0.817
YFL014W	0.965
YFL015C	1.1
YFL016C	0.756
YFL019C	0.97
YFL020C	1.061
YFL021W	1.112
YFL023W	0.9
YFL025C	1.915
YFL026W	0.739
YFL027C	0.782
YFL028C	0.748
YFL030W	0.779
YFL031W	0.836
YFL032W	0.836
YFL033C	1.028
YFL034C-A	0.642
YFL034W	0.728
YFL036W	0.458
YFL040W	0.779
YFL041W	0.627
YFL042C	0.999
YFL044C	0.609
YFL046W	0.691
YFL047W	0.881
YFL048C	0.79
YFL049W	0.717
YFL050C	0.703
YFL051C	0.779
YFL052W	0.945
YFL053W	0.718
YFL054C	0.709
YFL055W	0.676
YFL063W	0.857
YFR001W	0.576
YFR006W	0.771
YFR007W	0.759
YFR008W	0.711
YFR009W	0.799
YFR010W	0.705
YFR011C	0.923
YFR012W	0.731
YFR013W	0.89
YFR014C	0.718
