orf	hap alpha | lipid particle number (BODIPY 493/503) | growth phase [log] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle size (BODIPY 493/503) | growth phase [log] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle aggregation (BODIPY 493/503) | growth phase [log] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle staining intensity (BODIPY 493/503) | growth phase [log] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle resolution (BODIPY 493/503) | growth phase [log] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle ring shape (BODIPY 493/503) | growth phase [log] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle number (BODIPY 493/503) | growth phase [stationary] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle size (BODIPY 493/503) | growth phase [stationary] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle size variation (BODIPY 493/503) | growth phase [stationary] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle aggregation (BODIPY 493/503) | growth phase [stationary] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle centralization around nuclear envelope (BODIPY 493/503) | growth phase [stationary] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle staining intensity (BODIPY 493/503) | growth phase [stationary] | YPD | Szymanski KM~Goodman JM, 2007	hap alpha | lipid particle resolution (BODIPY 493/503) | growth phase [stationary] | YPD | Szymanski KM~Goodman JM, 2007
YDL185W	0.1495212235779282	14.467285588406854	0.20992987301321997	0.0	0.0	0.0	0.10895173317379551	0.22041913193731774	0.0	17.924768386213085	0.0	0.0	-13.848807662907682
YDL232W	14.952122357792884	0.14467285588406792	0.20992987301321997	0.0	-12.12169476067467	0.0	10.8951733173796	0.22041913193731774	0.0	0.17924768386213008	0.0	0.0	-13.848807662907682
YDR138W	14.952122357792884	0.14467285588406792	0.20992987301321997	0.0	-12.12169476067467	0.0	10.8951733173796	0.22041913193731774	0.0	0.17924768386213008	0.0	0.0	-6.924403831453841
YDR226W	0.1495212235779282	0.14467285588406792	20.99298730132209	0.0	0.0	0.0	10.8951733173796	0.22041913193731774	0.0	0.17924768386213008	25.50910201701122	0.0	0.0
YDR293C	0.1495212235779282	-14.17793987663872	0.20992987301321997	-19.4828984838841	0.0	0.0	10.8951733173796	0.22041913193731774	0.0	0.17924768386213008	0.0	0.0	-13.848807662907682
YDR323C	0.1495212235779282	0.14467285588406792	20.99298730132209	0.0	-24.24338952134934	0.0	10.8951733173796	0.22041913193731774	0.0	0.17924768386213008	25.50910201701122	0.0	0.0
YDR408C	0.1495212235779282	0.14467285588406792	0.20992987301321997	0.0	0.0	0.0	0.10895173317379551	0.22041913193731774	47.72315999596003	0.17924768386213008	0.0	0.0	0.0
YDR414C	14.952122357792884	0.14467285588406792	-20.573127555295653	0.0	0.0	0.0	10.8951733173796	0.22041913193731774	0.0	0.17924768386213008	0.0	0.0	-6.924403831453841
YEL036C	0.1495212235779282	0.14467285588406792	0.20992987301321997	0.0	0.0	0.0	10.8951733173796	0.22041913193731774	0.0	0.17924768386213008	25.50910201701122	0.0	0.0
YER155C	0.1495212235779282	14.467285588406854	0.20992987301321997	0.0	0.0	0.0	0.10895173317379551	22.041913193731872	0.0	0.17924768386213008	0.0	0.0	0.0
YFR019W	-14.653079910637029	14.467285588406854	20.99298730132209	0.0	0.0	0.0	0.10895173317379551	0.22041913193731774	0.0	17.924768386213085	0.0	0.0	-13.848807662907682
YGL136C	0.1495212235779282	-14.17793987663872	0.20992987301321997	-19.4828984838841	0.0	0.0	10.8951733173796	0.22041913193731774	0.0	0.17924768386213008	0.0	0.0	-6.924403831453841
YGL173C	0.1495212235779282	-14.17793987663872	0.20992987301321997	-19.4828984838841	0.0	0.0	10.8951733173796	0.22041913193731774	0.0	0.17924768386213008	0.0	0.0	-6.924403831453841
YGL206C	14.952122357792884	0.14467285588406792	-20.573127555295653	0.0	0.0	0.0	10.8951733173796	0.22041913193731774	0.0	0.17924768386213008	0.0	0.0	-13.848807662907682
YGR020C	0.1495212235779282	0.14467285588406792	20.99298730132209	0.0	0.0	0.0	0.10895173317379551	0.22041913193731774	0.0	0.17924768386213008	0.0	0.0	-6.924403831453841
YGR262C	0.1495212235779282	0.14467285588406792	0.20992987301321997	0.0	0.0	0.0	10.8951733173796	0.22041913193731774	0.0	0.17924768386213008	0.0	0.0	-13.848807662907682
YHR004C	0.1495212235779282	0.14467285588406792	0.20992987301321997	0.0	0.0	47.72315999596003	0.10895173317379551	22.041913193731872	0.0	0.17924768386213008	0.0	0.0	0.0
YHR060W	0.1495212235779282	-7.016633510377326	0.20992987301321997	-19.4828984838841	0.0	0.0	0.10895173317379551	0.22041913193731774	0.0	0.17924768386213008	0.0	0.0	-6.924403831453841
YIL009C-A	14.952122357792884	14.467285588406854	0.20992987301321997	0.0	0.0	0.0	10.8951733173796	0.22041913193731774	0.0	0.17924768386213008	0.0	0.0	-13.848807662907682
YIL039W	14.952122357792884	0.14467285588406792	-20.573127555295653	0.0	0.0	0.0	10.8951733173796	0.22041913193731774	0.0	0.17924768386213008	25.50910201701122	0.0	0.0
YJL080C	14.952122357792884	0.14467285588406792	0.20992987301321997	0.0	-12.12169476067467	0.0	10.8951733173796	0.22041913193731774	0.0	0.17924768386213008	0.0	0.0	-13.848807662907682
