orf	hap a | abundance of alanine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of aspartic acid | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of glutamate | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of phenylalanine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of glycine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of histidine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of isoleucine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of lysine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of leucine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of methionine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of asparagine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of proline | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of glutamine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of arginine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of serine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of threonine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of valine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of tryptophan | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of tyrosine | minimal [standard] | Mulleder M~Ralser M, 2016
YLR124W	0.2389435052587093	1.376971914902939	0.1801218666985641	-0.1794932177772568	1.0626763073332635	-0.013009373488172729	0.07980034177251785	0.3613353943217596	-0.7124977362857913	0.8526371367140088	0.0025943294877003747	-0.24290775003977794	-0.15419005943876737	0.37434468298549456	-0.37268520986499715	1.1016591438744507	0.11049367865595251	-0.7783120074284139	-0.06456281016012097
YLR125W	0.3471266232992705	0.39916828022116724	0.02398793043921871	-0.046326223494722686	0.26358267194022916	-0.1604526477572673	-0.3716223438750472	0.019428302098129915	-0.22742336856508974	0.5364529993059669	-0.41483967703415586	-0.4116991239185895	-0.2627641812720462	0.16153618817939308	-0.6331429613169419	0.2250772352773702	0.041009086764239894	-0.4185364463199287	-0.3344990016650099
YLR126C	0.10220853189370842	0.23212204415664575	-0.005937317775952047	-0.13055683650395658	-0.06758392663565707	-0.1347270309233334	0.5859063346092991	0.009224324544500891	0.7946765081988808	0.48114972950113133	-0.0168861963498002	0.3134472469526582	0.0007600230260744127	-0.14757122161286332	-0.16439549570531886	-0.07180121695014362	0.011746030898532076	0.34642108112583814	0.11874715352522333
YLR128W	0.21473787070808784	0.2920076386502375	-0.4576151577590948	-0.7142606269361819	-0.07952002547926183	0.73042151660188	-0.248852186911901	0.28335662488751073	-0.6150108031393543	0.12014497085352925	0.900402997594218	-0.23254088481231316	1.2011535600374676	-0.0755503279817256	0.5547868319955148	1.8092363647145082	0.054165189774553334	-0.2928030231918267	0.07060927728710528
YLR130C	0.5659402733384554	0.261055266927032	-0.5211937890788739	-0.2835135368993765	-0.256875966586611	-0.7479700905125474	0.4875557609409341	-0.6644720577451633	0.06887264041125693	0.8063402905124389	0.8961823695899859	0.03889519347557841	-0.22354601472898414	-0.6824406804597557	0.6051777734351271	0.3021426723963963	0.07314135004146041	-0.5590391651009206	-0.19898978833271683
YLR131C	0.15548776077702428	0.5158211047575944	0.03539074624418071	0.09267342290018228	-0.1466235194159816	-0.8081617530129691	0.8418389346456219	-0.011723294621147453	1.0169872126405306	-0.5606822977715797	-0.635011178942602	0.33189239998422226	-0.012634613041576469	-0.15656295127657388	0.12340576631637061	-0.08253760515967348	0.054165189774553334	0.36323435351293715	0.11931098706810725
YLR133W	-0.0928868595343975	0.6474550541562635	0.34755717915533996	-0.008721390152775071	-0.08724983397967974	-1.3833364791485105	0.4481854866832081	0.057783016581120665	0.12231580187424329	-0.9824216496316907	-0.7333464005887066	-0.2749376847376243	-0.5364594075599745	-0.3637917727693334	0.02190093142027918	0.18800719425029527	-0.30778804997429127	0.447914520127785	1.3010954660637488
YLR134W	0.005211898440015705	0.013257532731598033	-0.02452470557521863	0.2964060810461317	-0.24100763042068696	-0.2572544285531942	0.45279249211773076	-0.17008850151406432	0.7653803657849951	0.16627370118534363	-0.03784218022593114	0.19684380681724878	0.5162643024594831	-0.4190293539339451	-0.2903170841353087	0.06023864495358309	0.054165189774553334	0.8396461151226607	-0.15248532836051104
YLR135W	0.39533254168083554	-0.5421610216963416	-0.18758198270530352	0.09573574503573434	0.6102820141903292	-0.000405843675997148	0.3167682566475577	-0.1969825821212532	0.004691490228815341	0.580080010637271	-0.6876818770637256	-0.5744431984107252	-0.7872073324744975	0.5896631504376199	-0.22933488215746736	-0.3205167347581561	0.3175798336868108	1.1255832442297902	0.41703677560129615
YLR136C	-0.133708648805075	-0.20266022803883918	0.5792767222448156	-0.355580753821957	0.3311460227362491	0.084541952608342	-0.20377589515368397	0.08830421791398665	0.02381471374718192	0.41156453321490694	0.0025943294877003747	-0.19727671119194848	0.6250331930476847	-0.11197793908636865	-0.11560873457041536	0.2848324425084146	-0.0006743868009755114	-0.6853175569260589	0.16634540997416067
