ORF	hap a | abundance of alanine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of aspartic acid | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of glutamate | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of phenylalanine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of glycine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of histidine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of isoleucine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of lysine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of leucine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of methionine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of asparagine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of proline | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of glutamine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of arginine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of serine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of threonine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of valine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of tryptophan | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of tyrosine | minimal [standard] | Mulleder M~Ralser M, 2016
YDR508C	5.843	5.512	22.653	0.276	1.647	4.874	0.399	0.671	0.265	0.147	1.217	1.179	31.127	2.565	2.459	4.326	1.367	0.037	2.500
YDR509W	5.391	4.847	20.619	0.275	1.652	5.280	0.406	0.920	0.297	0.126	1.270	1.048	28.278	2.880	2.451	3.931	1.196	0.040	2.981
YDR511W	5.329	5.844	22.839	0.241	1.828	5.500	0.378	1.138	0.267	0.122	1.143	1.174	30.275	2.911	2.542	4.004	1.240	0.035	2.540
YDR512C	7.929	6.349	22.098	0.229	2.724	4.542	0.402	0.776	0.224	0.099	1.226	1.226	27.439	2.653	2.065	4.486	1.332	0.028	2.688
YDR513W	5.568	6.622	21.003	0.248	2.961	8.220	0.398	1.710	0.258	0.106	1.326	1.115	28.244	6.371	3.549	4.132	1.416	0.033	1.637
YDR514C	5.981	6.200	21.223	0.191	2.878	5.639	0.342	1.184	0.209	0.105	1.329	1.144	28.481	2.880	3.015	4.196	1.275	0.025	1.230
YDR515W	5.502	4.942	20.171	0.280	1.718	4.701	0.411	0.769	0.321	0.144	1.221	1.160	27.635	2.688	2.313	4.030	1.250	0.042	2.849
YDR516C	5.118	5.082	21.032	0.269	1.924	4.718	0.401	0.790	0.298	0.134	1.205	1.185	28.244	2.633	2.309	3.930	1.286	0.039	2.725
YDR517W	5.219	5.082	20.074	0.258	2.222	5.393	0.386	0.968	0.317	0.122	1.169	1.150	25.152	3.684	2.273	3.742	1.215	0.039	3.136
YDR518W	5.927	5.651	21.324	0.270	2.047	4.192	0.375	0.795	0.217	0.125	1.228	1.155	26.817	1.991	2.113	4.216	1.342	0.036	3.314
YDR519W	5.385	5.040	20.670	0.273	1.867	5.392	0.399	0.841	0.296	0.128	1.206	1.175	29.425	2.926	2.266	3.946	1.293	0.039	2.321
YDR520C	5.001	4.690	18.569	0.319	2.371	5.039	0.408	0.832	0.287	0.133	1.064	0.997	22.897	5.515	2.135	3.725	1.354	0.041	2.534
YDR522C	4.988	4.668	18.319	0.304	1.658	5.169	0.417	0.850	0.308	0.142	1.115	1.040	26.853	3.821	2.120	3.996	1.243	0.040	2.853
YDR523C	6.810	6.493	20.882	0.276	1.889	3.668	0.412	0.738	0.202	0.143	1.503	1.112	27.066	1.091	1.958	4.612	1.354	0.041	3.822
YDR524C	5.911	4.673	20.656	0.354	2.504	4.240	0.435	0.611	0.288	0.160	1.025	1.128	23.002	3.573	2.038	3.879	1.510	0.042	2.866
YDR524C-B	6.127	7.450	22.217	0.145	2.298	4.791	0.350	0.623	0.258	0.134	1.521	2.072	24.842	1.043	2.107	5.392	1.759	0.019	0.689
YDR524W-C	5.314	5.246	23.038	0.221	1.943	6.937	0.332	0.994	0.238	0.130	1.231	1.331	27.916	3.780	2.273	3.411	1.280	0.035	1.587
YDR525W	4.921	6.072	25.798	0.266	1.778	4.158	0.393	0.878	0.297	0.106	1.068	1.351	28.244	2.311	2.452	4.030	1.248	0.039	3.450
YDR525W-A	6.127	5.133	21.830	0.218	2.199	4.576	0.351	0.835	0.222	0.114	1.273	1.151	28.492	1.753	2.317	4.107	1.256	0.031	2.150
YDR528W	5.486	5.093	19.716	0.286	2.369	5.092	0.399	1.000	0.233	0.121	1.168	1.036	24.715	5.330	2.423	3.996	1.368	0.035	3.096
YDR529C	5.443	5.737	23.157	0.245	1.769	4.869	0.387	1.011	0.265	0.126	1.157	1.197	30.934	2.383	2.771	4.233	1.248	0.036	2.781
YDR530C	6.074	5.736	22.241	0.259	1.681	6.321	0.398	1.218	0.265	0.109	0.974	1.174	28.244	3.767	2.627	4.135	1.356	0.034	2.044
YDR532C	6.549	4.178	27.650	0.193	1.681	5.419	0.395	1.639	0.268	0.037	1.466	0.858	38.898	2.634	2.533	3.911	1.400	0.022	2.902
YDR533C	5.363	5.699	22.871	0.240	1.839	4.967	0.375	0.892	0.247	0.123	1.224	1.237	30.477	2.537	2.398	4.115	1.289	0.033	2.459
YDR534C	5.059	5.036	20.677	0.270	2.015	4.835	0.402	0.888	0.294	0.119	1.166	1.103	24.864	3.809	2.421	3.704	1.255	0.039	3.345
YDR535C	5.889	5.036	21.592	0.271	1.479	4.239	0.405	0.656	0.282	0.141	1.279	1.276	31.902	2.430	2.255	3.922	1.287	0.045	2.817
YDR536W	6.246	4.952	22.505	0.276	1.630	4.888	0.387	0.573	0.285	0.174	1.213	1.215	28.723	1.777	2.273	3.906	1.365	0.043	2.216
YDR537C	5.888	4.853	21.812	0.295	1.784	4.084	0.414	0.718	0.276	0.113	1.162	1.079	28.623	2.515	2.273	4.006	1.428	0.042	3.640
YDR538W	6.241	5.101	21.443	0.233	1.531	5.527	0.352	0.823	0.219	0.126	1.310	1.159	29.562	2.719	2.293	4.099	1.332	0.035	2.335
YDR539W	6.205	5.188	22.289	0.253	1.850	4.658	0.380	0.647	0.270	0.128	1.221	1.228	27.860	1.832	2.273	4.377	1.303	0.039	2.253
YDR540C	6.527	5.248	21.466	0.252	1.678	4.582	0.391	0.646	0.234	0.146	1.225	1.231	29.543	2.448	2.361	4.413	1.374	0.036	2.431
YDR541C	6.296	4.837	22.916	0.307	1.559	4.185	0.398	0.475	0.298	0.173	1.224	1.231	30.482	1.394	2.197	3.972	1.413	0.046	2.324
YEL001C	5.766	4.719	19.985	0.293	1.667	4.960	0.399	0.778	0.307	0.159	1.248	1.154	27.690	2.575	2.232	3.987	1.337	0.045	2.905
YEL003W	6.784	4.170	17.936	0.313	3.520	5.058	0.385	1.087	0.213	0.126	1.008	0.934	20.473	3.822	2.122	4.012	1.508	0.032	2.808
YEL005C	5.564	4.742	20.777	0.310	1.996	4.690	0.414	0.663	0.317	0.131	1.104	1.128	28.276	2.993	2.276	3.907	1.336	0.043	2.603
YEL006W	5.901	5.502	24.121	0.248	2.018	4.765	0.397	1.555	0.269	0.105	1.166	1.134	31.284	4.874	2.262	4.435	1.340	0.034	2.528
YEL007W	5.787	4.594	21.466	0.253	3.801	3.825	0.405	2.001	0.278	0.087	1.123	1.012	22.487	4.855	2.744	4.358	1.224	0.043	3.292
YEL008W	6.333	4.660	21.305	0.292	1.524	4.768	0.399	0.557	0.310	0.136	1.172	1.152	29.991	1.651	2.263	3.542	1.224	0.046	3.030
YEL009C	6.080	4.341	21.466	0.403	1.571	4.695	0.482	0.519	0.437	0.186	1.209	1.242	29.871	2.228	2.046	3.806	1.427	0.058	3.624
YEL010W	5.839	4.327	20.704	0.379	1.759	4.093	0.466	0.518	0.400	0.184	1.242	1.223	28.244	2.516	2.104	3.882	1.441	0.054	3.486
YEL011W	5.963	4.411	18.792	0.293	2.042	5.265	0.419	0.837	0.294	0.126	1.111	1.088	27.392	3.553	2.246	3.915	1.299	0.044	2.844
YEL012W	6.127	4.545	21.932	0.326	1.639	4.706	0.416	0.642	0.368	0.141	1.240	1.162	28.580	2.326	2.200	3.928	1.305	0.043	2.640
YEL013W	9.245	6.167	30.534	0.280	1.816	3.303	0.493	0.593	0.219	0.164	0.649	1.204	23.276	4.851	2.563	3.817	1.789	0.028	2.341
YEL014C	6.440	4.528	23.108	0.263	1.715	6.182	0.377	0.727	0.263	0.138	1.311	1.185	32.437	2.367	2.273	4.389	1.401	0.037	1.997
YEL015W	6.473	5.069	23.965	0.260	1.828	5.170	0.361	0.887	0.253	0.110	1.325	1.178	31.746	2.755	2.153	4.516	1.295	0.033	2.021
YEL016C	6.334	4.953	21.462	0.252	2.176	5.310	0.369	0.871	0.255	0.140	1.343	1.186	28.954	2.638	2.273	4.737	1.308	0.038	2.267
YEL017C-A	5.645	5.036	21.785	0.224	1.917	5.575	0.399	1.151	0.249	0.105	1.185	1.143	28.733	4.286	2.505	3.707	1.323	0.033	2.362
YEL017W	5.725	4.038	21.466	0.282	1.865	2.681	0.404	1.061	0.313	0.121	1.149	1.147	28.981	3.161	2.084	4.073	1.353	0.038	1.963
YEL020C	5.380	4.343	19.301	0.301	1.828	4.971	0.414	0.994	0.351	0.107	1.216	1.030	27.342	3.110	2.698	3.730	1.184	0.048	2.971
YEL022W	4.388	5.468	20.729	0.264	2.119	4.905	0.399	0.931	0.276	0.115	1.278	1.128	28.132	2.024	2.433	3.926	1.388	0.037	2.625
YEL023C	5.483	4.169	21.466	0.339	1.980	2.094	0.441	1.573	0.411	0.128	1.069	1.056	27.847	4.548	2.539	3.801	1.279	0.053	2.453
YEL024W	6.550	5.427	20.693	0.282	2.145	4.708	0.391	0.741	0.244	0.140	1.223	1.128	26.406	3.465	2.109	4.118	1.353	0.042	3.087
YEL025C	5.959	3.233	20.489	0.350	1.352	3.591	0.413	0.765	0.327	0.180	1.100	1.135	29.295	4.353	2.047	3.445	1.356	0.049	2.298
YEL028W	6.293	4.735	21.407	0.292	1.627	4.453	0.414	0.775	0.308	0.176	1.230	1.113	28.037	2.686	2.236	4.009	1.354	0.038	3.190
YEL030W	5.984	4.328	21.045	0.286	1.773	4.765	0.409	1.094	0.317	0.107	1.163	1.102	30.463	3.755	2.103	4.105	1.364	0.042	2.383
YEL031W	7.000	5.165	23.591	0.247	1.648	4.346	0.425	0.611	0.237	0.126	0.957	1.238	31.336	4.774	2.144	4.618	1.556	0.033	2.437
YEL033W	5.495	4.782	19.610	0.285	2.060	5.845	0.399	0.839	0.273	0.108	1.222	1.061	28.229	4.456	2.084	4.765	1.407	0.037	2.771
YEL037C	7.737	5.095	20.183	0.246	2.165	5.482	0.435	1.093	0.260	0.109	1.205	1.128	27.006	3.406	1.814	4.636	2.215	0.032	2.126
YEL038W	5.895	5.249	24.448	0.246	2.357	5.580	0.380	1.355	0.255	0.121	1.112	1.142	28.244	4.667	2.412	4.124	1.323	0.034	1.985
YEL039C	5.955	4.635	23.555	0.274	2.229	2.592	0.418	1.671	0.285	0.099	1.104	1.128	28.423	5.080	2.020	4.268	1.398	0.037	2.426
YEL040W	6.151	4.848	19.468	0.255	1.573	5.364	0.377	0.814	0.253	0.131	1.278	1.017	28.424	3.034	2.273	4.121	1.276	0.038	2.813
YEL041W	5.467	5.148	25.666	0.307	1.839	5.834	0.432	1.128	0.351	0.112	1.059	1.108	25.976	3.693	2.303	3.700	1.282	0.043	2.563
YEL042W	5.920	4.434	23.262	0.303	1.666	4.598	0.399	0.583	0.304	0.149	1.200	1.288	27.246	3.117	2.273	3.827	1.403	0.043	2.890
YEL043W	6.399	4.243	20.361	0.317	1.447	4.115	0.428	0.519	0.311	0.187	1.129	1.193	30.238	2.060	2.196	3.840	1.413	0.043	2.758
YEL044W	12.287	5.662	17.753	0.261	3.120	5.849	0.529	0.538	0.259	0.067	1.160	0.596	23.566	8.696	2.247	4.171	1.354	0.051	4.921
YEL046C	4.960	5.106	20.673	0.308	1.292	4.825	0.425	0.733	0.329	0.124	1.220	1.337	27.266	2.149	2.377	3.996	1.313	0.044	3.076
YEL047C	6.332	5.364	24.972	0.223	2.245	6.001	0.337	0.805	0.256	0.089	1.224	1.147	31.101	2.332	2.471	3.767	1.231	0.027	1.894
YEL048C	6.127	4.959	22.944	0.263	1.939	5.613	0.378	0.858	0.265	0.127	1.300	1.121	30.822	3.082	2.218	4.777	1.339	0.037	2.400
YEL049W	6.051	4.672	23.687	0.267	1.807	2.541	0.399	1.381	0.279	0.098	1.231	1.131	31.099	3.891	2.497	4.276	1.331	0.038	2.390
YEL050C	4.350	5.702	17.100	0.379	1.727	5.392	0.399	0.630	0.210	0.099	1.382	0.802	27.919	2.894	2.155	4.317	1.361	0.044	4.195
YEL052W	5.621	4.856	25.117	0.310	2.002	2.349	0.446	1.534	0.366	0.111	1.070	1.141	28.244	4.232	2.168	3.968	1.333	0.044	2.666
YEL053C	5.972	4.674	19.739	0.292	1.990	4.227	0.407	0.803	0.352	0.117	1.267	1.035	28.087	2.819	2.389	3.996	1.087	0.047	3.420
YEL054C	7.674	4.990	21.001	0.354	1.567	3.024	0.511	1.509	0.391	0.082	1.133	0.871	22.992	7.230	2.417	3.996	1.317	0.054	3.207
YEL056W	6.177	5.036	23.108	0.252	1.819	5.671	0.360	0.989	0.253	0.097	1.229	1.055	30.768	3.938	2.598	4.003	1.243	0.035	2.671
YEL057C	6.329	5.257	23.381	0.279	1.310	4.289	0.392	0.864	0.337	0.130	1.264	1.128	25.551	1.631	2.068	3.759	1.152	0.043	3.422
YEL059C-A	6.977	5.931	20.620	0.309	2.891	3.951	0.406	0.565	0.261	0.153	1.216	1.187	25.545	2.624	2.120	4.647	1.354	0.041	2.351
YEL059W	2.580	2.857	3.435	0.404	2.000	9.678	0.375	7.584	0.422	0.099	0.277	0.464	1.487	13.165	4.105	3.996	0.670	0.050	7.657
YEL060C	6.151	4.503	23.774	0.274	1.695	4.091	0.399	1.082	0.284	0.093	0.394	1.060	30.459	3.830	2.283	3.857	1.365	0.039	2.038
YEL061C	6.127	4.004	25.027	0.271	2.053	4.705	0.403	1.093	0.290	0.059	1.009	0.967	28.787	4.121	1.571	3.569	1.301	0.044	3.731
YEL062W	6.509	4.423	21.466	0.190	1.573	5.201	0.421	0.994	0.215	0.099	1.413	0.960	26.504	4.672	2.332	4.093	1.232	0.027	2.856
YEL063C	5.780	4.283	21.493	0.298	1.601	2.537	0.403	1.106	0.305	0.126	1.117	1.049	29.271	3.577	2.011	3.958	1.379	0.040	2.262
YEL064C	5.681	4.497	21.904	0.280	1.868	5.703	0.402	0.952	0.312	0.107	1.286	1.108	29.852	3.290	2.257	3.996	1.313	0.038	2.367
YEL065W	5.852	4.994	24.102	0.259	2.032	6.057	0.401	0.987	0.302	0.115	1.204	1.116	30.322	2.880	2.441	4.025	1.289	0.036	2.259
YEL066W	5.726	4.761	21.157	0.300	1.961	3.835	0.430	1.279	0.335	0.113	1.120	1.027	27.452	4.092	2.435	3.996	1.273	0.046	3.363
YEL067C	6.809	5.612	25.853	0.280	1.697	4.619	0.393	0.700	0.268	0.110	1.250	1.165	31.859	1.645	2.598	4.256	1.300	0.038	3.043
YEL068C	6.385	5.462	23.700	0.268	1.584	4.883	0.397	0.678	0.267	0.109	1.224	1.137	29.792	2.041	2.399	4.250	1.264	0.037	3.063
YEL071W	6.315	5.062	20.149	0.286	1.683	4.735	0.428	0.593	0.307	0.121	1.217	1.075	28.426	2.726	2.344	3.996	1.282	0.043	3.444
YEL072W	5.987	5.431	21.664	0.261	1.847	4.868	0.387	0.710	0.248	0.128	1.294	1.128	28.163	2.918	2.576	4.127	1.337	0.037	2.621
YER001W	6.303	5.081	22.169	0.265	1.520	4.470	0.397	0.581	0.273	0.129	1.273	1.137	29.991	2.027	2.443	3.996	1.316	0.037	2.569
YER002W	6.860	5.360	22.584	0.262	1.327	5.170	0.404	0.626	0.268	0.116	1.353	1.128	27.808	2.397	2.279	4.279	1.325	0.037	2.645
YER004W	5.676	4.786	20.913	0.302	1.654	4.828	0.416	0.618	0.323	0.133	1.228	1.156	27.724	2.097	2.455	3.740	1.324	0.045	2.758
YER005W	6.092	5.503	23.154	0.253	1.768	5.362	0.392	0.690	0.258	0.124	1.321	1.212	30.038	3.252	2.564	4.095	1.354	0.037	2.288
YER007C-A	6.235	4.763	19.910	0.294	1.401	5.375	0.421	0.565	0.295	0.129	1.136	1.015	28.244	1.883	2.329	3.969	1.358	0.041	2.627
YER007W	6.127	5.460	26.085	0.219	1.710	5.865	0.394	1.053	0.254	0.110	1.437	1.270	34.981	2.561	2.841	4.114	1.329	0.032	2.436
YER010C	6.309	5.341	23.819	0.240	1.756	5.828	0.379	0.596	0.239	0.124	1.309	1.160	29.921	2.044	2.584	4.366	1.354	0.036	2.099
YER011W	6.318	5.428	22.417	0.303	1.569	4.665	0.401	0.678	0.321	0.105	1.175	0.981	29.848	1.934	2.273	3.631	1.247	0.043	3.132
YER014C-A	6.488	5.058	20.748	0.218	2.161	6.221	0.399	0.597	0.205	0.080	1.435	0.810	34.138	5.917	1.398	3.215	1.467	0.030	2.783
YER014W	6.127	5.565	15.216	0.299	1.699	2.443	0.467	0.315	0.267	0.132	1.636	0.868	24.495	0.837	1.458	5.511	1.989	0.049	3.444
YER015W	5.432	5.529	20.933	0.277	1.952	4.415	0.392	0.704	0.268	0.131	1.328	1.194	30.313	2.136	2.294	4.327	1.359	0.038	2.556
YER016W	6.137	4.881	23.018	0.230	1.646	6.298	0.371	1.135	0.242	0.117	1.324	1.120	30.380	3.791	2.271	3.728	1.312	0.030	2.493
YER019C-A	6.226	5.127	22.073	0.283	1.589	4.104	0.399	0.619	0.300	0.139	1.174	1.171	29.970	1.876	2.252	3.927	1.318	0.042	2.529
YER019W	5.711	5.036	23.697	0.280	1.386	3.692	0.388	0.584	0.305	0.128	1.238	1.185	29.326	1.537	2.170	3.803	1.291	0.041	2.786
YER020W	5.902	4.660	23.027	0.293	1.687	4.265	0.410	0.666	0.299	0.138	1.183	1.227	28.244	2.369	2.355	3.984	1.386	0.042	2.744
YER024W	6.229	5.177	23.576	0.280	1.442	4.641	0.388	0.605	0.288	0.142	1.241	1.212	30.268	1.847	2.258	3.979	1.354	0.042	2.444
YER027C	5.708	4.840	20.370	0.261	1.933	5.816	0.410	0.804	0.275	0.123	1.207	1.122	29.515	3.518	2.515	4.076	1.330	0.039	2.633
YER028C	5.926	5.246	22.910	0.214	1.943	6.266	0.326	0.975	0.220	0.113	1.401	1.243	33.557	2.402	2.665	3.996	1.342	0.027	1.952
YER030W	6.090	5.126	25.962	0.280	1.496	4.487	0.396	0.606	0.285	0.172	1.203	1.325	32.715	2.224	2.056	4.015	1.384	0.044	2.549
YER031C	6.307	5.544	25.915	0.280	1.554	4.403	0.385	0.633	0.281	0.156	1.217	1.347	30.879	2.125	2.231	4.004	1.295	0.040	2.463
YER032W	6.152	5.292	24.275	0.276	1.524	4.198	0.389	0.554	0.269	0.143	1.203	1.296	32.412	1.485	2.145	3.996	1.423	0.039	2.055
YER033C	6.127	5.734	22.475	0.276	1.711	4.751	0.383	0.628	0.272	0.142	1.294	1.181	28.709	2.539	2.246	4.012	1.343	0.041	2.145
YER034W	6.423	5.691	24.019	0.277	1.349	4.653	0.386	0.599	0.268	0.148	1.224	1.215	31.064	1.889	2.220	3.988	1.373	0.040	2.263
YER035W	6.403	5.692	23.115	0.304	1.362	4.037	0.397	0.568	0.304	0.130	1.211	1.096	30.324	1.577	2.215	3.803	1.354	0.043	2.760
YER037W	5.847	4.469	21.389	0.304	2.411	5.905	0.430	0.971	0.303	0.134	1.182	1.114	26.866	4.774	2.305	3.890	1.354	0.038	2.691
YER038W-A	6.522	5.426	25.557	0.261	1.536	4.803	0.370	0.765	0.233	0.099	1.233	1.207	32.931	1.815	2.431	4.120	1.285	0.036	2.570
YER039C	6.473	5.547	24.625	0.279	1.465	4.333	0.395	0.714	0.281	0.121	1.213	1.252	30.439	1.913	2.419	4.165	1.282	0.039	3.056
YER039C-A	6.070	4.702	21.055	0.330	1.417	4.268	0.433	0.545	0.351	0.179	1.228	1.183	30.437	1.832	2.200	3.996	1.361	0.048	2.619
YER040W	7.053	6.052	45.509	0.325	1.528	2.993	0.417	0.622	0.360	0.126	0.488	1.608	15.744	2.392	2.185	3.764	1.256	0.044	3.771
YER041W	6.353	5.436	24.879	0.259	1.634	4.309	0.388	0.714	0.256	0.130	1.200	1.266	30.289	1.920	2.647	4.298	1.354	0.039	2.533
YER042W	6.158	5.399	25.119	0.258	1.565	4.485	0.381	0.689	0.262	0.142	1.264	1.250	31.408	1.947	2.509	4.097	1.354	0.036	2.359
YER044C	5.565	5.051	21.558	0.261	2.553	5.529	0.361	0.802	0.256	0.145	1.224	1.128	27.669	3.613	2.310	3.939	1.345	0.038	2.377
YER044C-A	5.725	5.220	23.856	0.260	1.736	4.463	0.384	0.665	0.268	0.146	1.280	1.258	30.620	1.866	2.506	4.187	1.365	0.035	2.286
YER045C	6.127	5.473	24.242	0.276	1.491	4.681	0.390	0.576	0.280	0.149	1.246	1.234	31.325	1.889	2.210	4.079	1.351	0.040	2.505
YER046W	6.136	4.847	22.625	0.310	1.519	4.552	0.399	0.561	0.309	0.142	1.098	1.176	29.508	1.937	2.132	4.018	1.294	0.042	1.921
YER046W-A	5.946	5.284	22.620	0.225	1.832	5.036	0.344	0.671	0.205	0.132	1.294	1.285	29.742	1.936	2.273	4.320	1.317	0.033	1.829
YER047C	6.212	5.249	25.044	0.240	1.518	4.210	0.366	0.577	0.227	0.145	1.262	1.302	32.446	1.593	2.377	3.996	1.377	0.035	1.802
YER048C	6.849	5.338	23.286	0.198	1.495	4.245	0.399	0.632	0.169	0.127	1.293	1.282	35.255	1.976	2.267	4.293	1.394	0.029	1.495
YER049W	6.697	5.722	24.672	0.271	1.458	4.640	0.388	0.705	0.287	0.142	1.283	1.278	33.670	1.655	2.203	4.040	1.321	0.039	2.207
YER050C	8.885	5.742	18.852	0.306	2.112	4.774	0.399	0.925	0.260	0.107	1.321	1.045	24.595	2.549	2.042	3.909	1.196	0.043	3.860
YER051W	6.656	5.880	24.701	0.267	1.532	4.487	0.378	0.779	0.250	0.115	1.260	1.234	32.200	1.931	2.401	4.399	1.287	0.039	2.735
YER053C	6.580	5.542	25.179	0.274	1.636	4.195	0.390	0.730	0.272	0.126	1.236	1.282	32.063	1.945	2.273	4.137	1.288	0.039	2.679
YER054C	5.787	5.135	23.676	0.279	1.674	4.583	0.399	0.717	0.290	0.130	1.217	1.243	30.290	1.959	2.496	4.000	1.316	0.037	2.890
YER056C	6.048	5.036	25.759	0.270	1.609	4.375	0.383	0.583	0.260	0.151	1.250	1.265	32.365	1.933	2.298	4.098	1.371	0.039	2.451
YER056C-A	5.975	5.722	26.509	0.229	1.992	4.704	0.366	0.689	0.234	0.164	1.513	1.450	32.422	1.872	3.417	5.023	1.354	0.033	1.882
YER059W	6.008	5.081	24.287	0.280	1.463	4.090	0.378	0.575	0.284	0.145	1.168	1.245	30.399	1.335	2.327	3.641	1.372	0.041	2.169
YER060W	6.026	5.112	22.682	0.270	1.658	4.537	0.385	0.630	0.265	0.134	1.224	1.228	29.964	1.980	2.494	4.070	1.386	0.039	2.302
YER061C	15.847	5.036	19.120	0.326	3.855	4.030	0.625	1.603	0.051	0.063	1.111	0.623	13.128	1.011	1.369	4.355	6.076	0.050	6.891
YER062C	6.408	5.507	25.466	0.274	1.728	4.372	0.393	0.651	0.255	0.121	1.224	1.251	32.317	1.634	2.654	4.266	1.358	0.037	3.079
YER063W	6.724	5.036	24.826	0.291	1.614	4.197	0.387	0.583	0.258	0.137	1.209	1.249	31.355	2.227	2.300	4.000	1.375	0.035	2.203
YER064C	5.892	4.457	20.718	0.311	1.679	5.148	0.411	0.872	0.297	0.121	1.063	1.119	30.678	3.940	1.990	3.814	1.354	0.042	3.024
YER065C	6.127	5.247	24.539	0.271	1.494	3.953	0.396	0.634	0.273	0.127	1.158	1.188	29.881	1.742	2.430	3.858	1.313	0.039	3.138
YER066C-A	6.254	5.256	24.635	0.265	1.700	3.729	0.397	0.765	0.259	0.127	1.169	1.372	31.373	1.911	2.273	4.285	1.348	0.037	2.820
YER066W	6.127	4.641	20.180	0.300	1.864	4.575	0.421	0.691	0.289	0.124	1.109	1.059	24.740	3.508	2.308	3.944	1.371	0.040	3.221
YER067C-A	6.281	5.564	23.274	0.226	1.594	4.765	0.339	0.779	0.217	0.120	1.245	1.168	30.184	2.422	2.340	4.131	1.252	0.033	2.034
YER067W	6.738	5.322	25.333	0.214	1.545	4.156	0.394	0.765	0.193	0.113	1.263	1.352	35.025	1.989	2.491	4.310	1.385	0.030	1.709
YER068W	12.147	1.977	25.076	0.193	1.436	6.705	0.453	1.085	0.214	0.006	1.269	1.128	25.502	3.519	1.729	3.469	1.374	0.027	6.978
YER070W	5.306	4.841	15.077	0.349	1.218	6.113	0.451	1.386	0.205	0.074	1.517	0.625	28.244	2.623	1.400	4.245	1.536	0.049	7.274
YER071C	5.746	5.136	22.210	0.302	1.420	4.141	0.408	0.645	0.336	0.128	1.216	1.176	29.616	1.984	2.254	3.810	1.324	0.045	2.758
YER072W	6.787	4.436	20.667	0.310	1.526	1.744	0.432	0.280	0.289	0.152	1.080	1.155	30.032	1.210	2.112	3.996	1.470	0.043	2.731
YER073W	5.893	5.275	22.044	0.333	1.764	4.058	0.437	0.661	0.371	0.138	1.151	1.202	28.244	1.741	2.234	3.994	1.353	0.051	2.994
YER074W	5.722	5.047	23.572	0.247	1.628	4.442	0.415	0.778	0.278	0.092	1.353	0.943	28.244	1.214	3.199	4.048	1.265	0.037	3.219
YER075C	6.203	5.375	24.062	0.271	1.581	4.018	0.396	0.706	0.268	0.126	1.168	1.247	30.393	1.852	2.627	4.147	1.327	0.037	3.003
YER076C	7.265	6.815	25.723	0.262	1.776	4.227	0.357	0.591	0.247	0.144	1.401	1.306	28.881	1.243	2.383	4.135	1.354	0.033	2.090
YER077C	6.358	4.636	22.893	0.259	1.935	4.765	0.400	0.714	0.246	0.138	1.169	1.282	32.705	2.770	2.173	4.092	1.497	0.036	2.356
YER078C	6.616	4.723	23.185	0.242	1.827	5.312	0.388	0.858	0.260	0.128	1.278	1.225	29.901	2.785	2.273	3.781	1.398	0.037	2.257
YER079W	6.023	5.148	24.179	0.280	1.443	3.525	0.382	0.644	0.286	0.132	1.093	1.253	30.162	1.442	2.361	3.885	1.317	0.040	2.758
YER080W	6.626	5.701	24.117	0.235	1.662	4.394	0.367	0.765	0.219	0.137	1.332	1.224	31.060	2.207	2.290	4.242	1.313	0.034	2.233
YER081W	5.884	5.036	26.052	0.286	1.188	4.861	0.381	0.755	0.283	0.119	1.111	1.220	28.377	4.637	1.032	3.884	1.393	0.039	2.880
YER083C	6.437	5.900	26.444	0.259	1.623	6.312	0.437	0.563	0.301	0.110	1.544	1.128	40.041	6.501	1.922	3.909	1.338	0.035	2.646
YER084W	6.127	6.213	23.580	0.184	1.717	4.370	0.360	0.894	0.189	0.116	1.301	1.245	33.804	3.598	2.607	4.385	1.325	0.026	2.399
YER085C	5.833	5.071	22.477	0.280	1.525	3.824	0.404	0.539	0.296	0.129	1.171	1.199	27.963	1.559	2.387	3.936	1.365	0.040	2.688
YER087C-B	6.100	5.187	21.849	0.291	1.612	4.521	0.411	0.746	0.314	0.131	1.233	1.245	29.974	2.461	2.217	4.028	1.345	0.042	2.884
YER088C	5.730	5.008	22.322	0.297	2.046	6.161	0.361	1.228	0.208	0.104	1.192	1.128	25.555	13.817	2.251	3.818	1.370	0.040	3.552
