ORF	hap a | abundance of alanine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of aspartic acid | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of glutamate | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of phenylalanine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of glycine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of histidine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of isoleucine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of lysine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of leucine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of methionine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of asparagine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of proline | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of glutamine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of arginine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of serine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of threonine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of valine | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of tryptophan | minimal [standard] | Mulleder M~Ralser M, 2016	hap a | abundance of tyrosine | minimal [standard] | Mulleder M~Ralser M, 2016
YOR374W	5.830	5.094	23.047	0.232	1.898	4.892	0.380	0.845	0.225	0.123	1.224	1.233	30.980	2.863	2.287	4.144	1.338	0.034	2.587
YOR375C	5.733	4.837	29.736	0.350	1.828	3.216	0.471	0.465	0.402	0.111	0.865	1.272	26.576	3.964	2.289	3.601	1.336	0.051	3.778
YOR376W	6.371	5.416	27.442	0.280	1.755	3.110	0.399	0.561	0.323	0.090	1.029	1.115	29.346	3.878	1.913	3.490	1.165	0.042	3.607
YOR376W-A	5.412	5.529	21.179	0.267	1.647	5.246	0.390	0.807	0.268	0.126	1.246	1.050	29.166	3.391	2.294	3.931	1.246	0.041	3.237
YOR377W	5.994	5.111	22.811	0.280	1.658	4.503	0.401	0.776	0.261	0.127	1.147	1.172	31.522	2.471	2.354	4.107	1.350	0.036	2.740
YOR378W	7.525	4.704	19.581	0.386	3.596	3.676	0.427	0.765	0.214	0.105	1.038	0.999	20.554	3.814	2.453	4.198	1.684	0.038	4.297
YOR379C	6.065	5.036	21.012	0.278	2.027	4.915	0.399	0.773	0.289	0.111	1.362	1.058	27.489	2.554	2.663	4.053	1.224	0.044	3.236
YOR380W	6.032	5.281	24.106	0.274	1.772	4.274	0.399	0.699	0.250	0.141	1.255	1.269	31.913	2.333	2.262	4.451	1.368	0.040	2.671
YOR381W	6.459	5.272	24.456	0.249	1.828	3.792	0.396	0.706	0.223	0.161	1.131	1.315	31.174	1.934	2.350	4.399	1.398	0.038	2.130
YOR382W	6.127	5.167	23.375	0.249	1.671	5.009	0.384	0.697	0.218	0.143	1.106	1.267	31.341	2.209	2.483	4.141	1.396	0.033	1.938
YOR383C	5.968	5.001	21.543	0.291	1.713	4.158	0.393	0.688	0.272	0.140	1.248	1.165	29.600	2.101	2.446	3.928	1.354	0.038	2.801
YOR384W	6.478	5.018	23.353	0.249	1.881	4.116	0.378	0.676	0.251	0.126	1.260	1.270	28.482	2.128	2.376	4.329	1.390	0.035	2.550
YOR385W	6.394	5.017	22.135	0.284	1.983	4.343	0.391	0.693	0.248	0.133	1.175	1.173	29.832	2.713	2.273	4.030	1.420	0.037	2.746
YOR386W	5.951	5.087	21.363	0.329	1.672	4.060	0.449	0.629	0.359	0.150	1.157	1.128	30.074	2.273	2.168	3.912	1.392	0.045	3.341
YPL001W	5.924	4.858	21.541	0.297	1.520	5.062	0.399	0.660	0.300	0.135	1.296	1.091	28.515	2.789	2.113	3.674	1.352	0.045	2.941
YPL002C	6.939	4.795	26.777	0.302	1.505	3.568	0.378	0.407	0.306	0.162	1.225	1.339	34.258	1.823	1.959	3.996	1.683	0.032	2.654
YPL003W	5.932	4.740	20.472	0.304	1.571	4.805	0.397	0.526	0.289	0.175	1.230	1.128	32.199	1.756	2.249	4.043	1.398	0.044	2.522
YPL004C	6.544	5.270	19.651	0.288	2.938	4.765	0.403	0.936	0.230	0.091	1.101	0.984	20.190	4.410	2.415	3.610	1.537	0.035	2.494
YPL005W	7.477	5.809	20.322	0.275	1.837	3.327	0.391	0.536	0.180	0.176	1.424	1.129	25.708	0.981	1.799	4.859	1.354	0.040	3.075
YPL006W	5.793	5.050	19.313	0.280	1.864	4.384	0.381	0.658	0.271	0.135	1.296	1.030	25.028	2.971	2.218	4.074	1.263	0.040	2.827
YPL008W	6.127	4.916	23.573	0.210	1.993	5.263	0.350	0.807	0.215	0.117	1.341	1.173	29.334	2.549	2.452	4.205	1.277	0.034	2.280
YPL009C	5.987	5.280	23.542	0.258	1.708	5.690	0.373	0.766	0.263	0.126	1.347	1.152	31.847	2.350	2.461	4.675	1.333	0.036	2.314
YPL013C	14.472	6.376	22.037	0.270	1.858	3.816	0.399	0.607	0.167	0.156	1.623	1.139	27.621	1.121	1.840	4.559	1.188	0.038	3.269
YPL014W	6.310	5.733	22.081	0.263	1.777	4.689	0.393	0.706	0.244	0.142	1.332	1.236	28.244	2.158	2.580	4.154	1.329	0.035	2.772
YPL015C	6.210	5.319	22.200	0.259	1.951	4.955	0.375	0.742	0.208	0.112	1.201	1.073	28.244	2.967	2.293	4.339	1.350	0.032	2.856
YPL017C	5.827	4.605	18.867	0.308	2.009	5.539	0.446	0.924	0.318	0.106	1.078	1.025	25.489	4.541	2.209	3.596	1.354	0.043	3.160
YPL018W	7.156	4.729	21.466	0.324	1.497	4.504	0.416	0.519	0.310	0.120	1.289	1.004	29.026	1.936	2.417	3.984	1.226	0.052	4.387
YPL019C	5.777	4.955	21.286	0.305	1.292	3.889	0.418	0.540	0.328	0.149	1.227	1.133	27.216	1.740	2.011	3.996	1.378	0.045	3.020
YPL021W	6.127	5.215	20.680	0.321	1.514	4.647	0.418	0.570	0.321	0.167	1.300	1.121	27.564	2.330	2.131	3.998	1.329	0.046	3.199
YPL022W	6.366	5.267	22.182	0.239	1.772	4.944	0.381	0.879	0.159	0.132	1.323	1.111	29.467	2.880	2.095	3.722	1.422	0.029	2.057
