ORF	hap alpha | mitophagy (Om45-GFP) | YPL [standard] | Kanki T~Klionsky DJ, 2009
YDL076C	1.000
YDL077C	-1.000
YDL078C	1.000
YDL079C	1.000
YDL080C	1.000
YDL081C	1.000
YDL082W	1.000
YDL083C	1.000
YDL085W	NaN
YDL086W	1.000
YDL088C	-1.000
YDL089W	1.000
YDL090C	1.000
YDL091C	NaN
YDL093W	NaN
YDL094C	1.000
YDL095W	1.000
YDL096C	1.000
YDL099W	NaN
YDL100C	1.000
YDL101C	1.000
YDL104C	-1.000
YDL106C	1.000
YDL107W	-1.000
YDL109C	1.000
YDL110C	1.000
YDL112W	1.000
YDL113C	-1.000
YDL114W	-1.000
YDL115C	1.000
YDL116W	-1.000
YDL117W	1.000
YDL118W	NaN
YDL119C	NaN
YDL121C	1.000
YDL122W	1.000
YDL123W	1.000
YDL124W	1.000
YDL125C	1.000
YDL127W	1.000
YDL128W	1.000
YDL129W	NaN
YDL130W	1.000
YDL130W-A	1.000
YDL131W	1.000
YDL133C-A	1.000
YDL133W	-1.000
YDL134C	1.000
YDL135C	1.000
YDL136W	1.000
YDL137W	1.000
YDL138W	1.000
YDL142C	1.000
YDL144C	1.000
YDL146W	1.000
YDL149W	-1.000
YDL151C	1.000
YDL154W	1.000
YDL155W	1.000
YDL156W	1.000
YDL157C	-1.000
YDL158C	1.000
YDL159W	1.000
YDL160C	-1.000
YDL161W	1.000
YDL162C	1.000
YDL167C	1.000
YDL168W	1.000
YDL169C	1.000
YDL170W	1.000
YDL171C	1.000
YDL172C	-1.000
YDL173W	1.000
YDL174C	1.000
YDL175C	1.000
YDL176W	1.000
YDL177C	1.000
YDL178W	1.000
YDL179W	1.000
YDL180W	1.000
YDL181W	1.000
YDL182W	1.000
YDL183C	1.000
YDL184C	1.000
YDL185W	-1.000
YDL186W	1.000
YDL187C	1.000
YDL188C	1.000
YDL189W	1.000
YDL190C	1.000
YDL191W	1.000
YDL192W	NaN
YDL194W	1.000
YDL197C	1.000
YDL198C	-1.000
YDL199C	1.000
YDL200C	1.000
YDL201W	1.000
YDL202W	-1.000
YDL203C	1.000
YDL204W	1.000
YDL206W	1.000
YDL210W	1.000
YDL211C	1.000
YDL213C	1.000
YDL214C	1.000
YDL215C	1.000
YDL216C	1.000
YDL218W	1.000
YDL219W	1.000
YDL222C	1.000
YDL223C	1.000
YDL224C	1.000
YDL225W	1.000
YDL226C	1.000
YDL227C	1.000
YDL229W	1.000
YDL230W	1.000
YDL231C	1.000
YDL232W	NaN
YDL233W	1.000
YDL234C	1.000
YDL236W	1.000
YDL237W	1.000
YDL238C	1.000
YDL239C	1.000
YDL240W	1.000
YDL241W	1.000
YDL242W	1.000
YDL243C	1.000
YDR001C	1.000
YDR003W	1.000
YDR004W	1.000
YDR005C	1.000
YDR006C	1.000
YDR007W	1.000
YDR008C	1.000
YDR009W	1.000
YDR010C	1.000
YDR011W	1.000
YDR014W	1.000
YDR015C	1.000
YDR017C	NaN
YDR018C	1.000
YDR019C	1.000
YDR020C	1.000
YDR022C	1.000
YDR024W	1.000
YDR025W	1.000
YDR026C	1.000
YDR027C	-1.000
YDR028C	1.000
YDR029W	1.000
YDR030C	1.000
YDR031W	1.000
YDR032C	1.000
YDR033W	1.000
YDR034C	1.000
YDR035W	1.000
YDR036C	1.000
YDR042C	1.000
YDR043C	1.000
YDR046C	1.000
YDR048C	1.000
YDR049W	1.000
YDR051C	1.000
YDR055W	1.000
YDR056C	1.000
YDR057W	1.000
YDR058C	1.000
YDR059C	1.000
YDR061W	1.000
YDR063W	1.000
YDR065W	NaN
YDR066C	1.000
YDR067C	1.000
YDR068W	1.000
YDR069C	NaN
YDR070C	1.000
YDR071C	1.000
YDR072C	1.000
YDR073W	1.000
YDR074W	-1.000
YDR075W	1.000
YDR076W	1.000
YDR078C	1.000
YDR079W	NaN
YDR080W	-1.000
YDR083W	NaN
YDR084C	1.000
YDR085C	1.000
YDR089W	1.000
YDR090C	1.000
YDR092W	1.000
YDR093W	1.000
YDR094W	1.000
YDR095C	1.000
YDR096W	1.000
YDR097C	1.000
YDR098C	1.000
YDR099W	1.000
YDR100W	1.000
YDR101C	1.000
YDR102C	1.000
YDR103W	1.000
YDR104C	1.000
YDR105C	1.000
YDR107C	1.000
YDR108W	-1.000
YDR109C	1.000
YDR110W	1.000
YDR111C	1.000
YDR112W	1.000
YDR116C	1.000
YDR117C	1.000
YDR119W	1.000
YDR120C	1.000
YDR121W	1.000
YDR122W	1.000
YDR123C	1.000
YDR124W	1.000
YDR125C	1.000
YDR126W	-1.000
YDR127W	1.000
YDR128W	1.000
YDR129C	1.000
YDR130C	1.000
YDR131C	1.000
YDR132C	1.000
YDR133C	1.000
YDR134C	1.000
YDR135C	1.000
YDR136C	-1.000
YDR137W	1.000
YDR139C	1.000
YDR140W	1.000
YDR142C	1.000
YDR143C	1.000
YDR144C	1.000
YDR146C	1.000
YDR147W	1.000
YDR148C	-1.000
YDR149C	1.000
YDR150W	1.000
YDR151C	1.000
YDR152W	1.000
YDR153C	1.000
YDR154C	1.000
YDR155C	1.000
YDR156W	1.000
YDR157W	1.000
YDR158W	1.000
YDR159W	-1.000
YDR161W	1.000
YDR162C	1.000
YDR163W	1.000
YDR165W	1.000
YDR169C	1.000
YDR171W	-1.000
YDR173C	-1.000
YDR174W	1.000
YDR176W	1.000
YDR178W	-1.000
YDR179C	1.000
YDR179W-A	1.000
YDR181C	1.000
YDR183W	1.000
YDR184C	1.000
YDR185C	1.000
