orf	hom | growth (pooled culture) | zinc dichloride [1 uM], time [5 gen] | LZM | North M~Eide D, 2012	hom | growth (pooled culture) | zinc dichloride [1 uM], time [15 gen] | LZM | North M~Eide D, 2012
YBR150C	-0.08317185148717253	-0.03377022503158531
YBR151W	-0.08317185148717253	-0.03377022503158531
YBR156C	-4.20017850010231	-0.03377022503158531
YBR157C	-0.08317185148717253	-0.03377022503158531
YBR158W	-0.08317185148717253	-0.03377022503158531
YBR159W	-0.08317185148717253	-0.03377022503158531
YBR161W	-0.08317185148717253	-0.03377022503158531
YBR162C	-0.08317185148717253	1.7572577811078105
YBR163W	2.1624681386665388	2.8318745847914477
YBR164C	-0.08317185148717253	-0.03377022503158531
YBR168W	5.15665479220482	3.130379252481347
YBR169C	-0.08317185148717253	-0.03377022503158531
YBR170C	-0.08317185148717253	-0.03377022503158531
YBR171W	-4.574451831794595	-1.2277888957911824
YBR172C	-0.08317185148717253	-0.03377022503158531
YBR173C	-0.08317185148717253	-0.03377022503158531
YBR174C	-0.08317185148717253	-0.03377022503158531
YBR175W	-0.08317185148717253	-0.03377022503158531
YBR176W	-0.08317185148717253	-0.03377022503158531
YBR177C	-0.08317185148717253	-0.03377022503158531
YBR178W	-0.08317185148717253	-0.03377022503158531
YBR179C	-0.08317185148717253	-0.03377022503158531
YBR180W	-0.08317185148717253	-0.03377022503158531
YBR181C	2.5367414703588236	2.294566182949629
YBR182C	-0.08317185148717253	-0.03377022503158531
YBR183W	-0.08317185148717253	-0.03377022503158531
YBR184W	-0.08317185148717253	-0.03377022503158531
YBR185C	-0.08317185148717253	-0.03377022503158531
YBR186W	-0.08317185148717253	-0.03377022503158531
YBR187W	-0.08317185148717253	-0.03377022503158531
YBR188C	-0.08317185148717253	-0.03377022503158531
YBR189W	-0.08317185148717253	-0.03377022503158531
YBR191W	-0.08317185148717253	-0.03377022503158531
YBR194W	-0.08317185148717253	-0.03377022503158531
YBR195C	-0.08317185148717253	-0.03377022503158531
YBR197C	-0.08317185148717253	-0.03377022503158531
YBR199W	-0.08317185148717253	-0.03377022503158531
YBR200W	-0.08317185148717253	-0.03377022503158531
YBR201W	-0.08317185148717253	-0.03377022503158531
YBR203W	-0.08317185148717253	-0.03377022503158531
YBR204C	-0.08317185148717253	-0.03377022503158531
YBR205W	-0.08317185148717253	-0.03377022503158531
YBR206W	-0.08317185148717253	-0.03377022503158531
YBR207W	-0.08317185148717253	-0.03377022503158531
YBR208C	-0.08317185148717253	-0.03377022503158531
YBR210W	-0.08317185148717253	-0.03377022503158531
YBR212W	-0.08317185148717253	-0.03377022503158531
YBR213W	-0.08317185148717253	-0.03377022503158531
YBR214W	-0.08317185148717253	-0.03377022503158531
YBR215W	-0.08317185148717253	-0.03377022503158531
YBR216C	-0.08317185148717253	-1.2277888957911824
YBR217W	-0.08317185148717253	-0.8695832945633033
YBR218C	-0.08317185148717253	-0.03377022503158531
YBR219C	-0.08317185148717253	-0.03377022503158531
YBR220C	-0.08317185148717253	-0.03377022503158531
YBR221C	-0.08317185148717253	1.9960615152597299
YBR222C	-0.08317185148717253	-0.03377022503158531
YBR223C	-0.08317185148717253	-0.03377022503158531
YBR224W	-0.08317185148717253	-0.03377022503158531
YBR225W	-0.08317185148717253	-0.03377022503158531
YBR226C	-0.08317185148717253	-0.03377022503158531
YBR227C	-0.08317185148717253	-3.974031838538256
YBR228W	-0.08317185148717253	-0.03377022503158531
YBR229C	-0.08317185148717253	-1.765097297633001
YBR230C	-0.08317185148717253	-0.03377022503158531
YBR231C	-0.08317185148717253	-1.2874898293291623
YBR232C	-0.08317185148717253	-0.03377022503158531
YBR233W	-0.08317185148717253	-0.03377022503158531
YBR235W	-0.08317185148717253	-0.03377022503158531
YBR238C	-0.08317185148717253	-0.03377022503158531
YBR239C	-0.08317185148717253	-0.03377022503158531
YBR240C	-0.08317185148717253	-0.03377022503158531
YBR241C	-0.08317185148717253	-0.03377022503158531
YBR242W	-0.08317185148717253	-0.03377022503158531
YBR244W	-0.08317185148717253	-0.03377022503158531
YBR245C	-0.08317185148717253	-0.03377022503158531
YBR246W	-0.08317185148717253	-0.03377022503158531
YBR248C	-0.08317185148717253	-0.03377022503158531
YBR249C	-0.08317185148717253	-2.8397141013166385
YBR250W	-0.08317185148717253	-0.03377022503158531
YBR251W	-0.08317185148717253	-0.03377022503158531
YBR255W	-0.08317185148717253	-0.9889851616392631
YBR258C	-0.08317185148717253	-0.03377022503158531
YBR259W	-0.08317185148717253	-0.03377022503158531
YBR260C	-0.08317185148717253	-1.3471907628671422
YBR261C	-0.08317185148717253	-0.03377022503158531
YBR262C	-0.08317185148717253	-0.03377022503158531
YBR263W	-0.08317185148717253	-1.1083870287152227
YBR264C	-0.08317185148717253	-0.03377022503158531
YBR266C	-0.08317185148717253	2.234865249411649
YBR267W	2.1624681386665388	1.3990521798799311
YBR268W	3.2852881337433946	4.204996056164984
YBR269C	-0.08317185148717253	-0.03377022503158531
YBR270C	-0.08317185148717253	-0.03377022503158531
YBR271W	-0.08317185148717253	-0.03377022503158531
YBR272C	-0.08317185148717253	1.2796503128039716
YBR273C	-0.08317185148717253	-0.03377022503158531
YBR274W	-0.08317185148717253	-0.03377022503158531
YBR275C	-0.08317185148717253	-0.03377022503158531
YBR276C	-0.08317185148717253	-0.03377022503158531
YBR277C	-0.08317185148717253	-0.9889851616392631
YBR278W	-0.08317185148717253	-0.9292842281012832
YBR279W	-0.08317185148717253	-0.03377022503158531
YBR280C	-0.08317185148717253	-0.03377022503158531
YBR281C	-0.08317185148717253	-0.03377022503158531
YBR282W	-0.08317185148717253	-0.03377022503158531
YBR283C	-0.08317185148717253	-0.03377022503158531
YBR284W	-0.08317185148717253	-0.03377022503158531
YBR285W	-0.08317185148717253	-0.03377022503158531
YBR286W	-0.08317185148717253	-0.03377022503158531
YBR287W	-0.08317185148717253	-0.03377022503158531
YBR288C	-0.08317185148717253	-4.272536506228155
YBR290W	-0.08317185148717253	1.0408465786520522
YBR291C	-0.08317185148717253	-3.138218769006538
YBR292C	-0.08317185148717253	-0.03377022503158531
YBR293W	-0.08317185148717253	-0.03377022503158531
YBR294W	-0.08317185148717253	-0.03377022503158531
YBR295W	-0.08317185148717253	-0.03377022503158531
YBR296C	-0.08317185148717253	-0.03377022503158531
YBR297W	-0.08317185148717253	-0.03377022503158531
YBR298C	-3.077358505025454	-3.018816901930578
YBR299W	-0.08317185148717253	-0.03377022503158531
YBR300C	-0.08317185148717253	-0.03377022503158531
YBR301W	-0.08317185148717253	-0.03377022503158531
YCL001W	-0.08317185148717253	-0.03377022503158531
YCL002C	-0.08317185148717253	-0.03377022503158531
YCL005W	-0.08317185148717253	-2.7800131677786584
YCL007C	-0.08317185148717253	-0.03377022503158531
YCL008C	-0.08317185148717253	-0.03377022503158531
YCL009C	-0.08317185148717253	-0.03377022503158531
YCL010C	-0.08317185148717253	-0.03377022503158531
YCL011C	-0.08317185148717253	-0.03377022503158531
YCL014W	-0.08317185148717253	-0.03377022503158531
YCL016C	-0.08317185148717253	-0.03377022503158531
