ORF	het | growth (pooled culture) | chromium trioxide [0.1 mM] | None | Holland S~Avery SV, 2007
YBR012C	0.003
YBR013C	-0.047
YBR015C	0.009
YBR016W	-0.028
YBR017C	-0.050
YBR018C	-0.014
YBR019C	-0.012
YBR020W	0.005
YBR021W	-0.014
YBR022W	-0.010
YBR024W	-0.002
YBR025C	-0.016
YBR026C	-0.033
YBR027C	0.007
YBR028C	-0.007
YBR029C	-0.008
YBR030W	0.003
YBR031W	-0.005
YBR032W	0.008
YBR033W	-0.007
YBR034C	0.006
YBR035C	-0.032
YBR036C	-0.003
YBR037C	0.009
YBR039W	-0.025
YBR040W	0.011
YBR042C	-0.012
YBR043C	0.010
YBR044C	-0.008
YBR045C	-0.007
YBR046C	0.022
YBR047W	-0.036
YBR048W	-0.007
YBR050C	-0.011
YBR051W	0.006
YBR052C	0.160
YBR053C	0.028
YBR054W	-0.034
YBR055C	-0.012
YBR056W	-0.007
YBR058C	-0.034
YBR059C	-0.008
YBR060C	-0.032
YBR062C	-0.011
YBR063C	-0.006
YBR064W	0.001
YBR065C	-0.018
YBR066C	-0.010
YBR067C	-0.001
YBR068C	0.002
YBR069C	-0.011
YBR070C	0.021
YBR071W	-0.003
YBR073W	0.001
YBR074W	0.021
YBR076W	-0.000
YBR077C	0.049
YBR078W	-0.046
YBR079C	-0.013
YBR080C	-0.024
YBR081C	-0.012
YBR082C	-0.008
YBR083W	-0.005
YBR084C-A	0.002
YBR084W	-0.019
YBR086C	-0.021
YBR087W	-0.009
YBR088C	-0.006
YBR089W	-0.003
YBR090C	0.010
YBR091C	-0.024
YBR092C	-0.016
YBR093C	-0.016
YBR094W	-0.001
YBR095C	-0.037
YBR096W	-0.021
YBR098W	-0.014
YBR099C	-0.013
YBR102C	-0.011
YBR103W	0.031
YBR104W	-0.004
YBR106W	-0.011
YBR107C	-0.018
YBR108W	-0.005
YBR109C	0.006
YBR110W	-0.020
YBR111C	-0.015
YBR112C	-0.048
YBR113W	-0.035
YBR114W	0.001
YBR116C	-0.018
YBR117C	-0.014
YBR119W	-0.043
YBR120C	-0.020
YBR121C	0.095
YBR124W	0.005
YBR125C	0.013
YBR127C	-0.019
YBR128C	-0.005
YBR129C	-0.003
YBR130C	0.022
YBR131W	-0.035
YBR132C	0.006
YBR133C	-0.042
YBR134W	-0.014
YBR135W	-0.035
YBR136W	-0.009
YBR137W	-0.001
YBR138C	-0.009
YBR139W	-0.008
YBR140C	0.000
YBR141C	0.004
YBR142W	0.007
YBR143C	-0.013
YBR144C	-0.009
YBR145W	-0.009
YBR146W	-0.010
YBR147W	-0.016
YBR148W	-0.008
YBR150C	-0.019
YBR151W	-0.001
YBR153W	-0.015
YBR154C	0.088
YBR155W	-0.009
YBR156C	0.003
YBR157C	0.008
YBR158W	0.003
YBR159W	-0.021
YBR160W	-0.005
YBR161W	-0.004
YBR162C	-0.118
YBR162W-A	-0.014
YBR163W	-0.018
YBR164C	0.008
YBR165W	-0.003
YBR166C	0.001
YBR167C	-0.007
YBR168W	0.015
YBR169C	-0.015
YBR170C	-0.048
YBR171W	0.004
YBR172C	-0.028
YBR173C	-0.015
YBR174C	-0.002
YBR175W	0.012
YBR176W	-0.039
YBR177C	-0.021
YBR178W	0.015
YBR179C	-0.014
YBR180W	-0.000
YBR181C	-0.005
YBR182C	0.063
YBR183W	-0.009
YBR184W	0.016
YBR186W	-0.007
YBR187W	0.012
YBR188C	-0.010
YBR189W	0.019
YBR190W	0.006
YBR191W	-0.019
YBR192W	0.118
YBR194W	0.010
YBR195C	0.016
YBR196C	0.018
YBR197C	0.005
YBR198C	-0.030
YBR199W	-0.008
YBR200W	-0.002
YBR201W	0.045
YBR202W	-0.006
YBR203W	0.007
YBR204C	-0.012
YBR205W	-0.010
YBR206W	-0.009
YBR207W	-0.006
YBR208C	-0.013
YBR209W	-0.019
YBR210W	-0.001
YBR211C	0.001
YBR212W	-0.004
YBR214W	0.010
YBR215W	0.000
YBR216C	-0.007
YBR217W	-0.020
YBR218C	0.002
YBR219C	-0.008
YBR220C	-0.010
YBR222C	-0.026
YBR223C	-0.025
YBR224W	-0.018
YBR225W	0.005
YBR226C	-0.004
YBR227C	0.065
YBR228W	0.006
YBR229C	-0.017
YBR230C	0.002
YBR231C	-0.001
YBR232C	-0.011
YBR233W	-0.003
YBR234C	-0.027
YBR235W	-0.013
YBR236C	0.001
YBR237W	-0.009
YBR239C	-0.002
YBR240C	-0.011
YBR241C	0.001
YBR242W	-0.011
YBR243C	-0.006
YBR244W	-0.019
YBR245C	0.007
YBR246W	-0.060
YBR247C	0.003
YBR248C	0.001
YBR249C	0.008
YBR250W	-0.002
YBR251W	0.001
YBR252W	-0.030
YBR253W	-0.014
YBR254C	0.000
YBR255W	-0.001
YBR256C	-0.007
YBR257W	0.005
YBR258C	-0.009
YBR259W	-0.011
YBR260C	-0.007
YBR261C	-0.000
YBR262C	-0.007
YBR263W	0.026
YBR264C	-0.061
YBR265W	0.018
YBR266C	0.003
YBR267W	-0.010
YBR268W	-0.004
YBR269C	-0.009
YBR270C	-0.009
YBR273C	0.003
YBR275C	-0.020
YBR276C	-0.014
YBR278W	0.012
YBR279W	-0.034
YBR280C	-0.004
YBR281C	-0.001
YBR282W	-0.017
YBR283C	-0.006
YBR284W	-0.009
YBR285W	0.024
YBR286W	0.001
YBR287W	-0.023
YBR288C	0.003
YBR289W	0.037
YBR290W	0.041
YBR291C	-0.021
YBR292C	-0.067
YBR293W	-0.024
YBR294W	-0.009
YBR295W	-0.042
YBR297W	-0.016
YBR298C	0.008
YBR301W	-0.011
YCL001W	-0.114
YCL001W-A	-0.036
YCL002C	-0.004
YCL004W	-0.011
YCL005W	0.020
YCL006C	0.010
YCL007C	-0.005
YCL008C	-0.015
YCL009C	-0.019
YCL010C	-0.069
YCL011C	0.004
YCL014W	-0.005
YCL013W	0.016
YCL016C	-0.018
YCL017C	-0.014
YCL022C	-0.015
YCL023C	-0.004
YCL024W	0.011
YCL025C	-0.010
YCL027W	0.008
YCL028W	-0.035
YCL029C	-0.044
YCL030C	0.012
YCL033C	0.022
YCL035C	-0.016
YCL036W	-0.028
YCL037C	-0.080
YCL038C	-0.011
YCL039W	0.001
YCL040W	-0.017
YCL041C	0.003
YCL042W	0.016
YCL043C	0.013
YCL044C	0.021
YCL045C	-0.000
YCL046W	-0.006
YCL047C	-0.022
YCL048W	-0.000
YCL049C	0.008
YCL051W	0.001
YCL053C	-0.014
YCL054W	0.014
YCL055W	0.006
YCL056C	0.009
YCL057W	-0.003
YCL058C	-0.021
YCL059C	-0.016
YCL061C	-0.013
YCL063W	0.014
YCL064C	0.029
YCL069W	0.005
YCL075W	0.001
YCL076W	-0.014
YCR001W	0.004
YCR003W	-0.013
YCR004C	0.004
YCR005C	0.023
YCR006C	0.078
YCR007C	-0.013
YCR008W	0.002
YCR009C	0.015
YCR010C	0.027
YCR011C	-0.014
YCR012W	-0.044
YCR013C	0.033
YCR014C	0.030
YCR016W	0.033
YCR017C	0.002
YCR019W	0.000
YCR020C	0.008
YCR020C-A	-0.011
YCR021C	0.006
YCR022C	-0.030
YCR023C	0.007
YCR024C	-0.024
YCR025C	0.015
YCR026C	-0.018
YCR028C	-0.011
YCR028C-A	-0.013
YCR030C	-0.019
YCR031C	-0.034
YCR032W	0.004
YCR033W	0.025
YCR034W	-0.017
YCR035C	-0.034
YCR036W	-0.005
YCR037C	-0.011
YCR044C	-0.016
YCR045C	-0.032
YCR046C	-0.013
YCR047C	-0.011
YCR048W	-0.067
YCR049C	-0.075
YCR050C	-0.025
YCR051W	-0.031
YCR053W	-0.001
YCR054C	-0.010
YCR057C	0.034
YCR059C	0.063
YCR060W	-0.008
YCR061W	-0.005
YCR063W	-0.062
YCR064C	-0.016
YCR065W	-0.013
YCR066W	0.011
YCR067C	-0.010
YCR068W	-0.050
YCR069W	-0.025
YCR071C	-0.026
YCR072C	-0.030
YCR073C	-0.028
YCR075C	-0.013
YCR076C	-0.043
YCR077C	-0.085
YCR079W	-0.010
YCR083W	-0.012
YCR084C	-0.097
YCR085W	-0.038
YCR086W	-0.009
YCR087C-A	0.033
YCR087W	-0.034
YCR088W	-0.019
YCR089W	-0.007
YCR090C	0.020
YCR091W	0.018
YCR092C	-0.013
YCR093W	0.025
YCR094W	-0.015
YCR095C	0.032
YCR098C	-0.005
YCR099C	0.009
YCR100C	0.002
YCR101C	0.004
YCR102C	-0.007
YCR102W-A	0.001
YCR105W	0.001
YCR106W	-0.012
YCR107W	-0.009
YDL001W	-0.004
YDL002C	0.010
YDL004W	0.000
YDL005C	0.001
YDL006W	0.004
YDL007W	-0.049
YDL008W	-0.011
YDL010W	-0.006
YDL011C	0.006
YDL012C	0.005
YDL013W	-0.017
YDL014W	0.009
YDL015C	0.025
YDL016C	-0.002
YDL017W	-0.033
YDL018C	0.012
YDL019C	0.024
YDL020C	0.012
YDL021W	0.001
YDL022W	-0.009
YDL023C	0.018
YDL024C	0.006
YDL025C	-0.006
YDL028C	0.006
YDL029W	-0.001
YDL030W	0.012
YDL031W	-0.051
YDL032W	0.005
YDL033C	0.012
YDL034W	-0.003
YDL035C	-0.004
YDL037C	-0.064
YDL039C	-0.056
YDL040C	-0.024
YDL043C	0.005
YDL044C	-0.014
YDL045C	-0.007
YDL046W	-0.000
YDL047W	-0.012
YDL048C	0.004
YDL049C	-0.045
YDL050C	0.011
YDL051W	0.002
YDL053C	0.015
YDL054C	-0.046
YDL055C	0.007
YDL056W	-0.015
YDL058W	0.000
YDL059C	-0.005
YDL060W	0.003
YDL061C	0.016
YDL062W	0.009
YDL063C	0.031
YDL064W	0.008
YDL065C	-0.066
YDL066W	-0.002
YDL067C	0.001
YDL068W	0.002
YDL070W	0.009
YDL071C	0.005
YDL072C	-0.005
YDL073W	0.029
YDL074C	0.032
YDL076C	-0.005
YDL078C	0.006
YDL079C	0.013
YDL081C	-0.005
YDL082W	0.009
YDL084W	0.022
YDL085W	-0.014
YDL086W	0.003
YDL087C	-0.004
YDL088C	-0.007
YDL089W	-0.017
YDL090C	0.007
YDL091C	-0.009
YDL092W	0.049
YDL093W	0.007
YDL095W	0.008
YDL096C	-0.013
YDL097C	-0.115
YDL098C	0.015
YDL099W	0.002
YDL100C	-0.011
YDL101C	-0.005
YDL102W	-0.001
YDL103C	-0.012
YDL104C	-0.000
YDL106C	0.016
YDL107W	-0.199
YDL108W	-0.014
YDL109C	0.019
YDL110C	-0.014
YDL111C	-0.064
YDL112W	-0.021
YDL113C	0.014
YDL114W	0.007
YDL115C	-0.000
YDL116W	0.014
YDL117W	-0.015
YDL118W	0.010
YDL119C	0.001
YDL120W	0.055
YDL121C	-0.006
YDL122W	0.009
YDL123W	0.009
YDL124W	-0.003
YDL125C	0.003
YDL126C	-0.004
YDL127W	-0.016
YDL128W	-0.001
YDL129W	-0.006
YDL130W	0.023
YDL130W-A	0.002
YDL131W	-0.000
YDL132W	-0.011
YDL133C-A	-0.012
YDL133W	0.009
YDL134C	-0.010
YDL135C	-0.034
YDL136W	0.003
YDL137W	-0.002
YDL138W	-0.005
YDL139C	-0.008
YDL140C	-0.004
YDL141W	0.001
YDL142C	-0.018
YDL143W	0.002
YDL144C	0.014
YDL145C	0.024
YDL146W	-0.013
YDL147W	-0.060
YDL148C	-0.006
YDL149W	0.005
YDL150W	0.005
YDL151C	0.019
YDL152W	0.005
YDL153C	-0.001
YDL154W	0.018
YDL155W	-0.002
YDL156W	-0.000
YDL157C	0.005
YDL158C	-0.006
YDL159W	-0.006
YDL160C	0.017
YDL161W	-0.152
YDL162C	-0.017
YDL164C	-0.010
YDL165W	0.001
YDL166C	-0.003
YDL167C	0.027
YDL169C	0.003
YDL170W	-0.001
YDL171C	-0.025
YDL172C	-0.002
YDL173W	-0.017
YDL174C	-0.013
YDL175C	0.012
YDL176W	-0.013
YDL177C	0.003
YDL178W	-0.004
YDL179W	-0.026
YDL180W	0.004
YDL181W	0.033
YDL182W	-0.001
YDL183C	0.036
YDL184C	0.012
YDL185W	-0.007
YDL186W	-0.014
YDL187C	-0.066
YDL188C	0.008
YDL189W	-0.005
YDL190C	-0.023
YDL191W	-0.001
YDL194W	-0.071
YDL195W	0.011
YDL197C	-0.025
YDL198C	0.006
YDL199C	0.007
YDL200C	-0.009
YDL201W	-0.007
YDL202W	-0.016
YDL203C	-0.012
YDL204W	0.003
YDL205C	0.048
YDL206W	0.017
YDL208W	-0.087
YDL209C	0.001
YDL210W	-0.004
YDL211C	-0.015
YDL212W	0.013
YDL213C	0.018
YDL214C	-0.003
YDL215C	0.003
YDL217C	-0.003
YDL218W	-0.020
YDL219W	-0.040
YDL220C	-0.025
YDL221W	-0.044
YDL222C	-0.001
YDL224C	0.008
YDL225W	0.001
YDL226C	0.010
YDL227C	0.011
YDL229W	-0.006
YDL230W	0.011
YDL231C	-0.005
YDL232W	-0.016
YDL233W	-0.026
YDL234C	-0.023
YDL235C	0.015
YDL236W	0.002
YDL237W	-0.002
YDL238C	-0.009
YDL239C	0.034
YDL240W	0.006
YDL241W	-0.026
YDL242W	0.006
YDL243C	0.007
YDR001C	0.034
YDR003W	-0.020
YDR004W	-0.009
YDR005C	0.005
YDR006C	-0.025
YDR007W	0.002
YDR008C	-0.002
YDR009W	0.019
YDR010C	-0.009
YDR011W	0.005
YDR013W	-0.022
YDR014W	0.005
YDR015C	-0.003
YDR016C	-0.014
YDR017C	-0.042
YDR018C	-0.015
YDR019C	-0.005
YDR020C	-0.017
YDR021W	-0.016
YDR022C	-0.007
YDR023W	-0.021
YDR024W	0.014
YDR025W	-0.014
YDR026C	-0.021
YDR028C	-0.005
YDR031W	-0.002
YDR032C	-0.024
YDR034C	0.001
YDR035W	-0.013
YDR036C	-0.004
YDR037W	-0.010
YDR041W	-0.016
YDR042C	-0.014
YDR043C	-0.030
YDR044W	0.011
YDR045C	-0.067
YDR047W	0.002
YDR048C	0.003
YDR051C	-0.010
YDR053W	-0.005
YDR054C	0.063
YDR055W	-0.027
YDR056C	-0.016
YDR058C	-0.001
YDR059C	-0.006
YDR060W	0.049
YDR061W	0.015
YDR062W	-0.020
YDR063W	0.006
YDR064W	0.021
YDR065W	0.041
YDR067C	0.046
YDR068W	0.005
YDR069C	0.015
YDR070C	-0.000
YDR072C	-0.008
YDR073W	0.027
YDR074W	0.011
YDR075W	-0.002
YDR076W	0.007
YDR078C	0.024
YDR079W	-0.011
YDR080W	0.002
YDR081C	0.028
YDR083W	-0.015
YDR084C	-0.002
YDR085C	-0.017
YDR087C	-0.005
YDR088C	-0.015
YDR089W	-0.013
YDR091C	0.007
YDR093W	0.006
YDR094W	-0.014
YDR095C	-0.014
YDR096W	0.001
YDR097C	0.002
YDR098C	-0.013
YDR099W	0.006
YDR100W	-0.027
YDR101C	0.001
YDR102C	-0.014
YDR103W	0.000
YDR104C	-0.034
YDR105C	-0.032
YDR107C	-0.012
YDR108W	0.001
YDR109C	-0.010
YDR110W	-0.000
YDR111C	0.026
YDR112W	-0.007
YDR113C	-0.007
YDR114C	-0.001
YDR115W	0.013
YDR116C	-0.015
YDR117C	-0.025
YDR118W	0.017
YDR119W	-0.011
YDR120C	0.001
YDR121W	0.010
YDR122W	-0.017
YDR123C	-0.014
YDR124W	-0.053
YDR125C	-0.015
YDR126W	0.019
YDR127W	0.008
YDR128W	-0.012
YDR129C	0.020
YDR130C	0.025
YDR131C	0.012
YDR132C	0.004
YDR133C	-0.020
YDR134C	-0.014
YDR135C	-0.003
YDR136C	0.004
YDR137W	0.001
YDR138W	0.022
YDR139C	0.020
YDR140W	0.015
YDR141C	-0.042
YDR142C	-0.001
YDR143C	0.013
YDR144C	0.007
YDR146C	-0.010
YDR148C	0.023
YDR149C	-0.006
YDR150W	0.005
YDR151C	-0.031
YDR152W	-0.059
YDR153C	0.016
YDR154C	-0.006
YDR156W	0.013
YDR159W	-0.023
YDR160W	-0.004
YDR161W	0.008
YDR162C	0.018
YDR164C	0.000
YDR167W	0.002
YDR168W	0.009
YDR169C	-0.002
YDR170C	0.002
YDR171W	-0.001
YDR172W	-0.008
YDR173C	-0.018
YDR174W	-0.001
YDR175C	-0.049
YDR176W	-0.111
YDR177W	-0.012
YDR178W	0.005
YDR179C	0.003
YDR179W-A	-0.099
YDR180W	-0.011
YDR181C	0.002
YDR182W	-0.016
YDR183W	0.133
YDR185C	-0.071
YDR186C	0.005
YDR187C	0.010
YDR188W	-0.015
YDR189W	-0.037
YDR190C	-0.014
YDR191W	-0.011
YDR192C	-0.007
YDR193W	0.023
YDR194C	-0.018
YDR195W	-0.000
YDR196C	-0.011
YDR197W	-0.002
YDR198C	-0.025
YDR199W	0.004
YDR200C	-0.006
YDR201W	-0.021
YDR202C	0.012
YDR203W	-0.066
YDR205W	0.007
YDR206W	-0.001
YDR207C	-0.001
YDR208W	-0.027
YDR209C	-0.009
YDR210W	-0.007
YDR211W	-0.000
YDR212W	-0.002
YDR213W	0.001
YDR214W	0.006
YDR215C	0.009
YDR216W	0.003
YDR218C	-0.019
YDR219C	-0.002
YDR220C	-0.004
YDR221W	0.070
YDR222W	-0.005
YDR223W	0.009
YDR224C	-0.013
YDR225W	-0.020
YDR226W	-0.007
YDR227W	-0.003
YDR228C	-0.017
YDR229W	-0.013
YDR230W	-0.010
YDR231C	0.005
YDR232W	-0.018
YDR233C	0.005
YDR234W	-0.005
YDR235W	-0.018
YDR236C	-0.021
YDR237W	-0.075
YDR238C	-0.021
YDR239C	-0.011
YDR240C	-0.018
YDR241W	0.009
YDR242W	-0.016
YDR243C	0.001
YDR244W	0.006
YDR245W	0.023
YDR246W	0.006
YDR247W	-0.012
YDR248C	0.011
YDR249C	0.003
YDR250C	-0.009
YDR251W	-0.011
YDR252W	0.002
YDR253C	0.001
YDR254W	0.035
YDR255C	-0.034
YDR256C	-0.005
YDR257C	0.050
YDR258C	-0.027
YDR259C	0.004
YDR260C	-0.054
YDR261C	-0.005
YDR262W	0.007
YDR263C	0.005
YDR264C	-0.053
YDR265W	-0.009
YDR266C	-0.005
YDR267C	-0.029
YDR268W	-0.016
YDR269C	0.016
YDR270W	0.011
YDR271C	-0.044
YDR272W	-0.018
YDR273W	-0.008
YDR274C	-0.019
YDR275W	-0.001
YDR276C	-0.009
YDR277C	0.008
YDR278C	-0.004
YDR279W	-0.008
YDR280W	-0.011
YDR281C	0.004
YDR282C	0.015
YDR283C	0.025
YDR284C	-0.013
YDR285W	0.002
YDR286C	-0.005
YDR287W	-0.013
YDR288W	-0.009
YDR289C	-0.009
YDR290W	0.108
YDR291W	-0.008
YDR292C	-0.003
YDR293C	0.000
YDR294C	-0.004
YDR295C	-0.037
YDR296W	-0.005
YDR297W	-0.006
YDR298C	0.001
YDR299W	0.003
YDR301W	-0.013
YDR302W	0.016
YDR303C	0.027
YDR304C	-0.002
YDR305C	-0.002
YDR306C	0.004
YDR307W	-0.004
YDR308C	-0.024
YDR309C	-0.005
YDR310C	0.008
YDR311W	0.001
YDR312W	-0.003
YDR313C	0.072
YDR314C	-0.011
YDR316W	0.043
YDR317W	0.006
YDR318W	-0.023
YDR319C	-0.016
YDR320C	0.000
YDR321W	-0.002
YDR322W	-0.007
YDR323C	0.003
YDR324C	-0.003
YDR325W	-0.026
YDR326C	-0.013
YDR327W	-0.001
YDR328C	0.019
YDR329C	0.007
YDR330W	-0.000
YDR331W	0.017
YDR332W	0.000
YDR333C	-0.050
YDR334W	0.012
YDR335W	0.008
YDR337W	-0.023
YDR338C	-0.026
YDR339C	-0.008
YDR340W	-0.007
YDR341C	0.012
YDR344C	-0.003
YDR345C	-0.019
YDR346C	-0.022
YDR347W	-0.013
YDR348C	-0.008
YDR349C	-0.001
YDR350C	0.044
YDR351W	-0.002
YDR352W	-0.001
YDR353W	0.026
YDR354W	-0.027
YDR355C	-0.032
YDR356W	-0.021
YDR357C	-0.026
YDR358W	-0.014
YDR359C	-0.011
YDR360W	0.011
YDR361C	-0.006
YDR362C	0.002
YDR363W	-0.001
YDR363W-A	-0.029
YDR365C	-0.016
YDR367W	-0.026
YDR368W	-0.012
YDR369C	0.007
YDR370C	-0.010
YDR371W	0.000
YDR372C	-0.004
YDR373W	-0.009
YDR374C	-0.018
YDR375C	-0.019
YDR376W	-0.018
YDR377W	-0.004
YDR378C	-0.010
YDR379W	-0.010
YDR380W	-0.014
YDR381W	0.002
YDR382W	0.005
YDR383C	-0.014
YDR385W	0.009
YDR386W	-0.000
YDR387C	-0.004
YDR388W	0.004
YDR389W	0.007
YDR390C	-0.011
YDR391C	0.006
YDR392W	-0.018
YDR393W	-0.010
YDR394W	-0.018
YDR395W	-0.012
YDR396W	-0.009
YDR397C	-0.002
YDR398W	-0.047
YDR399W	-0.012
YDR400W	-0.009
YDR402C	0.006
YDR403W	-0.006
YDR404C	0.018
YDR405W	-0.025
YDR406W	-0.007
YDR407C	-0.011
YDR408C	-0.043
YDR409W	0.015
YDR410C	-0.039
YDR411C	0.000
YDR412W	-0.071
YDR413C	0.010
YDR414C	-0.003
YDR415C	-0.062
YDR416W	-0.006
YDR417C	-0.016
YDR419W	-0.003
YDR420W	-0.012
YDR421W	0.000
YDR422C	0.001
YDR423C	-0.011
YDR424C	0.012
YDR425W	-0.021
YDR426C	-0.008
YDR427W	-0.036
YDR428C	0.008
YDR429C	0.035
YDR430C	-0.010
YDR431W	-0.011
YDR432W	0.001
YDR434W	-0.004
YDR435C	0.036
YDR436W	0.009
YDR437W	-0.042
YDR438W	0.027
YDR439W	-0.004
YDR440W	-0.011
YDR442W	0.009
YDR443C	-0.008
YDR444W	-0.002
YDR445C	0.041
YDR446W	0.024
YDR449C	-0.045
YDR451C	-0.007
YDR452W	-0.001
YDR453C	0.005
YDR455C	0.032
YDR456W	-0.007
YDR457W	0.000
YDR458C	-0.033
YDR459C	-0.016
YDR460W	-0.018
YDR461W	0.009
YDR462W	-0.082
YDR463W	-0.022
YDR464W	-0.052
YDR465C	-0.009
YDR466W	-0.011
YDR467C	-0.035
YDR468C	-0.054
YDR470C	-0.071
YDR471W	-0.006
YDR473C	0.011
YDR475C	-0.044
YDR476C	-0.018
YDR477W	-0.004
YDR478W	-0.002
YDR479C	-0.009
YDR480W	-0.000
YDR482C	-0.005
YDR484W	0.001
YDR486C	0.014
YDR487C	-0.023
YDR488C	0.124
YDR489W	0.012
YDR490C	0.008
YDR491C	0.001
YDR493W	0.018
YDR494W	0.027
YDR495C	-0.007
YDR496C	0.023
YDR497C	0.012
YDR498C	0.013
YDR499W	0.005
YDR500C	-0.021
YDR502C	-0.006
YDR503C	0.031
YDR504C	-0.007
YDR505C	-0.067
YDR508C	0.002
YDR509W	-0.043
YDR510W	-0.003
YDR511W	-0.004
YDR512C	0.002
YDR513W	-0.029
YDR514C	0.007
YDR515W	0.008
YDR516C	0.001
YDR517W	-0.010
YDR519W	-0.002
YDR520C	-0.025
YDR521W	0.004
YDR522C	-0.008
YDR523C	-0.014
YDR524C	0.014
YDR525W	0.003
YDR525W-A	0.144
YDR526C	-0.007
YDR527W	0.000
YDR528W	0.022
YDR529C	0.005
YDR530C	0.029
YDR532C	-0.027
YDR533C	0.004
YDR534C	-0.002
YDR535C	-0.009
YDR536W	-0.005
YDR537C	-0.001
YDR538W	0.003
YDR539W	0.011
YDR540C	-0.034
YDR541C	0.006
YEL001C	-0.010
YEL002C	0.046
YEL003W	-0.010
YEL004W	-0.018
YEL006W	0.036
YEL007W	-0.022
YEL008W	0.002
YEL009C	-0.037
YEL010W	-0.007
YEL011W	-0.009
YEL012W	-0.016
YEL013W	-0.021
YEL014C	-0.007
YEL015W	0.005
YEL016C	-0.003
YEL017C-A	0.001
YEL018W	0.011
YEL019C	-0.006
YEL020C	-0.009
YEL023C	-0.015
YEL024W	0.004
YEL025C	-0.004
YEL026W	0.003
YEL027W	0.031
YEL028W	0.003
YEL029C	-0.012
YEL030W	0.004
YEL031W	-0.002
YEL032W	0.013
