orf	het | growth (pooled culture) | chromium trioxide [0.1 mM] | None | Holland S~Avery SV, 2007
YDR005C	0.004501863468095566
YDR006C	-0.02499805222862695
YDR007W	0.0016236216601784549
YDR008C	-0.001519948308758285
YDR009W	0.019341189790939368
YDR010C	-0.008735546899567714
YDR011W	0.004935755028868301
YDR013W	-0.02242023952427994
YDR014W	0.005149816518780843
YDR015C	-0.0028908147596944933
YDR016C	-0.013627012018840172
YDR017C	-0.04243538656596492
YDR018C	-0.015162954732326575
YDR019C	-0.0053204790687991005
YDR020C	-0.016943325338293565
YDR021W	-0.015920274602051417
YDR022C	-0.006554172515363228
YDR023W	-0.02136197718215662
YDR024W	0.014376953876535063
YDR025W	-0.01403181072895965
YDR026C	-0.020793906279934663
YDR027C	
YDR028C	-0.004883390660725238
YDR029W	
YDR030C	
YDR031W	-0.0017513540320559491
YDR032C	-0.02389479662737361
YDR033W	
YDR034C	0.0014089197721483125
YDR035W	-0.012906863202926841
YDR036C	-0.0036710884779709513
YDR037W	-0.010031286521180151
YDR041W	-0.015518672260271852
YDR042C	-0.013737714015086595
YDR043C	-0.030090374610375517
YDR044W	0.011057616421254048
YDR045C	-0.06668228120712782
YDR046C	
YDR047W	0.0017399621480003354
YDR048C	0.002939895689157755
YDR049W	
YDR050C	
YDR051C	-0.009588985868973809
