ORF	Growth, OD600;external pH 2.7	Growth, OD600;external pH 4.0	Growth, OD600;external pH 7.0	Vacuolar pH (pHv);external pH 2.7	Vacuolar pH (pHv);external pH 4.0	Vacuolar pH (pHv);external pH 7.0
YBR001C	96.199	98.351	102.537	5.330	5.327	5.867
YBR003W	97.020	93.689	102.263	5.295	5.315	5.716
YBR005W	94.725	68.645	97.912	5.319	5.337	5.862
YBR006W	106.210	103.899	105.987	5.373	5.288	5.750
YBR007C	97.659	93.337	98.638	5.254	5.301	5.925
YBR008C	108.810	105.175	104.625	5.298	5.276	5.750
YBR009C	108.170	102.453	98.912	5.281	5.283	5.684
YBR010W	107.447	103.430	99.875	5.295	5.280	5.733
YBR012C	111.535	103.768	100.213	5.303	5.279	5.757
YBR013C	101.232	103.951	100.963	5.301	5.289	5.723
YBR014C	102.498	105.240	101.425	5.287	5.277	5.715
YBR015C	99.175	89.352	87.912	5.272	5.281	5.793
YBR016W	97.200	98.559	103.438	5.296	5.292	5.779
YBR018C	106.418	95.395	97.188	5.292	5.294	5.840
YBR019C	108.476	91.514	105.300	5.310	5.288	5.782
YBR020W	86.126	101.945	101.256	5.317	5.311	5.683
YBR021W	NaN	23.403	21.962	NaN	5.323	5.753
YBR022W	107.850	103.065	105.900	5.304	5.284	5.708
YBR023C	88.232	102.167	100.963	5.286	5.284	5.710
YBR024W	99.912	106.607	101.975	5.296	5.289	5.729
YBR025C	99.814	102.870	106.213	5.272	5.300	5.693
YBR026C	96.199	101.502	103.400	5.302	5.282	5.632
YBR027C	104.959	99.523	102.612	5.288	5.283	5.696
YBR028C	106.961	98.794	97.713	5.286	5.288	5.732
YBR030W	105.139	100.682	102.588	5.295	5.285	5.704
YBR031W	88.413	97.713	100.650	5.304	5.291	5.780
YBR032W	103.221	94.978	103.138	5.306	5.291	5.784
YBR033W	105.487	87.242	105.338	5.297	5.301	5.757
YBR034C	91.931	99.484	97.225	5.265	5.307	5.836
YBR035C	20.244	62.251	64.425	NaN	5.310	5.741
YBR036C	81.336	108.314	105.062	5.257	5.302	5.705
YBR037C	NaN	NaN	NaN	NaN	NaN	NaN
YBR039W	93.502	89.821	89.575	NaN	5.324	5.665
YBR040W	105.376	104.758	105.463	5.302	5.290	5.676
YBR041W	93.683	104.732	106.650	5.339	5.302	5.705
YBR042C	88.010	96.267	102.662	5.285	5.300	5.703
YBR043C	104.750	97.608	103.225	5.303	5.299	5.680
