ORF	Growth, OD600;external pH 2.7	Growth, OD600;external pH 4.0	Growth, OD600;external pH 7.0	Vacuolar pH (pHv);external pH 2.7	Vacuolar pH (pHv);external pH 4.0	Vacuolar pH (pHv);external pH 7.0
YJL197W	79.697	99.848	85.530	4.999	5.154	6.050
YJL198W	80.358	93.944	77.743	5.000	5.180	5.776
YJL199C	85.869	88.689	82.833	5.058	5.205	5.999
YJL200C	100.968	90.550	88.888	5.297	5.317	5.492
YJL201W	78.321	90.887	83.586	4.884	5.202	6.117
YJL204C	22.123	93.524	101.872	4.461	5.057	5.718
YJL206C	102.039	96.671	86.987	5.288	5.316	5.480
YJL206C-A	86.716	92.902	83.169	4.896	4.980	5.946
YJL207C	88.253	97.801	85.583	4.952	5.164	5.683
YJL208C	93.458	97.967	74.454	5.065	5.157	5.966
YJL209W	NaN	20.837	25.850	NaN	5.328	5.655
YJL210W	91.702	97.165	92.634	4.952	5.143	5.944
YJL211C	92.910	94.414	78.269	4.954	5.146	5.941
YJL212C	94.876	101.341	90.029	4.902	5.176	5.951
YJL213W	79.654	80.535	74.325	5.298	5.314	5.575
YJL214W	85.176	97.262	86.148	4.883	5.147	6.061
YJL215C	84.483	93.266	80.453	4.933	5.097	5.991
YJL216C	84.741	94.732	81.123	4.939	5.108	6.072
YJL217W	84.144	98.313	83.254	4.955	5.142	6.043
YJL218W	84.692	93.487	93.041	4.848	5.145	5.971
YJR001W	97.270	100.812	102.963	5.269	5.314	5.877
YJR003C	85.146	81.942	79.487	5.288	5.331	5.529
YJR004C	103.499	103.391	104.425	5.282	5.310	5.872
YJR005W	101.691	102.701	106.150	5.287	5.290	5.721
YJR008W	96.672	95.746	96.737	5.274	5.309	5.950
YJR009C	101.469	103.690	102.200	5.267	5.304	5.844
YJR010C-A	106.238	103.807	103.513	5.285	5.300	5.727
YJR010W	107.225	102.101	101.487	5.293	5.295	5.779
YJR011C	105.223	101.047	104.662	5.278	5.293	5.750
YJR014W	101.816	101.528	102.438	5.270	5.306	5.831
YJR015W	105.737	102.427	104.100	5.300	5.303	5.803
YJR018W	92.445	91.553	109.825	5.268	5.315	5.862
YJR019C	102.247	99.679	106.725	5.290	5.307	5.721
YJR020W	99.953	97.882	109.287	5.269	5.319	5.867
YJR021C	101.052	102.219	105.188	5.283	5.310	5.794
YJR024C	106.891	106.998	104.062	5.296	5.296	5.643
YJR025C	97.284	100.708	101.263	5.279	5.317	5.874
YJR026W	106.669	102.075	104.537	5.296	5.296	5.652
YJR030C	106.071	105.110	102.825	5.291	5.303	5.782
YJR031C	104.680	104.524	101.862	5.293	5.303	5.664
YJR032W	86.508	90.771	88.375	5.285	5.321	5.816
YJR033C	97.270	96.215	93.600	NaN	5.334	5.964
YJR034W	102.525	108.834	101.000	5.273	5.329	5.552
YJR035W	103.499	98.559	99.763	5.295	5.330	5.884
YJR036C	97.923	97.335	107.650	5.282	5.334	5.912
YJR037W	96.436	101.307	106.862	5.290	5.318	5.864
YJR038C	97.381	92.660	97.487	5.288	5.313	5.872
YJR039W	104.569	106.998	103.463	5.271	5.325	5.559
YJR040W	97.937	102.622	95.375	5.286	5.319	5.818
YJR043C	94.837	97.231	99.375	5.281	5.316	5.824
YJR044C	103.777	105.266	103.575	5.266	5.329	5.595
YJR047C	105.348	102.466	105.537	5.283	5.297	5.698
YJR048W	104.917	102.349	103.100	5.311	5.299	5.656
YJR049C	103.429	101.411	102.825	5.294	5.315	5.841
YJR050W	106.891	103.638	103.513	5.285	5.315	5.643
YJR051W	99.522	102.935	100.737	5.302	5.312	5.713
YJR052W	99.008	98.702	98.888	5.280	5.320	5.996
YJR053W	95.143	99.301	105.175	5.292	5.332	5.960
YJR054W	97.131	99.901	107.650	5.303	5.326	5.957
YJR055W	83.610	86.513	88.044	5.296	5.327	5.582
YJR056C	98.215	96.970	104.875	5.326	5.315	5.799
YJR058C	95.212	98.937	104.562	5.289	5.317	5.814
YJR059W	76.039	91.019	94.100	5.286	5.319	5.873
YJR060W	95.087	101.125	104.688	5.300	5.333	5.572
YJR061W	97.298	96.007	99.112	5.289	5.318	5.941
YJR062C	95.754	92.816	98.438	5.290	5.318	5.843
YJR063W	96.019	96.124	101.838	5.296	5.314	5.729
YJR066W	116.721	118.393	107.638	5.273	5.326	5.467
YJR069C	95.101	98.741	98.225	5.305	5.350	5.925
YJR070C	94.600	94.209	92.975	5.295	5.345	5.839
YJR073C	84.979	102.779	101.950	5.307	5.340	5.728
YJR074W	96.561	93.675	95.500	5.322	5.480	5.730
YJR075W	90.207	62.511	87.600	5.300	5.326	5.824
YJR077C	94.559	91.149	96.600	5.292	5.315	5.676
YJR078W	88.580	92.334	89.900	5.315	5.356	5.838
YJR079W	100.746	101.138	101.638	5.306	5.326	5.672
YJR080C	97.298	100.578	98.275	5.299	5.304	5.712
YJR082C	93.252	95.408	96.112	5.310	5.381	5.989
YJR083C	53.835	85.836	80.463	5.307	5.361	5.938
YJR084W	106.516	102.310	95.475	5.287	5.317	5.744
YJR087W	96.811	99.288	100.062	5.297	5.326	5.852
YJR088C	95.977	98.208	98.825	5.318	5.374	5.846
YJR090C	99.036	98.051	92.438	5.291	5.310	5.720
YJR091C	95.170	87.411	92.875	5.296	5.345	5.910
YJR092W	98.577	100.291	100.500	5.318	5.381	5.886
YJR094C	83.630	93.376	92.388	5.300	5.336	5.939
YJR094W-A	95.476	98.038	98.338	5.303	5.327	5.769
YJR095W	99.731	99.744	102.338	5.312	5.344	5.962
YJR096W	96.672	96.033	98.400	5.319	5.344	5.971
YJR097W	90.137	93.767	92.150	5.304	5.351	5.959
YJR098C	94.934	93.975	94.112	5.304	5.344	5.944
YJR099W	103.638	102.492	98.612	5.305	5.327	5.819
YJR100C	98.730	101.424	97.250	5.302	5.337	5.969
YJR102C	69.324	88.583	98.575	5.310	5.359	5.851
YJR103W	91.208	74.896	93.888	5.310	5.389	5.919
YJR104C	84.506	94.561	89.775	5.303	5.305	5.767
YJR105W	91.750	98.755	116.688	NaN	5.361	5.689
YJR106W	92.223	94.314	95.713	5.303	5.337	5.970
YJR107W	93.085	91.813	96.050	5.296	5.337	5.903
YJR108W	98.897	99.106	97.688	5.314	5.345	5.938
YJR109C	94.698	92.165	93.463	5.296	5.342	5.957
YJR110W	105.682	106.282	100.812	5.328	5.336	5.757
YJR111C	95.045	102.245	103.638	5.309	5.338	5.690
YJR113C	93.599	94.079	93.000	NaN	5.372	5.704
YJR115W	99.564	95.355	101.175	5.309	5.345	5.705
YJR116W	99.202	95.603	95.650	5.307	5.356	5.945
YJR117W	104.514	103.847	105.150	5.311	5.339	5.806
YJR118C	NaN	NaN	NaN	NaN	NaN	NaN
YJR119C	99.981	98.924	99.763	5.305	5.357	5.907
YJR120W	96.964	98.012	97.737	5.318	5.307	5.732
YJR121W	92.654	95.238	113.425	5.306	5.328	5.830
YJR122W	26.904	27.440	NaN	NaN	5.374	NaN
YJR124C	95.768	95.186	100.250	5.304	5.343	5.959
YJR125C	99.772	95.928	95.838	5.304	5.351	5.933
YJR126C	94.725	94.262	96.188	5.302	5.331	5.858
YJR127C	101.663	100.083	103.412	5.307	5.335	5.796
YJR128W	101.719	99.002	101.525	5.315	5.364	5.800
YJR129C	101.663	99.835	101.987	5.323	5.336	5.770
YJR130C	102.845	99.848	104.800	5.320	5.350	5.778
YJR131W	84.715	95.147	96.175	5.302	5.348	5.982
YJR133W	92.876	92.920	95.463	5.304	5.352	5.955
YJR134C	100.245	103.026	104.075	5.318	5.336	5.638
YJR135C	103.610	98.377	102.250	5.329	5.348	5.797
YJR137C	88.497	85.614	89.362	5.319	5.344	5.945
YJR139C	38.318	86.122	80.412	5.303	5.342	5.849
YJR140C	64.513	91.240	93.362	5.301	5.367	5.902
YJR142W	90.749	90.797	93.300	5.307	5.405	5.909
YJR144W	NaN	NaN	NaN	NaN	NaN	NaN
YJR145C	87.621	92.282	81.862	5.322	5.349	5.814
YJR146W	106.210	96.580	103.112	5.313	5.354	5.820
YJR147W	92.598	95.421	88.487	5.316	5.351	5.915
YJR148W	100.635	104.485	99.450	5.309	5.339	5.722
YJR149W	75.316	67.981	79.525	5.319	5.363	5.993
YJR150C	93.905	94.665	96.213	5.310	5.384	5.924
YJR152W	80.405	78.464	86.375	5.318	5.358	5.868
YJR153W	93.071	92.751	95.625	5.303	5.376	5.838
YJR154W	107.044	96.150	101.675	5.312	5.337	5.738
YKL001C	NaN	NaN	NaN	NaN	NaN	NaN
YKL002W	NaN	NaN	NaN	NaN	NaN	NaN
YKL003C	NaN	NaN	NaN	NaN	NaN	NaN
YKL005C	87.579	83.973	91.300	5.305	5.389	5.918
YKL006W	NaN	NaN	NaN	NaN	NaN	NaN
YKL007W	94.630	100.697	101.216	5.361	5.112	5.834
YKL008C	NaN	NaN	NaN	NaN	NaN	NaN
YKL009W	NaN	NaN	NaN	NaN	NaN	NaN
YKL010C	101.037	101.950	99.684	5.280	5.099	5.819
YKL011C	103.358	101.873	103.245	5.248	5.119	5.809
YKL015W	100.650	98.993	99.806	4.120	5.080	5.805
YKL016C	NaN	NaN	NaN	NaN	NaN	NaN
YKL017C	99.830	100.310	101.288	4.183	5.092	5.842
YKL020C	101.996	102.028	101.690	5.359	5.087	5.806
YKL023W	101.888	101.963	100.304	5.199	5.071	5.853
YKL025C	NaN	NaN	NaN	NaN	NaN	NaN
YKL026C	NaN	NaN	NaN	NaN	NaN	NaN
YKL027W	NaN	NaN	NaN	NaN	NaN	NaN
YKL029C	NaN	NaN	NaN	NaN	NaN	NaN
YKL030W	82.031	88.245	93.312	5.315	5.388	5.987
YKL031W	88.935	100.426	98.943	5.545	5.124	5.897
YKL032C	NaN	NaN	NaN	NaN	NaN	NaN
YKL033W-A	96.945	100.432	111.099	4.939	4.737	5.580
YKL034W	NaN	104.275	101.398	NaN	5.163	5.828
YKL037W	105.757	91.554	96.706	5.474	5.135	5.753
YKL038W	93.346	100.400	98.432	5.367	5.063	5.906
YKL039W	102.414	101.459	99.842	5.306	5.075	5.824
YKL040C	95.512	99.819	102.467	5.201	5.107	5.819
YKL041W	100.449	86.620	92.476	5.327	5.186	5.971
YKL043W	NaN	NaN	NaN	NaN	NaN	NaN
YKL044W	NaN	NaN	NaN	NaN	NaN	NaN
YKL046C	NaN	NaN	NaN	NaN	NaN	NaN
YKL047W	NaN	NaN	NaN	NaN	NaN	NaN
YKL048C	NaN	NaN	NaN	NaN	NaN	NaN
YKL050C	98.437	101.498	105.385	5.330	5.131	5.830
YKL051W	98.561	100.891	99.611	5.349	5.151	5.878
YKL053C-A	91.222	92.269	90.625	5.284	5.315	5.428
YKL053W	100.634	97.004	96.791	5.518	5.357	5.930
YKL054C	NaN	NaN	NaN	NaN	NaN	NaN
YKL055C	70.799	68.836	73.623	5.117	5.150	5.957
YKL056C	85.577	90.753	86.556	5.391	5.213	6.126
YKL057C	NaN	NaN	NaN	NaN	NaN	NaN
YKL061W	NaN	NaN	NaN	NaN	NaN	NaN
YKL062W	NaN	NaN	NaN	NaN	NaN	NaN
YKL063C	NaN	NaN	NaN	NaN	NaN	NaN
YKL064W	NaN	NaN	NaN	NaN	NaN	NaN
YKL065C	100.124	100.207	100.049	4.855	5.175	6.152
YKL066W	98.963	100.258	101.714	5.367	5.124	5.832
YKL067W	102.399	99.961	102.869	5.289	5.098	5.804
YKL068W	106.523	96.133	97.926	4.430	4.868	5.846
YKL069W	93.021	90.624	95.503	5.287	5.142	5.919
YKL070W	97.988	97.856	101.762	5.336	4.949	5.791
YKL071W	99.768	97.094	100.839	5.344	5.135	5.893
YKL072W	98.855	97.004	100.681	5.333	5.084	5.813
YKL073W	96.332	90.947	93.509	5.248	5.190	5.872
YKL074C	NaN	NaN	NaN	NaN	NaN	NaN
YKL075C	98.550	96.146	101.869	5.378	5.190	5.985
YKL076C	93.435	96.106	93.106	5.539	5.178	6.088
YKL077W	92.297	92.398	92.563	5.947	5.711	6.129
YKL079W	97.988	99.960	102.601	5.394	5.153	5.811
YKL080W	22.470	77.434	50.972	6.291	6.256	6.230
YKL081W	92.546	94.305	103.018	5.378	5.108	5.779
YKL084W	92.827	98.200	102.790	5.424	5.259	5.918
YKL085W	92.203	94.012	106.035	5.284	5.164	5.826
YKL086W	97.427	99.306	104.520	5.384	5.142	5.845
YKL087C	NaN	NaN	NaN	NaN	NaN	NaN
YKL090W	92.437	100.333	104.205	5.447	5.162	5.733
YKL091C	89.724	99.520	104.116	5.411	5.222	5.889
YKL092C	85.280	97.519	90.126	5.374	5.225	6.141
YKL093W	100.811	96.186	99.571	5.432	5.226	5.898
YKL094W	103.087	96.199	101.629	5.457	5.219	5.883
YKL096W	97.583	99.333	92.689	5.439	5.226	6.086
YKL096W-A	85.897	78.191	79.562	5.299	5.312	5.557
YKL097C	89.412	91.464	90.985	5.347	5.272	6.060
YKL098W	97.006	92.945	99.836	5.393	5.197	5.886
YKL100C	95.416	95.345	99.609	5.369	5.199	5.927
YKL101W	99.984	96.866	102.727	5.602	4.398	5.787
YKL102C	98.409	99.400	105.808	5.413	5.183	5.849
YKL103C	96.975	97.599	103.409	5.463	5.269	5.962
YKL105C	94.308	100.227	102.828	5.323	5.178	5.902
YKL106W	100.499	101.707	102.715	5.275	5.225	5.850
YKL107W	106.721	98.613	103.763	5.403	5.122	5.667
YKL109W	93.232	88.237	96.755	5.287	5.152	5.872
YKL110C	84.251	86.650	81.553	5.031	5.176	6.179
YKL113C	49.228	77.261	78.157	5.292	5.550	5.975
YKL114C	NaN	NaN	NaN	NaN	NaN	NaN
YKL115C	91.569	96.957	83.125	5.301	5.314	5.458
YKL116C	105.785	102.187	104.836	5.417	5.172	5.825
YKL117W	98.254	94.759	103.308	5.401	5.217	5.877
YKL118W	NaN	72.353	56.604	NaN	6.677	6.368
YKL119C	27.273	77.554	53.611	6.467	6.369	6.310
YKL120W	96.647	99.933	101.768	5.468	5.167	5.931
YKL121W	103.197	103.334	107.172	5.439	5.168	5.799
YKL123W	88.414	98.266	95.530	5.523	5.192	6.065
YKL124W	101.419	102.987	105.606	5.361	5.158	5.753
YKL126W	96.070	105.001	106.730	5.871	5.461	5.922
YKL127W	97.349	99.120	103.245	5.428	5.202	5.776
YKL128C	99.111	98.266	101.540	5.418	5.215	5.877
YKL129C	91.455	98.266	96.755	5.409	5.198	6.060
YKL130C	95.743	101.054	95.972	5.366	5.217	6.073
YKL131W	99.922	98.186	104.394	5.383	5.188	5.861
YKL132C	92.905	99.467	101.301	5.349	5.197	5.986
YKL133C	101.450	96.226	104.268	5.359	5.170	5.858
YKL134C	NaN	NaN	NaN	NaN	NaN	NaN
YKL135C	103.285	103.272	103.187	NaN	5.065	5.691
YKL136W	101.169	105.161	108.396	5.376	5.233	5.823
YKL137W	96.258	101.867	106.755	5.413	4.273	5.811
YKL138C	NaN	NaN	NaN	NaN	NaN	NaN
YKL139W	87.329	81.798	78.787	5.294	5.321	5.450
YKL140W	94.542	100.707	99.583	5.382	5.193	6.000
YKL142W	101.840	102.574	104.811	5.301	5.155	5.781
YKL143W	77.920	85.423	93.662	5.488	5.188	5.785
YKL146W	99.548	96.426	102.513	5.388	5.209	5.900
YKL147W	96.460	100.627	93.093	5.379	5.220	6.044
YKL148C	102.713	97.879	102.551	5.336	5.172	5.822
YKL149C	90.036	95.105	92.740	5.477	5.253	6.042
YKL150W	96.008	92.025	97.765	5.349	5.223	5.943
YKL151C	96.601	90.584	97.715	5.385	5.187	5.866
YKL155C	78.996	113.550	107.159	5.507	5.205	5.641
YKL156W	92.016	93.558	100.657	5.294	5.186	5.803
YKL157W	91.252	95.959	100.593	5.451	5.216	5.843
YKL158W	92.765	97.479	101.578	5.280	5.150	5.827
YKL159C	97.864	101.014	101.881	5.281	5.203	5.931
YKL160W	98.425	103.161	105.859	5.240	5.143	5.802
YKL161C	98.581	96.999	101.035	5.424	5.188	5.904
YKL162C	84.797	99.640	86.212	5.377	5.214	6.119
YKL162C-A	92.497	90.671	104.310	5.070	4.928	5.748
YKL163W	98.550	94.745	99.091	5.390	5.198	5.899
YKL164C	94.948	96.026	101.048	5.410	5.193	5.914
YKL166C	90.769	86.770	87.917	5.363	5.272	6.062
YKL167C	93.763	93.838	98.018	5.305	5.172	5.843
YKL168C	93.077	99.120	100.000	5.380	5.195	5.875
YKL169C	NaN	NaN	NaN	NaN	NaN	NaN
YKL170W	NaN	NaN	NaN	NaN	NaN	NaN
YKL171W	92.749	96.666	100.051	5.377	5.199	5.841
YKL174C	92.344	98.920	102.273	5.423	5.159	5.821
YKL175W	86.481	93.585	92.715	5.384	5.268	6.043
YKL176C	73.351	99.120	91.768	5.539	5.357	5.913
YKL177W	106.824	93.713	85.293	4.300	4.917	5.755
YKL178C	107.173	94.876	89.340	NaN	4.975	5.833
YKL179C	97.240	92.678	101.237	5.342	5.110	5.745
YKL183W	96.725	94.999	101.894	5.406	5.178	5.870
YKL184W	86.948	83.209	90.455	5.051	5.291	6.143
YKL185W	87.728	94.372	97.172	5.374	5.159	6.020
YKL187C	88.305	89.024	92.929	5.414	5.246	5.998
YKL188C	92.094	93.918	101.477	5.547	5.236	5.913
YKL190W	NaN	99.693	100.530	NaN	5.023	5.955
YKL191W	98.294	98.568	93.381	5.021	5.003	6.020
YKL194C	88.914	95.056	82.537	5.296	5.314	5.466
YKL197C	91.742	89.960	82.111	4.772	5.084	5.988
YKL198C	90.961	94.002	82.041	5.049	5.057	6.123
YKL199C	95.623	94.680	89.784	4.844	4.998	5.997
YKL200C	93.377	92.684	84.501	4.951	5.028	6.063
YKL201C	82.713	85.796	72.013	5.288	5.332	5.589
YKL202W	81.614	89.495	77.350	5.283	5.328	5.773
YKL204W	56.685	73.477	87.700	5.284	5.326	5.702
YKL205W	101.521	99.156	95.279	4.675	4.938	5.904
YKL206C	106.850	97.314	95.525	4.748	4.927	5.961
YKL207W	95.054	99.437	91.659	4.991	5.053	6.041
YKL208W	99.431	94.053	97.809	4.781	4.917	5.860
YKL211C	103.809	102.315	97.669	4.974	5.057	6.038
YKL212W	84.096	95.012	88.250	4.941	5.356	6.093
YKL213C	90.023	86.098	92.139	NaN	5.052	6.255
YKL214C	88.886	91.303	82.545	5.129	5.058	6.136
YKL215C	75.525	84.351	77.513	5.293	5.321	5.704
YKL216W	92.410	95.396	89.714	5.143	4.984	6.047
YKL217W	88.999	98.094	89.187	4.986	5.055	6.047
YKL218C	93.405	100.767	92.022	4.971	4.992	5.985
YKL220C	90.151	89.586	85.662	5.290	5.324	5.684
YKL221W	97.072	101.100	92.350	4.929	4.996	5.993
YKL222C	98.792	101.420	92.807	5.006	5.014	6.000
YKR001C	NaN	107.085	101.734	NaN	5.319	5.899
YKR003W	97.840	99.501	95.033	4.866	4.972	5.910
YKR005C	103.496	100.512	98.044	4.928	5.048	5.946
YKR006C	100.441	100.972	101.207	4.761	4.767	5.750
YKR007W	110.958	101.228	95.056	5.045	5.039	5.860
YKR009C	107.433	98.018	99.180	4.872	4.936	5.853
YKR010C	85.062	89.769	80.562	5.292	5.320	5.690
YKR011C	93.363	92.480	89.667	5.063	5.038	6.100
YKR012C	96.774	89.960	91.120	5.011	5.013	6.072
YKR013W	89.852	93.567	86.094	5.057	5.096	6.103
YKR014C	92.808	94.641	86.668	5.118	5.010	6.111
YKR015C	102.317	93.209	92.280	4.934	4.991	5.908
YKR016W	94.102	85.152	85.251	4.923	4.956	5.987
YKR017C	101.379	94.091	94.400	4.889	4.998	5.949
YKR018C	93.718	92.416	91.143	5.052	5.036	6.021
YKR019C	NaN	88.740	78.950	NaN	5.324	5.643
YKR020W	43.491	95.063	96.216	4.510	5.221	5.952
YKR021W	99.375	98.133	99.332	4.720	4.941	5.813
YKR023W	76.692	84.559	78.125	5.293	5.318	5.686
YKR024C	74.076	66.031	82.732	5.155	5.128	6.089
YKR026C	91.529	101.087	88.051	4.589	5.053	6.253
YKR027W	80.585	95.395	87.325	5.292	5.318	5.664
YKR028W	71.131	88.258	85.775	5.292	5.332	5.613
YKR029C	78.375	91.149	83.975	5.296	5.314	5.652
YKR030W	95.949	96.176	97.692	4.904	4.993	5.872
YKR031C	80.344	92.531	83.622	5.047	5.087	6.170
YKR032W	96.546	95.843	95.654	4.790	4.942	5.830
YKR033C	92.482	93.004	92.139	4.975	4.998	5.954
YKR034W	70.867	85.393	73.963	5.290	5.319	5.718
YKR035C	84.778	91.073	92.877	4.782	4.991	6.010
YKR035W-A	81.687	94.840	104.728	4.828	4.830	5.700
YKR036C	77.721	84.729	78.700	5.289	5.325	5.754
YKR039W	83.116	90.615	86.625	5.293	5.328	5.620
YKR040C	83.630	91.318	80.875	5.295	5.326	5.557
YKR041W	NaN	NaN	NaN	NaN	NaN	NaN
YKR042W	94.287	93.158	90.405	4.928	5.068	6.015
YKR043C	96.887	97.378	95.736	4.851	4.988	5.850
YKR044W	99.019	97.237	97.809	4.930	5.037	5.862
YKR045C	94.978	91.923	93.323	5.128	5.104	6.025
YKR046C	80.530	87.542	77.662	5.289	5.326	5.589
YKR047W	105.971	100.208	105.711	5.105	5.078	5.773
YKR048C	107.554	101.760	107.154	5.120	5.104	5.743
YKR049C	101.114	100.415	104.209	5.096	5.080	5.917
YKR050W	95.336	96.359	100.417	5.161	5.128	6.040
YKR051W	100.495	100.990	104.233	5.037	5.067	5.907
YKR052C	79.898	87.231	85.954	4.952	5.124	6.199
YKR053C	83.088	90.628	87.075	5.288	5.314	5.528
YKR054C	93.740	96.017	100.966	5.031	5.117	5.934
YKR055W	89.915	95.395	92.562	5.236	5.363	5.483
YKR056W	94.538	95.271	97.568	5.120	5.098	6.032
YKR057W	97.840	97.239	103.386	5.103	5.076	5.870
YKR058W	101.018	98.998	104.412	5.040	5.028	5.852
YKR059W	103.481	100.305	101.705	4.989	4.905	5.807
YKR060W	100.963	93.218	95.660	5.142	5.116	5.941
YKR061W	101.789	96.224	99.356	5.035	5.068	5.952
YKR064W	107.347	99.340	103.339	5.113	5.063	5.871
YKR065C	109.095	101.246	103.875	5.037	5.058	5.909
YKR066C	94.158	98.829	106.614	4.944	4.829	5.610
YKR067W	93.268	98.675	104.930	4.993	4.788	5.638
YKR069W	96.219	100.084	111.086	4.884	4.782	5.626
YKR070W	92.304	99.833	106.492	4.956	4.773	5.608
YKR072C	93.046	104.881	109.644	4.965	4.763	5.490
YKR073C	95.863	103.765	107.112	5.050	4.803	5.471
YKR074W	85.528	96.249	101.536	4.845	4.804	5.636
YKR075C	100.252	106.233	106.519	4.884	4.779	5.608
YKR076W	99.481	101.534	107.880	4.880	4.808	5.610
YKR077W	87.352	80.770	91.393	5.206	4.958	5.811
YKR078W	96.649	96.890	107.786	4.892	4.860	5.634
YKR080W	94.380	92.804	103.367	4.932	4.806	5.657
YKR082W	80.575	86.794	97.360	5.048	4.954	5.795
YKR084C	94.958	94.073	105.590	4.932	4.807	5.628
YKR085C	87.190	85.458	95.537	5.294	5.307	5.486
YKR087C	105.682	86.213	107.650	5.297	5.315	5.755
YKR088C	98.313	99.718	100.338	5.290	5.323	5.782
YKR089C	107.044	103.742	107.075	5.304	5.312	5.708
YKR090W	101.246	104.055	107.425	5.294	5.317	5.687
YKR091W	98.299	100.981	107.412	5.298	5.314	5.684
YKR092C	91.166	91.019	92.225	5.311	5.324	5.835
YKR093W	87.635	76.615	92.912	5.330	5.392	5.938
YKR094C	79.445	78.569	94.225	5.292	5.318	5.474
YKR095W	101.483	99.653	102.312	5.289	5.317	5.459
YKR096W	96.728	103.873	104.263	5.289	5.321	5.581
YKR097W	96.811	60.883	97.875	5.298	5.337	5.777
YKR098C	103.332	61.665	97.188	5.298	5.311	5.722
YKR099W	97.687	55.322	61.200	5.297	5.321	5.643
YKR100C	98.869	52.913	36.587	5.312	5.316	5.641
YKR101W	104.361	59.529	109.500	5.309	5.333	5.857
YKR102W	104.097	104.797	97.888	5.292	5.318	5.565
YKR103W	100.954	61.769	103.487	5.328	5.344	5.936
YKR104W	96.964	99.822	106.713	5.318	5.334	5.704
YKR105C	87.384	92.477	95.925	5.312	5.358	5.921
YKR106W	94.503	96.632	86.838	5.287	5.326	5.469
YLL001W	98.905	100.484	100.771	5.269	5.242	5.943
YLL002W	68.496	89.944	86.233	5.290	5.361	6.067
YLL005C	90.710	99.725	99.816	5.366	5.252	5.821
YLL006W	NaN	NaN	NaN	NaN	NaN	NaN
YLL007C	82.588	89.729	88.537	5.353	5.368	5.964
YLL009C	NaN	22.100	21.050	NaN	5.323	5.619
YLL010C	92.413	100.092	101.187	5.321	5.168	6.006
YLL012W	102.083	101.139	99.988	5.388	5.290	6.063
YLL013C	87.639	94.343	83.040	5.376	5.355	6.145
YLL014W	104.501	104.923	101.787	5.322	5.298	5.974
YLL015W	97.263	97.329	95.301	5.289	5.286	6.133
YLL016W	102.585	103.274	101.909	5.451	5.278	6.011
YLL017W	102.053	100.773	97.748	5.334	5.317	6.056
YLL018C-A	99.272	103.977	107.875	5.308	5.321	5.707
YLL019C	86.346	94.933	87.457	5.359	5.332	6.188
YLL020C	87.395	92.209	86.221	5.318	5.318	5.944
YLL021W	100.623	101.820	101.542	5.328	5.308	5.999
YLL023C	99.772	101.467	102.863	5.298	5.288	5.982
YLL024C	92.504	100.419	100.514	5.255	5.288	5.921
YLL025W	91.501	95.299	95.485	5.297	5.244	5.985
YLL026W	102.357	102.540	101.322	5.393	5.288	6.013
YLL027W	53.682	69.557	76.112	5.254	5.311	5.400
YLL028W	99.544	100.105	100.428	5.380	5.294	6.027
YLL029W	97.309	97.420	99.633	5.285	5.276	6.041
YLL030C	93.266	99.080	91.888	5.327	5.342	5.633
YLL032C	103.026	99.581	100.685	5.395	5.281	6.008
YLL033W	95.560	94.926	103.862	5.261	5.311	5.513
YLL038C	96.777	102.881	106.718	5.218	5.284	6.017
YLL039C	92.428	99.424	104.418	5.193	5.270	6.051
YLL040C	93.705	97.263	98.226	5.334	5.333	6.033
YLL041C	95.940	98.324	104.393	5.330	5.254	5.964
YLL042C	NaN	48.225	21.438	NaN	5.305	5.443
YLL043W	26.258	95.168	93.502	5.073	5.231	6.208
YLL044W	86.008	89.821	87.438	5.318	5.366	5.745
YLL045C	86.894	97.237	102.398	5.224	5.208	5.943
YLL046C	88.247	97.722	98.642	5.250	4.721	6.027
YLL047W	91.643	95.573	97.784	5.242	5.290	6.088
YLL048C	88.455	96.957	91.763	5.319	5.360	5.809
YLL049W	40.390	81.942	80.950	5.322	5.354	5.901
YLL051C	90.137	95.611	95.421	5.262	5.325	6.135
YLL052C	91.271	95.779	98.055	5.253	5.291	6.098
YLL053C	93.554	97.194	100.825	5.332	5.296	6.025
YLL054C	93.585	94.144	96.443	5.387	5.302	6.094
YLL055W	97.406	97.864	104.025	5.326	5.271	6.008
YLL056C	89.950	94.607	90.485	5.362	5.339	6.160
YLL057C	95.635	95.444	97.895	5.353	5.310	6.091
YLL058W	101.600	96.165	101.674	5.407	5.307	6.046
YLL059C	74.774	85.679	80.275	5.312	5.371	5.905
YLL060C	93.802	91.197	95.249	5.972	5.273	6.091
YLL061W	96.614	95.534	100.357	5.218	5.165	6.007
YLL062C	102.112	98.597	100.505	5.278	5.276	6.019
YLL063C	96.101	99.189	98.744	5.296	5.291	6.062
YLR001C	88.972	96.950	88.380	5.363	5.350	6.148
YLR003C	98.260	97.645	98.868	5.394	5.293	6.055
YLR004C	102.019	99.550	100.554	5.338	5.291	6.024
YLR006C	98.575	96.363	105.746	5.029	5.106	5.896
YLR011W	100.155	101.699	98.548	5.313	5.313	6.070
YLR012C	100.528	101.737	100.517	5.430	5.296	6.011
YLR013W	100.264	100.206	97.230	5.362	5.293	6.096
YLR014C	95.107	98.263	101.613	5.392	5.292	6.059
YLR015W	78.285	89.550	87.112	5.178	5.358	6.182
YLR016C	98.509	100.644	101.871	5.582	5.262	6.020
