orf	hap alpha | growth (culture turbidity) | pH [2.7] | Brett CL~Rao R, 2011	hap alpha | growth (culture turbidity) | pH [4.0] | Brett CL~Rao R, 2011	hap alpha | growth (culture turbidity) | pH [7.0] | Brett CL~Rao R, 2011	hap alpha | vacuolar pH | pH [2.7] | Brett CL~Rao R, 2011	hap alpha | vacuolar pH | pH [4.0] | Brett CL~Rao R, 2011	hap alpha | vacuolar pH | pH [7.0] | Brett CL~Rao R, 2011
YBL051C	-0.173942048902704	-0.39272204712635417	-0.5232387762592975	-0.6625734799675471	-0.4428279065399308	1.3035677819800753
YBL052C	-0.11381944910454292	-0.3191882742310243	-0.013508895850370992	-0.6263779513104123	-0.48219776096628336	1.2214259090288135
YBL053W	-0.34829758831737134	-0.564300850548791	-0.03557512443950133	-1.4253698352642687	-1.1770634523291943	0.9755311295403637
YBL054W	-0.19799108882196864	-0.5851354195358003	-0.2992665560796172	-1.1330286678518928	-0.5464475885300131	1.0465987040455633
YBL055C	0.13368525339788748	-0.21378986641438433	0.09682224709528457	-1.5547729081567276	-1.1764044996253542	0.9125674366607714
YBL056W	0.08148967283198602	-0.0800247904700347	0.08627280033541275	-1.2560335567697163	-0.6853846055340037	0.6513521939036867
YBL057C	-0.1567504638747686	-0.2801281548373456	-0.05543699854273305	-1.2400382396046512	-1.2543803452678532	0.9349571458153932
YBL058W	-2.135025969417518	-2.313548470199979	-2.6682760639894365	-1.660123392243862	-0.15574839631460516	2.360176836816295
YBL059W	0.0629598844214601	-0.06614478831738865	-0.027508790004703795	-1.2759496136172173	-0.803151311394237	0.6321970038957078
YBL060W	-0.19116292806574298	-0.5773915342731816	-0.7246796253614269	-1.2076104599668807	-1.008559724007061	0.8332315520448161
YBL061C	0.0435477251342433	0.20798525419737102	-0.3367878401110238	-1.4124216861722634	-0.6487791570023177	1.115903883946891
YBL062W	-0.5361699408521909	-0.6525748792666795	-0.5022883351511959	-1.882877564279408	-1.4002408023780455	1.2226969293175058
YBL063W	0.0011939230530423103	0.062245231594585504	0.1369573269414653	-1.1655302804719618	-0.8906163365042853	0.6825085619434442
YBL064C	0.13884377981694554	-0.04069811770420448	-0.025440033816701676	-1.6123110283018074	-0.956086920482265	0.8060608702381157
YBL065W	0.03295927461394305	-0.008311446014697969	-0.0409557052267195	-1.392465808064355	-1.0590210360421215	0.8660622371163738
YBL066C	-0.03233617026124117	0.06687189897880269	-0.01819938715869619	-1.099839876309315	-0.7091491494947368	0.6716339588951579
YBL067C	-0.14263252984770097	-0.3541548329847944	-0.5984854978932963	-0.7028485184682385	-0.23730415581018802	1.3774759555172507
YBL068W	0.07619544757183494	0.20104525312104454	0.13385419265946277	-1.1497305006333958	-0.572786542683659	0.44170356383881176
YBL069W	0.1917860324184458	-0.054578119856850515	-0.2292125183349136	-0.824226334643875	-0.8162144220159894	0.7496679884429893
YBL070C	0.1873741780349885	0.005568556137949457	-0.17439047935285554	-1.1409989025277167	-0.8785561373788252	0.6765034392556211
YBL071C	-0.2502817768040862	-0.4362781790546146	-0.8870769861195913	-0.9084641342418787	-0.6377225214612339	1.7045858517561705
YBL072C	0.4106140098379827	1.0916787245824935	0.9086033850662647	-0.517284530303128	-0.18344581902831067	0.5905260374068259
YBL075C	0.19884499943197964	-0.15289480177142606	-0.3492003772390378	-1.0103422663123047	-0.7522393633987904	0.8764766686222302
YBL078C	-0.1470443842311602	-0.2419581489175714	-0.4185037095371094	-0.7374272513719281	-0.8762370371603714	0.9245195600784454
YBL079W	-0.8847064371454054	-1.4113483302779932	-1.354615884608078	-1.630022742825067	-0.5536876011274543	1.4401532755019923
YBL080C	-0.124102741437176	-0.31945482760317717	-0.23541878689891868	-1.0917044450766213	-1.4563617704055418	0.2943731092254682
YBL081W	-0.11704377442364315	-0.34027483083214555	-0.3088596315729971	-1.075298393635134	-0.993273356980801	1.163651541789869
YBL082C	-1.425599784557406	-0.43280817851645204	-0.2374875430869208	0.7759880575842476	-0.6421171652307475	0.36189863373567505
YBL083C	-1.6753107426611518	-0.5345948609691887	-0.6812357454133785	-0.42298922207174516	0.7506474842734964	0.8684164104684412
YBL085W	0.0726659640650685	-0.10547146108321888	-0.17542485744685596	-0.6756882971112054	-0.5280622331320549	0.8199041361048673
YBL086C	0.4662033750695585	0.39420861641203725	-0.07715893851675723	-0.5897052107828535	-0.5895544325318157	0.8537055785423717
YBL087C	-0.2564583729409291	-0.48485818658887503	-0.26127823924894583	-0.6729570615134068	-0.8460638985932507	1.088429536217963
YBL088C	0.3470833067161831	0.3028319355737854	0.04076016419936613	-0.9135055680402787	-0.9996366204726205	0.61537298741993
YBL089W	0.4097316389612918	0.3687619457988503	0.09868533746342546	-1.0909200218872435	-0.8832416935816778	0.6083666032501972
YBL090W	0.08766626896882702	-0.18065480607671677	-0.17749361363485808	-1.2117060712293184	-1.6355747590821181	0.4351600618108387
YBL091C	0.2306103509928794	-0.009468112860751228	-0.005786850030680902	-0.9547820863852067	-0.9909661802949064	0.8944318498236447
YBL091C-A	0.254355972477201	0.10591763435650924	0.43553444269272634	-0.02294218592683456	0.10572538104932404	-0.8470943944786552
YBL093C	-0.6861385643453203	-1.199543409218602	-0.8504147475503434		0.26552465424259414	-0.9346645978860832
YBL094C	0.0744307058184522	0.040268561519562485	-0.00371809384268007	-1.003791766184128	-1.2025813860699328	0.6339988083898057
YBL095W	0.4864382064393743	0.07930143832245413	0.2736587963857195	0.07547488180958711	0.05174079198829268	-0.6321882746106021
YBL096C	0.18604144393188288	-3.7382215357049575	0.37327457872849323	0.07520424395413379	0.08451314120822281	-0.4892796852584437
YBL098W	-0.10218971760178452	-3.881442019126305	0.2080029398416196	0.03149813188744405	0.1456138857959333	0.5168528045621195
YBL099W	-0.4914889487641426	-0.9764743376950881	0.14800707093063184			
YBL100C	0.02414536943407594	-0.4948479332693182	0.16498703382996815		0.11770434899528447	-0.3727427707153063
YBL101C	0.22534569323192882	0.45446305861199937	0.5713741458874168	0.10004012722490585	0.03882748483894036	-0.4061848539818054
YBL102W	0.18229818209378437	0.06409218344585003	0.13668709566440765	-0.02311864200679885	0.08137881847047992	0.1435793184286482
YBL103C	-1.615403315653544	-2.8256662431087647	-2.142023925426525	0.025838173842130222	0.09965291073781915	-0.7517505560989988
YBL104C	0.5931211688252128	1.1046587045867853	0.358558610882401	0.024792999095319516	-0.030087880555304578	-0.9446226037578599
YBL106C	0.20288612220333196	0.11352226179480991	0.08574720696639873	0.08474295491454846	0.05090526271045456	-0.26387587047345507
YBL107C	0.6165165553133362	0.1642197780501546	0.35969060840902367	0.09481654733925453	0.026450819895358198	-0.3050859529863544
YBR001C	-0.16021027609232882	0.11225482388842646	0.2736587963857195	0.14166291032879127	0.08993306109438057	0.10057484193172414
