ORF	hom | growth (relative abundance in pooled culture) | MUC7 peptide [10 uM] | Lis M~Bobek LA, 2013	hom | growth (relative abundance in pooled culture) | histatin 12-mer [20 uM] | Lis M~Bobek LA, 2013	hom | growth (relative abundance in pooled culture) | cathelicidin KR20 [10 uM] | Lis M~Bobek LA, 2013	hom | growth (relative abundance in pooled culture) | lactoferricin aa 1-11 [12 uM] | Lis M~Bobek LA, 2013	het | growth (relative abundance in pooled culture) | MUC7 peptide [10 uM] | Lis M~Bobek LA, 2013	het | growth (relative abundance in pooled culture) | histatin 12-mer [20 uM] | Lis M~Bobek LA, 2013	het | growth (relative abundance in pooled culture) | cathelicidin KR20 [10 uM] | Lis M~Bobek LA, 2013	het | growth (relative abundance in pooled culture) | lactoferricin aa 1-11 [12 uM] | Lis M~Bobek LA, 2013
YDL084W	NaN	NaN	NaN	NaN	-0.284	0.048	-0.138	-0.022
YDL085W	0.139	-0.107	0.414	0.070	NaN	NaN	NaN	NaN
YDL086W	-0.062	0.758	0.064	0.807	NaN	NaN	NaN	NaN
YDL087C	NaN	NaN	NaN	NaN	-0.007	-0.086	0.097	0.230
YDL088C	0.040	-0.249	-0.837	-0.102	NaN	NaN	NaN	NaN
YDL089W	0.542	0.399	0.115	0.050	NaN	NaN	NaN	NaN
YDL090C	0.111	0.467	-0.169	0.697	NaN	NaN	NaN	NaN
YDL091C	0.018	-0.025	-0.333	-0.025	NaN	NaN	NaN	NaN
YDL092W	NaN	NaN	NaN	NaN	0.024	-0.050	0.348	-0.149
YDL093W	0.484	0.198	0.370	-0.031	NaN	NaN	NaN	NaN
YDL094C	-0.399	-0.744	-1.726	-0.271	NaN	NaN	NaN	NaN
YDL095W	-0.120	0.039	-0.326	-0.909	NaN	NaN	NaN	NaN
YDL096C	-0.297	0.057	-0.199	-0.815	NaN	NaN	NaN	NaN
YDL097C	NaN	NaN	NaN	NaN	0.236	-0.174	0.125	-0.001
YDL098C	NaN	NaN	NaN	NaN	-0.166	0.170	0.191	-0.183
YDL099W	0.091	-0.047	-0.206	-0.240	NaN	NaN	NaN	NaN
YDL100C	-0.113	0.240	-0.072	-0.016	NaN	NaN	NaN	NaN
YDL101C	0.154	0.591	0.288	-0.597	NaN	NaN	NaN	NaN
YDL102W	NaN	NaN	NaN	NaN	0.013	-0.379	0.376	0.013
YDL103C	NaN	NaN	NaN	NaN	-0.066	-0.124	0.305	-0.080
YDL104C	0.321	0.362	0.385	0.186	NaN	NaN	NaN	NaN
YDL105W	NaN	NaN	NaN	NaN	-0.138	-0.174	0.192	-0.313
YDL106C	-0.076	0.222	0.229	0.066	NaN	NaN	NaN	NaN
YDL107W	0.267	-0.219	0.047	0.413	NaN	NaN	NaN	NaN
YDL108W	NaN	NaN	NaN	NaN	0.000	0.166	0.131	-0.288
YDL109C	-0.029	-0.030	-0.410	0.131	NaN	NaN	NaN	NaN
YDL110C	0.363	0.100	0.035	-0.288	NaN	NaN	NaN	NaN
YDL111C	NaN	NaN	NaN	NaN	0.228	0.174	0.407	-0.364
YDL112W	0.178	0.162	0.036	0.504	NaN	NaN	NaN	NaN
YDL113C	0.108	-0.017	-0.221	-0.012	NaN	NaN	NaN	NaN
YDL114W	0.366	0.017	-0.611	0.280	NaN	NaN	NaN	NaN
YDL115C	-0.250	0.068	-0.060	0.158	NaN	NaN	NaN	NaN
YDL116W	0.420	0.528	0.509	-0.210	NaN	NaN	NaN	NaN
YDL117W	-0.033	0.040	0.043	-0.804	NaN	NaN	NaN	NaN
YDL118W	1.028	0.096	0.578	1.511	NaN	NaN	NaN	NaN
YDL119C	0.705	-0.239	-0.696	0.739	NaN	NaN	NaN	NaN
YDL120W	NaN	NaN	NaN	NaN	-0.305	0.151	0.000	-0.720
YDL121C	-0.050	0.115	0.356	-0.080	NaN	NaN	NaN	NaN
YDL122W	-0.117	0.331	-0.203	0.064	NaN	NaN	NaN	NaN
YDL123W	0.272	0.037	0.091	0.304	NaN	NaN	NaN	NaN
YDL124W	0.203	-0.102	0.475	0.111	NaN	NaN	NaN	NaN
YDL125C	-0.163	0.262	-0.378	-0.927	NaN	NaN	NaN	NaN
YDL126C	NaN	NaN	NaN	NaN	-0.047	0.498	-0.418	-0.131
YDL127W	0.081	-0.041	-0.229	0.439	NaN	NaN	NaN	NaN
YDL128W	0.142	-0.181	-0.309	-0.349	NaN	NaN	NaN	NaN
YDL129W	-0.310	0.034	0.086	-0.142	NaN	NaN	NaN	NaN
YDL130W	-0.300	0.388	0.140	-0.169	NaN	NaN	NaN	NaN
YDL130W-A	-0.033	-0.411	-0.030	-0.154	NaN	NaN	NaN	NaN
YDL131W	-0.217	-0.030	-0.172	0.511	NaN	NaN	NaN	NaN
YDL132W	NaN	NaN	NaN	NaN	0.061	-0.236	-0.054	-0.194
YDL133C-A	-0.037	0.207	-0.217	0.246	NaN	NaN	NaN	NaN
YDL133W	0.137	0.106	0.303	-0.451	NaN	NaN	NaN	NaN
YDL134C	-0.188	-0.388	0.123	0.152	NaN	NaN	NaN	NaN
YDL135C	-0.381	0.229	0.124	0.198	NaN	NaN	NaN	NaN
YDL136W	0.064	0.331	0.079	-0.076	NaN	NaN	NaN	NaN
YDL137W	-0.150	0.417	0.094	0.259	NaN	NaN	NaN	NaN
YDL138W	-0.325	0.219	-0.171	-0.642	NaN	NaN	NaN	NaN
YDL139C	NaN	NaN	NaN	NaN	-0.044	0.562	-0.164	-0.120
YDL140C	NaN	NaN	NaN	NaN	-0.262	-0.015	-0.365	-0.100
YDL141W	NaN	NaN	NaN	NaN	0.056	-0.082	-0.222	-0.340
YDL142C	0.343	0.144	-0.232	0.141	NaN	NaN	NaN	NaN
YDL143W	NaN	NaN	NaN	NaN	0.549	0.333	0.093	0.630
YDL144C	0.295	-0.125	-0.460	0.056	NaN	NaN	NaN	NaN
YDL145C	NaN	NaN	NaN	NaN	-0.221	-0.045	-0.432	-0.513
YDL146W	-0.096	-0.083	0.173	-0.038	NaN	NaN	NaN	NaN
YDL147W	NaN	NaN	NaN	NaN	-1.471	-1.825	-1.050	-0.412
YDL148C	NaN	NaN	NaN	NaN	-0.775	-0.944	-1.052	-0.348
YDL149W	0.567	-0.210	-0.185	0.040	NaN	NaN	NaN	NaN
YDL150W	NaN	NaN	NaN	NaN	-0.591	-0.125	0.330	0.005
YDL151C	0.211	0.185	0.285	0.435	NaN	NaN	NaN	NaN
