orf	hom | growth (pooled culture, barseq) | POTASSIUM METABISULFITE [60 mg/L] | SD + His + Leu + Ura | Valero E~Gonzalez R, 2020
YBR171W	-3.3226352
YBR172C	2.2216907
YBR173C	-3.1161852
YBR174C	-4.438114
YBR175W	-2.4087918
YBR176W	-1.3183948
YBR177C	-2.5344975
YBR178W	-2.373758
YBR179C	-3.8372045
YBR180W	-1.7662339
YBR181C	-2.3301864
YBR182C	-1.4189099
YBR182C-A	-1.6958299
YBR183W	-2.4838603
YBR184W	-2.1482542
YBR185C	-2.4550545
YBR186W	-2.1333625
YBR187W	-1.5658319
YBR188C	-1.9321615
YBR189W	29.083769
YBR191W	29.083769
YBR194W	-1.9128848
YBR195C	-3.3026912
YBR196C-A	29.083769
YBR196C-B	0.35077924
YBR197C	-1.9080259
YBR199W	-1.8856872
YBR200W	29.083769
YBR200W-A	-1.7891948
YBR201W	-1.5024619
YBR203W	-3.560396
YBR204C	-1.6708692
YBR205W	-1.9913799
YBR206W	-1.7960749
YBR207W	-2.3653738
YBR208C	-2.6626525
YBR209W	29.083769
YBR210W	-2.5348828
YBR212W	-1.0276681
YBR213W	0.62825125
YBR214W	-2.2430642
YBR215W	-2.155977
YBR216C	-2.193333
YBR217W	-4.621809
YBR218C	-0.60008186
YBR219C	-1.9694477
YBR220C	-2.930117
YBR221C	-1.6762501
YBR221W-A	-1.2831086
YBR222C	-1.7276446
YBR223C	-1.8883345
YBR224W	-1.9830085
YBR225W	-4.095692
YBR226C	-3.4383378
YBR227C	-1.5868984
YBR228W	-1.6619014
YBR229C	-3.1581726
YBR230C	-1.5226893
YBR230W-A	-2.7794816
YBR231C	-5.6251945
YBR232C	-1.8279209
YBR233W	-2.007753
YBR235W	-1.2913908
YBR238C	-3.2885673
YBR239C	-2.227209
YBR240C	-2.2029917
YBR241C	-2.040864
YBR242W	-2.1749785
YBR244W	-1.5454599
YBR245C	-1.3962873
YBR246W	-0.39351714
YBR248C	-1.6056165
YBR249C	-1.8132527
YBR250W	-2.1213276
YBR251W	-3.6006062
YBR255W	-1.5856769
YBR258C	-4.854162
YBR259W	-2.2927616
YBR260C	-1.7886199
YBR261C	-2.5378354
YBR262C	0.1638812
YBR263W	-1.7756641
YBR264C	-2.5009952
YBR266C	-0.73766786
YBR267W	29.083769
YBR268W	29.083769
YBR269C	1.1052765
YBR270C	-2.9607065
YBR271W	-2.53123
YBR272C	-2.1030636
YBR273C	-1.9732368
YBR274W	29.083769
YBR275C	-1.6770518
YBR276C	-1.90907
YBR277C	1.6152048
YBR278W	1.8707455
YBR279W	29.083769
YBR280C	29.083769
YBR281C	1.5377786
YBR282W	4.124865
YBR283C	-4.3269963
YBR284W	-0.026129838
YBR285W	29.083769
YBR286W	1.3129504
YBR287W	-1.6015308
YBR288C	-0.93359137
YBR289W	29.083769
YBR290W	-4.524257
YBR291C	-0.40191787
YBR292C	0.6636672
YBR293W	-2.521088
YBR294W	-1.7750739
YBR295W	1.4202766
YBR296C	1.3422397
YBR296C-A	-1.3741487
YBR297W	1.1679554
YBR298C	2.2378395
YBR299W	-0.43069276
YBR300C	1.2836558
YBR301W	-2.1913497
YCL001W	-2.4320781
YCL001W-A	1.6792281
YCL001W-B	0.14760405
YCL002C	1.584259
YCL005W	-5.147053
YCL005W-A	29.083769
YCL006C	-2.246901
YCL007C	29.083769
YCL008C	-3.3699462
YCL009C	-1.5045264
YCL010C	-2.0006995
YCL011C	-4.059594
YCL012C	-2.1392682
YCL013W	-2.207729
YCL014W	-1.9212496
YCL016C	29.083769
YCL021W-A	-3.1002204
YCL022C	-1.8376054
YCL023C	-0.5571695
YCL024W	-2.151121
YCL025C	-1.1172118
YCL026C	-0.96202236
YCL026C-A	-2.0341926
YCL026C-B	-1.860526
YCL027W	-2.8995287
YCL028W	-0.98365426
YCL029C	-1.1886852
YCL030C	-2.2932887
YCL032W	-0.614443
YCL033C	-1.1308488
YCL034W	-1.4112548
YCL035C	-1.7871834
YCL036W	-1.3077614
YCL037C	-1.6255027
YCL038C	-2.7560515
YCL039W	-2.7532618
YCL040W	-2.2003784
YCL041C	29.083769
YCL042W	-3.3188162
YCL044C	-1.3742219
YCL045C	-3.6401298
YCL046W	-3.585659
YCL047C	-1.6753196
YCL048W	-1.9447391
YCL049C	-2.368133
YCL050C	-0.8216562
YCL051W	-0.92466134
YCL055W	-0.26925698
YCL056C	-2.1444185
YCL057C-A	-3.2707925
YCL057W	-2.692119
YCL058C	-2.875165
YCL061C	0.8438726999999999
YCL063W	-2.07447925
YCL064C	-2.0584288
YCL069W	-1.6283954
YCL074W	-1.5904648
YCL075W	-2.0124514
YCL076W	-0.70252496
YCR001W	-2.1487927
YCR002C	-0.73766625
YCR003W	1.2886865
YCR004C	-2.7190568
YCR005C	-2.0642455
YCR006C	-1.8565178
YCR007C	-2.369939
YCR008W	-4.6801915
YCR009C	29.083769
YCR010C	-1.9670264
YCR011C	-1.6431152
YCR014C	-1.749697
YCR015C	-2.1961112
YCR016W	-2.3202913
YCR017C	-5.3582644
YCR019W	-0.16868912
YCR020C	-2.8755496
YCR020C-A	2.6668794
YCR020W-B	-4.059595
YCR021C	-1.5055993
YCR022C	-2.5111678
YCR023C	-2.346537
YCR024C	2.5276744
YCR024C-A	1.1879737
YCR025C	0.65031683
YCR026C	0.8547148
YCR027C	0.87073326
YCR028C	-0.6251676
YCR028C-A	-1.3690981
YCR030C	-1.5537069
YCR031C	-1.0739309
YCR032W	-7.2198687
YCR033W	-2.128679
YCR034W	-2.9230356
YCR036W	1.2349316
YCR037C	-2.0392904
YCR043C	-1.1002338
YCR044C	-0.5161272
YCR045C	1.4358102
YCR046C	0.78014266
YCR047C	29.083769
YCR048W	-2.2391021
YCR049C	1.1162755
YCR050C	2.0656786
YCR051W	1.2754388
YCR053W	29.083769
YCR059C	1.822599
YCR060W	-1.6313173
YCR061W	-2.0148333
YCR063W	29.083769
YCR064C	29.083769
YCR065W	-2.8751826
YCR066W	-2.5367765
YCR067C	-1.7877748
YCR068W	0.5520226
YCR069W	-2.1094134
YCR071C	-0.80805147
YCR073C	-1.503199
YCR073W-A	-1.1775385
YCR075C	-1.9164034
YCR075W-A	-1.1274687
YCR076C	-1.3442717
YCR077C	-5.762258
YCR079W	1.6854041
YCR081W	1.073599
YCR082W	-2.9161916
YCR083W	-2.2093594
YCR084C	-4.7164855
YCR085W	1.156743
YCR086W	2.0374336
YCR087C-A	1.4042336
YCR087W	2.1535413
YCR088W	-1.8897433
YCR089W	-1.7554934
YCR090C	-1.8199034
YCR091W	-2.0897017
YCR092C	-2.154289
YCR094W	-2.3294306
YCR095C	0.68340826
YCR095W-A	-2.0660896
YCR098C	-2.5298471
YCR099C	-1.7519846
YCR100C	-2.1442325
YCR101C	-1.7276218
YCR102C	-1.3656975
YCR102W-A	-2.2872221
YCR105W	-1.8892573
YCR106W	-1.8337369
YCR107W	-2.3385687
YDL001W	-2.6636689
YDL002C	29.083769
YDL005C	29.083769
YDL006W	29.083769
YDL009C	29.083769
YDL010W	-2.122685
YDL011C	-1.8080609
YDL012C	-1.1477938
YDL013W	29.083769
YDL018C	-1.5516546
YDL019C	-2.2230945
YDL020C	29.083769
YDL021W	1.5842586
YDL022W	29.083769
YDL023C	4.471784
YDL024C	-0.827365
YDL025C	-0.3652796
YDL026W	-2.5400584
YDL027C	-2.9182506
YDL032W	-2.8080623
YDL033C	1.0931113
YDL034W	-0.5331916
YDL035C	29.083769
YDL036C	-4.17063
YDL037C	1.9665031
YDL039C	-0.5216185200000001
YDL040C	29.083769
YDL041W	29.083769
YDL042C	29.083769
YDL044C	1.3376111
YDL045W-A	30.820734
YDL046W	-0.9929244
YDL047W	29.083769
YDL048C	-2.1212444
YDL049C	1.8380136
YDL050C	-2.1381962
YDL051W	-0.80805963
YDL052C	-1.2924714
YDL053C	-1.8953408
YDL054C	-1.6279602
YDL056W	2.6290443
YDL057W	-2.1125987
YDL059C	-1.9517914
YDL061C	-2.425728
YDL062W	-0.70113736
YDL063C	-1.1933529
YDL065C	-2.0007005
YDL066W	-0.9500733
YDL067C	1.9602913
YDL068W	0.9321738
YDL069C	0.34129977
YDL070W	-2.3081403
YDL071C	-1.5116651
YDL072C	-0.59241784
YDL073W	-1.033131
YDL074C	29.083769
YDL075W	29.083769
YDL076C	-1.3511859
YDL077C	29.083769
YDL078C	-2.5960813
YDL079C	-1.3941814
YDL080C	-2.918235
YDL081C	2.3212411
YDL082W	-0.41573882
YDL083C	-1.2231039
YDL085C-A	-1.2230914
YDL085W	-2.0160825
YDL086W	-2.1050384
YDL088C	-2.4126809
YDL089W	0.62198925
YDL090C	29.083769
YDL091C	-1.7448648
YDL093W	-3.1161904
YDL094C	2.2432542
YDL095W	-2.0958498
YDL096C	-4.2583895
YDL099W	-1.428569
YDL100C	-3.1845138
YDL101C	29.083769
YDL104C	-1.3368291
YDL106C	-2.5765717
YDL107W	-1.8920004
YDL109C	-1.7961369
YDL110C	-2.2733443
YDL112W	-2.1776793
YDL113C	-2.7417827
YDL114W	-1.6827846
YDL115C	-2.6636765
YDL116W	-3.6180873
YDL117W	-0.0007000946
YDL118W	-3.2078536
YDL119C	-4.0418577
YDL121C	-1.2157012
YDL122W	-1.1611671
YDL123W	-2.1729546
YDL124W	-1.6099577
YDL125C	-1.0713478
YDL127W	-2.2768302
YDL128W	-1.6982282
YDL129W	-2.2863917
YDL130W	-1.3953379
YDL130W-A	-2.0895116
YDL131W	-2.8968573
YDL133C-A	-1.85528115
YDL133W	29.083769
YDL134C	-1.8080648
YDL135C	-2.3369875
YDL136W	-3.0343974
YDL137W	-2.0865026
YDL138W	-3.0087974
YDL142C	-3.096626
YDL144C	-1.3448629
YDL146W	29.083769
YDL149W	-5.0399117
YDL151C	1.191939
YDL154W	-1.6294856
YDL155W	-1.462476
YDL156W	-1.3365922
YDL157C	-2.1317458
YDL158C	29.083769
YDL159W	29.083769
YDL159W-A	-1.7376683
YDL160C	0.58425975
YDL160C-A	-2.7965744
YDL161W	-2.3634048
YDL162C	-1.1824459
YDL167C	-1.6639427
YDL168W	-1.9879911
YDL169C	-2.0063233
YDL170W	-1.8577919
YDL171C	-2.2800884
YDL172C	-0.00070200546
YDL173W	-0.41574043
YDL174C	-1.8677394
YDL175C	29.083769
YDL176W	-1.8859568
YDL177C	-1.5257751
YDL178W	-1.3042604
YDL179W	-2.0297112
YDL180W	-1.4439658
YDL181W	29.083769
YDL182W	-3.2325363
YDL183C	-2.7048476
YDL184C	-1.7039453
YDL185W	29.083769
YDL186W	-1.9064133
YDL187C	-1.6309696
YDL188C	-1.7095499
YDL189W	0.60934955
YDL190C	-3.4634998
YDL191W	29.083769
YDL192W	-0.7376753
YDL194W	-3.4067056
YDL197C	-1.9045815
YDL198C	29.083769
YDL199C	-2.0734959
YDL200C	-1.6021955
YDL201W	-3.0092075
YDL202W	-4.6589284
YDL203C	0.22878814
YDL204W	-1.9363346
YDL206W	-2.1239386
YDL210W	-1.8682688
YDL211C	-1.6494589
YDL213C	-1.4157392
YDL214C	-2.5165906
YDL215C	-1.2626828
YDL216C	-0.22750002
YDL218W	-2.1045167
YDL219W	-1.181271
YDL222C	-1.778635
YDL223C	-1.7058448
YDL224C	-0.87089455
YDL225W	-2.7444477
YDL226C	-3.6663008
YDL227C	-1.9739596
YDL229W	-2.0063422
YDL230W	-2.8640327
YDL231C	-1.5977427
YDL232W	29.083769
YDL233W	-1.614961
YDL234C	-1.8080598
YDL236W	-2.4260762
YDL237W	-1.7107927
YDL238C	-1.8961473
YDL239C	-2.0221004
YDL240W	-1.5158223
YDL241W	-1.3484085
YDL242W	-1.8565828
YDL243C	-1.5171535
YDR001C	-2.0393152
YDR003W	-2.1472275
YDR003W-A	-0.667278
YDR004W	-2.520092
YDR005C	-0.7376753
YDR006C	0.51969975
YDR007W	29.083769
YDR008C	29.083769
YDR009W	-1.8218329
YDR010C	-2.3812997
YDR011W	-2.4753573
YDR014W	-0.6787724
YDR015C	-1.3347278
YDR017C	2.5436082
YDR018C	-1.8988186
YDR019C	-2.7244728
YDR020C	0.2216772
YDR022C	-2.6231105
YDR024W	-1.281813
YDR025W	-0.27546018
YDR026C	-2.6256142
YDR027C	29.083769
YDR028C	-3.585668
YDR029W	-2.6015978
YDR030C	-1.5047193
YDR031W	-1.3607612
YDR032C	-2.232325
YDR033W	-2.434597
YDR034C	29.083769
YDR034W-B	-0.4157283
YDR035W	-1.5735472
YDR036C	-2.0730705
YDR042C	-1.5080531
YDR043C	-3.1706245
YDR046C	-1.5950947
YDR048C	-6.4381056
YDR049W	-5.899563
YDR051C	-2.3097425
YDR055W	-2.7121978
YDR056C	-2.0177672
YDR057W	-2.4787388
YDR058C	-1.6198844
YDR059C	-1.308547
YDR061W	-1.6266397
YDR063W	-2.0606678
YDR065W	1.0065637
YDR066C	-1.4486802
YDR067C	0.9683525
YDR068W	-2.0623436
YDR069C	29.083769
YDR070C	-1.7864287
YDR071C	-5.184304
YDR072C	-0.9489973
YDR073W	-3.8080697
YDR074W	-2.4861262
YDR075W	-2.6332474
YDR076W	-2.2401736
YDR077W	-2.1610277
YDR078C	-1.4757482
YDR079C-A	29.083769
YDR079W	-1.413659
YDR080W	-3.737671
YDR083W	-1.7849733
YDR084C	-1.8815999
YDR085C	-1.6770378
YDR089W	-2.70192
YDR090C	29.083769
YDR092W	-0.88375497
YDR093W	-1.6979648
YDR094W	-1.5577519
YDR095C	-1.3639163
YDR096W	2.151008
YDR097C	-1.4786217
YDR098C	-2.7551248
YDR099W	-2.1213334
YDR100W	-1.8757876
YDR101C	-1.6619
YDR102C	-2.1617172
YDR103W	29.083769
YDR104C	-1.5019736
YDR105C	-0.921931
YDR107C	-1.8101006
YDR108W	1.123842
YDR109C	-1.8139794
YDR110W	-1.4486419
YDR111C	-1.5356905
YDR112W	-2.1013005
YDR114C	-3.0262396
YDR115W	1.3011816
YDR116C	-2.6442606
YDR117C	-2.0618916
YDR119W	-1.1670583
YDR120C	-0.76319265
YDR121W	0.82346
YDR122W	-0.6281798
YDR123C	-0.7590748
YDR124W	-1.7678888
YDR125C	-1.4630919
YDR126W	-0.8548465
YDR127W	29.083769
YDR128W	-1.0743577
YDR129C	29.083769
YDR130C	-2.1434298
YDR131C	-1.4594897
YDR132C	-1.4182398
YDR133C	-1.6667746
YDR134C	-1.2616477
YDR135C	-1.9545058
YDR136C	-1.6997696
YDR137W	-1.8141055
YDR138W	29.083769
YDR139C	-1.563492
YDR140W	2.4587293
YDR142C	-0.9715496
YDR143C	-1.4003037
YDR144C	-1.6841358
YDR146C	-1.9289565
YDR147W	-0.63678604
YDR148C	-2.0458682
YDR149C	29.083769
YDR150W	-0.7891957
YDR151C	-2.3155677
YDR152W	-1.5614103
YDR153C	-1.4751363
YDR154C	0.3325086
YDR155C	0.37007967
YDR156W	-0.123617195
YDR157W	-1.0881523
YDR158W	29.083769
YDR159W	29.083769
YDR161W	-2.3479207
YDR162C	-5.8995605
YDR163W	-3.460126
YDR165W	-5.9471307
YDR169C	-2.1649554
YDR169C-A	-1.152716
YDR171W	-2.2539237
YDR173C	29.083769
YDR174W	29.083769
YDR175C	-2.875177
YDR176W	29.083769
YDR178W	-2.7614992
YDR179C	1.4305767
YDR179W-A	-1.9344352
YDR181C	-1.0099987
YDR182W-A	-1.1986529
YDR183W	-0.8402383
YDR184C	-1.9191196
YDR185C	-2.013024
YDR186C	-2.2353983
YDR191W	-2.4309921
YDR192C	-0.17255741
YDR193W	-1.3511299
YDR194C	29.083769
YDR194W-A	-1.9371378
YDR195W	-1.8335967
YDR197W	-5.701146
YDR198C	-1.8728471
YDR199W	-0.5481822
YDR200C	0.22168739
YDR202C	-2.0006886
YDR203W	-3.0344377
YDR204W	-3.4157395
YDR205W	-1.2223064
YDR206W	-0.98122
YDR207C	29.083769
YDR209C	-1.0937449
YDR210W	-1.6196126
YDR213W	-1.4245698
YDR214W	-1.53159
YDR215C	-1.7036948
YDR216W	-2.2049248
YDR217C	-1.4697777
YDR218C	-1.623951
YDR219C	-1.914973
YDR220C	-1.4437541
YDR221W	-2.1115723
YDR222W	-0.5838148
YDR223W	-2.1036196
YDR225W	-1.1404239
YDR226W	0.24723235
YDR227W	29.083769
YDR229W	-2.2406843
YDR230W	-3.3930197
YDR231C	-3.1002464
YDR233C	-1.5152676
YDR234W	29.820736
YDR237W	-1.1706238
YDR239C	-2.4965901
YDR241W	-1.225673
YDR242W	14.085268785
YDR244W	-0.77392554
YDR245W	29.083769
YDR246W-A	-2.7927094
YDR247W	-2.3930151
YDR248C	-1.8176092
YDR249C	-1.4604478
YDR250C	-2.057631
YDR251W	29.083769
YDR252W	-2.1773634
YDR253C	-4.3351197
YDR254W	-1.2790873
YDR255C	-4.6707587
YDR256C	-1.7906735
YDR257C	-3.6834602
YDR258C	-2.2476065
YDR259C	-1.1204488
YDR260C	-3.3168437
YDR261C	-1.4795532
YDR262W	-1.7476356
YDR263C	-1.8510408
YDR264C	29.083769
YDR265W	-2.5304317
YDR266C	-5.6279726
YDR268W	0.046601105
YDR269C	-2.1933568
YDR270W	-2.4493222
YDR271C	-1.7376794
YDR272W	-2.2945826
YDR273W	-1.5498234
YDR274C	-2.1365123
YDR275W	-1.6158313
YDR276C	-2.7096517
YDR277C	-1.6828989
YDR278C	-1.8433156
YDR279W	-1.3505565
YDR281C	-0.8352894
YDR282C	-0.0020726984
YDR283C	-5.426973
YDR284C	0.93951386
YDR285W	-1.2770278
YDR286C	-1.6589081
YDR287W	-2.0891721
YDR289C	29.083769
YDR290W	29.083769
YDR291W	-0.8979585
YDR293C	-0.70113784
YDR294C	-2.2031212
YDR295C	-0.32500127
YDR296W	0.06538811
YDR297W	-2.2396555
YDR298C	-1.2595896
YDR300C	29.083769
YDR304C	-1.4684027
YDR305C	-1.4731016
YDR306C	-1.7737935
YDR307W	0.02847228
YDR309C	-2.8582935
YDR310C	0.76822215
YDR312W	-2.2115917
YDR313C	-1.5338713
YDR314C	-1.4635885
YDR315C	-4.5450306
YDR316W	-2.0105095
YDR317W	1.4087758
YDR318W	-1.7783118
YDR319C	-2.056627
YDR320C	-4.369941
YDR321W	-1.941675
YDR322C-A	-1.9132239
YDR322W	-1.8354349
YDR323C	29.083769
YDR326C	-2.5587103
YDR329C	-2.475384
YDR330W	-1.953076
YDR332W	-1.2259932
YDR333C	-4.3374043
YDR334W	-6.3523793
YDR335W	-2.3658981
YDR336W	-1.6254122
YDR337W	-1.5915716
YDR338C	-1.7971114
YDR340W	-1.8635933
YDR344C	-1.3990926
YDR345C	-1.6816856
YDR346C	-0.9489692
YDR347W	0.6773655
YDR348C	-1.16246
YDR349C	-2.661014
YDR350C	29.083769
YDR351W	-2.3894663
YDR352W	-1.6370621
YDR354W	29.083769
YDR357C	-2.16229
YDR358W	-1.3205884
YDR359C	29.083769
YDR360W	-5.7149563
YDR363W	-1.2851554
YDR363W-A	-1.6272466
YDR364C	29.083769
YDR368W	-0.8583216
YDR369C	29.083769
YDR370C	-1.803246
YDR371W	-1.4755979
YDR372C	-4.02781
YDR374C	-1.8738459
YDR375C	-3.5856655
YDR377W	-0.223092
YDR378C	-6.489883
YDR379C-A	-2.6121376
YDR379W	-2.083049
YDR380W	-1.0887827
YDR382W	29.083769
YDR383C	-1.2628561
YDR384C	-1.5402192
YDR385W	-1.1927067
YDR386W	-0.76852405
YDR387C	-1.6470006
YDR388W	-2.6222045
YDR389W	-6.9855976
YDR391C	-1.7555811
YDR392W	0.58425975
YDR393W	-1.2122134
YDR395W	-6.16776
YDR399W	-1.7186717
YDR400W	-1.5003457
