orf	hom | growth (pooled culture, barseq) | POTASSIUM METABISULFITE [60 mg/L] | SD + His + Leu + Ura | Valero E~Gonzalez R, 2020
YBR239C	-0.031725365751401155
YBR240C	-0.029296482132052947
YBR241C	-0.01303582075474835
YBR242W	-0.026486887230659097
YBR244W	0.03665092811684077
YBR245C	0.05161225264912061
YBR246W	0.15218547987078318
YBR248C	0.030617498282148974
YBR249C	0.009792544015417926
YBR250W	-0.021105949133790814
YBR251W	-0.16947077758255807
YBR255W	0.03261734829913499
YBR258C	-0.2951966491107186
YBR259W	-0.0382999895263754
YBR260C	0.012263100370531016
YBR261C	-0.06287976259568602
YBR262C	0.20808996540293895
YBR263W	0.013562507422330825
YBR264C	-0.05918486026084642
YBR266C	0.1176687481791872
YBR267W	3.108621475968019
YBR268W	3.108621475968019
YBR269C	0.3025075769245115
YBR270C	-0.10529178573145065
YBR271W	-0.06221727140718676
YBR272C	-0.019274154077208328
YBR273C	-0.0062531241575891185
YBR274W	3.108621475968019
YBR275C	0.023452866799150277
YBR276C	0.00018251026185448922
YBR277C	0.35365103614218124
YBR278W	0.3792805910598133
YBR279W	3.108621475968019
YBR280C	3.108621475968019
YBR281C	0.34588554498964247
YBR282W	0.6053583920369389
YBR283C	-0.2423243580868545
YBR284W	0.18903273368455797
YBR285W	3.108621475968019
YBR286W	0.3233363123275563
YBR287W	0.031027275169067465
YBR288C	0.09801852275834332
YBR289W	3.108621475968019
YBR290W	-0.2621086975041784
YBR291C	0.15134292535448418
YBR292C	0.25821619865683415
YBR293W	-0.06120007553203022
YBR294W	0.013621701763241631
YBR295W	0.3341006357288805
YBR296C	0.3262738941798757
YBR296C-A	0.05383265223517282
YBR297W	0.30879398182880574
YBR298C	0.4160984280342493
YBR299W	0.148456936455245
YBR300C	0.32039819890965426
YBR301W	-0.028128843167492402
YCL001W	-0.05227279263633906
YCL001W-A	0.3600722781727385
YCL001W-B	0.20645744224781126
YCL002C	0.3505473149714634
YCL005W	-0.3245722670431269
YCL005W-A	3.108621475968019
YCL007C	3.108621475968019
YCL008C	-0.1463366422479479
YCL009C	0.040756369583585174
YCL010C	-0.009007506445171707
YCL011C	-0.2155051393363731
YCL012C	-0.022905308660297847
YCL014W	-0.0010390475059483997
YCL016C	3.108621475968019
YCL021W-A	-0.11928438715197985
YCL022C	0.007350080399866211
YCL023C	0.13577190211968482
YCL024W	-0.024094089893689254
YCL025C	0.07960223958042209
YCL026C-A	-0.01236671007031533
YCL026C-B	0.005051249816538089
YCL027W	-0.0991559342414926
YCL028W	0.09299744553428323
YCL029C	0.07243378684295253
YCL030C	-0.03835285522799197
YCL032W	0.13002763393236672
YCL033C	0.07823451130695429
YCL034W	0.05011108135535152
YCL035C	0.012407174702483538
YCL036W	0.06049099257463074
YCL037C	0.02862300403914575
YCL038C	-0.08476583209014028
YCL039W	-0.08448603803246685
YCL040W	-0.02903438018169337
YCL041C	3.108621475968019
YCL042W	-0.14120853880713194
YCL044C	0.0538253106124099
YCL045C	-0.17343481257480206
YCL046W	-0.1679716422852656
YCL047C	0.02362659847879398
YCL048W	-0.0033949361383178145
YCL049C	-0.04585939370550934
YCL050C	0.10924510461684758
YCL051W	0.09891416362612329
YCL055W	0.1646482014442693
YCL056C	-0.02342186002253595
YCL057C-A	-0.13639198294539293
YCL057W	-0.07835369688126158
YCL058C	-0.0967123673766186
YCL061C	0.2762899800885566
YCL063W	-0.016407275462139118
YCL064C	-0.014797489272590041
YCL069W	0.02833287955599987
YCL076W	0.1211934191435966
YCR001W	-0.02386057213031646
YCR002C	0.11766890965476982
YCR003W	0.3209027549428972
YCR004C	-0.0810554341170921
YCR005C	-0.01538087748468068
YCR006C	0.005453253810504022
YCR007C	-0.04604052718515171
YCR008W	-0.277748209453952
YCR009C	3.108621475968019
YCR010C	-0.005630249649299583
YCR011C	0.026856551431061026
YCR014C	0.016166887920238366
YCR015C	-0.028606399680956997
YCR016W	-0.041061091605284705
YCR017C	-0.3457557973986827
YCR019W	0.17473469447969864
YCR020C	-0.09675094098474175
YCR020C-A	0.4591291533899572
YCR020W-B	-0.21550523963176607
YCR021C	0.04064876265650417
YCR022C	-0.06020512517502681
YCR023C	-0.04369341439966422
YCR024C	0.44516753321630587
YCR024C-A	0.31080172509321574
YCR025C	0.2568772180518436
YCR026C	0.27737739276830764
YCR027C	0.2789839705082367
YCR028C	0.12895200596128564
