orf	hap a | growth (colony size) | N-Butyl-N′-decylguanidinium chloride [30 uM] | YPD + MeOH [1%] | Bowie D~Fyles TM, 2013	hap a | growth (colony size) | N-hexyl-N′-(3-hydroxypropyl)-N′′-octylguanidinium chloride [100 uM] | YPD + MeOH [1%] | Bowie D~Fyles TM, 2013
YBR112C		
YBR113W	0.1756301514797744	0.4896674310546442
YBR114W	0.0754766607886809	0.46215551161425983
YBR115C	-0.04929198571876384	0.21846266188208163
YBR116C	0.042632217371144907	-0.7185051653648369
YBR119W	1.9669435474280974	-0.5789304472214756
YBR120C	8.390860533069995	-0.3341994159015831
YBR121C	0.3539161494088589	-0.040926601156776175
YBR122C	0.05535529953143422	-1.034590851099178
YBR125C	0.054366947365926004	0.967002325852637
YBR126C	-0.011999000775247988	-0.5916704771871113
YBR127C		-3.0026264754352736
YBR128C	-0.0996691838996948	0.16580937884485594
YBR129C	0.1047226698170801	-0.4579858098481652
YBR130C	-0.1885470170679347	0.08453154150716939
YBR131W		
YBR132C		-2.0501325789473834
YBR133C	-0.1153739620317577	-0.5547613454369552
YBR134W		0.0269378325519943
YBR137W	0.01969798840436654	0.2552198116704089
YBR138C	0.012774757338647249	0.6023657130751235
YBR139W	0.10373531138601581	-0.44580049200093824
YBR141C	0.18773735347005113	0.9438594433813393
YBR144C	-0.13807740727877799	-0.37943998882271623
YBR145W	0.021017538124970467	-1.4534024930748943
YBR146W	0.1480603621368389	1.4280185668604921
YBR147W	0.5489481044942327	3.948507225968105
YBR148W	0.15023635676800298	0.4440092598311355
YBR149W	-0.08248710960347956	-0.18727783581220206
YBR150C	-0.02062563426736802	0.8433519256572567
YBR151W	0.0729460515075658	-0.19322560835008895
YBR156C	0.047413022143725704	-0.017821701228230756
YBR157C	-0.000948731122527787	0.2754582330992156
YBR158W	-0.10404198242785873	0.49289370002422067
YBR159W	0.020325561357137853	-0.11586341663123685
YBR161W	-0.1331897028817934	-1.0832348302964632
YBR162C	-0.0767088024248643	0.15439926558031047
YBR162W-A	0.1506113453908615	0.5283077100395321
YBR163W	0.24535221385459088	-1.1490846336675864
YBR164C	0.24660596696933249	-1.1454313028552954
YBR165W	0.06427885644742591	0.3794715432940791
YBR166C	0.09966028992137277	0.7507111061136682
YBR168W	-0.11645705286634625	0.5238580748232907
YBR169C	-0.005624444682828593	-0.6957502979942187
YBR170C	0.05988054399691487	-0.37694430463533535
YBR171W	0.2837422089420752	-0.2814675464799698
YBR172C	0.07185153465557907	-0.20414529160292416
YBR173C	0.08789648469840923	-1.3375770155773468
YBR174C	0.0026448455032413803	-0.24591914522129826
YBR175W	-0.005721900984646356	0.09279850744165187
YBR176W	0.0950634767943387	-0.0020968876692860597
YBR177C	0.09496581822218682	-0.5107598368894279
YBR178W	0.07766739621049079	-0.4068572123708088
YBR179C	0.6536706141571768	-0.4167320000252678
YBR180W	0.055666306861491446	-0.3193995624690237
YBR181C	0.3085808526173811	-2.06585915622904
YBR182C	0.09684377948714448	0.211302458604296
YBR183W	0.06335304903841459	-0.037653673308739435
YBR184W	0.011944976621841432	-0.2563508656969656
YBR185C	0.26636202309506357	-0.12082986265007464
YBR186W	-0.0537475844726521	0.3288873505983069
YBR187W	0.038658961459058644	1.1866253365673718
YBR188C	0.10448728244047495	0.7670232319941921
YBR189W	0.21198669608493492	0.5380245734683241
YBR191W		-0.508317185629223
YBR194W	-0.08238210949349256	0.5587888148948552
YBR195C	0.14885952769398092	-0.15267138469523917
YBR197C	0.023792966809434348	0.321183762226048
YBR199W	0.024071981882233487	-0.2935144657510625
YBR200W	0.3795852300698576	0.6175822281838823
YBR201W	0.03979719170820339	-2.2877679429785074
YBR203W	0.07353510905926991	0.16916470883657228
YBR204C	0.14913990597116727	1.1822903406774297
YBR205W	0.12322577261197447	0.5100122806789282
YBR206W	0.04233138977746611	-0.8627888804658415
YBR207W	0.08330847624356386	0.6267373319220496
YBR208C	0.11811506912039638	0.7595962029035236
YBR209W	-0.012166819973888356	-0.9145062538686248
YBR210W	0.12387705154235218	0.19786013367191985
YBR212W	0.04274723873086724	1.5832727928107455
YBR213W	0.023270262111248642	-0.5196152484863236
YBR214W	0.0065698010900944225	0.9565582573559199
YBR215W	-0.02207087859060024	-0.3059689831219957
YBR216C	0.09787372325598802	-0.4708612400530706
YBR217W	0.14413313590940896	0.40937599559650123
YBR218C	-0.052279707951400856	0.17761463095693394
YBR219C	-0.02926663777399956	-0.33924804188483665
YBR220C	-0.01429050693867882	0.49196987540210263
YBR221C	0.1108233311493767	-2.280398636290239
YBR222C	0.014412245298240702	0.39610389178746563
YBR223C	-0.09662315934254513	0.15296787578631096
YBR224W	0.045130887123841924	0.4418337567668185
YBR225W	-0.056249380253514884	-1.029632869078014
YBR226C	0.0821610888366373	-0.12834811897456827
YBR227C	-0.03335908392374423	0.34000362957555863
YBR228W	-0.03755071916733369	0.834361812474641
YBR229C	0.009251569699014372	-1.3058432038266825
