orf	hap a | number of peroxisomes | standard [standard] | Yofe I~Thoms S, 2017	hap a | peroxisomes distribution | standard [standard] | Yofe I~Thoms S, 2017
YBL081W	0.04873579839484835	-0.3362412339307001
YBL082C	0.1312117649092078	-0.19454428957287026
YBL083C	0.1312117649092078	-0.20181079953993894
YBL085W	0.5848295807381839	-0.06011385518210909
YBL086C	-0.6935479002343867	0.6338378466729029
YBL087C	1.0384473965671617	-0.11461267993512063
YBL088C	-0.4048820174341277	-0.045580835247973024
YBL089W	-0.8584998332631038	0.36134372290784583
YBL091C	-0.19869210114823	0.02345100943917522
YBL091C-A	0.04873579839484835	1.2696574687913693
YBL093C	1.2446373128530595	4.125395885849167
YBL094C	0.6260675639953646	-0.4706716683214616
YBL095W	0.6260675639953646	0.5902387868704934
YBL096C	-0.5285959672056678	0.8046008308990055
YBL098W	0.21368773142356726	0.5103071772327438
YBL099W	1.4508272291389572	1.026229384894585
YBL100C	3.8426302580553795	0.8663661656190851
YBL101C	-0.07497815137668991	0.6447376116235048
YBL102W	0.41987764770946495	0.2777788582865615
YBL103C	1.8632070617107543	3.7075715627427464
YBL104C	0.37863966445228614	-0.11097942495158661
YBL106C	0.9559714300528023	1.5203520626552216
YBL107C	0.17244974816638844	1.2805572337419713
YBR001C	0.6260675639953646	1.0371291498451871
YBR003W	1.4095892458817785	0.8118673408660735
YBR005W	0.2549257146807479	0.2668790933359595
YBR006W	0.17244974816638844	0.3104781531383683
YBR007C	1.9869210114822946	-0.16911150468813216
YBR008C	0.6260675639953646	0.8627329106355504
YBR009C	1.4508272291389572	0.15061493386286837
YBR010W	0.9972094133099811	0.35044395795724376
YBR012C	-1.270879665834901	0.9208649903720959
YBR013C	-0.11621613463387055	0.7028696913600504
YBR014C	0.41987764770946495	1.3677553533467897
YBR016W	0.2549257146807479	0.60477180680463
YBR018C	-0.11621613463387055	0.7428354961789259
YBR019C	1.0384473965671617	-0.020148050363234266
YBR020W	0.8734954635384429	1.0371291498451871
YBR022W	0.00749781513766954	0.44854184251266416
YBR023C	-0.4048820174341277	0.9535642852239027
YBR024W	0.00749781513766954	0.5248401971668798
YBR025C	0.2961636979379267	0.6738036514917777
YBR027C	-0.32240605091976826	0.8590996556520164
YBR028C	0.37863966445228614	0.7755347910307328
YBR030W	0.37863966445228614	0.5502729820516186
YBR031W	-0.3636440341769489	0.3431774479901751
YBR032W	0.41987764770946495	0.6556373765741076
YBR033W	-0.28116806766258945	0.5829722769034253
YBR034C	-0.7347858834915655	1.0371291498451871
YBR036C	-0.15745411789104935	0.5103071772327438
YBR037C	-0.3636440341769489	4.132662395816235
YBR040W	0.08997378165202899	0.7428354961789259
YBR041W	0.41987764770946495	0.11791563901106157
YBR042C	-0.0337401681195111	0.8590996556520164
YBR043C	-0.11621613463387055	0.7101362013271185
YBR044C	-0.07497815137668991	1.302356763643176
YBR045C	0.708543530509724	0.6701703965082436
YBR046C	0.2549257146807479	0.8990654604708919
YBR047W	-0.4048820174341277	0.21238026858294792
YBR048W	0.17244974816638844	0.19784724864881187
YBR050C	-0.32240605091976826	0.6120383167716981
YBR051W	-1.0646897495490033	0.7537352611295279
YBR052C	0.7910194970240834	1.295090253676108
YBR053C	0.5023536142238244	0.9535642852239027
YBR054W	0.17244974816638844	1.2878237437090398
YBR056W	-0.0337401681195111	1.567584377441165
YBR057C	1.2446373128530595	0.10701587406045952
YBR058C	1.3683512626245977	0.9426645202733007
YBR059C	-0.19869210114823	0.7537352611295279
YBR061C	0.708543530509724	1.411354413149199
YBR062C	0.7910194970240834	0.44490858752913015
YBR063C	-0.4873579839484872	1.0807282096475965
YBR064W	0.6260675639953646	0.7210359662777212
YBR065C	0.2961636979379267	1.1206940144664714
YBR066C	-0.11621613463387055	-0.20907730950700698
YBR067C	-0.32240605091976826	1.193359114137153
YBR068C	-0.4048820174341277	1.5312518276058242
YBR069C	0.41987764770946495	1.4912860227869487
YBR071W	0.6673055472525433	0.46670811743033425
YBR072W	-0.2399300844054088	0.15424818884640237
YBR073W	0.9147334467956216	0.6774369064753117
YBR074W	0.19306873979497785	1.0752783271722952
