orf	het | growth (relative abundance in pooled culture) | sodium arsenite [450 mM] | Pan X~Boeke JD, 2010
YGL058W	-3.3186197528157066
YGL076C	3.3186197528157066
YGL084C	-3.3186197528157066
YGL092W	-6.637239505631413
YGL094C	-3.3186197528157066
YGL127C	-3.3186197528157066
YGL135W	3.3186197528157066
YGL153W	-3.3186197528157066
YGL163C	-3.3186197528157066
YGL207W	-6.637239505631413
YGL246C	3.3186197528157066
YGR057C	-3.3186197528157066
YGR072W	3.3186197528157066
YGR077C	-3.3186197528157066
YGR078C	-3.3186197528157066
YGR085C	3.3186197528157066
YGR097W	3.3186197528157066
YGR118W	3.3186197528157066
YGR123C	-3.3186197528157066
YGR131W	3.3186197528157066
YGR133W	-3.3186197528157066
YGR159C	3.3186197528157066
YGR221C	3.3186197528157066
YHL020C	-3.3186197528157066
YHL033C	3.3186197528157066
YHR007C	-3.3186197528157066
YHR013C	-3.3186197528157066
YHR021C	3.3186197528157066
YHR038W	-3.3186197528157066
YHR067W	-3.3186197528157066
YHR077C	3.3186197528157066
YHR081W	3.3186197528157066
YHR129C	-3.3186197528157066
YHR154W	-3.3186197528157066
YHR172W	-6.637239505631413
YHR191C	-3.3186197528157066
YHR203C	3.3186197528157066
YHR206W	-3.3186197528157066
YIL052C	3.3186197528157066
YIL084C	-3.3186197528157066
YIL085C	3.3186197528157066
YIL128W	3.3186197528157066
YIL153W	-3.3186197528157066
YIR026C	3.3186197528157066
YJL009W	-6.637239505631413
YJL047C	-3.3186197528157066
YJL111W	-6.637239505631413
YJL115W	-3.3186197528157066
YJL120W	-3.3186197528157066
YJL128C	-3.3186197528157066
YJL136C	3.3186197528157066
YJL179W	-3.3186197528157066
YJL183W	-3.3186197528157066
YJL184W	3.3186197528157066
YJL189W	3.3186197528157066
YJL210W	-3.3186197528157066
YJR043C	-3.3186197528157066
YJR064W	-6.637239505631413
YJR073C	-3.3186197528157066
YJR102C	-3.3186197528157066
YJR104C	-3.3186197528157066
YJR118C	-3.3186197528157066
YJR125C	-3.3186197528157066
YJR145C	3.3186197528157066
YKL006W	3.3186197528157066
YKL097C	-3.3186197528157066
YKL113C	-3.3186197528157066
YKL143W	3.3186197528157066
YKL176C	-3.3186197528157066
YKL197C	-3.3186197528157066
YKR024C	3.3186197528157066
YKR042W	3.3186197528157066
YKR061W	-3.3186197528157066
YKR072C	3.3186197528157066
YKR094C	3.3186197528157066
YLL002W	-3.3186197528157066
YLL009C	-6.637239505631413
YLL043W	3.3186197528157066
YLL049W	-3.3186197528157066
YLR006C	-3.3186197528157066
YLR015W	-3.3186197528157066
YLR048W	3.3186197528157066
YLR056W	-3.3186197528157066
YLR061W	3.3186197528157066
YLR068W	3.3186197528157066
YLR079W	-3.3186197528157066
YLR085C	-3.3186197528157066
YLR087C	-3.3186197528157066
YLR110C	3.3186197528157066
YLR111W	3.3186197528157066
YLR113W	-3.3186197528157066
YLR131C	3.3186197528157066
YLR148W	-3.3186197528157066
YLR184W	3.3186197528157066
YLR185W	3.3186197528157066
YLR191W	-3.3186197528157066
YLR192C	3.3186197528157066
YLR200W	-3.3186197528157066
YLR208W	-6.637239505631413
YLR212C	-6.637239505631413
YLR264W	3.3186197528157066
YLR293C	-4.97792962922356
YLR320W	-3.3186197528157066
YLR338W	-3.3186197528157066
YLR370C	-3.3186197528157066
YLR371W	-3.3186197528157066
YLR372W	-3.3186197528157066
YLR373C	-3.3186197528157066
YLR396C	-3.3186197528157066
YLR410W	3.3186197528157066
YLR417W	-3.3186197528157066
YLR418C	3.3186197528157066
YLR433C	-6.637239505631413
YLR441C	3.3186197528157066
YLR448W	3.3186197528157066
YML007W	-3.3186197528157066
YML008C	-3.3186197528157066
YML016C	-3.3186197528157066
YML024W	3.3186197528157066
YML026C	3.3186197528157066
