ORF	hom | growth (relative abundance in pooled culture) | elesclomol (elesclomol [IC15]) | Blackman RK~Nislow C, 2012	het | growth (relative abundance in pooled culture) | elesclomol (elesclomol [IC15]) | Blackman RK~Nislow C, 2012
YAL034C	1.122	NaN
YMR072W	1.120	NaN
YGR217W	1.119	NaN
YBR078W	1.117	NaN
YDR231C	1.116	NaN
YER087C-A	NaN	1.109
YDR529C	1.104	NaN
YPL098C	1.100	NaN
YDR008C	1.100	NaN
YMR287C	1.097	NaN
YAR047C	1.096	NaN
YDR114C	1.092	NaN
YKL041W	1.089	NaN
YPL065W	1.080	NaN
YMR311C	1.079	NaN
YPR002W	1.077	NaN
YOR254C	NaN	1.071
YHR049W	1.070	NaN
YJR090C	1.069	NaN
YDR120C	1.068	NaN
YNL235C	1.067	NaN
YLR341W	1.066	NaN
YHL023C	1.065	NaN
YPL078C	1.064	NaN
YGR074W	NaN	1.059
YIL129C	NaN	1.046
YNL271C	1.045	NaN
YNL307C	1.043	NaN
YNL273W	1.041	NaN
YBR095C	NaN	1.030
YML125C	NaN	1.027
YIL092W	0.350	NaN
YGR229C	1.023	NaN
YDR237W	1.022	NaN
YEL048C	1.022	NaN
YER087W	1.021	NaN
YOL102C	NaN	1.010
YKL166C	1.008	NaN
YMR168C	NaN	1.008
YJL124C	1.004	NaN
YNL054W	1.002	NaN
YPL135W	0.998	NaN
YKL195W	NaN	0.998
YPR082C	NaN	0.996
YDR337W	0.991	NaN
YDL207W	NaN	0.989
YOL010W	NaN	0.985
YLR069C	0.983	NaN
YOL043C	0.981	NaN
YIL093C	0.979	NaN
YGR206W	0.978	NaN
YDR380W	0.975	NaN
YMR146C	NaN	0.972
YAL053W	0.970	NaN
YKR021W	0.966	NaN
YPL247C	0.965	NaN
YFR041C	0.963	NaN
YIL077C	0.961	NaN
YHR051W	0.957	NaN
YPR026W	0.955	NaN
YKR088C	0.954	NaN
YMR181C	0.954	NaN
YJR121W	0.953	NaN
YMR208W	NaN	0.952
YBR289W	0.951	NaN
YHR164C	NaN	0.951
YCR017C	0.949	NaN
YGL113W	NaN	0.947
YLR218C	0.943	NaN
YOR221C	0.943	NaN
YOR025W	0.943	NaN
YPL232W	0.940	NaN
YMR064W	0.929	NaN
YPL156C	0.928	NaN
YJL207C	0.928	NaN
YDR295C	0.926	NaN
YIL029C	0.917	NaN
YCR009C	0.917	NaN
YDR392W	0.917	NaN
YNL107W	0.916	NaN
YGR150C	0.916	NaN
YGR170W	0.915	NaN
YML028W	0.908	NaN
YAL014C	0.906	NaN
YPR173C	0.904	NaN
YLR203C	0.904	NaN
YAL007C	0.902	NaN
YMR098C	0.900	NaN
YHR155W	0.899	NaN
YJR041C	NaN	0.899
YDL101C	0.897	NaN
YLL043W	0.896	NaN
YIL015C-A	NaN	0.895
YIR010W	NaN	0.890
YEL009C	0.889	NaN
YJR034W	0.887	NaN
YOR256C	NaN	0.887
YLR242C	0.886	NaN
YGL219C	0.883	NaN
YLR209C	0.882	NaN
YJL209W	0.880	NaN
YPL217C	NaN	0.878
YJL204C	0.876	NaN
YOR287C	NaN	0.872
YPL200W	0.871	NaN
YOR169C	NaN	0.870
YPL265W	0.869	NaN
YKL189W	NaN	0.866
YML057W	0.866	NaN
YPL045W	0.865	NaN
YLR023C	0.865	NaN
YPL181W	0.865	NaN
YOL044W	0.862	NaN
YPR122W	0.861	NaN
YNR041C	0.861	NaN
YCR072C	NaN	0.861
YPR032W	0.860	NaN
YOL017W	0.860	NaN
YDR066C	0.860	NaN
YJR038C	0.859	NaN
YPR061C	0.859	NaN
YOL004W	0.858	NaN
YCL017C	NaN	0.857
YHL005C	0.853	NaN
YKL001C	0.848	NaN
YCR087C-A	0.848	NaN
YPL071C	0.846	NaN
YOR305W	0.844	NaN
YKR009C	0.844	NaN
YFL063W	0.844	NaN
YIR023W	0.843	NaN
YKL073W	0.843	NaN
YDR359C	0.842	NaN
YLR255C	0.841	NaN
YKR006C	0.841	NaN
YGR133W	0.840	NaN
YFL033C	0.837	NaN
YGR234W	0.837	NaN
YMR316C-B	0.836	NaN
YPR143W	NaN	0.835
YLL039C	0.834	NaN
YBR225W	0.831	NaN
YIL097W	0.831	NaN
YNR046W	NaN	0.830
YER017C	0.827	NaN
YBR270C	0.826	NaN
YNR044W	NaN	0.824
YJR074W	0.823	NaN
YOR211C	0.822	NaN
YCR068W	0.820	NaN
YLR091W	0.819	NaN
YBR192W	NaN	0.818
YDR086C	NaN	0.818
YKL167C	0.816	NaN
YPL040C	0.815	NaN
YJL171C	0.814	NaN
YLR063W	0.813	NaN
YMR232W	0.811	NaN
YBR018C	0.810	NaN
YJR073C	0.808	NaN
YMR202W	0.807	NaN
YDL104C	0.806	NaN
YLR004C	0.804	NaN
YIL065C	0.803	NaN
YCL001W-A	0.802	NaN
YAL026C	0.800	NaN
YBR171W	0.799	NaN
YLR083C	0.799	NaN
YCR030C	0.797	NaN
YIL027C	0.797	NaN
YMR301C	NaN	0.796
YGL084C	0.795	NaN
YHR172W	NaN	0.795
YPL227C	0.795	NaN
YHR087W	0.794	NaN
YLR423C	0.788	NaN
YER074W-A	0.788	NaN
YLR326W	0.786	NaN
YOR213C	0.785	NaN
YOL081W	0.784	NaN
YMR184W	0.784	NaN
YER104W	NaN	0.782
YDL208W	NaN	0.776
YPL061W	0.774	NaN
YPL120W	0.771	NaN
YDR477W	0.771	NaN
YDL218W	0.770	NaN
YNL312W	NaN	0.769
YCR033W	0.765	NaN
YJL062W	0.763	NaN
YDL234C	0.761	NaN
YNL203C	0.759	NaN
YOL038W	NaN	0.756
YER086W	0.756	NaN
YMR097C	0.756	NaN
YML023C	NaN	0.462
YOR043W	0.752	NaN
YGL130W	NaN	0.751
YNL268W	0.751	NaN
YPR176C	NaN	0.746
YJR043C	0.746	NaN
YPL060W	0.744	NaN
YMR316W	0.743	NaN
YKR013W	0.741	NaN
YNL257C	0.740	NaN
YDL006W	0.737	NaN
YMR313C	0.735	NaN
YDR347W	0.735	NaN
YLR300W	0.734	NaN
YBR254C	NaN	0.730
YJR139C	0.729	NaN
YDL215C	0.728	NaN
YML129C	0.727	NaN
YNL068C	0.726	NaN
YBL043W	0.726	NaN
YKL207W	0.726	NaN
YCL060C	NaN	0.726
YMR021C	0.725	NaN
YBR003W	0.725	NaN
YPL203W	0.725	NaN
YJL185C	0.724	NaN
YOR333C	0.722	NaN
YML097C	0.722	NaN
YOL116W	0.721	NaN
YHR091C	0.720	NaN
YPL128C	NaN	0.718
YFL016C	0.717	NaN
YCR087W	0.716	NaN
YOR109W	0.716	NaN
YAR020C	0.714	NaN
YIL006W	0.713	NaN
YHR121W	0.711	NaN
YMR110C	0.709	NaN
YOL144W	NaN	0.709
YDR431W	0.709	NaN
YGR155W	0.707	NaN
YNR021W	0.707	NaN
YBR170C	0.705	NaN
YJR091C	0.704	NaN
YLR284C	0.699	NaN
YJL002C	NaN	0.698
YLR117C	NaN	0.698
YOR067C	0.698	NaN
YER036C	NaN	0.698
YFL026W	NaN	0.698
YGR209C	0.696	NaN
YPR134W	0.696	NaN
YML055W	0.695	NaN
YGL153W	0.693	NaN
YML090W	0.693	NaN
YNL006W	NaN	0.691
YDR332W	0.690	NaN
YOL071W	0.690	NaN
YLR101C	NaN	0.687
YPR068C	0.684	NaN
YDR176W	0.684	NaN
YNR020C	0.684	NaN
YBR262C	0.684	NaN
YLR020C	0.682	NaN
YDR334W	0.680	NaN
YPL177C	0.678	NaN
YML081C-A	0.678	NaN
YOR062C	0.677	NaN
YOL053W	0.676	NaN
YCR028C-A	0.675	NaN
YLR294C	0.675	NaN
YOR124C	0.675	NaN
YPL190C	NaN	0.674
YDR393W	0.673	NaN
YJR140C	0.673	NaN
YLR317W	NaN	0.673
YNL052W	0.671	NaN
YOL153C	0.670	NaN
YDR043C	0.669	NaN
YCR020W-B	0.666	NaN
YER062C	0.666	NaN
YJR088C	0.665	NaN
YGR101W	0.665	NaN
YML030W	0.663	NaN
YDR020C	0.663	NaN
YPL108W	0.663	NaN
YOR261C	NaN	0.663
YKL095W	NaN	0.659
YDR015C	0.659	NaN
YOR224C	NaN	0.657
YEL040W	0.656	NaN
YAR027W	0.655	NaN
YFL048C	0.654	NaN
YFR025C	0.652	NaN
YHR210C	0.651	NaN
YGL235W	0.650	NaN
YOL031C	0.649	NaN
YBR292C	0.645	NaN
YKL175W	0.645	NaN
YOR146W	NaN	0.640
YJL175W	0.639	NaN
YIL071C	0.639	NaN
YBR147W	0.638	NaN
YOR080W	0.638	NaN
YOR187W	0.636	NaN
YHR065C	NaN	0.635
YPL019C	0.634	NaN
YLR418C	0.634	NaN
YBR102C	NaN	0.631
YBR233W-A	0.631	NaN
YML017W	0.631	NaN
YDR283C	0.630	NaN
YOL028C	0.629	NaN
YER032W	0.627	NaN
YOR257W	NaN	0.625
YDL004W	NaN	0.624
YDR500C	0.380	NaN
YLR374C	0.622	NaN
YKR022C	NaN	0.621
YPL003W	0.620	NaN
YNL250W	0.619	NaN
YKR079C	NaN	0.619
YLR102C	0.619	NaN
YOR171C	0.619	NaN
YJL192C	0.618	NaN
YFL049W	0.618	NaN
YIL132C	0.618	NaN
YLL050C	NaN	0.617
YGR211W	NaN	0.617
YBR143C	NaN	0.617
YMR131C	NaN	0.616
YBR291C	0.616	NaN
YGL013C	0.615	NaN
YHR020W	NaN	0.613
YGR174C	0.612	NaN
YHR148W	NaN	0.612
YJL104W	NaN	0.611
YBR156C	0.610	NaN
YPR078C	0.610	NaN
YKR035C	0.610	NaN
YLR204W	0.608	NaN
YPL136W	0.606	NaN
YPL118W	0.604	NaN
YLR404W	0.603	NaN
YJL164C	0.602	NaN
YHR114W	0.601	NaN
YIL060W	0.601	NaN
YAL058W	0.601	NaN
YOL050C	0.600	NaN
YEL050C	0.599	NaN
YOR258W	0.599	NaN
YNL311C	0.598	NaN
YCR028C	0.598	NaN
YPL094C	NaN	0.596
YNL179C	0.596	NaN
YMR012W	0.595	NaN
YLR346C	0.595	NaN
YPR035W	NaN	0.594
YPR024W	0.594	NaN
YKL089W	NaN	0.594
YML128C	0.591	NaN
YPR155C	0.590	NaN
YER023W	NaN	0.590
YPR141C	NaN	0.590
YIL091C	NaN	0.588
YIL107C	0.587	NaN
YML061C	0.587	NaN
YLR130C	0.586	NaN
YLR243W	NaN	0.585
YBL061C	0.584	NaN
YKR093W	0.584	NaN
YOL054W	0.584	NaN
YJL053W	0.584	NaN
YLR007W	NaN	0.583
YJR013W	NaN	0.582
YDL217C	NaN	0.581
YOR202W	0.581	NaN
YOR329C	NaN	0.581
YJL157C	0.580	NaN
YCR052W	NaN	0.579
YDR298C	0.577	NaN
YNL139C	0.577	NaN
YBL021C	0.576	NaN
YIL059C	0.575	NaN
YKL037W	0.574	NaN
YLR401C	0.574	NaN
YBL074C	NaN	0.572
YFL044C	0.572	NaN
YGL072C	0.571	NaN
YLL021W	0.571	NaN
YOR011W	0.571	NaN
YLR087C	0.569	NaN
YKR019C	0.568	NaN
YMR263W	0.565	NaN
YHR159W	0.565	NaN
YLR149C	0.565	NaN
YNL045W	0.565	NaN
YNL081C	0.564	NaN
YKL218C	0.564	NaN
YLR241W	0.564	NaN
YGR250C	0.563	NaN
YGR151C	0.562	NaN
YJL133W	0.562	NaN
YOR209C	0.562	NaN
YCR003W	0.561	NaN
YFL036W	0.560	NaN
YBR298C	0.559	NaN
YPR121W	0.559	NaN
YJL049W	0.559	NaN
YDL173W	0.558	NaN
YDR268W	0.556	NaN
YEL004W	0.556	NaN
YDL169C	0.555	NaN
YPR025C	NaN	0.555
YDR021W	NaN	0.554
YEL042W	0.554	NaN
YLR370C	0.554	NaN
YDR233C	0.551	NaN
YMR102C	0.550	NaN
YKL108W	NaN	0.550
YMR282C	0.550	NaN
YKL007W	0.550	NaN
YCR065W	0.548	NaN
YNL191W	0.548	NaN
YNL323W	0.548	NaN
YGR132C	0.547	NaN
YML052W	0.547	NaN
YDR293C	0.545	NaN
YNL207W	NaN	0.545
YOR319W	NaN	0.544
YKL047W	0.543	NaN
YDL170W	0.543	NaN
YDL227C	0.215	NaN
YBR215W	0.542	NaN
YKL097C	0.540	NaN
YJL212C	0.540	NaN
YER157W	NaN	0.540
YNL138W-A	NaN	0.540
YLR289W	0.539	NaN
YNL128W	0.539	NaN
YFL018C	0.538	NaN
YHR073W	0.538	NaN
YIL063C	NaN	0.538
YNL039W	NaN	0.535
YNL161W	NaN	0.535
YMR039C	0.533	NaN
YPR177C	NaN	0.533
YAL009W	0.532	NaN
YDR014W	0.532	NaN
YDR264C	0.531	NaN
YOR276W	0.529	NaN
YPL143W	NaN	0.528
YPR135W	0.527	NaN
YHL009C	0.527	NaN
YKL018W	NaN	0.527
YFR007W	0.526	NaN
YMR125W	0.526	NaN
YLR008C	NaN	0.526
YNL279W	0.524	NaN
YNL293W	0.523	NaN
YKL023W	0.523	NaN
YEL062W	0.522	NaN
YPR063C	0.521	NaN
YDR474C	NaN	0.521
YGR082W	NaN	0.520
YMR242C	0.520	NaN
YBR297W	0.519	NaN
YJL194W	NaN	0.519
YHL006C	0.519	NaN
YOR336W	NaN	0.518
YPL142C	NaN	0.518
YNL105W	0.517	NaN
YNL038W	NaN	0.517
YGR088W	0.515	NaN
YLR096W	0.515	NaN
YLL049W	0.514	NaN
YLR276C	NaN	0.514
YLR055C	0.513	NaN
YPL173W	0.512	NaN
YIL053W	0.510	NaN
YKL072W	0.510	NaN
YMR095C	0.510	NaN
YDR011W	0.509	NaN
YCL076W	0.509	NaN
YBR109C	NaN	0.508
YLR454W	0.508	NaN
YFR042W	NaN	0.507
YMR257C	0.506	NaN
YGR123C	0.506	NaN
YDL230W	0.505	NaN
YNR012W	0.505	NaN
YLL013C	0.504	NaN
YGL141W	0.504	NaN
YLL019C	0.503	NaN
YLR119W	0.503	NaN
YOL141W	0.502	NaN
YDR125C	0.502	NaN
YDR152W	0.501	NaN
YKR063C	NaN	0.501
YPL178W	0.499	NaN
YDR509W	0.498	NaN
YOL007C	0.498	NaN
YBL056W	0.497	NaN
YCL043C	NaN	0.496
YIL037C	0.496	NaN
YLR347C	NaN	0.496
YNR018W	0.495	NaN
YER106W	0.495	NaN
YPR124W	0.495	NaN
YER119C	0.494	NaN
YNL175C	0.494	NaN
YER133W	NaN	0.494
YJL161W	0.493	NaN
YOR140W	0.492	NaN
YGL003C	0.491	NaN
YLR077W	0.491	NaN
YNL254C	0.490	NaN
YNL115C	0.490	NaN
YOR199W	0.490	NaN
YJL130C	0.490	NaN
YDL147W	NaN	0.489
YLL015W	0.488	NaN
YBR075W	NaN	0.487
YBR235W	0.487	NaN
YDR356W	NaN	0.486
YPR168W	NaN	0.486
YPL115C	0.486	NaN
YOR034C	0.486	NaN
YHR004C	0.485	NaN
YLR279W	0.485	NaN
YDL120W	NaN	0.485
YDL175C	0.484	NaN
YBR216C	0.484	NaN
YKL197C	0.484	NaN
YJR022W	NaN	0.484
YJR032W	0.483	NaN
YKL059C	NaN	0.482
YLL004W	NaN	0.482
YER093C-A	0.482	NaN
YPL216W	0.481	NaN
YNL112W	NaN	0.481
YLR421C	0.480	NaN
YDL045W-A	0.480	NaN
YJR099W	0.480	NaN
YMR310C	0.479	NaN
YKL129C	0.479	NaN
YPL252C	NaN	0.479
YBL024W	0.478	NaN
YOR205C	0.477	NaN
YDR340W	0.476	NaN
YHR194W	0.476	NaN
YBR074W	0.475	NaN
YOR036W	0.474	NaN
YPR192W	0.473	NaN
YOL089C	0.473	NaN
YBR022W	0.473	NaN
YPR093C	0.473	NaN
YPL102C	0.472	NaN
YLR378C	NaN	0.472
YPL002C	0.472	NaN
YMR194C-A	0.472	NaN
YLR392C	0.472	NaN
YOR031W	0.472	NaN
YIL026C	NaN	0.471
YGL122C	NaN	0.471
YHR041C	0.471	NaN
YMR167W	0.471	NaN
YJL042W	0.470	NaN
YCR001W	0.469	NaN
YFR038W	0.468	NaN
YBL068W	0.467	NaN
YNR029C	0.467	NaN
YGR128C	NaN	0.467
YNL097C	0.467	NaN
YJL173C	NaN	0.467
YBR134W	0.465	NaN
YFR033C	0.465	NaN
YNL076W	0.465	NaN
YGL129C	0.464	NaN
YBR105C	0.464	NaN
YNL176C	0.464	NaN
YGR178C	0.463	NaN
YEL029C	0.463	NaN
YJL186W	0.463	NaN
YPL123C	0.463	NaN
YBR231C	0.462	NaN
YHL031C	0.462	NaN
YIL143C	NaN	0.462
YIL148W	0.462	NaN
YCR093W	NaN	0.462
YIR007W	0.461	NaN
YOR317W	0.460	NaN
YNL166C	NaN	0.460
YML117W-A	NaN	0.460
YLR260W	0.459	NaN
YOR084W	0.459	NaN
YNL027W	0.459	NaN
YMR023C	0.458	NaN
YNL291C	0.458	NaN
YLR141W	NaN	0.458
YCL026C-A	0.458	NaN
YER093C	NaN	0.457
YCR053W	0.457	NaN
YPL121C	0.456	NaN
YIR022W	NaN	0.456
YOR260W	NaN	0.455
YML029W	0.454	NaN
YHR042W	NaN	0.454
YDR071C	0.454	NaN
YPL100W	0.454	NaN
YKL101W	0.454	NaN
YBL079W	0.453	NaN
YLR044C	0.451	NaN
YLR227C	0.451	NaN
YJR017C	NaN	0.450
YDL183C	0.450	NaN
YCR045C	0.449	NaN
YJL091C	NaN	0.449
YML051W	0.449	NaN
YGR207C	0.449	NaN
YNR019W	0.449	NaN
YMR309C	NaN	0.447
YHR135C	0.447	NaN
YER047C	0.447	NaN
YFL041W	0.447	NaN
YLR086W	NaN	0.446
YIL135C	0.444	NaN
YPL263C	0.444	NaN
YKL184W	0.444	NaN
YJR101W	0.443	NaN
YKL091C	0.443	NaN
YNL245C	NaN	0.443
YER006W	NaN	0.442
YCR102C	0.442	NaN
YCR002C	0.441	NaN
YDR456W	0.441	NaN
YKL180W	NaN	0.441
YLR174W	0.441	NaN
YDR419W	0.441	NaN
YGL151W	0.440	NaN
YJR066W	0.440	NaN
YGR130C	0.440	NaN
YDR010C	0.439	NaN
YHR067W	0.439	NaN
YPR118W	0.439	NaN
YMR229C	NaN	0.438
YLR099W-A	NaN	0.438
YJL008C	NaN	0.437
YPR123C	0.435	NaN
YJL055W	0.434	NaN
YCR099C	0.434	NaN
YKR016W	0.434	NaN
YCL051W	0.434	NaN
YDL025C	0.433	NaN
YDR330W	0.432	NaN
YJL138C	0.431	NaN
YDR531W	NaN	0.430
YMR199W	0.430	NaN
YDR074W	0.429	NaN
YNL231C	0.429	NaN
YBR138C	0.427	NaN
YPL207W	0.427	NaN
YLR350W	0.427	NaN
YOL104C	0.426	NaN
YDR260C	0.425	NaN
YBL022C	0.425	NaN
YDR361C	NaN	0.425
YLR437C	0.425	NaN
YJL119C	0.424	NaN
YHR005C-A	NaN	0.424
YOR071C	0.424	NaN
YJL080C	0.423	NaN
YLR019W	0.423	NaN
YGR144W	0.423	NaN
YGR195W	NaN	0.423
YOL091W	0.422	NaN
YCR034W	0.422	NaN
YDR536W	0.421	NaN
YGL074C	NaN	0.421
YBR044C	0.421	NaN
YKR005C	0.420	NaN
YDR119W	0.420	NaN
YGL143C	0.420	NaN
YJL031C	NaN	0.420
YGR003W	0.419	NaN
YDR459C	0.419	NaN
YOR186W	0.418	NaN
YBR187W	0.418	NaN
YAR050W	0.418	NaN
YMR268C	NaN	0.418
YER159C	NaN	0.418
YOL160W	0.417	NaN
YDR013W	NaN	0.417
YNL170W	0.416	NaN
YIL141W	0.415	NaN
YMR005W	NaN	0.192
YOR377W	0.414	NaN
YER019W	0.413	NaN
YJL081C	NaN	0.412
YKL107W	0.411	NaN
YLL030C	0.410	NaN
YBR279W	0.410	NaN
YLR380W	0.410	NaN
YKL081W	0.410	NaN
YOR122C	NaN	0.409
YNL173C	0.409	NaN
YPR111W	0.408	NaN
YNL190W	0.408	NaN
YDR200C	0.408	NaN
YKL205W	0.408	NaN
YNL065W	0.407	NaN
YDR022C	0.407	NaN
YLR085C	0.407	NaN
YJL125C	NaN	0.407
YOL080C	0.406	NaN
YGR143W	0.406	NaN
YER089C	0.406	NaN
YOR037W	0.403	NaN
YKR023W	0.403	NaN
YMR019W	0.403	NaN
YHR094C	0.402	NaN
YGR182C	0.402	NaN
YFR009W	0.401	NaN
YEL003W	0.401	NaN
YLL057C	0.401	NaN
YOR310C	NaN	0.401
YPL254W	0.401	NaN
YFR046C	0.400	NaN
YHR007C	NaN	0.400
YDR527W	NaN	0.400
YNL103W	NaN	0.398
YNL193W	0.398	NaN
YDL072C	0.398	NaN
YDL225W	0.398	NaN
YLR111W	0.396	NaN
YGR102C	0.395	NaN
YDL141W	NaN	0.394
YBR301W	0.393	NaN
YDL041W	0.392	NaN
YMR055C	0.392	NaN
YPR167C	0.391	NaN
YOR328W	0.390	NaN
YDR135C	0.390	NaN
YJL105W	0.390	NaN
YCL023C	0.389	NaN
YPL153C	NaN	0.389
YBR104W	0.389	NaN
YKR026C	0.389	NaN
YKL029C	0.388	NaN
YPR140W	0.388	NaN
YHR207C	0.388	NaN
YOR138C	0.387	NaN
YNL270C	0.387	NaN
YNL284C	0.387	NaN
YGR266W	0.386	NaN
YBR030W	0.385	NaN
YBL006C	0.385	NaN
YLR448W	0.385	NaN
YDL181W	NaN	0.385
YIL078W	NaN	0.384
YHL042W	0.384	NaN
YJL084C	0.384	NaN
YCR095W-A	0.383	NaN
YDR030C	0.383	NaN
YOR304C-A	0.382	NaN
YDR131C	0.382	NaN
YDL155W	0.382	NaN
YIL009W	0.382	NaN
YHR188C	NaN	0.230
YNL122C	0.381	NaN
YOR040W	0.381	NaN
YGR097W	0.381	NaN
YBR224W	0.381	NaN
YGR169C	0.380	NaN
YDR323C	0.379	NaN
YMR025W	0.379	NaN
YKL209C	NaN	0.149
YOR009W	0.379	NaN
YNL263C	NaN	0.378
YIL066C	0.378	NaN
YDR402C	0.377	NaN
YDL150W	NaN	0.376
YCR044C	0.376	NaN
YJR069C	0.376	NaN
YNL204C	0.376	NaN
YBR088C	NaN	0.375
YOR212W	NaN	0.374
YPL081W	0.374	NaN
YOR198C	0.372	NaN
YFR047C	0.372	NaN
YLR065C	0.371	NaN
YFL043C	NaN	0.371
YFR037C	NaN	0.371
YHR126C	0.371	NaN
YOR115C	0.371	NaN
YLR312W-A	0.371	NaN
YGL117W	0.370	NaN
YPR048W	NaN	0.370
YOR128C	NaN	0.370
YOL030W	0.369	NaN
YPL138C	0.368	NaN
YOR324C	0.368	NaN
YBR153W	NaN	0.368
YLR145W	NaN	0.368
YDR004W	0.367	NaN
YML009C	0.301	NaN
YIL110W	0.366	NaN
YCR020C	0.366	NaN
YOR058C	0.365	NaN
