ORF	hom | growth (culture turbidity) | sodium arsenite [400 uM] | Jin YH~Freedman JH, 2008	hom | growth (culture turbidity) | cadmium dichloride [5 uM] | Jin YH~Freedman JH, 2008	hom | growth (culture turbidity) | silver(1+) nitrate [10 uM] | Jin YH~Freedman JH, 2008	hom | growth (culture turbidity) | mercury dichloride [19 uM] | Jin YH~Freedman JH, 2008	hom | growth (culture turbidity) | chromium trioxide [400 uM] | Jin YH~Freedman JH, 2008	hom | growth (culture turbidity) | zinc sulfate [1 mM] | Jin YH~Freedman JH, 2008	hom | growth (culture turbidity) | copper(II) sulfate [5 mM] | Jin YH~Freedman JH, 2008	hom | growth (culture turbidity) | sodium arsenite [1.25 mM] | Jin YH~Freedman JH, 2008	hom | growth (culture turbidity) | cadmium dichloride [25 uM] | Jin YH~Freedman JH, 2008	hom | growth (culture turbidity) | chromium trioxide [900 uM] | Jin YH~Freedman JH, 2008	hom | growth (culture turbidity) | copper(II) sulfate [7 mM] | Jin YH~Freedman JH, 2008	hom | growth (culture turbidity) | silver(1+) nitrate [20 uM] | Jin YH~Freedman JH, 2008	hom | growth (culture turbidity) | mercury dichloride [49 uM] | Jin YH~Freedman JH, 2008	hom | growth (culture turbidity) | zinc sulfate [2 mM] | Jin YH~Freedman JH, 2008
YBL047C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.006	-0.158	0.650	-0.552	-0.117	-0.033	-0.063
YBL051C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.072	0.046	0.912	-0.839	0.124	0.178	0.031
YBL058W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.093	-0.014	-0.695	-0.807	0.053	0.324	0.137
YBL061C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.058	-0.307	-0.026	-0.572	-0.073	-0.018	-0.042
YBL093C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	-0.663	-0.341	-0.451	-0.089	0.042	0.086
YBR011C	0.056	-0.104	0.002	0.011	-0.936	-0.986	-0.088	0.238	-0.548	-0.948	0.204	-0.078	0.100	-0.996
YBR036C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.197	-0.539	-0.228	-0.680	0.057	0.097	0.072
YBR081C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.372	-0.813	0.123	-0.132	-0.074	-0.030	0.045
YBR112C	-0.478	-0.814	0.024	-0.206	-0.599	-0.129	-0.148	-0.981	-0.952	-0.673	-0.601	-0.164	-0.248	-0.133
YBR126C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.469	-0.323	-0.839	-0.296	-0.046	0.043	0.071
YBR127C	0.013	-0.041	0.032	0.061	-0.929	-0.975	-0.018	0.236	-0.591	-0.933	0.021	-0.397	0.048	-0.994
YBR131W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.172	-0.033	-0.402	0.079	0.059	0.073	-0.878
YBR151W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.081	-0.324	-0.130	-0.583	0.009	0.073	-0.012
YBR163W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.147	-0.139	-0.662	0.046	0.110	0.119	0.072
YBR171W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.329	-0.699	-0.676	-0.322	-0.134	-0.037	-0.062
YBR179C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.167	-0.135	-0.564	0.115	0.098	0.204	0.086
YBR200W	0.050	0.002	-0.127	0.121	-0.732	0.023	0.084	-0.010	-0.352	-0.665	0.121	-0.979	0.122	0.064
YBR221C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.068	-0.393	-0.512	0.086	-0.057	0.201	0.019
YBR255W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.026	-0.148	-0.203	-0.043	-0.009	-0.977	-0.072
YBR260C	0.009	-0.510	-0.008	0.028	-0.402	-0.040	0.021	0.048	-0.774	-0.201	0.066	-0.066	0.167	-0.092
YBR281C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.116	-0.176	-0.532	0.087	-0.052	0.087	-0.053
YBR282W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.927	-0.434	-0.725	0.004	0.032	0.068	-0.026
YBR285W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.163	-0.279	-0.547	0.023	-0.100	0.034	-0.242
YBR289W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.263	-0.796	-0.604	-0.075	0.082	0.019	0.128
YBR298C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.670	-0.203	-0.318	0.124	0.036	0.054	-0.067
YCL005W-A	-0.010	-0.104	0.024	0.005	-0.909	-0.984	0.007	0.076	-0.633	-0.879	0.010	-0.994	-0.959	-0.995
YCL008C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.150	-0.358	-0.651	-0.111	-0.104	0.084	-0.040
YCL061C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.022	-0.269	-0.002	-0.732	0.038	0.062	0.127
YCR008W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.010	-0.177	0.114	-0.625	0.080	-0.004	0.118
YCR009C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.024	-0.144	-0.679	-0.705	-0.034	-0.015	0.094
YCR024C	0.015	-0.107	-0.003	0.035	-0.570	-0.092	-0.086	-0.880	-0.419	-0.848	-0.049	0.026	-0.033	-0.015
YCR044C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.063	-0.653	-0.382	-0.016	-0.008	0.031	0.006
YCR047C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.151	-0.721	-0.174	-0.174	0.028	0.060	-0.218
YCR071C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.631	-0.363	-0.266	0.143	0.044	0.046	-0.017
YCR077C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.124	-0.536	-0.019	0.275	-0.015	0.058	0.051
YCR081W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.988	-0.668	0.290	-0.401	-0.034	-0.003	-0.091
YCR084C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.977	-0.775	-0.537	0.454	0.322	0.246	0.683
YCR094W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.239	-0.065	0.191	0.137	0.023	-0.058	-0.723
YDL001W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.097	-0.616	-0.346	-0.030	-0.024	0.075	0.060
YDL002C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.063	-0.639	-0.404	-0.042	-0.021	0.058	0.021
YDL006W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.144	-0.266	-0.752	-0.125	-0.039	-0.004	-0.795
YDL013W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.057	-0.658	-0.641	0.136	0.095	0.103	0.196
YDL020C	-0.210	-0.584	0.055	-0.049	0.099	0.000	0.084	-0.287	-0.809	0.096	-0.069	0.027	-0.049	0.046
YDL044C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.195	-0.490	-0.603	-0.014	0.050	0.035	0.008
YDL045W-A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.531	-0.631	-0.527	-0.031	0.097	0.092	0.072
YDL047W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.298	-0.596	-0.780	-0.037	0.125	0.112	0.184
YDL069C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.026	-0.361	-0.605	0.043	0.074	0.049	0.069
YDL077C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.079	-0.132	-0.621	0.094	0.025	0.023	0.046
YDL094C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.086	-0.578	0.254	-0.040	-0.007	-0.026	0.114
YDL106C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.086	-0.614	0.179	-0.002	-0.062	0.076	0.099
YDL116W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.016	-0.567	-0.398	-0.081	-0.241	0.001	-0.155
YDL118W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.095	-0.649	0.086	0.065	0.037	0.079	-0.114
YDL133W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.170	-0.675	-0.311	0.004	-0.019	-0.012	-0.758
YDL146W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.048	-0.134	-0.118	-0.638	0.019	0.030	-0.052
YDL151C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.459	-0.046	-0.736	0.236	0.125	0.293	-0.215
YDL160C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.064	-0.725	-0.163	0.060	0.005	0.107	-0.227
YDL173W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.179	-0.416	-0.542	-0.046	-0.011	-0.043	-0.167
YDL203C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.031	-0.891	-0.184	0.035	0.026	-0.010	0.001
YDR017C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.114	-0.601	0.109	0.030	0.079	0.001	-0.781
YDR027C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.200	-0.137	-0.370	-0.825	0.170	0.059	-0.617
YDR028C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.896	-0.275	0.002	0.052	0.028	0.020	0.077
YDR057W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.108	-0.573	-0.170	0.100	-0.023	0.056	-0.010
YDR069C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.143	-0.705	0.208	0.070	0.004	0.026	0.096
YDR074W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.147	-0.118	-0.540	-0.038	0.008	-0.020	-0.165
YDR080W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.026	-0.040	-0.521	0.076	0.000	-0.022	-0.107
YDR129C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.288	-0.298	-0.835	-0.965	0.186	0.143	0.204
YDR135C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.772	-0.862	0.058	0.042	0.037	-0.109	0.022
YDR136C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.885	-0.813	-0.124	-0.041	0.065	-0.097	-0.188
YDR138W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.152	0.074	-0.584	0.091	0.078	0.069	-0.191
YDR174W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.273	-0.532	0.012	0.091	0.014	0.071	0.120
YDR176W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.856	-0.648	0.232	0.306	0.087	-0.048	0.260
YDR200C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.028	0.030	-0.569	-0.568	0.069	-0.050	0.137
YDR207C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.147	-0.129	-0.312	-0.502	-0.034	-0.045	0.099
YDR226W	-0.756	0.040	0.042	0.014	-0.140	0.021	-0.036	-0.989	-0.142	-0.446	-0.087	0.044	-0.001	0.069
YDR233C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.090	-0.181	0.131	-0.514	-0.011	-0.049	0.074
YDR245W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.169	-0.909	-0.509	-0.965	-0.044	-0.053	-0.413
YDR264C	-0.013	-0.366	0.082	0.056	-0.550	0.078	0.057	-0.935	-0.820	-0.902	0.221	0.040	-0.050	-0.968
YDR268W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.093	-0.478	-0.609	0.129	0.024	0.055	0.147
YDR293C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.772	-0.131	-0.127	-0.023	0.047	-0.029	0.054
YDR300C	-0.025	-0.097	0.019	-0.002	-0.777	0.059	-0.012	-0.133	-0.790	-0.764	-0.009	0.033	0.000	0.032
YDR320C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.076	-0.321	0.349	-0.939	0.114	0.067	0.170
YDR323C	-0.111	-0.412	0.043	0.002	-0.558	-0.654	-0.084	-0.044	-0.787	-0.702	-0.507	0.023	-0.052	-0.931
YDR335W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.089	-0.121	0.122	-0.672	0.041	0.020	0.099
YDR359C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.017	-0.615	-0.645	-0.130	-0.064	-0.081	-0.026
YDR377W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.048	-0.216	-0.632	-0.040	0.022	-0.011	0.020
YDR388W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.032	-0.580	-0.824	-0.640	0.101	0.035	0.148
YDR389W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.025	0.037	0.309	-0.565	0.012	-0.015	0.107
YDR414C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.075	-0.016	0.049	-0.737	0.049	-0.013	0.084
YDR442W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.427	-0.654	-0.368	-0.287	0.072	0.100	0.073
YDR443C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.032	-0.566	0.161	-0.218	0.004	-0.007	-0.018
YDR448W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.901	-0.794	0.573	0.053	0.007	-0.016	0.101
YDR455C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.150	-0.175	-0.095	-0.557	-0.029	-0.061	0.004
YDR456W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.102	-0.249	-0.158	-0.677	-0.046	-0.091	-0.063
YDR462W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.178	-0.330	-0.548	0.044	0.083	0.093	0.083
YDR463W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.119	-0.381	-0.715	0.006	-0.110	-0.082	0.030
YDR477W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.081	-0.622	-0.636	0.059	0.052	0.042	-0.152
YDR484W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.070	-0.358	0.129	-0.023	-0.053	-0.017	-0.568
YDR486C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.178	-0.485	-0.548	-0.066	0.084	0.012	0.011
YDR495C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.089	-0.617	-0.760	-0.479	-0.110	0.063	-0.502
YDR507C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.174	-0.413	-0.690	0.038	0.069	0.121	0.121
YDR509W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.133	-0.584	0.530	0.085	0.077	0.060	0.065
YDR532C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.165	-0.774	-0.273	0.045	0.103	0.076	0.020
YEL003W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.576	-0.187	-0.263	-0.275	-0.101	-0.025	-0.004
YEL027W	-0.037	-0.154	-0.079	-0.056	-0.934	-0.986	-0.127	0.020	-0.611	-0.907	-0.045	-0.205	-0.074	-0.995
YEL029C	-0.058	-0.573	-0.104	-0.001	-0.835	-0.059	-0.055	-0.743	-0.809	-0.916	-0.064	-0.134	0.091	-0.052
YEL031W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.245	-0.403	-0.651	-0.668	-0.133	-0.048	-0.065
YEL033W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.060	-0.570	0.819	-0.032	-0.089	0.029	-0.018
YEL036C	-0.098	-0.618	-0.197	-0.117	-0.545	-0.107	-0.240	-0.139	-0.952	-0.706	-0.943	-0.252	-0.455	-0.080
YEL044W	-0.059	-0.069	-0.081	-0.068	-0.508	-0.056	-0.090	0.024	-0.501	-0.685	-0.075	-0.094	-0.048	-0.034
YEL045C	-0.084	-0.262	-0.085	-0.102	-0.660	-0.033	-0.123	-0.096	-0.764	-0.836	-0.094	-0.084	-0.079	-0.019
YEL046C	-0.036	-0.165	-0.082	-0.068	-0.779	-0.017	-0.076	-0.076	-0.817	-0.852	-0.089	-0.116	-0.089	-0.007
YEL050C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.007	-0.495	-0.743	-0.037	-0.042	-0.013	0.029
YEL051W	0.026	-0.140	-0.049	-0.003	-0.934	-0.980	-0.007	0.024	-0.645	-0.913	-0.018	-0.069	0.014	-0.994
YEL054C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.059	-0.215	-0.594	-0.153	-0.132	-0.103	-0.119
YEL062W	-0.024	-0.223	-0.069	-0.021	-0.906	-0.041	-0.041	0.039	-0.619	-0.855	-0.011	-0.084	-0.041	-0.019
YER014C-A	-0.093	-0.836	0.018	0.013	-0.688	-0.116	-0.026	-0.669	-0.895	-0.687	-0.028	-0.050	0.023	-0.509
YER014W	-0.015	-0.537	-0.049	0.015	-0.433	-0.047	-0.004	-0.550	-0.574	-0.515	0.046	-0.044	0.060	-0.104
YER019W	-0.085	-0.300	-0.107	-0.078	-0.514	-0.079	-0.076	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YER061C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.106	-0.717	-0.115	0.130	0.161	0.176	0.088
YER068W	-0.025	0.041	0.010	-0.008	-0.770	-0.045	-0.123	0.161	-0.563	-0.927	-0.091	-0.037	0.017	0.054
YER070W	0.066	-0.504	0.005	-0.047	-0.342	-0.204	-0.099	-0.476	-0.870	-0.511	-0.037	-0.007	0.010	-0.057
YER074W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.160	-0.277	-0.524	0.009	0.045	0.083	0.009
YER092W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.118	-0.541	-0.044	0.099	-0.013	0.002	0.014
YER111C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.095	-0.437	-0.504	0.054	0.112	0.050	0.115
YER117W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.079	-0.680	0.582	0.108	0.159	0.063	0.165
YER118C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.060	-0.667	0.580	0.055	0.039	0.014	0.157
YER141W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.031	-0.582	-0.114	-0.056	-0.001	-0.000	0.036
YER151C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.088	-0.409	-0.682	0.028	0.028	-0.045	0.028
YER156C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.001	-0.272	0.162	0.006	0.059	0.032	-0.802
YER164W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.038	-0.651	-0.446	0.081	0.050	0.010	0.028
YFL001W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.728	-0.201	-0.142	-0.030	-0.029	0.042	0.063
YFL012W-A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.048	-0.550	-0.157	-0.009	-0.022	0.061	0.187
YFL031W	0.011	-0.776	0.032	-0.026	0.108	0.020	0.017	0.042	-0.951	0.078	-0.085	-0.003	-0.036	-0.052
YFL032W	0.049	-0.732	0.027	0.009	0.179	0.021	0.033	0.135	-0.943	0.184	-0.064	0.063	-0.010	-0.056
YFR010W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.111	-0.547	1.158	-0.060	0.011	-0.038	-0.000
YFR019W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.163	-0.872	-0.626	0.041	0.023	0.129	0.073
YFR039C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.007	-0.235	-0.038	-0.782	0.023	0.024	0.079
YFR048W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.148	-0.501	-0.273	0.174	-0.010	0.008	0.063
YGL007W	0.023	-0.182	-0.025	-0.036	-0.532	-0.001	-0.091	0.010	-0.480	-0.730	0.044	-0.035	-0.012	-0.100
YGL012W	-0.047	-0.097	0.012	-0.022	-0.772	0.004	-0.103	-0.182	-0.208	-0.880	-0.962	-0.032	-0.042	-0.132
YGL020C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.130	0.010	-0.032	0.120	0.062	0.134	-0.758
YGL026C	-0.023	-0.015	-0.014	-0.021	-0.598	-0.049	-0.142	0.073	-0.023	-0.896	-0.130	-0.060	-0.018	-0.106
YGL038C	0.006	-0.293	-0.015	0.025	-0.462	-0.041	-0.944	-0.853	-0.511	-0.845	-0.984	-0.047	-0.747	-0.951
YGL054C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.041	-0.103	-0.662	-0.005	-0.028	-0.083	-0.095
YGL058W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.096	-0.587	0.282	0.006	0.006	-0.002	0.057
YGL066W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.135	-0.594	-0.036	0.033	-0.055	0.028	-0.043
YGL070C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.938	-0.682	-0.457	0.066	-0.034	0.085	0.126
YGL071W	-0.006	0.014	0.024	-0.013	-0.747	-0.021	-0.048	0.028	-0.030	-0.703	0.027	-0.040	0.057	-0.892
YGL084C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.115	-0.221	-0.514	-0.637	-0.080	-0.042	-0.055
YGL095C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.971	-0.042	-0.643	-0.658	-0.010	0.089	-0.928
YGL107C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	-0.208	-0.553	-0.044	0.004	0.039	-0.019
YGL109W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.044	-0.387	-0.570	0.031	0.065	0.023	0.097
YGL124C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.017	-0.157	-0.542	0.098	0.105	0.068	-0.803
YGL135W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.179	-0.433	-0.680	-0.058	0.085	0.143	0.004
YGL165C	-0.032	-0.144	-0.020	-0.051	-0.103	-0.010	-0.963	-0.189	-0.199	-0.006	-0.984	-0.057	-0.084	-0.038
YGL166W	0.010	-0.125	0.006	-0.005	-0.061	0.052	-0.978	-0.040	-0.256	0.019	-0.986	-0.045	-0.015	0.030
YGL167C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.549	-0.208	-0.173	-0.034	-0.030	0.002	0.076
YGL195W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.090	-0.417	-0.613	-0.011	-0.003	-0.015	-0.087
YGL197W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.022	-0.361	-0.576	-0.167	-0.001	-0.020	-0.066
YGL206C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.023	-0.666	-0.440	-0.973	0.049	0.079	-0.209
YGL211W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.054	-0.144	-0.056	-0.562	-0.001	-0.026	-0.040
YGL212W	-0.030	-0.159	0.053	-0.070	-0.613	-0.093	-0.029	-0.035	-0.188	-0.724	-0.071	-0.013	-0.028	-0.154
YGL213C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.106	-0.263	-0.525	-0.001	0.017	0.013	-0.019
YGL231C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.050	-0.283	-0.354	-0.521	-0.057	-0.007	-0.063
YGL244W	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.085	-0.580	-0.454	0.093	0.001	-0.008	0.013
