ORF	hap alpha | growth (exponential growth rate) | standard [standard] | Yoshikawa K~Shimizu H, 2011
YOR322C	0.272
YOR323C	0.268
YOR324C	0.343
YOR327C	0.332
YOR328W	0.359
YOR332W	0.251
YOR334W	0.344
YOR337W	0.332
YOR338W	0.340
YOR339C	0.343
YOR342C	0.340
YOR343C	0.338
YOR344C	0.344
YOR346W	0.345
YOR347C	0.343
YOR348C	0.362
YOR349W	0.355
YOR350C	0.324
YOR351C	0.346
YOR352W	0.348
YOR354C	0.342
YOR355W	0.335
YOR356W	0.340
YOR357C	0.351
YOR358W	0.327
YOR359W	0.292
YOR360C	0.339
YOR363C	0.338
YOR365C	0.339
YOR367W	0.345
YOR368W	0.344
YOR371C	0.330
YOR374W	0.334
YOR376W	0.331
YOR377W	0.340
YOR378W	0.351
YOR380W	0.351
YOR381W	0.347
YOR382W	0.339
YOR383C	0.344
YOR384W	0.350
YOR385W	0.345
YOR386W	0.350
YOL001W	0.347
YOL002C	0.340
YOL003C	0.340
YOL004W	0.292
YOL006C	0.284
YOL007C	0.329
YOL008W	0.297
YOL011W	0.346
YOL012C	0.287
YOL013C	0.340
YOL014W	0.342
YOL015W	0.344
YOL017W	0.342
YOL018C	0.344
YOL019W	0.337
YOL020W	0.345
YOL023W	0.318
YOL024W	0.344
YOL025W	0.336
YOL027C	0.289
YOL028C	0.329
YOL029C	0.336
YOL030W	0.334
YOL031C	0.342
YOL032W	0.340
YOL035C	0.332
YOL036W	0.330
YOL037C	0.337
YOL039W	0.306
YOL041C	0.277
YOL042W	0.332
YOL043C	0.327
YOL044W	0.335
YOL045W	0.271
YOL046C	0.277
YOL047C	0.343
YOL048C	0.326
YOL049W	0.325
YOL050C	0.324
YOL051W	0.234
YOL052C	0.293
YOL052C-A	0.318
YOL053W	0.339
YOL054W	0.337
YOL055C	0.332
YOL056W	0.349
YOL057W	0.328
YOL058W	0.358
YOL059W	0.353
YOL060C	0.349
YOL061W	0.351
YOL062C	0.354
YOL063C	0.344
YOL064C	0.348
YOL065C	0.348
YOL067C	0.348
YOL068C	0.330
YOL070C	0.336
YOL071W	0.315
YOL072W	0.300
YOL075C	0.345
YOL076W	0.339
YOL079W	0.345
YOL080C	0.337
YOL081W	0.346
YOL082W	0.344
YOL084W	0.343
YOL085C	0.342
YPL274W	0.341
YPL273W	0.345
YPL272C	0.345
YPL270W	0.350
YPL269W	0.352
YPL267W	0.349
YPL265W	0.354
YPL264C	0.339
YPL263C	0.327
YPL262W	0.293
YPL260W	0.348
YPL261C	0.335
YPL259C	0.336
YPL258C	0.334
YPL257W	0.346
YPL256C	0.332
YPL254W	0.252
YPL253C	0.342
YPL250C	0.338
YPL249C	0.342
YPL248C	0.370
YPL247C	0.344
YPL246C	0.334
YPL245W	0.316
YPL244C	0.353
YPL241C	0.338
YPL240C	0.335
YPL239W	0.310
YPL236C	0.342
YPL234C	0.247
YPL232W	0.346
YPL230W	0.354
YPL229W	0.354
YPL227C	0.352
YPL226W	0.294
YPL225W	0.347
YPL223C	0.353
YPL222W	0.358
YPL221W	0.351
YPL220W	0.335
YPL219W	0.350
YPL216W	0.345
YPL214C	0.328
YPL213W	0.173
YPL212C	0.336
YPL208W	0.344
YPL207W	0.333
YPL206C	0.356
YPL205C	0.293
YPL203W	0.338
YPL202C	0.350
YPL201C	0.356
YPL200W	0.358
YPL199C	0.345
YPL198W	0.342
YPL197C	0.350
YPL196W	0.357
YPL195W	0.335
YPL194W	0.332
YPL193W	0.299
YPL192C	0.348
YPL191C	0.336
YPL189W	0.341
YPL188W	0.287
YPL187W	0.359
YPL185W	0.355
YPL186C	0.345
YPL184C	0.294
YPL181W	0.315
YPL182C	0.313
YPL180W	0.247
YPL179W	0.335
YPL178W	0.309
YPL177C	0.344
YPL176C	0.336
YPL174C	0.297
YPL171C	0.329
YPL170W	0.332
YPL168W	0.324
YPL167C	0.349
YPL166W	0.343
YPL165C	0.334
YPL164C	0.347
YPL163C	0.337
YPL162C	0.340
YPL161C	0.352
YPL159C	0.351
YPL157W	0.326
YPL156C	0.343
YPL155C	0.341
YPL154C	0.345
YPL152W	0.339
YPL150W	0.335
YPL149W	0.357
YPL147W	0.344
YPL145C	0.348
YPL144W	0.296
YPL141C	0.344
YPL140C	0.342
YPL139C	0.325
YPL138C	0.324
YPL136W	0.336
YPL135W	0.334
YPL133C	0.341
YPL130W	0.341
YPL129W	0.124
YPL127C	0.349
YPL125W	0.339
YPL123C	0.331
YPL121C	0.326
YPL120W	0.341
YPL119C	0.335
YPL118W	0.289
YPL116W	0.329
YPL115C	0.325
YPL114W	0.344
YPL113C	0.335
YPL112C	0.338
YPL111W	0.341
YPL110C	0.338
YPL109C	0.338
YPL108W	0.337
YPL107W	0.327
YPL106C	0.337
YPL105C	0.330
YPL103C	0.334
YPL101W	0.264
YPL102C	0.283
YPL100W	0.353
YPL099C	0.348
YPL098C	0.326
YPL097W	0.231
YPL096W	0.333
YPL095C	0.331
YPL092W	0.329
YBR173C	0.331
YBR174C	0.275
YBR175W	0.273
YBR176W	0.338
YBR177C	0.358
YBR178W	0.355
YBR180W	0.353
YBR181C	0.263
YBR182C	0.342
YBR183W	0.348
YBR184W	0.349
YBR185C	0.355
YBR186W	0.348
YBR187W	0.332
YBR188C	0.344
YBR194W	0.343
YBR195C	0.318
YBR197C	0.343
YBR199W	0.330
YBR200W	0.351
YBR201W	0.340
YBR203W	0.332
YBR204C	0.343
YBR205W	0.345
YBR206W	0.334
YBR207W	0.345
YBR208C	0.338
YBR209W	0.339
YBR210W	0.330
YBR212W	0.350
YBR213W	0.341
YBR214W	0.339
YBR215W	0.306
YBR216C	0.337
YBR217W	0.337
YBR218C	0.335
YBR219C	0.336
YBR220C	0.336
YBR221C	0.333
YBR222C	0.335
YBR223C	0.336
YBR224W	0.345
YBR225W	0.354
YBR226C	0.349
YBR227C	0.343
YBR228W	0.343
YBR229C	0.310
YBR230C	0.314
YBR231C	0.329
YBR233W	0.324
YBR235W	0.337
YBR238C	0.324
YBR239C	0.336
YBR240C	0.333
YBR241C	0.334
YBR242W	0.339
YBR244W	0.341
YBR245C	0.312
YBR246W	0.318
YBR248C	0.338
YBR249C	0.340
YBR250W	0.338
YBR255W	0.347
YBR258C	0.324
YBR259W	0.336
YBR260C	0.326
YBR261C	0.341
YBR262C	0.336
YBR263W	0.335
YBR264C	0.335
YBR266C	0.299
YBR267W	0.290
YDR049W	0.339
YDR051C	0.329
YDR055W	0.322
YDR056C	0.349
YDR057W	0.331
YDR059C	0.339
YDR061W	0.334
YDR063W	0.324
YDR065W	0.314
YDR066C	0.332
YDR067C	0.319
YDR068W	0.327
YDR069C	0.337
YDR070C	0.336
YDR072C	0.325
YDR073W	0.309
YDR075W	0.335
YDR076W	0.326
YDR078C	0.303
YDR079W	0.281
YDR080W	0.325
YDR083W	0.305
YDR084C	0.329
YDR085C	0.332
YDR089W	0.325
YDR090C	0.330
YDR092W	0.318
YDR093W	0.320
YDR094W	0.318
YDR095C	0.323
YDR097C	0.325
YDR098C	0.341
YDR099W	0.314
YDR100W	0.326
YDR101C	0.294
YDR102C	0.318
YDR104C	0.322
YDR105C	0.324
YDR107C	0.325
YDR108W	0.338
YDR109C	0.351
YDR110W	0.335
YDR111C	0.359
YDR112W	0.333
YDR116C	0.329
YDR117C	0.339
YDR119W	0.344
YDR120C	0.336
YDR121W	0.352
YDR122W	0.351
YDR123C	0.347
YDR124W	0.337
YDR125C	0.337
YDR126W	0.336
YDR128W	0.299
YDR129C	0.323
YDR130C	0.343
YDR131C	0.337
YDR132C	0.339
YDR133C	0.342
YDR134C	0.336
YDR135C	0.340
YDR136C	0.335
YDR137W	0.339
YER055C	0.347
YDR139C	0.338
YDR140W	0.340
YDR142C	0.341
YDR143C	0.341
YDR144C	0.341
YDR146C	0.339
YDR338C	0.338
YDR340W	0.338
YDR344C	0.342
YDR345C	0.336
YDR346C	0.355
YDR348C	0.344
YDR349C	0.353
YDR351W	0.341
YDR352W	0.330
YDR354W	0.349
YDR357C	0.343
YDR358W	0.340
YDR359C	0.228
YDR360W	0.326
YDR363W	0.286
YDR368W	0.339
YDR370C	0.341
YDR371W	0.341
YDR372C	0.344
YDR374C	0.330
YDR378C	0.312
YDR379W	0.348
YDR380W	0.339
YDR382W	0.244
YDR383C	0.345
YDR384C	0.338
YDR385W	0.330
YDR386W	0.338
YDR387C	0.343
YDR389W	0.337
YDR391C	0.328
YDR392W	0.316
YDR393W	0.327
YDR395W	0.361
YDR399W	0.344
YDR400W	0.340
YDR401W	0.335
YDR402C	0.342
YDR403W	0.315
YDR406W	0.334
YDR408C	0.338
YDR409W	0.338
YDR410C	0.337
YDR411C	0.335
YDR414C	0.333
YDR415C	0.334
YDR418W	0.290
YDR419W	0.359
YDR420W	0.342
YDR421W	0.338
YDR422C	0.335
YDR423C	0.341
YDR425W	0.338
YDR426C	0.338
YDR428C	0.340
YDR430C	0.336
YDR431W	0.237
YDR432W	0.260
YDR433W	0.255
YDR435C	0.343
YDR436W	0.332
YEL001C	0.319
YEL003W	0.246
YEL005C	0.334
YEL006W	0.333
YEL007W	0.329
YEL008W	0.335
YEL009C	0.328
YEL010W	0.328
YEL013W	0.305
YEL014C	0.329
YEL015W	0.326
YEL016C	0.339
YEL017C-A	0.346
YEL017W	0.346
YEL018W	0.345
YEL020C	0.343
YEL023C	0.338
YEL024W	0.354
YEL025C	0.350
YEL027W	0.353
YEL028W	0.332
YEL030W	0.333
YEL031W	0.348
YEL033W	0.341
YER016W	0.334
YEL037C	0.337
YEL038W	0.351
YEL039C	0.342
YEL041W	0.348
YEL042W	0.351
YEL043W	0.342
YER028C	0.325
YEL045C	0.338
YEL046C	0.299
YEL047C	0.336
YEL048C	0.346
YEL049W	0.342
YEL050C	0.336
YEL051W	0.339
YEL052W	0.356
YEL053C	0.286
YEL054C	0.334
YEL056W	0.340
YEL057C	0.328
YEL059W	0.326
YEL060C	0.338
YEL061C	0.268
YEL062W	0.343
YEL063C	0.344
YEL064C	0.346
YEL065W	0.254
YEL066W	0.332
YEL067C	0.337
YEL068C	0.247
YEL071W	0.295
YEL072W	0.333
YER001W	0.320
YER002W	0.335
YER004W	0.325
YER005W	0.317
YER007C-A	0.327
YER007W	0.336
YER010C	0.332
YER011W	0.324
YER019W	0.340
YER019C-A	0.349
YER020W	0.343
YER024W	0.314
YER030W	0.324
YER033C	0.341
YER034W	0.270
YER035W	0.336
YER038W-A	0.240
YER040W	0.331
YER041W	0.338
YER042W	0.315
YER044C-A	0.301
YER045C	0.328
YER046W-A	0.331
YER047C	0.336
YER048C	0.341
YER051W	0.336
YER053C	0.327
YER054C	0.322
YER056C	0.337
YER056C-A	0.116
YER058W	0.087
YER059W	0.344
YER060W	0.345
YER062C	0.343
YER065C	0.262
YER067W	0.257
YER067C-A	0.333
YER044C	0.328
YER068C-A	0.270
YER069W	0.324
YER071C	0.335
YER072W	0.302
YER073W	0.337
YER074W	0.294
YER075C	0.331
YER080W	0.319
YER081W	0.298
YER083C	0.338
YER084W	0.337
YER085C	0.332
YER086W	0.338
YER087W	0.334
YER087C-B	0.327
YGR123C	0.336
YGR124W	0.317
YGR125W	0.332
YGR126W	0.324
YGR127W	0.322
YGR129W	0.330
YGR130C	0.335
YGR131W	0.321
YGR132C	0.351
YGR133W	0.354
YGR135W	0.276
YGR136W	0.365
YGR137W	0.355
YGR138C	0.346
YGR139W	0.341
YGR141W	0.325
YGR142W	0.349
YGR143W	0.351
YGR144W	0.329
YGR146C	0.345
YGR148C	0.334
YGR149W	0.343
YGR151C	0.341
YGR152C	0.336
YGR153W	0.329
YGR154C	0.340
YGR157W	0.283
YGR159C	0.221
YGR160W	0.208
YGR161C	0.344
YGR163W	0.271
YGR164W	0.341
YGR165W	0.345
YGR166W	0.333
YGR168C	0.346
YGR169C	0.327
YGR170W	0.322
YGR173W	0.339
YGR176W	0.338
YGR177C	0.329
YGR178C	0.296
YGR181W	0.338
YGR182C	0.331
YGR183C	0.329
YGR184C	0.350
YGR187C	0.306
YGR189C	0.340
YGR192C	0.326
YGR193C	0.332
YGR194C	0.337
YGR196C	0.332
YGR197C	0.337
YGR199W	0.336
YGR200C	0.254
YGR202C	0.303
YGR203W	0.331
YGR205W	0.334
YGR206W	0.344
YGR207C	0.347
YGR208W	0.342
YGR209C	0.342
YGR212W	0.346
YGR213C	0.341
YGR214W	0.263
YGR217W	0.325
YHL047C	0.311
YHL046C	0.310
YHL045W	0.293
YHL044W	0.317
YHL043W	0.299
YHL040C	0.324
YHL037C	0.301
YHL036W	0.300
YHL035C	0.301
YHL034C	0.296
YHL033C	0.263
YHL032C	0.299
YHL031C	0.331
YHL028W	0.317
YHL027W	0.308
YHL026C	0.324
YHL023C	0.366
YHL022C	0.314
YHL020C	0.331
YHL019C	0.295
YHL017W	0.319
YHL014C	0.310
YHL013C	0.318
YHL012W	0.339
YHL010C	0.325
YHL009C	0.303
YHL008C	0.299
YHL006C	0.312
YHR001W-A	0.321
YHR012W	0.323
YHR013C	0.302
YHR014W	0.331
YHR015W	0.326
YHR018C	0.324
YHR021C	0.244
YHR022C	0.303
YHR028C	0.318
YHR029C	0.211
YHR030C	0.230
YHR031C	0.315
YHR033W	0.280
YHR034W	0.257
YHR035W	0.331
YHR037W	0.318
YHR038W	0.286
YHR039C	0.322
YHR043C	0.319
YHR044C	0.320
YHR046C	0.337
YHR047C	0.328
YHR048W	0.335
YHR049W	0.351
YHR049C-A	0.333
YHR050W	0.350
YHR057C	0.345
YHR060W	0.234
YHR061C	0.348
YHR066W	0.270
YHR073W	0.326
YHR075C	0.375
YHR076W	0.349
YHR077C	0.321
YHR078W	0.347
YHR079C	0.220
YHR080C	0.353
YHR081W	0.298
YHR082C	0.320
YHR086W	0.358
YHR087W	0.341
YHR092C	0.350
YHR093W	0.337
YHR094C	0.319
YHR095W	0.327
YHR096W	0.337
YHR097C	0.335
YHR100C	0.328
YHR103W	0.279
YHR104W	0.321
YHR105W	0.352
YHR106W	0.363
YHR108W	0.310
YHR109W	0.321
YHR110W	0.306
YHR111W	0.260
YHR112C	0.317
YHR113W	0.334
YHR114W	0.334
YHR115C	0.306
YHR116W	0.306
YHR117W	0.284
YHR121W	0.294
YHR123W	0.316
YHR124W	0.284
YHR125W	0.300
YHR126C	0.315
YHR129C	0.290
YHR130C	0.266
YHR132C	0.328
YHR133C	0.330
YHR134W	0.313
YHR135C	0.317
YHR136C	0.321
YHR137W	0.329
YHR138C	0.333
YHR139C	0.335
YHR139C-A	0.344
YHR142W	0.324
YHR143W	0.344
YHR151C	0.344
YHR152W	0.342
YHR153C	0.329
YHR154W	0.325
YHR155W	0.327
YHR156C	0.337
YHR157W	0.339
YHR158C	0.334
YHR159W	0.339
YHR160C	0.320
YHR161C	0.369
YHR163W	0.353
YHR167W	0.305
YHR178W	0.305
YHR179W	0.329
YHR182W	0.302
YHR183W	0.205
YHR184W	0.314
YHR189W	0.320
YHR195W	0.343
YHR198C	0.334
YHR199C	0.329
YHR200W	0.273
YHR202W	0.346
YHR203C	0.287
YHR204W	0.346
YHR206W	0.352
YHR207C	0.328
YHR209W	0.340
YHR210C	0.339
YCL001W	0.336
YCL002C	0.342
YCL004W	0.335
YCL005W	0.337
YCL007C	0.287
YCL008C	0.326
YCL009C	0.325
YCL011C	0.322
YCL014W	0.330
YCL013W	0.311
YCL016C	0.329
YCL024W	0.332
YCL025C	0.331
YCL026C	0.335
YCL027W	0.335
YCL028W	0.329
YCL029C	0.312
YCL033C	0.338
YCL034W	0.337
YCL036W	0.345
YCL037C	0.264
YCL039W	0.324
YCL040W	0.327
YCL042W	0.335
YCL044C	0.346
YCL045C	0.338
YCL046W	0.364
YCL047C	0.349
YCL048W	0.335
YCL049C	0.345
YCL050C	0.335
YCL051W	0.350
YCL055W	0.338
YCL056C	0.327
YCL057W	0.334
YCL061C	0.356
YCL063W	0.320
YCL064C	0.334
YCL069W	0.329
YCR001W	0.347
YCR004C	0.333
YCR005C	0.354
YCR006C	0.343
YCR007C	0.333
YCR008W	0.331
YCR009C	0.312
YCR010C	0.334
YCR011C	0.337
YCR014C	0.335
YCR015C	0.329
YCR016W	0.326
YCR017C	0.328
YCR019W	0.332
YCR020C	0.335
YCR020C-A	0.335
YCR021C	0.334
YCR022C	0.324
YCR023C	0.336
YLR420W	0.283
YLR451W	0.317
YLR126C	0.332
YLR128W	0.326
YLR130C	0.323
YLR131C	0.294
YLR133W	0.325
YLR134W	0.322
YLR135W	0.324
YLR136C	0.325
YLR137W	0.346
YLR138W	0.322
YLR142W	0.312
YLR143W	0.307
YLR149C	0.338
YLR150W	0.274
YLR151C	0.341
YLR152C	0.343
YLR154C	0.346
YLR164W	0.337
