orf	hap alpha | growth (exponential growth rate) | standard [standard] | Yoshikawa K~Shimizu H, 2011
YBR238C	0.32409132871984797
YBR239C	0.3357829603468694
YBR240C	0.33314760271685
YBR241C	0.3343448838071993
YBR242W	0.33869582090934786
YBR244W	0.34075387124823914
YBR245C	0.31191700109253806
YBR246W	0.3179985693960773
YBR248C	0.3376386348392775
YBR249C	0.3396690644640962
YBR250W	0.33788931980647546
YBR251W	0.26889300880992134
YBR255W	0.34746030935609906
YBR258C	0.3236458507251231
YBR259W	0.33638155494315075
YBR260C	0.32632299931996167
YBR261C	0.34135321646533423
YBR262C	0.3359462089576498
YBR263W	0.3352878087558745
YBR264C	0.3354368471678565
YBR266C	0.29882211204438874
YBR267W	0.2901680458571425
YBR268W	0.276445513660087
YBR269C	0.3434572529179628
YBR270C	0.35692781422837616
YBR271W	0.34450102309828845
YBR272C	0.3535376740746897
YBR273C	0.3421051652875263
YBR274W	0.34323890791471207
YBR275C	0.34844934805960814
YBR276C	0.3395394586409234
YBR277C	0.33662821428599005
YBR278W	0.333599694219915
YBR279W	0.20882586915713375
YBR280C	0.3474265946655171
YBR281C	0.33879538810159654
YBR282W	0.3056336311618699
YBR283C	0.3346347116586173
YBR284W	0.33785500426743453
YBR285W	0.3420957809958427
YBR286W	0.344022943316964
YBR287W	0.3429414583060434
YBR288C	0.33704070712981476
YBR289W	0.20443100258247804
YBR290W	0.337819784630047
YBR291C	0.3168160173507728
YBR292C	0.30547755895357387
YBR293W	0.33756581125596435
YBR294W	0.3476428084227161
YBR295W	0.3214426073023636
YBR296C	0.3326445161272931
YBR297W	0.3420446627607038
YBR298C	0.3138258637865373
YBR299W	0.34982212894412756
YBR300C	0.3174504768503072
YBR301W	0.341361997675478
YCL001W	0.3359071363517412
YCL001W-A	0.31797040067692955
YCL002C	0.3420168056803856
YCL004W	0.3352907762792261
YCL005W	0.33696519337580677
YCL007C	0.2866405994080755
YCL008C	0.32633028111387385
YCL009C	0.32474506285234905
