orf	None | growth (colony size) | R3A-5a [1 uM] | Zatorska E~Strahl S, 2017
YBR069C	58.139534883720934
YBR071W	51.19047619047619
YBR072C-A	49.95236583042235
YBR072W	58.44155844155844
YBR073W	69.01408450704226
YBR074W	61.444598452808286
YBR076W	65.21739130434783
YBR077C	68.05555555555556
YBR081C	105.12820512820514
YBR082C	34.48275862068966
YBR083W	52.23880597014925
YBR084C-A	70.2127659574468
YBR084W	59.199999999999996
YBR085C-A	56.84587813620071
YBR085W	72.85714285714285
YBR089C-A	53.65853658536586
YBR090C	65.78947368421053
YBR092C	51.35135135135135
YBR093C	51.470588235294116
YBR094W	62.66666666666667
YBR098W	68.08718980549968
YBR099C	72.36842105263158
YBR103W	87.32394366197182
YBR104W	45.45454545454545
YBR106W	44.680851063829785
YBR107C	45.33333333333333
YBR108W	52.0
YBR111C	61.19402985074627
YBR111W-A	33.97435897435897
YBR113W	68.4931506849315
YBR114W	57.333333333333336
YBR115C	64.55696202531645
YBR116C	67.12328767123287
YBR119W	62.7906976744186
YBR121C	62.5
YBR125C	53.40909090909091
YBR128C	53.01204819277109
YBR129C	58.666666666666664
YBR130C	53.40909090909091
YBR131W	65.47619047619048
YBR132C	78.37837837837837
YBR134W	57.446808510638306
YBR137W	51.546391752577314
YBR138C	56.470588235294116
YBR139W	50.96153846153846
YBR141C	57.14285714285714
YBR144C	59.77011494252874
YBR145W	46.15384615384615
YBR146W	62.903225806451616
YBR147W	58.44155844155844
YBR148W	65.47619047619048
YBR149W	59.25925925925925
YBR150C	60.74074074074074
YBR151W	51.041666666666664
YBR156C	67.3913043478261
YBR157C	55.78947368421052
YBR158W	56.043956043956044
YBR159W	55.44554455445545
YBR161W	48.24561403508772
YBR162C	41.41414141414141
YBR162W-A	58.333333333333336
YBR163W	68.42105263157895
YBR164C	61.33333333333333
YBR165W	64.36781609195403
YBR166C	62.65060240963856
YBR169C	48.484848484848484
YBR170C	59.72222222222222
YBR171W	44.44444444444444
YBR172C	77.27272727272727
YBR174C	41.37931034482759
YBR175W	41.9753086419753
YBR176W	51.162790697674424
YBR177C	56.56565656565656
YBR178W	39.58333333333333
YBR179C	56.896551724137936
YBR180W	36.04651162790697
YBR181C	38.23529411764706
YBR182C	51.724137931034484
YBR182C-A	48.60671634173727
YBR183W	41.935483870967744
YBR184W	43.67816091954023
YBR185C	41.77215189873418
YBR186W	44.5945945945946
YBR187W	40.0
YBR188C	43.67816091954023
YBR189W	50.81967213114754
YBR191W	45.3125
YBR194W	41.9753086419753
YBR195C	34.146341463414636
YBR196C-A	20.694444444444443
YBR196C-B	48.56199119177899
YBR197C	42.168674698795186
YBR199W	55.42168674698795
YBR200W	12.0
YBR200W-A	61.502849002849004
YBR201W	56.25
