orf	het | chronological lifespan (relative abundance of dead cells) | nutrient starvation (7 d) | grape juice (Sunpride) | Davey HM~Griffith GW, 2012	het | growth (pooled culture, microarray) | nutrient starvation (48 h) | grape juice (Sunpride) | Davey HM~Griffith GW, 2012
YJL042W	-1.0	0.0
YJL050W	-1.0	0.0
YJL057C	0.0	-1.0
YJL058C	-1.0	0.0
YJL059W	-1.0	0.0
YJL061W	0.0	-1.0
YJL066C	-1.0	0.0
YJL071W	0.0	-1.0
YJL073W	-1.0	0.0
YJL074C	-1.0	0.0
YJL078C	0.0	-1.0
YJL079C	-1.0	0.0
YJL080C	-1.0	0.0
YJL094C	-1.0	0.0
YJL123C	-1.0	0.0
YJL127C	-1.0	0.0
YJL140W	-1.0	0.0
YJL158C	-1.0	0.0
YJL173C	-1.0	0.0
YJL187C	0.0	-1.0
YJL199C	-1.0	0.0
YJL213W	-1.0	0.0
YJL214W	-1.0	0.0
YJL216C	-1.0	0.0
YJR001W	-1.0	0.0
YJR006W	0.0	-1.0
YJR014W	-1.0	0.0
YJR022W	-1.0	0.0
YJR034W	-1.0	0.0
YJR056C	0.0	-1.0
YJR058C	0.0	-1.0
YJR059W	-1.0	0.0
YJR063W	-1.0	0.0
YJR078W	-1.0	0.0
YJR108W	-1.0	0.0
YJR113C	-1.0	0.0
YJR119C	-1.0	0.0
YJR121W	-1.0	0.0
YJR122W	-1.0	0.0
YJR135C	-1.0	0.0
YJR150C	-1.0	0.0
YKL015W	-1.0	0.0
YKL029C	-1.0	0.0
YKL031W	-1.0	0.0
YKL045W	-1.0	0.0
YKL052C	-1.0	0.0
YKL059C	0.0	-1.0
YKL061W	-1.0	0.0
YKL071W	-1.0	0.0
YKL080W	-1.0	0.0
YKL094W	-1.0	0.0
YKL097C	-1.0	0.0
YKL100C	-1.0	0.0
YKL102C	-1.0	0.0
YKL110C	-1.0	0.0
YKL113C	-1.0	0.0
YKL117W	-1.0	0.0
YKL127W	-1.0	0.0
YKL130C	-1.0	0.0
YKL133C	-1.0	0.0
YKL140W	-1.0	0.0
YKL151C	-1.0	0.0
YKL160W	-1.0	0.0
YKL162C	-1.0	0.0
YKL173W	-1.0	0.0
YKL193C	-1.0	0.0
YKL194C	-1.0	0.0
YKL201C	-1.0	0.0
YKL208W	-1.0	0.0
YKL210W	-1.0	0.0
YKL222C	-1.0	0.0
YKR005C	-1.0	0.0
YKR007W	-1.0	0.0
YKR009C	-1.0	0.0
YKR019C	-1.0	0.0
YKR029C	-1.0	0.0
YKR041W	-1.0	0.0
YKR042W	-1.0	0.0
YKR046C	-1.0	0.0
YKR048C	-1.0	0.0
YKR051W	-1.0	0.0
YKR054C	-1.0	0.0
YKR055W	-1.0	0.0
YKR065C	0.0	-1.0
YKR069W	-1.0	0.0
YKR071C	0.0	-1.0
YKR072C	-1.0	0.0
YKR076W	-1.0	0.0
YKR084C	-1.0	0.0
YKR086W	-1.0	0.0
YKR090W	-1.0	0.0
YKR092C	-1.0	0.0
YLL012W	-1.0	0.0
YLL013C	-1.0	0.0
YLL031C	-1.0	0.0
YLL041C	-1.0	0.0
YLL043W	-1.0	0.0
YLL045C	-1.0	0.0
YLL056C	-1.0	0.0
YLR002C	0.0	-1.0
YLR006C	0.0	-1.0
YLR008C	-1.0	0.0
YLR009W	-1.0	0.0
YLR022C	-1.0	0.0
YLR032W	-1.0	0.0
YLR054C	-1.0	0.0
YLR081W	-1.0	0.0
YLR088W	-1.0	0.0
YLR107W	-1.0	0.0
YLR111W	-1.0	0.0
YLR112W	-1.0	0.0
YLR122C	-1.0	0.0
YLR127C	0.0	-1.0
YLR135W	-1.0	0.0
YLR147C	0.0	-1.0
YLR149C	-1.0	0.0
YLR164W	-1.0	0.0
YLR165C	0.0	-1.0
YLR172C	-1.0	0.0
YLR177W	-1.0	0.0
YLR186W	-1.0	0.0
YLR187W	-1.0	0.0
YLR191W	-1.0	0.0
YLR197W	-1.0	0.0
YLR201C	-1.0	0.0
YLR203C	-1.0	0.0
YLR211C	-1.0	0.0
YLR219W	-1.0	0.0
YLR236C	-1.0	0.0
YLR239C	-1.0	0.0
YLR240W	-1.0	0.0
YLR243W	-1.0	0.0
YLR250W	-1.0	0.0
YLR253W	-1.0	0.0
YLR263W	-1.0	0.0
YLR267W	-1.0	0.0
YLR308W	-1.0	0.0
YLR311C	-1.0	0.0
YLR312W-A	-1.0	0.0
YLR321C	-1.0	0.0
YLR338W	0.0	-1.0
YLR344W	-1.0	0.0
YLR346C	-1.0	0.0
YLR348C	-1.0	0.0
YLR359W	-1.0	0.0
YLR360W	-1.0	0.0
YLR367W	-1.0	0.0
YLR368W	-1.0	0.0
YLR371W	-1.0	0.0
YLR373C	-1.0	0.0
YLR380W	-1.0	0.0
YLR390W-A	-1.0	0.0
YLR394W	-1.0	0.0
YLR398C	-1.0	0.0
YLR399C	-1.0	0.0
YLR404W	-1.0	0.0
YLR406C	-1.0	0.0
YLR407W	-1.0	0.0
YLR408C	-1.0	0.0
YLR415C	-1.0	0.0
YLR438C-A	-1.0	0.0
YLR450W	0.0	-1.0
YLR455W	0.0	-1.0
YML006C	-1.0	0.0
YML009C	-1.0	0.0
YML027W	0.0	-1.0
YML058W	-1.0	0.0
YML061C	-1.0	0.0
YML062C	-1.0	0.0
YML075C	-1.0	0.0
YML077W	0.0	-1.0
YML078W	-1.0	0.0
YML084W	-1.0	0.0
YML087C	-1.0	0.0
YML091C	-1.0	0.0
YML094W	-1.0	0.0
YML113W	-1.0	0.0
YMR004W	-1.0	0.0
YMR020W	-1.0	0.0
YMR028W	-1.0	0.0
YMR029C	-1.0	0.0
YMR037C	-1.0	0.0
YMR047C	-1.0	0.0
YMR057C	-1.0	0.0
YMR077C	-1.0	0.0
YMR091C	0.0	-1.0
YMR102C	-1.0	0.0
YMR117C	-1.0	0.0
YMR122C	-1.0	0.0
YMR123W	-1.0	0.0
YMR128W	-1.0	0.0
YMR129W	-1.0	0.0
YMR139W	0.0	-1.0
YMR140W	-1.0	0.0
YMR145C	-1.0	0.0
YMR148W	-1.0	0.0
YMR153W	-1.0	0.0
YMR159C	-1.0	0.0
YMR170C	-1.0	0.0
YMR171C	-1.0	0.0
YMR173W	-1.0	0.0
YMR175W	-1.0	0.0
YMR178W	-1.0	0.0
YMR189W	-1.0	0.0
YMR192W	-1.0	0.0
YMR194W	-1.0	0.0
YMR199W	-1.0	0.0
YMR203W	-1.0	0.0
YMR204C	0.0	-1.0
YMR206W	-1.0	0.0
YMR211W	-1.0	0.0
YMR215W	0.0	-1.0
YMR220W	-1.0	0.0
YMR232W	-1.0	0.0
YMR237W	-1.0	0.0
YMR238W	-1.0	0.0
YMR241W	-1.0	0.0
YMR244C-A	-1.0	0.0
YMR261C	0.0	-1.0
YMR262W	-1.0	0.0
YMR264W	-1.0	0.0
YMR269W	-1.0	0.0
YMR272C	-1.0	0.0
YMR276W	-1.0	0.0
YMR279C	-1.0	0.0
YMR287C	-1.0	0.0
YMR292W	-1.0	0.0
YMR294W	-1.0	0.0
YMR298W	-1.0	0.0
YMR301C	-1.0	0.0
YMR304W	-1.0	0.0
YMR305C	-1.0	0.0
YMR309C	-1.0	0.0
YMR312W	-1.0	0.0
YNL008C	0.0	-1.0
YNL010W	-1.0	0.0
YNL013C	0.0	-1.0
YNL028W	0.0	-1.0
YNL030W	0.0	-1.0
YNL037C	0.0	-1.0
YNL047C	-1.0	0.0
YNL080C	-1.0	0.0
YNL097C	-1.0	0.0
YNL102W	-1.0	0.0
YNL118C	-1.0	0.0
YNL121C	-1.0	0.0
YNL127W	-1.0	0.0
YNL134C	-1.0	0.0
YNL138W	-1.0	-1.0
YNL141W	-1.0	0.0
YNL182C	-1.0	0.0
YNL185C	-1.0	0.0
YNL196C	-1.0	0.0
YNL201C	-1.0	-1.0
YNL207W	-1.0	0.0
YNL211C	-1.0	0.0
YNL233W	-1.0	0.0
YNL238W	-1.0	0.0
YNL242W	-1.0	0.0
YNL244C	-1.0	0.0
YNL247W	0.0	-1.0
YNL249C	-1.0	0.0
YNL258C	-1.0	0.0
YNL259C	-1.0	0.0
YNL268W	-1.0	0.0
YNL270C	-1.0	0.0
YNL271C	-1.0	0.0
YNL277W	0.0	-1.0
YNL290W	-1.0	0.0
YNL306W	-1.0	0.0
YNL315C	-1.0	0.0
YNL320W	-1.0	0.0
YNL326C	-1.0	0.0
YNL327W	-1.0	0.0
YNL329C	-1.0	0.0
YNL335W	-1.0	0.0
YNL339C	-1.0	0.0
YNR001C	-1.0	0.0
YNR002C	-1.0	0.0
YNR004W	-1.0	0.0
YNR006W	-1.0	0.0
YNR008W	0.0	-1.0
YNR020C	0.0	-1.0
YNR024W	0.0	-1.0
YNR029C	-1.0	0.0
YNR034W	0.0	-1.0
YNR039C	0.0	-1.0
YNR043W	0.0	-1.0
YNR044W	-1.0	0.0
YNR048W	-1.0	0.0
YNR050C	0.0	-1.0
YNR056C	-1.0	0.0
YNR058W	-1.0	0.0
YNR063W	-1.0	0.0
YOL003C	-1.0	0.0
YOL005C	-1.0	0.0
YOL009C	-1.0	0.0
YOL010W	-1.0	0.0
YOL016C	-1.0	0.0
YOL036W	-1.0	0.0
YOL043C	-1.0	0.0
YOL053W	-1.0	0.0
YOL063C	-1.0	0.0
YOL072W	-1.0	0.0
YOL085C	-1.0	0.0
YOL087C	-1.0	0.0
YOL098C	-1.0	0.0
YOL116W	-1.0	0.0
YOL123W	-1.0	0.0
YOL141W	-1.0	0.0
YOL143C	-1.0	0.0
YOL162W	0.0	-1.0
YOL166C	-1.0	0.0
YOR002W	-1.0	0.0
YOR003W	-1.0	0.0
YOR005C	-1.0	0.0
YOR010C	-1.0	0.0
YOR011W	-1.0	0.0
YOR027W	-1.0	0.0
YOR033C	0.0	-1.0
YOR043W	-1.0	0.0
YOR047C	-1.0	0.0
YOR063W	-1.0	0.0
YOR064C	-1.0	0.0
YOR067C	-1.0	0.0
YOR070C	-1.0	0.0
YOR073W	-1.0	0.0
YOR075W	-1.0	0.0
YOR101W	-1.0	0.0
YOR122C	0.0	-1.0
YOR131C	-1.0	0.0
YOR140W	-1.0	0.0
YOR147W	-1.0	0.0
YOR166C	-1.0	0.0
YOR167C	-1.0	0.0
YOR172W	0.0	-1.0
YOR179C	-1.0	0.0
YOR183W	-1.0	0.0
YOR184W	-1.0	0.0
YOR197W	-1.0	0.0
YOR206W	-1.0	0.0
YOR211C	-1.0	0.0
YOR215C	-1.0	0.0
YOR223W	-1.0	0.0
YOR229W	-1.0	0.0
YOR230W	-1.0	0.0
YOR231W	-1.0	0.0
YOR244W	-1.0	0.0
YOR245C	-1.0	0.0
YOR248W	0.0	-1.0
YOR253W	-1.0	0.0
YOR268C	-1.0	0.0
YOR270C	-1.0	0.0
YOR273C	-1.0	0.0
YOR274W	-1.0	0.0
YOR275C	-1.0	0.0
YOR276W	-1.0	0.0
YOR288C	0.0	-1.0
YOR294W	-1.0	0.0
YOR298C-A	-1.0	0.0
YOR310C	-1.0	0.0
YOR315W	-1.0	0.0
YOR319W	-1.0	0.0
YOR322C	-1.0	0.0
YOR334W	-1.0	0.0
YOR343C	-1.0	0.0
YOR349W	-1.0	0.0
YOR369C	-1.0	0.0
YOR375C	-1.0	0.0
YOR380W	-1.0	0.0
YOR382W	-1.0	0.0
YOR383C	-1.0	0.0
YOR385W	-1.0	0.0
YPL001W	0.0	-1.0
YPL013C	0.0	-1.0
YPL019C	0.0	-1.0
YPL027W	0.0	-1.0
YPL029W	0.0	-1.0
YPL030W	0.0	-1.0
YPL036W	-1.0	0.0
YPL041C	-1.0	0.0
YPL042C	-1.0	0.0
YPL043W	-1.0	0.0
YPL053C	0.0	-1.0
YPL057C	-1.0	0.0
YPL058C	-1.0	0.0
YPL059W	-1.0	0.0
YPL067C	-1.0	0.0
YPL071C	-1.0	0.0
YPL081W	-1.0	0.0
YPL090C	-1.0	0.0
YPL093W	-1.0	0.0
YPL099C	-1.0	0.0
YPL100W	-1.0	0.0
YPL103C	-1.0	0.0
YPL105C	-1.0	0.0
YPL112C	-1.0	0.0
YPL115C	-1.0	0.0
YPL128C	-1.0	0.0
YPL140C	-1.0	0.0
YPL145C	-1.0	0.0
YPL172C	-1.0	0.0
YPL173W	-1.0	0.0
YPL178W	-1.0	0.0
YPL183C	0.0	-1.0
YPL186C	-1.0	0.0
YPL187W	-1.0	0.0
YPL193W	-1.0	-1.0
YPL199C	-1.0	0.0
YPL205C	0.0	-1.0
YPL215W	-1.0	0.0
YPL220W	-1.0	0.0
YPL224C	-1.0	0.0
YPL225W	0.0	-1.0
YPL226W	-1.0	0.0
YPL230W	-1.0	0.0
YPL239W	-1.0	0.0
YPL256C	-1.0	0.0
YPL263C	-1.0	-1.0
YPL265W	0.0	-1.0
YPL272C	0.0	-1.0
YPR008W	-1.0	0.0
YPR013C	-1.0	0.0
YPR026W	0.0	-1.0
YPR031W	-1.0	0.0
YPR035W	-1.0	0.0
YPR037C	-1.0	0.0
YPR042C	-1.0	0.0
YPR046W	-1.0	0.0
