ORF	hap a | growth (colony size) | nicotinamide [120 mM]
YBR132C	0.687
YBR134W	1.030
YBR137W	0.985
YBR138C	0.894
YBR139W	0.946
YBR141C	0.870
YBR144C	1.090
YBR145W	0.932
YBR146W	0.971
YBR147W	0.823
YBR148W	0.940
YBR149W	0.873
YBR150C	1.554
YBR151W	0.863
YBR156C	0.936
YBR157C	1.101
YBR158W	1.008
YBR159W	0.982
YBR161W	1.074
YBR162C	0.962
YBR162W-A	0.988
YBR164C	1.754
YBR165W	1.003
YBR166C	0.919
YBR168W	1.141
YBR169C	0.960
YBR170C	1.118
YBR171W	1.898
YBR172C	0.911
YBR174C	1.129
YBR175W	0.937
YBR176W	1.400
YBR177C	1.003
YBR178W	1.005
YBR180W	0.979
YBR181C	1.063
YBR182C	1.293
YBR183W	0.986
YBR184W	0.702
YBR185C	0.937
YBR186W	0.989
YBR187W	1.310
YBR188C	0.948
YBR189W	4.306
YBR194W	1.008
YBR195C	1.542
YBR197C	0.890
YBR199W	0.946
YBR200W	9.107
YBR201W	0.974
YBR203W	0.921
YBR204C	1.048
YBR205W	1.174
YBR206W	1.024
YBR207W	1.014
YBR208C	1.065
YBR209W	0.918
YBR210W	1.046
YBR212W	0.962
YBR213W	0.671
YBR214W	1.194
YBR215W	1.160
YBR216C	1.156
YBR217W	0.903
YBR218C	0.902
YBR219C	1.139
YBR220C	1.042
YBR221C	1.004
YBR222C	0.992
YBR223C	1.006
YBR224W	1.033
YBR225W	0.950
YBR226C	1.213
YBR227C	1.179
YBR228W	1.018
YBR229C	1.001
YBR230C	1.045
YBR231C	2.711
YBR232C	0.912
YBR233W	0.892
YBR235W	1.083
YBR238C	1.057
YBR239C	0.901
YBR240C	1.079
YBR241C	0.889
YBR242W	1.553
YBR244W	1.022
YBR245C	1.690
YBR246W	1.157
YBR248C	0.671
YBR249C	0.936
YBR250W	0.933
YBR255W	0.881
YBR258C	0.879
YBR259W	0.985
YBR260C	0.996
YBR261C	1.194
YBR262C	1.043
YBR263W	0.889
YBR264C	0.888
YBR266C	0.844
YBR267W	1.298
YBR269C	1.273
YBR270C	1.022
YBR271W	0.781
YBR272C	0.767
YBR273C	0.787
YBR274W	0.897
YBR275C	1.024
YBR276C	1.672
YBR277C	1.918
YBR278W	2.428
YBR280C	0.865
YBR281C	1.409
YBR283C	1.550
YBR284W	1.220
YBR285W	0.795
YBR286W	0.936
YBR287W	1.117
YBR288C	1.092
YBR289W	6.063
YBR290W	0.676
YBR291C	1.194
YBR292C	1.018
YBR293W	0.902
YBR294W	0.802
YBR295W	1.294
YBR296C	0.829
YBR297W	1.262
YBR298C	1.201
YBR299W	0.945
YBR300C	0.994
YBR301W	0.772
YCL001W	1.185
YCL001W-A	1.017
YCL002C	0.748
YCL006C	0.889
YCL009C	0.942
YCL010C	1.030
YCL011C	1.224
YCL012W	0.879
YCL013W	0.941
YCL014W	1.114
YCL016C	1.773
YCL022C	0.905
YCL023C	0.935
YCL024W	0.978
YCL025C	0.765
YCL026C	1.109
YCL026C-A	0.855
YCL027W	0.971
YCL028W	0.951
YCL029C	0.922
YCL030C	0.766
YCL032W	0.686
YCL033C	0.882
YCL034W	1.009
YCL035C	1.394
YCL036W	1.455
YCL037C	1.235
YCL038C	1.008
YCL039W	1.069
YCL040W	1.043
YCL042W	0.953
YCL044C	0.781
YCL045C	1.049
YCL046W	0.945
YCL047C	0.816
YCL048W	0.960
YCL049C	0.899
YCL050C	1.363
YCL051W	1.250
YCL055W	0.848
YCL056C	0.800
YCL057W	0.859
YCL060C	2.343
YCL061C	3.585
YCL062W	0.913
YCL063W	1.094
YCL064C	0.940
YCL069W	0.762
YCL074W	1.068
YCL075W	1.069
YCL076W	1.197
YCR001W	0.909
YCR005C	0.831
YCR006C	1.092
YCR007C	0.985
YCR008W	1.302
YCR009C	2.750
YCR010C	1.061
YCR011C	0.913
YCR014C	0.903
YCR015C	0.921
YCR016W	1.062
YCR017C	0.902
YCR019W	1.285
YCR020C	0.915
YCR020C-A	1.218
YCR021C	0.901
YCR022C	1.028
YCR023C	0.812
YCR024C-A	1.024
YCR025C	1.197
YCR026C	1.223
YCR027C	1.048
YCR028C-A	0.611
YCR030C	0.839
YCR031C	0.634
YCR032W	1.038
YCR033W	1.068
YCR034W	3.825
YCR036W	1.223
YCR037C	1.240
YCR043C	0.856
YCR044C	3.105
YCR045C	1.287
YCR048W	1.122
YCR049C	1.046
YCR050C	1.077
YCR051W	0.859
YCR053W	1.371
YCR059C	0.910
YCR060W	1.179
YCR061W	1.085
YCR062W	0.960
YCR063W	0.904
YCR065W	1.077
YCR067C	1.048
YCR068W	1.209
YCR069W	1.038
YCR071C	Inf
YCR073C	0.888
YCR073W-A	0.907
YCR075C	0.919
YCR076C	0.864
YCR077C	1.439
YCR079W	0.716
YCR081W	1.130
YCR082W	0.839
YCR083W	0.717
YCR085W	1.220
YCR086W	0.924
YCR087C-A	1.199
YCR087W	0.985
YCR088W	1.068
YCR089W	1.134
YCR090C	1.015
YCR091W	1.172
YCR092C	0.937
YCR095C	1.445
YCR098C	0.820
YCR099C	0.934
YCR100C	0.908
YCR101C	0.951
YCR102C	1.083
YCR102W-A	1.451
YCR105W	0.907
YCR106W	0.637
YCR107W	1.008
YDL001W	1.349
YDL002C	1.103
YDL006W	1.458
YDL010W	0.956
YDL011C	0.827
YDL012C	1.057
YDL013W	2.725
YDL018C	0.831
YDL019C	1.007
YDL020C	1.390
YDL023C	1.317
YDL024C	1.013
YDL025C	0.981
YDL026W	1.017
YDL027C	1.009
YDL033C	1.026
YDL034W	1.017
YDL035C	1.165
YDL036C	0.866
YDL037C	1.065
YDL038C	1.065
YDL039C	1.012
YDL040C	0.936
YDL041W	1.065
YDL042C	1.404
YDL046W	0.895
YDL048C	0.941
YDL050C	1.260
YDL051W	0.969
YDL052C	1.053
YDL053C	0.832
YDL054C	1.078
YDL056W	0.803
YDL059C	0.893
YDL061C	0.809
YDL062W	NaN
YDL065C	0.840
YDL066W	0.969
YDL070W	0.964
YDL071C	0.772
YDL074C	1.132
YDL076C	1.233
YDL077C	1.337
YDL078C	0.857
YDL079C	0.990
YDL080C	1.041
YDL081C	0.966
YDL082W	0.985
YDL083C	0.970
YDL085W	1.147
YDL086W	0.878
YDL088C	0.975
YDL089W	0.972
YDL090C	1.917
YDL091C	0.823
YDL093W	0.832
YDL094C	0.855
YDL095W	0.929
YDL096C	0.906
YDL099W	0.995
YDL100C	0.910
YDL104C	0.581
YDL106C	1.285
YDL109C	0.949
YDL110C	1.385
YDL112W	1.045
YDL113C	0.984
YDL114W	1.031
YDL117W	0.953
YDL118W	1.152
YDL119C	0.923
YDL121C	0.695
YDL122W	0.927
YDL123W	1.002
YDL124W	1.140
YDL125C	0.998
YDL127W	1.411
YDL128W	1.018
YDL129W	0.933
YDL130W	0.874
YDL130W-A	0.804
YDL131W	1.205
YDL133C-A	0.982
YDL133W	1.229
YDL134C	1.233
YDL134C-A	0.762
YDL135C	0.922
YDL136W	0.562
YDL137W	0.920
YDL138W	0.890
YDL142C	0.847
YDL144C	1.144
YDL146W	1.212
YDL149W	0.889
YDL154W	0.961
YDL155W	0.840
YDL156W	0.982
YDL157C	1.030
YDL159W	1.034
YDL160C	1.100
YDL161W	0.918
YDL162C	1.204
YDL167C	0.986
YDL168W	0.792
YDL169C	0.968
YDL170W	0.959
YDL171C	0.977
YDL172C	1.031
YDL173W	1.082
YDL174C	0.875
YDL175C	1.238
YDL176W	1.078
YDL177C	0.908
YDL178W	0.906
YDL179W	0.969
YDL180W	1.004
YDL181W	1.164
YDL182W	1.193
YDL183C	1.253
YDL184C	0.668
YDL185W	0.851
YDL186W	1.084
YDL187C	0.954
YDL188C	1.232
YDL189W	0.832
YDL190C	1.242
YDL191W	0.925
YDL192W	1.220
YDL194W	1.318
YDL197C	0.867
YDL199C	0.936
YDL200C	1.039
YDL201W	0.818
YDL203C	0.838
YDL204W	0.971
YDL206W	1.346
YDL210W	1.053
YDL211C	1.011
YDL213C	1.120
YDL214C	0.957
YDL215C	0.976
YDL216C	0.887
YDL218W	0.981
YDL219W	1.370
YDL222C	1.174
YDL223C	1.239
YDL224C	1.073
YDL226C	1.049
YDL227C	1.034
YDL229W	0.857
YDL230W	1.011
YDL231C	0.998
YDL232W	2.362
YDL233W	1.060
YDL234C	0.882
YDL236W	0.891
YDL237W	1.129
YDL238C	0.873
YDL239C	0.943
YDL240W	0.960
YDL241W	0.961
YDL242W	1.072
YDL243C	0.598
YDR001C	0.884
YDR003W	0.893
YDR004W	0.984
YDR005C	1.165
YDR006C	0.800
YDR007W	1.164
YDR008C	1.096
YDR009W	0.878
YDR010C	1.149
YDR011W	1.211
YDR014W	1.175
YDR015C	0.931
YDR018C	1.104
YDR019C	0.915
YDR020C	0.845
YDR022C	0.759
YDR024W	1.470
YDR025W	1.132
YDR026C	1.156
YDR029W	0.996
YDR030C	0.874
YDR031W	1.197
YDR032C	1.042
YDR033W	0.930
YDR034C	1.155
YDR035W	0.856
YDR036C	0.910
YDR042C	0.823
YDR043C	0.980
YDR046C	0.949
YDR048C	0.669
YDR049W	1.170
YDR051C	1.022
YDR055W	0.793
YDR056C	0.900
YDR057W	0.962
YDR058C	1.427
YDR059C	0.986
YDR061W	1.013
YDR063W	0.964
YDR066C	0.903
YDR067C	1.051
YDR068W	0.807
YDR070C	0.821
YDR071C	1.094
YDR072C	1.074
YDR073W	0.941
YDR074W	2.152
YDR075W	3.987
YDR076W	1.645
YDR077W	0.890
YDR080W	2.619
YDR083W	0.856
YDR084C	1.004
YDR085C	0.826
YDR089W	0.984
YDR090C	1.024
YDR092W	1.290
YDR093W	1.029
YDR094W	0.868
YDR095C	1.054
YDR096W	0.763
YDR097C	1.508
YDR098C	1.071
YDR099W	0.952
YDR100W	1.131
YDR101C	0.929
YDR102C	0.910
YDR103W	0.881
YDR104C	1.006
YDR105C	0.819
YDR107C	0.863
YDR108W	1.316
YDR109C	0.915
YDR110W	0.913
YDR111C	0.958
YDR112W	0.976
YDR116C	0.856
YDR117C	0.875
YDR119W	0.954
YDR120C	1.367
YDR121W	1.071
YDR122W	0.938
YDR123C	0.951
YDR124W	0.985
YDR125C	0.977
YDR126W	66.131
YDR127W	0.865
YDR128W	1.234
YDR130C	1.199
YDR131C	0.941
YDR132C	1.065
YDR133C	1.024
YDR134C	0.876
YDR135C	0.835
YDR139C	0.950
YDR142C	0.983
YDR143C	0.987
YDR144C	1.106
YDR146C	1.248
YDR147W	0.867
YDR148C	0.916
YDR149C	0.922
YDR150W	1.124
YDR151C	1.029
YDR152W	0.987
YDR153C	0.960
YDR154C	1.111
YDR155C	0.982
YDR156W	0.871
YDR157W	1.306
YDR158W	1.461
YDR159W	1.575
YDR161W	1.002
YDR162C	1.349
YDR163W	1.049
YDR165W	1.119
YDR169C	1.001
YDR171W	0.888
YDR173C	2.546
YDR174W	1.660
YDR178W	0.827
YDR179C	0.818
YDR179W-A	1.124
YDR181C	0.916
YDR183W	1.111
YDR184C	0.885
YDR185C	0.976
YDR186C	1.136
YDR191W	0.922
YDR192C	0.981
YDR193W	0.927
YDR198C	0.954
YDR199W	1.055
YDR202C	0.988
YDR203W	1.050
YDR205W	1.107
YDR206W	0.895
YDR207C	2.146
YDR209C	0.811
YDR210W	1.187
YDR213W	0.908
YDR214W	0.818
YDR215C	1.047
YDR216W	1.260
YDR217C	1.527
YDR218C	0.997
YDR219C	0.945
YDR220C	0.897
YDR221W	0.916
YDR222W	0.946
YDR223W	1.016
YDR225W	0.994
YDR227W	0.822
YDR229W	1.107
YDR233C	1.026
YDR234W	0.784
YDR239C	0.968
YDR241W	0.886
YDR242W	0.847
YDR244W	1.294
YDR245W	7.940
YDR247W	1.736
YDR248C	1.056
YDR249C	1.001
YDR250C	1.167
YDR251W	0.900
YDR252W	0.914
YDR253C	1.159
YDR254W	1.074
YDR255C	1.011
YDR256C	1.029
YDR257C	1.043
YDR258C	0.753
YDR259C	1.021
YDR260C	0.945
YDR261C	0.820
YDR262W	1.241
YDR263C	0.984
YDR265W	1.215
YDR266C	0.920
YDR269C	0.988
YDR270W	1.394
YDR271C	1.060
YDR272W	0.987
YDR273W	1.105
YDR274C	0.958
YDR275W	0.933
YDR276C	1.062
YDR277C	1.262
YDR278C	0.832
YDR279W	1.175
YDR281C	0.960
YDR282C	0.920
YDR284C	0.935
YDR285W	0.948
YDR286C	1.074
YDR287W	0.906
YDR289C	0.920
YDR290W	0.770
YDR291W	0.818
YDR293C	2.247
YDR294C	1.003
YDR297W	0.948
YDR304C	0.970
YDR305C	1.089
YDR306C	0.874
YDR307W	0.830
YDR309C	0.992
YDR310C	1.334
YDR312W	1.294
YDR313C	1.508
YDR314C	0.897
YDR315C	1.802
YDR316W	1.070
YDR317W	0.774
YDR318W	0.862
YDR319C	1.202
YDR320C	1.071
YDR321W	1.118
YDR326C	0.924
YDR329C	0.924
YDR330W	0.878
YDR332W	0.881
YDR333C	1.070
YDR334W	1.850
YDR335W	1.099
YDR336W	0.956
YDR338C	1.011
YDR340W	0.915
YDR344C	0.963
YDR345C	0.895
YDR346C	1.160
YDR348C	0.808
YDR349C	1.030
YDR351W	1.169
YDR352W	1.056
YDR354W	1.093
YDR357C	1.072
YDR358W	0.993
YDR359C	4.806
YDR360W	1.327
YDR363W	0.981
YDR363W-A	0.787
YDR368W	1.027
YDR369C	2.831
YDR370C	1.078
YDR371W	0.949
YDR372C	1.133
YDR374C	0.917
YDR375C	1.175
YDR378C	1.050
YDR379W	0.915
YDR380W	1.012
YDR382W	1.220
YDR383C	1.080
YDR384C	1.194
YDR385W	0.840
YDR386W	0.922
YDR387C	0.932
YDR388W	1.811
YDR389W	1.191
YDR391C	0.893
YDR392W	5.114
YDR393W	0.939
YDR395W	0.648
YDR399W	0.842
YDR400W	1.031
YDR401W	0.813
YDR402C	0.779
YDR403W	1.014
YDR406W	1.227
YDR408C	12.823
YDR409W	1.003
YDR410C	0.824
YDR411C	1.107
YDR414C	1.065
YDR415C	1.009
YDR419W	1.092
YDR420W	1.207
YDR421W	0.890
YDR422C	0.865
YDR423C	1.013
YDR424C	1.000
YDR425W	0.853
YDR426C	0.918
YDR428C	0.970
YDR430C	1.009
YDR431W	0.812
YDR435C	1.510
YDR436W	1.078
YDR438W	0.822
YDR439W	0.846
YDR440W	1.020
YDR441C	1.106
YDR444W	0.941
YDR445C	1.395
YDR446W	1.140
YDR447C	1.180
YDR451C	0.843
YDR452W	0.952
YDR453C	0.856
YDR455C	3.339
YDR458C	0.983
YDR459C	0.878
YDR461W	0.731
YDR463W	1.949
YDR465C	0.948
YDR466W	0.887
YDR467C	0.959
YDR469W	1.183
YDR471W	1.373
YDR474C	0.960
YDR475C	0.860
YDR476C	0.970
YDR477W	1.241
YDR479C	0.906
YDR480W	1.012
YDR481C	1.066
YDR482C	0.851
YDR483W	1.056
YDR485C	1.419
YDR486C	0.794
YDR488C	0.812
YDR490C	1.382
YDR491C	0.947
YDR492W	1.158
YDR493W	0.827
YDR494W	0.896
YDR496C	1.180
YDR497C	1.032
YDR500C	1.194
YDR501W	0.985
YDR502C	1.207
YDR503C	0.955
YDR504C	0.729
YDR505C	1.017
YDR506C	1.205
YDR508C	1.027
YDR509W	0.854
YDR511W	0.940
YDR512C	0.973
YDR513W	0.854
YDR514C	0.962
YDR515W	0.990
YDR516C	1.230
YDR517W	0.931
YDR519W	0.902
YDR520C	1.038
YDR522C	0.977
YDR524C	1.390
YDR525W	1.068
YDR525W-A	1.092
YDR528W	0.994
YDR530C	1.240
YDR532C	4.229
YDR533C	1.071
YDR534C	0.879
YDR535C	1.252
YDR536W	1.111
YDR537C	0.952
YDR538W	1.028
YDR539W	0.967
YDR540C	1.054
YDR541C	1.108
YEL001C	1.431
YEL003W	0.589
YEL004W	1.026
YEL005C	0.873
YEL006W	0.989
YEL007W	0.885
YEL008W	1.195
YEL010W	1.070
YEL011W	0.859
YEL012W	0.882
YEL013W	1.273
YEL014C	1.303
YEL015W	0.973
YEL016C	0.834
YEL017C-A	1.105
YEL017W	0.832
YEL020C	0.961
YEL023C	1.244
YEL025C	0.949
YEL028W	0.883
YEL030W	0.985
YEL031W	2.494
YEL033W	1.137
YEL037C	1.195
YEL038W	1.253
YEL039C	1.278
YEL040W	0.912
YEL041W	0.799
YEL042W	1.259
YEL043W	0.912
YEL047C	0.834
YEL048C	1.077
YEL049W	0.785
YEL052W	1.091
YEL053C	1.885
YEL056W	0.920
YEL057C	1.006
YEL059W	3.219
YEL060C	0.941
YEL061C	1.020
YEL062W	1.773
YEL063C	0.964
YEL064C	1.034
YEL065W	0.957
YEL066W	1.000
YEL067C	0.935
YEL068C	0.859
YEL071W	0.919
YER001W	0.926
YER002W	0.987
YER004W	0.998
YER005W	0.958
YER007C-A	1.140
YER007W	1.300
YER010C	0.903
YER011W	1.069
YER016W	0.967
YER019C-A	0.824
YER019W	1.005
YER020W	1.517
YER024W	0.956
YER027C	1.113
YER028C	0.854
YER030W	0.804
YER031C	1.790
YER032W	0.895
YER033C	0.890
YER034W	0.859
YER035W	0.987
YER038W-A	0.993
YER039C	0.870
YER039C-A	0.991
YER041W	1.141
YER042W	1.393
YER044C-A	0.854
YER045C	1.145
YER046W	1.053
YER046W-A	1.038
YER047C	1.069
YER048C	1.042
YER049W	0.824
YER051W	0.940
YER052C	1.324
YER053C	0.920
YER054C	1.030
YER055C	1.155
YER056C	1.128
YER056C-A	1.650
YER057C	0.834
YER059W	0.766
YER060W	0.937
YER060W-A	1.155
YER061C	0.769
YER062C	1.074
YER063W	1.044
YER064C	0.996
YER065C	1.120
YER066C-A	1.060
YER066W	1.224
YER067C-A	1.236
YER067W	1.231
YER069W	0.777
YER071C	1.129
YER072W	0.824
YER073W	0.884
YER074W	1.168
YER075C	1.068
YER077C	0.872
YER078C	1.071
YER079W	0.997
YER080W	0.837
YER081W	0.886
YER083C	0.881
YER084W	0.783
YER085C	1.134
YER087C-A	1.168
YER088C	1.187
YER089C	0.842
YER090W	1.196
YER091C	0.966
YER091C-A	0.861
YER092W	0.835
YER093C-A	0.891
YER095W	3.308
YER096W	1.054
YER097W	0.967
YER098W	1.114
YER101C	0.754
YER106W	0.832
YER108C	0.933
YER109C	0.725
YER111C	5.313
YER113C	1.166
YER114C	1.090
YER115C	1.006
YER116C	1.461
YER117W	0.956
YER118C	0.843
YER119C	0.896
YER119C-A	1.148
YER120W	0.969
YER121W	0.887
YER123W	1.203
YER124C	0.957
YER128W	0.895
YER129W	1.112
YER130C	0.881
YER131W	1.177
YER132C	1.175
YER134C	1.137
YER135C	0.890
YER137C	0.915
YER139C	1.441
YER140W	1.128
YER142C	0.916
YER143W	0.983
YER144C	0.977
YER145C	0.930
YER149C	0.815
YER150W	1.141
YER151C	3.143
YER152C	0.945
YER153C	NaN
YER155C	1.100
YER156C	0.852
YER158C	1.092
YER161C	0.785
YER162C	1.861
YER163C	1.063
YER164W	1.032
YER166W	0.803
YER167W	0.948
YER170W	0.811
YER173W	0.939
YER174C	1.078
YER175C	0.907
YER176W	1.332
YER177W	1.054
YER178W	1.090
YER179W	1.051
YER180C	0.938
YER181C	1.277
YER182W	0.976
YER183C	0.760
YER184C	0.859
YER185W	1.047
YER186C	1.010
YER187W	0.818
YER188W	0.855
YFL001W	0.927
YFL003C	1.636
YFL004W	0.883
YFL006W	0.741
YFL007W	1.267
YFL010C	0.735
YFL010W-A	0.935
YFL011W	1.007
YFL012W	0.954
YFL013C	1.072
YFL013W-A	1.494
YFL014W	1.098
YFL015C	1.054
YFL018C	0.919
YFL019C	1.048
YFL020C	1.299
YFL021W	0.907
YFL023W	2.119
YFL025C	2.564
YFL026W	0.989
YFL027C	1.264
YFL028C	0.759
YFL030W	1.285
YFL031W	1.020
YFL032W	0.940
YFL033C	1.004
YFL034C-A	0.925
YFL034W	1.177
YFL035C-B	1.003
YFL036W	2.426
YFL040W	1.027
YFL041W	1.250
YFL042C	1.108
YFL043C	1.228
YFL044C	0.885
YFL046W	1.164
YFL047W	0.717
YFL048C	1.117
YFL049W	0.966
YFL050C	0.789
YFL051C	0.996
YFL052W	0.769
YFL053W	0.961
YFL054C	0.899
YFL055W	0.858
YFL056C	1.120
YFL063W	0.895
YFR006W	1.000
YFR007W	0.906
YFR008W	1.157
YFR009W	1.106
YFR010W	0.972
YFR011C	1.136
YFR012W	1.269
YFR013W	1.352
YFR014C	0.857
YFR015C	0.888
YFR016C	1.035
YFR017C	0.908
YFR018C	1.043
YFR019W	0.874
YFR020W	0.899
YFR021W	0.759
YFR022W	1.079
YFR023W	1.181
YFR024C	1.073
YFR024C-A	0.950
YFR025C	1.306
YFR026C	1.018
YFR030W	0.946
YFR031C-A	0.951
YFR032C	0.971
YFR032C-A	1.046
YFR033C	0.982
YFR034C	0.973
YFR035C	0.945
YFR038W	0.895
YFR039C	1.547
YFR040W	1.096
YFR041C	1.027
YFR043C	0.991
YFR044C	0.981
YFR045W	1.048
YFR046C	1.025
YFR047C	1.067
YFR048W	0.912
YFR049W	1.064
YFR053C	1.058
YFR054C	0.860
YFR055W	0.754
YFR056C	1.023
YFR057W	0.886
YGL002W	1.024
YGL004C	0.946
YGL005C	4.675
YGL006W	1.194
YGL007W	0.904
YGL009C	0.950
YGL010W	0.908
YGL013C	1.407
YGL014W	0.894
YGL015C	1.040
YGL016W	1.190
YGL017W	0.924
YGL019W	2.700
YGL020C	1.249
YGL021W	0.953
YGL023C	0.986
YGL024W	5.097
YGL026C	0.915
YGL027C	0.931
YGL028C	0.966
YGL029W	1.045
YGL031C	1.357
YGL032C	0.946
YGL034C	1.065
YGL035C	1.527
YGL036W	0.903
YGL037C	0.959
YGL039W	0.931
YGL041C	0.941
YGL042C	2.213
YGL043W	1.070
YGL045W	0.994
YGL046W	0.936
YGL049C	0.643
YGL050W	0.783
YGL051W	0.942
YGL053W	0.964
YGL054C	1.422
YGL056C	1.031
YGL057C	0.939
YGL058W	0.986
YGL059W	0.974
YGL060W	0.997
YGL062W	0.878
YGL063W	1.228
YGL066W	1.885
YGL067W	0.918
YGL071W	0.924
YGL077C	1.427
YGL078C	1.255
YGL079W	1.388
YGL080W	1.176
YGL081W	1.237
YGL082W	0.917
YGL083W	0.868
YGL084C	1.052
YGL085W	0.976
YGL086W	0.978
YGL087C	1.523
YGL089C	0.946
YGL090W	0.808
YGL094C	1.198
YGL096W	0.957
YGL101W	1.299
YGL104C	1.046
YGL105W	4.220
YGL108C	0.883
YGL109W	0.917
YGL110C	1.021
YGL114W	0.868
YGL115W	NaN
YGL117W	0.987
YGL118C	1.211
YGL121C	1.016
YGL124C	1.214
YGL125W	0.878
YGL126W	0.967
YGL127C	5.670
YGL131C	0.890
YGL132W	1.274
YGL133W	1.417
YGL136C	0.930
YGL138C	1.002
YGL139W	0.952
YGL140C	1.122
