ORF	growth;nicotinamide, 120 mM
YER077C	0.484
YEL030W	0.484
YER053C	0.482
YEL015W	0.482
YDR539W	0.480
YER091C	0.480
YEL040W	0.480
YEL063C	0.479
YEL056W	0.478
YER108C	0.478
YER075C	0.477
YDR483W	0.608
YDR452W	0.477
YER144C	0.476
YER117W	0.475
YER035W	0.475
YER120W	0.472
YER155C	0.472
YEL025C	0.471
YER097W	0.471
YDR514C	0.470
YFL053W	0.469
YFL044C	0.469
YDR423C	0.468
YFL034C-A	0.467
YFR010W	0.466
YEL043W	0.465
YER124C	0.465
YDR458C	0.464
YER016W	0.464
YER167W	0.463
YEL071W	0.463
YER135C	0.462
YER060W	0.461
YER178W	0.461
YER011W	0.460
YEL067C	0.459
YFL031W	0.459
YER143W	0.459
YDR482C	0.459
YER093C-A	0.459
YFL032W	0.458
YER137C	0.456
YER173W	0.455
YER145C	0.454
YFR007W	0.454
YDR522C	0.453
YDR494W	0.453
YEL061C	0.452
YDR503C	0.451
YER180C	0.451
YFL021W	0.450
YER164W	0.450
YDR459C	0.449
YER032W	0.449
YDR426C	0.449
YDR425W	0.448
YFL055W	0.448
YER119C	0.446
YEL011W	0.445
YDR534C	0.444
YFL054C	0.444
YEL007W	0.443
YDR466W	0.441
YEL016C	0.440
YER030W	0.439
YDR465C	0.438
YER091C-A	0.438
YER010C	0.436
YDR479C	0.435
YER073W	0.434
YER156C	0.434
YER044C-A	0.433
YER081W	0.432
YER121W	0.430
YEL065W	0.430
YDR475C	0.429
YER130C	0.428
YER142C	0.427
YDR439W	0.425
YEL047C	0.425
YEL068C	0.423
YER033C	0.422
YEL017W	0.421
YER039C	0.420
YDR453C	0.420
YEL005C	0.420
YEL012W	0.417
YER106W	0.416
YER118C	0.416
YER028C	0.415
YER019C-A	0.414
YER184C	0.413
YER034W	0.412
YER080W	0.411
YDR513W	0.411
YER188W	0.410
YER092W	0.409
YFL028C	0.408
YDR451C	0.406
YER170W	0.405
YDR486C	0.404
YDR509W	0.404
YER166W	0.403
YDR431W	0.401
YEL028W	0.401
YER161C	0.398
YFL052W	0.394
YER059W	0.392
YFL006W	0.392
YDR438W	0.388
YEL049W	0.387
YER128W	0.386
YFL050C	0.386
YEL041W	0.384
YER149C	0.381
YER187W	0.378
YDR504C	0.377
YER072W	0.375
YDR488C	0.374
YER083C	0.369
YER069W	0.365
YER049W	0.361
YER183C	0.356
YER101C	0.355
YER084W	0.351
YFL047W	0.348
YER109C	0.321
YEL003W	0.293
YER153C	NaN
YGL212W	Inf
YGR054W	13.824
YGR105W	4.667
YGL234W	3.731
YGL162W	2.838
YGL127C	2.586
YGR092W	2.269
YGL005C	1.781
YGL105W	1.645
YGL024W	1.531
YGL019W	1.350
YGL226W	1.223
YGL167C	1.089
YGL173C	0.994
YGL066W	0.942
YGR089W	0.928
YGL235W	0.864
YGL163C	0.845
YGR038W	0.832
YGL181W	0.818
YGL255W	0.814
YGR111W	0.799
YGR097W	0.787
YGR071C	0.781
YGL211W	0.775
YGL209W	0.772
YGL035C	0.766
YGL087C	0.761
YGR027C	0.760
YGR117C	0.753
YFR039C	0.749
YGR035C	0.737
YGL210W	0.732
YGL133W	0.723
YGR110W	0.716
YGL077C	0.710
YFR025C	0.704
YGR148C	0.702
YGR011W	0.696
YGR022C	0.690
YGR087C	0.688
YGR079W	0.684
YGR012W	0.674
YGL013C	0.670
YGL031C	0.668
YGL237C	0.668
YGL054C	0.665
YGR085C	0.664
YGL254W	0.660
YGL020C	0.657
