ORF	hap a | abundance of a specific protein/peptide (Pot1-GFP) | oleic acid [0.2%] | Saleem RA~Aitchison JD, 2010	hap a | number of peroxisomes | oleic acid [0.2%] | Saleem RA~Aitchison JD, 2010	hap a | size of peroxisomes | oleic acid [0.2%] | Saleem RA~Aitchison JD, 2010	hap a | peroxisome inheritance | oleic acid [0.2%] | Saleem RA~Aitchison JD, 2010	hap a | transport to/from peroxisomes (Pot1-GFP) | oleic acid [0.2%] | Saleem RA~Aitchison JD, 2010
YNL333W	0.556	0.000	0.000	0.000	0.000
YMR306C-A	0.346	0.000	0.000	0.000	0.000
YMR310C	-1.923	0.000	0.000	0.000	-1.000
YNL339C	-1.880	0.000	0.000	0.000	-1.000
YNL338W	0.739	0.000	0.000	0.000	0.000
YNL336W	-1.865	0.000	0.000	0.000	0.000
YNL332W	0.326	0.000	0.000	0.000	0.000
YNL320W	0.675	0.000	0.000	0.000	0.000
YNL319W	0.654	0.000	0.000	0.000	0.000
YNL328C	-1.896	0.000	0.000	0.000	-1.000
YNL327W	-0.399	0.000	0.000	0.000	0.000
YNL326C	0.496	0.000	0.000	0.000	0.000
YNL324W	-1.794	0.000	0.000	0.000	-1.000
YNL325C	0.040	0.000	0.000	0.000	0.000
YNL322C	0.289	0.000	0.000	0.000	0.000
YNL299W	0.408	0.000	0.000	0.000	0.000
YNL298W	0.082	0.000	0.000	0.000	0.000
YNL296W	0.427	0.000	0.000	0.000	0.000
YNL314W	-2.060	0.000	0.000	0.000	0.000
YNL307C	-1.320	0.000	0.000	0.000	0.000
YNL305C	-1.757	0.000	0.000	0.000	0.000
YNL304W	1.035	0.000	0.000	0.000	0.000
YNL302C	0.308	0.000	0.000	0.000	0.000
YNL301C	0.804	0.000	0.000	0.000	0.000
YNL285W	-1.936	0.000	0.000	0.000	0.000
YNL283C	0.368	0.000	0.000	0.000	0.000
YNL281W	0.388	0.000	0.000	0.000	0.000
YNL292W	0.441	0.000	0.000	0.000	0.000
YNL291C	0.693	0.000	0.000	0.000	0.000
YNL289W	-2.018	0.000	0.000	0.000	-1.000
YNL288W	-1.831	0.000	0.000	0.000	-1.000
YNL264C	0.591	0.000	0.000	0.000	0.000
YNL259C	1.115	0.000	0.000	0.000	0.000
YNL257C	1.524	0.000	0.000	0.000	0.000
YNL266W	0.573	0.000	0.000	0.000	0.000
YNL265C	0.971	0.000	0.000	0.000	-1.000
YOR005C	-2.286	0.000	0.000	0.000	-1.000
YOR006C	-1.579	0.000	0.000	0.000	0.000
YOR007C	0.769	0.000	0.000	0.000	0.000
YNL253W	0.269	0.000	0.000	0.000	0.000
YOR002W	-2.003	0.000	0.000	0.000	-1.000
YOR003W	-1.989	0.000	0.000	0.000	-1.000
YOR008C	-1.659	0.000	0.000	0.000	0.000
YOR016C	1.252	0.000	0.000	0.000	0.000
YOR017W	0.712	0.000	0.000	0.000	0.000
YOR018W	0.538	0.000	0.000	0.000	0.000
YOR009W	0.867	0.000	0.000	0.000	0.000
YOR011W	0.517	0.000	0.000	0.000	0.000
YOR012W	0.634	0.000	0.000	0.000	0.000
YOR013W	-2.211	0.000	0.000	0.000	-1.000
YOR015W	0.833	0.000	0.000	0.000	0.000
YOR019W	NaN	0.000	0.000	0.000	0.000
YOR028C	-1.245	-1.000	0.000	0.000	0.000
YOR029W	-3.361	0.000	0.000	0.000	0.000
YOR030W	-0.376	0.000	0.000	0.000	0.000
YOR021C	0.884	0.000	0.000	0.000	0.000
YOR022C	-2.195	0.000	0.000	0.000	0.000
YOR023C	0.470	-1.000	0.000	0.000	0.000
YOR024W	-0.575	0.000	0.000	0.000	0.000
YOR025W	1.079	0.000	0.000	0.000	0.000
YOR026W	-2.407	0.000	0.000	0.000	0.000
YOR027W	-1.348	0.000	0.000	0.000	0.000
YOR031W	0.384	0.000	0.000	0.000	0.000
YOR040W	0.215	0.000	0.000	0.000	0.000
YOR041C	-0.980	0.000	0.000	0.000	0.000
YOR042W	0.707	0.000	0.000	0.000	0.000
YOR032C	0.238	0.000	0.000	0.000	0.000
YOR033C	0.334	0.000	0.000	0.000	0.000
YOR034C	1.524	0.000	0.000	0.000	0.000
YOR035C	-1.985	0.000	0.000	0.000	0.000
YOR037W	-2.275	0.000	0.000	0.000	0.000
YOR038C	0.627	0.000	0.000	0.000	0.000
YOR043W	1.154	0.000	0.000	0.000	0.000
YOR054C	0.969	0.000	0.000	0.000	0.000
YOR058C	0.084	0.000	0.000	0.000	0.000
YOR044W	0.288	0.000	0.000	0.000	0.000
YOR045W	0.564	0.000	0.000	0.000	0.000
YOR047C	-1.570	0.000	0.000	0.000	0.000
YOR049C	0.643	0.000	0.000	0.000	0.000
YOR050C	0.774	0.000	0.000	0.000	0.000
YOR051C	0.142	0.000	0.000	0.000	0.000
YOR052C	0.256	0.000	0.000	0.000	0.000
YOR053W	0.550	0.000	0.000	0.000	0.000
YOR059C	-1.538	0.000	0.000	0.000	0.000
YOR071C	-0.633	0.000	0.000	0.000	0.000
YOR072W	0.592	0.000	0.000	0.000	0.000
YOR073W	0.578	0.000	0.000	0.000	0.000
YOR061W	1.019	0.000	0.000	0.000	0.000
YOR062C	1.287	0.000	0.000	0.000	0.000
YOR064C	-0.112	0.000	0.000	0.000	0.000
YOR066W	0.803	0.000	0.000	0.000	0.000
YOR067C	-2.441	0.000	0.000	0.000	0.000
YOR068C	-1.649	0.000	0.000	0.000	0.000
YOR069W	0.273	0.000	0.000	0.000	0.000
YOR070C	-2.092	0.000	0.000	0.000	0.000
YOR076C	-2.343	0.000	0.000	0.000	0.000
YOR086C	0.351	0.000	0.000	0.000	0.000
YOR087W	-0.635	0.000	0.000	0.000	0.000
YOR078W	-3.094	0.000	0.000	0.000	0.000
YOR079C	-0.064	0.000	0.000	0.000	0.000
YOR081C	0.430	0.000	0.000	0.000	0.000
YOR082C	-1.875	0.000	0.000	0.000	0.000
YOR083W	0.067	-1.000	0.000	0.000	0.000
YOR084W	0.105	0.000	0.000	0.000	0.000
YOR085W	0.050	0.000	0.000	0.000	0.000
YOR089C	-2.864	0.000	0.000	0.000	0.000
YOR292C	0.725	0.000	0.000	0.000	0.000
YOR090C	0.177	-1.000	0.000	0.000	0.000
YOR091W	0.442	0.000	0.000	0.000	0.000
YOR092W	0.826	0.000	0.000	0.000	0.000
YOR093C	0.691	0.000	0.000	0.000	0.000
YOR094W	-4.488	0.000	0.000	0.000	0.000
YOR289W	0.368	0.000	0.000	0.000	0.000
YOR291W	0.416	0.000	0.000	0.000	0.000
YOR296W	0.123	0.000	0.000	0.000	0.000
YOR307C	0.033	0.000	0.000	0.000	0.000
YOR308C	0.609	0.000	0.000	0.000	0.000
YOR311C	0.518	0.000	0.000	0.000	0.000
YOR297C	-2.174	0.000	0.000	0.000	0.000
YOR298W	0.535	0.000	0.000	0.000	0.000
YOR299W	0.677	0.000	0.000	0.000	0.000
YOR301W	-0.011	0.000	0.000	0.000	0.000
YOR302W	-2.195	0.000	0.000	0.000	0.000
YOR303W	-0.088	0.000	0.000	0.000	0.000
YOR304C-A	-2.073	0.000	0.000	0.000	0.000
YOR304W	0.748	0.000	0.000	0.000	0.000
YOR312C	-1.850	0.000	0.000	0.000	0.000
YOR324C	-1.507	0.000	0.000	0.000	0.000
YOR327C	-4.962	0.000	0.000	0.000	0.000
YOR313C	-1.587	0.000	0.000	0.000	0.000
YOR314W	-0.035	0.000	0.000	0.000	0.000
YOR315W	-4.598	0.000	0.000	0.000	0.000
YOR316C	-0.169	0.000	0.000	0.000	0.000
YOR320C	-0.229	0.000	0.000	0.000	0.000
YOR321W	0.319	0.000	0.000	0.000	0.000
YOR322C	0.485	0.000	0.000	0.000	0.000
YOR328W	0.937	0.000	0.000	0.000	0.000
YOR344C	0.591	0.000	0.000	0.000	0.000
YOR346W	0.813	0.000	0.000	0.000	0.000
YOR347C	0.435	0.000	0.000	0.000	0.000
YOR332W	0.834	0.000	0.000	0.000	0.000
YOR334W	-2.987	0.000	0.000	0.000	0.000
YOR337W	-0.896	0.000	0.000	0.000	0.000
