ORF	hom | growth (relative abundance in pooled culture) | camptothecin [50 uM] | Deng C~Brown JM, 2005
YBR073W	0.973
YHR139C	0.973
YNL197C	0.973
YDL241W	0.973
YDL178W	0.973
YDR476C	0.973
YNL108C	0.973
YAL068C	0.973
YIL079C	0.973
YMR204C	0.973
YMR145C	0.974
YLR390W-A	0.974
YFL021W	0.974
YMR104C	0.974
YOR038C	0.974
YPR060C	0.974
YDL050C	0.974
YJR088C	0.974
YOL028C	0.974
YHL034C	0.974
YPL197C	0.974
YEL028W	0.974
YML007W	0.974
YPL108W	0.974
YLL015W	0.974
YHL037C	0.974
YMR326C	0.974
YLR253W	0.974
YEL067C	0.974
YDL046W	0.974
YDL134C	0.974
YHL045W	0.974
YLL056C	0.974
YFL051C	0.974
YMR265C	0.975
YCL069W	0.975
YMR139W	0.975
YDR525W-A	0.975
YHL022C	0.975
YLR165C	0.975
YLR318W	0.975
YJL178C	0.975
YJL197W	0.975
YMR171C	0.975
YOR136W	0.975
YLR152C	0.975
YGL039W	0.975
YCL076W	0.975
YOR019W	0.975
YNL116W	0.975
YMR101C	0.975
YJR109C	0.975
YPL054W	0.975
YPL216W	0.975
YOL044W	0.975
YDL121C	0.975
YAR037W	0.975
YHR105W	0.975
YIL065C	0.975
YLR164W	0.975
YHR096C	0.975
YLR118C	0.975
YOR044W	0.975
YKR066C	0.976
YOR231W	0.976
YLR142W	0.976
YHR171W	0.976
YJR032W	0.976
YGR117C	0.976
YDR482C	0.976
YOR087W	0.976
YBR261C	0.976
YML107C	0.976
YMR319C	0.976
YOL030W	0.976
YNL333W	0.976
YPL046C	0.976
YKR105C	0.976
YGR231C	0.976
YNL096C	0.976
YML119W	0.976
YFR007W	0.976
YER120W	0.976
YHR077C	0.976
YMR012W	0.976
YKL174C	0.976
YEL053C	0.976
YOR295W	0.976
YOL059W	0.976
YFL011W	0.977
YIR023W	0.977
YFR024C-A	0.977
YLR041W	0.977
YGR136W	0.977
YOR114W	0.977
YOR180C	0.977
YGR122W	0.977
YER119C	0.977
YBR067C	0.977
YNL143C	0.977
YDR131C	0.977
YDL175C	0.977
YOR141C	0.977
YJR126C	0.977
YNL085W	0.977
YOR037W	0.977
YJL200C	0.977
YOR233W	0.977
YBL083C	0.977
YMR029C	0.978
YMR082C	0.978
YLL005C	0.978
YBR085W	0.978
YOR302W	0.978
YFL028C	0.978
YMR181C	0.978
YMR312W	0.978
YLR119W	0.978
YJL027C	0.978
YIL034C	0.978
YBR019C	0.978
YOR088W	0.978
YIL010W	0.978
YBR086C	0.978
YBL051C	0.978
YBR009C	0.978
YNL159C	0.978
YLR044C	0.979
YDR155C	0.979
YOR190W	0.979
YLR123C	0.979
YJR110W	0.979
YHR206W	0.979
YNL325C	0.979
YGL146C	0.979
YLR094C	0.979
YOR325W	0.979
YJR052W	0.979
YDR521W	0.979
YBR104W	0.979
YIL160C	0.979
YHR180W	0.979
YJR105W	0.979
YPR062W	0.979
YEL006W	0.979
YHR138C	0.979
YOR009W	0.979
YML051W	0.979
YBR197C	0.979
YIR003W	0.979
YLR241W	0.979
YOR021C	0.979
YBL009W	0.980
YHR049W	0.980
YOR364W	0.982
YMR252C	0.980
YGR131W	0.980
YLL013C	0.980
YIR016W	0.980
YPL170W	0.980
YBL064C	0.980
YML033W	0.980
YBL005W	0.980
YGL226C-A	0.980
YJL151C	0.980
YGR178C	0.980
YOL072W	0.980
YGR022C	0.980
YJL154C	0.980
YMR206W	0.980
YER134C	0.980
YOR013W	0.980
YJL101C	0.980
YLR046C	0.980
YPL140C	0.980
YHR093W	0.980
YNL032W	0.980
YDR306C	0.981
YBR165W	0.981
YER083C	0.981
YHR043C	0.981
YML084W	0.981
YPR151C	0.981
YGR169C	0.981
YHR106W	0.981
YJR035W	0.981
YLR134W	0.981
YJL099W	0.981
YDL223C	0.981
YBR287W	0.981
YNL326C	0.981
YCR107W	0.981
YOR296W	0.981
YGR135W	0.981
YBR245C	0.981
YER045C	0.981
YJL192C	0.981
YMR318C	0.981
YIL136W	0.981
YLR407W	0.981
YPL224C	0.981
YGR106C	0.981
YMR175W	0.986
YBR180W	0.981
YMR304C-A	0.982
YCR037C	0.982
YMR237W	0.982
YMR196W	0.982
YPL239W	0.982
YBR235W	0.982
YOL062C	0.982
YOR018W	0.982
YMR148W	0.982
YOR327C	0.982
YMR153W	0.982
YLL062C	0.982
YBR186W	0.982
YPR138C	0.982
YML026C	0.982
YEL060C	0.982
YLR081W	0.982
YLR296W	0.982
YOL114C	0.982
YCR020C	0.982
YPL014W	0.982
YCR001W	0.982
YNR075W	0.982
YBL024W	0.982
YML009C	0.997
YML059C	0.982
YJR106W	0.982
YDL197C	0.983
YER106W	0.983
YKR035W-A	0.983
YFL004W	0.983
YDL109C	0.983
