orf	hom | growth (relative abundance in pooled culture) | camptothecin [50 uM] | Deng C~Brown JM, 2005
YBL047C	0.995
YBL048W	0.9440000000000001
YBL049W	0.987
YBL051C	0.978
YBL052C	1.021
YBL053W	1.0090000000000001
YBL054W	0.99
YBL055C	0.956
YBL056W	0.925
YBL057C	0.951
YBL058W	
YBL059W	1.0
YBL060W	0.96
YBL061C	0.995
YBL062W	0.9129999999999999
YBL063W	0.929
YBL064C	0.98
YBL065W	0.9359999999999999
YBL066C	0.9520000000000001
YBL067C	1.015
YBL068W	1.018
YBL069W	0.9890000000000001
YBL070C	1.002
YBL071C	1.044
YBL072C	1.021
YBL075C	0.941
YBL078C	1.04
YBL079W	0.996
YBL080C	1.21
YBL081W	0.9329999999999999
YBL082C	1.015
YBL083C	0.977
YBL085W	0.9690000000000001
YBL086C	0.985
YBL087C	1.015
YBL088C	0.746
YBL089W	0.871
YBL090W	1.161
YBL091C	1.012
YBL091C-A	1.034
YBL093C	
YBL094C	0.971
YBL095W	1.001
YBL096C	0.958
YBL098W	0.9259999999999999
YBL099W	
YBL100C	
YBL101C	
YBL102W	0.9620000000000001
YBL103C	1.001
YBL104C	1.0
YBL106C	1.018
YBL107C	0.909
YBR001C	1.025
YBR003W	1.057
YBR005W	1.0659999999999998
YBR006W	1.058
YBR007C	1.156
YBR008C	1.018
YBR009C	0.978
YBR010W	0.965
YBR012C	0.968
YBR013C	1.045
YBR014C	1.054
YBR015C	1.18
YBR016W	0.993
YBR017C	
YBR018C	1.024
YBR019C	0.978
YBR020W	1.025
YBR021W	0.951
YBR022W	0.996
YBR023C	1.022
YBR024W	1.0390000000000001
YBR025C	1.187
YBR026C	1.043
YBR027C	1.016
YBR028C	1.026
YBR030W	1.021
YBR031W	1.063
YBR032W	1.016
YBR033W	1.0170000000000001
YBR034C	0.993
YBR035C	1.038
YBR036C	1.161
YBR037C	1.09
YBR038W	
YBR039W	1.187
YBR040W	1.025
YBR041W	1.0090000000000001
YBR042C	1.067
YBR043C	0.997
YBR044C	1.056
YBR045C	0.985
YBR046C	1.0090000000000001
YBR047W	0.996
YBR048W	1.046
YBR050C	0.99
YBR051W	1.036
YBR052C	1.005
YBR053C	0.9
YBR054W	0.988
YBR056W	0.993
YBR057C	0.956
YBR058C	0.9
YBR059C	1.008
YBR061C	1.001
YBR062C	1.092
YBR063C	1.0
YBR064W	1.065
YBR065C	0.9590000000000001
YBR066C	0.956
YBR067C	0.977
YBR068C	0.995
YBR069C	0.848
YBR071W	0.972
YBR072W	1.018
YBR073W	0.973
YBR074W	0.9536666666666668
YBR076W	0.9840000000000001
YBR077C	1.016
YBR078W	1.119
YBR081C	
YBR082C	0.657
YBR083W	1.038
YBR084C-A	1.25
YBR084W	0.9570000000000001
YBR085W	0.978
YBR086C	0.978
YBR089C-A	1.093
YBR090C	1.023
YBR092C	1.01
YBR093C	1.003
YBR094W	1.052
YBR095C	0.9940000000000001
YBR097W	
YBR098W	0.394
YBR099C	0.209
YBR101C	1.035
YBR103W	1.079
YBR104W	0.9790000000000001
YBR105C	0.948
YBR106W	1.043
YBR107C	1.012
YBR108W	1.055
YBR112C	
YBR113W	1.0490000000000002
YBR114W	1.033
YBR115C	0.8759999999999999
YBR116C	0.965
YBR118W	1.008
YBR119W	0.897
YBR120C	1.04
YBR125C	1.025
YBR126C	
YBR127C	
YBR128C	0.9590000000000001
YBR129C	1.031
YBR130C	1.0190000000000001
YBR131W	1.053
YBR133C	0.924
YBR134W	0.9359999999999999
YBR137W	0.9490000000000001
YBR138C	1.012
YBR139W	1.0590000000000002
YBR141C	1.015
YBR144C	0.937
YBR145W	
YBR146W	
YBR147W	0.6990000000000001
YBR148W	0.9159999999999999
YBR149W	0.9259999999999999
YBR150C	0.9990000000000001
YBR151W	0.9990000000000001
YBR156C	0.76
YBR157C	0.905
YBR158W	1.023
YBR159W	1.008
YBR161W	0.9990000000000001
YBR162C	1.053
YBR162W-A	0.986
YBR163W	
YBR164C	0.9890000000000001
YBR165W	0.981
YBR168W	1.33
YBR169C	0.958
YBR170C	
YBR171W	
YBR172C	0.97
YBR173C	0.951
YBR174C	0.895
YBR175W	0.958
YBR176W	0.96
YBR177C	0.943
YBR178W	
YBR179C	
YBR180W	0.981
YBR181C	1.078
YBR182C	0.941
YBR183W	0.997
YBR184W	1.022
YBR185C	1.048
YBR186W	0.982
YBR187W	0.927
YBR188C	1.034
YBR189W	
YBR191W	0.87
YBR194W	
YBR195C	0.902
YBR197C	0.9790000000000001
YBR199W	0.996
YBR200W	
YBR201W	1.117
YBR203W	0.9520000000000001
YBR204C	1.026
YBR205W	1.058
YBR206W	0.9390000000000001
YBR207W	1.087
YBR208C	0.953
YBR210W	0.943
YBR212W	0.9009999999999999
YBR213W	0.932
YBR214W	1.0270000000000001
YBR215W	0.877
YBR216C	0.951
YBR217W	0.993
YBR218C	1.0190000000000001
YBR219C	0.986
YBR220C	1.0090000000000001
YBR221C	0.9940000000000001
YBR222C	1.042
YBR223C	0.889
YBR224W	0.8909999999999999
YBR225W	0.948
YBR226C	0.9490000000000001
YBR227C	0.995
YBR228W	0.8740000000000001
YBR229C	0.904
YBR230C	0.9540000000000001
YBR231C	0.841
YBR232C	1.001
YBR233W	0.943
YBR235W	0.982
YBR238C	1.138
YBR239C	0.973
YBR240C	1.021
YBR241C	1.004
YBR242W	1.0090000000000001
YBR244W	0.8859999999999999
YBR245C	0.981
YBR246W	0.99
YBR248C	1.018
YBR249C	1.04
YBR250W	1.067
YBR251W	1.097
YBR255W	1.0170000000000001
YBR258C	0.965
YBR259W	0.998
YBR260C	1.03
YBR261C	0.976
YBR262C	0.948
YBR263W	0.9890000000000001
YBR264C	1.041
YBR266C	
YBR267W	1.1440000000000001
YBR268W	1.138
YBR269C	0.998
YBR270C	0.935
YBR271W	0.9640000000000001
YBR272C	0.965
YBR273C	0.972
YBR274W	
YBR275C	0.907
YBR276C	0.9990000000000001
YBR277C	1.205
YBR278W	0.9620000000000001
YBR279W	
YBR280C	0.965
YBR281C	1.042
YBR282W	
YBR283C	
YBR284W	1.079
YBR285W	1.056
YBR286W	1.012
YBR287W	0.981
YBR288C	1.069
YBR289W	
YBR290W	0.84
YBR291C	1.102
YBR292C	1.045
YBR293W	1.0270000000000001
YBR294W	0.992
YBR295W	1.058
YBR296C	1.028
YBR297W	0.9940000000000001
YBR298C	0.9079999999999999
YBR299W	1.006
YBR300C	1.033
YBR301W	0.99
YCL001W	1.006
YCL001W-A	1.101
YCL002C	0.9490000000000001
YCL005W	0.958
YCL007C	
YCL008C	0.986
YCL009C	1.053
YCL010C	0.94
YCL011C	1.074
YCL014W	1.033
YCL016C	
YCL022C	1.094
YCL023C	0.992
YCL024W	0.971
YCL025C	0.946
YCL026C-A	0.966
YCL027W	0.9620000000000001
YCL028W	0.96
YCL029C	
YCL030C	0.895
YCL032W	0.885
YCL033C	1.057
YCL034W	0.938
YCL035C	1.026
YCL036W	0.988
YCL037C	1.041
YCL038C	1.014
YCL039W	0.998
YCL040W	1.023
YCL042W	1.0070000000000001
YCL044C	0.948
YCL045C	1.0
YCL046W	1.034
YCL047C	1.035
YCL048W	0.996
YCL049C	1.02
YCL050C	1.056
YCL051W	1.0290000000000001
YCL055W	0.892
YCL056C	1.011
YCL057W	0.972
YCL058C	1.012
YCL061C	1.0255
YCL063W	1.2814999999999999
YCL064C	1.045
YCL069W	0.975
YCL076W	0.975
YCR001W	0.982
YCR002C	
YCR003W	1.107
YCR004C	0.988
YCR005C	1.0
YCR006C	0.943
YCR007C	1.011
YCR008W	0.9179999999999999
YCR009C	0.753
YCR010C	1.055
YCR011C	1.005
YCR014C	1.085
YCR015C	1.054
YCR016W	1.033
YCR017C	1.031
YCR019W	1.015
YCR020C	0.982
YCR020C-A	1.0659999999999998
YCR020W-B	
YCR021C	0.987
YCR022C	0.988
YCR023C	1.046
YCR024C	1.207
YCR024C-A	1.149
YCR025C	1.107
YCR026C	1.138
YCR027C	0.983
YCR028C	0.9840000000000001
YCR028C-A	1.036
YCR030C	1.0170000000000001
YCR031C	1.128
YCR032W	0.993
YCR033W	1.061
YCR034W	0.9990000000000001
YCR036W	1.087
YCR037C	0.982
YCR043C	0.995
YCR044C	0.932
YCR045C	0.995
YCR046C	1.125
YCR047C	
YCR048W	0.997
YCR049C	1.028
YCR050C	1.072
YCR051W	1.1079999999999999
YCR053W	1.004
YCR059C	1.079
YCR060W	1.002
YCR061W	1.0179999999999998
YCR063W	
YCR064C	1.0490000000000002
YCR065W	0.998
YCR066W	1.11
YCR067C	0.9670000000000001
YCR068W	1.122
YCR069W	1.032
YCR071C	1.395
YCR073C	0.9690000000000001
YCR073W-A	0.9390000000000001
YCR075C	1.07
YCR076C	0.965
YCR077C	0.615
YCR079W	0.956
YCR081W	
YCR082W	1.084
YCR083W	0.9229999999999999
YCR084C	
YCR085W	1.052
YCR086W	0.9420000000000001
YCR087C-A	1.085
YCR087W	1.101
YCR088W	1.005
YCR089W	1.075
YCR090C	1.028
YCR091W	1.006
YCR092C	1.028
YCR094W	0.93
YCR095C	0.9890000000000001
YCR098C	1.0
YCR099C	1.0090000000000001
YCR100C	1.026
YCR101C	1.01
YCR102C	1.0390000000000001
YCR102W-A	1.012
YCR105W	0.99
YCR106W	1.018
YCR107W	0.981
YDL001W	1.179
YDL002C	1.129
YDL006W	0.9390000000000001
YDL009C	1.125
YDL010W	1.048
YDL011C	1.04
YDL012C	0.992
YDL013W	
YDL018C	1.1059999999999999
YDL019C	1.046
YDL020C	0.9620000000000001
YDL021W	0.987
YDL022W	1.052
YDL023C	1.026
YDL024C	1.028
YDL025C	1.089
YDL026W	1.081
YDL027C	1.044
YDL032W	0.86
YDL033C	0.9359999999999999
YDL034W	1.0659999999999998
YDL035C	1.139
YDL036C	1.062
YDL037C	1.067
YDL039C	0.9905000000000002
YDL040C	1.16
YDL041W	0.816
YDL044C	
YDL045W-A	
YDL046W	0.9740000000000001
YDL047W	
YDL048C	1.089
YDL049C	1.021
YDL050C	0.9740000000000001
YDL051W	0.995
YDL052C	0.998
YDL053C	1.024
YDL054C	1.031
YDL056W	1.17
YDL057W	1.0270000000000001
YDL059C	0.212
YDL061C	1.053
YDL062W	1.133
YDL063C	1.242
YDL065C	1.15
YDL066W	1.006
YDL067C	1.193
YDL068W	1.056
YDL069C	1.151
YDL070W	0.986
YDL071C	1.021
YDL072C	1.064
YDL073W	1.067
YDL074C	1.159
YDL075W	
YDL076C	1.031
YDL077C	1.179
YDL078C	1.026
YDL079C	1.081
YDL080C	1.02
YDL081C	1.125
YDL082W	0.965
YDL083C	
YDL085W	1.056
YDL086W	1.0959999999999999
YDL088C	1.065
YDL089W	1.072
YDL090C	
YDL091C	0.9670000000000001
YDL093W	1.045
YDL094C	1.005
YDL095W	1.044
YDL096C	1.023
YDL099W	1.0070000000000001
YDL100C	1.079
YDL101C	0.887
YDL104C	1.043
YDL106C	
YDL107W	
YDL109C	0.983
YDL110C	1.024
YDL112W	0.995
YDL113C	1.023
YDL114W	1.053
YDL115C	
YDL116W	
YDL117W	0.925
YDL118W	1.0090000000000001
YDL119C	0.946
YDL121C	0.975
YDL122W	0.985
YDL123W	0.9990000000000001
YDL124W	1.03
YDL125C	0.95
YDL127W	1.053
YDL128W	1.038
YDL129W	0.985
YDL130W	1.0979999999999999
YDL130W-A	1.094
YDL131W	0.9490000000000001
YDL133C-A	1.0295
YDL133W	1.054
YDL134C	0.9740000000000001
YDL135C	1.105
YDL136W	1.073
YDL137W	1.093
YDL138W	0.9840000000000001
YDL142C	1.185
YDL144C	1.064
YDL146W	1.042
YDL149W	0.983
YDL151C	
YDL154W	0.995
YDL155W	1.033
YDL156W	1.084
YDL157C	1.021
YDL160C	1.17
YDL161W	0.995
YDL162C	1.093
YDL167C	1.038
YDL168W	1.056
YDL169C	1.04
YDL170W	1.041
YDL171C	1.015
YDL172C	1.047
YDL173W	1.159
YDL174C	1.104
YDL175C	0.977
YDL176W	1.122
YDL177C	1.023
YDL178W	0.973
YDL179W	1.0170000000000001
YDL180W	0.998
YDL182W	0.971
YDL183C	1.006
YDL184C	0.998
YDL185W	0.782
YDL186W	1.043
YDL187C	0.9940000000000001
YDL188C	1.048
YDL189W	0.9640000000000001
YDL190C	1.008
YDL191W	
YDL192W	1.138
YDL194W	1.063
YDL197C	0.983
YDL198C	
YDL199C	1.008
YDL200C	1.004
YDL201W	0.9890000000000001
YDL202W	
YDL203C	0.932
YDL204W	0.9690000000000001
YDL206W	
YDL210W	1.0290000000000001
YDL211C	0.991
YDL213C	0.996
YDL214C	0.996
YDL215C	1.004
YDL216C	1.008
YDL218W	0.9279999999999999
YDL219W	1.024
YDL222C	1.003
YDL223C	0.981
YDL224C	1.0
YDL225W	0.92
YDL226C	0.9590000000000001
YDL227C	0.992
YDL229W	0.951
YDL230W	1.025
YDL231C	0.9470000000000001
YDL232W	
YDL233W	1.022
YDL234C	1.003
YDL236W	1.053
YDL237W	0.968
YDL238C	1.072
YDL239C	1.038
YDL240W	1.024
YDL241W	0.973
YDL242W	1.0590000000000002
YDL243C	1.065
YDR001C	1.057
YDR003W	1.063
YDR004W	0.42100000000000004
YDR005C	1.052
YDR006C	1.008
YDR007W	0.987
YDR008C	1.057
YDR009W	0.988
YDR010C	0.9259999999999999
YDR011W	0.9309999999999999
YDR014W	1.055
YDR015C	1.045
YDR017C	
YDR018C	1.062
YDR019C	1.079
YDR020C	1.1159999999999999
YDR022C	0.9840000000000001
YDR024W	
YDR025W	
YDR026C	1.094
YDR027C	
YDR028C	1.083
YDR029W	1.023
YDR030C	1.053
YDR031W	1.023
YDR032C	1.05
YDR033W	0.985
YDR034C	1.085
YDR035W	1.015
YDR036C	1.07
YDR042C	1.042
YDR043C	0.997
YDR046C	1.048
YDR048C	
YDR049W	1.087
YDR051C	1.047
YDR055W	1.022
YDR056C	1.0659999999999998
YDR057W	0.9209999999999999
YDR058C	1.0090000000000001
YDR059C	1.097
YDR061W	1.01
YDR063W	1.061
YDR065W	1.31
YDR066C	1.109
YDR067C	1.0859999999999999
YDR068W	1.078
YDR069C	
YDR070C	1.161
YDR071C	1.043
YDR072C	1.097
YDR073W	1.052
YDR074W	
YDR075W	0.599
YDR076W	0.363
YDR077W	1.071
YDR078C	1.078
YDR079W	1.186
YDR080W	1.146
YDR083W	1.0290000000000001
YDR084C	1.09
YDR085C	1.077
YDR089W	1.173
YDR090C	1.114
YDR092W	
YDR093W	1.079
YDR094W	1.079
YDR095C	1.03
YDR096W	1.141
YDR097C	1.092
YDR098C	1.04
YDR099W	1.077
YDR100W	1.129
YDR101C	1.249
YDR102C	1.041
YDR104C	1.061
YDR105C	1.052
YDR107C	1.063
YDR108W	1.097
YDR109C	1.041
YDR110W	1.048
YDR111C	1.001
YDR112W	1.0
YDR114C	1.486
YDR115W	1.194
YDR116C	1.092
YDR117C	1.025
YDR119W	0.987
YDR120C	1.032
YDR121W	0.971
YDR122W	0.961
YDR123C	1.008
YDR124W	0.94
YDR125C	1.172
YDR126W	0.9840000000000001
YDR127W	1.001
YDR128W	1.034
YDR129C	
YDR130C	0.968
YDR131C	0.977
YDR132C	1.02
YDR133C	0.96
YDR135C	1.0290000000000001
YDR136C	1.129
YDR137W	1.347
YDR138W	
YDR139C	0.764
YDR140W	1.159
YDR142C	0.927
YDR143C	0.9840000000000001
YDR144C	0.9620000000000001
YDR146C	1.078
YDR147W	0.9940000000000001
YDR148C	1.041
YDR149C	1.013
YDR150W	0.69
YDR151C	1.034
YDR152W	1.064
YDR153C	1.026
YDR154C	1.035
YDR155C	0.9790000000000001
YDR156W	1.12
YDR157W	0.958
YDR158W	1.173
YDR159W	0.713
YDR161W	
YDR162C	0.851
YDR163W	1.015
YDR165W	0.956
YDR169C	1.045
YDR171W	
YDR173C	
YDR174W	0.57
YDR175C	1.4969999999999999
YDR176W	
YDR178W	1.182
YDR179C	0.872
YDR179W-A	0.988
YDR181C	1.041
YDR183W	0.966
YDR184C	1.081
YDR185C	
YDR186C	
YDR191W	
YDR192C	
YDR193W	0.992
YDR194C	1.1179999999999999
YDR195W	1.032
YDR197W	0.986
YDR198C	0.966
YDR199W	0.898
YDR200C	0.99
YDR202C	1.0070000000000001
YDR203W	1.028
YDR204W	1.095
YDR205W	0.983
YDR206W	1.053
YDR207C	0.74
YDR209C	0.9329999999999999
YDR210W	0.951
YDR213W	0.9840000000000001
YDR214W	1.0390000000000001
YDR215C	0.97
YDR216W	0.997
YDR217C	1.003
YDR218C	0.972
YDR219C	0.9640000000000001
YDR220C	0.963
YDR221W	1.046
YDR222W	0.972
YDR223W	1.018
YDR225W	1.042
YDR226W	
YDR229W	1.067
YDR230W	1.114
YDR231C	1.157
YDR233C	1.015
YDR234W	1.0959999999999999
YDR237W	1.274
YDR239C	1.057
YDR241W	1.1640000000000001
YDR242W	1.0170000000000001
YDR244W	1.052
YDR245W	
YDR247W	0.998
YDR248C	0.92
YDR249C	0.998
YDR250C	1.015
YDR251W	1.045
YDR252W	0.991
YDR253C	0.9279999999999999
YDR254W	1.044
YDR255C	0.9229999999999999
YDR256C	0.97
YDR257C	0.9259999999999999
YDR258C	0.963
YDR259C	0.9890000000000001
YDR260C	0.838
YDR261C	0.919
YDR262W	0.985
YDR263C	1.024
YDR264C	
YDR265W	1.052
YDR266C	0.9520000000000001
YDR268W	1.234
YDR269C	1.052
YDR270W	1.001
YDR271C	0.935
YDR272W	0.99
YDR273W	1.065
YDR274C	1.018
YDR275W	1.032
YDR276C	0.9690000000000001
YDR277C	1.002
YDR278C	1.035
YDR279W	1.107
YDR281C	1.041
YDR282C	0.972
YDR283C	1.016
YDR284C	1.0390000000000001
YDR285W	1.094
YDR286C	0.9940000000000001
YDR287W	1.005
YDR289C	0.9990000000000001
YDR290W	0.879
YDR291W	1.084
YDR293C	0.777
YDR294C	1.051
YDR295C	0.9990000000000001
YDR296W	
YDR297W	0.99
YDR298C	
YDR300C	
YDR304C	1.004
YDR305C	1.1440000000000001
YDR306C	0.981
YDR307W	1.071
YDR309C	1.022
YDR310C	1.083
YDR312W	1.012
YDR313C	1.0759999999999998
YDR314C	1.051
YDR315C	1.1320000000000001
YDR316W	1.079
YDR317W	1.063
YDR318W	0.983
YDR319C	1.1
YDR320C	
YDR321W	1.0290000000000001
YDR322W	1.063
YDR323C	1.081
YDR326C	1.114
YDR329C	1.062
YDR330W	1.001
YDR332W	1.556
YDR333C	1.004
YDR334W	0.971
YDR335W	1.063
YDR336W	1.013
YDR337W	1.39
YDR338C	0.988
YDR340W	1.055
YDR344C	1.05
YDR345C	1.02
YDR346C	1.018
YDR347W	1.24
YDR348C	1.022
YDR349C	0.983
YDR350C	0.9359999999999999
YDR351W	1.021
YDR352W	0.988
YDR354W	1.0090000000000001
YDR357C	1.024
YDR358W	1.138
YDR359C	
YDR360W	0.997
YDR363W	
YDR363W-A	1.069
YDR368W	0.9620000000000001
YDR369C	
YDR370C	1.0979999999999999
YDR371W	0.9279999999999999
YDR372C	1.21
YDR374C	1.073
YDR375C	1.229
YDR377W	1.014
YDR378C	0.745
YDR379W	1.032
YDR380W	1.069
YDR382W	
YDR383C	1.031
YDR384C	1.053
YDR385W	1.078
YDR386W	0.282
YDR387C	1.069
YDR388W	
YDR389W	1.0390000000000001
YDR391C	1.0270000000000001
YDR392W	0.9079999999999999
YDR393W	1.197
YDR395W	1.0190000000000001
YDR399W	0.872
YDR400W	0.997
YDR401W	0.934
YDR402C	0.958
YDR403W	1.0070000000000001
YDR405W	1.251
YDR406W	0.941
YDR408C	1.03
YDR409W	1.003
YDR411C	1.0859999999999999
YDR414C	1.1740000000000002
YDR415C	0.995
YDR417C	1.3230000000000002
YDR418W	
YDR419W	1.111
YDR420W	1.095
YDR421W	1.101
YDR422C	0.9209999999999999
YDR423C	0.9540000000000001
YDR424C	1.035
YDR425W	1.0390000000000001
YDR426C	1.046
YDR428C	0.8909999999999999
YDR430C	1.013
YDR431W	1.0090000000000001
YDR432W	0.927
YDR433W	
YDR435C	0.805
YDR436W	1.068
YDR438W	1.05
YDR439W	0.856
YDR440W	1.119
YDR441C	0.997
YDR442W	1.171
YDR443C	1.004
YDR444W	1.05
YDR445C	1.05
YDR446W	1.045
YDR447C	1.052
YDR448W	1.072
YDR450W	1.102
YDR451C	1.038
YDR452W	1.0490000000000002
YDR453C	0.9670000000000001
YDR455C	0.97
YDR456W	0.956
YDR457W	1.001
YDR458C	0.894
YDR459C	1.044
YDR461W	1.02
YDR462W	1.18
YDR463W	
YDR465C	1.034
YDR466W	0.996
YDR467C	1.002
YDR469W	1.033
YDR470C	
YDR471W	1.272
YDR475C	0.99
YDR476C	0.973
YDR477W	
YDR479C	1.03
YDR480W	1.0490000000000002
YDR481C	1.0390000000000001
YDR482C	0.976
YDR483W	1.041
YDR484W	0.905
YDR485C	0.991
YDR486C	1.004
YDR488C	1.002
YDR490C	1.055
YDR491C	1.041
YDR492W	1.0170000000000001
YDR493W	0.9670000000000001
YDR494W	1.168
YDR495C	1.04
YDR496C	1.087
YDR497C	0.9690000000000001
YDR500C	1.0070000000000001
YDR501W	0.9990000000000001
YDR502C	0.986
YDR503C	1.025
YDR504C	0.993
YDR505C	1.012
YDR506C	1.0350000000000001
YDR507C	1.1909999999999998
YDR508C	1.003
YDR509W	1.421
YDR511W	0.9570000000000001
YDR512C	1.0915
YDR513W	0.95
YDR514C	0.927
YDR515W	1.002
YDR516C	1.037
YDR517W	1.013
YDR518W	1.07
YDR519W	1.249
YDR520C	1.005
YDR521W	0.9790000000000001
YDR522C	1.05
YDR523C	1.084
YDR524C	1.023
YDR525W	0.909
YDR525W-A	0.975
YDR528W	1.021
YDR529C	
YDR530C	1.045
YDR532C	
YDR533C	
YDR534C	1.005
YDR535C	1.084
YDR536W	1.073
YDR537C	1.074
YDR538W	1.198
YDR539W	1.051
YDR540C	0.725
YDR541C	1.104
YEL001C	1.051
YEL003W	1.012
YEL004W	1.01
YEL005C	0.985
YEL006W	0.9790000000000001
YEL007W	0.8959999999999999
YEL008W	0.941
YEL009C	0.941
YEL010W	0.983
YEL011W	0.935
YEL012W	0.941
YEL013W	1.173
YEL014C	1.021
YEL015W	1.005
YEL016C	1.012
YEL017C-A	1.008
YEL017W	1.052
YEL018W	1.033
YEL020C	1.012
YEL023C	1.083
YEL024W	1.028
YEL025C	0.998
YEL027W	
YEL028W	0.9740000000000001
YEL029C	
YEL030W	1.001
YEL031W	1.143
YEL033W	1.147
YEL036C	1.018
YEL037C	0.97
YEL038W	0.961
YEL039C	1.021
YEL040W	0.983
YEL041W	1.061
YEL042W	1.061
YEL043W	1.054
YEL044W	1.002
YEL045C	
YEL046C	
YEL047C	0.9690000000000001
YEL048C	0.992
YEL049W	1.004
YEL050C	1.31
YEL051W	
YEL052W	1.0590000000000002
YEL053C	0.976
YEL054C	1.14
YEL056W	0.9990000000000001
YEL057C	0.927
YEL059W	1.003
YEL060C	0.982
YEL061C	1.262
YEL062W	1.0170000000000001
YEL063C	1.072
YEL064C	1.001
YEL065W	0.938
YEL066W	1.175
YEL067C	0.9740000000000001
YEL068C	0.9840000000000001
YEL071W	0.998
YEL072W	1.0090000000000001
YER001W	1.054
YER002W	0.89
YER004W	
YER005W	1.08
YER007C-A	1.065
YER007W	1.048
YER010C	1.031
YER011W	0.972
YER014C-A	
YER014W	0.8240000000000001
YER016W	0.7929999999999999
YER017C	1.2590000000000001
YER019C-A	1.021
YER019W	0.968
YER020W	1.033
YER024W	1.0190000000000001
YER027C	1.025
YER028C	1.104
YER030W	1.0170000000000001
YER031C	1.002
YER032W	1.057
YER033C	0.992
YER034W	0.996
YER037W	0.9840000000000001
YER038W-A	1.0070000000000001
YER039C	1.025
YER039C-A	1.063
YER040W	1.146
YER041W	0.9690000000000001
YER042W	0.9640000000000001
YER044C	
YER044C-A	1.014
YER045C	0.981
YER046W	0.958
YER046W-A	1.081
YER047C	0.9540000000000001
YER048C	0.958
YER049W	1.06
YER050C	0.991
YER051W	1.053
YER052C	1.054
YER053C	1.016
YER054C	
YER055C	1.0190000000000001
YER056C	1.06
YER056C-A	1.094
YER057C	1.065
YER058W	1.1440000000000001
YER059W	0.998
YER060W	1.067
YER060W-A	1.016
YER061C	1.2209999999999999
YER062C	1.055
YER063W	0.99
YER064C	1.022
YER065C	1.001
YER066C-A	0.972
YER066W	1.024
YER067C-A	1.0590000000000002
YER067W	0.972
YER068C-A	1.0090000000000001
YER068W	
YER069W	1.046
YER070W	
YER071C	0.987
YER072W	0.9490000000000001
YER073W	1.051
YER074W	1.0759999999999998
YER075C	0.958
YER077C	1.138
YER078C	1.072
YER079W	0.9640000000000001
YER080W	0.9840000000000001
YER081W	1.057
YER083C	0.981
YER084W	1.002
YER085C	1.0
YER086W	1.002
YER087C-B	0.996
YER087W	1.072
YER088C	1.001
YER089C	0.912
YER090W	0.995
YER091C	0.951
YER091C-A	1.113
YER092W	0.9670000000000001
YER093C-A	1.038
YER095W	0.379
YER096W	1.013
YER097W	1.038
YER098W	1.083
YER101C	0.912
YER103W	1.0959999999999999
YER106W	0.983
YER110C	1.218
YER111C	0.941
YER113C	1.082
YER114C	1.036
YER115C	1.0090000000000001
YER116C	0.8370000000000001
YER117W	1.0070000000000001
YER118C	0.992
YER119C	0.977
YER119C-A	1.014
YER120W	0.976
YER121W	1.0290000000000001
YER122C	1.193
YER123W	1.0590000000000002
YER124C	1.0759999999999998
YER128W	1.012
YER129W	1.083
