ORF	het | growth (pooled culture) | macbecin II [200-400 uM], temperature [15 C] | YPD + DMSO | Franzosa EA~McClellan AJ, 2011
YNR038W	0.742
YDR249C	0.742
YDR424C	0.742
YKL060C	0.742
YLL057C	0.743
YPL068C	0.744
YKR001C	0.744
YGL028C	0.744
YNL189W	0.744
YGR073C	0.744
YDR146C	0.744
YDR226W	0.745
YOR304W	0.745
YIL165C	0.745
YER007W	0.746
YDR411C	0.746
YDL120W	0.746
YEL013W	0.746
YIL130W	0.746
YHR024C	0.747
YKL056C	0.747
YDL151C	0.748
YGR106C	0.748
YOL004W	0.748
YCR063W	0.748
YNR036C	0.749
YPR004C	0.749
YLR314C	0.749
YCR028C	0.750
YJR087W	0.750
YDR461W	0.750
YER118C	0.750
YBR254C	0.751
YIL028W	0.751
YBR067C	0.751
YNR005C	0.751
YJL117W	0.751
YOR206W	0.752
YDL002C	0.752
YIL128W	0.753
YHR196W	0.754
YKR031C	0.755
YLR075W	0.755
YFL023W	0.756
YOR381W	0.756
YCR077C	0.756
YHL015W	0.756
YBR178W	0.756
YNL029C	0.757
YDR141C	0.757
YML114C	0.758
YML069W	0.758
YLR330W	0.758
YOR092W	0.758
YOR347C	0.758
YIL099W	0.758
YKL086W	0.758
YBR241C	0.759
YBR266C	0.759
YPR003C	0.759
YIR010W	0.759
YLR364W	0.759
YCR076C	0.759
YIL148W	0.760
YPL191C	0.760
YGR190C	0.760
YGR128C	0.760
YLR228C	0.760
YGR053C	0.760
YJR041C	0.761
YJR023C	0.761
YEL055C	0.761
YGL092W	0.761
YPL003W	0.762
YGR143W	0.762
YHR111W	0.762
YBL031W	0.762
YDL232W	0.763
YMR227C	0.763
YBR295W	0.763
YHR184W	0.763
YGL031C	0.763
YLR274W	0.763
YPL088W	0.763
YGR147C	0.763
YDR108W	0.763
YNL212W	0.763
YDR278C	0.763
YPR043W	0.764
YHR152W	0.764
YLR271W	0.764
YNL075W	0.765
YDR295C	0.765
YKL166C	0.766
YDL171C	0.766
YDR268W	0.766
YHR100C	0.767
YDR275W	0.767
YDL218W	0.768
YDR344C	0.768
YLR249W	0.768
YBR113W	0.768
YBR205W	0.768
YLR363C	0.768
YPL172C	0.768
YJL003W	0.768
YLR441C	0.769
YMR115W	0.769
YGR138C	0.769
YBR187W	0.769
YBL072C	0.770
YDR324C	0.770
YML093W	0.770
YPL108W	0.770
YIL166C	0.770
YDR003W	0.771
YMR290W-A	0.771
YPL169C	0.772
YLR372W	0.772
YJL192C	0.772
YLR267W	0.773
YNL303W	0.773
YGL171W	0.773
YDR450W	0.773
YFL017W-A	0.773
YNL200C	0.773
YGL128C	0.774
YBR284W	0.774
YOR269W	0.774
YLR026C	0.775
YLR276C	0.775
YHR147C	0.775
YDL136W	0.776
YNL032W	0.776
YKL021C	0.776
YLR377C	0.776
YDR117C	0.776
YLR064W	0.776
YGL141W	0.776
YDR274C	0.777
YDR211W	0.777
YDL195W	0.777
YMR094W	0.779
YLL061W	0.779
YGR161C	0.779
YLL021W	0.779
YDL197C	0.780
YKL119C	0.780
YDR318W	0.780
YLR079W	0.780
YCL043C	0.780
YDL176W	0.780
YKL033W	0.781
YBR226C	0.781
YDR285W	0.782
YBR240C	0.782
YHR006W	0.782
YDR178W	0.783
YBR063C	0.784
YHR178W	0.784
YOR038C	0.784
YNL246W	0.784
YHR095W	0.784
YGR184C	0.784
YBR206W	0.785
YIR017C	0.785
YNL047C	0.785
YJL057C	0.785
YBR027C	0.785
YGR040W	0.786
YBR201W	0.786
YLR102C	0.786
YER166W	0.786
YBR048W	0.786
YDR464W	0.786
YLR270W	0.786
YBR234C	0.787
YCL024W	0.787
YGL207W	0.787
YDR429C	0.787
YGL169W	0.788
YBR190W	0.788
YBR073W	0.788
YIL052C	0.789
YHR139C	0.789
YOR051C	0.789
YBR281C	0.789
YPL047W	0.789
YLR130C	0.790
YLR113W	0.790
YNL135C	0.790
YJL190C	0.792
YDR290W	0.792
YJR119C	0.793
YJL109C	0.793
YLR409C	0.793
YHR137W	0.793
YJR021C	0.794
YDR384C	0.794
YDR183W	0.794
YPR163C	0.794
YDL117W	0.794
YDR173C	0.794
YLR048W	0.795
YPL115C	0.795
YMR116C	0.795
YKL073W	0.795
YLR184W	0.795
YIL018W	0.795
YDR449C	0.795
YDR152W	0.795
YGL209W	0.796
YKL058W	0.796
YNR041C	0.796
YGR119C	0.796
YLR147C	0.796
YNL077W	0.796
YOR222W	0.796
YLR412W	0.797
YCL004W	0.885
YCL010C	0.798
YBL091C	0.798
YDR431W	0.798
YDR075W	0.798
YLR242C	0.798
YGL239C	0.799
YMR113W	0.799
YCL005W-A	0.799
YLR425W	0.799
YHR007C	0.799
YML031W	0.799
YGR170W	0.800
YLR395C	0.800
YNL266W	0.800
YPR001W	0.800
YDL116W	0.801
YGL160W	0.801
YGR051C	0.801
YMR119W-A	0.801
YBR084C-A	0.802
YOR194C	0.802
YDL140C	0.803
YLL041C	0.803
YDR179W-A	0.803
YHR186C	0.803
YLR247C	0.804
YLR067C	0.804
YHR021C	0.804
YOR021C	0.804
YGL238W	0.804
YHR161C	0.805
YGL080W	0.805
YHR171W	0.805
YDR305C	0.805
YDR339C	0.805
YOR299W	0.806
YKL207W	0.806
YLR359W	0.807
YIL105C	0.807
YDR412W	0.807
YLL015W	0.807
YLR072W	0.807
YOR227W	0.807
YLL063C	0.807
YLR414C	0.807
YBR162C	0.808
YHR094C	0.808
YPR060C	0.809
YDR156W	0.809
YLR339C	0.809
YCL059C	0.809
YGL199C	0.809
YOR055W	0.809
YDL211C	0.809
YIL139C	0.810
YDR084C	0.810
YGL255W	0.810
YDR482C	0.810
YLR438C-A	0.811
YGR154C	0.811
YPL165C	0.811
YGR083C	0.811
YBL026W	0.812
YDR353W	0.812
YLR430W	0.812
YHL005C	0.812
YDL070W	0.812
YDR070C	0.812
YNR021W	0.812
YGL123W	0.813
YDR471W	0.813
YCR073C	0.813
YJL019W	0.948
YAL012W	0.813
YBR007C	0.813
YOL052C-A	0.814
YPL128C	0.814
YPR018W	0.814
YDR123C	0.814
YNR012W	0.814
YOL057W	0.814
YER145C	0.814
YJL050W	0.814
YMR296C	0.814
YNL332W	0.814
YJL075C	0.814
YDR359C	0.815
YLR148W	0.815
YLR069C	0.815
YDR364C	0.815
YLR092W	0.815
YGR214W	0.815
YDL219W	0.815
YMR161W	0.815
YLR263W	0.816
YOL021C	0.816
YDL065C	0.816
YGL203C	0.818
YGL162W	0.818
YBR229C	0.818
YKL017C	0.818
YBR221C	0.818
YHR170W	0.818
YGR095C	0.818
YNL244C	0.818
YJL195C	0.819
YMR279C	0.819
YOR248W	0.819
YDR473C	0.819
YGR118W	0.820
YEL066W	0.820
YKR082W	0.820
YGL003C	0.820
YDR291W	0.820
YLR208W	0.820
YDR063W	0.820
YDR451C	0.820
YLR316C	0.821
YPL179W	0.821
YPL096W	0.821
YDL208W	0.821
YER056C-A	0.821
YOR207C	0.821
YBL028C	0.821
YDR236C	0.821
YDR067C	0.822
YMR005W	0.822
YNL280C	0.822
YLR012C	0.822
YDL209C	0.822
YPL005W	0.822
YPR122W	0.822
YJL128C	0.823
YGR112W	0.823
YCR037C	0.823
YGR203W	0.823
YBR264C	0.823
YHR049C-A	0.823
YBR211C	0.823
YOR235W	0.824
YPL178W	0.824
YHR062C	0.824
YBR128C	0.824
YGL235W	0.824
YDR023W	0.824
YDL096C	0.824
YCR071C	0.824
YGL125W	0.824
YNL251C	0.824
YER044C-A	0.824
YLR387C	0.825
YER088C	0.825
YCR048W	0.825
YPL027W	0.825
YMR275C	0.825
YLR291C	0.826
YNL203C	0.826
YDR206W	0.826
YGR213C	0.826
YBR032W	0.826
YDR036C	0.827
YPR145W	0.827
YJL025W	0.827
YJL162C	0.827
YGR120C	0.827
YPR154W	0.827
YDR085C	0.827
YDR051C	0.828
YER043C	0.828
YNL262W	0.828
YLR222C	0.828
YDR199W	0.828
YBL016W	0.828
YBR288C	0.829
YLR088W	0.829
YDR532C	0.829
YGL158W	0.829
YDR064W	0.829
YLL019C	0.829
YDL172C	0.829
YHL029C	0.829
YHL014C	0.829
YBR077C	0.829
YLR090W	0.830
YJL005W	0.830
YNR043W	0.830
YLR225C	0.830
YOR337W	0.830
YBR217W	0.830
YLR091W	0.830
YBR012C	0.830
YDL161W	0.830
YBR033W	0.831
YHR018C	0.831
YLR269C	0.831
YHR143W	0.831
YJL051W	0.831
YLR028C	0.831
YNL114C	0.831
YKL093W	0.831
YDL084W	0.831
YBR188C	0.831
YNR050C	0.831
YLR343W	0.832
YDR221W	0.832
YPL177C	0.832
YBL008W	0.832
YMR066W	0.832
YBR296C	0.833
YGR054W	0.833
YPL064C	0.833
YER129W	0.833
YDR397C	0.833
YGL095C	0.833
YCL061C	0.897
YCL075W	0.833
YLL011W	0.833
YOR294W	0.833
YKL165C	0.834
YDL142C	0.834
YBR003W	0.834
YJL210W	0.834
YER036C	0.834
YHL035C	0.834
YDR417C	0.834
YNL328C	0.834
YOL061W	0.834
YER161C	0.834
YJL152W	0.834
YHR041C	0.835
YHR005C-A	0.835
YLR365W	0.835
YDR080W	0.836
YBR044C	0.836
YMR076C	0.836
YML129C	0.836
YNL171C	0.836
YGR035C	0.836
YLR014C	0.836
YFL049W	0.837
YHR049W	0.837
YPR002W	0.837
YOL072W	0.837
YGR186W	0.837
YOL116W	0.837
YPL190C	0.837
YDR243C	0.837
YBR212W	0.837
YLR203C	0.837
YLR261C	0.838
YPL126W	0.838
YDL150W	0.838
YPR071W	0.838
YJR088C	0.838
YPL078C	0.838
YLR118C	0.838
YJL115W	0.838
YBR168W	0.839
YNL164C	0.839
YPL053C	0.839
YOR361C	0.839
YGR160W	0.839
YNL045W	0.839
YPL130W	0.839
YPL163C	0.839
YKL146W	0.839
YLR077W	0.839
YLR325C	0.839
YOR060C	0.840
YGR200C	0.840
YBR065C	0.840
YJR150C	0.840
YBR132C	0.841
YMR230W	0.841
YIL009C-A	0.841
YOR022C	0.841
YDL220C	0.842
YPR126C	0.842
YKL088W	0.842
YHL012W	0.842
YDL115C	0.842
YLR001C	0.842
YJL026W	0.842
YJL097W	0.843
YHR204W	0.843
YNL005C	0.843
YKL162C-A	0.843
YKR071C	0.843
YPR136C	0.843
YLL008W	0.843
YBL013W	0.843
YDR045C	0.844
YLL035W	0.844
YHR122W	0.844
YLR448W	0.844
YGR216C	0.844
YBR061C	0.844
YLR023C	0.844
YML096W	0.844
YOR146W	0.845
YGR074W	0.845
YOR289W	0.845
YLR100W	0.845
YOR111W	0.845
YER139C	0.845
YPR132W	0.845
YOR026W	0.845
YKL011C	0.846
YPL012W	0.846
YJL131C	0.846
YLR105C	0.846
YLL037W	0.846
YDL192W	0.847
YOR324C	0.847
YBR262C	0.847
YGR207C	0.848
YDR151C	0.848
YBL015W	0.848
YIL116W	0.848
YMR197C	0.848
YDR303C	0.848
YKL022C	0.848
YDL127W	0.848
YPR040W	0.849
YGR274C	0.849
YKL131W	0.849
YDR237W	0.849
YDR301W	0.849
YLR032W	0.850
YER152C	0.850
YDR387C	0.850
YBL043W	0.850
YER046W-A	0.850
YJR036C	0.850
YDL100C	0.851
YIL109C	0.851
YDR113C	0.851
YBL036C	0.851
YKL048C	0.851
YDR035W	0.851
YOL014W	0.851
YDR329C	0.851
YGR193C	0.852
YKL169C	0.852
YBL106C	0.852
YMR125W	0.852
YNR051C	0.852
YPR125W	0.852
YDL214C	0.852
YER089C	0.852
YGR007W	0.852
YPR134W	0.853
YBR218C	0.853
YPL208W	0.853
YLR003C	0.853
YBR051W	0.853
YDR370C	0.853
YDR347W	0.853
YDL238C	0.853
YNL056W	0.853
YDL182W	0.853
YGR072W	0.854
YOR264W	0.854
YBR019C	0.854
YLR017W	0.854
YDL106C	0.854
YGR265W	0.854
YBR072W	0.854
YFL041W	0.854
YOR173W	0.854
YNL057W	0.854
YOR369C	0.854
YJL212C	0.854
YDL093W	0.854
YKL163W	0.854
YNL264C	0.855
YHR153C	0.855
YLR444C	0.855
YGL077C	0.855
YDL020C	0.855
YKL176C	0.855
YGR131W	0.855
YPL080C	0.855
YDR491C	0.855
YJL125C	0.855
YOR069W	0.855
YKL024C	0.855
YCR026C	0.855
YHL019C	0.855
YBR025C	0.856
YIL138C	0.856
YEL002C	0.856
YNL178W	0.856
YDL241W	0.856
YDR388W	0.856
YFL032W	0.856
YDL091C	0.856
YNL147W	0.856
YGR094W	0.857
YDR494W	0.857
YBR064W	0.857
YLR059C	0.857
YNL051W	0.857
YPL001W	0.857
YLR255C	0.857
YOR192C	0.857
YMR095C	0.857
YOR288C	0.858
YLR275W	0.858
YBR139W	0.858
YGR136W	0.858
YNL088W	0.858
YNL336W	0.858
YJR145C	0.858
YJR108W	0.858
YDR010C	0.859
YDL203C	0.859
YEL020C	0.859
YGR129W	0.859
YKL174C	0.859
YNL008C	0.859
YCL006C	0.859
YHR162W	0.860
YBR246W	0.860
YNL295W	0.860
YLR008C	0.860
YMR299C	0.860
YDR517W	0.860
YDL243C	0.860
YMR128W	0.860
YKL068W	0.860
YDR277C	0.860
YDR350C	0.860
YGR137W	0.860
YHR069C	0.860
YHL006C	0.860
YKL055C	0.861
YPL087W	0.861
YJL062W	0.861
YBR021W	0.861
YLR143W	0.861
YNR045W	0.861
YOR254C	0.861
YNL089C	0.861
YDR094W	0.861
YIL071C	0.861
YKL212W	0.862
YLR041W	0.862
YHR068W	0.862
YLR165C	0.862
YOR053W	0.862
YNR027W	0.862
YOR029W	0.863
YGL214W	0.863
YCR007C	0.863
YPL120W	0.863
YLR272C	0.863
YER178W	0.863
YMR110C	0.863
YJR077C	0.864
YLR273C	0.864
YHR157W	0.864
YOL017W	0.864
YFR022W	0.864
YLR146C	0.864
YOR373W	0.865
YPR041W	0.865
YER071C	0.865
YNR042W	0.865
YMR240C	0.865
YOL056W	0.865
YNL338W	0.865
YNL175C	0.865
YNL159C	0.865
YDL050C	0.865
YCR017C	0.865
YHR087W	0.865
YPR007C	0.866
YOL110W	0.866
YGR075C	0.866
YHR155W	0.866
YDR399W	0.866
YJL024C	0.866
YOL016C	0.866
YLR040C	0.866
YOR106W	0.866
YDR017C	0.866
YDR446W	0.866
YCR049C	0.866
YGR162W	0.866
YOL054W	0.866
YCL026C	0.867
YCR051W	0.867
YOL013C	0.867
YFL034C-A	0.928
YER097W	0.867
YHR114W	0.868
YKL117W	0.868
YCR065W	0.868
YLL042C	0.868
YJR129C	0.868
YER090W	0.868
YDL062W	0.868
YER035W	0.868
YMR179W	0.868
YJL159W	0.868
YDR255C	0.868
YLL023C	0.868
YHR151C	0.868
YFL042C	0.993
YGL210W	0.868
YDL087C	0.868
YGR001C	0.868
YER059W	0.869
YOR177C	0.869
YNL259C	0.869
YBR202W	0.869
YGR052W	0.869
YOR006C	0.869
YDL200C	0.869
YOR017W	0.869
YER169W	0.870
YGR281W	0.870
YNL339C	0.870
YKL016C	0.870
YBR228W	0.870
YMR211W	0.870
YKL091C	0.870
YJR093C	0.870
YHR086W	0.870
YBL051C	0.870
YDL059C	0.870
YNL172W	0.870
YDR118W	0.870
YIL119C	0.870
YLR415C	0.871
YKL084W	0.871
YHR168W	0.871
YDL015C	0.871
YGR260W	0.871
YPL063W	0.871
YGR111W	0.871
YAL021C	0.871
YHR066W	0.871
YDL060W	0.871
YBL078C	0.871
YNL177C	0.871
YHL037C	0.871
YJL144W	0.872
YJR124C	0.872
YPL214C	0.872
YGL102C	0.872
YJR097W	0.872
YBL034C	0.872
YNL270C	0.872
YDL071C	0.873
YER188W	0.873
YMR245W	0.873
YOR061W	0.873
YER112W	0.873
YNL002C	0.873
YDR499W	0.873
YDL221W	0.873
YOR119C	0.873
YGR269W	0.873
YDR016C	0.873
YCR014C	0.873
YLR198C	0.874
YER146W	0.874
YOR336W	0.874
YPR142C	0.874
YOR024W	0.874
YBR256C	0.874
YMR096W	0.874
YDR338C	0.874
YOR082C	0.874
YOR330C	0.874
YHR072W	0.875
YHR116W	0.875
YHR109W	0.875
YDR132C	0.875
YHR070W	0.875
YKL208W	0.875
YLR331C	0.875
YDR462W	0.875
YBR110W	0.875
YOR070C	0.875
YBL050W	0.875
YNR023W	0.875
YGR069W	0.875
YPR150W	0.875
YBR150C	0.876
YNL099C	0.876
YBL082C	0.876
YDR486C	0.876
YNL100W	0.876
YOR113W	0.876
YIR016W	0.876
YEL007W	0.876
YOL049W	0.877
YDR393W	0.877
YLR239C	0.877
YOL121C	0.877
YLR098C	0.877
YPR024W	0.877
YLR434C	0.877
YHR120W	0.877
YLR298C	0.877
YBL058W	0.877
YNL294C	0.877
YMR092C	0.877
YLR324W	0.877
YOR138C	0.877
YDR436W	0.877
YLL059C	0.877
YNL054W	0.877
YNL223W	0.877
YHR183W	0.878
YHR129C	0.878
YLR349W	0.878
YOR025W	0.878
YBR071W	0.878
YFR016C	0.878
YJL105W	0.878
YGR257C	0.878
YEL017C-A	0.878
YLR120C	0.878
YNL296W	0.878
YPL121C	0.878
YDR466W	0.878
YHL036W	0.878
YNL095C	0.878
YDL058W	0.879
YGL042C	0.879
YJL185C	0.879
YOR001W	0.879
YPL090C	0.879
YML063W	0.879
YKL184W	0.879
YMR223W	0.879
YKL087C	0.879
YGR135W	0.879
YHL022C	0.879
YJL118W	0.879
YER066C-A	0.879
YKR106W	0.879
YMR187C	0.879
YBR180W	0.880
YKL064W	0.880
YML037C	0.880
YBL039C	0.880
YCL023C	0.880
YDR460W	0.880
YKL006C-A	0.880
YJR099W	0.880
YOR089C	0.880
YIL096C	0.880
YDL064W	0.880
YCL001W-A	0.881
YBR009C	0.881
YER074W	0.881
YDR207C	0.881
YOR035C	0.881
YDL131W	0.881
YMR292W	0.881
YDR421W	0.881
YIL121W	0.881
YOL080C	0.881
YLL020C	0.882
YMR080C	0.882
YDR158W	0.882
YLR278C	0.882
YPL114W	0.882
YMR205C	0.882
YER061C	0.882
YAL025C	0.882
YPL219W	0.882
YPL176C	0.882
YDR504C	0.882
YDR175C	0.882
YHR044C	0.882
YBR196C	0.882
YPL021W	0.882
YPL144W	0.882
YGR041W	0.882
YIR033W	0.882
YDR356W	0.882
YPL124W	0.882
YOL152W	0.882
YCR045C	0.883
YBR039W	0.883
YOL007C	0.883
YEL039C	0.883
YDR260C	0.883
YER180C	0.883
YJR090C	0.883
YIL118W	0.883
YNL161W	0.883
YNR008W	0.883
YGR021W	0.883
YGR172C	0.883
YJL077C	0.883
YJR002W	0.883
YOR295W	0.883
YDL121C	0.883
YGR211W	0.883
YGR132C	0.883
YNL122C	0.883
YML102W	0.883
YKL115C	0.883
YCL016C	0.884
YLR046C	0.884
YER041W	0.884
YHR142W	0.884
YGR179C	0.884
YDR430C	0.884
YOL009C	0.884
YLR455W	0.884
YLL062C	0.885
YKL029C	0.885
YGL094C	0.885
YGL177W	0.885
YPL217C	0.885
YLR226W	0.885
YHR148W	0.885
YPL225W	0.885
YDR360W	0.885
YML094W	0.885
YBR189W	0.885
YDR176W	0.885
YOR271C	0.885
YGL061C	0.885
YOR068C	0.885
YDL086W	0.886
YPR037C	0.886
YJL103C	0.886
YKL028W	0.886
YMR282C	0.886
YJR005W	0.886
YIR012W	0.886
YKR008W	0.886
YNL301C	0.886
YLR440C	0.886
YHR191C	0.886
YGR011W	0.886
YDL236W	0.886
YOR276W	0.886
YLR068W	0.886
YHL039W	0.886
YNL249C	0.887
YDR007W	0.887
YOR191W	0.887
YER053C	0.887
YLL004W	0.887
YNL076W	0.887
YDL224C	0.887
YLR099C	0.887
YFR019W	0.887
YDL184C	0.887
YDL149W	0.887
YNL020C	0.887
YNL169C	0.887
YLR013W	0.887
YDL169C	0.887
YDR378C	0.888
YMR204C	0.888
YOR303W	0.888
YDR357C	0.888
YDL233W	0.888
YBR176W	0.888
YDR169C	0.888
YLR335W	0.888
YJL156C	0.888
YDR259C	0.888
YOL025W	0.888
YMR317W	0.888
YDR097C	0.889
YBL071C	0.889
YJR075W	0.889
YHR030C	0.889
YJR068W	0.889
YLR400W	0.889
YER181C	0.889
YDL179W	0.889
YBR058C	0.889
YML094C-A	0.889
YBR115C	0.889
YLR206W	0.889
YPR096C	0.889
YPR144C	0.889
YOR059C	0.889
YPL170W	0.889
YLR179C	0.890
YPR095C	0.890
YHR005C	0.890
YBR047W	0.890
YPR147C	0.890
YLR258W	0.890
YBR299W	0.890
YLR423C	0.890
YBL025W	0.890
YKL076C	0.890
YOR075W	0.890
YBR195C	0.890
YER048C	0.890
YPL043W	0.890
YPL112C	0.891
YPL257W	0.891
YBR111C	0.891
YBR135W	0.891
YOR076C	0.891
YOR298C-A	0.891
YHR080C	0.891
YOR028C	0.891
YKL183W	0.891
YHR067W	0.891
YLR153C	0.891
YKL039W	0.891
YDR528W	0.891
YDR415C	0.891
YFL014W	0.891
YOR116C	0.892
YMR158C-A	0.892
YCL053C	0.892
YJR094C	0.892
YMR143W	0.892
YBR024W	0.892
YIR005W	0.892
YHL025W	0.892
YGL041C	0.892
YBR134W	0.892
YHR097C	0.892
YBL100C	0.892
YJL006C	0.892
YKR073C	0.892
YIR009W	0.892
YJR094W-A	0.892
YKL147C	0.893
YER136W	0.893
YPL205C	0.893
YBR014C	0.893
YGR188C	0.893
YPL161C	0.893
YML101C-A	0.893
YDR289C	0.893
YHR043C	0.893
YOR036W	0.893
YLR337C	0.893
YPL008W	0.893
YEL010W	0.894
YGR158C	0.894
YLR204W	0.894
YLR220W	0.894
YDR245W	0.894
YGR234W	0.894
YDR231C	0.894
YOR019W	0.894
YBR290W	0.894
YPR012W	0.894
YLR108C	0.894
YDR034C	0.894
YDR109C	0.894
YNL078W	0.894
YOR335C	0.894
YER128W	0.894
YGR177C	0.895
YBR177C	0.895
YGL127C	0.895
YOR071C	0.895
YHR207C	0.895
YMR320W	0.895
YLR356W	0.895
YBR136W	0.895
YNL330C	0.895
YPL204W	0.895
YDR419W	0.895
YJL193W	0.895
YDR267C	0.895
YGR175C	0.895
YDL003W	0.895
YDR128W	0.895
YBR076W	0.895
YDL122W	0.895
YDR139C	0.895
YML071C	0.896
YKL083W	0.896
YNL141W	0.896
YKL149C	0.896
YMR158W	0.896
YPL014W	0.896
YGL226W	0.896
YLR424W	0.896
YLR196W	0.896
YHL028W	0.896
YJR035W	0.896
YNL071W	0.896
YGR059W	0.896
YPL201C	0.896
YDR009W	0.896
YOR210W	0.896
YBR270C	0.896
YMR224C	0.896
YCL063W	0.955
YLL056C	0.897
YBR031W	0.897
YLR223C	0.897
YBR292C	0.897
YGL008C	0.897
YPR099C	0.897
YGR139W	0.897
YOR112W	0.897
YOL058W	0.897
YLR350W	0.897
YGR286C	0.897
YBR257W	0.897
YPR015C	0.897
YKL128C	0.897
