orf	het | growth (pooled culture) | macbecin II [200-400 uM], temperature [15 C] | YPD + DMSO | Franzosa EA~McClellan AJ, 2011
YBL011W	1.6754
YBL012C	0.93296
YBL013W	0.84324
YBL015W	0.84777
YBL016W	0.82849
YBL017C	1.0024
YBL018C	0.98496
YBL019W	0.66201
YBL020W	1.0162
YBL023C	1.1536
YBL024W	0.98211
YBL025W	0.89015
YBL026W	0.8116
YBL027W	0.56484
YBL028C	0.82101
YBL029W	0.9746
YBL031W	0.76203
YBL032W	0.69482
YBL033C	0.99061
YBL034C	0.87205
YBL035C	1.0159
YBL036C	0.85078
YBL037W	0.90425
YBL038W	0.97655
YBL039C	0.87975
YBL040C	1.1589
YBL041W	1.7444
YBL042C	1.0508
YBL043W	0.85023
YBL045C	0.92762
YBL046W	0.99059
YBL048W	0.95695
YBL049W	1.0019
YBL050W	0.87511
YBL051C	0.87022
YBL052C	1.0405
YBL053W	0.92892
YBL054W	1.0176
YBL055C	1.0192
YBL056W	0.92596
YBL057C	0.91234
YBL058W	0.87698
YBL059W	0.92149
YBL060W	0.95424
YBL061C	0.91639
YBL063W	0.96367
YBL064C	0.92493
YBL065W	0.70143
YBL066C	0.94971
YBL067C	2.1298
YBL068W	0.93059
YBL070C	1.0077
YBL071C	0.88859
YBL072C	0.76974
YBL073W	0.9288
YBL074C	0.97877
YBL076C	0.99122
YBL077W	0.96062
YBL078C	0.87135
YBL079W	1.0907
YBL080C	1.0279
YBL081W	1.0091
YBL082C	0.87566
YBL083C	0.95508
YBL085W	0.96908
YBL086C	1.3592
YBL087C	1.1928
YBL089W	0.98458
YBL090W	1.0829
YBL091C	0.79785
YBL091C-A	1.0444
YBL092W	0.98738
YBL093C	1.1594
YBL094C	0.93733
YBL095W	1.2342
YBL096C	0.94938
YBL097W	0.98142
YBL098W	0.94818
YBL099W	0.92599
YBL100C	0.89214
YBL101C	1.0695
YBL102W	1.0446
YBL104C	0.92789
YBL105C	1.0484
YBL106C	0.85189
YBL107C	1.0806
YBR001C	1.051
YBR002C	1.0544
YBR003W	0.83389
YBR004C	0.72587
YBR006W	0.69
YBR007C	0.81337
YBR008C	1.0495
YBR009C	0.88084
YBR011C	0.953055
YBR012C	0.8301
YBR013C	0.92254
YBR014C	0.89282
YBR015C	1.0526
YBR016W	0.67957
YBR017C	1.4305
YBR018C	1.0028
YBR019C	0.85359
YBR020W	1.968
YBR021W	0.86078
YBR022W	1.0331
YBR024W	0.89194
YBR025C	0.85583
YBR026C	0.72993
YBR027C	0.78539
YBR028C	1.1495
YBR029C	0.712
YBR030W	1.2595
YBR031W	0.89655
YBR032W	0.82642
YBR033W	0.83051
YBR034C	1.073
YBR037C	1.158
YBR039W	0.88262
YBR040W	1.0406
YBR042C	0.98996
YBR043C	1.128
YBR044C	0.8359
YBR045C	0.90268
YBR046C	1.0214
YBR047W	0.88959
YBR048W	0.78591
YBR050C	0.90779
YBR051W	0.85282
YBR052C	0.71571
YBR053C	1.0237
YBR054W	0.73731
YBR055C	1.0987
YBR056W	1.0257
YBR058C	0.8888
YBR060C	0.99418
YBR061C	0.8442
YBR062C	0.9343
YBR063C	0.78386
YBR064W	0.85709
YBR065C	0.84043
YBR066C	1.0428
YBR067C	0.75087
YBR068C	0.71045
YBR069C	0.65669
YBR070C	1.1801
YBR071W	0.8781
YBR072W	0.85403
YBR073W	0.78837
YBR074W	0.93923
YBR076W	0.89535
YBR077C	0.8294
YBR079C	0.94222
YBR080C	0.95974
YBR081C	1.2277
YBR082C	1.1542
YBR083W	0.9839
YBR084C-A	0.80177
YBR084W	1.055
YBR085W	0.9496
YBR086C	0.68226
YBR087W	0.94153
YBR088C	0.93476
YBR089C-A	0.92775
YBR089W	0.94258
YBR090C	1.1181
YBR091C	1.0588
YBR092C	0.98421
YBR093C	0.90938
YBR094W	1.0224
YBR095C	1.8441
YBR096W	1.1262
YBR098W	1.05627
YBR099C	1.0713
YBR102C	0.9895
YBR104W	1.0826
YBR106W	0.98793
YBR107C	0.95907
YBR108W	0.9764
YBR109C	1.1628
YBR110W	0.87504
YBR111C	0.89066
YBR112C	0.71111
YBR113W	0.76788
YBR114W	1.3827
YBR115C	0.88888
YBR116C	1.0473
YBR117C	1.0077
YBR119W	1.3262
YBR120C	0.94466
YBR123C	1.0968
YBR124W	0.90967
YBR125C	0.99053
YBR126C	2.6324
YBR127C	0.99527
YBR128C	0.82404
YBR129C	1.7474
YBR130C	0.90932
YBR131W	1.0868
YBR132C	0.84066
YBR133C	0.38074
YBR134W	0.89213
YBR135W	0.89068
YBR136W	0.89504
YBR137W	1.0473
YBR139W	0.85785
YBR140C	0.92235
YBR141C	0.98008
YBR142W	0.94507
YBR143C	1.1821
YBR144C	0.95891
YBR145W	1.076
YBR146W	1.0534
YBR147W	1.0489
YBR148W	1.4368
YBR149W	1.0621
YBR150C	0.87558
YBR151W	1.0865
YBR152W	1.0395
YBR153W	1.0102
YBR155W	1.0905
YBR156C	0.6567
YBR157C	1.1544
YBR158W	1.0032
YBR159W	0.99988
YBR160W	1.012
YBR161W	1.004
YBR162C	0.80772
YBR162W-A	0.91614
YBR163W	1.0403
YBR164C	0.95897
YBR165W	1.1703
YBR166C	1.0983
YBR167C	1.002
YBR168W	0.83851
YBR169C	0.94123
YBR170C	0.9113
YBR171W	1.0233
YBR172C	1.0241
YBR173C	1.7705
YBR174C	1.0433
YBR175W	0.98577
YBR176W	0.88789
YBR177C	0.89454
YBR178W	0.75592
YBR179C	0.90639
YBR180W	0.87961
YBR183W	0.95352
YBR184W	0.93023
YBR185C	1.0573
YBR186W	0.9122
YBR187W	0.76945
YBR188C	0.83134
YBR189W	0.88509
YBR190W	0.78782
YBR191W	0.61045
YBR192W	1.1039
YBR193C	0.91094
YBR194W	0.92092
YBR195C	0.89035
YBR196C	0.88206
YBR197C	0.31723
YBR198C	0.69755
YBR199W	0.91606
YBR200W	1.4493
YBR201W	0.78569
YBR202W	0.86885
YBR203W	0.94133
YBR204C	0.97281
YBR205W	0.76797
YBR206W	0.78457
YBR207W	0.97948
YBR208C	1.0651
YBR209W	0.95607
YBR210W	1.0358
YBR211C	0.82337
YBR212W	0.83733
YBR214W	0.97578
YBR215W	0.92544
YBR216C	0.98232
YBR217W	0.82994
YBR218C	0.85257
YBR219C	0.73957
YBR220C	1.087
YBR221C	0.81824
YBR222C	0.73181
YBR224W	0.72976
YBR225W	1.1713
YBR226C	0.78142
YBR227C	0.98568
YBR228W	0.87006
YBR229C	0.81803
YBR230C	0.98076
YBR232C	0.94724
YBR233W	1.0741
YBR234C	0.78651
YBR235W	0.9966
YBR236C	0.99333
YBR237W	0.99299
YBR239C	0.90725
YBR240C	0.78204
YBR241C	0.75855
YBR242W	0.69919
YBR243C	1.0531
YBR244W	0.98837
YBR245C	1.0777
YBR246W	0.85968
YBR247C	0.90201
YBR248C	0.62341
YBR249C	1.0088
YBR250W	1.0499
YBR251W	1.0641
YBR252W	0.66958
YBR253W	1.1134
YBR254C	0.75071
YBR255W	0.96332
YBR256C	0.87395
YBR257W	0.89713
YBR258C	1.1406
YBR259W	1.0094
YBR260C	1.0925
YBR261C	1.1795
YBR262C	0.84737
YBR263W	1.0369
YBR264C	0.82314
YBR265W	1.1438
YBR266C	0.75906
YBR267W	0.66471
YBR268W	0.92489
YBR269C	0.97572
YBR270C	0.89641
YBR271W	0.97906
YBR272C	0.94378
YBR273C	1.0682
YBR275C	1.0328
YBR276C	1.0147
YBR278W	0.91909
YBR280C	0.92764
YBR281C	0.78921
YBR282W	1.0157
YBR283C	1.0335
YBR284W	0.77419
YBR285W	0.71874
YBR286W	0.90879
YBR287W	1.0487
YBR288C	0.82863
YBR289W	1.1228
YBR290W	0.89398
YBR291C	0.90362
YBR292C	0.89661
YBR293W	0.98938
YBR294W	1.0003
YBR295W	0.76282
YBR296C	0.8325
YBR297W	1.0596
YBR298C	0.59931
YBR299W	0.88977
YBR300C	0.61959
YBR301W	0.93622
YCL001W	1.1584
YCL001W-A	0.88064
YCL002C	0.93108
YCL004W	0.88529
YCL005W	1.022
YCL005W-A	0.79912
YCL008C	0.96062
YCL009C	1.0526
YCL010C	0.79784
YCL011C	1.0392
YCL014W	1.06975
YCL016C	0.88364
YCL017C	1.13
YCL022C	0.93847
YCL023C	0.8798
YCL024W	0.78717
YCL025C	0.97438
YCL026C-A	0.98659
YCL027W	0.91045
YCL028W	1.0018
YCL029C	1.2608
YCL030C	0.99123
YCL032W	1.0478
YCL033C	1.07
YCL034W	1.0902
YCL035C	0.93092
YCL036W	0.73396
YCL037C	1.5585
YCL039W	0.96588
YCL040W	0.91446
YCL041C	1.0072
YCL042W	1.0602
YCL043C	0.78036
YCL044C	0.99238
YCL045C	0.98504
YCL046W	1.09
YCL047C	1.0717
YCL048W	1.0447
YCL049C	0.98476
YCL050C	1.1078
YCL051W	1.005
YCL052C	1.0964
YCL054W	0.98677
YCL055W	0.98702
YCL056C	0.98699
YCL057W	1.0793
YCL058C	0.91736
YCL059C	0.80913
YCL061C	0.897
YCL063W	0.95486
YCL064C	0.90295
YCL069W	1.0451
YCL076W	0.98716
YCR001W	0.97487
YCR002C	1.091
YCR003W	0.96969
YCR004C	0.98968
YCR005C	1.0016
YCR006C	2.1902
YCR007C	0.86292
YCR008W	1.0307
YCR009C	0.93796
YCR011C	0.91236
YCR012W	1.0719
YCR013C	0.97454
YCR014C	0.87347
YCR015C	1.0021
YCR016W	1.0544
YCR017C	0.86547
YCR019W	1.0271
YCR020C	1.1118
YCR020C-A	1.0748
YCR020W-B	0.69654
YCR021C	1.1178
YCR022C	0.97283
YCR023C	1.0484
YCR024C	0.89761
YCR024C-A	0.98547
YCR025C	0.91423
YCR026C	0.85534
YCR028C	0.74969
YCR028C-A	1.1144
YCR030C	0.99576
YCR031C	1.0183
YCR032W	0.92114
YCR033W	0.9879
YCR034W	0.68226
YCR035C	1.0685
YCR036W	0.72135
YCR037C	0.82277
YCR043C	0.95807
YCR044C	0.72409
YCR045C	0.88261
YCR046C	1.0046
YCR047C	0.96696
YCR048W	0.82489
YCR049C	0.86624
YCR050C	0.7111
YCR051W	0.8668
YCR052W	1.0104
YCR053W	0.97786
YCR054C	1.0146
YCR057C	0.91876
YCR060W	1.0289
YCR061W	0.98154
YCR063W	0.74834
YCR064C	0.92953
YCR065W	0.8676
YCR066W	0.99113
YCR067C	0.9459
YCR068W	1.1274
YCR069W	1.0421
YCR071C	0.82417
YCR072C	0.94489
YCR073C	0.81317
YCR073W-A	0.96165
YCR075C	0.91784
YCR076C	0.75947
YCR077C	0.75567
YCR079W	0.99477
YCR082W	0.98774
YCR083W	1.0405
YCR084C	0.73939
YCR085W	0.9434
YCR086W	0.67838
YCR087C-A	1.0392
YCR087W	0.97235
YCR088W	1.0081
YCR089W	0.98484
YCR090C	1.0354
YCR091W	1.1036
YCR092C	0.99202
YCR093W	1.0724
YCR094W	1.1208
YCR095C	1.0611
YCR098C	1.0907
YCR099C	1.0609
YCR100C	1.0079
YCR101C	0.99285
YCR102C	1.1073
YCR102W-A	0.95479
YCR105W	1.02
YCR106W	1.0084
YCR107W	1.1017
YDL001W	1.0139
YDL002C	0.75243
YDL003W	0.89522
YDL004W	1.14
YDL005C	0.95449
YDL006W	1.0087
YDL007W	1.3105
YDL008W	0.93291
YDL009C	1.0638
YDL010W	0.61046
YDL011C	1.0258
YDL012C	1.0148
YDL013W	1.0208
YDL014W	0.95626
YDL015C	0.87081
YDL016C	1.0058
YDL017W	0.93414
YDL018C	0.93294
YDL019C	0.9607
YDL020C	0.85494
YDL021W	0.91462
YDL022W	0.99821
YDL023C	0.9108
YDL024C	1.0224
YDL025C	1.0054
YDL027C	0.95574
YDL028C	0.98404
YDL029W	1.077
YDL030W	0.97407
YDL031W	0.9043
YDL032W	0.97328
YDL033C	0.95522
YDL034W	0.93157
YDL037C	1.0107
YDL039C	1.04355
YDL040C	1.0074
YDL041W	1.0758
YDL043C	1.2849
YDL044C	0.99459
YDL045C	1.0327
YDL046W	0.89823
YDL048C	0.93954
YDL049C	1.0288
YDL050C	0.86538
YDL051W	0.96186
YDL052C	0.94433
YDL053C	1.047
YDL054C	0.98461
YDL055C	0.95938
YDL056W	1.0488
YDL058W	0.87854
YDL059C	0.87029
YDL060W	0.87133
YDL061C	0.70532
YDL062W	0.86775
YDL063C	1.0434
YDL064W	0.88043
YDL065C	0.81644
YDL066W	1.1505
YDL067C	0.98876
YDL068W	0.97906
YDL070W	0.81229
YDL071C	0.87261
YDL072C	0.92101
YDL073W	1.0174
YDL074C	0.93911
YDL076C	0.92194
YDL077C	0.94417
YDL078C	0.92846
YDL079C	0.97103
YDL080C	1.0014
YDL081C	0.56045
YDL082W	0.58999
YDL084W	0.83125
YDL085W	1.062
YDL086W	0.88553
YDL087C	0.8684
YDL088C	1.0099
YDL090C	1.033
YDL091C	0.85633
YDL092W	1.0283
YDL093W	0.8544
YDL094C	1.1379
YDL095W	0.97942
YDL096C	0.82415
YDL097C	1.9411
YDL098C	0.93914
YDL099W	0.72453
YDL100C	0.85052
YDL101C	0.91951
YDL102W	0.95433
YDL104C	1.0003
YDL105W	1.0925
YDL106C	0.85373
YDL107W	0.74073
YDL108W	1.1244
YDL109C	1.0209
YDL110C	0.94184
YDL112W	1.0339
YDL113C	0.93943
YDL114W	0.97939
YDL115C	0.84202
YDL116W	0.80067
YDL117W	0.7941
YDL118W	0.96052
YDL119C	1.0422
YDL120W	0.74565
YDL121C	0.8833
YDL122W	0.89537
YDL123W	0.98948
YDL124W	0.98432
YDL125C	0.66237
YDL126C	1.1308
YDL127W	0.84847
YDL128W	1.0568
YDL129W	1.151
YDL130W	0.71839
YDL130W-A	1.0388
YDL131W	0.88129
YDL133C-A	0.953955
YDL133W	0.99208
YDL134C	1.02
YDL135C	0.90873
YDL136W	0.77582
YDL137W	1.0586
YDL138W	0.95865
YDL139C	0.94035
YDL140C	0.80259
YDL141W	1.0212
YDL142C	0.83389
YDL143W	1.9289
YDL144C	0.61869
YDL145C	1.1774
YDL147W	2.1793
YDL148C	0.9268
YDL149W	0.88722
YDL150W	0.83766
YDL151C	0.74788
YDL152W	0.95394
YDL153C	1.0102
YDL154W	1.015
YDL155W	0.93271
YDL156W	1.2055
YDL157C	0.98265
YDL158C	0.93924
YDL159W	0.94694
YDL160C	0.98723
YDL161W	0.83023
YDL162C	1.0965
YDL164C	0.98767
YDL165W	0.98515
YDL166C	1.2142
YDL167C	0.95422
YDL169C	0.88747
YDL170W	1.2639
YDL171C	0.76584
YDL172C	0.82922
YDL173W	0.89883
YDL174C	0.65968
YDL175C	1.01
YDL176W	0.78037
YDL177C	1.0106
YDL178W	1.1152
YDL179W	0.88876
YDL180W	1.0163
YDL181W	0.96275
YDL182W	0.85341
YDL184C	0.88708
YDL185W	1.0934
YDL186W	0.92966
YDL187C	1.1205
YDL188C	1.0628
YDL189W	1.1294
YDL190C	0.91066
YDL192W	0.84662
YDL194W	1.0792
YDL195W	0.77702
YDL196W	0.93708
YDL197C	0.77965
YDL198C	0.97029
YDL199C	0.94563
YDL200C	0.86928
YDL201W	1.1585
YDL202W	1.0921
YDL203C	0.85896
YDL204W	1.0398
YDL205C	1.004
YDL206W	1.2186
YDL208W	0.82073
YDL209C	0.82203
YDL210W	0.96695
YDL211C	0.80927
YDL212W	0.96167
YDL213C	1.1274
YDL214C	0.85208
YDL215C	0.90352
YDL216C	0.95708
YDL217C	0.93215
YDL218W	0.76758
YDL219W	0.81519
YDL220C	0.8416
YDL221W	0.87309
YDL222C	0.89856
YDL224C	0.88692
YDL225W	0.92334
YDL226C	0.97462
YDL229W	1.2656
YDL231C	0.89727
YDL232W	0.76258
YDL233W	0.88776
YDL234C	0.90808
YDL235C	0.93884
YDL236W	0.8861
YDL237W	0.90333
YDL238C	0.85325
YDL239C	1.0292
YDL240W	0.94552
YDL241W	0.85627
YDL242W	0.90274
YDL243C	0.8599
YDR001C	0.97007
YDR002W	0.9633
YDR003W	0.77092
YDR004W	0.94982
YDR005C	0.94011
YDR006C	1.1701
YDR007W	0.88656
YDR008C	0.92917
YDR009W	0.89629
YDR010C	0.85895
YDR011W	0.93716
YDR013W	0.93746
YDR014W	0.96812
YDR015C	0.7296
YDR016C	0.87329
YDR017C	0.86616
YDR018C	0.94193
YDR019C	1.0249
YDR020C	1.0085
YDR021W	1.1089
YDR023W	0.82406
YDR024W	0.73693
YDR026C	4.1373
YDR028C	0.94002
YDR031W	0.98431
YDR032C	1.0582
YDR034C	0.89418
YDR035W	0.85093
YDR036C	0.82664
YDR037W	1.0823
YDR041W	1.018
YDR042C	0.92222
YDR043C	1.0091
YDR044W	0.93057
YDR045C	0.8436
YDR047W	0.91514
YDR048C	0.99132
YDR049W	0.92706
YDR050C	0.89871
YDR051C	0.82756
YDR052C	1.884
YDR053W	0.98243
YDR054C	1.0636
YDR056C	0.92036
YDR057W	1.6889
YDR059C	0.70566
YDR060W	0.97533
YDR061W	0.99366
YDR062W	0.92657
YDR063W	0.82028
YDR064W	0.82919
YDR065W	1.0496
YDR067C	0.82155
YDR068W	1.0533
YDR069C	0.9515
YDR070C	0.81229
YDR071C	0.98288
YDR072C	1.0576
YDR073W	0.71007
YDR074W	1.0916
YDR075W	0.79839
YDR076W	0.98489
YDR078C	1.1577
YDR079W	0.63776
YDR080W	0.83561
YDR081C	0.9702
YDR083W	0.97208
YDR084C	0.8096
YDR085C	0.82732
YDR086C	1.4496
YDR087C	1.1461
YDR088C	1.0546
YDR089W	1.1135
YDR093W	0.91039
YDR094W	0.86117
YDR095C	0.96638
YDR096W	0.67243
YDR097C	0.88851
YDR098C	0.93159
YDR099W	1.1393
YDR100W	0.93544
YDR101C	0.90951
YDR102C	0.91242
YDR103W	0.94949
YDR104C	1.0194
YDR107C	0.98684
YDR108W	0.76325
YDR109C	0.8943
YDR110W	0.93561
YDR111C	1.0269
YDR112W	1.1663
YDR113C	0.85072
YDR114C	1.0869
YDR115W	1.1769
YDR116C	1.017
YDR117C	0.77601
YDR118W	0.87032
YDR119W	0.98749
YDR120C	1.0189
YDR121W	0.90992
YDR122W	0.95993
YDR123C	0.81383
YDR124W	0.59448
YDR125C	1.0308
YDR126W	1.0931
YDR127W	0.96195
YDR128W	0.89535
YDR130C	0.95121
YDR131C	1.0152
YDR132C	0.87478
YDR133C	1.0907
YDR135C	1.7818
YDR136C	0.92802
YDR137W	0.9369
YDR138W	1.0425
YDR139C	0.89537
YDR140W	0.95026
YDR141C	0.75727
YDR142C	0.98573
YDR144C	1.0024
YDR145W	0.67374
YDR146C	0.74443
YDR147W	2.8719
YDR149C	1.0476
YDR150W	1.039
YDR151C	0.84761
YDR152W	0.79534
YDR153C	0.92041
YDR154C	1.0998
YDR156W	0.80905
YDR157W	1.1094
YDR158W	0.8816
YDR159W	0.93972
YDR160W	1.1102
YDR162C	0.94491
YDR164C	0.93123
YDR165W	0.99321
YDR166C	1.0097
YDR167W	0.587
YDR168W	1.0943
YDR169C	0.88793
YDR170C	0.97501
YDR171W	0.99527
YDR172W	0.90963
YDR173C	0.79411
YDR174W	0.98548
YDR175C	0.88197
YDR176W	0.88521
YDR177W	1.0746
YDR178W	0.78259
YDR179C	0.9025
YDR179W-A	0.80315
YDR180W	1.0641
YDR181C	1.0728
YDR182W	1.0237
YDR183W	0.79391
YDR184C	0.54208
YDR185C	1.0453
YDR186C	1.2039
YDR189W	0.96293
YDR190C	1.0882
YDR191W	1.0691
YDR192C	1.0582
YDR193W	0.93621
YDR194C	1.0982
YDR195W	0.97434
YDR196C	0.92218
YDR197W	1.0549
YDR198C	0.93494
YDR199W	0.82843
YDR200C	1.2446
YDR201W	0.98593
YDR202C	0.98456
YDR203W	0.9512
YDR204W	1.0246
YDR205W	0.99713
YDR206W	0.82578
YDR207C	0.88095
YDR208W	1.0161
YDR209C	0.95919
YDR210W	0.95977
YDR211W	0.77666
YDR212W	1.3944
YDR213W	0.93996
YDR214W	1.0075
YDR215C	1.0218
YDR216W	0.99547
YDR217C	1.0432
YDR218C	0.99332
YDR219C	1.081
YDR220C	0.95135
YDR221W	0.83198
YDR222W	1.0049
YDR223W	1.0116
YDR224C	1.0812
YDR225W	0.9376
YDR226W	0.74473
YDR227W	1.1213
YDR228C	1.2825
YDR229W	1.0069
YDR230W	0.98086
YDR231C	0.89375
YDR232W	1.033
YDR233C	1.0436
YDR234W	1.1872
YDR235W	0.99656
YDR236C	0.82136
YDR237W	0.84926
YDR238C	1.1388
YDR239C	0.94295
YDR240C	0.95824
YDR241W	0.93719
YDR243C	0.83728
YDR244W	0.93709
YDR245W	0.8937
YDR246W	0.65019
YDR247W	1.0166
YDR248C	1.0811
YDR249C	0.7422
YDR250C	0.92165
YDR251W	1.0159
YDR252W	1.0276
YDR253C	1.1003
YDR254W	1.526
YDR255C	0.86796
YDR256C	0.93891
YDR257C	0.69829
YDR258C	1.1297
YDR259C	0.88834
YDR260C	0.88276
YDR261C	1.0169
YDR262W	1.0625
YDR264C	1.4495
YDR265W	0.96114
YDR266C	1.0411
YDR267C	0.89519
YDR268W	0.76625
YDR269C	0.59505
YDR270W	0.68367
YDR272W	0.98124
YDR273W	1.1442
YDR274C	0.77663
YDR275W	0.76735
YDR276C	0.92125
YDR277C	0.86023
YDR278C	0.76341
YDR279W	0.67101
YDR281C	0.57518
YDR283C	0.94074
YDR285W	0.78187
YDR286C	0.69475
YDR287W	0.95386
YDR288W	0.68738
YDR289C	0.8932
YDR290W	0.79169
YDR291W	0.81995
YDR292C	1.0697
YDR294C	0.96856
YDR295C	0.7651
YDR296W	1.1142
YDR297W	1.0527
YDR298C	0.9043
YDR299W	0.98122
YDR300C	0.61087
YDR301W	0.84945
YDR302W	1.024
YDR303C	0.84794
YDR304C	1.0305
YDR305C	0.8052
YDR306C	0.95187
YDR307W	0.96813
YDR308C	0.69065
YDR309C	1.0916
YDR310C	0.90029
YDR312W	0.91664
YDR313C	1.0439
YDR314C	0.63965
YDR316W	1.1017
YDR317W	1.061
YDR318W	0.78025
YDR319C	1.0141
YDR320C	0.92944
YDR321W	1.2098
YDR322W	0.99106
YDR323C	1.138
YDR324C	0.76987
YDR325W	1.2269
YDR326C	0.90177
YDR327W	0.91748
YDR328C	0.70069
YDR329C	0.85124
YDR330W	0.96328
YDR332W	1.0164
YDR333C	0.92831
YDR334W	1.3344
YDR335W	0.71983
YDR336W	1.1035
YDR337W	1.019
YDR338C	0.87409
YDR339C	0.80527
YDR340W	0.97303
YDR344C	0.7678
YDR345C	0.70172
YDR346C	1.1552
YDR347W	0.8531
YDR348C	0.96772
YDR349C	1.0819
YDR350C	0.86028
YDR351W	0.93532
YDR352W	0.89974
YDR353W	0.8117
YDR354W	0.9007
YDR355C	0.7044
YDR356W	0.88227
YDR357C	0.88775
YDR358W	1.0747
YDR359C	0.81452
YDR360W	0.88508
YDR361C	1.1019
YDR362C	1.0752
YDR363W	0.71596
YDR364C	0.81476
YDR365C	1.1444
YDR367W	0.97669
YDR368W	1.033
YDR369C	1.1205
YDR370C	0.85306
YDR371W	1.1413
YDR372C	1.0139
YDR373W	0.94686
YDR374C	0.97186
YDR376W	0.96894
YDR377W	1.1369
YDR378C	0.88754
YDR379W	0.73917
YDR380W	0.90057
YDR382W	0.67804
YDR383C	0.99606
YDR384C	0.79388
YDR385W	0.56677
YDR386W	0.96156
YDR387C	0.85014
YDR388W	0.85628
YDR389W	1.0208
YDR390C	1.0294
YDR392W	0.94857
YDR393W	0.87652
YDR394W	2.4749
YDR395W	1.0455
YDR396W	0.92962
YDR397C	0.83335
YDR399W	0.8659
YDR400W	0.68856
YDR402C	1.0517
YDR403W	0.95929
YDR404C	1.4349
YDR405W	1.2562
YDR406W	1.0195
YDR407C	0.95377
YDR410C	0.69957
YDR411C	0.74559
YDR412W	0.80667
YDR413C	1.2109
YDR414C	1.0386
YDR415C	0.89136
YDR416W	1.0983
YDR417C	0.83414
YDR419W	0.89513
YDR420W	0.90206
YDR421W	0.88129
YDR422C	0.65198
YDR423C	1.1783
YDR424C	0.74243
YDR425W	0.91141
YDR426C	1.1495
YDR427W	1.5437
YDR428C	1.0002
YDR429C	0.78726
YDR430C	0.88425
YDR431W	0.79827
YDR432W	1.209
YDR434W	1.0257
YDR435C	1.1329
YDR436W	0.87709
YDR437W	1.9978
YDR438W	0.90375
YDR439W	1.1604
YDR440W	0.97911
YDR442W	0.92531
YDR443C	0.92685
YDR444W	0.94973
YDR445C	0.99028
YDR446W	0.86616
YDR447C	0.71003
YDR449C	0.79529
YDR450W	0.77326
YDR451C	0.82028
YDR453C	0.96607
YDR454C	0.91639
YDR455C	0.71182
YDR456W	1.0596
YDR457W	0.96086
YDR458C	0.73344
YDR459C	1.0213
YDR460W	0.87984
YDR461W	0.74986
YDR462W	0.87503
YDR463W	0.95369
YDR464W	0.78604
YDR465C	0.94336
YDR466W	0.87828
YDR467C	1.0461
YDR468C	0.90761
YDR469W	1.178
YDR471W	0.81309
YDR472W	1.0177
YDR473C	0.81943
YDR475C	0.9263650000000001
YDR476C	1.0189
YDR477W	0.91745
YDR478W	0.91178
YDR479C	1.0342
YDR480W	1.0133
YDR481C	0.9064
YDR482C	0.81024
YDR484W	0.9243
YDR486C	0.87579
YDR487C	1.0672
YDR488C	0.69238
YDR489W	0.92757
YDR491C	0.85506
YDR492W	1.1193
YDR493W	0.97104
YDR494W	0.85693
YDR495C	0.94006
YDR496C	1.2926
YDR497C	1.0354
YDR498C	0.93069
YDR499W	0.87304
YDR502C	0.99433
YDR503C	1.037
YDR504C	0.88193
YDR505C	1.7869
YDR507C	1.2117
YDR508C	1.3395
YDR509W	0.95161
YDR510W	0.99176
