ORF	hap a | inorganic phosphate abundance | standard [standard] | Freimoser FM~Amrhein N, 2006
YJL144W	0.868
YJL142C	0.924
YJL140W	1.697
YJL139C	1.249
YJL138C	1.234
YJL135W	1.140
YJL134W	1.223
YJL133W	1.067
YJL131C	0.895
YJL130C	0.825
YJL129C	0.999
YJL127C	0.784
YJL126W	0.774
YJL124C	0.845
YJL123C	1.308
YJL122W	1.138
YJL120W	1.084
YJL121C	1.365
YJL118W	1.133
YJL119C	0.915
YJL117W	0.735
YJL116C	0.759
YJL115W	0.730
YJL112W	0.693
YJL110C	0.895
YJL108C	0.783
YJL107C	1.378
YJL106W	1.168
YJL102W	1.294
YJL100W	1.431
YJL099W	1.306
YJL098W	1.083
YJL096W	1.074
YJL095W	0.300
YJL093C	1.144
YJL092W	0.854
YJL089W	0.955
YJL088W	0.869
YJL084C	1.408
YJL083W	1.191
YJL082W	1.203
YJL080C	1.200
YJL079C	1.228
YJL077C	1.115
YJL075C	1.005
YJL073W	0.786
YJL071W	0.749
YJL068C	0.957
YJL067W	0.896
YJL066C	1.093
YJL064W	1.217
YJL065C	1.217
YJL063C	1.409
YJL062W	1.215
YJL060W	1.125
YJL059W	0.939
YJL058C	1.072
YJL057C	0.893
YJL056C	0.805
YJL055W	0.871
YJL053W	0.928
YJL052W	0.865
YJL051W	1.314
YJL049W	1.168
YJL048C	0.809
YJL047C	1.067
YJL046W	1.176
YJL045W	0.473
YJL044C	0.447
YJL043W	1.116
YJL038C	1.222
YJL037W	0.794
YJL036W	0.599
YJL030W	0.943
YJR073C	1.428
YJR075W	1.271
YJR078W	0.967
YJR079W	1.001
YJR082C	1.213
YJR083C	1.439
YJR088C	1.196
YJR092W	0.996
YJR102C	1.138
YJR103W	0.924
YJR105W	0.863
YJR108W	1.026
YJR110W	1.176
YJR111C	1.413
YJR115W	1.215
YJR127C	1.306
YJR128W	1.131
YJR129C	1.400
YJR130C	1.227
YJR135C	0.996
YJR137C	0.849
YJR146W	0.930
YJR147W	1.145
YJR149W	0.895
YJR152W	0.156
YJR154W	1.336
YLL001W	1.306
YLL002W	1.135
YLL005C	1.196
YLL006W	1.163
YLL009C	0.988
YLL010C	0.944
YLL012W	1.173
YLL013C	1.275
YLL014W	0.788
YLL015W	0.540
YLL016W	1.119
YLL017W	1.022
YLL019C	0.986
YLL020C	0.944
YLL021W	0.869
YLL023C	0.876
YLL024C	0.482
YLL025W	0.689
YLL026W	0.763
YLL027W	0.740
YLL028W	0.576
YLL029W	0.543
YLL032C	1.035
YLL033W	1.097
YLL038C	1.283
YLL039C	1.118
YLL040C	1.246
YLL041C	1.145
YLL042C	0.928
YLL043W	1.009
YLL045C	0.884
YLL046C	0.899
YLL047W	0.646
YLL051C	0.748
YLL052C	0.784
YLL053C	0.995
YLL054C	1.191
YLL055W	1.141
YLL056C	0.938
YLL057C	0.969
YLL058W	1.484
YLL060C	0.861
YLL061W	1.118
YLL062C	0.858
YLL063C	0.774
YLR001C	0.814
YLR003C	0.999
YLR004C	1.144
YLR006C	1.262
YLR011W	1.993
YLR012C	1.317
YLR013W	1.011
YLR014C	0.853
YLR015W	0.993
YLR016C	0.974
YLR017W	0.963
YLR018C	0.792
YLR019W	1.029
YLR020C	1.241
YLR021W	0.936
YLR023C	1.142
YLR024C	1.100
YLR025W	0.858
YLR027C	0.759
YLR028C	0.762
YML037C	0.750
YML035C	1.151
YML034W	0.675
YML035C-A	0.747
YML033W	0.821
YML032C	1.065
YML030W	1.228
YML029W	1.021
YML028W	1.134
YML026C	0.958
YML024W	0.782
YML020W	0.781
YML019W	1.041
YML018C	0.973
YML017W	0.842
YML016C	0.306
YML014W	1.050
YML013W	1.218
YML013C-A	1.417
YML012W	1.433
YML011C	1.442
YML010W-A	0.548
YML009C	1.094
YML008C	0.183
YML007W	1.014
YML006C	0.832
YML005W	1.168
YML004C	0.965
YML003W	0.822
YML002W	1.216
YML001W	0.121
YMR002W	1.189
YMR003W	1.037
YMR006C	1.104
YMR007W	1.071
YMR008C	0.992
YMR009W	0.830
YMR010W	1.148
YMR011W	0.815
YMR012W	0.720
YMR014W	0.752
YMR015C	1.067
YMR016C	0.676
YMR017W	1.344
YMR018W	1.347
YMR019W	1.442
YMR020W	1.413
YMR021C	1.336
YMR022W	1.018
YMR023C	0.914
YMR024W	1.262
YMR025W	0.764
YMR026C	1.192
YMR027W	1.176
YMR029C	1.301
YMR030W	1.311
YMR031W-A	1.780
YMR031C	0.998
YMR032W	0.494
YMR034C	0.971
YMR035W	0.976
YMR036C	1.292
YMR039C	0.889
YMR040W	0.658
YMR041C	0.797
YMR042W	1.296
YMR044W	1.318
YMR140W	1.248
YMR141C	1.180
YMR143W	1.453
YMR144W	1.124
YMR145C	1.361
YMR147W	1.002
YMR148W	0.964
YMR151W	0.916
YMR150C	0.934
YMR152W	0.837
YMR153W	1.176
YMR153C-A	0.759
YMR155W	1.018
YMR156C	1.117
YMR157C	0.749
YMR158W-A	0.886
YMR159C	0.825
YMR161W	1.085
YMR162C	0.869
YMR163C	0.718
YMR164C	0.840
YMR166C	0.757
YMR167W	1.570
YMR169C	0.985
YMR170C	0.597
YMR172C-A	1.376
YMR173W-A	0.931
YMR174C	1.225
YMR175W	0.962
YMR176W	1.240
YMR177W	0.812
YMR178W	0.632
YMR179W	0.285
YMR180C	0.650
YMR182C	0.976
YMR183C	0.685
YMR184W	0.909
YMR185W	1.097
YMR186W	1.693
YMR187C	0.826
YMR188C	1.060
YMR189W	0.625
YMR190C	0.949
YMR191W	1.200
YMR192W	0.896
YMR193W	0.737
YMR194W	0.631
YMR193C-A	1.015
YMR195W	1.276
YMR196W	0.719
YMR198W	1.512
YMR199W	1.067
YMR201C	1.159
YMR202W	1.005
YMR204C	0.849
YMR205C	0.075
YMR206W	0.822
YMR207C	1.058
YMR210W	1.779
YMR214W	1.040
YMR215W	1.720
YMR216C	1.568
YMR219W	0.965
YMR221C	1.208
YMR222C	1.108
YMR223W	1.029
YMR224C	0.334
YMR225C	0.974
YMR226C	1.246
YMR228W	0.716
YMR230W	1.604
YMR231W	0.058
YMR232W	1.498
YMR233W	1.173
YMR234W	1.318
YMR237W	1.458
YMR238W	1.179
YMR241W	1.236
YMR242C	0.797
YMR243C	1.408
YMR244W	1.094
YMR245W	0.696
YMR244C-A	0.850
YMR246W	0.949
YMR247C	1.480
YMR250W	0.857
YMR251W	1.202
YMR251W-A	1.426
YMR252C	1.169
YMR253C	1.208
YMR254C	1.152
YMR255W	0.511
YMR256C	0.824
YMR257C	0.541
YMR258C	1.340
YMR259C	1.118
YMR261C	1.042
YMR262W	0.514
YMR263W	1.160
YMR264W	1.350
YMR265C	1.211
YMR266W	0.882
YMR267W	0.777
YMR269W	0.801
YMR272C	1.031
YMR273C	0.609
YMR274C	0.995
YMR275C	0.251
YMR276W	1.339
YMR278W	0.852
YMR280C	1.191
YMR282C	1.169
YMR283C	0.989
YMR284W	0.786
YMR285C	0.893
YMR286W	0.591
YMR287C	0.939
YMR289W	0.711
YMR291W	1.289
YMR292W	1.124
YMR293C	1.131
YMR294W	1.261
YMR294W-A	0.979
YMR295C	1.283
YMR297W	0.712
YMR299C	1.003
YMR300C	0.860
YMR302C	0.868
YMR303C	0.738
YMR304W	0.246
YMR304C-A	0.802
YMR305C	1.232
YMR306C-A	1.105
YMR307W	0.887
YMR310C	0.924
YNL339C	1.504
YNL338W	0.761
YNL336W	0.876
YNL335W	0.835
YNL334C	0.726
YNL333W	0.688
YNL332W	0.884
YNL330C	1.150
YNL329C	0.723
YNL328C	0.844
YNL327W	0.842
YNL326C	0.706
YNL324W	1.168
YNL325C	1.135
YNL323W	1.645
YNL322C	1.801
YNL321W	0.845
YNL320W	1.574
YNL319W	0.990
YNL318C	1.236
YNL314W	1.016
YNL311C	0.748
YNL309W	0.760
YNL307C	1.452
YNL305C	1.261
YNL304W	0.872
YNL303W	0.688
YNL302C	1.465
YNL301C	0.860
YNL299W	1.435
YNL298W	1.833
YNL296W	1.643
YNL297C	0.918
YNL295W	0.614
YNL294C	1.472
YNL293W	0.892
YNL292W	1.182
YNL291C	1.119
YNL289W	0.796
YNL288W	0.755
YNL286W	0.798
YNL285W	0.472
YNL283C	0.872
YNL281W	1.379
YNL280C	0.692
YNL278W	1.219
YNL277W	1.089
YNL276C	1.048
YNL275W	1.238
YNL273W	0.919
YNL271C	1.283
YNL270C	0.984
YNL269W	0.827
YNL268W	0.717
YNL266W	1.099
YNL265C	1.140
YNL264C	0.880
YNL259C	1.388
YNL257C	1.628
YNL255C	0.961
YNL254C	1.183
YNL253W	0.567
YNL249C	0.915
YNL248C	1.233
YNL246W	1.361
YNL242W	1.302
YNL241C	1.001
YNL239W	1.163
YNL238W	1.163
YNL237W	1.120
YNL236W	1.633
YNL235C	1.429
YNL234W	1.318
YNL233W	1.766
YNL231C	1.367
YNL230C	0.947
YNL229C	0.480
YNL228W	1.183
YNL226W	0.767
YNL227C	1.097
YNL225C	0.357
YNL224C	0.823
YNL223W	1.137
YNL219C	1.148
YNL218W	0.869
YNL217W	0.820
YNL215W	0.462
YNL214W	0.579
YNL213C	0.755
YNL212W	0.503
YNL211C	0.617
YNL208W	1.593
YNL206C	1.611
YNL205C	1.584
YNL204C	1.461
YNL202W	1.180
YNL203C	1.239
YNL201C	1.607
YNL200C	1.047
YNL199C	0.303
YNL198C	0.382
YNL197C	0.923
YNL196C	1.132
YNL195C	0.776
YNL194C	1.459
YNL193W	1.212
YNL192W	1.651
YNL191W	1.395
YNL190W	1.556
YNL187W	0.766
YNL184C	0.942
YNL183C	1.179
YNL179C	1.383
YNL177C	0.750
YNL176C	1.140
YNL175C	1.593
YNL173C	1.451
YNL170W	1.423
YNL171C	1.667
YNL169C	1.104
YNL168C	1.054
YNL167C	1.384
YNL166C	1.228
YNL165W	1.174
YNL164C	0.685
YNL162W	0.838
YNL160W	0.758
YNL159C	1.374
YNL157W	1.067
YNL156C	1.087
YNL155W	1.560
YNL154C	1.177
YNL153C	1.092
YNL148C	1.772
YOR001W	0.764
YOR002W	1.274
YOR003W	0.685
YOR005C	0.687
YOR006C	0.919
YOR007C	0.822
YOR008C	0.822
YOR009W	0.949
YOR010C	1.484
YOR011W	0.838
YOR012W	0.809
YOR013W	0.581
YOR014W	1.292
YOR015W	0.697
YOR016C	0.578
YOR017W	0.694
YOR018W	0.693
YOR019W	0.831
YOR021C	0.750
YOR022C	0.864
YOR023C	0.970
YOR024W	0.809
YOR025W	0.734
YOR026W	1.178
YOR027W	0.962
YOR028C	1.161
YOR029W	0.930
YOR030W	1.017
YOR031W	0.755
YOR032C	1.073
YOR033C	0.868
YOR034C	1.015
YOR035C	1.902
YOR036W	0.116
YOR037W	1.243
YOR038C	0.570
YOR039W	1.024
YOR040W	0.985
YOR041C	0.748
YOR042W	0.962
YOR043W	1.189
YOR044W	1.509
YOR055W	0.909
YOR058C	1.005
YOR059C	0.894
YOR045W	1.427
YOR047C	1.309
YOR049C	1.163
YOR050C	0.922
YOR051C	0.748
YOR052C	1.040
YOR053W	0.911
YOR061W	1.745
YOR071C	1.096
YOR072W	1.223
YOR073W	1.005
YOR062C	1.295
YOR064C	1.243
YOR065W	1.089
YOR066W	1.518
YOR067C	1.576
YOR068C	0.671
YOR069W	0.609
YOR070C	0.700
YOR076C	0.929
YOR086C	0.776
YOR087W	0.550
YOR088W	0.693
YOR078W	0.948
YOR079C	1.050
YOR080W	1.691
YOR081C	0.844
YOR082C	1.096
YOR083W	0.556
YOR084W	0.516
YOR085W	1.589
YOR089C	1.217
YOR101W	1.129
YOR104W	1.014
YOR105W	0.829
YOR090C	0.889
YOR091W	0.906
YOR092W	0.857
YOR093C	1.033
YOR094W	1.020
YOR097C	1.311
YOR099W	0.790
YOR100C	0.697
YOR106W	0.074
YOR118W	0.548
YOR120W	0.678
YOR121C	0.977
YOR107W	1.175
YOR108W	1.044
YOR109W	1.593
YOR111W	1.010
YOR112W	0.955
YOR113W	1.432
YOR114W	0.849
YOR115C	0.764
YOR123C	0.959
YOR132W	0.743
YOR133W	1.051
YOR134W	1.035
YOR124C	1.349
YOR125C	1.167
YOR126C	1.197
YOR127W	0.582
YOR128C	0.772
YOR129C	0.627
YOR130C	1.366
YOR131C	0.920
YOR135C	1.001
YOR150W	1.080
YOR152C	0.976
YOR153W	0.924
YOR136W	0.875
YOR137C	0.951
YOR138C	0.942
YOR139C	0.706
YOR140W	0.625
YOR141C	0.999
YOR142W	1.023
YOR144C	1.217
YOR154W	0.462
YOR166C	1.261
YOR167C	1.091
YOR170W	0.881
YOR155C	1.216
YOR156C	1.404
YOR161C	1.376
YOR162C	1.222
YOR163W	0.841
YOR164C	1.002
YOR165W	1.068
YOR171C	1.001
YOR172W	0.719
YOR173W	1.153
YOR175C	1.059
YOR177C	0.999
YOR178C	1.012
YOR182C	1.028
YOR183W	0.981
YOR184W	1.026
YOR185C	0.661
YOR186W	0.812
YOR187W	0.517
YOR188W	1.064
YOR189W	1.127
YOR190W	1.287
YOR191W	1.389
YOR192C	1.196
YOR193W	0.928
YOR195W	1.387
YOR196C	1.091
YOR197W	0.938
YOR198C	1.246
YOR199W	0.857
YOR200W	0.692
YOR201C	1.252
YOR202W	1.193
YOR205C	0.977
YOR208W	1.193
YOR209C	1.271
YOR211C	0.973
YOR212W	0.959
YOR213C	1.071
YOR214C	1.083
YOR215C	0.730
YOR216C	1.178
YOR219C	0.876
YOR220W	1.008
YOR221C	1.023
YOR222W	1.007
YOR223W	1.207
YOR225W	1.077
YOR226C	1.561
YOR227W	1.008
YOR228C	1.292
YOR229W	0.975
YOR230W	0.721
YOR231W	1.072
YOR233W	0.778
YOR234C	0.786
YOR235W	0.709
YOR237W	0.801
YOR238W	0.850
YOR239W	1.038
YOR240W	0.594
YOR241W	0.539
YOR242C	0.398
YOR243C	0.617
YOR245C	0.653
YOR246C	0.289
YOR247W	0.253
YOR248W	0.889
YOR251C	0.830
YOR252W	1.005
YOR253W	1.142
YOR255W	1.303
YOR258W	1.651
YOR263C	0.862
YOR264W	0.912
YOR277C	0.801
YOR279C	1.273
YOR280C	0.961
YOR283W	0.675
YOR284W	1.004
YOR285W	1.159
YOR286W	1.024
YOR288C	1.127
YOR289W	1.003
YOR290C	1.088
YOR291W	0.737
YOR292C	0.988
YOR293W	0.669
YOR295W	0.632
YOR296W	0.664
YOR297C	0.515
YOR298W	1.581
YOR299W	1.061
YOR300W	1.005
YOR301W	1.029
YOR302W	1.062
YOR303W	1.065
YOR304C-A	0.470
YOR304W	1.068
YOR305W	0.902
YOR306C	0.773
YOR307C	0.954
YOR308C	1.166
YOR309C	0.970
YOR311C	1.208
YOR312C	1.260
YOR313C	1.361
YOR314W	0.962
YOR315W	0.489
YOR316C	0.750
YOR318C	0.846
YOR320C	0.865
YOR321W	0.855
YOR322C	0.811
YOR323C	0.739
YOR324C	1.404
YOR325W	1.258
YOR327C	0.857
YOR328W	0.846
YOR330C	0.981
YOR331C	1.033
YOR332W	0.939
YOR333C	0.481
YOR334W	0.643
YOR337W	0.809
YOR338W	0.580
YOR339C	0.777
YOR342C	1.367
YOR343C	1.214
YOR344C	1.101
YOR345C	1.224
YOR346W	1.196
YOR347C	0.053
YOR348C	1.016
YOR349W	1.095
YOR350C	0.972
YOR352W	0.786
YOR354C	1.002
YOR355W	1.186
YOR356W	1.058
YOR357C	1.108
YOR358W	1.185
YOR359W	1.027
YOR360C	1.088
YOR363C	0.881
YOR365C	1.030
YOR366W	0.943
YOR367W	0.759
YOR368W	0.819
YOR369C	1.085
YOR371C	1.271
YOR374W	1.178
YOR375C	1.136
YOR376W	0.967
YOR377W	1.089
YOR378W	0.912
YOR379C	1.372
YOR380W	0.499
YOR381W	0.793
YOR382W	1.038
YOR383C	0.902
YOR384W	0.689
YOR385W	1.157
YOR386W	1.180
YOL001W	1.237
YOL002C	1.180
YOL003C	1.098
YOL004W	1.105
YOL006C	0.956
YOL007C	1.008
YOL008W	0.834
YOL009C	0.830
YOL011W	0.931
YOL012C	1.000
YOL013C	0.963
YOL014W	1.009
YOL015W	0.966
YOL017W	1.113
YOL018C	0.852
YOL019W	0.099
YOL020W	0.097
YOL023W	1.030
YOL024W	0.992
YOL025W	0.944
YOL027C	0.790
YOL028C	0.901
YOL029C	1.151
YOL030W	1.254
YOL031C	1.265
YOL032W	1.087
YOL033W	0.943
YOL035C	0.901
YOL036W	1.046
YOL037C	1.037
YOL039W	0.980
YOL041C	1.451
YOL042W	0.688
YOL043C	1.419
YOL044W	0.913
YOL055C	0.992
YOL068C	1.040
YOL085C	0.919
YPL260W	1.253
YPL246C	1.260
YPL226W	1.276
YPL208W	1.373
YOL045W	0.956
YOL056W	0.058
YOL070C	0.458
YPL274W	1.127
YPL261C	0.389
YPL245W	1.574
YPL225W	1.002
YPL207W	1.413
YOL046C	1.098
YOL057W	1.467
YOL071W	0.490
YPL273W	0.970
YPL259C	0.993
YPL244C	1.448
YPL223C	1.063
YPL206C	1.519
YOL047C	0.885
YOL058W	0.864
YOL072W	0.485
YPL272C	0.690
YPL258C	0.760
YPL241C	1.422
YPL222W	1.126
YPL205C	1.696
YOL048C	0.944
YOL059W	0.857
YOL075C	0.553
YPL271W	0.491
YPL257W	0.794
YPL240C	1.221
YPL221W	1.212
YPL203W	1.529
YOL049W	0.998
YOL060C	0.748
YOL076W	1.075
YPL270W	0.719
YPL256C	1.076
YPL239W	2.168
YPL220W	1.347
YPL202C	1.298
YOL050C	1.392
YOL061W	0.734
YOL079W	0.425
YPL269W	0.824
YPL254W	0.744
YPL236C	1.031
YPL219W	1.350
YPL201C	1.263
YOL051W	1.540
YOL062C	0.960
YOL080C	0.601
YPL267W	0.728
YPL253C	1.111
YPL234C	0.236
YPL216W	1.160
YPL200W	0.900
YOL052C	0.519
YOL063C	0.754
YOL081W	0.489
YPL265W	1.058
YPL250C	0.931
YPL232W	1.031
YPL215W	1.462
YPL199C	0.957
YOL053C-A	0.380
YOL064C	0.628
YOL082W	0.363
YPL264C	1.305
YPL249C	1.138
YPL230W	1.274
YPL214C	1.246
YPL198W	1.222
YOL053W	0.685
YOL065C	1.126
YOL083W	0.370
YPL263C	0.923
YPL248C	1.351
YPL229W	1.099
YPL213W	1.628
YPL197C	1.146
YOL054W	0.818
YOL067C	0.809
YOL084W	0.345
YPL262W	0.800
YPL247C	1.038
YPL227C	1.259
YPL212C	1.445
YPL196W	0.904
YPL195W	0.329
YPL182C	1.259
YPL167C	1.579
YPL152W	0.758
YPL133C	1.132
YPL114W	1.492
YPL101W	1.271
YEL005C	1.214
YPL194W	1.215
YPL180W	0.644
YPL166W	1.343
YPL150W	1.173
YPL130W	0.641
YPL113C	1.306
YPL102C	1.406
YEL006W	1.183
YPL193W	1.110
YPL179W	1.190
YPL165C	1.316
YPL149W	1.314
YPL129W	0.344
YPL112C	1.242
YPL100W	1.021
YEL007W	2.361
YPL192C	0.867
YPL178W	0.563
YPL164C	1.333
YPL147W	1.016
YPL127C	1.264
YPL111W	1.156
YPL099C	1.431
YEL008W	1.106
YPL191C	0.993
YPL177C	1.468
YPL163C	1.266
YPL145C	0.784
YPL125W	0.658
YPL110C	0.967
YPL098C	1.053
YEL009C	1.212
YPL189W	1.258
YPL176C	0.928
YPL162C	0.987
YPL144W	0.946
YPL123C	1.007
YPL109C	1.117
YPL097W	0.965
YEL010W	1.062
YPL188W	1.248
YPL174C	0.720
YPL161C	1.498
YPL141C	1.061
YPL121C	1.080
YPL108W	0.881
YPL096W	1.255
YEL013W	1.496
YPL187W	0.988
YPL173W	0.719
YPL159C	1.074
YPL140C	0.782
YPL120W	0.582
YPL107W	0.992
YPL095C	0.858
YEL014C	1.054
YPL185W	0.795
YPL172C	0.688
YPL157W	1.204
YPL139C	0.672
YPL119C	1.171
YPL106C	0.594
YPL092W	0.945
YEL015W	0.916
YPL186C	1.222
YPL171C	1.178
YPL156C	1.328
YPL138C	1.131
YPL118W	0.348
YPL105C	1.125
YEL001C	0.757
YEL016C	0.581
YPL184C	0.769
YPL170W	0.403
YPL155C	0.842
YPL136W	0.988
YPL116W	0.298
YPL104W	0.352
YEL003W	1.168
YEL017C-A	0.773
YPL181W	0.612
YPL168W	0.728
YPL154C	0.516
YPL135W	0.850
YPL115C	0.535
YPL103C	0.709
YEL004W	0.729
YEL017W	0.842
YEL018W	1.469
YEL037C	1.486
YEL049W	1.194
YEL063C	1.101
YER007C-A	1.306
YER032W	0.959
YER047C	1.096
YER059W	0.986
YEL020C	1.154
YEL038W	1.001
YEL050C	1.418
YEL064C	1.112
YER007W	0.784
YER033C	0.913
YER048C	1.276
YER060W	1.521
YEL023C	0.999
YEL039C	1.106
YEL051W	0.094
YEL065W	1.141
YER010C	0.517
YER034W	0.876
YER049W	1.143
YER060W-A	1.224
YEL040W	0.856
YEL052W	1.270
YEL066W	1.248
YER011W	1.012
YER035W	0.990
YER050C	0.917
YER061C	1.549
YEL025C	1.013
YEL041W	1.289
YEL053C	1.440
YEL067C	1.225
YER014C-A	1.175
YER038W-A	1.110
YER051W	1.092
YER062C	1.337
YEL027W	0.226
YEL042W	1.374
YEL054C	1.384
YEL068C	1.115
YER016W	1.263
YER039C	0.958
YER052C	0.572
YER065C	1.107
YEL028W	0.943
YEL043W	0.693
YEL056W	1.004
YEL071W	0.811
YER017C	0.809
YER040W	0.803
YER053C	0.487
YER066C-A	1.105
YEL029C	1.166
YEL044W	0.755
YEL057C	1.044
YEL072W	1.002
YER019W	0.831
YER041W	0.822
YER054C	0.908
YER067W	1.279
YEL030W	0.700
YEL045C	1.301
YEL059W	0.950
YER001W	0.410
YER019C-A	1.042
YER042W	0.812
YER056C	1.121
YER067C-A	1.116
YEL031W	0.257
YEL046C	0.690
YEL060C	0.658
YER002W	0.650
YER020W	0.901
YER044C-A	0.641
YER056C-A	1.075
YER068W	0.908
YEL033W	1.313
YEL047C	0.663
YEL061C	0.891
YER004W	0.653
YER024W	0.531
YER045C	0.520
YER057C	0.567
YER068C-A	0.783
YEL036C	1.070
YEL048C	0.847
YEL062W	1.052
YER005W	0.784
YER030W	0.700
YER046W-A	0.391
YER058W	0.602
YER069W	0.915
YER070W	1.627
YER086W	0.926
YHL036W	1.337
YHL022C	1.507
YHL007C	1.232
YHR021C	1.433
YHR044C	1.001
YHR073W	1.268
YER071C	1.144
YER087C-A	1.081
YHL035C	1.115
YHL021C	1.217
YHL006C	1.211
YHR022C	1.144
YHR046C	1.169
YHR075C	1.268
YER072W	0.051
YHL047C	1.320
YHL034C	1.297
YHL020C	1.144
YHL005C	0.957
YHR028C	1.243
YHR047C	1.079
YHR076W	0.870
YER073W	0.905
YHL046C	1.190
YHL033C	1.526
YHL019C	1.170
YHL003C	1.035
YHR029C	0.949
YHR048W	1.142
YHR077C	0.863
YER074W	1.241
YHL045W	1.196
YHL032C	1.163
YHL017W	1.091
YHR001W-A	1.039
YHR030C	1.215
YHR049W	0.915
YHR078W	0.747
YER075C	0.560
YHL044W	1.156
YHL031C	0.674
YHL016C	1.043
YHR010W	0.584
YHR031C	1.099
YHR049C-A	0.979
YHR079C	0.925
YER079W	0.759
YHL043W	1.169
YHL030W	0.768
YHL014C	1.008
YHR011W	1.491
YHR033W	0.888
YHR050W	0.800
YHR080C	0.598
YER080W	0.706
YHL042W	1.128
YHL029C	1.088
YHL013C	1.092
YHR012W	1.195
YHR034C	1.111
YHR051W	0.953
YHR081W	1.076
YER081W	0.739
YHL041W	1.185
YHL028W	1.076
YHL012W	1.005
YHR013C	1.099
YHR035W	0.689
YHR057C	0.963
YHR082C	0.776
YER083C	0.774
YHL040C	0.958
YHL027W	0.933
YHL010C	0.955
YHR014W	0.651
YHR037W	0.751
YHR060W	0.050
YHR086W	0.491
YER084W	0.607
YHL038C	0.796
YHL026C	0.914
YHL009C	0.836
YHR015W	0.950
