orf	hap a | inorganic phosphate abundance | standard [standard] | Freimoser FM~Amrhein N, 2006
YBL019W	-0.017700945712752353
YBL021C	-0.01024840347701243
YBL022C	-0.011046494032766672
YBL024W	0.23362675554627316
YBL025W	-0.18351388303871619
YBL027W	-0.02568598405737792
YBL028C	-0.09695897617916321
YBL029W	-0.16862404691793859
YBL031W	-0.07270390491612798
YBL032W	0.20123940862217501
YBL033C	0.13364025651891764
YBL036C	0.021047433440182117
YBL037W	0.09202308756644376
YBL038W	0.03358450244681048
YBL039C	0.011668476491013564
YBL042C	-0.06791619509522247
YBL043W	0.04634443467107461
YBL044W	-0.15154705152070044
YBL045C	-0.10563207152239874
YBL046W	-0.15520657138050276
YBL047C	0.041866721558012784
YBL048W	0.1341732218904814
YBL049W	0.055343043590424905
YBL051C	0.0331798031038768
YBL052C	0.06026228313300321
YBL053W	0.005965837084148176
YBL054W	-0.06564567410629552
YBL055C	-0.024829972924732865
YBL056W	-0.05798076096917952
YBL057C	-0.09591928729198874
YBL058W	-0.16944280512916185
YBL059W	-0.12389210587556944
YBL060W	-0.18270090291586907
YBL061C	0.19601401985976694
YBL062W	0.12236275830722429
YBL063W	0.16285067055306165
YBL064C	0.20323446700463765
YBL065W	-0.00014987634878570872
YBL066C	-0.02015957029479121
YBL067C	-0.0013724645735926225
YBL068W	-0.0987620534082064
YBL069W	-0.04130778350591025
YBL070C	-0.05046345709367017
YBL071C	-0.14007927522155458
YBL072C	-0.03198887168585766
YBL075C	0.0676314665233013
YBL078C	0.15231706351983473
YBL079W	0.10651558403655535
YBL080C	0.2232577452642519
YBL081W	0.005207936754044089
YBL082C	0.02620469089919505
YBL083C	0.009395044577741842
YBL085W	-0.09781138811609467
YBL086C	-0.07649371883116889
YBL087C	-0.10260069300462756
YBL088C	-0.038039022082198816
YBL089W	-0.09591928729198881
YBL090W	0.002669124069315165
YBL091C	0.037948217101052666
YBL091C-A	0.26388619102359867
YBL093C	-0.013646291457928172
YBL094C	0.4136081232816792
YBL095W	-0.007290131189498057
YBL096C	-0.003169037880468519
YBL098W	-0.1013627158167241
YBL099W	-0.13451313191613437
YBL100C	-0.2460351985389531
YBL101C	-0.12956714694733762
YBL102W	-0.12006709338969312
YBL103C	-0.19315270333772325
YBL104C	0.049105185644513945
YBL106C	0.021848221501731803
YBL107C	-0.015045492067350823
YBR001C	-0.010218249964842307
YBR003W	-0.06719133393443824
YBR005W	-0.040857848413389006
YBR006W	-0.016886495060981825
YBR007C	-0.026865382968937156
YBR008C	-0.045736568768204096
YBR009C	0.12033063598672522
YBR010W	-0.09422519701924292
YBR012C	-0.11720010667322417
YBR013C	0.022091041107492066
YBR014C	-0.008908928561233057
YBR015C	0.10010235808537572
YBR016W	0.017520101047913593
YBR018C	-0.07001852934422889
YBR019C	-0.07239796644485154
YBR020W	0.06929028669609404
YBR021W	0.09864971293654602
YBR022W	-0.024129142980263144
YBR023C	0.0774894457972816
YBR024W	-0.12679206573864904
YBR025C	-0.13745351378004017
YBR026C	0.07413404972568041
YBR027C	0.09992865702611355
YBR028C	0.011390232274333544
YBR030W	-0.03953468273363503
YBR031W	0.010038358857937857
YBR032W	-0.0777078168599702
YBR033W	-0.09238736575365795
YBR034C	-0.10017545116823587
YBR035C	0.0022953001008279845
YBR036C	-0.12300081508736718
YBR037C	-0.20007339903936364
YBR040W	-0.16962217939333493
YBR041W	0.16354472354634364
YBR042C	0.008843435919949303
YBR043C	-0.14064109659505644
YBR044C	-0.00410976923869368
YBR045C	-0.032116699311435036
YBR046C	-0.004217413602892827
YBR047W	0.09085875914246799
YBR048W	-0.1470511592968118
YBR050C	-0.04791099648975687
YBR051W	-0.1004634356819324
YBR052C	-0.14799682169283265
YBR053C	-0.08216156001490665
YBR054W	0.1352697482578152
YBR056W	0.011706776007649402
YBR057C	-0.011796588266076283
