orf	hom | growth (pooled culture, microarray) | albicanol [0.05 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	hom | growth (pooled culture, microarray) | drimenol [0.025 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	hom | growth (pooled culture, microarray) | drimenol [0.0375 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	het | growth (pooled culture, microarray) | albicanol [0.05 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	het | growth (pooled culture, microarray) | drimenol [0.025 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	het | growth (pooled culture, microarray) | drimenol [0.0375 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020
YBR188C	0.008	-0.07	-0.169			
YBR189W	0.053	-0.074	0.0885			
YBR190W				0.477	-0.085	-0.065
YBR191W	0.2485	0.1725	0.20650000000000002			
YBR192W				0.101	0.192	0.24
YBR193C				0.06	-0.108	-0.096
YBR194W	-0.165	-0.097	0.751			
YBR195C	-0.147	-0.039	0.083			
YBR196C				-0.14	0.134	-0.091
YBR197C	0.098	0.16	-0.035			
YBR198C				-0.035	-0.08	0.423
YBR199W	0.04	-0.057	-0.004			
YBR200W	-0.276	-0.103	0.333			
YBR201W	-0.098	-0.338	-0.32			
YBR202W				-0.665	-0.22	0.921
YBR203W	0.015	-0.221	-0.021			
YBR204C	0.003	-0.024	-0.031			
YBR205W	0.074	0.107	-0.015			
YBR206W	-0.013	-0.122	-0.148			
YBR207W	0.001	0.113	-0.051			
YBR208C	-0.024	-0.054	0.26			
YBR209W	-0.059	-0.046	-0.177			
YBR210W	0.004	0.125	-0.05			
YBR211C				0.029	-0.135	0.015
YBR212W	-0.08	0.066	-0.084			
YBR213W	-0.11	-0.021	-0.041			
YBR214W	0.001	-0.018	0.023			
YBR216C	-0.03	-0.03	0.098			
YBR217W	0.007	-0.01	0.228			
YBR218C	-0.01	-0.013	0.106			
YBR219C	0.036	-0.143	-0.048			
YBR220C	-0.027	-0.015	-0.006			
YBR221C	-0.106	-0.01	0.334			
YBR222C	0.0	-0.029	0.038			
YBR223C	0.006	-0.005	0.331			
YBR224W	-0.08	-0.137	0.0			
YBR225W	-0.155	-0.064	-0.17			
YBR226C	0.344	-0.034	0.079			
YBR227C	0.151	0.172	-0.061			
YBR228W	0.006	0.162	0.326			
YBR229C	-0.18	-0.011	-0.256			
YBR230C	-0.022	0.148	0.045			
YBR231C	-0.42	0.04	1.23			
YBR232C	-0.119	-0.166	-0.244			
YBR233W	-0.49	-0.021	-0.379			
YBR234C				-0.186	-0.206	-0.383
YBR235W	-0.04	0.054	-0.054			
YBR236C				-0.011	-0.048	-0.021
YBR237W				-0.008	-0.157	-0.026
YBR238C	0.166	0.562	-0.216			
YBR239C	0.132	0.399	0.036			
YBR240C	0.629	0.473	0.255			
YBR241C	-0.371	-0.498	-0.429			
YBR242W	0.424	-0.013	-0.228			
YBR243C				0.061	-0.105	-0.02
YBR244W	0.32	-0.073	0.583			
YBR245C	0.256	-0.175	0.493			
YBR246W	0.41	0.443	0.786			
YBR247C				-0.058	-0.143	0.016
YBR248C	0.17	0.251	-0.164			
YBR249C	-0.425	-0.257	-0.731			
YBR250W	0.208	-0.267	-0.202			
YBR251W	-0.097	-0.162	-0.181			
YBR252W				-0.168	0.034	0.045
YBR253W				-0.155	-0.104	-0.234
YBR254C				-0.042	0.022	0.116
YBR255W	-0.512	-0.342	-0.192			
YBR256C				0.151	-0.075	0.006
YBR257W				0.046	0.032	-0.134
YBR258C	0.058	0.176	-0.146			
YBR259W	0.162	0.087	-0.065			
YBR260C	-0.067	-0.003	-0.019			
YBR261C	0.173	0.049	-0.191			
YBR262C	0.011	0.251	-0.105			
YBR263W	0.247	0.632	0.144			
YBR264C	0.229	0.174	0.029			
YBR265W				-0.095	-0.103	-0.103
YBR266C	-0.346	-0.951	0.775			
YBR267W	-0.082	0.581	0.2			
YBR268W	-0.026	-0.072	0.193			
YBR269C	-0.339	-0.182	-0.638			
YBR270C	0.13	-0.139	0.265			
