orf	hom | growth (pooled culture, microarray) | albicanol [0.05 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	hom | growth (pooled culture, microarray) | drimenol [0.025 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	hom | growth (pooled culture, microarray) | drimenol [0.0375 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	het | growth (pooled culture, microarray) | albicanol [0.05 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	het | growth (pooled culture, microarray) | drimenol [0.025 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020	het | growth (pooled culture, microarray) | drimenol [0.0375 mg/ml] | YPD + DMSO | Edouarzin E~Vediyappan G, 2020
YDR396W				0.0	0.335	-0.184
YDR397C				-0.157	0.138	-0.306
YDR398W				-0.456	-0.478	-0.683
YDR399W	0.232	0.267	0.012			
YDR400W	-0.419	-0.205	-0.373			
YDR401W	-0.127	-0.342	-0.4			
YDR402C	0.078	0.416	-0.016			
YDR403W	0.008	-0.023	-0.198			
YDR404C				-1.304	-1.167	-0.096
YDR405W	0.099	-0.114	-0.06			
YDR406W	-0.073	-0.273	-0.222			
YDR407C				-0.277	-0.168	-0.154
YDR408C	-0.396	-0.464	-0.852			
YDR409W	-0.14	0.075	-0.138			
YDR410C	-0.06	0.171	0.127			
YDR411C	0.051	-0.021	0.064			
YDR412W				-0.021	-0.265	0.026
YDR413C				-0.042	0.061	-0.229
YDR414C	0.143	0.04	0.861			
YDR415C	-0.24	-0.21	-0.308			
YDR416W				0.116	0.026	0.275
YDR417C	0.075	-0.12	0.029			
YDR418W	-0.111	0.276	0.373			
YDR419W	0.246	0.048	-0.187			
YDR420W	-0.086	-0.035	-0.04			
YDR421W	0.367	0.53	-0.026			
YDR422C	-0.073	-0.049	-0.091			
YDR423C	0.062	0.345	0.135			
YDR424C	-0.143	-0.155	-0.006			
YDR425W	-0.18	0.117	-0.151			
YDR426C	-0.025	-0.016	-0.337			
YDR427W				0.1305	0.135	0.2745
YDR428C	0.1	0.084	-0.028			
YDR429C				0.119	-0.029	-0.104
YDR430C	-0.043	0.055	0.021			
YDR431W	-0.049	0.159	-0.171			
YDR432W	0.227	0.034	0.573			
YDR433W	-0.241	0.418	0.565			
YDR434W				-0.304	-0.328	-0.273
YDR435C	0.19	0.119	0.415			
YDR436W	-0.072	0.052	0.049			
YDR437W				-0.103	0.151	-0.059
YDR438W	0.02	0.302	-0.031			
YDR439W	-0.175	-0.043	0.232			
YDR440W	-0.086	0.044	0.047			
YDR441C	-0.246	-0.123	-0.349			
YDR442W	0.04	-0.474	-0.195			
YDR443C	-0.113	-0.116	0.205			
YDR444W	0.064	0.03	0.043			
YDR445C	0.16	-0.302	0.046			
YDR446W	0.062	0.045	-0.032			
YDR447C	0.052	-0.032	0.41			
YDR448W	-0.01	0.052	1.545			
YDR449C				0.027	-0.027	0.132
YDR450W	0.204	-0.115	-0.185			
YDR451C	-0.007	-0.166	0.028			
YDR452W	0.224	-0.31	-0.526			
YDR453C	-0.014	-0.127	0.348			
YDR454C				-0.053	-0.237	-0.241
YDR455C	0.29	0.616	0.172			
YDR456W	0.048	0.151	-0.601			
YDR457W	-0.095	-0.053	0.041			
YDR458C	0.78	0.657	-0.255			
YDR459C	0.111	0.009	-0.015			
YDR460W				0.092	-0.021	-0.128
YDR461W	0.061	-0.06	0.407			
YDR462W	-0.054	0.04	0.437			
YDR463W	2.342	0.65	1.151			
YDR464W				0.043	-0.232	-0.219
YDR465C	-0.443	-0.351	-0.506			
YDR466W	0.069	0.124	-0.002			
YDR467C	-0.014	0.269	-0.044			
YDR468C				-0.177	-0.102	-0.149
YDR469W	-0.05	-0.26	0.154			
YDR470C	0.041	-0.249	-0.292			
YDR471W	0.008	-0.099	0.113			
YDR472W				0.284	0.273	-0.232
YDR473C				-0.115	-0.18	-0.289
YDR475C	-0.266	-0.085	-0.1385			
YDR476C	0.085	0.331	0.118			
YDR477W	0.446	0.213	1.352			
YDR478W				0.132	-0.21	-0.15
YDR479C	0.312	0.156	0.354			
YDR480W	0.132	0.092	0.413			
YDR481C	0.115	-0.05	-0.098			
YDR482C	-0.042	0.157	0.131			
YDR483W	0.417	0.075	0.59			
YDR484W	0.908	1.133	3.509			
YDR485C	-0.043	-0.024	0.227			
YDR486C	-0.055	0.257	0.016			
YDR487C				-0.014	0.062	0.372
YDR488C	-0.121	0.033	-0.227			
YDR489W				-0.033	-0.233	-0.277
YDR490C	-0.06	0.063	0.129			
YDR491C	-0.268	-0.244	-0.437			
YDR492W	0.036	-0.055	-0.081			
YDR493W	0.072	0.124	-0.06			
YDR494W	0.039	-0.286	-0.151			
YDR495C	0.085	-0.014	-0.149			
YDR496C	-0.089	0.055	0.137			
YDR497C	-0.073	0.048	0.051			
YDR498C				-0.304	-0.429	-0.172
YDR499W				-0.033	-0.065	0.049
YDR500C	0.28200000000000003	0.3215	1.4425			
YDR501W	0.075	0.043	-0.133			
YDR502C	-0.161	-0.065	-0.177			
YDR503C	-0.115	-0.102	-0.195			
YDR504C	0.009	-0.036	-0.33			
YDR505C	-0.085	-0.118	-0.169			
YDR506C	0.1965	0.073	0.141			
YDR507C	0.226	0.607	0.845			
YDR508C	-0.111	-0.092	-0.144			
YDR509W	-0.504	-0.394	-0.006			
YDR510W				-0.077	-0.127	-0.277
YDR511W	0.134	-0.096	-0.133			
YDR512C	0.128	0.3025	0.8435			
YDR513W	-0.097	-0.173	-0.327			
YDR514C	0.213	0.087	0.21			
YDR515W	-0.268	0.028	-0.246			
YDR516C	0.334	0.363	0.222			
YDR517W	0.213	0.243	-0.001			
YDR518W	-0.022	0.152	1.243			
YDR519W	0.137	0.141	-0.312			
YDR520C	-0.53	-0.024	-0.272			
YDR521W	-0.082	0.011	-0.239			
YDR522C	0.189	0.586	0.549			
YDR523C	-0.011	-0.121	-0.296			
YDR524C	0.235	-0.015	0.087			
YDR525W	0.032	-0.133	0.82			
YDR525W-A	-0.119	-0.006	-0.256			
YDR526C				-0.313	-0.366	0.001
YDR527W				-0.049	0.072	-0.119
YDR528W	-0.136	-0.07	-0.024			
YDR529C	-0.181	-0.119	-0.196			
YDR530C	0.049	0.138	-0.067			
YDR531W				0.09	-0.002	0.029
YDR532C	0.206	0.098	3.182			
YDR533C	0.064	0.21	0.92			
YDR534C	-0.035	-0.112	0.094			
YDR535C	-0.153	-0.06	-0.12			
YDR536W	0.012	0.065	0.056			
YDR537C	0.167	0.011	0.86			
YDR538W	-0.1	-0.052	0.029			
YDR539W	-0.016	-0.108	-0.119			
YDR540C	-0.215	-0.06	-0.1			
YDR541C	0.009	-0.023	-0.249			
YEL001C	0.0	0.0	0.085			
YEL002C				-0.103	0.098	-0.143
YEL003W	0.094	0.079	0.111			
YEL004W	-0.047	0.035	0.079			
YEL005C	-0.088	0.27	0.061			
YEL006W	-0.015	-0.077	-0.174			
YEL007W	-0.168	-0.128	0.039			
YEL008W	-0.064	0.062	0.293			
YEL009C	0.4	0.494	0.346			
YEL010W	0.013	0.009	-0.137			
YEL011W	0.162	0.024	0.005			
YEL012W	0.33	0.354	0.632			
YEL014C	0.346	0.104	-0.017			
YEL015W	0.201	0.094	-0.316			
YEL016C	0.026	-0.163	-0.076			
YEL017C-A	-0.058	0.142	-0.283			
YEL017W	0.084	0.136	-0.053			
YEL018W	-0.027	0.136	-0.53			
YEL019C				0.063	0.443	-0.246
YEL020C	-0.24	-0.305	0.201			
YEL023C	-0.18	-0.446	-0.418			
YEL024W	-0.373	0.084	-0.197			
YEL025C	0.011	-0.033	-0.005			
YEL026W				0.057	0.084	-0.211
YEL027W	-0.492	-0.105	2.103			
YEL028W	0.004	0.157	-0.354			
YEL029C	0.963	0.59	3.324			
YEL030W	-0.159	0.408	-0.286			
YEL031W	-0.025	0.074	2.841			
YEL032W				0.036	-0.302	-0.015
YEL034W				0.114	-0.061	0.224
YEL035C				-0.168	-0.209	0.113
YEL037C	0.038	0.063	0.193			
YEL038W	-0.095	-0.104	-0.053			
YEL039C	-0.013	-0.126	0.071			
YEL040W	-0.002	-0.215	0.064			
YEL041W	0.021	-0.122	0.039			
YEL042W	0.109	0.239	1.201			
YEL043W	-0.061	-0.157	-0.067			
YEL045C	1.624	1.624	0.905			
YEL046C	0.474	0.77	1.595			
YEL047C	0.0	0.026	0.221			
YEL048C	0.017	0.094	0.283			
YEL049W	-0.029	-0.098	-0.103			
YEL050C	-0.194	0.061	-0.29			
YEL052W	0.01	-0.128	-0.138			
YEL053C	-0.009	-0.004	0.101			
YEL054C	0.013	-0.017	0.445			
YEL055C				0.184	-0.112	0.277
YEL056W	0.031	0.078	0.175			
YEL057C	-0.047	-0.081	0.147			
YEL058W				-0.075	-0.181	-0.272
YEL059W	-0.043	-0.087	0.104			
YEL060C	-0.074	0.011	-0.108			
YEL061C	-0.04	0.052	0.512			
YEL062W	-0.072	0.048	-0.005			
YEL063C	0.255	0.034	-0.037			
YEL064C	0.171	0.123	-0.085			
YEL065W	-0.063	0.184	-0.003			
YEL066W	-0.294	-0.106	0.014			
YEL067C	0.049	-0.017	-0.287			
YEL068C	0.013	-0.145	-0.533			
YEL071W	-0.244	-0.06	-0.124			
YEL072W	0.019	0.086	-0.15			
YER001W	0.334	-0.123	-0.093			
YER002W	-0.043	0.019	0.18			
YER003C				-0.602	-0.561	0.039
YER004W	0.042	0.093	-0.14			
YER005W	0.124	-0.037	0.335			
YER006W				-0.117	-0.114	-0.272
YER007C-A	-0.036	0.032	0.202			
YER007W	-0.007	0.263	0.178			
YER008C				0.16	0.013	-0.023
YER009W				0.025	-0.1	-0.405
YER010C	-0.373	-0.347	-0.458			
YER011W	-0.025	-0.071	0.291			
YER012W				0.221	-0.091	-0.265
YER013W				-0.301	0.052	-0.216
YER016W	0.033	0.304	0.672			
YER017C	0.245	0.076	-0.25			
YER018C				-0.066	-0.124	0.093
YER019C-A	-0.025	0.069	0.008			
YER019W	0.037	0.202	0.8			
YER020W	0.0	0.038	0.093			
YER021W				0.283	0.271	0.132
YER022W				0.089	-0.331	-0.242
YER023W				0.186	-0.04	0.028
YER024W	0.174	-0.031	0.136			
YER025W				-0.141	-0.181	-0.807
YER027C	0.098	0.183	0.131			
YER028C	0.088	-0.202	0.087			
YER030W	0.063	-0.034	0.066			
YER031C	-0.71	-0.079	0.21			
YER032W	0.011	-0.128	-0.121			
YER033C	0.064	-0.15	0.137			
YER034W	-0.41	-0.14	-0.12			
YER035W	0.281	0.217	0.146			
YER036C				0.227	-0.183	0.043
YER037W	-0.018	-0.071	-0.083			
YER038C				0.054	0.026	-0.069
YER038W-A	0.115	0.359	-0.013			
YER039C	0.048	0.044	0.077			
YER039C-A	0.004	0.007	0.019			
YER040W	0.299	0.183	0.796			
YER041W	-0.075	-0.268	0.134			
YER042W	0.083	-0.084	0.076			
YER043C				-0.025	-0.39	0.033
YER044C	0.503	1.052	1.334			
YER044C-A	0.153	-0.222	-0.24			
YER045C	-0.049	-0.114	-0.14			
YER046W	-0.22	-0.226	-0.294			
YER046W-A	-0.087	0.268	-0.108			
YER047C	-0.306	-0.159	-0.323			
YER048C	0.079	0.281	0.538			
YER048W-A				-0.085	0.047	0.078
YER049W	-0.056	0.011	0.072			
YER050C	-0.009	0.016	0.76			
YER051W	0.113	-0.07	-0.61			
YER052C	0.053	-0.015	-0.165			
YER053C	-0.296	-0.102	-0.278			
YER055C	-0.27	0.121	-0.045			
YER056C	0.075	-0.185	-0.341			
YER056C-A	0.047	0.172	0.551			
YER057C	-0.114	-0.291	-0.444			
YER058W	0.713	1.355	1.046			
YER059W	0.127	-0.103	-0.2			
YER060W	-0.155	0.074	-0.243			
YER060W-A	-0.076	0.023	-0.185			
YER061C	0.162	0.208	1.185			
YER062C	0.135	0.364	-0.105			
YER063W	-0.153	0.366	-0.261			
YER064C	-0.093	-0.192	-0.234			
YER065C	0.116	0.188	-0.337			
YER066C-A	-0.615	-0.42	-0.391			
YER066W	-0.226	0.37	-0.308			
YER067C-A	0.044	0.109	-0.341			
YER067W	0.375	0.368	0.218			
YER068C-A	-0.116	-0.295	-0.208			
YER068W	0.014	-0.311	-0.328			
YER069W	-0.103	0.101	0.253			
YER071C	0.053	0.108	0.01			
YER072W	-0.082	0.118	0.413			
YER073W	0.091	0.459	-0.953			
YER074W	-0.048	-0.032	0.32			
YER075C	-0.003	0.176	-0.1			
YER077C	0.037	0.057	1.215			
YER078C	-0.139	-0.224	0.092			
YER079W	0.423	-0.069	-0.03			
YER080W	-0.035	0.046	-0.201			
YER081W	-0.092	-0.279	-0.422			
YER082C				-0.005	-0.418	-0.634
YER083C	0.139	0.266	2.443			
YER084W	-0.054	-0.126	0.18			
YER085C	0.04	0.128	-0.195			
YER086W	0.195	0.541	0.181			
YER087C-B	0.204	0.4	-0.184			
YER087W	0.082	0.316	0.234			
YER088C	0.437	-0.003	0.326			
YER089C	-0.253	0.188	0.075			
YER090W	1.653	0.622	0.221			
YER091C	0.207	0.105	-0.085			
YER091C-A	-0.015	-0.1	-0.188			
YER092W	0.782	0.716	0.549			
YER093C				0.296	0.017	-0.165
YER093C-A	0.065	-0.129	0.05			
YER094C				-0.031	0.079	-0.235
YER095W	0.012	0.273	0.666			
YER096W	0.129	0.291	0.076			
YER097W	0.276	-0.15	-0.252			
YER098W	0.204	0.214	-0.119			
YER101C	0.237	0.157	0.281			
YER103W	-0.011	0.351	0.067			
YER104W				0.263	-0.269	-0.283
YER106W	-0.08	-0.114	0.181			
YER107C	0.097	-0.143	-0.33			
YER110C	-0.227	-0.227	0.012			
YER111C	-0.131	-0.012	0.96			
YER112W				0.11	0.013	-0.035
YER113C	0.054	0.055	0.134			
YER114C	0.13	0.316	0.008			
YER115C	0.065	0.332	0.084			
YER116C	0.687	0.165	0.471			
YER117W	-0.203	0.233	0.017			
YER118C	0.0	-0.083	0.137			
YER119C	0.126	0.252	0.017			
YER119C-A	0.14	0.631	0.096			
YER120W	0.232	-0.024	-0.085			
YER121W	-0.235	-0.064	-0.111			
YER122C	0.237	-0.016	0.515			
YER123W	-0.114	-0.279	-0.159			
YER124C	-0.058	-0.064	-0.159			
YER125W				-0.067	-0.109	0.297
YER126C				0.117	0.206	0.004
YER127W				0.118	-0.161	-0.071
YER128W	0.156	0.052	0.112			
YER129W	0.07	0.354	0.159			
YER130C	-0.122	-0.043	-0.262			
YER131W	0.092	0.039	0.138			
YER132C	-0.092	-0.076	-0.238			
YER133W				-0.018	-0.01	-0.083
YER134C	0.24	0.403	0.085			
YER135C	0.168	0.24	0.485			
YER136W				0.07	-0.037	-0.009
YER137C	-0.12	-0.004	0.29			
YER139C	-0.157	0.03	0.834			
YER140W	-0.04	0.006	0.227			
YER142C	0.083	0.591	-0.096			
YER143W	0.045	-0.016	-0.11			
YER144C	0.47	0.04	-0.165			
YER145C	0.013	-0.025	0.159			
YER146W				0.435	0.196	0.037
YER147C				0.083	-0.454	-0.362
YER148W				-0.123	-0.056	-0.291
YER149C	-0.096	-0.113	0.087			
YER150W	0.179	-0.113	-0.004			
YER151C	0.023	0.232	2.421			
YER152C	-0.024	0.115	0.215			
YER154W	0.12	0.375	1.713			
YER156C	-0.054	0.083	-0.03			
YER157W				-0.022	0.009	0.129
YER158C	-0.424	-0.235	-0.254			
YER159C				-0.019	-0.062	0.129
YER161C	0.142	0.312	0.16			
YER162C	-0.245	-0.064	-0.358			
YER163C	0.125	-0.322	0.056			
YER164W	0.24	-0.042	0.437			
YER165W				-1.28	-1.332	-0.852
YER166W	0.017	-0.026	-0.01			
YER167W	-0.118	-0.147	-0.458			
YER168C				0.172	-0.026	0.018
YER169W	0.154	0.336	0.19			
YER170W	-0.09	0.31	0.019			
YER171W				-0.012	-0.054	-0.11
YER172C				-0.112	-0.076	-0.121
YER173W	0.052	-0.081	-0.055			
YER174C	0.094	0.028	0.07			
YER175C	0.109	0.133	-0.109			
YER176W	-0.159	-0.035	-0.239			
YER177W	0.065	-0.138	-0.908			
YER178W	0.065	0.273	0.242			
YER179W	-0.006	-0.105	0.08			
YER180C	0.061	0.09	-0.014			
YER181C	0.084	0.016	0.233			
YER182W	-0.236	-0.397	-0.329			
YER183C	-0.034	-0.247	-0.155			
YER184C	-0.118	-0.199	-0.241			
YER185W	-0.266	-0.303	-0.034			
YER186C	0.042	-0.032	-0.057			
YER187W	-0.051	0.02	0.237			
YER188W	-0.028	-0.011	-0.181			
YFL001W	0.123	0.348	0.465			
YFL002C				-0.649	-0.5	-0.8
YFL003C	-0.062	-0.196	-0.119			
YFL004W	0.46	0.123	0.129			
YFL005W				-0.335	-0.519	-0.272
YFL007W	-0.07449999999999998	-0.1985	-0.6495			
YFL008W				0.064	0.131	-0.488
YFL009W				0.084	0.204	-0.395
YFL010C	-0.24	0.074	-0.172			
YFL010W-A	0.107	0.83	0.107			
YFL011W	-0.151	-0.278	-0.658			
YFL012W	0.058	-0.018	0.005			
YFL012W-A	-0.097	-0.171	-0.132			
YFL013C	-0.161	-0.31	-0.206			
YFL014W	0.03	0.249	0.562			
YFL015C	0.222	0.176	0.149			
YFL016C	-0.144	0.188	0.589			
YFL017C				-0.177	0.004	-0.262
YFL017W-A				-0.17	-0.247	-0.281
YFL018C	0.117	-0.012	0.857			
YFL019C	0.017	-0.052	-0.098			
YFL020C	0.284	0.008	-0.17			
YFL021W	-0.031	0.041	-0.04			
YFL022C				0.321	-0.101	-0.135
YFL023W	-0.196	0.115	0.787			
YFL024C				-0.216	-0.093	-0.269
YFL025C	0.52	0.467	1.428			
YFL026W	0.117	-0.134	-0.22			
YFL027C	-0.138	-0.066	0.08			
YFL028C	0.239	0.19	-0.088			
YFL029C				0.062	-0.177	0.254
YFL030W	-0.33	0.049	0.106			
YFL031W	0.19	0.21	0.224			
YFL032W	-0.051	0.129	-0.313			
YFL033C	0.218	0.113	1.215			
YFL034C-A	0.0375	0.0059999999999999915	0.018999999999999996			
YFL034C-B				0.045000000000000005	-0.017	-0.031000000000000003
YFL034W	0.283	0.158	-0.156			
YFL036W	0.146	0.117	0.274			
YFL037W				0.009	-0.18	-0.042
YFL038C				0.004	-0.344	-0.128
YFL039C				-0.033	-0.216	0.025
YFL040W	-0.011	-0.024	-0.137			
YFL041W	0.081	-0.027	-0.035			
YFL042C	0.1405	0.2505	0.01999999999999999			
YFL044C	0.104	-0.09	-0.446			
YFL045C				-0.092	0.143	0.076
YFL046W	-0.228	-0.51	-0.344			
YFL047W	-0.043	-0.343	-0.252			
YFL048C	0.015	0.425	0.325			
YFL049W	0.142	0.034	0.313			
YFL050C	0.12	0.176	-0.108			
YFL051C	0.006	0.277	0.385			
YFL052W	-0.136	0.023	-0.3			
YFL053W	-0.692	-0.484	-0.836			
YFL054C	0.271	0.505	0.117			
YFL055W	-0.064	-0.075	-0.062			
YFL063W	0.182	0.486	0.341			
YFR001W	-0.666	-0.253	0.104			
YFR002W				-0.182	-0.175	0.341
YFR003C				0.119	0.01	0.549
YFR004W				-0.069	-0.004	0.176
YFR005C				-0.007	0.055	0.254
YFR006W	0.062	0.909	-0.005			
YFR007W	-0.723	-0.85	-1.137			
YFR008W	-0.023	0.439	0.09			
YFR009W	-0.562	-0.121	-0.437			
YFR010W	0.168	-0.27	-0.044			
YFR011C	0.132	0.242	-0.079			
YFR012W	-0.168	0.173	-0.301			
YFR013W	-0.002	0.038	0.064			
YFR014C	0.002	0.353	0.135			
YFR015C	0.188	0.293	-0.023			
YFR016C	-0.02	0.398	0.193			
YFR017C	-0.11	0.0	-0.067			
YFR018C	-0.062	-0.137	-0.023			
YFR020W	-0.119	0.238	-0.349			
YFR021W	-0.354	-0.173	-0.426			
YFR022W	-0.098	0.224	0.037			
YFR023W	0.076	-0.021	-0.065			
YFR024C-A	0.0375	0.052	0.1395			
YFR025C	0.113	0.127	0.026			
YFR026C	0.497	0.137	0.036			
YFR027W				-0.094	-0.081	-0.038
YFR028C				-0.093	-0.245	-0.076
YFR029W				-0.061	0.004	0.12
YFR030W	0.036	0.17	0.338			
YFR031C				-0.2	-0.329	-0.248
YFR031C-A	-0.059	0.004	0.394			
YFR032C	0.062	0.019	-0.215			
YFR032C-A	-0.193	-0.018	-0.101			
YFR033C	-0.147	0.065	-0.172			
YFR034C	0.102	0.084	0.023			
YFR035C	0.037	-0.065	-0.012			
YFR036W	0.065	0.049	-0.017			
YFR037C				-1.079	-0.482	-0.722
YFR038W	-0.146	-0.237	0.0			
YFR039C	-0.013	-0.057	0.019			
YFR040W	0.015	-0.102	0.267			
YFR041C	-0.139	-0.051	-0.333			
YFR042W				-0.069	-0.252	-0.013
YFR043C	-0.019	-0.157	-0.113			
YFR044C	0.0	0.048	-0.039			
YFR045W	0.052	-0.251	-0.178			
YFR046C	-0.139	-0.017	-0.066			
YFR047C	0.034	0.191	-0.057			
YFR048W	-0.045	-0.117	-0.251			
YFR049W	0.136	-0.218	-0.221			
YFR050C				-0.053	-0.271	-0.329
YFR051C				0.241	-0.048	-0.116
YFR052W				0.014	0.182	0.328
YFR053C	0.041	-0.101	-0.125			
YFR054C	0.0	0.114	0.001			
YFR055W	0.095	0.025	-0.013			
YFR056C	0.105	-0.061	-0.029			
YFR057W	0.042	-0.145	0.235			
YGL001C				0.203	0.057	-0.165
YGL002W	0.107	-0.029	0.186			
YGL003C	0.001	-0.088	0.132			
YGL004C	-0.073	-0.19	-0.012			
YGL005C	0.101	0.558	0.476			
YGL006W	0.016	0.044	0.245			
YGL007W	1.076	0.823	0.377			
YGL008C				0.061	-0.016	-0.018
YGL009C	0.044	-0.101	-0.004			
YGL010W	-0.105	-0.276	-0.513			
YGL011C				-0.014	0.095	-0.038
YGL012W	0.095	-0.068	-0.036			
YGL013C	0.56	0.223	0.51			
YGL014W	0.257	-0.071	-0.317			
YGL015C	-0.118	-0.176	0.269			
YGL016W	-0.032	0.367	-0.242			
YGL017W	-0.118	0.004	-0.21			
YGL018C				-0.279	-0.141	-0.313
YGL019W	-0.297	-0.745	-0.71			
YGL020C	-0.409	0.226	0.224			
YGL021W	0.13	0.134	0.148			
YGL022W				-0.03	-0.181	0.01
YGL023C	-0.245	-0.116	-0.528			
YGL024W	0.053	-0.145	0.009			
YGL025C	0.123	0.097	1.333			
YGL026C	0.145	-0.002	0.362			
YGL027C	0.248	0.31	-0.25			
YGL028C	0.135	-0.003	-0.108			
YGL029W	-0.139	-0.201	-0.281			
YGL030W				0.529	0.45	-0.766
YGL031C	-0.14	0.178	0.143			
YGL032C	0.241	0.068	0.08			
YGL033W	-0.262	-0.119	-0.465			
YGL034C	-0.082	-0.243	-0.318			
YGL035C	-0.243	1.144	0.115			
YGL037C	0.028	-0.095	0.103			
YGL039W	0.13	0.207	0.047			
YGL040C				-0.054	-0.028	0.355
YGL041C	-0.1	-0.151	0.175			
YGL042C	-0.054	-0.141	0.223			
YGL043W	0.156	-0.072	1.444			
YGL044C				0.112	-0.155	-0.349
YGL045W	0.3275	0.213	0.368			
YGL047W				-0.102	-0.128	0.123
YGL048C				0.204	0.064	0.255
YGL049C	-0.004	-0.028	-0.036			
YGL050W	0.032	0.181	0.028			
YGL051W	-0.114	0.036	-0.274			
YGL053W	0.037	0.262	0.169			
YGL054C	0.365	0.078	0.592			
YGL055W				0.348	0.061	0.377
YGL056C	-0.642	-0.303	-0.565			
YGL057C	-0.041	-0.077	0.1			
YGL058W	1.319	1.213	1.173			
YGL059W	-0.069	-0.027	-0.092			
YGL060W	0.377	0.5	0.596			
YGL061C				-0.033	0.026	-0.088
YGL062W	-0.072	-0.096	-0.016			
YGL063W	0.127	0.127	0.006			
YGL065C				-0.076	-0.031	-0.128
YGL066W	0.043	0.055	1.124			
YGL067W	-0.054	-0.071	0.215			
YGL068W				-0.051	-0.198	-0.143
YGL069C				0.034	-0.168	0.257
YGL071W	0.211	0.167	0.06			
YGL072C	0.077	-0.013	1.385			
YGL073W				-0.327	-0.24	-0.197
YGL074C				-0.027	-0.111	-0.076
YGL075C				0.132	0.109	0.029
YGL077C	-0.145	-0.273	-0.214			
YGL078C	-0.047	-0.106	-0.068			
YGL079W	-0.06	-0.023	-0.061			
YGL080W	-0.202	-0.233	-0.089			
YGL081W	-0.086	0.12	0.293			
YGL082W	-0.045	-0.037	-0.103			
YGL083W	-0.02	-0.033	-0.236			
YGL084C	1.28	0.102	1.254			
YGL085W	0.005	0.314	-0.141			
YGL086W	0.269	0.024	0.25			
YGL087C	-0.038	0.032	0.326			
YGL089C	-0.117	-0.221	-0.412			
YGL090W	0.322	0.038	-0.07			
YGL091C				0.048	-0.039	0.097
YGL092W				-0.213	-0.173	0.17
YGL093W				-1.18	-0.809	-0.509
YGL094C	0.105	-0.065	0.251			
YGL096W	0.046	0.2	0.058			
YGL097W				-0.007	-0.081	-0.042
YGL098W				-0.07	-0.172	0.095
YGL099W				0.151	0.087	-0.884
YGL101W	-0.074	-0.546	-0.297			
YGL102C				0.337	0.038	-0.246
YGL103W				0.1	-0.102	-0.016
YGL104C	-0.299	-0.531	-0.363			
YGL105W	0.668	0.284	0.317			
YGL108C	-0.134	-0.118	-0.488			
YGL109W	-0.018	0.027	-0.087			
YGL110C	-0.006	0.091	-0.049			
YGL111W				-0.035	-0.214	-0.139
YGL112C				-0.115	-0.159	-0.078
YGL113W				0.049	-0.106	-0.097
YGL114W	-0.145	-0.114	0.121			
YGL115W	0.371	0.168	0.865			
YGL116W				0.099	0.204	-0.03
YGL117W	0.496	-0.027	0.779			
YGL118C	0.166	0.528	-0.272			
YGL120C				0.045	-0.051	-0.095
YGL121C	-0.341	-0.328	-0.432			
YGL122C				0.024	0.209	0.571
YGL123W				-0.124	-0.138	-0.061
YGL124C	-0.139	0.533	-0.461			
YGL125W	-0.048	-0.259	-0.694			
YGL126W	0.029	-0.088	0.212			
YGL127C	0.142	-0.17	2.336			
YGL128C				-0.503	-0.481	-0.865
YGL129C	-0.125	0.234	-0.218			
YGL130W				0.08	0.003	0.004
YGL131C	-0.023	0.212	-0.03			
YGL132W	0.572	0.415	0.503			
YGL133W	0.266	0.326	0.184			
YGL135W	0.12	-0.28	2.933			
YGL136C	0.03	-0.306	-0.651			
YGL137W				-0.41	-0.348	-0.329
YGL138C	0.007	-0.195	-0.318			
YGL139W	-0.129	-0.138	-0.105			
YGL140C	-0.171	-0.154	-0.114			
YGL141W	0.228	0.255	0.21			
YGL142C				-0.098	-0.089	-0.129
YGL143C	-0.002	-0.267	-0.502			
YGL144C	-0.115	0.197	0.395			
YGL145W				-0.23	-0.468	-0.829
YGL146C	0.053	0.05	0.048			
YGL147C	0.087	0.036	0.336			
YGL148W	0.115	0.12	0.611			
YGL149W	0.149	0.054	0.051			
YGL150C				0.125	0.06	-0.014
YGL151W	0.081	-0.178	-0.3			
YGL152C	0.116	0.16	0.528			
YGL153W	-0.323	-0.303	0.186			
YGL154C	0.078	0.274	-0.016			
YGL155W				0.009	-0.134	0.086
YGL156W	0.078	-0.047	0.052			
YGL157W	0.256	0.166	-0.062			
YGL158W	0.01	0.059	-0.279			
YGL159W	-0.073	0.109	0.079			
YGL160W	0.352	0.093	-0.223			
YGL161C	0.395	0.571	0.265			
YGL162W	-0.121	-0.127	-0.332			
YGL163C	0.735	0.14	0.361			
YGL164C	-0.395	0.087	-0.578			
YGL165C	-0.055	0.26	0.038			
YGL166W	0.046	0.042	0.16			
YGL167C	0.295	-0.21	4.547			
YGL168W	0.34	0.849	1.704			
YGL169W				-0.133	-0.123	-0.269
YGL170C	-0.131	0.026	-0.093			
YGL171W				0.13	-0.055	0.09
YGL172W				-0.469	-0.23	-0.364
YGL175C	0.027	-0.025	-0.216			
YGL176C	0.257	0.034	-0.112			
YGL177W	-0.404	-0.248	-0.268			
YGL179C	-0.302	-0.24	-0.325			
YGL180W	-0.067	0.173	-0.202			
