ORF	hap a | growth (spot assay) | sodium arsenite [0.5 mM], time [24 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | sodium arsenite [1 mM], time [24 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | sodium arsenite [1.5 mM], time [24 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | sodium arsenite [0.5 mM], time [48 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | sodium arsenite [1 mM], time [48 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | sodium arsenite [1.5 mM], time [48 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | cadmium dichloride [75 uM], time [24 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | cadmium dichloride [100 uM], time [24 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | cadmium dichloride [150 uM], time [24 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | cadmium dichloride [75 uM], time [48 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | cadmium dichloride [100 uM], time [48 h] | Thorsen M~Tamas MJ, 2009	hap a | growth (spot assay) | cadmium dichloride [150 uM], time [48 h] | Thorsen M~Tamas MJ, 2009
YAL059W	-0.232	-0.039	-0.050	-0.232	0.056	-0.013	0.200	0.103	0.301	0.705	0.175	0.448
YAL060W	-0.224	0.076	-0.038	-0.084	0.093	-0.005	0.221	0.093	-0.200	0.680	0.015	0.355
YAL061W	-0.170	0.062	-0.128	-0.235	0.108	-0.020	0.515	0.094	0.331	0.322	-0.009	0.255
YAL062W	-0.121	0.043	-0.041	-0.087	0.127	0.127	0.545	-0.021	-0.085	0.541	0.045	-0.002
YAL064C-A	-0.426	-0.026	-0.899	-0.230	-0.171	-0.474	-0.810	0.163	0.262	-0.376	0.295	-0.614
YAL065C	-0.158	0.073	-0.094	0.030	0.101	0.088	0.219	0.026	0.122	0.120	0.064	0.200
YAL066W	-0.174	-0.019	-0.050	0.101	0.238	0.112	0.569	-0.165	-0.016	0.425	-0.022	0.038
YAL067C	-0.274	0.015	-0.246	0.159	0.165	0.064	0.511	0.145	0.502	0.803	0.273	0.339
YAL068C	-0.338	-0.088	-0.088	-0.141	0.128	0.129	-1.195	-0.060	-0.110	0.080	0.012	-0.068
YAR002C-A	-0.019	0.290	0.071	-0.020	0.005	-0.014	-0.202	0.213	0.138	0.039	0.252	0.057
YAR002W	-0.009	-0.036	-0.213	0.047	0.107	-0.051	-0.234	0.054	-0.195	-0.098	0.097	-0.020
YAR003W	-0.778	-0.004	1.683	0.170	1.776	1.978	-0.594	0.826	0.660	0.109	1.332	0.405
YAR014C	0.062	0.084	0.237	0.023	0.149	0.070	0.108	0.103	0.084	0.243	0.120	0.240
YAR015W	0.024	-0.138	-0.176	0.020	0.006	-0.043	-0.155	-0.108	-0.140	-0.114	0.009	-0.060
YAR018C	-0.444	-0.233	-0.478	-0.350	-0.276	-0.451	-0.116	0.012	0.001	-0.261	-0.084	-0.099
YAR020C	0.155	0.063	0.090	0.028	0.113	0.003	0.096	0.133	-0.083	-0.014	0.164	-0.038
YAR023C	0.218	-0.024	-0.177	0.068	-0.002	-0.036	-0.112	0.208	-0.089	-0.190	0.085	0.014
YAR027W	0.163	-0.279	-0.206	0.071	-0.176	-0.145	-0.201	-0.224	-0.440	-0.050	-0.187	-0.140
YAR028W	0.008	-0.197	-0.090	-0.167	-0.237	-0.110	-0.033	-0.062	-0.112	-0.044	-0.086	-0.027
YAR029W	0.184	-0.067	0.184	0.047	-0.014	0.290	0.183	0.049	0.007	-0.050	0.046	-0.068
YAR030C	0.155	0.045	0.077	0.338	0.076	0.010	0.079	-0.055	0.007	0.232	-0.131	-0.008
YAR031W	-0.429	-0.093	-0.049	-0.060	0.148	0.088	-1.907	-0.253	-0.212	-0.338	-0.001	-0.155
YAR035W	-0.215	-0.133	-0.123	0.028	0.072	0.010	-0.240	0.004	0.317	-0.180	-0.088	0.079
YAR037W	0.270	0.042	-0.202	0.252	0.163	-0.045	0.042	0.411	0.041	0.115	0.161	0.188
YAR040C	-0.010	-0.036	-0.083	-0.010	0.033	-0.137	-0.151	-0.104	-0.099	-0.148	-0.188	-0.080
YAR042W	0.165	-0.133	0.051	0.049	-0.080	-0.040	0.061	0.167	0.202	0.086	0.029	0.273
YAR043C	-0.133	-0.146	-0.036	-0.004	-0.076	0.065	-0.038	0.031	0.046	-0.108	-0.018	0.215
YAR044W	-0.193	0.018	0.042	-0.102	-0.008	-0.014	-0.092	-0.066	0.061	0.101	-0.066	-0.215
YAR047C	0.524	0.075	0.083	0.319	0.068	0.047	-0.129	0.197	0.046	-0.182	0.114	0.017
YAR050W	0.661	0.123	-0.026	0.263	0.007	-0.090	0.441	-0.054	-1.129	0.233	0.007	-0.136
YBL001C	-1.201	0.139	0.230	0.000	0.123	-0.062	0.496	0.162	-0.172	-0.053	0.189	0.299
YBL002W	-0.213	0.173	1.961	0.074	0.003	-0.120	-0.048	0.080	0.551	-0.323	0.145	0.242
YBL003C	0.067	0.074	-0.222	0.214	0.129	-0.043	0.152	0.173	0.355	0.232	0.254	0.363
YBL005W	0.459	0.185	-0.004	0.531	0.320	-0.087	0.030	0.411	-0.233	0.123	0.051	0.181
YBL006C	-0.329	0.908	0.290	-0.080	-0.100	-0.088	-0.654	0.286	0.272	0.861	-0.241	0.004
YBL007C	0.981	1.320	2.474	1.063	0.471	1.104	-0.709	1.775	0.580	0.067	0.714	0.682
YBL008W	0.387	0.460	0.167	0.256	0.062	0.174	0.054	0.056	-0.368	-0.081	-0.069	0.103
YBL009W	1.446	-0.047	0.117	0.301	0.101	0.254	0.211	0.153	-0.068	0.111	0.411	0.336
YBL010C	-1.546	-0.351	-0.466	-0.225	-0.173	-0.247	-0.197	0.372	0.163	1.037	0.182	-0.230
YBL011W	0.099	-0.355	-0.727	0.116	-0.153	-0.363	0.023	-0.049	1.016	0.158	-0.120	-0.165
YBL012C	-1.634	-0.590	-0.604	-0.669	-0.347	-0.251	-0.420	-0.446	0.304	-0.729	-0.403	-0.544
YBL013W	-0.870	-0.678	-0.606	-0.149	-0.218	-0.163	-0.137	-0.468	-0.185	0.027	-0.194	0.461
YBL015W	-2.329	-0.115	0.001	-0.193	-0.089	-0.176	0.362	-0.207	0.069	-0.125	-0.034	0.101
YBL016W	-2.321	-0.471	-0.501	-0.265	-0.330	-0.304	-1.695	-0.619	-0.504	-1.169	-0.557	-0.471
YBL017C	-2.686	-0.168	-0.146	-0.309	0.010	-0.095	0.359	-0.458	-0.287	0.939	-0.201	-0.013
YBL019W	-2.541	-0.098	-0.546	-0.271	-0.154	-0.366	-2.478	-0.389	-0.677	-1.030	-0.134	-0.257
YBL021C	-2.096	0.065	0.295	0.027	0.129	0.350	0.752	0.277	-0.174	0.604	0.027	0.111
YBL022C	-2.633	-0.482	-0.643	-0.632	-0.221	-0.071	-1.122	-0.209	0.628	-0.274	-0.142	0.096
YBL024W	0.564	3.423	3.077	3.944	4.225	4.137	-1.498	-0.035	-0.387	0.383	0.759	0.881
YBL025W	NaN	NaN	NaN	-0.455	-0.707	-0.630	NaN	NaN	NaN	-1.344	0.369	-2.359
YBL027W	-0.387	-0.506	1.174	-0.111	0.013	0.111	0.166	-0.591	-0.980	-0.180	-0.505	-0.214
YBL028C	-2.076	-0.114	-0.303	0.051	0.013	-0.115	0.456	-0.074	-0.384	-0.257	-0.034	0.118
YBL029W	-1.754	-0.510	-0.871	-0.386	-0.185	-0.287	0.016	-0.579	0.456	0.041	-0.239	0.081
YBL031W	-1.184	-0.328	1.024	0.068	0.036	0.111	0.020	-0.074	0.413	-0.219	-0.217	0.078
YBL032W	-2.363	-0.493	-0.274	-0.476	-0.193	-0.105	-0.297	-0.303	0.412	-0.517	0.262	0.368
YBL033C	0.122	0.146	0.300	0.149	0.097	0.174	0.035	0.745	1.021	-0.079	0.132	-0.069
YBL036C	0.010	-0.321	0.175	-0.100	-0.271	0.021	-0.115	1.232	0.848	-0.238	0.154	-0.063
YBL037W	-0.562	-0.303	-0.251	-0.084	-0.172	-0.076	-0.772	-0.070	0.755	-0.458	-0.047	0.222
YBL038W	-0.019	-0.133	-0.277	0.115	-0.113	-0.068	-1.671	0.037	0.467	-0.595	-0.178	-0.156
YBL039C	-1.139	-0.095	-0.056	-0.160	-0.255	-0.032	-0.236	0.104	0.947	-0.311	-0.096	-0.135
YBL042C	1.168	-0.260	-0.232	0.179	-0.072	-0.008	-0.272	0.164	0.445	-0.415	-0.233	0.018
YBL043W	0.096	-0.194	-0.043	0.141	0.002	0.108	-0.048	-0.106	-0.084	-0.391	-0.459	-0.178
YBL044W	-0.341	-0.222	-0.361	0.154	0.067	0.004	-0.382	-0.030	0.347	-0.059	0.239	-0.199
YBL045C	1.206	-0.227	0.133	-0.075	0.012	0.016	0.102	-0.131	-0.670	-0.367	-0.115	-0.260
YBL046W	0.249	0.005	0.059	0.198	0.036	0.126	-1.010	-0.148	0.963	-0.240	-0.145	0.458
YBL047C	1.434	0.181	0.854	0.252	0.147	0.316	-0.333	0.149	-0.130	0.146	0.375	0.446
YBL048W	-0.401	-0.024	-0.074	-0.181	-0.043	0.034	-0.585	-0.440	0.117	-0.281	-0.120	0.121
YBL049W	-0.173	-0.304	-0.225	0.122	-0.041	-0.039	-0.258	0.275	0.994	-0.010	0.093	0.010
YBL051C	1.054	2.237	2.104	1.220	0.101	0.000	-1.225	0.525	0.530	-0.109	-0.217	-0.402
YBL052C	-0.309	-0.253	-0.194	0.003	-0.074	0.150	-0.851	0.530	1.792	-0.092	-0.201	0.337
YBL053W	0.039	-0.003	-0.149	0.032	-0.091	0.024	0.037	0.127	0.109	-0.264	-0.182	-0.384
YBL054W	-0.127	-0.215	-0.278	0.084	-0.064	-0.192	-0.436	0.729	1.318	-0.224	-0.117	-0.013
YBL055C	0.148	0.010	-0.054	0.021	0.112	0.073	0.286	0.003	-0.149	-0.227	-0.211	0.161
YBL056W	-0.063	0.061	0.067	-0.057	-0.055	0.125	0.423	0.748	0.958	-0.282	-0.144	0.139
YBL057C	-0.342	-0.315	0.006	-0.212	-0.112	0.127	-0.409	0.218	0.044	-0.352	0.086	-0.051
YBL058W	NaN	NaN	NaN	-1.312	-0.950	0.463	NaN	NaN	NaN	0.049	-0.034	1.526
YBL059W	-0.049	-0.046	2.207	-0.017	0.126	0.161	0.158	-0.036	-0.151	-0.211	0.118	0.029
YBL060W	-0.063	0.097	0.204	0.105	0.003	-0.012	-0.078	-0.322	-0.006	0.173	-0.148	0.307
YBL061C	-1.170	0.254	0.609	-0.011	0.340	0.472	-0.962	-0.472	-0.111	-0.120	0.155	0.337
YBL062W	0.485	-0.157	-0.298	0.352	-0.066	-0.054	-0.101	1.368	0.002	0.389	-0.062	-0.285
YBL063W	1.841	-0.097	-0.265	0.275	0.055	-0.026	0.324	0.214	-0.166	-0.067	0.414	-0.177
YBL064C	-0.410	-0.666	-0.499	-0.115	-0.167	-0.082	-0.531	0.163	0.705	0.741	-0.319	-0.031
YBL065W	-0.426	-0.252	-0.261	-0.013	-0.179	-0.164	0.064	0.033	-0.181	-0.194	0.185	0.394
YBL066C	-0.550	-0.376	-0.584	0.012	-0.244	-0.240	0.386	0.242	-0.353	0.470	-0.042	0.157
YBL067C	2.068	-0.599	-0.762	1.170	-0.532	-0.595	-1.560	0.478	0.199	0.307	-0.051	-0.028
YBL068W	0.020	0.251	0.258	0.092	0.268	0.285	0.378	0.034	0.002	0.132	0.162	0.219
YBL069W	-0.002	-0.038	0.219	0.021	-0.077	0.016	-0.170	0.103	0.470	-0.019	-0.016	-0.061
YBL070C	-0.042	0.177	0.189	-0.045	-0.076	0.167	-0.144	0.777	-0.247	-0.129	-0.240	-0.028
YBL071C	0.209	0.333	-0.058	-0.114	0.056	0.074	-0.035	1.000	0.124	-0.036	0.047	-0.390
YBL072C	-0.590	-0.497	-0.345	-0.149	-0.196	-0.234	-0.590	0.564	1.278	-0.079	0.166	-0.031
YBL075C	-0.474	-0.486	-0.060	-0.043	-0.206	-0.032	-0.109	-0.227	-0.143	0.032	-0.054	-0.109
YBL078C	0.192	0.067	-0.311	0.137	0.057	-0.139	0.086	0.263	0.187	0.251	0.299	0.138
YBL079W	0.023	-0.126	-0.219	-0.013	-0.052	-0.075	-0.208	0.342	0.221	0.526	0.060	0.319
YBL080C	1.073	-0.089	0.054	0.646	0.155	0.051	0.108	0.134	-0.152	0.355	0.006	-0.185
YBL081W	-0.450	-0.155	-0.137	-0.146	-0.070	-0.077	0.222	-0.134	-0.714	0.094	-0.023	0.113
YBL082C	-0.035	-0.149	-0.106	0.171	0.027	0.067	0.217	0.140	-0.062	0.100	0.179	-0.345
YBL083C	-0.229	0.128	0.448	-0.394	0.006	0.230	0.458	0.703	0.260	0.073	-0.009	0.210
YBL085W	0.007	-0.126	-0.146	-0.024	-0.091	-0.101	-0.409	-0.095	-0.480	-0.020	0.052	-0.192
YBL086C	-0.462	-0.220	-0.020	-0.360	-0.267	-0.191	0.237	0.003	0.427	0.070	-0.063	-0.134
YBL087C	-0.032	0.130	1.013	0.055	0.057	0.139	-0.233	0.022	-0.304	0.032	0.004	0.566
YBL088C	-0.251	-0.145	0.270	-0.058	0.043	0.312	0.089	0.165	0.172	0.042	0.081	0.194
YBL089W	1.489	0.039	1.257	0.247	0.137	0.212	-0.176	0.100	-0.222	0.188	0.048	0.266
YBL090W	-0.077	-0.024	-0.101	0.248	0.107	0.138	0.175	-0.403	-0.424	-0.068	0.163	-0.007
YBL091C	0.172	0.138	0.130	0.093	0.155	0.015	-1.331	-0.511	-0.441	-0.262	-0.064	0.111
YBL091C-A	-0.198	-0.162	-0.620	-0.065	-0.031	-0.405	-0.292	0.271	0.271	-0.067	0.174	-0.416
YBL093C	1.106	0.860	3.367	0.336	0.550	0.941	-0.269	0.388	-2.720	2.307	0.764	0.007
YBL094C	0.466	0.702	2.577	-0.135	-0.042	1.773	-1.495	1.908	1.566	2.562	1.014	2.178
YBL095W	-0.473	-0.116	0.102	0.026	-0.168	0.099	0.204	0.001	-0.304	-0.326	0.133	0.079
YBL096C	-0.231	-0.172	-0.354	0.071	-0.127	-0.134	-0.177	-0.118	-0.599	0.058	0.032	-0.277
YBL098W	-0.449	-0.213	-0.194	-0.189	-0.164	0.027	-0.216	-0.221	-0.028	-0.314	0.096	0.036
YBL099W	-0.076	0.218	0.911	-0.067	0.135	0.460	-0.046	0.612	0.140	0.886	0.740	0.301
YBL100C	-0.217	0.230	0.911	-0.117	0.007	0.188	-0.217	0.878	0.163	0.776	1.514	0.197
YBL101C	0.638	0.194	0.337	0.238	0.223	0.245	0.168	1.346	0.905	0.254	0.646	0.491
YBL102W	-0.134	-0.161	-0.134	0.132	-0.124	-0.203	-0.052	-0.301	-0.406	0.211	-0.073	-0.351
YBL103C	-0.067	0.119	2.134	-0.014	0.200	0.163	-0.514	1.199	-1.562	0.657	0.681	0.019
YBL104C	-0.525	-0.002	0.299	0.080	0.132	0.289	-1.121	-0.552	-0.315	-0.131	-0.026	0.370
YBL106C	0.518	0.441	0.214	0.084	0.268	-0.112	0.518	1.271	0.734	0.613	0.313	0.289
YBL107C	0.304	0.134	0.017	0.073	0.071	0.019	-1.665	-0.507	-0.082	-0.292	0.130	-0.123
YBR001C	2.933	0.051	0.023	0.387	0.068	-0.140	0.047	0.140	-0.501	-0.163	0.013	-0.368
YBR003W	0.121	0.210	0.124	-0.299	0.095	0.148	-0.286	-0.019	-0.363	-0.425	-0.007	-0.128
YBR005W	0.270	0.039	0.373	0.215	0.120	0.300	0.019	-0.473	-0.844	-0.154	-0.057	-0.290
YBR006W	0.105	0.050	0.133	-0.012	0.095	0.103	0.105	-0.210	0.086	0.075	0.014	-0.386
YBR007C	-0.125	0.172	0.086	0.172	0.065	0.018	0.254	-0.347	-0.539	0.027	-0.066	-0.013
YBR008C	-0.099	-0.083	-0.208	-0.253	-0.231	-0.321	0.288	0.139	-0.448	-0.117	0.082	-0.410
YBR009C	-0.037	-0.113	-0.007	-0.278	-0.190	-0.217	-0.413	0.012	-0.106	0.078	0.086	0.219
YBR010W	-0.079	0.297	0.367	0.107	0.372	0.223	0.032	0.049	-0.139	0.352	0.149	0.309
YBR012C	-0.129	0.075	-0.216	-0.106	-0.087	-0.058	-0.025	-0.410	-0.024	0.296	-0.199	0.326
YBR013C	-0.828	-0.048	-0.219	0.151	0.092	-0.041	-1.186	-0.567	-0.464	-0.256	0.130	0.152
YBR014C	0.440	0.197	0.293	0.275	0.209	0.132	0.440	-0.202	-0.637	0.317	0.113	-0.002
YBR015C	1.310	0.071	0.086	0.239	0.071	-0.023	0.291	-0.257	0.980	0.350	0.216	0.219
YBR016W	0.156	0.196	0.123	0.054	0.044	-0.048	-0.730	0.032	-0.746	0.133	0.269	-0.055
YBR018C	0.016	-0.314	-0.359	0.219	-0.034	-0.145	-0.323	-0.621	-0.777	0.046	-0.096	0.058
YBR019C	0.208	0.011	-0.197	0.173	-0.037	-0.197	-0.015	-0.108	0.126	0.527	-0.055	0.508
YBR020W	0.261	0.324	0.260	-0.010	0.058	0.019	0.389	0.140	-0.858	0.009	0.011	-0.007
YBR021W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBR022W	0.038	-0.016	0.897	0.299	0.097	0.184	0.523	0.421	0.190	1.831	0.035	-0.115
YBR023C	0.215	-0.004	0.153	0.320	0.131	0.121	0.396	0.070	-0.202	0.578	0.119	0.110
YBR024W	-0.196	-0.012	0.064	-0.046	0.130	-0.004	0.038	-0.353	-0.065	0.003	-0.129	0.154
YBR025C	-0.295	-0.294	-0.441	-0.074	-0.140	-0.219	-0.248	-0.029	0.518	0.099	0.041	0.198
YBR026C	-1.766	-0.042	0.139	-0.675	-0.179	-0.214	-0.067	-0.891	-0.431	-0.045	-0.185	-0.095
YBR027C	-1.413	0.370	0.047	-0.315	-0.015	-0.149	0.076	-0.373	-0.155	-0.255	-0.301	-0.287
YBR028C	-1.388	0.263	0.094	-0.377	0.027	-0.209	0.297	-0.289	0.125	-0.070	-0.252	-0.392
YBR030W	-0.877	0.345	0.208	-0.133	0.189	0.092	-1.160	-0.779	-0.723	-0.613	-0.160	-0.037
YBR031W	-0.528	-0.078	-0.278	-0.364	-0.092	-0.241	0.454	-0.682	-0.734	0.077	-0.253	-0.305
YBR032W	-1.828	-0.116	-0.280	-0.556	-0.011	-0.232	0.137	-0.121	0.693	-0.212	-0.081	0.222
YBR033W	-0.313	-0.060	-0.238	-0.295	0.090	-0.173	-0.637	-0.490	-0.441	0.070	-0.058	-0.142
YBR034C	-1.398	0.165	0.021	-0.102	0.194	0.043	0.568	-0.602	-0.766	0.196	0.001	0.106
YBR035C	-0.579	2.467	2.425	0.149	0.359	2.679	-0.923	1.785	1.581	-0.191	0.168	-0.168
YBR036C	-1.744	0.410	3.235	-0.297	0.283	0.480	0.552	1.108	2.196	0.408	0.575	0.695
YBR037C	-0.270	0.043	0.299	-0.443	0.061	-0.107	-0.216	0.133	0.433	-0.036	-0.265	-0.179
YBR040W	-0.777	-0.050	1.156	-0.243	0.081	0.041	0.152	-0.596	-0.500	-0.126	-0.231	0.022
YBR041W	-3.113	-0.889	-0.845	-0.626	-0.437	-0.415	-0.597	-0.042	-0.714	-0.395	0.160	0.386
YBR042C	0.472	-0.428	-0.298	0.022	-0.201	-0.181	-0.453	2.200	1.266	-0.354	-0.143	-0.175
YBR043C	0.712	-0.263	-0.068	0.089	-0.028	0.069	-0.469	1.062	1.686	-0.124	0.146	0.204
YBR044C	-0.930	-0.633	-0.655	-0.336	-0.240	-0.330	-1.071	-0.015	0.224	-0.327	-0.010	-0.280
YBR045C	0.413	-0.219	-0.401	-0.088	-0.092	-0.159	-0.744	0.079	0.223	-0.382	0.068	0.012
YBR046C	-0.724	-0.515	-0.636	0.038	-0.233	-0.178	-0.662	0.299	1.452	-0.244	0.133	0.185
YBR047W	-0.316	-0.538	-0.636	-0.069	-0.477	-0.392	-0.659	-0.177	-0.107	-0.899	-0.147	-0.166
YBR048W	0.254	-0.629	-0.549	-0.114	-0.405	-0.617	-0.210	0.985	0.750	-0.185	-0.556	-0.350
YBR050C	0.481	-0.305	-0.573	-0.113	-0.297	-0.427	-1.327	0.361	0.724	-0.287	0.141	0.276
YBR051W	-0.225	-0.540	-0.471	-0.410	-0.529	-0.447	-0.243	-0.163	0.237	-0.802	-0.453	-0.257
YBR052C	0.458	-0.274	-0.477	-0.229	-0.488	-0.489	-0.281	0.050	0.197	-0.960	-0.153	0.167
YBR053C	1.671	-0.278	-0.381	0.181	-0.224	-0.394	-0.487	0.071	0.245	-0.375	-0.177	0.317
