Plate,Row,Column,ORF,Name,Thiamethoxam,Actara,Acetamiprid,Mospilan,DMSO+Pyrrolidone,Confidor 
1,4,19,YBR144C,,0.319,-0.981,0.131,0.386,0.15,0.384
1,4,20,YBR032W,,0.354,-0.246,-0.629,0.397,0.216,0.374
1,4,21,YBR141C,,0.333,0.118,-0.141,0.48,-0.61,-1.094
1,4,22,YBR031W,RPL4A,-0.02,-0.165,0.27,0.444,-0.08,0.401
1,4,23,YBR139W,,0.11,-0.122,0.203,-0.124,-0.087,0.296
1,5,2,YAL031C,FUN21,0.174,-0.047,0.134,0.325,0.054,0.705
1,5,3,YBL052C,SAS3,0.044,0.27,-0.564,-1.304,-0.012,-0.602
1,5,4,YAL030W,SNC1,0.037,-0.022,-0.162,0.161,-0.63,0.329
1,5,5,YBL051C,PIN4,0.256,0.261,-0.529,-0.979,0.601,-0.816
1,5,6,YAL029C,MYO4,0.2,0.078,0.13,0.233,-0.109,-0.125
1,5,7,YBL049W,MOH1,0.264,-0.476,-0.121,-0.051,-0.089,-0.034
1,5,8,YAL028W,FRT2,-0.932,-0.865,-0.073,-1.368,0.094,-0.112
1,5,9,YBL048W,,0.046,0.417,-0.459,-1.273,0.018,-1.083
1,5,10,YAL027W,,-0.502,-0.945,-0.192,-1.258,-0.103,-0.27
1,5,11,YBL047C,EDE1,0.388,0.258,-1.13,-0.06,0.432,-0.307
1,5,12,YAL026C,DRS2,0.254,0.076,-1.136,-0.936,-0.201,-1.12
1,5,13,YBL046W,,0.289,-0.249,0.031,0.119,-0.321,-0.255
1,5,14,YAL023C,PMT2,0.186,-0.139,-1.983,-0.367,0.125,0.629
1,5,15,YBL043W,ECM13,0.334,-0.241,0.174,-0.204,0.218,-0.225
1,5,16,YAL022C,FUN26,0.335,-2.333,0.226,0.292,0.501,-0.391
1,5,17,YBL042C,FUI1,0.267,-0.239,0.356,-0.012,0.318,0.355
1,5,18,YAL020C,ATS1,0.422,0.063,0.161,0.099,0.184,-0.069
1,5,19,YBL039C,URA7,-0.195,-0.172,0.067,-0.597,0.48,-0.763
1,5,20,YAL019W,FUN30,0.463,-0.035,0.155,-0.719,0.467,0.252
1,5,21,YBL037W,APL3,0.292,-0.328,0.58,0.362,0.235,0.028
1,5,22,YAL018C,,0.203,0.151,-0.049,-1.147,0.312,-0.268
1,5,23,YBL036C,,0.205,-0.228,0.141,0.18,0.149,0.011
1,6,2,YBR058C,UBP14,-0.141,0.006,-0.229,0.006,0.007,0.148
1,6,3,YBR169C,SSE2,0.092,-0.06,-0.345,-0.669,0.073,-0.168
1,6,4,YBR057C,MUM2,-0.214,0.278,-0.541,-0.173,0.341,-0.443
1,6,5,YBR168W,PEX32,0.366,-0.055,0.548,0.316,-0.712,
1,6,6,YBR056W,,-0.048,-0.003,0.073,-0.014,-0.197,0.198
1,6,7,YBR166C,TYR1,0.343,-0.295,0.176,-0.024,-0.365,0.022
1,6,8,YBR054W,YRO2,0.35,-0.594,0.245,0.173,-0.038,-0.222
1,6,9,YBR165W,UBS1,0.302,-0.512,0.182,0.081,-0.202,-0.115
1,6,10,YBR053C,,0.242,-0.433,0.109,0.177,-0.441,0.254
1,6,11,YBR164C,ARL1,0.364,-0.081,-1.433,-1.019,-0.141,-1.368
1,6,12,YBR052C,,0.199,0.093,0.3,-0.338,0.113,0.01
1,6,13,YBR162W-A,YSY6,0.384,-0.37,-0.116,0.218,0.016,-0.206
1,6,14,YBR051W,,0.409,0.035,0.042,-0.506,0.365,-0.083
1,6,15,YBR162C,TOS1,0.279,-0.383,0.206,0.227,0.218,-0.059
1,6,16,YBR050C,REG2,-0.344,0.279,-0.147,-1.384,-0.611,-1.224
1,6,17,YBR161W,CSH1,0.374,-0.428,-0.224,-0.012,0.074,-0.033
1,6,18,YBR048W,RPS11B,-0.716,-0.233,0.249,0.539,0.067,0.088
1,6,19,YBR159W,,0.288,0.431,-0.052,-0.389,0.293,-0.357
1,6,20,YBR047W,FMP23,-0.242,0.257,-0.657,-0.83,-0.254,-0.284
1,6,21,YBR158W,AMN1,0.353,-0.178,0.764,-0.084,0.238,-0.108
1,6,22,YBR046C,ZTA1,0.182,-0.248,0.14,-0.193,0.374,-0.026
1,6,23,YBR157C,ICS2,0.273,-0.024,-0.31,0.08,-0.037,-0.579
1,7,2,YAL054C,ACS1,0.11,-0.137,-0.345,0.256,-0.098,0.681
1,7,3,YBL064C,PRX1,0.1,-0.163,-0.019,0.303,-0.062,0.613
1,7,4,YAL053W,,0.323,0.354,-0.253,-0.267,0.14,0.495
1,7,5,YBL063W,KIP1,0.157,0.204,-0.145,-0.873,0.274,-0.984
1,7,6,YAL051W,OAF1,0.208,-0.572,0.037,0.079,0.268,0.661
1,7,7,YBL062W,,0.169,-0.144,-5.149,-1.303,-0.066,0.371
1,7,8,YAL049C,,0.301,-0.228,0.033,0.209,0.174,0.299
1,7,9,YBL061C,SKT5,0.259,-0.222,-5.295,-0.983,0.056,0.715
1,7,10,YAL045C,,0.289,-0.284,0.114,0.05,0.035,0.751
1,7,11,YBL060W,,0.203,0.449,-0.927,-0.868,0.271,-0.861
1,7,12,YAL043C-A,,0.209,-0.117,0.184,0.075,0.066,0.183
1,7,13,YBL059W,,0.148,-0.201,-0.344,-0.474,-0.047,-0.136
1,7,14,YAL042W,ERV46,0.164,-0.227,0.065,0.105,0.328,-0.229
1,7,15,YBL057C,PTH2,0.243,0.016,-0.26,-0.83,0.188,-1.054
1,7,16,YAL040C,CLN3,0.223,-0.458,0.164,-0.71,0.003,-0.49
1,7,17,YBL056W,PTC3,0.334,0.16,-0.31,-0.656,0.152,0.839
1,7,18,YAL037W,,0.359,0.056,0.232,-0.075,0.41,0.62
1,7,19,YBL055C,,0.392,-0.17,-0.127,-0.47,0.174,-0.229
1,7,20,YAL036C,RBG1,0.396,0.257,0.124,0.107,0.291,-0.176
1,7,21,YBL054W,,-0.226,-0.906,-0.828,-0.039,0.144,0.087
1,7,22,YAL034C,FUN19,0.305,-0.306,-0.618,-0.014,0.103,0.178
1,7,23,YBL053W,,0.16,-0.16,-0.155,-0.626,0.147,-0.14
1,8,2,YBR071W,,0.05,-0.04,-0.019,-0.281,-0.048,0.737
1,8,3,YBR182C,SMP1,0.238,0.159,-0.345,-0.802,0.053,-0.915
1,8,4,YBR069C,TAT1,0.209,-0.059,-0.01,-0.073,0.013,0.43
1,8,5,YBR181C,RPS6B,0.377,0.277,0.182,0.299,-0.157,0.07
1,8,6,YBR068C,BAP2,-0.38,0.294,-0.254,-0.45,0.393,-0.539
1,8,7,YBR180W,DTR1,0.222,0.296,-0.701,-0.594,-0.018,0.324
1,8,8,YBR067C,TIP1,0.215,-0.179,-1.159,-0.339,0.049,1.332
1,8,9,YBR178W,,0.236,-0.569,-0.42,-0.593,0.069,-0.897
1,8,10,YBR066C,NRG2,0.224,0.158,0.167,-0.009,-0.294,-0.49
1,8,11,YBR177C,EHT1,0.202,-0.387,0.039,-0.069,-0.076,0.075
1,8,12,YBR065C,ECM2,0.21,-0.399,0.548,0.196,-0.29,-0.167
1,8,13,YBR176W,ECM31,0.209,-0.386,-0.007,0.16,0.102,-0.041
1,8,14,YBR064W,,0.228,-0.155,-0.15,0.107,0.113,0.687
1,8,15,YBR175W,SWD3,0.377,0.086,-0.644,-0.308,0.242,-1.3
1,8,16,YBR063C,,0.357,0.074,0.222,-0.085,0.266,0.008
1,8,17,YBR174C,,-0.191,0.523,0.423,-0.053,-0.104,-0.336
1,8,18,YBR062C,,-0.079,-0.352,-0.154,-0.822,0.458,0.169
1,8,19,YBR172C,SMY2,-0.645,-2.442,-1.303,-0.014,0.038,-0.87
1,8,20,YBR061C,TRM7,0.298,-0.208,0.96,-0.257,-0.123,-0.138
1,8,21,YBR171W,SEC66,0.303,0.205,-0.071,0.432,0.635,-0.249
1,8,22,YBR059C,AKL1,0.343,-0.021,0.331,0.194,0.298,-0.062
1,8,23,YBR170C,NPL4,0.034,0.386,-0.113,-1.011,0.277,-0.04
1,9,2,YAL066W,,0.249,0.153,0.122,0.291,-0.214,0.62
1,9,3,YBL079W,NUP170,0.206,0.07,-0.05,0.023,0.28,-0.069
1,9,4,YAL065C,,0.489,0.146,-0.064,-0.483,-0.284,0.638
1,9,5,YBL078C,ATG8,0.247,-0.377,0.061,0.111,-0.14,0.483
1,9,6,YAL064C-A,,0.254,-0.036,0.175,0.023,-0.367,0.515
1,9,7,YBL075C,SSA3,0.261,0.05,0.257,0.1,0.073,0.263
1,9,8,YAL062W,GDH3,0.283,-0.605,0.243,-0.087,0.199,-0.122
1,9,9,YBL072C,RPS8A,0.232,0.22,0.221,-0.056,-0.085,-0.343
1,9,10,YAL061W,,0.231,-0.448,-0.285,-0.502,0.314,-0.834
1,9,11,YBL071C,,0.207,0.078,-0.027,-0.163,0.325,-0.212
1,9,12,YAL060W,BDH1,0.239,0.032,-0.151,0.025,0.022,-0.192
1,9,13,YBL070C,,0.227,0.188,-0.317,-0.642,-0.337,-0.293
1,9,14,YAL059W,ECM1,0.294,0.315,0.383,0.167,0.26,-0.016
1,9,15,YBL069W,AST1,0.222,0.248,-0.508,-0.203,0.63,-0.89
1,9,16,YAL058W,CNE1,0.358,-0.45,0.238,0.387,0.224,-0.041
1,9,17,YBL068W,PRS4,0.169,0.122,-0.364,-0.745,0.261,0.71
1,9,18,YAL058C-A,,0.325,-0.079,0.036,-0.384,0.573,-0.663
1,9,19,YBL067C,UBP13,0.366,0.105,-0.482,-0.494,0.334,-1.387
1,9,20,YAL056W,GPB2,0.365,0.102,0.052,-0.178,0.176,0.029
1,9,21,YBL066C,SEF1,-0.132,0.576,-0.309,-0.551,0.308,-0.59
1,9,22,YAL055W,PEX22,0.329,0.337,-0.568,0.249,0.111,0.022
1,9,23,YBL065W,,-0.089,0.062,0.168,0.04,0.163,0.014
1,10,2,YBR090C,,0.236,0.216,0.093,0.078,-0.395,0.191
1,10,3,YBR199W,KTR4,-0.071,0.242,-0.108,-0.353,-0.103,0.817
1,10,4,YBR084W,MIS1,0.074,-0.198,0.159,-0.049,-0.032,0.551
1,10,5,YBR197C,,0.213,-0.009,0.249,0.344,0.009,0.19
1,10,6,YBR084C-A,RPL19A,0.198,-0.987,-0.903,-0.476,-0.255,-1.323
1,10,7,YBR195C,MSI1,-0.078,-0.421,-0.137,-0.081,-0.046,-0.015
1,10,8,YBR083W,TEC1,-0.024,0.155,-0.651,-0.961,0.111,-0.687
1,10,9,YBR194W,SOY1,0.588,-0.726,0.66,0.19,0.023,1.078
1,10,10,YBR082C,UBC4,0.345,0.256,-0.247,0.182,0.091,0.265
1,10,11,YBR189W,RPS9B,0.426,0.043,-0.017,0.074,0.649,-0.234
1,10,12,YBR077C,SLM4,0.33,-0.064,-0.24,-1.122,1.063,-0.381
1,10,13,YBR188C,NTC20,0.311,-0.385,-0.073,-0.029,-0.086,0.828
1,10,14,YBR076W,ECM8,-0.824,0.148,-0.173,-0.04,-0.211,-1.397
1,10,15,YBR187W,,0.114,-0.217,-0.832,-1.047,0.616,0.111
1,10,16,YBR075W,,0.31,-0.138,-0.419,-0.437,0.337,0.151
1,10,17,YBR186W,PCH2,0.253,-0.229,0.4,0.487,0.263,-0.109
1,10,18,YBR074W,,0.305,0.009,-0.157,-0.765,0.424,-0.36
1,10,19,YBR185C,MBA1,-0.737,-0.338,-0.087,-0.777,0.285,-0.394
1,10,20,YBR073W,RDH54,0.335,0.103,-0.188,-0.736,0.524,0.842
1,10,21,YBR184W,,0.381,0.385,-0.088,-0.362,0.323,-0.123
1,10,22,YBR072W,HSP26,0.295,-0.671,-0.214,-1.008,0.145,-0.341
1,10,23,YBR183W,YPC1,0.056,0.098,0.607,0.492,0.215,-0.075
1,11,2,YAR027W,UIP3,-0.025,-0.072,0.242,0.226,-0.255,0.85
1,11,3,YBL094C,,-0.109,0.447,-2.562,-0.144,-0.256,-1.041
1,11,4,YAR023C,,0.053,0.11,0.162,0.129,-0.374,0.758
1,11,5,YBL091C-A,SCS22,0.379,-0.097,-1.363,-0.633,0.272,-1.129
1,11,6,YAR020C,PAU7,0.249,0.115,0.149,0.193,0.081,-0.221
1,11,7,YBL091C,MAP2,0.178,0.406,-0.247,-0.328,0.269,-0.63
1,11,8,YAR018C,KIN3,-0.235,-0.497,0.063,0.056,0.386,0.345
1,11,9,YBL089W,AVT5,0.206,-0.131,-0.761,-0.688,-0.612,-5.088
1,11,10,YAR015W,ADE1,0.171,-0.363,-0.109,-0.193,0.106,-0.396
1,11,11,YBL088C,TEL1,0.2,0.303,-0.213,-0.023,0.106,-0.039
1,11,12,YAR014C,BUD14,0,-0.755,-0.427,-0.074,0.248,-0.24
1,11,13,YBL087C,RPL23A,-0.313,-0.057,0.827,0.147,0.007,0.848
1,11,14,YAR003W,SWD1,0.279,0.125,-0.329,-0.114,-0.042,0.29
1,11,15,YBL086C,,0.246,-0.672,-0.468,0.117,0.222,-0.201
1,11,16,YAR002W,NUP60,0.202,-0.244,0.07,0.465,0.177,-0.089
1,11,17,YBL085W,BOI1,0.271,-0.586,-0.05,-0.263,0.246,0.056
1,11,18,YAR002C-A,ERP1,0.274,-0.167,-0.159,-1.026,0.619,0.758
1,11,19,YBL083C,,0.316,-0.53,-0.337,-0.085,0.35,-0.177
1,11,20,YAL068C,,0.263,-0.258,0.104,0.113,0.26,0.363
1,11,21,YBL082C,RHK1,0.25,-0.692,-1.152,-0.214,0.252,-0.597
1,11,22,YAL067C,SEO1,0.306,0.155,0.053,-0.644,0.185,-0.324
1,11,23,YBL081W,,0.174,0.05,-0.691,0.362,-0.031,0.15
1,12,2,YBR104W,YMC2,0.077,0.252,-0.216,-0.656,-0.125,-0.961
1,12,3,YBR212W,NGR1,0.097,0.228,-0.494,-0.787,-0.11,-1.097
1,12,4,YBR103W,SIF2,-0.258,0.058,-0.27,0.007,-0.196,-2.71
1,12,5,YBR210W,ERV15,0.2,-0.346,0.379,0.309,-0.115,-0.304
1,12,6,YBR101C,FES1,0.227,-0.311,0.175,0.138,-0.397,0.52
1,12,7,YBR209W,,0.194,1.011,-0.041,0,0.117,0.231
1,12,8,YBR100W,,0.211,0.445,-0.198,-0.243,0.432,-0.471
1,12,9,YBR208C,DUR1-2,0.373,-2.483,0.293,-0.324,0.294,-1.978
1,12,10,YBR099C,,0.249,0.297,-0.245,-0.303,0.241,-0.244
1,12,11,YBR207W,FTH1,0.284,-0.255,-0.245,-0.092,0.126,-0.152
1,12,12,YBR098W,MMS4,0.303,0.014,-0.538,-0.193,0.007,0.668
1,12,13,YBR206W,,0.301,-0.1,-0.145,-0.942,0.504,-0.543
1,12,14,YBR095C,RXT2,0.363,0.058,-0.642,-0.33,0.136,0.567
1,12,15,YBR205W,KTR3,0.353,-0.831,0.429,0.32,0.155,0.83
1,12,16,YBR094W,,0.305,-0.051,0.396,-0.537,0.378,-0.36
1,12,17,YBR204C,,0.214,0.216,0.025,-1.127,0.536,0.095
1,12,18,YBR093C,PHO5,0.243,0.422,-0.366,-1.456,0.316,-1.368
1,12,19,YBR203W,COS111,0.223,-0.258,0.321,0.275,0.217,0.654
1,12,20,YBR092C,PHO3,0.311,0.363,-0.552,-0.711,0.417,-0.584
1,12,21,YBR201W,DER1,0.257,0.05,0.155,-0.189,0.481,0.91
1,12,22,YBR090C-A,,0.097,0.319,-0.396,-0.013,-0.129,-0.687
1,12,23,YBR200W,BEM1,0.201,-2.508,-1.438,-0.417,-0.642,-2.281
1,13,2,YAR047C,,-0.018,0.143,0.26,0.035,-0.07,-0.257
1,13,3,YBR001C,NTH2,0.191,0.216,-0.298,-0.067,0.114,-0.943
1,13,4,YAR044W,OSH1,0.278,-0.152,-1.456,-5.541,0.355,-0.482
1,13,5,YBL107C,,0.168,0.17,-0.168,-0.571,-0.351,0.7
1,13,6,YAR043C,,0.187,0.314,-0.232,-0.654,-0.091,0.566
1,13,7,YBL106C,SRO77,0.113,0.475,-0.27,-1.982,-0.042,-0.885
1,13,8,YAR042W,SWH1,0.229,-0.676,-0.252,-0.198,-0.017,0.941
1,13,9,YBL104C,,0.25,-0.175,-0.63,-1.927,0.194,-0.137
1,13,10,YAR040C,,-0.328,-0.055,-0.187,-1.175,0.476,-0.101
1,13,11,YBL103C,RTG3,0.239,-0.564,-0.573,-0.214,-0.094,-0.906
1,13,12,YAR037W,,0.296,-0.153,0.274,-0.455,0.009,-0.143
1,13,13,YBL102W,SFT2,0.376,-0.007,-0.38,-1.044,0.327,-0.008
1,13,14,YAR035W,YAT1,0.322,-0.179,0.264,-0.271,0.089,-0.141
1,13,15,YBL101C,ECM21,0.336,-0.325,0.096,0.375,0.345,0.523
1,13,16,YAR031W,PRM9,0.281,0.282,-0.72,-1.412,0.594,0.596
1,13,17,YBL100C,,0.291,-0.409,0.109,-0.242,0.347,0.475
1,13,18,YAR030C,,0.241,0.247,0.004,0.128,0.367,0.36
1,13,19,YBL098W,BNA4,0.29,0.201,-0.138,-1.157,0.531,-0.69
1,13,20,YAR029W,,0.333,-0.02,-0.365,-0.438,0.686,-0.594
1,13,21,YBL096C,,0.102,0.198,-0.361,-0.912,0.754,-0.795
1,13,22,YAR028W,,0.149,-0.253,0.19,0.423,0.149,0.029
1,13,23,YBL095W,,-0.111,0.159,-0.515,0.498,-0.168,-0.305
1,14,2,YBR121C,GRS1,0.04,0.036,0.377,-5.069,-0.451,-0.21
1,14,3,YBR223C,TDP1,0.127,0.161,-0.314,-0.612,-0.148,-0.214
1,14,4,YBR119W,MUD1,-0.022,-0.076,0.124,0.257,-0.357,0.157
1,14,5,YBR222C,PCS60,0,-0.05,0.324,0.274,0.014,-0.164
1,14,6,YBR116C,,0.245,0.201,-0.243,-0.969,0.004,-0.854
1,14,7,YBR221C,PDB1,0.484,-0.375,-0.441,-0.471,-0.063,0.748
1,14,8,YBR115C,LYS2,0.289,-0.556,0.217,-0.226,-0.218,0.593
1,14,9,YBR220C,,0.43,-0.158,0.207,-0.499,0.066,0.378
1,14,10,YBR114W,RAD16,-0.165,0.218,-0.417,-0.669,0.155,-0.323
1,14,11,YBR219C,,0.575,0.385,0.067,-0.217,0.02,0.308
1,14,12,YBR113W,,-0.313,0.017,-0.056,0.01,0.193,-0.069
1,14,13,YBR218C,PYC2,-0.912,0.066,-0.373,-0.539,0.151,0.274
1,14,14,YBR111C,YSA1,0.438,0.105,-1.702,-0.846,0.044,0.551
1,14,15,YBR217W,ATG12,0.391,-0.278,0.091,-0.187,0.014,-0.08
1,14,16,YBR108W,,0.388,-0.17,-0.369,-0.228,0.272,0.506
1,14,17,YBR216C,YBP1,-0.256,-0.016,-0.427,-0.713,0.519,0.378
1,14,18,YBR107C,IML3,0.367,-0.396,0.059,-0.595,0.217,-0.045
1,14,19,YBR215W,HPC2,0.371,0.057,0.031,0.12,0.003,-1.557
1,14,20,YBR106W,PHO88,0.314,0.28,-1.659,0.599,0.566,0.398
1,14,21,YBR214W,SDS24,0.222,-0.08,0.297,-0.643,0.204,-0.428
1,14,22,YBR105C,VID24,-0.083,-0.291,-1.161,0.737,0.737,0.531
1,14,23,YBR213W,MET8,-0.017,-0.193,0.267,0.129,0.107,-0.074
1,15,2,YBL015W,ACH1,0.091,-0.031,0.157,0.013,-0.348,0.386
1,15,3,YBR016W,,0.035,-0.047,-0.535,0.283,-0.241,0.273
1,15,4,YBL013W,FMT1,0.045,-0.148,0.109,0.342,-0.245,-0.162
1,15,5,YBR015C,MNN2,0.147,-0.009,-0.279,-0.412,0.241,0.799
1,15,6,YBL011W,SCT1,0.282,0.121,-0.008,-3.304,0.359,-1.131
1,15,7,YBR014C,,0.251,0.132,-0.211,-1.785,0.362,-0.967
1,15,8,YBL010C,,0.334,0.048,0.546,-0.398,-0.084,-0.129
1,15,9,YBR013C,,-1.003,-0.226,-0.32,-0.966,0.241,-0.746
1,15,10,YBL009W,,-0.828,0.116,-0.203,-1.385,0.327,-1.046
1,15,11,YBR012C,,0.515,-0.033,-0.137,0.109,-0.079,-0.233
1,15,12,YBL008W,HIR1,-0.166,-0.11,-0.248,-0.606,-0.354,-0.186
1,15,13,YBR010W,HHT1,-0.745,0.326,-0.332,-0.615,0.038,-0.183
1,15,14,YBL007C,SLA1,0.511,-0.663,-0.67,-0.026,0.075,0.218
1,15,15,YBR009C,HHF1,-0.919,0.159,-0.913,-0.288,0.56,0.175
1,15,16,YBL005W,PDR3,-0.07,-0.163,0.709,-0.145,0.151,-0.303
1,15,17,YBR008C,FLR1,0.405,-0.091,-0.276,0.096,0.083,0.342
1,15,18,YBL003C,HTA2,-0.127,-0.146,-0.239,-0.824,0.468,-0.534
1,15,19,YBR007C,DSF2,-0.228,0.268,-0.078,-0.549,0.626,-0.436
1,15,20,YBL001C,ECM15,0.328,-0.015,0.567,-0.315,0.258,-0.29
1,15,21,YBR006W,UGA2,-0.177,0.298,-0.31,-0.892,0.344,-0.289
1,15,22,YAR050W,FLO1,0.242,0.073,0.204,0.442,0.079,-0.516
1,15,23,YBR005W,RCR1,0.165,0.213,0.314,-0.776,0.31,-0.209
2,2,2,YCR076C,,-0.272,0.011,-0.245,0.119,0.161,0.118
2,2,3,YDL090C,RAM1,-0.131,-1.907,0.874,0.356,-0.56,-5.158
2,2,4,YCR075C,ERS1,-0.045,0.2,-1.002,-0.208,0.275,-0.244
2,2,5,YDL089W,,0.039,-0.497,-0.025,-0.024,0.352,-0.205
2,2,6,YCR073W-A,SOL2,0.002,-0.626,-0.187,-0.198,0.375,-0.32
2,2,7,YDL088C,ASM4,-0.072,-0.066,0.326,-0.103,0.362,0.01
2,2,8,YCR073C,SSK22,0.026,0.246,-0.463,-0.569,0.568,0.083
2,2,9,YDL086W,,0.019,0.102,0.372,-0.122,0.422,0.568
2,2,10,YCR071C,IMG2,-0.809,-1.271,0.396,-0.366,0.525,0.179
2,2,11,YDL085W,NDE2,0.195,0.231,-0.104,0.081,-0.184,0.481
2,2,12,YCR069W,CPR4,-0.554,-0.055,-0.795,-0.268,0.54,-0.432
2,2,13,YDL083C,RPS16B,-0.845,0.308,-0.485,0.493,0.304,0.249
2,2,14,YCR068W,ATG15,-0.681,0.093,0.197,-0.065,-0.003,0.516
2,2,15,YDL082W,RPL13A,-0.062,0.182,0.31,0.169,0.41,0.245
2,2,16,YCR067C,SED4,-0.613,0.385,-0.286,-0.627,0.538,0.025
