orf	hom | cell cycle progression in G1 phase | YPD [standard] | Hoose SA~Polymenis M, 2012
YBR059C	-0.13620837873192113
YBR062C	-0.7732547948259335
YBR063C	-0.2307612939754185
YBR064W	0.45423967822139333
YBR065C	-0.09834975670096435
YBR066C	-0.1107079421960949
YBR067C	-0.5128214364461775
YBR068C	-0.08003009811790292
YBR069C	2.739150971953439
YBR071W	-0.2935706795751256
YBR072W	0.43122570536051386
YBR073W	-0.20837664106573708
YBR074W	-0.037400489248696926
YBR076W	-0.5646005384454413
YBR077C	0.09749019785703396
YBR083W	0.0509304176588435
YBR084C-A	0.12722523525567045
YBR084W	2.0902747012681053
YBR089C-A	1.2082345197661253
YBR090C	-1.1163706912446978
YBR092C	-0.2999222427221894
YBR093C	0.49462327668454215
YBR094W	0.6393348497825209
YBR098W	-0.5042879930267816
YBR101C	-0.5259892709723061
YBR103W	0.45322978605458447
YBR104W	0.3975555302649059
YBR105C	1.6872866182094666
YBR107C	-0.06889583014528383
YBR108W	0.9421218957791389
YBR112C	0.2666962785265
YBR114W	1.4938731126036242
YBR116C	0.06671192285314474
YBR119W	-3.911267278206896
YBR120C	1.4211833220212817
YBR125C	-0.47833677413075265
YBR127C	0.9939602408000361
YBR128C	0.26064516224589884
YBR129C	-0.7019212233340909
YBR130C	-1.1996009235830096
YBR131W	-0.9947762143890054
YBR133C	-0.34728230567548046
YBR134W	-2.1364846395604435
YBR137W	-1.965589829556712
YBR139W	-0.9608658069424239
YBR141C	-0.49989315575182147
YBR145W	-0.7712720719695392
YBR146W	-0.6083590748470478
YBR147W	-0.400331327051609
YBR148W	0.1635281982390854
YBR149W	-0.49053508430598036
YBR150C	-0.11948322285869493
YBR151W	-0.23352273665109638
YBR156C	-1.0362755041692786
YBR157C	-0.5272984587152508
YBR158W	-0.396397770627882
YBR159W	-1.1604726117853117
YBR161W	-0.33061997325852743
YBR162C	-0.794517345772484
YBR164C	-0.7097911628157827
YBR168W	0.608614304764508
YBR169C	-0.6053646509204259
YBR170C	0.13297558501560441
YBR172C	-0.18244055074168775
YBR173C	-1.4352435243616009
YBR174C	0.08241786220291131
YBR175W	-0.09943767099835446
YBR176W	0.993595966516379
YBR177C	0.16331335506527356
YBR178W	1.216787897756716
YBR179C	2.928213331567267
YBR180W	0.8868445645580673
YBR181C	3.028331895059733
YBR182C	0.47200466967935806
YBR183W	-0.314200298842631
YBR184W	0.49470049688606127
YBR185C	0.23520541230151015
YBR186W	-0.20243844529777735
YBR187W	-0.5366117706717858
YBR188C	-0.23678934412399874
YBR189W	2.416111127336456
YBR191W	1.1539344452893936
YBR194W	-0.008044849427921722
YBR195C	-0.21935197573436352
YBR197C	-0.5244141336802637
YBR199W	-0.8251223183689272
YBR201W	-0.035076215685211104
YBR203W	-0.1906608176264189
YBR204C	-0.7212077463180783
YBR205W	-0.2640412167022369
YBR206W	-0.8093824798723528
YBR207W	-1.1011832589599044
YBR208C	-0.773298467040435
YBR210W	-0.3382320017764079
YBR212W	-0.17876387353686038
YBR213W	-0.670855714969488
YBR214W	-0.005963028080739373
YBR215W	0.046934713692206066
YBR216C	-0.5444553370508964
YBR217W	-0.5920188837057301
YBR218C	0.19141728367285557
YBR219C	-0.19663533025973162
YBR220C	-0.5548567763331375
YBR221C	-0.04383242833441247
YBR222C	0.12923500125106474
YBR223C	-0.8538253117395384
YBR224W	0.3348081834294722
YBR225W	-0.007999670666210781
YBR226C	-0.08513656413544907
YBR227C	-0.3169999937547524
YBR228W	0.362058354563562
YBR229C	1.0578470984158417
YBR230C	0.4637872616460688
YBR231C	-0.6568011785632948
YBR232C	0.40980478905140105
YBR233W	-0.6976784327035331
YBR235W	0.05114012033258788
YBR238C	0.04289584049916395
YBR239C	0.215500698606025
YBR240C	0.1558810007255347
YBR241C	0.487177643624137
YBR242W	-0.051555331260665915
YBR244W	1.176253110828305
YBR245C	-0.0503382326795779
YBR246W	-0.08651776178362221
YBR248C	0.18226002945026926
YBR249C	0.022586534554043535
YBR250W	0.087713400207167
YBR255W	1.9084489604672468
YBR258C	0.7958308925637448
YBR259W	-0.20593147190187056
YBR260C	0.4132822595605581
YBR261C	0.43895713220449933
YBR262C	-0.6836414032368926
YBR263W	-0.23095403868563547
YBR264C	0.4815460571006861
YBR266C	2.2654835907342408
YBR267W	2.032724422273123
YBR269C	-0.6994174177975425
YBR270C	0.5081598930791288
YBR271W	0.8050010813609001
YBR272C	-0.6450618209191412
YBR273C	-1.6779985373713615
YBR274W	-1.3445067748338777
YBR275C	-1.2014035805958847
YBR276C	-0.2782894807944255
YBR279W	0.9045801964144394
YBR280C	-0.3381608668452585
YBR281C	1.267877075249005
YBR283C	0.5191996440969984
YBR285W	-0.060137357610457784
YBR286W	-0.6935902376936555
YBR287W	-1.0326411848296464
YBR288C	-0.5943343470278933
YBR290W	0.5977506023063087
