orf	hap a | abundance of a lysin-related metabolite | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of arginine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of biotin | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of N-acetyl ornithine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of leucine + isoleucine + citrulline | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of glutamine + valine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of methionine + proline | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of threonine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of alanine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of serine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of asparagine + tyrosine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of glycine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of lysine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of ornithine | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of glutamate | minimal complete [standard] | Cooper SJ~Fields S, 2010	hap a | abundance of aspartic acid | minimal complete [standard] | Cooper SJ~Fields S, 2010
YOR070C		0.787668439	0.46342613		0.92477201	0.759527715	0.744098028	0.817229659	0.389477672	0.17754539	0.961418132	0.212868055	0.29386935950000004	0.147373833	0.183721816	1.753290323
YOR071C		0.479616734	0.816062339		0.853895323	0.767860772	0.467591525	0.773236457	0.58475946	0.491153601	0.835125927	0.506704326	0.5374845555	0.466990832	0.58875869	0.665806452
YOR072W		0.340578904	0.22563313	0.583727124	0.659406319	0.72680522	0.700375184	0.826177429	0.754522497	0.637172239	0.682377251	0.655581371	0.7240892425000001	0.71936852	0.74580143	0.959870968
YOR073W		1.08679111	0.940363225	0.376836498	0.926459551	0.784120397	2.026634782	1.436117084	1.437556294	1.209631673	1.088708694	1.76301763	1.5131670495	1.216755205	2.526629722	1.786580645
YOR076C		0.78384171	0.593131402	1.1748432	1.002820743	1.168863764	1.224644469	1.050617327	1.381270255	1.524899188	1.042285077	1.322916192	1.25693035	0.955166652	0.066697689	0.921032258
YOR078W	1.005207731	5.382294703	2.159052347	3.33611135	1.447065691	1.165815085	2.631467455	1.275802872	1.166080222	0.950780451	1.135132311	4.280867994	1.6473395775	1.253598663	1.986378442	2.813032258
YOR079C		0.434971559	1.171400742	0.971647049	0.897349483	1.03695756	0.959878359	0.906707359	1.251323709	0.869474618	0.966909097	1.010796775	0.844123536	0.736869163	1.033814177	
YOR080W		1.240498068	0.602589078	0.613282928	0.775846591	1.059517789	0.395934642	1.313830894	1.661071594	1.528217793	1.381227399	0.562859703	1.891804161	1.560320452	2.493280878	0.743483871
YOR081C		0.341216692	0.564758374		1.035305891	1.043664655	0.951376695	0.798588472	1.160650701	0.773235061	1.01483025	0.948111703	0.7240247774999999	0.663182247	0.976211628	0.743483871
YOR084W		0.434971559	0.449915164	0.820173554	0.780065441	1.005861027	0.207683508	0.670337102	1.068348836	0.786509483	0.775723664	0.942887947	0.604051498	0.580284466	0.736099948	
YOR085W		0.582938424	0.652579652		0.871614495	1.143661346	0.36719092	0.888811819	1.637724652	2.077446989	0.993365567	1.576268355	0.8217184665	1.156884586	0.100652876	0.854451613
