ORF	number of metabolites (lysine-related) in stationary growth phase	number of metabolites (arginine) in stationary growth phase	number of metabolites (biotin) in stationary growth phase	number of metabolites (N-acetyl ornithine) in stationary growth phase	number of metabolites (leucine + isoleucine + citrulline) in stationary growth phase	number of metabolites (glutamine + valine) in stationary growth phase	number of metabolites (methionine + proline) in stationary growth phase	number of metabolites (threonine) in stationary growth phase	number of metabolites (alanine) in stationary growth phase	number of metabolites (serine) in stationary growth phase	number of metabolites (asparagine + tyrosine) in stationary growth phase	number of metabolites (glycine) in stationary growth phase	number of metabolites (lysine) in stationary growth phase	number of metabolites (ornithine) in stationary growth phase	number of metabolites (glutamate) in stationary growth phase	number of metabolites (aspartic acid) in stationary growth phase
YBR275C	NaN	0.416	0.654	0.224	0.637	0.730	0.501	0.695	0.469	0.276	0.703	0.537	0.316	0.384	1.299	1.786
YLR453C	NaN	0.494	0.572	0.693	0.904	0.842	0.781	0.433	0.885	0.219	0.804	0.865	0.650	0.532	1.248	1.282
YHL027W	1.140	0.700	0.512	0.392	1.038	0.822	0.940	0.568	1.216	2.081	0.931	0.850	0.629	0.839	1.995	2.042
YMR139W	NaN	0.888	1.909	NaN	1.064	1.098	1.106	0.664	1.079	0.448	1.142	1.024	0.533	0.712	1.177	0.481
YMR154C	NaN	2.378	NaN	2.105	1.709	1.175	2.284	NaN	1.201	1.384	1.617	0.980	1.032	1.954	12.771	15.549
YFL033C	NaN	1.650	0.605	1.145	1.089	1.117	1.884	1.566	1.396	1.540	0.977	1.511	0.515	1.022	1.316	NaN
YOR275C	1.000	1.869	NaN	NaN	1.059	0.960	2.586	1.071	1.385	1.000	1.032	1.133	0.477	0.483	1.023	0.995
YNL294C	NaN	0.439	0.394	0.466	0.897	0.941	0.745	1.113	1.256	1.411	0.960	1.141	0.438	0.653	0.451	1.261
YHL024W	1.095	0.708	0.793	0.711	1.039	1.142	0.767	0.883	0.830	0.407	1.148	0.797	0.771	0.805	1.057	1.123
YGL045W	NaN	0.929	NaN	NaN	1.144	1.028	0.576	1.565	1.674	2.499	1.292	1.534	0.511	0.491	0.717	NaN
YMR063W	NaN	0.713	1.159	0.317	0.876	0.752	0.773	0.843	1.094	0.416	1.300	1.032	0.373	0.416	1.125	0.681
YOR191W	4.704	1.099	1.500	NaN	1.058	1.288	1.228	1.016	1.134	NaN	0.799	0.862	0.932	1.235	0.819	0.724
YMR283C	0.071	0.808	0.432	0.304	0.959	0.977	1.169	0.850	1.437	0.862	0.781	0.725	1.215	1.033	2.627	0.899
YPL208W	NaN	1.492	0.492	0.341	0.919	1.199	1.609	0.537	1.257	1.164	1.009	0.968	0.607	1.174	2.384	0.490
YPR018W	NaN	0.830	0.833	0.544	0.800	0.900	0.858	0.670	0.958	0.463	0.922	1.213	1.103	1.710	1.195	0.242
YPL089C	NaN	1.268	NaN	0.724	0.863	1.222	0.900	1.308	1.013	0.524	0.857	1.021	1.211	0.213	1.347	1.313
YNL139C	NaN	1.802	0.740	1.752	1.656	0.939	0.877	1.308	0.729	0.722	0.698	1.052	2.005	1.072	2.732	2.269
YKL132C	NaN	0.744	NaN	0.223	0.780	0.839	0.937	0.937	0.800	0.521	0.918	1.138	0.682	0.930	1.727	1.073
YDL001W	NaN	1.022	NaN	1.599	1.057	1.038	1.245	NaN	1.057	1.017	0.991	1.096	0.348	1.133	2.064	2.744
YHL023C	1.140	0.721	0.609	0.432	1.160	0.906	0.472	0.617	0.994	1.712	0.894	1.045	0.452	0.691	1.279	0.967
YDR255C	0.500	0.389	NaN	1.308	0.558	1.043	0.297	0.351	1.191	0.414	0.681	1.881	0.485	0.381	0.962	0.466
YFR048W	NaN	0.910	0.906	1.959	0.812	0.919	1.082	0.379	1.440	0.887	0.780	0.892	0.846	1.133	0.863	0.957
YGL107C	NaN	1.991	NaN	2.531	1.793	1.574	1.548	NaN	1.805	1.387	1.710	1.440	2.881	NaN	5.512	1.282
YGR044C	0.168	0.922	NaN	0.275	0.947	0.990	0.994	2.145	0.932	0.419	1.254	0.862	0.984	1.174	3.229	3.605
YPL024W	NaN	1.398	8.671	NaN	1.155	0.823	1.151	1.375	0.657	0.835	1.076	1.076	2.695	2.406	1.864	4.897
YDR465C	NaN	0.602	1.426	NaN	0.782	0.844	0.648	0.370	0.788	1.177	0.925	0.657	0.650	0.336	0.675	1.234
YMR234W	NaN	0.933	1.264	0.404	1.090	0.997	0.481	1.131	0.487	0.951	1.384	0.736	0.420	1.637	2.775	1.134
YNL072W	1.783	2.480	4.232	0.822	1.456	1.540	1.790	1.109	1.631	1.881	2.294	2.072	1.213	1.588	6.443	7.402
YDR279W	0.500	0.475	1.454	NaN	1.130	1.001	0.610	0.764	0.897	0.408	1.198	0.839	0.636	0.472	1.047	0.561
YGR276C	NaN	1.344	0.459	0.934	0.925	1.055	1.016	2.104	0.758	1.141	0.673	1.004	0.573	0.426	2.150	0.327
YCL028W	NaN	0.769	0.614	0.422	0.897	0.910	0.972	1.743	0.793	0.290	0.971	1.108	0.593	0.668	1.398	1.947
YER070W	NaN	0.432	0.693	NaN	0.843	0.945	0.255	0.669	1.301	1.586	0.771	0.938	0.748	0.783	0.935	0.660
YIL066C	0.500	0.616	0.854	0.725	0.635	0.695	0.633	1.354	0.445	0.314	0.790	0.612	0.466	0.617	1.133	0.770
YPL123C	9.165	0.335	1.039	4.294	1.173	0.755	0.716	0.157	0.336	1.361	1.577	0.436	2.626	0.772	0.718	0.647
YOR018W	NaN	1.624	NaN	NaN	0.758	0.770	0.448	0.872	0.338	0.791	1.075	0.311	0.343	0.297	0.413	0.519
YGL144C	0.773	0.109	3.338	NaN	1.056	1.085	1.041	1.247	0.858	0.864	0.825	1.026	1.133	NaN	7.652	0.490
YFR022W	NaN	0.236	NaN	0.557	0.996	1.011	0.439	7.877	0.255	0.663	1.242	0.343	0.132	0.216	0.859	0.496
YGR070W	NaN	1.518	4.665	0.958	1.235	1.415	0.695	1.863	1.162	1.758	1.203	1.282	1.238	1.559	1.622	0.433
YLR371W	0.172	0.442	NaN	NaN	0.942	0.741	0.429	NaN	0.704	0.494	0.993	0.640	1.346	NaN	5.411	8.359
YBR229C	1.672	0.701	4.151	1.105	0.811	0.882	0.845	0.940	1.328	0.455	1.005	1.233	2.416	1.101	1.389	1.879
YPR065W	1.924	2.420	1.618	5.267	1.322	1.777	1.744	1.594	2.213	3.725	1.559	1.417	0.980	2.557	1.403	1.501
YBL093C	NaN	0.572	NaN	0.000	0.622	0.963	0.649	0.559	1.318	1.141	0.724	0.859	0.312	0.163	0.455	2.332
YJR063W	1.644	1.090	1.427	2.974	1.509	0.649	0.697	1.253	0.470	1.048	0.982	0.243	5.849	1.589	2.031	3.087
YDR156W	NaN	0.704	NaN	0.144	0.801	0.812	0.631	0.377	0.727	0.540	1.076	0.517	1.123	2.793	3.763	5.534
YJL148W	NaN	0.745	NaN	1.714	0.986	0.782	0.305	0.883	0.825	NaN	0.928	0.852	0.900	1.396	1.143	1.252
YNL248C	2.907	0.768	0.221	1.248	0.920	0.821	1.094	0.870	0.863	0.785	0.952	1.258	1.737	0.974	1.870	0.763
YJL140W	NaN	0.989	NaN	NaN	1.067	0.270	0.603	0.323	0.224	NaN	0.541	0.252	13.106	NaN	2.236	1.229
YGL070C	NaN	1.262	NaN	0.489	0.820	1.098	1.303	1.202	1.200	0.489	0.913	1.001	0.868	1.039	0.800	1.466
YJL121C	NaN	0.948	2.106	5.499	1.388	0.870	0.795	0.349	0.894	1.469	0.942	0.727	3.645	0.623	4.334	2.852
YER169W	0.000	0.107	1.455	NaN	0.415	0.481	0.362	0.753	0.426	0.473	0.436	0.428	0.781	NaN	0.489	0.000
YIL119C	0.000	1.049	NaN	1.088	0.909	0.926	1.108	NaN	0.984	1.061	0.992	0.871	0.485	1.596	3.362	1.115
YGR085C	NaN	0.767	NaN	3.253	0.822	0.737	1.234	0.838	1.002	1.060	0.837	1.126	0.406	0.553	0.972	1.023
YDR418W	0.500	0.808	NaN	3.580	1.250	1.011	1.145	1.956	0.823	0.634	1.070	1.475	0.579	1.330	1.239	1.384
YMR142C	10.117	0.670	NaN	1.452	1.169	0.805	0.638	0.579	1.010	1.000	0.573	0.650	3.455	1.817	1.577	0.964
YKL006W	NaN	2.718	NaN	3.293	1.702	1.389	3.351	2.459	2.350	NaN	1.948	0.147	1.132	3.007	1.830	0.777
YMR121C	NaN	0.518	NaN	1.885	0.615	0.837	0.930	NaN	0.784	0.797	0.861	0.750	0.174	2.175	1.960	0.872
YIL133C	NaN	0.742	1.631	NaN	0.493	0.935	1.575	0.769	1.225	1.000	0.529	1.224	0.658	0.636	0.652	0.898
YNL069C	NaN	1.381	0.394	1.004	1.183	1.063	1.622	0.449	1.341	1.190	1.193	1.037	1.067	2.855	4.501	NaN
YNL301C	NaN	0.439	0.204	0.951	0.925	1.008	0.631	1.029	0.614	0.653	1.157	0.959	0.515	0.536	0.329	1.679
YBL027W	NaN	0.371	NaN	0.000	1.151	0.909	0.679	1.122	0.290	0.486	1.229	0.336	0.512	0.397	0.820	1.255
YPL220W	0.391	1.960	1.062	1.500	1.189	1.291	1.933	1.006	1.303	1.795	2.647	2.194	0.587	1.156	2.370	1.314
YMR242C	1.388	1.008	0.698	0.187	1.506	1.462	1.302	0.549	1.598	0.751	0.732	0.853	0.832	0.723	2.505	1.653
YOR312C	1.145	3.527	0.138	1.175	1.122	1.317	1.199	1.288	0.596	0.737	1.233	1.982	2.416	2.303	2.513	2.186
YBR191W	4.552	1.986	2.421	NaN	1.055	0.698	1.182	NaN	0.979	NaN	1.182	0.966	8.637	NaN	2.350	2.244
YPL079W	NaN	0.783	NaN	2.597	1.215	1.090	1.465	1.085	0.867	4.649	1.148	0.709	0.592	1.122	0.734	0.624
YLR061W	0.420	0.484	1.270	0.939	1.192	0.600	0.279	0.529	0.973	1.102	0.939	0.962	0.813	0.639	0.877	0.976
YBL087C	0.000	0.856	0.518	0.528	0.963	0.836	1.257	1.145	0.765	0.493	0.978	1.278	1.067	1.024	1.542	1.712
YER117W	3.869	1.536	0.430	5.422	1.456	0.882	2.243	2.031	1.171	0.637	1.330	1.511	1.293	26.472	1.604	0.000
YGR148C	NaN	0.612	1.445	NaN	0.561	0.492	0.302	0.590	0.164	0.431	0.503	0.373	0.091	0.586	1.666	NaN
YLR344W	0.401	0.871	0.000	NaN	0.239	0.308	0.536	0.136	0.428	NaN	0.603	0.937	0.585	NaN	0.310	NaN
YGR034W	0.863	1.644	0.075	2.560	1.234	0.889	1.607	0.694	1.517	0.329	1.670	1.338	2.612	0.964	6.794	4.023
YDR471W	NaN	1.170	NaN	1.770	1.029	1.028	1.040	0.807	0.961	1.446	0.946	1.079	0.645	1.274	1.314	1.389
YIL018W	0.500	0.823	1.217	0.792	0.877	0.793	0.722	1.333	0.792	0.935	0.864	1.152	0.819	1.367	2.168	1.412
YDL075W	6.352	0.142	0.646	NaN	2.178	0.664	0.638	0.295	0.774	1.344	2.553	2.227	3.963	NaN	NaN	NaN
YLR406C	NaN	0.455	NaN	NaN	0.853	0.830	0.644	NaN	0.695	0.607	0.756	0.523	0.234	0.215	0.923	NaN
YOR234C	NaN	1.051	1.128	NaN	0.531	0.651	1.203	0.512	1.025	0.808	0.830	1.123	0.599	0.958	4.458	7.916
YIL052C	11.788	0.872	1.515	1.458	1.065	0.696	0.955	1.175	0.864	0.571	0.930	1.000	3.929	0.776	4.914	5.420
YDL191W	NaN	0.363	1.248	NaN	0.908	0.878	0.319	0.844	0.695	1.000	1.113	0.346	0.490	0.332	0.362	0.683
YDL136W	0.109	0.796	1.022	0.296	0.931	0.843	0.783	2.873	0.451	3.224	0.639	0.693	0.650	0.817	1.292	1.209
YMR194W	0.152	0.702	1.194	1.479	0.969	0.599	1.363	1.108	0.552	0.105	1.572	0.689	0.859	0.212	1.276	3.339
YLR185W	NaN	0.486	3.425	0.569	1.132	0.966	0.583	0.768	0.931	0.730	0.624	0.678	0.191	2.980	1.201	1.365
YDR500C	1.443	0.807	0.978	1.401	1.210	0.845	0.908	0.595	1.005	1.731	0.889	1.197	0.900	2.512	4.407	4.272
YLR325C	NaN	0.524	NaN	NaN	0.738	0.860	1.000	0.868	0.941	NaN	0.753	0.778	0.525	0.914	0.938	0.964
YJL189W	20.022	1.483	1.935	3.487	1.709	0.829	1.654	NaN	1.458	1.087	0.942	0.945	0.268	5.183	9.946	0.763
YIL148W	NaN	0.890	0.499	1.053	0.985	0.808	0.669	0.277	1.161	0.756	0.782	1.348	1.831	0.564	3.470	3.010
YKR094C	0.500	0.357	NaN	NaN	0.837	0.897	0.782	0.670	1.051	0.969	1.059	0.596	0.277	0.723	0.757	1.475
YDL184C	0.500	0.559	NaN	0.902	0.784	0.804	0.747	0.310	0.818	0.727	0.839	0.754	0.432	0.589	1.115	0.964
YPR043W	0.500	1.217	2.088	NaN	0.985	0.810	1.879	0.572	1.554	0.892	1.050	1.126	1.339	4.366	2.527	3.075
YBR031W	NaN	0.620	NaN	0.000	0.987	1.018	0.897	0.901	0.943	0.699	0.945	0.902	0.630	0.969	1.187	0.992
YML073C	NaN	1.005	1.087	1.136	0.838	1.251	1.533	1.701	1.240	1.211	0.928	1.066	0.621	0.740	0.808	NaN
YLR448W	0.000	0.810	5.179	2.795	1.249	0.689	1.144	0.430	1.104	0.324	0.935	1.135	1.955	4.417	6.117	5.345
YPL198W	NaN	0.879	0.483	0.371	1.053	1.115	1.030	0.492	1.165	1.159	1.166	1.277	0.635	0.763	2.195	2.640
YHL033C	1.113	0.984	2.329	0.658	1.107	0.795	0.584	0.482	1.339	0.754	0.839	1.085	2.737	0.294	1.271	2.892
YGL147C	0.000	1.324	3.704	NaN	1.286	1.107	1.116	1.211	0.854	0.997	0.964	1.056	0.975	NaN	8.706	5.081
YNL067W	0.795	0.949	0.950	0.587	0.781	0.716	0.825	0.715	1.161	1.147	0.806	1.011	2.395	0.621	5.679	1.350
YHR200W	NaN	1.670	0.657	5.489	1.242	1.212	1.369	0.456	1.444	1.756	1.115	1.334	0.996	1.276	1.466	1.687
YLR421C	NaN	0.515	NaN	NaN	0.905	0.916	0.309	0.875	1.028	NaN	0.786	0.608	0.459	0.765	0.713	0.635
YGL004C	NaN	0.528	0.922	0.515	1.150	1.262	0.501	0.479	1.074	0.491	0.990	0.643	0.556	0.618	0.286	2.300
YDL020C	NaN	0.588	0.810	NaN	0.853	0.884	0.501	NaN	0.842	0.711	1.001	0.584	0.579	4.847	2.081	3.270
YFL036W	NaN	0.715	3.016	NaN	0.846	1.413	0.551	0.932	1.275	NaN	0.965	1.696	0.719	0.755	1.223	1.975
YDL130W	0.303	0.604	0.000	1.742	1.008	0.917	1.097	0.231	1.026	0.808	0.870	0.703	0.605	1.310	0.927	0.804
YOL039W	NaN	0.850	1.373	NaN	1.007	0.996	1.072	1.060	0.796	0.757	0.809	0.763	0.632	0.388	0.823	0.552
YDR382W	39.000	1.910	NaN	8.404	2.524	1.387	1.963	1.463	2.178	1.048	0.818	1.048	6.549	1.242	6.735	7.906
YGR214W	6.888	1.338	1.128	5.972	1.562	1.315	2.228	1.511	1.694	1.169	1.276	1.987	2.228	2.090	7.722	2.311
YLR048W	12.697	1.417	2.046	2.728	1.512	0.691	1.479	1.181	0.814	0.740	0.989	2.655	3.986	2.078	3.972	3.686
YOR293W	NaN	0.464	0.500	NaN	0.938	0.844	0.450	0.820	0.631	0.564	0.992	0.488	0.597	0.636	0.518	0.644
YMR230W	NaN	0.879	0.179	0.855	1.515	1.568	1.256	0.960	1.497	1.212	0.822	1.172	1.248	0.928	2.805	1.158
YDR025W	NaN	0.366	NaN	0.787	0.944	0.727	0.859	0.153	0.597	0.631	0.933	0.374	0.341	0.455	2.345	2.671
YBR048W	5.376	2.627	0.988	14.714	1.657	1.263	2.325	31.635	1.226	1.796	1.243	1.747	1.802	1.444	5.736	7.445
YOR369C	0.972	1.217	1.390	1.007	1.098	1.003	1.002	0.175	1.122	0.750	0.873	1.215	1.227	1.337	NaN	NaN
YCR031C	NaN	0.826	NaN	0.812	0.821	1.200	1.082	0.554	1.117	1.272	0.869	0.951	0.831	1.228	2.978	3.461
YJL191W	0.490	1.204	NaN	0.636	1.310	1.214	1.407	NaN	1.554	1.217	1.009	1.498	0.450	0.924	5.545	6.969
YMR143W	0.409	0.945	0.977	1.897	1.502	0.715	0.676	1.523	0.657	1.340	1.070	1.194	1.134	0.792	4.404	2.181
YML024W	5.184	1.456	0.441	1.808	1.693	0.729	1.604	1.098	1.191	0.551	1.077	2.250	2.733	2.159	10.900	1.548
YDR447C	NaN	0.922	1.366	NaN	1.103	1.158	0.957	0.396	1.149	0.556	0.838	1.339	0.726	1.070	1.345	1.840
YDR450W	NaN	1.156	NaN	NaN	1.063	1.041	0.834	0.359	0.977	1.444	0.968	0.933	0.556	1.015	0.954	1.548
YML026C	NaN	0.662	0.220	0.796	1.116	1.125	0.844	0.225	1.246	0.319	0.824	1.135	1.194	0.929	3.995	2.281
YOL121C	0.500	0.524	NaN	1.419	0.933	0.754	0.891	0.651	0.820	0.385	0.839	0.952	0.893	0.963	1.203	0.874
YNL302C	35.941	1.283	1.328	2.314	1.934	1.092	1.364	1.310	0.994	0.620	1.517	2.096	10.233	6.210	4.558	0.788
YLR441C	NaN	0.653	0.431	3.331	1.216	0.945	1.017	0.435	0.906	0.293	1.063	1.217	1.280	1.487	2.145	2.431
YML063W	7.035	1.153	1.146	1.892	1.623	0.761	1.236	0.113	0.799	0.522	0.995	1.343	2.900	1.793	4.093	1.020
YKR057W	0.500	1.233	8.402	0.526	1.180	1.218	1.122	0.815	0.947	0.521	1.099	0.659	1.261	1.287	1.473	1.045
YJL136C	0.069	0.754	0.259	NaN	0.843	0.623	0.541	0.235	0.936	0.402	0.768	0.526	2.044	0.217	4.178	3.819
YJL190C	0.000	0.476	1.018	2.888	0.754	0.861	0.576	0.827	0.838	0.133	1.279	0.816	1.204	0.552	2.754	1.696
YLR367W	0.650	0.465	NaN	NaN	0.934	0.870	0.507	NaN	0.788	0.681	1.044	0.819	1.266	NaN	5.621	7.599
YGR118W	NaN	0.837	NaN	3.944	1.333	1.456	0.857	0.516	1.593	1.196	1.161	1.121	1.144	1.396	1.172	1.178
YER074W	1.000	1.469	0.000	8.001	1.389	1.089	2.020	1.184	1.369	0.584	1.219	0.920	2.756	2.393	2.091	0.097
YIL069C	0.500	1.088	1.729	1.139	1.003	0.836	1.220	2.075	0.661	0.683	0.926	1.784	1.396	2.632	3.711	3.441
YGR027C	0.216	1.136	NaN	3.193	1.040	1.023	1.154	0.606	1.185	0.464	1.110	1.034	1.419	1.615	3.150	3.518
YLR333C	0.000	1.168	NaN	1.155	1.018	1.005	0.621	0.524	0.854	1.773	0.830	1.039	0.605	0.932	3.575	4.605
YER131W	5.586	0.660	NaN	NaN	1.569	0.938	0.602	1.864	0.737	0.626	2.555	1.526	2.827	NaN	0.369	0.000
YKL156W	NaN	0.576	NaN	1.547	0.826	0.938	0.801	0.684	0.716	0.353	1.118	0.849	0.484	0.709	1.420	1.802
YHR021C	6.144	0.892	3.595	13.416	1.340	0.939	1.077	NaN	0.761	1.083	1.221	0.709	3.187	2.201	2.950	0.678
YOR167C	NaN	0.948	NaN	2.837	1.137	1.050	0.799	1.811	1.436	0.646	1.200	1.446	1.052	1.340	2.260	0.525
YLR264W	1.173	0.972	1.392	3.524	1.194	1.184	1.827	0.566	1.388	1.623	1.209	1.109	1.687	1.549	3.783	2.842
YLR388W	1.249	0.838	0.351	3.082	1.154	0.989	0.782	5.613	0.761	1.143	0.961	0.748	1.113	0.851	1.188	0.342
YJR145C	NaN	0.603	0.659	NaN	0.761	0.702	0.734	0.544	0.759	0.862	0.803	0.560	0.424	0.602	1.194	0.907
YHR203C	NaN	0.834	0.414	4.580	1.179	1.179	1.090	0.435	1.260	1.354	1.061	1.072	1.623	1.092	1.723	1.888
YPL090C	NaN	0.420	NaN	1.035	0.773	0.700	1.095	0.263	1.064	0.494	0.837	0.644	0.698	0.506	0.813	1.194
YBR181C	0.761	0.507	0.574	5.926	1.516	0.489	0.823	0.629	0.715	1.166	0.957	1.119	1.381	1.419	1.241	1.605
YOR096W	6.098	0.801	0.624	1.605	1.835	0.971	1.224	0.324	0.920	0.915	1.281	1.377	6.238	2.365	4.023	3.734
YNL096C	2.388	1.013	0.272	1.510	1.178	1.255	1.195	0.584	1.251	1.391	1.695	1.457	0.783	1.967	3.598	1.739
YBL072C	1.762	0.466	1.598	NaN	0.569	0.655	1.269	0.687	0.827	NaN	0.675	1.101	1.641	1.924	1.076	0.741
YPL081W	NaN	0.609	NaN	0.643	0.963	0.882	0.854	0.463	1.309	2.432	0.988	0.929	0.738	0.247	0.871	2.235
YBR189W	32.171	1.023	0.482	7.324	1.446	0.808	1.371	0.458	1.014	0.382	1.035	1.155	4.281	2.984	4.297	2.822
YIL153W	NaN	0.475	0.617	1.070	1.235	0.909	0.611	0.405	0.958	0.845	0.786	0.650	0.987	0.736	3.088	3.049
YPL152W	1.515	1.729	1.298	NaN	1.014	1.224	1.001	0.838	1.304	1.757	0.941	1.058	1.996	1.577	2.703	1.825
YHR038W	1.333	0.735	NaN	NaN	0.800	0.867	0.633	NaN	1.232	1.000	0.865	0.905	1.220	0.899	0.557	0.849
YDL216C	NaN	0.449	0.484	0.331	0.799	0.761	0.630	0.368	0.737	0.829	0.802	0.620	0.261	0.278	1.018	1.266
YOL117W	0.500	0.849	0.928	4.431	1.172	0.482	1.169	0.848	1.019	0.570	0.642	1.318	0.440	0.774	1.226	1.169
YHR031C	2.199	1.139	1.097	2.849	1.325	1.174	1.449	NaN	1.487	1.152	1.578	1.361	1.255	1.983	2.825	4.539
YBL025W	NaN	0.682	NaN	NaN	1.092	0.985	0.859	1.275	1.231	0.492	1.297	1.124	0.852	0.416	1.129	1.661
YOR001W	NaN	1.606	NaN	0.141	1.088	0.753	0.792	0.795	0.731	0.512	0.868	0.689	2.754	4.044	3.572	1.317
YDR083W	0.980	1.158	0.319	1.377	1.044	1.058	1.175	1.058	1.177	1.064	1.178	1.088	0.931	1.730	2.551	0.621
YPL193W	3.413	0.619	0.325	5.676	1.147	0.745	0.545	2.349	0.449	1.831	0.774	0.522	2.448	1.016	1.626	0.830
YLR221C	NaN	0.710	0.957	NaN	1.015	0.873	0.662	0.867	0.669	NaN	1.031	0.849	0.956	0.585	1.603	1.768
YOR049C	NaN	0.344	0.424	0.303	1.009	1.085	0.746	1.499	0.819	1.006	1.116	0.753	0.503	0.528	1.040	0.280
YGR056W	9.276	2.948	NaN	1.287	1.304	1.081	1.115	0.406	1.380	0.771	0.900	0.990	3.066	0.292	3.789	1.142
YLR357W	0.573	0.342	0.168	0.722	0.818	0.836	1.228	NaN	0.906	0.348	1.146	0.552	0.816	0.501	3.093	1.912
YMR030W	NaN	0.930	NaN	0.832	1.062	1.180	1.168	1.722	1.039	0.637	1.044	0.970	0.564	0.795	4.998	1.179
YJR127C	NaN	0.589	NaN	0.458	0.977	1.007	0.803	0.900	0.940	7.247	1.172	0.824	0.261	0.649	1.518	1.709
YER050C	NaN	1.530	NaN	NaN	1.135	1.042	1.414	NaN	1.220	1.960	1.311	1.306	0.950	0.000	1.501	1.879
YNR037C	1.000	0.746	NaN	NaN	1.077	0.880	0.869	1.269	1.153	0.000	1.011	1.102	1.852	0.667	0.779	2.078
YKL155C	0.176	0.811	NaN	0.201	0.779	0.832	0.899	0.817	0.712	0.431	0.951	0.867	0.506	0.886	2.075	2.382
YGL129C	4.138	1.964	0.780	1.726	1.458	0.835	0.650	NaN	1.045	0.923	1.457	1.497	3.411	NaN	1.318	0.000
YDR175C	NaN	1.472	0.796	5.783	0.934	0.804	0.884	NaN	0.738	1.132	0.776	0.757	0.663	NaN	1.080	1.120
YIL093C	NaN	0.846	1.643	1.163	0.856	0.791	0.981	0.450	0.713	0.371	0.827	1.239	0.683	0.598	1.798	1.261
YDR494W	NaN	0.473	2.368	NaN	0.564	0.623	0.469	NaN	0.550	0.672	0.704	0.430	0.299	0.538	0.803	1.240
YJR113C	NaN	0.814	0.912	3.190	1.594	0.649	0.541	1.045	0.794	1.000	1.468	1.587	4.717	NaN	1.834	1.845
YMR266W	0.238	1.111	1.073	NaN	0.883	0.795	1.000	0.154	0.978	0.811	0.615	1.049	1.501	1.728	NaN	NaN
YGR213C	1.140	0.728	1.526	NaN	0.773	0.915	1.022	1.100	0.814	0.807	0.793	0.832	0.384	0.678	1.822	0.996
YGL244W	NaN	0.866	1.093	1.087	1.253	1.163	0.901	1.004	1.669	NaN	1.298	2.325	0.877	0.736	3.684	3.776
YOL067C	8.526	0.348	NaN	0.000	0.895	0.674	0.341	0.245	1.483	NaN	NaN	1.739	0.480	0.729	1.422	NaN
YGL252C	1.195	0.753	2.122	1.145	2.848	1.309	0.909	1.123	1.601	1.694	0.729	0.905	1.175	NaN	11.060	1.991
YBL103C	0.500	1.061	1.131	1.715	1.342	1.126	0.631	2.459	0.913	0.630	1.657	0.977	1.046	1.244	2.714	2.112
YDR233C	0.381	1.524	3.144	0.593	1.145	1.143	1.385	0.367	0.661	4.884	0.902	1.166	0.759	1.627	NaN	NaN
YDL204W	2.527	1.525	1.864	3.452	1.152	0.944	1.458	1.606	1.095	1.284	1.071	1.484	0.916	1.354	2.916	2.388
YOR014W	NaN	1.136	0.236	0.713	0.781	0.765	1.068	1.074	0.643	0.565	1.104	0.864	0.863	2.261	3.028	1.851
YJL047C	NaN	1.790	NaN	0.786	1.313	1.051	0.820	0.758	0.973	0.491	1.116	0.917	2.784	1.393	3.757	0.712
YGR275W	NaN	1.304	NaN	0.350	1.055	1.120	2.301	0.902	1.533	3.966	0.677	1.414	0.547	1.229	0.846	0.607
YDR289C	0.500	0.504	1.784	0.000	0.720	0.587	0.434	0.408	0.385	0.091	0.784	0.419	0.587	0.339	1.227	0.769
YNL206C	NaN	0.688	1.258	0.917	0.747	0.663	0.688	0.683	0.486	NaN	0.758	0.626	0.950	0.839	0.991	0.552
YHR154W	0.723	0.586	NaN	NaN	0.623	0.635	0.472	NaN	0.672	1.000	0.601	0.711	0.732	0.832	0.723	0.562
YLL002W	NaN	1.704	0.224	0.537	1.000	0.893	1.271	1.538	0.683	0.745	0.886	1.255	2.121	1.382	0.887	0.350
YDR139C	0.500	1.580	1.007	0.000	1.189	1.157	1.178	0.332	1.436	1.058	1.338	1.592	0.770	0.520	1.045	0.927
YOR216C	NaN	1.439	NaN	NaN	1.035	1.487	1.174	1.119	1.106	1.141	0.853	0.719	1.281	1.255	1.146	0.917
YOR138C	NaN	0.938	6.772	NaN	1.067	1.132	1.199	1.096	1.048	NaN	1.106	0.866	0.443	0.853	0.764	0.736
YCR009C	NaN	1.452	1.080	3.718	1.520	1.191	1.746	0.958	1.606	0.822	0.814	1.006	3.490	1.592	1.546	1.594
YBR095C	1.000	2.717	NaN	NaN	1.272	0.728	2.864	1.547	1.218	1.000	1.094	1.660	0.243	2.063	2.516	2.184
YDL076C	NaN	0.617	NaN	2.022	1.077	0.944	0.768	1.471	1.146	0.650	1.238	1.105	1.746	NaN	3.456	5.612
YKL212W	NaN	0.772	1.077	NaN	0.547	0.501	0.946	0.435	0.321	3.503	0.624	0.370	1.019	1.815	1.290	1.110
YDR159W	NaN	0.680	0.674	2.087	1.237	1.035	0.524	0.435	1.050	0.625	0.955	1.498	2.260	1.118	3.478	1.427
YDR129C	1.472	0.497	0.269	9.280	1.276	0.308	0.141	0.499	0.575	0.699	0.663	0.201	9.606	2.527	1.288	1.838
YDR389W	0.500	0.457	0.619	NaN	0.866	0.881	0.448	1.466	0.617	0.483	1.358	0.627	0.796	0.084	2.860	0.629
