ORF	number of metabolites (lysine-related) in stationary growth phase	number of metabolites (arginine) in stationary growth phase	number of metabolites (biotin) in stationary growth phase	number of metabolites (N-acetyl ornithine) in stationary growth phase	number of metabolites (leucine + isoleucine + citrulline) in stationary growth phase	number of metabolites (glutamine + valine) in stationary growth phase	number of metabolites (methionine + proline) in stationary growth phase	number of metabolites (threonine) in stationary growth phase	number of metabolites (alanine) in stationary growth phase	number of metabolites (serine) in stationary growth phase	number of metabolites (asparagine + tyrosine) in stationary growth phase	number of metabolites (glycine) in stationary growth phase	number of metabolites (lysine) in stationary growth phase	number of metabolites (ornithine) in stationary growth phase	number of metabolites (glutamate) in stationary growth phase	number of metabolites (aspartic acid) in stationary growth phase
YKR035W-A	NaN	0.250	NaN	NaN	0.895	1.492	0.410	0.819	1.557	NaN	0.972	0.515	1.119	1.477	1.461	1.047
YLL018C-A	NaN	0.815	1.142	1.525	1.143	0.529	0.840	0.659	0.784	NaN	0.783	1.101	3.184	1.045	1.013	1.837
YLR262C-A	NaN	1.799	0.326	1.697	1.362	1.335	0.466	8.403	1.675	1.013	1.996	1.782	0.713	1.294	4.279	4.302
YLR287C-A	2.129	0.876	2.034	3.111	1.133	1.132	0.713	0.512	1.281	1.155	0.976	1.151	1.313	1.409	6.316	6.855
YLR312W-A	NaN	0.526	0.769	NaN	1.200	0.949	0.306	0.986	0.855	0.984	1.342	1.749	1.129	0.500	0.730	1.441
YLR390W-A	1.000	0.808	NaN	NaN	0.732	0.755	0.894	0.816	0.890	1.000	0.816	0.900	0.456	0.448	0.589	0.742
YML010W-A	1.753	0.340	0.551	0.251	0.788	0.681	0.711	1.208	0.671	0.409	0.744	0.871	0.512	0.562	1.383	1.801
YML013C-A	2.234	0.484	0.318	0.612	1.020	0.954	1.175	1.373	1.215	0.430	1.046	0.801	1.537	1.513	2.078	2.305
YML035C-A	0.267	0.595	0.381	0.227	0.965	1.018	0.730	0.245	1.012	0.530	0.777	0.822	0.663	0.493	4.016	NaN
YML048W-A	0.678	1.157	0.280	0.842	1.303	1.061	1.272	2.302	0.809	2.297	1.892	1.004	1.131	1.005	2.265	6.823
YML058C-A	0.284	0.806	0.270	1.625	0.484	1.033	0.915	0.292	1.220	0.711	0.716	0.916	0.700	0.702	1.823	1.523
YML081C-A	NaN	0.718	0.579	0.177	0.781	0.809	1.104	0.704	1.001	0.432	0.752	1.095	0.592	0.800	1.781	1.877
YML095C-A	1.542	0.508	1.217	1.239	0.847	0.734	0.536	0.308	0.410	0.364	0.653	0.365	1.613	0.194	1.240	1.694
YML100W-A	0.903	1.428	0.414	2.386	0.841	0.920	1.274	0.952	1.068	0.810	0.832	0.950	0.390	0.436	1.246	0.864
YML102C-A	NaN	0.784	1.209	1.077	0.745	0.775	0.954	1.895	0.951	1.012	0.952	0.930	0.373	0.790	1.796	2.399
YML117W-A	NaN	0.785	0.403	0.366	0.786	0.952	1.288	1.691	1.114	1.205	0.932	1.074	0.689	1.076	1.726	2.191
YMR031W-A	NaN	0.979	NaN	0.894	1.170	0.838	1.399	1.846	0.821	0.629	1.029	0.990	0.518	0.764	5.960	7.590
YMR052C-A	1.039	0.449	0.252	1.859	1.710	0.546	0.744	0.196	0.997	NaN	0.467	0.345	1.061	0.923	0.714	10.268
YMR075C-A	NaN	0.853	NaN	0.384	0.893	0.995	0.767	0.459	1.004	0.268	0.884	0.855	0.531	0.197	1.931	0.753
YMR086C-A	NaN	1.254	0.726	0.251	0.915	1.417	1.491	1.267	1.184	0.428	0.961	1.012	0.817	1.549	2.767	0.479
YMR119W-A	81.000	0.727	NaN	2.995	0.781	1.047	1.277	NaN	1.065	1.020	0.926	1.065	0.742	0.000	2.803	1.248
YMR135W-A	1.911	3.045	NaN	NaN	1.398	1.065	1.758	2.060	1.015	0.000	3.013	2.843	0.885	1.244	1.908	1.304
YMR153C-A	0.402	0.821	NaN	0.476	0.624	0.853	1.217	1.241	0.820	2.186	0.992	1.127	0.391	0.555	5.150	3.050
YMR158W-A	NaN	1.707	1.801	0.617	1.272	1.242	1.927	3.800	0.742	NaN	0.920	1.336	1.025	1.101	2.643	1.834
YMR172C-A	NaN	0.872	0.264	1.288	0.529	0.995	0.354	1.268	0.353	0.718	1.732	0.820	1.033	0.530	1.698	0.336
YMR173W-A	NaN	0.638	NaN	0.505	0.995	1.005	0.673	0.618	0.961	1.172	1.037	0.870	1.165	0.912	1.411	6.143
YMR193C-A	0.099	0.571	1.737	2.012	0.377	0.585	0.507	0.119	0.636	0.336	0.321	0.504	0.137	0.564	1.808	3.642
YMR194C-A	NaN	0.506	0.657	0.373	0.764	0.512	1.102	0.503	0.775	0.350	0.727	0.629	0.370	0.448	1.421	0.564
YMR244C-A	2.871	0.608	12.184	3.038	0.395	0.764	0.705	0.612	0.812	0.565	0.693	0.469	0.664	NaN	2.796	NaN
YMR251W-A	6.569	0.855	0.507	0.303	1.578	1.663	1.609	0.808	1.835	1.191	0.683	1.035	0.901	0.963	3.032	2.042
YMR294W-A	0.317	0.967	0.741	0.971	1.126	1.226	0.857	0.785	1.482	0.615	1.024	0.881	1.023	0.463	0.273	1.071
