ORF	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [2 d] | Piggott N~Nislow C, 2011	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [4 d] | Piggott N~Nislow C, 2011	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [6 d] | Piggott N~Nislow C, 2011	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [8 d] | Piggott N~Nislow C, 2011	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [10 d] | Piggott N~Nislow C, 2011	hom | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [14 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [2 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [4 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [6 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [8 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [10 d] | Piggott N~Nislow C, 2011	het | growth (relative abundance in pooled culture) | synthetic grape juice [standard], time [14 d] | Piggott N~Nislow C, 2011
YAL056C-A	0.742	0.526	0.177	-0.774	0.311	-0.359	0.201	0.141	0.858	0.481	0.259	0.250
YAL056W	0.861	-0.780	0.260	0.876	-1.132	0.945	0.792	1.466	1.622	0.609	0.349	-0.002
YAL058W	-1.093	-1.323	-2.558	0.337	NaN	-0.077	NaN	NaN	NaN	NaN	NaN	NaN
YAL059W	-1.114	0.172	-0.689	0.618	-0.743	-0.804	-1.111	-0.340	-0.972	0.380	-1.186	-1.710
YAL060W	-0.284	-0.335	-0.100	0.234	-0.064	-0.377	-0.187	0.138	-0.466	0.650	-0.666	0.178
YAL061W	0.012	-0.944	-0.342	0.844	-0.265	-0.123	-1.026	1.837	1.563	-0.467	1.756	2.135
YAL062W	0.424	0.676	-0.790	-0.991	0.950	-0.475	-0.458	-0.620	-0.145	-0.440	-0.782	-0.217
YAL064C-A	0.332	-0.213	-0.058	0.190	-0.226	-0.335	0.997	0.649	-0.380	-0.913	1.235	0.269
YAL065C	-0.372	0.042	-0.718	0.968	0.044	0.199	0.651	0.892	0.732	0.697	-0.223	1.726
YAL066W	-0.962	0.146	-1.426	NaN	0.476	0.701	NaN	NaN	NaN	NaN	NaN	NaN
YAL067C	-0.145	0.351	-0.699	0.079	-0.371	-0.625	1.013	0.518	0.713	-0.168	-0.644	-0.102
YAL068C	-0.921	0.019	-0.628	0.769	-0.513	-0.190	-0.425	0.532	0.069	-0.371	-0.358	0.089
YAR002C-A	0.096	0.504	0.367	-0.514	0.355	-0.134	-0.804	0.427	0.765	-0.205	0.473	-0.065
YAR002W	-10.222	-4.137	-0.930	NaN	-7.480	NaN	-1.347	-0.457	-0.145	0.492	0.869	-1.239
YAR003W	NaN	NaN	NaN	NaN	NaN	NaN	-0.858	-0.724	0.534	0.433	1.313	0.531
YAR007C	NaN	NaN	NaN	NaN	NaN	NaN	0.370	0.039	-0.410	-1.332	1.686	-1.246
YAR008W	NaN	NaN	NaN	NaN	NaN	NaN	1.315	0.282	-1.342	-0.815	-1.564	0.498
YAR014C	1.995	-1.512	1.929	-1.614	2.217	3.561	-0.032	-0.935	0.655	-0.764	-0.250	-0.240
YAR015W	3.138	NaN	4.710	0.034	NaN	NaN	-0.131	-0.045	-0.082	0.498	0.583	0.015
YAR018C	-0.947	-0.781	0.205	0.069	0.173	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAR019C	NaN	NaN	NaN	NaN	NaN	NaN	-0.334	-0.306	0.332	0.572	0.020	-0.106
YAR020C	0.077	0.134	0.199	NaN	1.062	0.064	-0.343	NaN	1.165	0.995	1.584	-0.307
YAR023C	0.255	-0.267	-0.210	1.189	-0.677	0.170	1.142	2.410	0.606	0.199	0.620	-0.375
YAR027W	0.391	0.944	0.074	0.530	0.353	0.674	0.862	0.792	1.101	1.197	-0.186	0.057
YAR028W	0.374	-0.231	-0.195	0.652	0.283	-0.119	-0.618	0.233	0.305	1.181	0.594	1.179
YAR029W	0.316	-1.147	-0.320	0.139	0.254	-0.070	-0.616	0.089	-0.838	-0.108	0.207	0.222
YAR030C	0.314	-0.484	0.494	1.256	0.493	-0.299	-0.328	0.219	-1.223	-0.148	-0.412	-2.260
YAR031W	0.855	0.408	0.943	0.568	0.881	-0.230	1.281	0.124	-0.343	-0.617	-0.422	0.777
YAR035W	-0.562	-0.610	-0.303	0.710	-0.290	-0.202	0.151	1.324	1.303	0.965	0.706	-0.030
YAR037W	-0.133	-0.209	-0.274	0.323	-0.327	0.015	0.346	1.216	0.140	0.534	0.174	-0.201
YAR040C	-0.236	0.484	0.033	-0.293	-0.172	-0.866	0.693	0.008	1.120	0.793	0.343	-0.420
YAR042W	-0.298	-0.578	-0.027	0.316	-0.626	-0.299	-0.065	-0.435	-0.316	-0.667	-0.057	-0.524
YAR043C	0.901	0.296	-0.341	0.661	-0.784	2.050	1.385	0.171	1.008	0.410	-0.000	0.514
YAR047C	-0.396	-0.382	-0.083	-0.327	-0.191	-0.510	1.331	0.759	0.053	0.282	-0.072	-0.774
YAR050W	-0.399	-0.161	-0.275	0.730	-0.104	0.465	0.502	-0.293	0.710	0.217	0.991	0.248
YBL001C	-0.414	-0.324	0.066	-0.366	-0.522	0.160	NaN	NaN	NaN	NaN	NaN	NaN
YBL002W	0.007	0.564	-0.089	-0.437	0.307	0.368	1.723	NaN	NaN	0.424	-0.549	2.792
YBL003C	-0.169	0.074	-0.390	-0.423	0.413	-0.339	1.832	1.299	7.387	0.749	NaN	1.819
YBL004W	NaN	NaN	NaN	NaN	NaN	NaN	0.448	-0.405	-1.496	-0.761	0.078	-1.045
YBL005W	-0.159	0.248	-1.100	0.242	0.459	-0.292	NaN	NaN	NaN	NaN	NaN	NaN
YBL006C	NaN	NaN	NaN	NaN	NaN	NaN	-0.743	-0.163	-1.312	0.105	0.407	0.295
YBL007C	NaN	NaN	NaN	NaN	NaN	NaN	-1.695	0.867	-1.967	0.404	0.043	-2.428
YBL008W	-0.244	2.898	-1.894	NaN	2.720	NaN	0.371	0.736	-1.040	-0.093	0.335	-0.850
YBL009W	0.477	0.078	-0.126	0.129	0.153	0.500	0.058	0.547	0.737	-0.783	1.121	0.126
YBL010C	0.032	0.027	-0.056	-0.455	0.094	0.663	-0.401	-1.177	-0.161	0.179	0.439	-0.754
YBL011W	0.864	-0.404	-0.762	0.863	0.145	0.235	NaN	NaN	NaN	NaN	NaN	NaN
YBL012C	0.948	-0.497	-1.000	0.357	0.200	0.686	-0.058	-0.402	-1.318	0.298	-0.257	-0.771
YBL013W	-1.012	-2.608	-1.156	-2.206	-2.910	-1.202	-0.550	-0.223	0.611	-0.203	0.400	0.054
YBL015W	-0.197	0.051	-0.109	-0.671	-0.461	-0.345	0.432	1.001	-0.639	0.553	-0.270	-0.978
YBL016W	NaN	NaN	NaN	NaN	NaN	NaN	0.387	1.779	0.330	0.696	0.573	-0.343
YBL017C	-0.587	-0.431	-0.980	-1.777	0.067	-1.026	-0.039	-1.731	-0.583	0.821	-0.150	-0.391
YBL018C	NaN	NaN	NaN	NaN	NaN	NaN	-0.114	0.381	0.260	0.604	0.233	-1.149
YBL019W	-0.606	-0.425	1.052	-1.260	-0.356	0.324	-0.372	0.787	-0.519	0.816	-0.267	0.816
YBL020W	NaN	NaN	NaN	NaN	NaN	NaN	0.941	-0.084	0.194	0.482	-1.075	0.386
YBL022C	0.279	1.681	0.374	-1.190	0.459	-1.623	NaN	NaN	NaN	NaN	NaN	NaN
YBL023C	NaN	NaN	NaN	NaN	NaN	NaN	-0.543	0.679	0.219	1.410	1.020	0.336
YBL024W	0.282	0.447	-0.652	-2.003	-1.218	-0.400	-0.366	-0.741	-0.005	-0.110	-0.177	-0.250
YBL025W	NaN	NaN	NaN	NaN	NaN	NaN	0.551	-0.501	0.503	0.122	-0.120	-0.082
YBL026W	NaN	NaN	NaN	NaN	NaN	NaN	1.743	0.253	0.891	1.235	-0.188	1.621
YBL027W	NaN	4.555	0.005	0.757	NaN	0.679	-0.278	-3.246	-0.270	0.481	0.610	0.689
YBL028C	0.099	1.227	-0.234	-0.925	-0.697	0.604	0.300	0.508	-0.405	-0.464	-0.516	-0.285
YBL029W	-0.463	0.179	-0.252	0.463	-0.122	0.674	0.829	0.337	1.560	-0.149	0.399	-0.964
YBL030C	NaN	NaN	NaN	NaN	NaN	NaN	0.975	0.044	-2.318	-3.348	0.417	1.303
YBL031W	0.452	-0.706	-0.263	-0.731	-0.475	0.769	-0.274	0.225	-0.188	0.380	0.321	0.740
YBL032W	0.117	-0.023	0.118	0.179	-0.671	0.272	0.529	-0.636	-0.769	0.322	-1.026	0.392
YBL033C	NaN	NaN	NaN	NaN	NaN	NaN	2.499	2.662	1.532	1.528	1.711	2.161
YBL034C	NaN	NaN	NaN	NaN	NaN	NaN	1.044	0.397	0.203	0.270	-0.620	-1.113
YBL035C	NaN	NaN	NaN	NaN	NaN	NaN	-1.383	0.318	-0.330	0.724	-0.219	-0.173
YBL036C	-0.330	-0.896	-0.941	-0.323	-0.512	-0.052	0.520	-0.244	-0.493	0.057	1.029	0.383
YBL037W	-1.074	0.552	-0.347	-0.884	0.319	0.826	0.052	0.950	0.105	-0.546	0.136	0.386
YBL038W	NaN	NaN	NaN	NaN	NaN	NaN	0.442	0.568	1.781	-0.223	0.059	0.085
YBL039C	NaN	NaN	NaN	NaN	NaN	NaN	-0.195	0.089	-0.419	-0.079	-0.274	-0.268
YBL040C	NaN	NaN	NaN	NaN	NaN	NaN	-0.855	0.527	-0.152	0.182	-0.941	0.129
YBL041W	NaN	NaN	NaN	NaN	NaN	NaN	-0.020	-3.277	-1.434	-1.375	-2.174	-0.436
YBL042C	NaN	NaN	NaN	NaN	NaN	NaN	-0.705	1.287	1.049	-0.924	0.279	0.149
YBL043W	-0.092	0.393	0.306	-0.136	-0.220	-0.348	0.841	-0.882	1.974	0.528	0.086	1.565
YBL044W	0.125	0.773	0.524	0.027	0.251	0.451	NaN	NaN	NaN	NaN	NaN	NaN
YBL045C	2.555	1.850	-0.506	-1.857	-1.107	0.951	0.679	0.061	0.243	0.134	0.358	1.587
YBL046W	0.316	0.625	-1.825	-1.061	-1.346	-0.531	-0.594	0.300	-1.232	-1.111	-2.450	-1.681
YBL047C	-0.642	0.487	-1.350	-2.966	-0.316	-2.025	NaN	NaN	NaN	NaN	NaN	NaN
YBL048W	-0.964	-0.963	-0.791	-1.247	-0.774	-0.411	-0.054	-0.210	-0.384	0.305	-0.532	0.308
YBL049W	-0.385	0.006	-0.311	-1.773	-0.524	-0.830	-0.780	-0.505	-0.365	-1.248	-0.008	0.199
YBL050W	NaN	NaN	NaN	NaN	NaN	NaN	-0.279	0.228	0.212	0.808	0.191	-0.097
YBL051C	-0.671	2.123	-0.580	0.134	2.074	NaN	0.175	0.449	0.743	-0.518	-0.742	-1.307
YBL052C	-0.480	-0.074	0.079	-3.123	0.121	0.302	-0.883	0.415	-3.983	-2.695	-2.640	NaN
YBL053W	-0.523	-0.045	-0.376	-0.262	0.073	0.462	-0.355	-0.515	0.805	-0.123	-0.487	-0.900
YBL054W	-0.456	0.307	-0.492	-0.550	-0.675	-0.136	-0.970	-0.249	-0.603	0.779	-0.531	-0.513
YBL055C	-1.402	-0.237	-0.165	-1.587	0.376	0.233	-0.085	-1.097	0.127	-0.085	-0.293	-1.581
YBL056W	-0.042	-0.679	-0.557	-0.915	-0.204	0.109	0.475	-0.115	-0.763	0.480	0.483	-0.492
YBL057C	-0.556	-0.262	-0.380	-0.840	-0.131	-0.232	-0.865	0.214	0.208	-0.511	-0.771	0.665
YBL058W	NaN	NaN	NaN	NaN	NaN	NaN	-0.558	0.057	0.082	0.951	0.061	-0.514
YBL059W	-0.870	-0.709	-0.914	-1.241	-0.848	1.099	-0.294	-0.290	-0.182	0.297	0.113	0.312
YBL060W	-0.161	0.088	-0.969	-0.546	0.149	0.054	-0.526	-0.074	0.213	0.300	0.219	-0.187
YBL061C	0.231	-0.213	-0.747	-1.539	-0.963	-0.274	-0.437	-0.669	0.387	-0.139	-0.419	0.030
YBL062W	-0.958	-1.612	-1.004	-1.499	-0.793	1.009	0.168	-0.313	-1.138	-0.480	-0.067	0.291
