orf	hap a | cell death (frequency of dead cells) | pH [3.0], acetic acid [400 mM], time [100-350 min] | Sousa M~Sousa MJ, 2013
YBR168W	1.3611009681165922
YBR171W	-1.388878538894482
YBR173C	1.3611009681165922
YBR181C	1.3611009681165922
YBR182C	1.3611009681165922
YBR182C-A	1.3611009681165922
YBR186W	1.3611009681165922
YBR188C	1.3611009681165922
YBR189W	1.3611009681165922
YBR191W	-1.388878538894482
YBR194W	-1.388878538894482
YBR199W	1.3611009681165922
YBR201W	1.3611009681165922
YBR209W	1.3611009681165922
YBR210W	1.3611009681165922
YBR212W	1.3611009681165922
YBR213W	-1.388878538894482
YBR214W	1.3611009681165922
YBR215W	1.3611009681165922
YBR216C	1.3611009681165922
YBR217W	1.3611009681165922
YBR221W-A	1.3611009681165922
YBR223C	1.3611009681165922
YBR224W	1.3611009681165922
YBR225W	1.3611009681165922
YBR226C	1.3611009681165922
YBR227C	1.3611009681165922
YBR232C	1.3611009681165922
YBR235W	1.3611009681165922
YBR238C	-1.388878538894482
YBR240C	1.3611009681165922
YBR241C	1.3611009681165922
YBR246W	1.3611009681165922
YBR248C	1.3611009681165922
YBR249C	1.3611009681165922
YBR255W	1.3611009681165922
YBR259W	1.3611009681165922
YBR260C	1.3611009681165922
YBR261C	1.3611009681165922
YBR262C	1.3611009681165922
YBR264C	1.3611009681165922
YBR266C	1.3611009681165922
YBR268W	1.3611009681165922
YBR269C	1.3611009681165922
YBR272C	1.3611009681165922
YBR275C	1.3611009681165922
YBR278W	1.3611009681165922
YBR280C	1.3611009681165922
YBR284W	1.3611009681165922
YBR290W	1.3611009681165922
YBR293W	1.3611009681165922
YBR300C	1.3611009681165922
YCL001W-A	1.3611009681165922
YCL005W	1.3611009681165922
YCL021W-A	1.3611009681165922
YCL022C	1.3611009681165922
YCL023C	1.3611009681165922
YCL024W	1.3611009681165922
YCL026C-A	1.3611009681165922
YCL027W	1.3611009681165922
YCL028W	1.3611009681165922
YCL029C	1.3611009681165922
YCL030C	1.3611009681165922
YCL039W	-1.388878538894482
YCL040W	1.3611009681165922
YCL042W	1.3611009681165922
YCL046W	1.3611009681165922
YCL055W	1.3611009681165922
YCL061C	1.3611009681165922
YCL076W	1.3611009681165922
YCR003W	1.3611009681165922
YCR010C	1.3611009681165922
YCR015C	1.3611009681165922
YCR020C	1.3611009681165922
YCR020W-B	-1.388878538894482
YCR024C	1.3611009681165922
YCR030C	1.3611009681165922
YCR031C	1.3611009681165922
YCR033W	1.3611009681165922
YCR043C	1.3611009681165922
YCR047C	1.3611009681165922
YCR049C	1.3611009681165922
YCR053W	1.3611009681165922
YCR061W	1.3611009681165922
YCR073W-A	1.3611009681165922
YCR075C	1.3611009681165922
YCR075W-A	1.3611009681165922
YCR076C	1.3611009681165922
YCR084C	-1.388878538894482
YCR089W	1.3611009681165922
YCR092C	-1.388878538894482
YCR095C	1.3611009681165922
YCR099C	-1.388878538894482
YCR100C	-1.388878538894482
YCR102W-A	1.3611009681165922
YCR107W	1.3611009681165922
YDL001W	-1.388878538894482
YDL002C	1.3611009681165922
YDL005C	-1.388878538894482
YDL009C	1.3611009681165922
YDL010W	1.3611009681165922
YDL011C	1.3611009681165922
YDL012C	1.3611009681165922
YDL018C	1.3611009681165922
YDL020C	-1.388878538894482
YDL021W	-1.388878538894482
YDL026W	1.3611009681165922
YDL027C	1.3611009681165922
YDL032W	1.3611009681165922
YDL033C	-1.388878538894482
YDL036C	1.3611009681165922
YDL037C	1.3611009681165922
YDL039C	1.3611009681165922
YDL044C	1.3611009681165922
YDL045W-A	1.3611009681165922
YDL046W	1.3611009681165922
YDL047W	-1.388878538894482
YDL050C	1.3611009681165922
YDL053C	1.3611009681165922
YDL057W	1.3611009681165922
YDL059C	1.3611009681165922
YDL061C	1.3611009681165922
YDL062W	1.3611009681165922
YDL069C	-1.388878538894482
YDL072C	1.3611009681165922
YDL075W	1.3611009681165922
YDL077C	1.3611009681165922
YDL079C	1.3611009681165922
YDL080C	1.3611009681165922
YDL081C	1.3611009681165922
YDL082W	1.3611009681165922
YDL083C	1.3611009681165922
YDL085C-A	1.3611009681165922
YDL085W	1.3611009681165922
YDL086W	1.3611009681165922
YDL088C	1.3611009681165922
YDL089W	1.3611009681165922
YDL090C	1.3611009681165922
YDL091C	1.3611009681165922
YDL093W	1.3611009681165922
YDL094C	1.3611009681165922
YDL095W	1.3611009681165922
YDL099W	1.3611009681165922
YDL104C	-1.388878538894482
YDL107W	-1.388878538894482
YDL109C	1.3611009681165922
YDL112W	1.3611009681165922
YDL121C	1.3611009681165922
YDL122W	1.3611009681165922
YDL123W	1.3611009681165922
YDL125C	1.3611009681165922
YDL133C-A	-0.013888785388944908
YDL133W	1.3611009681165922
YDL138W	1.3611009681165922
YDL144C	1.3611009681165922
YDL146W	-1.388878538894482
YDL151C	1.3611009681165922
YDL154W	1.3611009681165922
YDL155W	1.3611009681165922
YDL157C	1.3611009681165922
YDL159W	1.3611009681165922
YDL159W-A	1.3611009681165922
YDL162C	1.3611009681165922
YDL167C	1.3611009681165922
YDL168W	1.3611009681165922
YDL169C	1.3611009681165922
YDL170W	1.3611009681165922
YDL171C	1.3611009681165922
YDL172C	1.3611009681165922
YDL175C	1.3611009681165922
YDL178W	1.3611009681165922
YDL180W	1.3611009681165922
YDL181W	1.3611009681165922
YDL186W	1.3611009681165922
YDL187C	1.3611009681165922
YDL191W	1.3611009681165922
YDL192W	-1.388878538894482
YDL197C	1.3611009681165922
YDL199C	1.3611009681165922
YDL200C	1.3611009681165922
YDL201W	1.3611009681165922
YDL202W	-1.388878538894482
YDL203C	1.3611009681165922
YDL204W	1.3611009681165922
YDL206W	1.3611009681165922
YDL210W	1.3611009681165922
YDL211C	1.3611009681165922
YDL213C	1.3611009681165922
YDL214C	1.3611009681165922
YDL215C	1.3611009681165922
YDL216C	1.3611009681165922
YDL218W	1.3611009681165922
YDL219W	1.3611009681165922
YDL222C	1.3611009681165922
YDL223C	1.3611009681165922
YDL224C	1.3611009681165922
YDL225W	1.3611009681165922
YDL226C	1.3611009681165922
YDL227C	1.3611009681165922
YDL229W	1.3611009681165922
YDL230W	1.3611009681165922
YDL231C	1.3611009681165922
YDL232W	-1.388878538894482
YDL233W	1.3611009681165922
YDL234C	1.3611009681165922
YDL239C	1.3611009681165922
YDL240W	1.3611009681165922
YDL241W	1.3611009681165922
YDL242W	1.3611009681165922
YDL243C	1.3611009681165922
YDR001C	1.3611009681165922
YDR003W	1.3611009681165922
YDR003W-A	1.3611009681165922
YDR008C	1.3611009681165922
YDR009W	1.3611009681165922
YDR010C	1.3611009681165922
YDR011W	1.3611009681165922
YDR014W	1.3611009681165922
YDR015C	1.3611009681165922
