orf	hap a | cell death (frequency of dead cells) | pH [3.0], acetic acid [400 mM], time [100-350 min] | Sousa M~Sousa MJ, 2013
YCL040W	1
YCL042W	1
YCL046W	1
YCL055W	1
YCL061C	1
YCL076W	1
YCR003W	1
YCR010C	1
YCR015C	1
YCR020C	1
YCR020W-B	-1
YCR024C	1
YCR030C	1
YCR031C	1
YCR033W	1
YCR043C	1
YCR047C	1
YCR049C	1
YCR053W	1
YCR061W	1
YCR073W-A	1
YCR075C	1
YCR075W-A	1
YCR076C	1
YCR084C	-1
YCR089W	1
YCR092C	-1
YCR095C	1
YCR099C	-1
YCR100C	-1
YCR102W-A	1
YCR107W	1
YDL001W	-1
YDL002C	1
YDL005C	-1
YDL009C	1
YDL010W	1
YDL011C	1
YDL012C	1
YDL018C	1
YDL020C	-1
YDL021W	-1
YDL026W	1
YDL027C	1
YDL032W	1
YDL033C	-1
YDL036C	1
YDL037C	1
YDL039C	1
YDL044C	1
YDL045W-A	1
YDL046W	1
YDL047W	-1
YDL050C	1
YDL053C	1
YDL057W	1
YDL059C	1
YDL061C	1
YDL062W	1
YDL069C	-1
YDL072C	1
YDL075W	1
YDL077C	1
YDL079C	1
YDL080C	1
YDL081C	1
YDL082W	1
YDL083C	1
YDL085C-A	1
YDL085W	1
YDL086W	1
YDL088C	1
YDL089W	1
YDL090C	1
YDL091C	1
YDL093W	1
YDL094C	1
YDL095W	1
YDL099W	1
YDL104C	-1
YDL107W	-1
YDL109C	1
YDL112W	1
YDL121C	1
YDL122W	1
YDL123W	1
YDL125C	1
YDL133C-A	0
YDL133W	1
YDL138W	1
YDL144C	1
YDL146W	-1
YDL151C	1
YDL154W	1
YDL155W	1
YDL157C	1
YDL159W	1
YDL159W-A	1
YDL162C	1
YDL167C	1
YDL168W	1
YDL169C	1
YDL170W	1
YDL171C	1
YDL172C	1
YDL175C	1
YDL178W	1
YDL180W	1
YDL181W	1
YDL186W	1
YDL187C	1
YDL191W	1
YDL192W	-1
YDL197C	1
YDL199C	1
YDL200C	1
YDL201W	1
YDL202W	-1
YDL203C	1
YDL204W	1
YDL206W	1
YDL210W	1
YDL211C	1
YDL213C	1
YDL214C	1
YDL215C	1
YDL216C	1
YDL218W	1
YDL219W	1
YDL222C	1
YDL223C	1
YDL224C	1
YDL225W	1
YDL226C	1
YDL227C	1
YDL229W	1
YDL230W	1
YDL231C	1
YDL232W	-1
YDL233W	1
YDL234C	1
YDL239C	1
YDL240W	1
YDL241W	1
YDL242W	1
YDL243C	1
YDR001C	1
YDR003W	1
YDR003W-A	1
YDR008C	1
YDR009W	1
YDR010C	1
YDR011W	1
YDR014W	1
YDR015C	1
YDR017C	1
YDR018C	1
YDR019C	1
YDR020C	1
YDR022C	1
YDR024W	1
YDR025W	1
YDR026C	1
YDR028C	1
YDR030C	1
YDR031W	1
YDR033W	1
YDR034C	1
YDR034W-B	1
YDR035W	1
YDR043C	1
YDR046C	1
YDR048C	1
YDR051C	1
YDR055W	1
YDR056C	1
YDR057W	1
YDR058C	1
YDR059C	1
YDR061W	1
YDR067C	1
YDR068W	1
YDR070C	1
YDR073W	1
YDR074W	-1
YDR075W	1
YDR076W	1
YDR077W	1
YDR078C	-1
YDR079C-A	-1
YDR079W	1
YDR083W	1
YDR084C	1
YDR085C	1
YDR089W	1
YDR090C	1
YDR093W	1
YDR094W	1
YDR096W	1
YDR097C	-1
YDR098C	1
YDR099W	1
YDR100W	1
YDR101C	1
YDR102C	1
YDR103W	1
YDR107C	1
YDR109C	1
YDR111C	1
YDR112W	1
YDR115W	-1
YDR116C	1
YDR119W	1
YDR120C	1
YDR121W	1
YDR122W	1
YDR123C	1
YDR124W	1
YDR125C	1
YDR127W	1
YDR128W	1
YDR129C	-1
YDR130C	1
YDR131C	1
YDR132C	1
YDR133C	1
YDR135C	1
YDR136C	1
YDR137W	1
YDR138W	-1
YDR139C	1
YDR140W	1
YDR142C	1
YDR143C	1
YDR144C	1
YDR146C	1
YDR147W	1
YDR148C	1
YDR149C	1
YDR151C	-1
YDR153C	-1
YDR154C	-1
YDR155C	1
YDR156W	1
YDR158W	-1
YDR159W	1
YDR161W	1
YDR162C	1
YDR163W	1
YDR169C-A	1
YDR171W	1
YDR173C	1
YDR175C	1
YDR176W	-1
YDR178W	-1
YDR181C	1
YDR183W	1
YDR184C	1
YDR185C	1
YDR191W	1
YDR192C	1
YDR193W	1
YDR194C	-1
YDR194W-A	1
YDR197W	-1
YDR203W	1
YDR205W	-1
YDR206W	1
YDR209C	1
YDR210W	1
YDR213W	1
YDR214W	1
YDR215C	1
YDR216W	1
YDR217C	1
YDR218C	1
YDR219C	1
YDR220C	1
YDR221W	1
YDR222W	1
YDR223W	1
YDR225W	1
YDR227W	1
YDR229W	1
YDR230W	-1
YDR231C	1
YDR233C	1
YDR234W	1
YDR237W	-1
YDR239C	1
YDR241W	1
YDR242W	1
YDR244W	1
YDR245W	-1
YDR247W	1
YDR248C	1
YDR253C	1
YDR260C	1
YDR263C	1
YDR264C	-1
YDR266C	1
YDR268W	-1
YDR269C	1
YDR277C	1
YDR290W	1
YDR293C	-1
YDR294C	-1
YDR295C	-1
YDR298C	1
YDR300C	-1
YDR313C	1
YDR314C	1
YDR316W	1
YDR317W	1
YDR319C	1
YDR322C-A	1
YDR326C	1
YDR330W	1
YDR336W	1
YDR337W	1
YDR338C	1
YDR340W	1
YDR344C	1
YDR345C	1
YDR348C	1
YDR349C	1
YDR350C	1
YDR352W	1
YDR360W	1
YDR363W-A	1
YDR364C	-1
YDR368W	1
YDR370C	1
YDR371W	1
YDR374C	1
YDR375C	1
YDR377W	-1
YDR378C	1
YDR379W	1
YDR380W	1
YDR383C	1
YDR384C	1
YDR385W	1
YDR386W	1
YDR387C	1
YDR391C	1
YDR393W	1
YDR395W	1
YDR399W	1
YDR400W	1
YDR401W	1
YDR402C	1
YDR403W	1
YDR405W	1
YDR406W	1
YDR409W	1
YDR410C	1
YDR411C	1
YDR415C	1
YDR417C	1
YDR418W	1
YDR419W	1
YDR420W	1
YDR422C	1
YDR423C	1
YDR424C	-1
YDR425W	1
YDR428C	1
YDR430C	1
YDR431W	1
YDR432W	1
YDR433W	1
YDR435C	1
YDR438W	1
YDR439W	1
YDR440W	1
YDR443C	-1
YDR444W	1
YDR445C	-1
YDR446W	1
YDR447C	1
YDR450W	1
YDR451C	1
YDR453C	1
YDR457W	1
YDR458C	1
YDR459C	1
YDR462W	1
YDR463W	1
YDR465C	1
YDR466W	1
YDR467C	1
YDR470C	-1
YDR471W	1
YDR475C	1
YDR476C	1
YDR477W	-1
YDR479C	1
YDR480W	1
YDR481C	1
YDR482C	1
YDR485C	1
YDR486C	1
YDR488C	1
YDR490C	1
YDR493W	1
YDR494W	1
YDR496C	1
YDR500C	1
YDR501W	1
YDR504C	1
YDR506C	1
YDR508C	1
YDR509W	1
YDR511W	1
YDR512C	1
YDR513W	1
YDR514C	1
YDR516C	1
YDR517W	1
YDR519W	1
YDR520C	1
YDR521W	-1
YDR522C	1
YDR523C	-1
YDR524C	1
YDR525W	1
YDR528W	1
YDR529C	1
YDR530C	1
YDR532C	1
YDR533C	1
YDR534C	1
YDR535C	1
YDR536W	1
YDR537C	-1
YDR538W	-1
YDR541C	-1
YEL001C	1
YEL004W	1
YEL005C	1
YEL006W	1
YEL007W	1
YEL010W	1
YEL013W	1
YEL014C	1
YEL015W	1
YEL016C	1
YEL023C	1
YEL024W	-1
YEL025C	1
YEL027W	-1
YEL029C	-1
YEL036C	-1
YEL037C	1
YEL038W	1
YEL039C	1
YEL041W	-1
YEL042W	-1
YEL044W	1
YEL046C	-1
YEL047C	1
YEL048C	1
YEL049W	1
YEL050C	-1
YEL051W	-1
YEL052W	1
YEL059W	1
YEL060C	1
YEL061C	1
YEL063C	1
YEL064C	1
YEL065W	1
YEL071W	1
YEL072W	1
YER004W	1
YER005W	1
YER007W	-1
YER010C	1
YER014W	-1
YER016W	1
YER017C	-1
YER019C-A	1
YER019W	1
YER020W	1
YER024W	1
YER026C	-1
YER028C	1
YER030W	1
YER031C	1
YER032W	1
YER033C	1
YER034W	1
YER035W	1
YER038W-A	1
YER039C	1
YER039C-A	1
YER042W	1
YER045C	1
YER046W	1
YER047C	1
YER049W	1
YER050C	1
YER051W	1
YER052C	1
YER053C-A	1
YER054C	1
YER056C	1
YER056C-A	1
YER057C	-1
YER058W	-1
YER059W	1
YER060W	1
YER060W-A	1
YER061C	1
YER063W	1
YER065C	1
YER066C-A	1
YER067C-A	1
YER067W	1
YER068C-A	1
YER068W	1
YER069W	1
YER070W	-1
YER071C	1
YER072W	1
YER073W	1
YER074W	1
YER075C	1
YER077C	-1
YER079W	1
YER080W	1
YER081W	1
YER083C	1
YER084W	1
YER086W	1
YER087C-B	1
YER087W	-1
YER088C	1
YER090W	1
YER092W	1
YER093C-A	-1
YER096W	-1
YER101C	1
YER103W	1
YER106W	1
YER110C	-1
YER111C	-1
YER114C	1
YER123W	1
YER128W	1
YER129W	1
YER130C	1
YER131W	1
YER132C	1
YER134C	1
YER140W	1
YER144C	-1
YER145C	1
YER150W	1
YER156C	1
YER158C	1
YER161C	1
YER162C	1
YER163C	-1
YER164W	-1
YER166W	1
YER170W	1
YER173W	1
YER174C	1
YER175C	1
YER175W-A	1
YER178W	1
YER180C	1
YER180C-A	1
YER181C	1
YER182W	1
YER183C	1
YER184C	1
YER185W	1
YER186C	1
YER187W	1
YER188W	1
YFL003C	-1
YFL007W	1
YFL010C	1
YFL011W	1
YFL012W	1
YFL012W-A	-1
YFL014W	-1
YFL015C	1
YFL018C	1
YFL020C	1
YFL021W	1
YFL023W	1
YFL026W	1
YFL027C	1
YFL028C	1
YFL030W	1
YFL031W	1
YFL032W	1
YFL033C	-1
YFL034C-A	1
YFL034W	1
YFL036W	1
YFL041W	1
YFL041W-A	1
YFL042C	0
YFL044C	1
YFL046W	1
YFL047W	1
YFL048C	1
YFL049W	1
YFL050C	1
YFL051C	1
YFL052W	1
YFL053W	1
YFL054C	1
YFR001W	1
YFR007W	1
YFR008W	1
YFR009W	1
YFR010W	1
YFR012W	1
YFR012W-A	1
YFR014C	1
YFR015C	1
YFR016C	1
YFR017C	1
YFR018C	1
YFR019W	-1
YFR020W	1
YFR021W	1
YFR022W	1
YFR023W	1
YFR024C-A	1
YFR025C	1
YFR026C	1
YFR031C-A	-1
YFR032C	1
YFR034C	1
YFR035C	1
YFR038W	1
YFR040W	-1
YFR041C	1
YFR045W	1
YFR049W	-1
YFR053C	1
YGL002W	1
YGL003C	1
YGL004C	1
YGL006W	1
YGL007C-A	1
YGL007W	1
YGL009C	1
YGL010W	1
YGL013C	1
YGL014W	1
YGL016W	1
YGL017W	1
YGL019W	1
YGL020C	1
YGL021W	1
YGL023C	1
YGL025C	1
YGL028C	1
YGL029W	1
YGL031C	1
YGL032C	1
YGL036W	1
YGL037C	1
YGL038C	-1
YGL039W	1
YGL041C	1
YGL045W	1
YGL049C	1
YGL053W	1
YGL056C	1
YGL060W	1
YGL062W	1
YGL063W	1
YGL064C	-1
YGL067W	1
YGL071W	1
YGL076C	1
YGL077C	1
YGL078C	1
YGL079W	1
YGL080W	1
YGL081W	1
YGL082W	1
YGL083W	1
YGL085W	1
YGL086W	1
YGL088W	1
YGL089C	1
YGL090W	1
YGL094C	1
YGL095C	1
YGL096W	1
YGL101W	-1
YGL104C	-1
YGL108C	-1
YGL109W	-1
YGL110C	-1
YGL114W	-1
YGL115W	-1
YGL117W	1
YGL119W	-1
YGL121C	1
YGL125W	-1
YGL126W	1
YGL127C	1
YGL129C	1
YGL131C	-1
YGL133W	1
YGL134W	1
YGL135W	-1
YGL136C	1
YGL138C	1
YGL139W	-1
YGL140C	-1
YGL141W	-1
YGL143C	1
YGL144C	1
YGL146C	-1
YGL147C	1
YGL148W	1
YGL149W	-1
YGL151W	1
YGL152C	1
YGL153W	1
YGL156W	1
YGL158W	1
YGL159W	1
YGL160W	1
YGL161C	1
YGL162W	-1
YGL163C	1
YGL164C	1
YGL165C	1
YGL166W	1
YGL167C	-1
YGL168W	1
YGL170C	1
YGL173C	1
YGL174W	1
YGL175C	1
YGL176C	1
YGL177W	1
YGL179C	1
YGL180W	1
YGL181W	-1
YGL190C	-1
YGL192W	-1
YGL194C	1
YGL195W	1
YGL196W	1
YGL197W	1
YGL198W	1
YGL199C	1
YGL200C	1
YGL202W	1
YGL203C	1
YGL205W	1
YGL206C	-1
YGL208W	1
YGL209W	1
YGL210W	1
YGL211W	1
YGL212W	1
YGL213C	1
YGL214W	1
YGL215W	1
YGL216W	1
YGL217C	1
YGL218W	1
YGL221C	1
YGL222C	1
YGL224C	1
YGL226C-A	1
YGL226W	1
YGL227W	1
YGL228W	1
YGL229C	1
YGL230C	1
YGL231C	1
YGL232W	1
YGL234W	1
YGL235W	1
YGL236C	1
YGL237C	1
YGL240W	-1
YGL241W	1
YGL242C	1
YGL243W	1
YGL244W	1
YGL246C	1
YGL249W	1
YGL250W	1
YGL251C	1
YGL252C	1
YGL253W	1
YGL254W	1
YGL255W	1
YGL256W	1
YGL257C	1
YGL258W	1
YGL259W	1
YGL261C	1
YGL262W	1
YGL263W	1
YGR001C	1
YGR003W	1
YGR004W	1
YGR006W	-1
YGR007W	1
YGR008C	1
YGR010W	1
YGR011W	1
YGR012W	1
YGR015C	1
YGR016W	1
YGR017W	1
YGR018C	1
YGR019W	1
YGR020C	1
YGR021W	1
YGR023W	1
YGR025W	1
YGR026W	1
YGR027C	1
YGR031W	1
YGR032W	1
YGR033C	1
YGR034W	1
YGR036C	-1
YGR037C	1
YGR038W	-1
YGR039W	1
YGR040W	-1
YGR041W	1
YGR042W	1
YGR043C	1
YGR044C	1
YGR049W	1
YGR052W	1
YGR053C	1
YGR054W	1
YGR055W	1
YGR056W	1
YGR059W	1
YGR061C	1
YGR062C	-1
YGR066C	1
YGR067C	1
YGR068C	1
YGR069W	1
YGR072W	1
YGR076C	1
YGR077C	1
YGR078C	1
YGR079W	1
YGR080W	1
YGR081C	1
YGR084C	1
YGR085C	1
YGR087C	1
YGR088W	1
YGR089W	-1
YGR093W	1
YGR096W	1
YGR097W	1
YGR100W	1
YGR101W	1
YGR102C	1
YGR106C	-1
YGR107W	1
YGR108W	1
YGR109C	1
YGR111W	1
YGR112W	1
YGR117C	-1
YGR118W	1
YGR121C	1
YGR121W-A	1
YGR122W	1
YGR125W	1
YGR126W	1
YGR131W	1
YGR132C	1
YGR133W	-1
YGR135W	1
YGR136W	1
YGR137W	1
YGR138C	1
YGR139W	1
YGR141W	1
YGR146C	1
YGR148C	1
YGR149W	1
YGR150C	-1
YGR151C	1
YGR152C	1
YGR157W	1
YGR159C	1
YGR160W	1
YGR162W	1
YGR163W	1
YGR165W	1
YGR169C	1
YGR170W	1
YGR171C	1
YGR173W	1
YGR174W-A	1
YGR176W	1
YGR177C	1
YGR178C	1
YGR180C	-1
YGR181W	1
YGR184C	1
YGR192C	1
YGR193C	1
YGR196C	1
YGR197C	1
YGR199W	1
YGR200C	1
YGR202C	1
YGR203W	1
YGR204C-A	1
YGR205W	1
YGR206W	1
YGR208W	1
YGR209C	1
YGR212W	1
YGR213C	1
YGR214W	1
YGR217W	1
YGR220C	1
YGR221C	-1
YGR222W	1
YGR224W	1
YGR225W	1
YGR226C	1
YGR227W	-1
YGR230W	1
YGR232W	-1
YGR238C	-1
YGR242W	-1
YGR249W	1
YGR250C	-1
YGR254W	1
YGR256W	1
YGR258C	1
YGR259C	1
YGR261C	1
YGR266W	1
YGR270W	1
YGR271C-A	-1
YGR271W	1
YGR273C	1
YGR279C	1
YGR281W	1
YGR282C	1
YGR283C	1
YGR284C	1
YGR286C	1
YGR287C	1
YGR288W	1
YGR290W	1
YGR291C	1
YGR292W	1
YHL002W	1
YHL004W	1
YHL005C	1
YHL007C	1
YHL009C	1
YHL013C	1
YHL030W	1
YHL033C	1
YHL035C	1
YHL038C	-1
YHL039W	1
YHL040C	1
YHL047C	-1
YHR006W	1
YHR008C	1
YHR010W	-1
YHR011W	-1
YHR017W	-1
YHR021C	-1
YHR021W-A	1
YHR025W	1
YHR026W	-1
YHR029C	1
YHR032W	1
YHR037W	1
YHR038W	-1
YHR039C	1
YHR047C	1
YHR048W	1
YHR049C-A	1
YHR050W	1
YHR050W-A	-1
YHR051W	1
YHR057C	1
YHR060W	-1
YHR066W	1
YHR076W	1
YHR077C	1
YHR078W	1
YHR079C	1
YHR080C	1
YHR081W	1
YHR082C	1
YHR086W	1
YHR086W-A	1
YHR087W	1
YHR090C	-1
YHR091C	-1
YHR092C	1
YHR094C	1
YHR095W	1
YHR096C	1
YHR100C	1
YHR103W	1
YHR104W	1
YHR106W	1
YHR108W	1
YHR110W	1
YHR111W	1
YHR112C	1
YHR117W	1
YHR120W	1
YHR121W	1
YHR125W	1
YHR126C	1
YHR129C	1
YHR130C	1
YHR132C	1
YHR132W-A	1
YHR133C	1
YHR134W	1
YHR135C	1
YHR136C	1
YHR137W	1
YHR138C	1
YHR139C	1
YHR139C-A	1
YHR140W	1
YHR147C	-1
YHR151C	1
YHR153C	1
YHR154W	1
YHR156C	1
YHR157W	1
YHR162W	1
YHR168W	1
YHR176W	1
YHR177W	1
YHR182W	1
YHR184W	1
YHR185C	1
YHR200W	1
YHR209W	1
YHR210C	1
YIL001W	1
YIL002C	1
YIL002W-A	1
YIL005W	1
YIL006W	1
YIL007C	1
YIL008W	1
YIL009W	1
YIL010W	1
YIL012W	1
YIL013C	1
YIL014C-A	1
YIL014W	1
YIL015W	1
YIL016W	1
YIL017C	-1
YIL018W	1
YIL020C	1
YIL023C	1
YIL024C	1
YIL025C	1
YIL027C	1
YIL029C	1
YIL034C	1
YIL036W	1
YIL037C	1
YIL039W	1
YIL040W	-1
YIL041W	1
YIL043C	1
YIL044C	1
YIL045W	1
YIL046W-A	1
YIL047C	1
YIL052C	1
YIL053W	-1
YIL056W	1
YIL058W	1
YIL060W	1
YIL064W	1
YIL066C	-1
YIL067C	-1
YIL069C	1
YIL070C	1
YIL071C	1
YIL072W	1
YIL073C	-1
YIL074C	1
YIL079C	1
YIL084C	1
YIL085C	1
YIL087C	1
YIL088C	1
YIL089W	1
YIL090W	1
YIL092W	1
YIL093C	1
YIL094C	1
YIL095W	1
YIL096C	1
YIL097W	1
YIL098C	-1
YIL099W	1
YIL100W	1
YIL101C	1
YIL102C	1
YIL112W	1
YIL113W	1
YIL114C	1
YIL119C	-1
YIL122W	1
YIL124W	1
YIL125W	1
YIL131C	1
YIL132C	-1
YIL134C-A	1
YIL135C	1
YIL136W	1
YIL140W	-1
YIL146C	1
YIL152W	-1
YIL153W	-1
YIL154C	-1
YIL156W	1
YIL161W	1
YIL163C	1
YIL164C	-1
YIL165C	-1
YIL166C	1
YIL173W	1
YIR003W	1
YIR004W	1
YIR007W	1
YIR019C	1
YIR020C	1
YIR020W-A	1
YIR021W	-1
YIR024C	1
YIR025W	1
YIR026C	1
YIR027C	1
YIR028W	1
YIR029W	1
YIR031C	1
YIR033W	1
YIR034C	1
YIR035C	1
YIR036C	1
YIR037W	1
YIR038C	1
YIR039C	1
YJL003W	-1
YJL004C	1
YJL006C	1
YJL012C	1
YJL016W	1
YJL020C	1
YJL022W	1
YJL023C	1
YJL024C	1
YJL028W	1
YJL036W	1
YJL037W	1
YJL038C	1
YJL042W	-1
YJL043W	1
YJL047C	1
YJL047C-A	1
YJL048C	1
YJL049W	1
YJL051W	1
YJL052W	-1
YJL053W	1
YJL056C	1
YJL057C	1
YJL058C	1
YJL059W	1
YJL060W	1
YJL062W	-1
YJL062W-A	-1
YJL064W	1
YJL065C	1
YJL066C	1
YJL067W	1
YJL068C	1
YJL070C	-1
YJL071W	1
YJL073W	1
YJL075C	1
YJL077C	1
YJL082W	1
YJL083W	1
YJL084C	1
YJL088W	1
YJL089W	1
YJL093C	1
YJL094C	-1
YJL095W	1
YJL096W	-1
YJL098W	1
YJL099W	1
YJL100W	1
YJL103C	1
YJL106W	1
YJL108C	1
YJL112W	1
YJL116C	1
YJL118W	1
YJL119C	1
YJL121C	1
YJL122W	1
YJL123C	1
YJL126W	1
YJL127C	1
YJL129C	1
YJL130C	1
YJL131C	1
YJL134W	-1
YJL136C	-1
YJL136W-A	1
YJL138C	1
YJL139C	-1
YJL141C	-1
YJL144W	1
YJL145W	1
YJL146W	1
YJL147C	1
YJL151C	0
YJL153C	1
YJL160C	1
YJL161W	1
YJL165C	1
YJL166W	1
YJL171C	1
YJL172W	-1
YJL175W	-1
YJL176C	-1
YJL177W	-1
YJL180C	-1
YJL183W	-1
YJL184W	-1
YJL187C	1
YJL189W	-1
YJL190C	1
YJL192C	1
YJL196C	1
YJL197W	1
YJL199C	1
YJL204C	-1
YJL207C	1
YJL214W	1
YJL216C	1
YJR001W	1
YJR005C-A	-1
YJR005W	1
YJR010C-A	1
YJR011C	1
YJR014W	1
YJR015W	-1
YJR018W	-1
YJR020W	1
YJR021C	1
YJR024C	1
YJR031C	1
YJR033C	1
YJR034W	1
YJR035W	1
YJR037W	1
YJR039W	1
YJR040W	1
YJR043C	1
YJR049C	1
YJR051W	1
YJR055W	1
YJR059W	1
YJR060W	1
YJR061W	1
YJR062C	1
YJR063W	1
YJR066W	1
YJR070C	1
YJR078W	1
YJR079W	1
YJR083C	1
YJR090C	-1
YJR091C	1
YJR092W	1
YJR094W-A	1
YJR096W	1
YJR098C	1
YJR099W	1
YJR103W	1
YJR105W	1
YJR106W	1
YJR107W	1
YJR110W	1
YJR121W	-1
YJR122W	-1
YJR128W	1
YJR129C	1
YJR130C	1
YJR131W	1
YJR135W-A	1
YJR137C	1
YJR139C	1
YJR140C	1
YJR144W	-1
YJR145C	1
YJR146W	1
YJR147W	1
YJR148W	1
YJR149W	1
YJR151C	1
YJR151W-A	1
YJR152W	1
YJR154W	1
YKL001C	1
YKL005C	1
YKL006W	1
YKL007W	1
YKL011C	1
YKL015W	1
YKL017C	1
YKL020C	-1
YKL023W	1
YKL025C	1
YKL026C	1
YKL027W	1
YKL029C	1
YKL031W	1
YKL032C	1
YKL033W-A	1
YKL034W	1
YKL038W	1
YKL039W	1
YKL040C	1
YKL044W	1
YKL046C	1
YKL047W	1
YKL048C	1
YKL050C	1
YKL051W	1
YKL053W	1
YKL054C	1
YKL055C	-1
YKL056C	1
YKL061W	1
YKL062W	1
YKL063C	1
YKL064W	1
YKL065C	1
YKL068W-A	1
YKL070W	1
YKL072W	1
YKL073W	1
YKL074C	1
YKL075C	1
YKL076C	1
YKL079W	1
YKL080W	-1
YKL084W	1
YKL085W	1
YKL086W	1
YKL090W	1
YKL091C	1
YKL092C	1
YKL093W	1
YKL094W	1
YKL096C-B	-1
YKL098W	1
YKL100C	1
YKL102C	1
YKL105C	1
YKL106C-A	1
YKL107W	1
YKL114C	1
YKL116C	1
YKL118W	-1
YKL129C	1
YKL131W	1
YKL146W	1
YKL147C	1
YKL150W	1
YKL159C	1
YKL160W	1
YKL161C	1
YKL164C	1
YKL166C	1
YKL167C	-1
YKL170W	-1
YKL176C	1
YKL177W	1
YKL178C	1
YKL179C	1
YKL183W	1
YKL184W	1
YKL185W	1
YKL187C	-1
YKL190W	1
YKL191W	1
YKL198C	1
YKL202W	1
YKL204W	1
YKL212W	-1
YKL218C	1
YKL221W	-1
YKR001C	-1
YKR007W	1
YKR009C	1
YKR010C	-1
YKR011C	1
YKR012C	1
YKR014C	1
YKR015C	1
YKR016W	1
YKR018C	1
YKR020W	1
YKR021W	1
YKR024C	-1
YKR026C	1
YKR028W	1
YKR029C	1
YKR031C	1
YKR032W	1
YKR035W-A	1
YKR036C	1
YKR039W	1
YKR040C	1
YKR041W	1
YKR042W	1
YKR046C	1
YKR047W	1
YKR051W	1
YKR054C	1
YKR057W	1
YKR058W	1
YKR059W	1
YKR060W	1
YKR061W	1
YKR066C	1
YKR067W	1
YKR069W	1
YKR070W	1
YKR072C	1
YKR074W	1
YKR075C	1
YKR076W	1
YKR078W	1
YKR082W	-1
YKR084C	1
YKR085C	-1
YKR087C	1
YKR088C	1
YKR089C	1
YKR092C	1
YKR097W	1
YKR098C	1
YKR099W	-1
YKR100C	1
YKR101W	1
YKR103W	1
YKR104W	1
YKR105C	1
YLL002W	1
YLL007C	1
YLL009C	-1
YLL010C	1
YLL015W	-1
YLL019C	1
YLL020C	1
YLL023C	1
YLL024C	1
YLL026W	1
YLL029W	1
YLL030C	-1
YLL032C	1
YLL033W	-1
YLL041C	1
YLL046C	1
YLL047W	1
YLL048C	1
YLL051C	1
YLL052C	1
YLL053C	1
YLL054C	1
YLL055W	1
YLL056C	1
YLR011W	1
YLR012C	1
YLR013W	1
YLR014C	1
YLR016C	1
YLR017W	1
YLR018C	1
YLR019W	1
YLR020C	1
YLR021W	1
YLR023C	1
YLR024C	1
YLR027C	1
YLR028C	1
YLR031W	-1
YLR032W	1
YLR047C	-1
YLR050C	1
YLR054C	1
YLR056W	1
