ORF	hap a | cell death (frequency of dead cells) | pH [3.0], acetic acid [400 mM], time [100-350 min] | Sousa M~Sousa MJ, 2013
YPL036W	1.000
YJR033C	1.000
YBR005W	1.000
YDR003W	1.000
YDR137W	1.000
YGL045W	1.000
YDR233C	1.000
YPL183C	1.000
YIL064W	1.000
YNL049C	1.000
YOR137C	1.000
YER180C-A	1.000
YOR307C	1.000
YKL079W	1.000
YJL151C	0.000
YOR327C	1.000
YOR357C	1.000
YDR425W	1.000
YJR010C-A	1.000
YPR095C	1.000
YOL018C	1.000
YKL034W	1.000
YDR084C	1.000
YOR124C	1.000
YEL005C	1.000
YEL013W	1.000
YDL077C	1.000
YGL212W	1.000
YER128W	1.000
YGL095C	1.000
YKR020W	1.000
YDR486C	1.000
YGR141W	1.000
YDR485C	1.000
YIL173W	1.000
YHR135C	1.000
YNL154C	1.000
YDR514C	1.000
YER087C-B	1.000
YHR112C	1.000
YIL089W	1.000
YKR041W	1.000
YJR110W	1.000
YOL159C-A	1.000
YDR057W	1.000
YOR291W	1.000
YDR352W	1.000
YER031C	1.000
YGL210W	1.000
YKR014C	1.000
YNL093W	1.000
YBR162W-A	1.000
YFL050C	1.000
YOR079C	1.000
YBR290W	1.000
YKL190W	1.000
YHR209W	1.000
YOR031W	1.000
YLR443W	1.000
YMR058W	1.000
YBR040W	1.000
YOR383C	1.000
YLL029W	1.000
YOR381W	1.000
YNR060W	1.000
YLL051C	1.000
YJR040W	1.000
YPL189W	1.000
YJL165C	1.000
YOL002C	1.000
YLR023C	1.000
YKL064W	1.000
YDR481C	1.000
YGL006W	1.000
YBR147W	1.000
YHR087W	1.000
YMR216C	1.000
YDL123W	1.000
YMR054W	1.000
YDR322C-A	1.000
YDR107C	1.000
YJL093C	1.000
YJL129C	1.000
YJR049C	1.000
YBR235W	1.000
YLR447C	1.000
YGR020C	1.000
YBR012C	1.000
YDR089W	1.000
YDR391C	1.000
YGR122W	1.000
YOR087W	1.000
YDR173C	1.000
YER101C	1.000
YOR377W	1.000
YGR177C	1.000
YGR157W	1.000
YOR245C	1.000
YDR093W	1.000
YDR147W	1.000
YJL196C	1.000
YHR032W	1.000
YNL280C	1.000
YMR202W	1.000
YLR056W	1.000
YOR317W	1.000
YIL009W	1.000
YCL026C-A	1.000
YPL110C	1.000
YKR067W	1.000
YKL026C	1.000
YLR450W	1.000
YLR099C	1.000
YJL153C	1.000
YOR109W	1.000
YER019W	1.000
YDR229W	1.000
YPL145C	1.000
YPL006W	1.000
YDL046W	1.000
YOL032W	1.000
YGR202C	1.000
YPL206C	1.000
YGL023C	1.000
YMR008C	1.000
YMR006C	1.000
YGR170W	1.000
YGL144C	1.000
YGR213C	1.000
YBL091C-A	1.000
YGL126W	1.000
YJL145W	1.000
YKL051W	1.000
YMR175W	1.000
YGR212W	1.000
YMR101C	1.000
YPR140W	1.000
YOR086C	1.000
YIL039W	1.000
YKR089C	1.000
YOR081C	1.000
YJR103W	1.000
YDL109C	1.000
YDR018C	1.000
YLR020C	1.000
YJL068C	1.000
YKL094W	1.000
YKL091C	1.000
YMR210W	1.000
YER005W	1.000
YNR048W	1.000
YOR059C	1.000
YDR085C	1.000
YPR122W	1.000
YDL037C	1.000
YDR371W	1.000
YOR030W	1.000
YDR403W	1.000
YMR052W	1.000
YFR008W	1.000
YMR029C	1.000
YAR050W	1.000
