ORF	hap a | protein aggregates (synphilin-1) | standard [standard] | Zhao L~Liu B, 2016
YNL098C	0.028
YBL016W	0.012
YJL141C	0.011
YGL224C	0.005
YMR067C	0.018
YBR150C	0.006
YML097C	0.012
YCL044C	0.046
YLR102C	0.011
YAL002W	0.006
YLR083C	0.020
YGL031C	0.009
YBR082C	0.424
YDL025C	0.006
YBR125C	0.021
YMR133W	0.016
YNL217W	0.040
YHR111W	0.004
YDR080W	0.009
YDR496C	0.027
YAL055W	0.020
YGL152C	0.014
YNL291C	0.033
YML035C	0.017
YNL329C	0.028
YHL022C	0.023
YLR171W	0.025
YNL201C	0.021
YMR070W	0.028
YML019W	0.006
YDR286C	0.042
YHL031C	0.030
YPL155C	0.010
YDR225W	0.009
YER071C	0.001
YDL018C	0.010
YPL247C	0.001
YCR079W	0.016
YBR105C	0.012
YPR013C	0.006
YNL134C	0.020
YIL149C	0.020
YCL010C	0.016
YLR262C	0.041
YGL228W	0.023
YJL199C	0.020
YNL082W	0.032
YDL129W	0.040
YBR231C	0.019
YKR057W	0.037
YDL238C	0.028
YGL045W	0.022
YDR011W	0.016
YDL189W	0.023
YDL012C	0.007
YBR147W	0.002
YEL007W	0.040
YER120W	0.037
YKR061W	0.009
YBL067C	0.014
YPL064C	0.018
YNL129W	0.040
YDL133W	0.024
YML102W	0.038
YHR146W	0.003
YBR114W	0.037
YGR259C	0.009
YLR231C	0.006
YDR219C	0.013
YBR053C	0.009
YJR025C	0.019
YLR064W	0.023
YDL134C	0.022
YNL068C	0.042
YLR264W	0.006
YOR053W	0.010
YGR122W	0.033
YHL043W	0.035
YBR270C	0.010
YBR215W	0.001
YDL002C	0.022
YMR156C	0.011
YLR354C	0.009
YCL024W	0.001
YIL017C	0.048
YMR269W	0.016
YBL063W	0.035
YMR216C	0.003
YLR318W	0.004
YDL100C	0.023
YBR001C	0.006
YML001W	0.029
YDL051W	0.020
YNL211C	0.028
YDL173W	0.027
YBR280C	0.043
YJR124C	0.023
YDL187C	0.012
YML012W	0.015
YNL136W	0.034
YLR452C	0.015
YOR069W	0.005
YER077C	0.012
YBR009C	0.006
YOL118C	0.007
YOR025W	0.012
YCL046W	0.045
YNL233W	0.041
YBR116C	0.012
YBR074W	0.037
YPL206C	0.009
YML051W	0.047
YOL018C	0.019
YBL039C	0.019
YBR069C	0.023
YPL253C	0.005
YBR216C	0.013
YBR099C	0.035
YDR239C	0.040
YOR043W	0.016
YLR273C	0.007
YGR022C	0.020
YAL027W	0.024
YGR237C	0.015
YNL153C	0.030
YBR108W	0.007
YJL123C	0.019
YOL035C	0.016
YBL031W	0.009
YLR263W	0.030
YER074W	0.003
YDL222C	0.021
YPL144W	0.034
YBR278W	0.028
YGL046W	0.015
YDR121W	0.030
YKR027W	0.034
YCL025C	0.007
YMR103C	0.041
YLR292C	0.036
YDR213W	0.043
YDL203C	0.024
YOL109W	0.031
YLR268W	0.008
YER090W	0.002
YLR407W	0.011
YPL056C	0.020
YDL027C	0.013
YMR170C	0.018
YNL190W	0.035
YGL194C	0.041
YLR332W	0.030
YDR255C	0.030
YOR082C	0.001
YJL213W	0.030
YOR007C	0.002
YAL065C	0.014
YCL014W	0.029
YPL241C	0.015
YGR071C	0.012
YLR443W	0.011
YAL058W	0.009
YDR076W	0.030
YER116C	0.031
YHR159W	0.006
YGL019W	0.050
YIL160C	0.001
YLR286C	0.041
YOR008C	0.006
YPL165C	0.003
YBR219C	0.007
YFL049W	0.025
YML063W	0.046
YBR066C	0.009
YBR149W	0.037
YMR190C	0.007
YBR019C	0.044
YLR225C	0.014
YPL108W	0.033
YPL103C	0.023
YKL205W	0.020
YGR045C	0.036
YBR010W	0.026
YPR189W	0.007
YJL176C	0.043
YGR130C	0.011
YKR026C	0.022
YNR039C	0.002
YGR197C	0.026
YER088C	0.013
YDR128W	0.030
YNL214W	0.047
YOL006C	0.002
YGR007W	0.034
YBR300C	0.005
YKL197C	0.038
YBL009W	0.019
YLR218C	0.024
YBR220C	0.003
YDR262W	0.024
YPL022W	0.001
YPR066W	0.013
YBR207W	0.003
YPL170W	0.004
YLR087C	0.013
YDR199W	0.048
YOR165W	0.034
YGR192C	0.014
YBL028C	0.016
YBR132C	0.004
YBR184W	0.008
YGR011W	0.029
YBR201W	0.003
YER066W	0.025
YCR067C	0.022
YHR155W	0.043
YOR127W	0.037
YBR044C	0.048
YKR035W-A	0.029
YPL152W	0.030
YPL026C	0.004
YDL038C	0.044
YBR240C	0.002
YPL101W	0.034
YGR033C	0.046
YMR204C	0.003
YCR073C	0.031
YDL026W	0.024
YCR083W	0.035
YHR050W	0.003
YGR111W	0.041
YIL070C	0.029
YJL185C	0.043
YIL123W	0.006
YPR032W	0.038
YPL046C	0.036
YHR075C	0.039
YJR035W	0.045
YBR213W	0.027
YGR170W	0.045
YHR049C-A	0.015
YPL225W	0.001
YIL076W	0.039
YAL058C-A	0.032
YPL203W	0.008
YLR038C	0.026
YLR241W	0.041
YBR018C	0.042
YGR050C	0.017
YLR232W	0.020
YLR410W	0.032
YMR255W	0.017
YPL246C	0.049
YMR276W	0.030
YHR115C	0.029
YLR405W	0.034
YHR057C	0.010
YMR304C-A	0.024
YPL269W	0.027
YBR204C	0.009
YBR177C	0.016
YCR101C	0.043
YHR132C	0.047
YBR137W	0.038
