ORF	het | growth (culture turbidity) | kalopanaxsaponin A [16 ug/ml] | Prescott TA~Simmonds MS, 2014
YDL098C	0.000
YDL102W	0.000
YDL103C	0.000
YDL105W	0.000
YDL108W	0.000
YDL111C	0.000
YDL120W	0.000
YDL126C	0.000
YDL132W	0.000
YDL139C	0.000
YDL140C	0.000
YDL141W	0.000
YDL143W	0.000
YDL145C	0.000
YDL147W	0.000
YDL148C	0.000
YDL150W	0.000
YDL152W	0.000
YDL153C	0.000
YDL158C	0.000
YDL163W	0.000
YDL164C	0.000
YDL165W	0.000
YDL166C	0.000
YDL193W	0.000
YDL195W	0.000
YDL196W	0.000
YDL205C	0.000
YDL207W	0.000
YDL208W	0.000
YDL209C	0.000
YDL212W	0.000
YDL217C	0.000
YDL220C	0.000
YDL221W	0.000
YDL235C	0.000
YDR002W	0.000
YDR013W	0.000
YDR016C	0.000
YDR021W	0.000
YDR023W	0.000
YDR037W	0.000
YDR041W	0.000
YDR044W	0.000
YDR045C	0.000
YDR047W	0.000
YDR050C	0.000
YDR052C	0.000
YDR053W	0.000
YDR054C	0.000
YDR060W	0.000
YDR062W	0.000
YDR064W	0.000
YDR081C	0.000
YDR082W	0.000
YDR086C	0.000
YDR087C	0.000
YDR088C	0.000
YDR091C	0.000
YDR113C	0.000
YDR118W	0.000
YDR141C	0.000
YDR145W	0.000
YDR160W	0.000
YDR164C	0.000
YDR166C	0.000
YDR167W	0.000
YDR168W	0.000
YDR170C	0.000
YDR172W	0.000
YDR177W	0.000
YDR180W	0.000
YDR182W	0.000
YDR187C	0.000
YDR188W	0.000
YDR189W	0.000
YDR190C	0.000
YDR196C	0.000
YDR201W	0.000
YDR208W	0.000
YDR211W	0.000
YDR212W	0.000
YDR224C	0.000
YDR228C	0.000
YDR232W	0.000
YDR235W	0.000
YDR236C	0.000
YDR238C	0.000
YDR240C	0.000
YDR243C	0.000
YDR246W	0.000
YDR267C	0.000
YDR280W	0.000
YDR288W	0.000
YDR292C	0.000
YDR299W	0.000
YDR301W	0.000
YDR302W	0.000
YDR303C	0.000
YDR308C	0.000
YDR311W	0.000
YDR324C	0.000
YDR325W	0.000
YDR327W	0.000
YDR328C	0.000
YDR331W	0.000
YDR339C	0.000
YDR341C	0.000
YDR353W	0.000
YDR355C	0.000
YDR356W	0.000
YDR361C	0.000
YDR362C	0.000
YDR365C	0.000
YDR367W	0.000
YDR373W	0.000
YDR376W	0.000
YDR381W	0.000
YDR390C	0.000
YDR394W	0.000
YDR396W	0.000
YDR397C	0.000
YDR398W	0.000
YDR404C	-1.000
YDR407C	0.000
YDR412W	0.000
YDR413C	0.000
YDR416W	0.000
YDR427W	0.000
YDR429C	0.000
YDR434W	0.000
YDR437W	0.000
YDR449C	0.000
YDR454C	0.000
YDR460W	0.000
YDR464W	0.000
YDR468C	0.000
YDR472W	0.000
YDR473C	0.000
YDR475C	0.000
YDR478W	0.000
YDR483W	0.000
YDR487C	0.000
YDR489W	0.000
YDR499W	0.000
YDR510W	0.000
YDR521W	0.000
YDR527W	0.000
YEL002C	0.000
YEL019C	0.000
YEL026W	0.000
YEL032W	0.000
YEL034W	0.000
YEL035C	0.000
YEL055C	0.000
YEL058W	0.000
YER003C	0.000
YER006W	0.000
YER008C	0.000
YER009W	0.000
YER012W	0.000
YER013W	0.000
YER014W	0.000
YER018C	0.000
YER021W	0.000
YER022W	0.000
YER023W	0.000
YER025W	0.000
YER036C	0.000
YER038C	0.000
YER043C	0.000
YER048W-A	0.000
YER082C	0.000
YER093C	0.000
YER094C	0.000
YER104W	0.000
YER107C	0.000
YER112W	0.000
YER125W	0.000
YER126C	0.000
YER127W	0.000
YER133W	0.000
YER136W	0.000
YER146W	0.000
YER147C	0.000
YER148W	0.000
YER157W	0.000
YER159C	0.000
YER165W	0.000
YER168C	0.000
YER171W	0.000
YER172C	0.000
YFL008W	0.000
YFL009W	0.000
YFL017C	0.000
YFL018W-A	0.000
YFL022C	0.000
YFL024C	0.000
YFL035C	0.000
YFL035C-A	0.000
YFL037W	0.000
YFL038C	0.000
YFL039C	0.000
YFL045C	0.000
YFR003C	0.000
YFR004W	0.000
YFR005C	0.000
YFR027W	0.000
YFR028C	0.000
YFR029W	0.000
YFR031C	0.000
YFR037C	0.000
YFR042W	0.000
YFR050C	0.000
YFR051C	0.000
YFR052W	0.000
YGL001C	0.000
YGL008C	0.000
YGL011C	0.000
YGL018C	0.000
YGL022W	0.000
YGL030W	0.000
YGL040C	0.000
YGL044C	0.000
YGL047W	0.000
YGL048C	0.000
YGL055W	0.000
YGL061C	0.000
YGL065C	0.000
YGL068W	0.000
YGL069C	0.000
YGL073W	0.000
YGL074C	0.000
YGL075C	0.000
YGL091C	0.000
YGL092W	0.000
YGL093W	0.000
YGL097W	0.000
YGL098W	0.000
YGL099W	0.000
YGL102C	0.000
YGL103W	0.000
YGL111W	0.000
YGL112C	0.000
YGL113W	0.000
YGL116W	0.000
YGL120C	0.000
YGL122C	0.000
YGL123W	0.000
YGL128C	0.000
YGL130W	0.000
YGL137W	0.000
YGL142C	0.000
YGL145W	0.000
YGL150C	0.000
YGL155W	0.000
YGL169W	0.000
YGL171W	0.000
YGL172W	0.000
YGL201C	0.000
YGL207W	0.000
YGL225W	0.000
YGL233W	0.000
YGL238W	0.000
YGL239C	0.000
YGL245W	0.000
YGL247W	0.000
YGR002C	0.000
YGR005C	0.000
YGR009C	0.000
YGR013W	0.000
YGR024C	0.000
YGR029W	0.000
YGR030C	0.000
YGR046W	0.000
YGR047C	0.000
YGR048W	0.000
YGR060W	0.000
YGR065C	0.000
YGR073C	0.000
YGR074W	0.000
YGR075C	0.000
YGR082W	0.000
YGR083C	0.000
YGR090W	0.000
YGR091W	0.000
YGR094W	0.000
YGR095C	0.000
YGR098C	0.000
YGR099W	0.000
YGR103W	0.000
YGR113W	0.000
YGR114C	0.000
YGR115C	0.000
YGR116W	0.000
YGR119C	0.000
YGR120C	0.000
YGR128C	0.000
YGR140W	0.000
YGR145W	0.000
YGR147C	0.000
YGR156W	0.000
YGR158C	0.000
YGR172C	0.000
YGR175C	0.000
YGR179C	0.000
YGR185C	0.000
YGR186W	0.000
YGR190C	0.000
YGR191W	0.000
YGR195W	0.000
YGR198W	0.000
YGR211W	0.000
YGR216C	0.000
YGR218W	0.000
YGR245C	0.000
YGR246C	0.000
YGR251W	0.000
YGR253C	0.000
YGR264C	0.000
YGR265W	0.000
YGR267C	0.000
YGR274C	0.000
YGR277C	0.000
YGR278W	0.000
YGR280C	0.000
YHL015W	0.000
YHR005C-A	0.000
YHR019C	0.000
YHR020W	0.000
YHR023W	0.000
YHR024C	0.000
YHR036W	0.000
YHR040W	0.000
YHR042W	0.000
YHR058C	0.000
YHR062C	0.000
YHR065C	0.000
YHR068W	0.000
YHR069C	0.000
YHR070W	0.000
YHR072W	0.000
YHR074W	0.000
YHR083W	0.000
YHR084W	0.000
YHR085W	0.000
YHR088W	0.000
YHR101C	0.000
YHR107C	0.000
YHR118C	0.000
YHR122W	0.000
YHR128W	0.000
YHR143W-A	0.000
YHR148W	0.000
YHR164C	0.000
YHR166C	0.000
YHR170W	0.000
YHR172W	0.000
YHR186C	0.000
YHR188C	0.000
YHR190W	0.000
YHR196W	0.000
YHR197W	0.000
YHR199C-A	0.000
YIL003W	0.000
YIL004C	0.000
YIL019W	0.000
YIL021W	0.000
YIL022W	0.000
YIL026C	0.000
YIL031W	0.000
YIL033C	0.000
YIL046W	0.000
YIL048W	0.000
YIL051C	0.000
YIL061C	0.000
YIL062C	0.000
YIL063C	0.000
YIL068C	0.000
YIL075C	0.000
YIL078W	0.000
YIL083C	0.000
YIL091C	0.000
YIL104C	0.000
YIL106W	0.000
YIL109C	0.000
YIL115C	0.000
YIL118W	0.000
YIL126W	0.000
YIL129C	0.000
YIL142W	0.000
YIL143C	0.000
YIL144W	0.000
YIL147C	0.000
YIL150C	0.000
YIL171W	0.000
YIR006C	0.000
YIR008C	0.000
YIR010W	0.000
YIR011C	0.000
YIR012W	0.000
YIR015W	0.000
YIR022W	0.000
YJL002C	0.000
YJL005W	0.000
YJL008C	0.000
YJL009W	0.000
YJL010C	0.000
YJL011C	0.000
YJL014W	0.000
YJL015C	0.000
YJL018W	0.000
YJL019W	0.000
YJL025W	0.000
YJL026W	0.000
YJL031C	0.000
YJL032W	0.000
YJL033W	0.000
YJL034W	0.000
YJL035C	0.000
YJL039C	0.000
YJL041W	0.000
YJL050W	0.000
YJL054W	0.000
YJL061W	0.000
YJL069C	0.000
YJL072C	0.000
YJL074C	0.000
YJL076W	0.000
YJL081C	0.000
YJL085W	0.000
YJL086C	0.000
YJL087C	0.000
YJL091C	0.000
YJL097W	0.000
YJL104W	0.000
YJL109C	0.000
YJL111W	0.000
YJL125C	0.000
YJL143W	0.000
YJL156C	0.000
YJL167W	0.000
YJL173C	0.000
YJL174W	0.000
YJL194W	0.000
YJL195C	0.000
YJL202C	0.000
YJL203W	0.000
YJR002W	0.000
YJR006W	0.000
YJR007W	0.000
YJR013W	0.000
YJR016C	0.000
YJR017C	0.000
YJR022W	0.000
YJR023C	0.000
YJR041C	0.000
YJR042W	0.000
YJR045C	0.000
YJR046W	0.000
YJR057W	0.000
YJR064W	0.000
YJR065C	0.000
YJR067C	0.000
YJR068W	0.000
YJR072C	0.000
YJR076C	0.000
YJR089W	0.000
YJR093C	0.000
YJR112W	0.000
YJR123W	0.000
YJR141W	0.000
YKL004W	0.000
YKL006C-A	0.000
YKL012W	0.000
YKL013C	0.000
YKL014C	0.000
YKL018W	0.000
YKL019W	0.000
YKL021C	0.000
YKL022C	0.000
YKL024C	0.000
YKL028W	0.000
YKL033W	0.000
YKL035W	0.000
YKL036C	0.000
YKL042W	0.000
YKL045W	0.000
YKL049C	0.000
YKL052C	0.000
YKL058W	0.000
YKL059C	0.000
YKL060C	0.000
YKL078W	0.000
YKL082C	0.000
YKL083W	0.000
YKL088W	0.000
YKL089W	0.000
YKL095W	0.000
YKL099C	0.000
YKL104C	0.000
YKL108W	0.000
YKL111C	0.000
YKL112W	0.000
YKL122C	0.000
YKL125W	0.000
YKL139W	0.000
YKL141W	0.000
YKL144C	0.000
YKL145W	0.000
YKL152C	0.000
YKL153W	0.000
YKL154W	0.000
YKL165C	0.000
YKL172W	0.000
YKL173W	0.000
YKL180W	0.000
YKL181W	0.000
YKL182W	0.000
YKL186C	0.000
YKL189W	0.000
YKL192C	0.000
YKL193C	0.000
YKL194C	0.000
YKL195W	0.000
YKL196C	0.000
YKL203C	0.000
YKL209C	0.000
YKL210W	0.000
YKR002W	0.000
YKR004C	0.000
YKR008W	0.000
YKR022C	0.000
YKR025W	0.000
YKR037C	0.000
YKR038C	0.000
YKR062W	0.000
YKR063C	0.000
YKR068C	0.000
YKR071C	0.000
YKR079C	0.000
YKR081C	0.000
YKR083C	0.000
YKR086W	0.000
YLL003W	0.000
YLL004W	0.000
YLL008W	0.000
YLL011W	0.000
YLL018C	0.000
YLL031C	0.000
YLL034C	0.000
YLL035W	0.000
YLL036C	0.000
YLL037W	0.000
YLL050C	0.000
YLR002C	0.000
YLR005W	0.000
YLR007W	0.000
YLR008C	0.000
YLR009W	0.000
YLR010C	0.000
YLR022C	0.000
YLR026C	0.000
YLR029C	0.000
YLR033W	-1.000
YLR045C	0.000
YLR051C	0.000
YLR060W	0.000
YLR066W	0.000
YLR071C	0.000
YLR075W	0.000
YLR076C	0.000
YLR078C	0.000
YLR086W	0.000
YLR088W	0.000
YLR100W	0.000
YLR101C	0.000
YLR103C	0.000
YLR105C	0.000
YLR106C	0.000
YLR115W	0.000
YLR116W	0.000
YLR117C	0.000
YLR127C	0.000
YLR129W	0.000
YLR132C	0.000
YLR140W	0.000
YLR141W	0.000
YLR145W	0.000
YLR147C	0.000
YLR153C	0.000
YLR163C	0.000
YLR166C	0.000
YLR167W	0.000
YLR175W	0.000
YLR186W	0.000
YLR195C	0.000
YLR196W	0.000
YLR197W	0.000
YLR198C	0.000
YLR208W	0.000
YLR212C	0.000
YLR215C	0.000
YLR222C	0.000
YLR223C	0.000
YLR229C	0.000
YLR230W	0.000
YLR243W	0.000
YLR249W	0.000
YLR259C	0.000
YLR272C	0.000
YLR274W	0.000
YLR275W	0.000
YLR276C	0.000
YLR277C	0.000
YLR291C	0.000
YLR293C	0.000
YLR298C	0.000
YLR305C	0.000
YLR310C	0.000
YLR314C	0.000
YLR316C	0.000
YLR317W	0.000
YLR321C	0.000
YLR323C	0.000
YLR336C	0.000
YLR339C	0.000
YLR340W	0.000
YLR347C	0.000
YLR355C	0.000
YLR359W	0.000
YLR378C	0.000
YLR379W	0.000
YLR383W	0.000
YLR397C	0.000
YLR409C	0.000
YLR424W	0.000
YLR430W	0.000
YLR438C-A	0.000
YLR440C	0.000
YLR457C	0.000
YLR458W	0.000
YLR459W	0.000
YML010W	0.000
YML015C	0.000
YML023C	0.000
YML025C	0.000
YML031W	0.000
YML043C	0.000
YML046W	0.000
YML049C	0.000
YML064C	0.000
YML065W	0.000
YML069W	0.000
YML077W	0.000
YML085C	0.000
YML091C	0.000
YML092C	0.000
YML093W	0.000
YML098W	0.000
YML105C	0.000
YML114C	0.000
YML125C	0.000
YML126C	0.000
YML127W	0.000
YML130C	0.000
YMR001C	0.000
YMR005W	0.000
YMR013C	0.000
YMR028W	0.000
YMR033W	0.000
YMR043W	0.000
YMR047C	0.000
YMR049C	0.000
YMR059W	0.000
YMR061W	0.000
YMR076C	0.000
YMR079W	0.000
YMR093W	0.000
YMR094W	0.000
YMR108W	0.000
YMR112C	0.000
YMR113W	0.000
YMR117C	0.000
YMR128W	0.000
YMR131C	0.000
YMR134W	0.000
YMR146C	0.000
YMR149W	0.000
YMR165C	0.000
YMR168C	0.000
YMR185W	0.000
YMR197C	0.000
YMR200W	0.000
YMR203W	0.000
YMR208W	0.000
YMR213W	0.000
YMR217W	0.000
YMR218C	0.000
YMR220W	0.000
YMR227C	0.000
YMR229C	0.000
YMR235C	0.000
YMR236W	0.000
YMR239C	0.000
YMR240C	0.000
YMR260C	0.000
YMR268C	0.000
YMR270C	0.000
YMR277W	0.000
YMR281W	0.000
YMR288W	0.000
YMR290C	0.000
YMR290W-A	0.000
YMR296C	0.000
YMR298W	0.000
YMR301C	0.000
YMR308C	0.000
YMR309C	0.000
YMR314W	0.000
YNL002C	0.000
YNL006W	0.000
YNL007C	0.000
YNL026W	0.000
YNL036W	0.000
YNL038W	0.000
YNL039W	0.000
YNL050C	0.000
YNL061W	0.000
YNL062C	0.000
YNL075W	0.000
YNL088W	0.000
YNL102W	0.000
YNL110C	0.000
YNL112W	0.000
YNL113W	0.000
YNL114C	0.000
YNL118C	0.000
YNL124W	0.000
YNL126W	0.000
YNL131W	0.000
YNL132W	0.000
YNL137C	0.000
YNL149C	0.000
YNL150W	0.000
YNL151C	0.000
YNL152W	0.000
YNL156C	0.000
YNL158W	0.000
YNL161W	0.000
YNL162W	0.000
YNL163C	0.000
YNL171C	0.000
YNL172W	0.000
YNL178W	0.000
YNL180C	0.000
YNL181W	0.000
YNL182C	0.000
YNL188W	0.000
YNL189W	0.000
YNL207W	0.000
YNL213C	0.000
YNL216W	0.000
YNL218W	0.000
YNL221C	0.000
YNL222W	0.000
YNL232W	0.000
YNL240C	0.000
YNL241C	0.000
YNL243W	0.000
YNL244C	0.000
YNL245C	0.000
YNL247W	0.000
YNL256W	0.000
YNL258C	0.000
YNL260C	0.000
YNL261W	0.000
YNL263C	0.000
YNL267W	0.000
YNL272C	0.000
YNL276C	0.000
YNL277W	0.000
YNL282W	0.000
YNL287W	0.000
YNL290W	0.000
YNL298W	0.000
YNL306W	0.000
YNL308C	0.000
YNL310C	0.000
YNL312W	0.000
YNL313C	0.000
YNL317W	0.000
YNR003C	0.000
YNR016C	0.000
YNR017W	0.000
YNR023W	0.000
YNR026C	0.000
YNR035C	0.000
YNR038W	0.000
YNR043W	0.000
YNR046W	0.000
YNR053C	0.000
YNR054C	0.000
YOL005C	0.000
YOL010W	0.000
YOL021C	0.000
YOL022C	0.000
YOL026C	0.000
YOL034W	0.000
YOL038W	0.000
YOL040C	0.000
YOL066C	0.000
YOL069W	0.000
YOL077C	0.000
YOL078W	0.000
YOL094C	0.000
YOL097C	0.000
YOL102C	0.000
YOL120C	0.000
YOL123W	0.000
YOL127W	0.000
YOL130W	0.000
YOL133W	0.000
YOL134C	0.000
YOL135C	0.000
YOL139C	0.000
YOL142W	0.000
YOL144W	0.000
YOL146W	0.000
YOL149W	0.000
YOR004W	0.000
YOR020C	0.000
YOR046C	0.000
YOR048C	0.000
YOR056C	0.000
YOR057W	0.000
YOR060C	0.000
YOR063W	0.000
YOR074C	0.000
YOR075W	0.000
YOR077W	0.000
YOR095C	0.000
YOR098C	0.000
YOR102W	0.000
YOR103C	0.000
YOR110W	0.000
YOR116C	0.000
YOR117W	0.000
YOR119C	0.000
YOR122C	0.000
YOR143C	0.000
YOR145C	0.000
YOR146W	0.000
YOR148C	0.000
YOR149C	0.000
YOR151C	0.000
YOR157C	0.000
YOR159C	0.000
YOR168W	0.000
YOR169C	0.000
YOR174W	0.000
YOR176W	0.000
YOR181W	0.000
YOR194C	0.000
YOR203W	0.000
YOR204W	0.000
YOR206W	0.000
YOR207C	0.000
YOR210W	0.000
YOR217W	0.000
YOR218C	0.000
YOR232W	0.000
YOR236W	0.000
YOR244W	0.000
YOR249C	0.000
YOR250C	0.000
YOR254C	0.000
YOR256C	0.000
YOR257W	0.000
YOR259C	0.000
YOR261C	0.000
YOR262W	0.000
YOR272W	0.000
YOR281C	0.000
YOR282W	0.000
YOR287C	0.000
YOR294W	0.000
YOR310C	0.000
YOR326W	0.000
YOR329C	0.000
YOR335C	0.000
YOR336W	0.000
YOR341W	0.000
YOR353C	0.000
YOR361C	0.000
YOR362C	0.000
YOR370C	0.000
YOR372C	0.000
YOR373W	0.000
YPL007C	0.000
YPL010W	0.000
YPL011C	0.000
YPL012W	0.000
YPL016W	0.000
YPL020C	0.000
YPL028W	0.000
YPL043W	0.000
YPL044C	0.000
YPL063W	0.000
YPL075W	0.000
YPL076W	0.000
YPL082C	0.000
YPL083C	0.000
YPL085W	0.000
YPL093W	0.000
YPL094C	0.000
YPL117C	0.000
YPL122C	0.000
YPL124W	0.000
YPL126W	0.000
YPL128C	0.000
YPL131W	0.000
YPL142C	0.000
YPL143W	0.000
YPL146C	0.000
YPL151C	0.000
YPL153C	0.000
YPL160W	0.000
YPL169C	0.000
YPL175W	0.000
YPL190C	0.000
YPL204W	0.000
YPL209C	0.000
YPL210C	0.000
YPL211W	0.000
YPL218W	0.000
YPL228W	0.000
YPL231W	0.000
YPL233W	0.000
YPL235W	0.000
YPL237W	0.000
YPL238C	0.000
YPL242C	0.000
YPL243W	0.000
YPL251W	0.000
YPL252C	0.000
YPL255W	0.000
YPL266W	0.000
YPR010C	0.000
YPR016C	0.000
YPR019W	0.000
YPR025C	0.000
YPR033C	0.000
YPR034W	-1.000
YPR035W	0.000
YPR041W	0.000
YPR048W	0.000
YPR055W	0.000
YPR056W	0.000
YPR082C	0.000
YPR085C	0.000
YPR088C	0.000
YPR094W	0.000
YPR103W	0.000
YPR105C	0.000
YPR107C	0.000
YPR108W	0.000
YPR110C	0.000
YPR112C	0.000
YPR113W	0.000
YPR133C	0.000
YPR136C	0.000
YPR137W	0.000
YPR142C	0.000
YPR143W	0.000
YPR144C	0.000
YPR161C	0.000
YPR162C	0.000
YPR165W	0.000
YPR168W	0.000
YPR169W	0.000
YPR175W	0.000
YPR176C	0.000
YPR177C	0.000
YPR178W	0.000
YPR180W	0.000
YPR181C	0.000
YPR182W	0.000
YPR183W	0.000
YPR186C	0.000
YPR187W	0.000
YPR190C	0.000
