orf	hom | growth (relative abundance in pooled culture) | arsenic [1-5 mM] | Haugen AC~Van Houten B, 2004
YBL107C	0.769087955442098
YBR001C	0.913436992341611
YBR003W	0.806915757716408
YBR005W	0.342770944534695
YBR006W	0.0204223717799954
YBR007C	0.803666744024136
YBR008C	0.760965421211418
YBR009C	0.0529125087027152
YBR010W	0.410768159665816
YBR012C	0.440009282896264
YBR013C	0.682757020190299
YBR014C	0.448595961940125
YBR015C	0.687398468322116
YBR016W	0.636574611278719
YBR017C	0.500116036203295
YBR018C	0.624970990949176
YBR019C	0.480157809236482
YBR020W	0.829774889765607
YBR021W	0.500116036203295
YBR022W	0.521234625203063
YBR023C	0.152703643536783
YBR024W	0.292411232304479
YBR025C	0.850313297748898
YBR026C	0.996983058714319
YBR027C	0.0160129960547691
YBR028C	0.184497563239731
YBR030W	0.143420747273149
YBR031W	0.974239962868415
YBR032W	0.228823392898584
YBR033W	0.113019262009747
YBR034C	0.136922719888605
YBR035C	0.500116036203295
YBR036C	0.0879554420979346
YBR037C	0.0366674402413553
YBR038W	0.500116036203295
YBR039W	0.995358551868183
YBR040W	0.119981434207473
YBR041W	0.198421907635182
YBR042C	0.145741471339058
YBR043C	0.085634718032026
YBR044C	0.914365281967974
YBR045C	0.181248549547459
YBR046C	0.110698537943838
YBR047W	0.0496634950104433
YBR048W	0.95660245996751
YBR050C	0.577396147598051
YBR051W	0.314226038524019
YBR052C	0.615688094685542
YBR053C	0.309352517985612
YBR054W	0.0577860292411232
YBR056W	0.203527500580181
YBR057C	0.0796008354606637
YBR058C	0.821304246925041
YBR059C	0.746112787189603
YBR061C	0.0125319099559062
YBR062C	0.0626595497795312
YBR063C	0.0624274773729404
YBR064W	0.0201902993734045
YBR065C	0.602459967509863
YBR066C	0.421907635182177
YBR067C	0.360176375029009
YBR068C	0.2411232304479
YBR069C	0.0647482014388489
YBR071W	0.496634950104433
YBR072W	0.53376653515897
YBR073W	0.29821304246925
YBR074W	0.5281194399319253
YBR076W	0.314922255743792
YBR077C	0.0225110234393131
YBR078W	0.389881643072639
YBR081C	0.500116036203295
YBR082C	0.949872360176375
YBR083W	0.426084938500812
YBR084C-A	0.894639127407751
YBR084W	0.627987932234857
YBR085W	0.393826873984683
YBR086C	0.37665351589696
YBR089C-A	0.728243211882107
YBR090C	0.458575075423532
YBR092C	0.337897423996287
YBR093C	0.0770480389881643
YBR094W	0.0187978649338594
YBR095C	0.188442794151775
YBR097W	0.500116036203295
YBR098W	0.1684845671849615
YBR099C	0.834532374100719
YBR101C	0.598282664191228
YBR103W	0.831747505221629
YBR104W	0.0983987003945231
YBR105C	0.683917382223254
YBR106W	0.955674170341146
YBR107C	0.749593873288466
YBR108W	0.0352750058018102
