ORF	hom | growth (relative abundance in pooled culture) | arsenic [1-5 mM] | Haugen AC~Van Houten B, 2004
YBR174C	0.124
YHL044W	0.124
YDL243C	0.124
YDL155W	0.124
YNL121C	0.125
YPL167C	0.125
YCR037C	0.125
YJL134W	0.125
YPR039W	0.126
YMR157C	0.126
YMR031C	0.126
YCL027W	0.126
YBR281C	0.126
YGL015C	0.127
YDR104C	0.127
YDL088C	0.127
YCL039W	0.127
YPR120C	0.128
YOR334W	0.128
YDR029W	0.128
YEL006W	0.128
YLR280C	0.129
YJL128C	0.129
YPL147W	0.129
YMR019W	0.129
YOL027C	0.129
YBR261C	0.130
YHR060W	0.130
YNL205C	0.130
YGR096W	0.130
YER041W	0.131
YLR006C	0.131
YIL015W	0.131
YBL001C	0.131
YMR086C-A	0.132
YLR096W	0.132
YDL072C	0.132
YDR143C	0.132
YOR337W	0.133
YOR012W	0.133
YLR351C	0.133
YJL116C	0.133
YFR056C	0.133
YCL064C	0.134
YPR006C	0.134
YPR170C	0.134
YAR029W	0.134
YAL028W	0.135
YGL168W	0.135
YNL066W	0.135
YDR340W	0.135
YKR058W	0.136
YDR128W	0.136
YJL132W	0.160
YKR106W	0.136
YDL012C	0.136
YMR171C	0.137
YBR034C	0.137
YCR017C	0.137
YDR517W	0.137
YGR268C	0.138
YKL116C	0.138
YML055W	0.138
YER005W	0.138
YGL059W	0.139
YDL225W	0.139
YML081W	0.139
YLR218C	0.139
YNR018W	0.139
YKL168C	0.140
YDR352W	0.140
YMR246W	0.140
YDR492W	0.140
YKR059W	0.141
YAL024C	0.141
YNL289W	0.141
YDL184C	0.141
YDR121W	0.142
YOR280C	0.142
YDR074W	0.142
YHR151C	0.142
YGL002W	0.142
YJL198W	0.143
YJL175W	0.143
YIL054W	0.143
YBR030W	0.143
YAR023C	0.144
YIL168W	0.144
YAL046C	0.144
YER037W	0.144
YJL215C	0.145
YLR098C	0.145
YIL119C	0.145
YKL081W	0.145
YJL141C	0.146
YBR042C	0.146
YJL060W	0.146
YGL034C	0.146
YMR040W	0.146
YHR184W	0.147
YNL011C	0.147
YLR201C	0.147
YKR101W	0.147
YDR089W	0.148
YNL176C	0.148
YDR179C	0.148
YNL076W	0.148
YKR034W	0.149
YDR084C	0.149
YKL216W	0.149
YGR015C	0.149
YKR026C	0.149
YCR020W-B	0.150
YEL004W	0.150
YOR097C	0.150
YJR117W	0.150
YMR054W	0.151
YEL040W	0.151
YOR180C	0.151
YMR034C	0.151
YGL226W	0.152
YCL061C	0.152
YGR026W	0.152
YDR096W	0.152
YDL079C	0.152
YBR023C	0.153
YLR267W	0.153
YDR001C	0.153
YLR331C	0.153
YOL096C	0.154
YLR220W	0.154
YER011W	0.154
YHR044C	0.154
YBR220C	0.155
YMR110C	0.155
YGR045C	0.155
YOR290C	0.155
YDL144C	0.155
YDL078C	0.156
YOR355W	0.156
YNL013C	0.156
YGR050C	0.156
YJL178C	0.157
YBL086C	0.157
YBR195C	0.157
YGR078C	0.157
YPL207W	0.158
YIL076W	0.158
YDR147W	0.158
YOR054C	0.158
YHL007C	0.159
YER049W	0.159
YLR313C	0.159
YOR273C	0.159
YPR059C	0.159
YBR300C	0.160
YOR113W	0.160
YBL078C	0.160
YJR087W	0.160
YOR165W	0.161
YCL034W	0.161
YNR049C	0.161
YNR045W	0.161
YDL027C	0.162
YDL113C	0.162
YLR371W	0.162
YPL172C	0.162
YGL060W	0.162
YMR206W	0.163
YKL117W	0.163
YAL062W	0.163
YNL175C	0.163
YDR061W	0.164
YKR005C	0.164
YLR250W	0.164
YCR059C	0.164
YEL017W	0.165
YOL113W	0.165
YNL086W	0.165
YDL238C	0.165
YGL165C	0.165
YML017W	0.166
YMR035W	0.166
YPL014W	0.166
YGL126W	0.166
YGR100W	0.167
YIL013C	0.167
YNL275W	0.167
YOR277C	0.167
YMR065W	0.168
YDR107C	0.168
YLR028C	0.168
YJL106W	0.168
YBL012C	0.168
YOR200W	0.169
YFL046W	0.169
YGL079W	0.169
YMR136W	0.169
YLL010C	0.170
YKR102W	0.170
YDR124W	0.170
YDR384C	0.170
YOR332W	0.171
YGL009C	0.171
YJL130C	0.171
YDR254W	0.171
YGR164W	0.172
